Accession No.	Gene Symbol	Exon.ID	P.Value	adj.P.Val	Transcript.ID	gene_assignment
NM_152718	VWCE	3375236	2.03E-08	0.000474856	3375192	NM_152718 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001 /// ENST00000335613 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001 /// BC077719 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001 /// ENST00000301770 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001
NM_078467	CDKN1A	2905177	2.64E-08	0.00056675	2905169	NM_078467 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026 /// NM_000389 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026 /// ENST00000244741 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026 /// ENST00000373711 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026 /// BC000312 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026
NM_031966	CCNB1	2813418	4.72E-08	0.000870239	2813414	NM_031966 // CCNB1 // cyclin B1 // 5q12 // 891 /// ENST00000256442 // CCNB1 // cyclin B1 // 5q12 // 891 /// AK289431 // CCNB1 // cyclin B1 // 5q12 // 891 /// ENST00000380848 // CCNB1 // cyclin B1 // 5q12 // 891
NM_014801	PCNXL2	2461126	4.74E-08	0.000870239	2461037	NM_014801 // PCNXL2 // pecanex-like 2 (Drosophila) // 1q42.2 // 80003 /// ENST00000258229 // PCNXL2 // pecanex-like 2 (Drosophila) // 1q42.2 // 80003 /// ENST00000344698 // PCNXL2 // pecanex-like 2 (Drosophila) // 1q42.2 // 80003 /// ENST00000324142 // PCNXL2 // pecanex-like 2 (Drosophila) // 1q42.2 // 80003 /// AK092353 // PCNXL2 // pecanex-like 2 (Drosophila) // 1q42.2 // 80003
NM_001040694	INCENP	3333382	6.23E-08	0.001067337	3333358	NM_001040694 // INCENP // inner centromere protein antigens 135/155kDa // 11q12-q13 // 3619 /// NM_020238 // INCENP // inner centromere protein antigens 135/155kDa // 11q12-q13 // 3619 /// ENST00000278849 // INCENP // inner centromere protein antigens 135/155kDa // 11q12-q13 // 3619 /// AF282265 // INCENP // inner centromere protein antigens 135/155kDa // 11q12-q13 // 3619 /// ENST00000394818 // INCENP // inner centromere protein antigens 135/155kDa // 11q12-q13 // 3619
NM_019099	C1orf183	2428087	9.16E-08	0.001472945	2428079	NM_019099 // C1orf183 // chromosome 1 open reading frame 183 // 1p13.2 // 55924 /// NM_198926 // C1orf183 // chromosome 1 open reading frame 183 // 1p13.2 // 55924 /// ENST00000357260 // C1orf183 // chromosome 1 open reading frame 183 // 1p13.2 // 55924 /// BC031558 // C1orf183 // chromosome 1 open reading frame 183 // 1p13.2 // 55924
NM_012396	PHLDA3	2450859	1.06E-07	0.00160798	2450855	NM_012396 // PHLDA3 // pleckstrin homology-like domain, family A, member 3 // 1q31 // 23612 /// ENST00000367311 // PHLDA3 // pleckstrin homology-like domain, family A, member 3 // 1q31 // 23612 /// ENST00000367309 // PHLDA3 // pleckstrin homology-like domain, family A, member 3 // 1q31 // 23612 /// BC068273 // PHLDA3 // pleckstrin homology-like domain, family A, member 3 // 1q31 // 23612
NM_031966	CCNB1	2813437	1.24E-07	0.001774463	2813414	NM_031966 // CCNB1 // cyclin B1 // 5q12 // 891 /// ENST00000256442 // CCNB1 // cyclin B1 // 5q12 // 891 /// AK289431 // CCNB1 // cyclin B1 // 5q12 // 891 /// ENST00000380848 // CCNB1 // cyclin B1 // 5q12 // 891
NM_007135	ZNF79	3189850	1.50E-07	0.002023599	3189837	NM_007135 // ZNF79 // zinc finger protein 79 // 9q34 // 7633 /// ENST00000342483 // ZNF79 // zinc finger protein 79 // 9q34 // 7633 /// BC062309 // ZNF79 // zinc finger protein 79 // 9q34 // 7633
NM_181802	UBE2C	3887062	1.61E-07	0.002071672	3887049	NM_181802 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065 /// NM_007019 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065 /// NM_181799 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065 /// NM_181800 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065 /// NM_181801 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065 /// NM_181803 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065 /// ENST00000356455 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065 /// ENST00000372579 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065 /// ENST00000335046 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065 /// ENST00000352551 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065 /// ENST00000372568 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065 /// ENST00000243893 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065 /// BC032677 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065
NM_005030	PLK1	3653086	1.72E-07	0.002101984	3653072	NM_005030 // PLK1 // polo-like kinase 1 (Drosophila) // 16p12.1 // 5347 /// ENST00000300093 // PLK1 // polo-like kinase 1 (Drosophila) // 16p12.1 // 5347 /// ENST00000330792 // PLK1 // polo-like kinase 1 (Drosophila) // 16p12.1 // 5347 /// AB209179 // PLK1 // polo-like kinase 1 (Drosophila) // 16p12.1 // 5347
NM_002392	MDM2	3421304	2.51E-07	0.002932802	3421300	NM_002392 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006878 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006881 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006882 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006879 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393417 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000311440 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// AK290341 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000258149 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000350057 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000258148 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393416 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000311420 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000358483 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393415 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000356290 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393413 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393412 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000299252 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393410 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000360430 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000348801 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// BC065505 // MGC5370 // hypothetical protein MGC5370 // 12q14.3 // 84825
NM_014417	BBC3	3866438	2.98E-07	0.003326718	3866435	NM_014417 // BBC3 // BCL2 binding component 3 // 19q13.3-q13.4 // 27113 /// ENST00000359924 // BBC3 // BCL2 binding component 3 // 19q13.3-q13.4 // 27113 /// AF354654 // BBC3 // BCL2 binding component 3 // 19q13.3-q13.4 // 27113 /// ENST00000341983 // BBC3 // BCL2 binding component 3 // 19q13.3-q13.4 // 27113 /// ENST00000300880 // BBC3 // BCL2 binding component 3 // 19q13.3-q13.4 // 27113
NM_001813	CENPE	2780199	3.33E-07	0.003567098	2780172	NM_001813 // CENPE // centromere protein E, 312kDa // 4q24-q25 // 1062 /// ENST00000265148 // CENPE // centromere protein E, 312kDa // 4q24-q25 // 1062 /// ENST00000394771 // CENPE // centromere protein E, 312kDa // 4q24-q25 // 1062 /// ENST00000380026 // CENPE // centromere protein E, 312kDa // 4q24-q25 // 1062
NM_001255	CDC20	2333140	3.60E-07	0.003705947	2333136	NM_001255 // CDC20 // cell division cycle 20 homolog (S. cerevisiae) // 1p34.1 // 991 /// ENST00000372462 // CDC20 // cell division cycle 20 homolog (S. cerevisiae) // 1p34.1 // 991 /// ENST00000310955 // CDC20 // cell division cycle 20 homolog (S. cerevisiae) // 1p34.1 // 991 /// U05340 // CDC20 // cell division cycle 20 homolog (S. cerevisiae) // 1p34.1 // 991
NM_152718	VWCE	3375221	4.97E-07	0.004914942	3375192	NM_152718 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001 /// ENST00000335613 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001 /// BC077719 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001 /// ENST00000301770 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001
NM_002497	NEK2	2454446	6.90E-07	0.006569714	2454444	NM_002497 // NEK2 // NIMA (never in mitosis gene a)-related kinase 2 // 1q32.2-q41 // 4751 /// ENST00000366999 // NEK2 // NIMA (never in mitosis gene a)-related kinase 2 // 1q32.2-q41 // 4751 /// BC043502 // NEK2 // NIMA (never in mitosis gene a)-related kinase 2 // 1q32.2-q41 // 4751 /// ENST00000366998 // NEK2 // NIMA (never in mitosis gene a)-related kinase 2 // 1q32.2-q41 // 4751
NM_001032290	PSRC1	2426956	7.63E-07	0.006997603	2426951	NM_001032290 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722 /// NM_032636 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722 /// NM_001032291 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722 /// NM_001005290 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722 /// ENST00000369909 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722 /// ENST00000369907 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722 /// ENST00000369904 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722 /// BC056909 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722 /// ENST00000369903 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722
NM_152718	VWCE	3375230	8.27E-07	0.006997603	3375192	NM_152718 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001 /// ENST00000335613 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001 /// BC077719 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001 /// ENST00000301770 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001
NM_005030	PLK1	3653075	8.37E-07	0.006997603	3653072	NM_005030 // PLK1 // polo-like kinase 1 (Drosophila) // 16p12.1 // 5347 /// ENST00000300093 // PLK1 // polo-like kinase 1 (Drosophila) // 16p12.1 // 5347 /// ENST00000330792 // PLK1 // polo-like kinase 1 (Drosophila) // 16p12.1 // 5347 /// AB209179 // PLK1 // polo-like kinase 1 (Drosophila) // 16p12.1 // 5347
NM_001988	EVPL	3771269	8.44E-07	0.006997603	3771259	NM_001988 // EVPL // envoplakin // 17q25 // 2125 /// ENST00000301607 // EVPL // envoplakin // 17q25 // 2125 /// U53786 // EVPL // envoplakin // 17q25 // 2125
NM_138555	KIF23	3599813	9.51E-07	0.007638935	3599811	NM_138555 // KIF23 // kinesin family member 23 // 15q23 // 9493 /// NM_004856 // KIF23 // kinesin family member 23 // 15q23 // 9493 /// ENST00000260363 // KIF23 // kinesin family member 23 // 15q23 // 9493 /// ENST00000352331 // KIF23 // kinesin family member 23 // 15q23 // 9493 /// BC051826 // KIF23 // kinesin family member 23 // 15q23 // 9493 /// ENST00000395392 // KIF23 // kinesin family member 23 // 15q23 // 9493
NM_152718	VWCE	3375243	1.04E-06	0.008107658	3375192	NM_152718 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001 /// ENST00000335613 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001 /// BC077719 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001 /// ENST00000301770 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001
NM_152718	VWCE	3375244	1.12E-06	0.0084668	3375192	NM_152718 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001 /// ENST00000335613 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001 /// BC077719 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001 /// ENST00000301770 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001
NM_001809	CENPA	2474003	1.24E-06	0.00892113	2473991	NM_001809 // CENPA // centromere protein A // 2p24-p21 // 1058 /// NM_001042426 // CENPA // centromere protein A // 2p24-p21 // 1058 /// ENST00000335756 // CENPA // centromere protein A // 2p24-p21 // 1058 /// ENST00000233505 // CENPA // centromere protein A // 2p24-p21 // 1058 /// U14518 // CENPA // centromere protein A // 2p24-p21 // 1058
NM_002392	MDM2	3421305	1.28E-06	0.00892113	3421300	NM_002392 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006878 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006881 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006882 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006879 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393417 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000311440 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// AK290341 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000258149 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000350057 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000258148 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393416 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000311420 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000358483 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393415 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000356290 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393413 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393412 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000299252 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393410 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000360430 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000348801 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// BC065505 // MGC5370 // hypothetical protein MGC5370 // 12q14.3 // 84825
NM_001114120	DEPDC1	2417554	1.28E-06	0.00892113	2417528	NM_001114120 // DEPDC1 // DEP domain containing 1 // 1p31.2 // 55635 /// NM_017779 // DEPDC1 // DEP domain containing 1 // 1p31.2 // 55635 /// ENST00000370966 // DEPDC1 // DEP domain containing 1 // 1p31.2 // 55635 /// ENST00000370964 // DEPDC1 // DEP domain containing 1 // 1p31.2 // 55635 /// AB281187 // DEPDC1 // DEP domain containing 1 // 1p31.2 // 55635 /// ENST00000370962 // DEPDC1 // DEP domain containing 1 // 1p31.2 // 55635 /// ENST00000370965 // DEPDC1 // DEP domain containing 1 // 1p31.2 // 55635
NM_001010887	ASAH3L	3164324	1.34E-06	0.00908146	3164312	NM_001010887 // ASAH3L // N-acylsphingosine amidohydrolase 3-like // 9p22.1 // 340485 /// ENST00000340967 // ASAH3L // N-acylsphingosine amidohydrolase 3-like // 9p22.1 // 340485 /// BC092487 // ASAH3L // N-acylsphingosine amidohydrolase 3-like // 9p22.1 // 340485 /// ENST00000380376 // ASAH3L // N-acylsphingosine amidohydrolase 3-like // 9p22.1 // 340485
NM_001813	CENPE	2780255	1.43E-06	0.009429295	2780172	NM_001813 // CENPE // centromere protein E, 312kDa // 4q24-q25 // 1062 /// ENST00000265148 // CENPE // centromere protein E, 312kDa // 4q24-q25 // 1062 /// ENST00000394771 // CENPE // centromere protein E, 312kDa // 4q24-q25 // 1062 /// ENST00000380026 // CENPE // centromere protein E, 312kDa // 4q24-q25 // 1062
NM_002392	MDM2	3421303	1.59E-06	0.010213792	3421300	NM_002392 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006878 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006881 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006882 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006879 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393417 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000311440 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// AK290341 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000258149 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000350057 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000258148 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393416 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000311420 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000358483 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393415 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000356290 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393413 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393412 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000299252 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393410 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000360430 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000348801 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// BC065505 // MGC5370 // hypothetical protein MGC5370 // 12q14.3 // 84825
NM_001032290	PSRC1	2426971	1.63E-06	0.010234937	2426951	NM_001032290 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722 /// NM_032636 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722 /// NM_001032291 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722 /// NM_001005290 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722 /// ENST00000369909 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722 /// ENST00000369907 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722 /// ENST00000369904 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722 /// BC056909 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722 /// ENST00000369903 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722
NM_152718	VWCE	3375229	1.88E-06	0.011531431	3375192	NM_152718 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001 /// ENST00000335613 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001 /// BC077719 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001 /// ENST00000301770 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001
NM_031459	SESN2	2327404	2.07E-06	0.012379657	2327391	NM_031459 // SESN2 // sestrin 2 // 1p35.3 // 83667 /// ENST00000253063 // SESN2 // sestrin 2 // 1p35.3 // 83667 /// AY123223 // SESN2 // sestrin 2 // 1p35.3 // 83667
NM_019099	C1orf183	2428095	2.33E-06	0.013588793	2428079	NM_019099 // C1orf183 // chromosome 1 open reading frame 183 // 1p13.2 // 55924 /// NM_198926 // C1orf183 // chromosome 1 open reading frame 183 // 1p13.2 // 55924 /// ENST00000357260 // C1orf183 // chromosome 1 open reading frame 183 // 1p13.2 // 55924 /// BC031558 // C1orf183 // chromosome 1 open reading frame 183 // 1p13.2 // 55924
