Symbol	Synonym(s)	Entrez Gene Name	Affymetrix
GREB1	5730583K22Rik, 9130004E13, AF180470, AU023194, KIAA0575, mKIAA0575	GREB1 protein	205862_at
IGF2BP3	2610101N11Rik, AA522010, Ab2-255, AL022933, AU045931, DKFZp686F1078, IMP-3, KOC1, Koc13, mimp3, Neilsen, RGD1306512, VICKZ3	insulin-like growth factor 2 mRNA binding protein 3	203820_s_at
IL6ST	5133400A03Rik, AA389424, Ac1055, BB405851, CD130, CDw130, D13Ertd699e, GP130, GP130-RAPS, Il6 transd, IL6R-beta	interleukin 6 signal transducer (gp130, oncostatin M receptor)	212195_at
IRS1	ENSMUSG00000022591, G972R, HIRS-1, IRS1IRM	insulin receptor substrate 1	204686_at
ITGB4	AA407042, C230078O20, CD104, INTEGRIN-BETA 4	integrin, beta 4	204990_s_at
ITPR1	D6Pas2, I145TR, InsP3R, INSP3R1, IP3 RECEPTOR, Ip3 Receptor Type 1, IP3R, IP3R1, opt, P400, Pcd6, Pcp-1, SCA15, SCA16	inositol 1,4,5-triphosphate receptor, type 1	211323_s_at
LMO4	A730077C12Rik, Crp3, Etohi4, MGC105593	LIM domain only 4	209205_s_at
MFAP3L	4933428A15RIK, 5430405D20Rik, AI461995, AW125052, KIAA0626, mKIAA0626, NYD-sp9	microfibrillar-associated protein 3-like	210493_s_at
MGMT	AGAT, AGT, AI267024, ATase, MGC107020, O6-ALKYLGUANINE DNA ALKYLTRANSFERASE	O-6-methylguanine-DNA methyltransferase	204880_at
PCNA	MGC8367, Pcna/cyclin, PCNAR	proliferating cell nuclear antigen	217400_at
PGR	9930019P03Rik, BB114106, ENSMUSG00000074510, LOC360433, NR3C3, Pgrb, PR, PR BETA, PR-A, PR-B, PROGESTERONE RECEPTOR, Progesterone receptor A	progesterone receptor	208305_at
PLD1	AA536939, C85393, Pc-Plc, Phospholipase D1, PLD1A, PLD1B, Plda, Pldb	phospholipase D1, phosphatidylcholine-specific	215723_s_at
PML	1200009E24Rik, AI661194, MYL, PP8675, Retinoic acid receptor, RGD1562602, RNF71, TRIM19	promyelocytic leukemia	211013_x_at
PVR	3830421F03Rik, CD155, D7ERTD458E, FLJ25946, HVED, mE4, NECL5, NECTIN 2 ALPHA, NECTIN-2, Pe4, PVS, TAA1, TAGE4	poliovirus receptor	212662_at
RARRES1	5430417P09RIK, AI662122, TIG1, Tig1/retinoic acid receptor responder 1	retinoic acid receptor responder (tazarotene induced) 1	206391_at
SCGB1D2	BU101, LIPB, LIPOPHILIN B, LPHB	secretoglobin, family 1D, member 2	206799_at
SEL1L	AW493766, IBD2, KIAA4137, mKIAA4137, PRO1063, SEL1, SEL1-LIKE, SEL1H	sel-1 suppressor of lin-12-like (C. elegans)	202063_s_at
SERPINA5	4933415L04, MGC93420, PAI-3, PCI, Pi5 alpha1, PLANH3, PROCI	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5	209443_at
SERPINA6	AI265318, AV104445, CBG, MGC112780	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 6	206325_at
SLC7A5	4f2 light chain, 4F2LC, CD98, CD98 LIGHT CHAIN, CD98LC, D0H16S474E, D16S469E, E16, E16/TA1, hLAT1, LAT1, MPE16, TA1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	201195_s_at
SPAM1 (includes EG:6677)	4933439A12Rik, HYA1, HYAL1, HYAL3, HYAL5, MGC108951, MGC26532, PH-20, SPAG15, SPAM1, TESTICULAR HYALURONIDASE	sperm adhesion molecule 1 (PH-20 hyaluronidase, zona pellucida binding)	210536_s_at
TBC1D9	4933431N12RIK, AI847101, AW490653, C76116, KIAA0882, MDR1, RGD1308221	TBC1 domain family, member 9 (with GRAM domain)	212956_at
TFRC	2610028K12Rik, AI195355, AI426448, AU015758, CD71, E430033M20Rik, Mtvr-1, p90, TFNR, TFR, TFR1, TRANSFERRIN RECEPTOR, TRFR	transferrin receptor (p90, CD71)	208691_at
TRPV6	ABP/ZF, Cac, CAT, CAT-L, CAT1, Crac, ECAC2, HSA277909, LP6728, Otrpc3, ZFAB	transient receptor potential cation channel, subfamily V, member 6	206827_s_at
