# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_007048|NM_007048	hgnc_symbol|BTN3A1|BTN3A1
refseq_dna|NM_001281|NM_001281	hgnc_symbol|TBCB|TBCB
refseq_dna|NM_017996|NM_017996	hgnc_symbol|DET1|DET1
refseq_dna|NM_014846|NM_014846	hgnc_symbol|KIAA0196|KIAA0196
refseq_dna|NM_024421|NM_024421	hgnc_symbol|DSC1|DSC1
refseq_dna|NM_016179|NM_016179	hgnc_symbol|TRPC4|TRPC4
entrezgene|AF169631|58189	hgnc_symbol|WFDC1|WFDC1
refseq_dna|NM_003590|NM_003590	hgnc_symbol|CUL3|CUL3
refseq_dna|NM_018118|NM_018118
refseq_dna|NM_003943|NM_003943	hgnc_symbol|STBD1|STBD1
refseq_dna|NM_014297|NM_014297	hgnc_symbol|ETHE1|ETHE1
refseq_dna|NM_016202|NM_016202	hgnc_symbol|ZNF580|ZNF580
refseq_dna|NM_003738|NM_003738	hgnc_symbol|PTCH2|PTCH2
refseq_dna|XM_004628|XM_004628
refseq_dna|NM_024745|NM_024745	hgnc_symbol|SHCBP1|SHCBP1
refseq_dna|NM_024612|NM_024612	hgnc_symbol|DHX40|DHX40
refseq_dna|NM_016242|NM_016242	hgnc_symbol|EMCN|EMCN
refseq_dna|NM_016936|NM_016936	hgnc_symbol|UBN1|UBN1
refseq_dna|NM_016283|NM_016283	hgnc_symbol|TAF9|TAF9
refseq_dna|NM_024838|NM_024838	hgnc_symbol|THNSL1|THNSL1
refseq_dna|NM_006101|NM_006101	hgnc_symbol|NDC80|NDC80
refseq_dna|NM_003863|NM_003863	hgnc_symbol|DPM2|DPM2
refseq_dna|NM_000510|NM_000510	hgnc_symbol|FSHB|FSHB
refseq_dna|NM_020161|NM_020161
refseq_dna|NM_003318|NM_003318	hgnc_symbol|TTK|TTK
refseq_dna|NM_024604|NM_024604	hgnc_symbol|RPAP3|RPAP3
refseq_dna|NM_006615|NM_006615	hgnc_symbol|CAPN9|CAPN9
refseq_dna|NM_000438|NM_000438	hgnc_symbol|PAX3|PAX3
refseq_dna|NM_006197|NM_006197	hgnc_symbol|PCM1|PCM1
refseq_dna|NM_003038|NM_003038	hgnc_symbol|SLC1A4|SLC1A4
refseq_dna|NM_000671|NM_000671	hgnc_symbol|ADH5|ADH5
refseq_dna|NM_016301|NM_016301	hgnc_symbol|GPN3|GPN3
refseq_dna|NM_022817|NM_022817	hgnc_symbol|PER2|PER2
refseq_dna|NM_004554|NM_004554	hgnc_symbol|NFATC4|NFATC4
refseq_dna|NM_004923|NM_004923	hgnc_symbol|MTL5|MTL5
refseq_dna|NM_006466|NM_006466	hgnc_symbol|POLR3F|POLR3F
refseq_dna|NM_000550|NM_000550	hgnc_symbol|TYRP1|TYRP1
refseq_dna|NM_006716|NM_006716	hgnc_symbol|DBF4|DBF4
refseq_dna|NM_017896|NM_017896	hgnc_symbol|GID8|GID8
refseq_dna|NM_023013|NM_023013
refseq_dna|NM_002024|NM_002024	hgnc_symbol|FMR1|FMR1
refseq_dna|NM_017635|NM_017635	hgnc_symbol|SUV420H1|SUV420H1
refseq_dna|NM_014622|NM_014622	hgnc_symbol|VWA5A|VWA5A
refseq_dna|NM_004161|NM_004161	hgnc_symbol|RAB1A|RAB1A
refseq_dna|NM_001788|NM_001788	hgnc_symbol|SEPT7|SEPT7
refseq_dna|NM_023075|NM_023075	hgnc_symbol|MPPE1|MPPE1
refseq_dna|NM_014897|NM_014897
refseq_dna|NM_020390|NM_020390	hgnc_symbol|EIF5A2|EIF5A2
refseq_dna|NM_007029|NM_007029	hgnc_symbol|STMN2|STMN2
refseq_dna|NM_017779|NM_017779	hgnc_symbol|DEPDC1|DEPDC1
refseq_dna|NM_000250|NM_000250	hgnc_symbol|MPO|MPO
refseq_dna|NM_014066|NM_014066	hgnc_symbol|ZNF7|ZNF7
refseq_dna|NM_002203|NM_002203	hgnc_symbol|ITGA2|ITGA2
refseq_dna|NM_000239|NM_000239	hgnc_symbol|LYZ|LYZ
refseq_dna|NM_021100|NM_021100	hgnc_symbol|NFS1|NFS1
refseq_dna|NM_006422|NM_006422	hgnc_symbol|AKAP3|AKAP3
refseq_dna|NM_018668|NM_018668	hgnc_symbol|VPS33B|VPS33B
refseq_dna|NM_018155|NM_018155	hgnc_symbol|SLC25A36|SLC25A36
refseq_dna|XM_071473|XM_071473
refseq_dna|NM_004249|NM_004249	hgnc_symbol|RAB28|RAB28
refseq_dna|NM_020651|NM_020651	hgnc_symbol|PELI1|PELI1
refseq_dna|NM_023936|NM_023936	hgnc_symbol|MRPS34|MRPS34
refseq_dna|NM_016570|NM_016570	hgnc_symbol|ERGIC2|ERGIC2
refseq_dna|NM_012319|NM_012319	hgnc_symbol|SLC39A6|SLC39A6
refseq_dna|NM_017443|NM_017443	hgnc_symbol|POLE3|POLE3
refseq_dna|NM_017806|NM_017806	hgnc_symbol|LIME1|LIME1
refseq_dna|NM_018938|NM_018938	hgnc_symbol|PCDHB4|PCDHB4
refseq_dna|NM_002411|NM_002411	hgnc_symbol|SCGB2A2|SCGB2A2
refseq_dna|NM_016221|NM_016221	hgnc_symbol|DCTN4|DCTN4
refseq_dna|NM_005928|NM_005928	hgnc_symbol|MFGE8|MFGE8
refseq_dna|NM_018101|NM_018101	hgnc_symbol|CDCA8|CDCA8
refseq_dna|NM_002492|NM_002492	hgnc_symbol|NDUFB5|NDUFB5
refseq_dna|NM_001231|NM_001231	hgnc_symbol|PEA15|PEA15
refseq_dna|NM_007237|NM_007237	hgnc_symbol|SP140|SP140
refseq_dna|NM_025074|NM_025074	hgnc_symbol|FRAS1|FRAS1
refseq_dna|NM_015985|NM_015985	hgnc_symbol|ANGPT4|ANGPT4
refseq_dna|NM_002867|NM_002867	hgnc_symbol|RAB3B|RAB3B
refseq_dna|NM_000538|NM_000538	hgnc_symbol|RFXAP|RFXAP
refseq_dna|NM_004288|NM_004288	hgnc_symbol|CYTIP|CYTIP
refseq_dna|NM_019855|NM_019855	hgnc_symbol|CABP5|CABP5
refseq_dna|NM_000364|NM_000364	hgnc_symbol|TNNT2|TNNT2
refseq_dna|NM_016291|NM_016291	hgnc_symbol|IP6K2|IP6K2
refseq_dna|NM_000917|NM_000917	hgnc_symbol|P4HA1|P4HA1
refseq_dna|NM_023915|NM_023915	hgnc_symbol|GPR87|GPR87
refseq_dna|NM_020244|NM_020244	hgnc_symbol|CHPT1|CHPT1
refseq_dna|NM_003032|NM_003032	hgnc_symbol|ST6GAL1|ST6GAL1
refseq_dna|NM_014648|NM_014648	hgnc_symbol|DZIP3|DZIP3
refseq_dna|NM_018676|NM_018676	hgnc_symbol|THSD1|THSD1
refseq_dna|NM_018009|NM_018009	hgnc_symbol|TAPBPL|TAPBPL
refseq_dna|NM_003860|NM_003860	hgnc_symbol|BANF1|BANF1
refseq_dna|NM_021145|NM_021145
refseq_dna|NM_003443|NM_003443	hgnc_symbol|ZBTB17|ZBTB17
refseq_dna|NM_007249|NM_007249	hgnc_symbol|KLF12|KLF12
refseq_dna|NM_000228|NM_000228	hgnc_symbol|LAMB3|LAMB3
refseq_dna|NM_003900|NM_003900	hgnc_symbol|SQSTM1|SQSTM1
refseq_dna|NM_002393|NM_002393	hgnc_symbol|MDM4|MDM4
refseq_dna|NM_017622|NM_017622	hgnc_symbol|C17orf59|C17orf59
refseq_dna|NM_020356|NM_020356	hgnc_symbol|CASS4|CASS4
refseq_dna|NM_002834|NM_002834	hgnc_symbol|PTPN11|PTPN11
refseq_dna|NM_024860|NM_024860	hgnc_symbol|SETD6|SETD6
refseq_dna|NM_017738|NM_017738	hgnc_symbol|CNTLN|CNTLN
refseq_dna|NM_015317|NM_015317	hgnc_symbol|PUM2|PUM2
refseq_dna|NM_006332|NM_006332	hgnc_symbol|IFI30|IFI30
refseq_dna|XM_071474|XM_071474
refseq_dna|NM_001285|NM_001285	hgnc_symbol|CLCA1|CLCA1
refseq_dna|NM_005502|NM_005502	hgnc_symbol|ABCA1|ABCA1
refseq_dna|NM_004964|NM_004964	hgnc_symbol|HDAC1|HDAC1
refseq_dna|NM_014740|NM_014740	hgnc_symbol|EIF4A3|EIF4A3
refseq_dna|NM_015507|NM_015507	hgnc_symbol|EGFL6|EGFL6
refseq_dna|NM_016395|NM_016395	hgnc_symbol|PTPLAD1|PTPLAD1
refseq_dna|NM_014733|NM_014733	hgnc_symbol|ZFYVE16|ZFYVE16
refseq_dna|NM_016358|NM_016358	hgnc_symbol|IRX4|IRX4
refseq_dna|NM_004294|NM_004294	hgnc_symbol|MTRF1|MTRF1
refseq_dna|NM_000281|NM_000281	hgnc_symbol|PCBD1|PCBD1
refseq_dna|NM_004290|NM_004290	hgnc_symbol|RNF14|RNF14
refseq_dna|NM_006938|NM_006938	hgnc_symbol|SNRPD1|SNRPD1
refseq_dna|NM_015596|NM_015596	hgnc_symbol|KLK13|KLK13
refseq_dna|NM_002031|NM_002031	hgnc_symbol|FRK|FRK
refseq_dna|NM_020323|NM_020323	hgnc_symbol|ABCD4|ABCD4
refseq_dna|NM_005998|NM_005998	hgnc_symbol|CCT3|CCT3
refseq_dna|NM_018447|NM_018447
refseq_dna|NM_004869|NM_004869	hgnc_symbol|VPS4B|VPS4B
refseq_dna|NM_015718|NM_015718	hgnc_symbol|NOX3|NOX3
refseq_dna|NM_018593|NM_018593	hgnc_symbol|SLC16A10|SLC16A10
refseq_dna|NM_003186|NM_003186	hgnc_symbol|TAGLN|TAGLN
refseq_dna|NM_016103|NM_016103	hgnc_symbol|SAR1B|SAR1B
refseq_dna|NM_014335|NM_014335	hgnc_symbol|EID1|EID1
refseq_dna|NM_003394|NM_003394	hgnc_symbol|WNT10B|WNT10B
refseq_dna|NM_005830|NM_005830	hgnc_symbol|MRPS31|MRPS31
refseq_dna|NM_014428|NM_014428	hgnc_symbol|TJP3|TJP3
refseq_dna|NM_022337|NM_022337	hgnc_symbol|RAB38|RAB38
refseq_dna|NM_006817|NM_006817	hgnc_symbol|ERP29|ERP29
refseq_dna|NM_016055|NM_016055	hgnc_symbol|MRPL48|MRPL48
refseq_dna|XM_010999|XM_010999
refseq_dna|NM_017457|NM_017457	hgnc_symbol|CYTH2|CYTH2
refseq_dna|NM_003813|NM_003813	hgnc_symbol|ADAM21|ADAM21
refseq_dna|NM_006533|NM_006533	hgnc_symbol|MIA|MIA
refseq_dna|NM_019602|NM_019602
refseq_dna|NM_018616|NM_018616
refseq_dna|NM_000541|NM_000541	hgnc_symbol|SAG|SAG
refseq_dna|NM_014776|NM_014776	hgnc_symbol|GIT2|GIT2
refseq_dna|NM_024788|NM_024788	hgnc_symbol|C7orf63|C7orf63
refseq_dna|NM_005799|NM_005799	hgnc_symbol|INADL|INADL
refseq_dna|NM_016649|NM_016649	hgnc_symbol|ESF1|ESF1
refseq_dna|NM_007213|NM_007213	hgnc_symbol|PRAF2|PRAF2
refseq_dna|NM_003955|NM_003955	hgnc_symbol|SOCS3|SOCS3
refseq_dna|NM_001664|NM_001664	hgnc_symbol|RHOA|RHOA
refseq_dna|NM_022161|NM_022161	hgnc_symbol|BIRC7|BIRC7
refseq_dna|NM_006551|NM_006551	hgnc_symbol|SCGB1D2|SCGB1D2
refseq_dna|NM_002504|NM_002504	hgnc_symbol|NFX1|NFX1
refseq_dna|NM_012238|NM_012238	hgnc_symbol|SIRT1|SIRT1
refseq_dna|NM_024482|NM_024482	hgnc_symbol|GMEB1|GMEB1
refseq_dna|NM_006667|NM_006667	hgnc_symbol|PGRMC1|PGRMC1
refseq_dna|XM_037037|XM_037037
refseq_dna|NM_004567|NM_004567	hgnc_symbol|PFKFB4|PFKFB4
refseq_dna|NM_015952|NM_015952	hgnc_symbol|RWDD1|RWDD1
refseq_dna|NM_004538|NM_004538	hgnc_symbol|NAP1L3|NAP1L3
refseq_dna|NM_002075|NM_002075	hgnc_symbol|GNB3|GNB3
refseq_dna|NM_002731|NM_002731	hgnc_symbol|PRKACB|PRKACB
refseq_dna|NM_016125|NM_016125
refseq_dna|NM_001338|NM_001338	hgnc_symbol|CXADR|CXADR
refseq_dna|NM_006061|NM_006061	hgnc_symbol|CRISP3|CRISP3
refseq_dna|NM_003460|NM_003460	hgnc_symbol|ZP2|ZP2
refseq_dna|NM_000303|NM_000303	hgnc_symbol|PMM2|PMM2
refseq_dna|NM_000291|NM_000291	hgnc_symbol|PGK1|PGK1
refseq_dna|NM_024854|NM_024854	hgnc_symbol|PYROXD1|PYROXD1
refseq_dna|NM_012388|NM_012388	hgnc_symbol|BLOC1S6|BLOC1S6
refseq_dna|NM_006149|NM_006149	hgnc_symbol|LGALS4|LGALS4
refseq_dna|NM_020357|NM_020357	hgnc_symbol|PCNP|PCNP
refseq_dna|NM_003003|NM_003003	hgnc_symbol|SEC14L1|SEC14L1
refseq_dna|NM_005900|NM_005900	hgnc_symbol|SMAD1|SMAD1
refseq_dna|NM_013330|NM_013330	hgnc_symbol|NME7|NME7
refseq_dna|NM_022444|NM_022444	hgnc_symbol|SLC13A1|SLC13A1
refseq_dna|NM_020240|NM_020240	hgnc_symbol|CDC42SE2|CDC42SE2
refseq_dna|NM_020151|NM_020151	hgnc_symbol|STARD7|STARD7
refseq_dna|NM_000880|NM_000880	hgnc_symbol|IL7|IL7
refseq_dna|NM_016440|NM_016440	hgnc_symbol|VRK3|VRK3
refseq_dna|NM_020189|NM_020189
refseq_dna|NM_013980|NM_013980	hgnc_symbol|BNIP1|BNIP1
refseq_dna|NM_018147|NM_018147	hgnc_symbol|FAIM|FAIM
refseq_dna|NM_002706|NM_002706	hgnc_symbol|PPM1B|PPM1B
refseq_dna|NM_001242|NM_001242	hgnc_symbol|CD27|CD27
refseq_dna|NM_014475|NM_014475	hgnc_symbol|DHDH|DHDH
refseq_dna|NM_004215|NM_004215	hgnc_symbol|EBAG9|EBAG9
refseq_dna|NM_019084|NM_019084	hgnc_symbol|CCNJ|CCNJ
refseq_dna|NM_003435|NM_003435	hgnc_symbol|ZNF134|ZNF134
refseq_dna|NM_018301|NM_018301	hgnc_symbol|RBM41|RBM41
refseq_dna|NM_012448|NM_012448	hgnc_symbol|STAT5B|STAT5B
refseq_dna|NM_004518|NM_004518	hgnc_symbol|KCNQ2|KCNQ2
refseq_dna|XM_070924|XM_070924
refseq_dna|NM_000503|NM_000503	hgnc_symbol|EYA1|EYA1
refseq_dna|NM_003763|NM_003763	hgnc_symbol|STX16|STX16
refseq_dna|NM_001864|NM_001864	hgnc_symbol|COX7A1|COX7A1
refseq_dna|NM_002598|NM_002598	hgnc_symbol|PDCD2|PDCD2
refseq_dna|NM_016107|NM_016107	hgnc_symbol|ZFR|ZFR
refseq_dna|NM_015859|NM_015859	hgnc_symbol|GTF2A1|GTF2A1
refseq_dna|NM_017960|NM_017960
refseq_dna|NM_002029|NM_002029	hgnc_symbol|FPR1|FPR1
refseq_dna|NM_002439|NM_002439	hgnc_symbol|MSH3|MSH3
refseq_dna|NM_005558|NM_005558	hgnc_symbol|LAD1|LAD1
refseq_dna|NM_019605|NM_019605	hgnc_symbol|SERTAD4|SERTAD4
refseq_dna|NM_006860|NM_006860	hgnc_symbol|IFT27|IFT27
refseq_dna|NM_002987|NM_002987	hgnc_symbol|CCL17|CCL17
refseq_dna|NM_006064|NM_006064	hgnc_symbol|RRAGB|RRAGB
refseq_dna|NM_007049|NM_007049	hgnc_symbol|BTN2A1|BTN2A1
refseq_dna|NM_024811|NM_024811	hgnc_symbol|CPSF7|CPSF7
refseq_dna|NM_014767|NM_014767	hgnc_symbol|SPOCK2|SPOCK2
refseq_dna|XM_071391|XM_071391
refseq_dna|NM_004788|NM_004788	hgnc_symbol|UBE4A|UBE4A
refseq_dna|NM_025133|NM_025133	hgnc_symbol|FBXO11|FBXO11
refseq_dna|NM_005095|NM_005095	hgnc_symbol|ZMYM4|ZMYM4
refseq_dna|NM_016044|NM_016044	hgnc_symbol|FAHD2A|FAHD2A
refseq_dna|NM_005662|NM_005662	hgnc_symbol|VDAC3|VDAC3
refseq_dna|NM_016508|NM_016508	hgnc_symbol|CDKL3|CDKL3
refseq_dna|NM_003206|NM_003206	hgnc_symbol|TCF21|TCF21
refseq_dna|NM_018239|NM_018239	hgnc_symbol|LRRC20|LRRC20
refseq_dna|NM_024572|NM_024572	hgnc_symbol|GALNT14|GALNT14
refseq_dna|NM_006180|NM_006180	hgnc_symbol|NTRK2|NTRK2
refseq_dna|NM_012144|NM_012144	hgnc_symbol|DNAI1|DNAI1
refseq_dna|NM_022755|NM_022755	hgnc_symbol|IPPK|IPPK
refseq_dna|NM_025071|NM_025071
refseq_dna|NM_016466|NM_016466	hgnc_symbol|ANKRD39|ANKRD39
refseq_dna|NM_005414|NM_005414	hgnc_symbol|SKIL|SKIL
refseq_dna|NM_002063|NM_002063	hgnc_symbol|GLRA2|GLRA2
refseq_dna|XM_011354|XM_011354
refseq_dna|NM_002432|NM_002432	hgnc_symbol|MNDA|MNDA
refseq_dna|NM_024694|NM_024694
refseq_dna|NM_019857|NM_019857	hgnc_symbol|CTPS2|CTPS2
refseq_dna|NM_004434|NM_004434	hgnc_symbol|EML1|EML1
refseq_dna|NM_015380|NM_015380	hgnc_symbol|SAMM50|SAMM50
refseq_dna|NM_002970|NM_002970	hgnc_symbol|SAT1|SAT1
refseq_dna|NM_021570|NM_021570	hgnc_symbol|BARX1|BARX1
refseq_dna|NM_017410|NM_017410	hgnc_symbol|HOXC13|HOXC13
refseq_dna|NM_012108|NM_012108	hgnc_symbol|STAP1|STAP1
entrezgene|AK001831|54503	hgnc_symbol|ZDHHC13|ZDHHC13
entrezgene|M64486|796	hgnc_symbol|CALCA|CALCA
refseq_dna|NM_001618|NM_001618	hgnc_symbol|PARP1|PARP1
refseq_dna|NM_016545|NM_016545	hgnc_symbol|IER5|IER5
refseq_dna|NM_021830|NM_021830	hgnc_symbol|C10orf2|C10orf2
refseq_dna|NM_022487|NM_022487	hgnc_symbol|DCLRE1C|DCLRE1C
refseq_dna|NM_014929|NM_014929	hgnc_symbol|FASTKD2|FASTKD2
refseq_dna|NM_033300|NM_033300	hgnc_symbol|LRP8|LRP8
refseq_dna|NM_000619|NM_000619	hgnc_symbol|IFNG|IFNG
refseq_dna|NM_015192|NM_015192	hgnc_symbol|PLCB1|PLCB1
refseq_dna|NM_000699|NM_000699	hgnc_symbol|AMY1A|AMY1A
refseq_dna|NM_005843|NM_005843	hgnc_symbol|STAM2|STAM2
refseq_dna|NM_005927|NM_005927	hgnc_symbol|MFAP3|MFAP3
refseq_dna|NM_018538|NM_018538	hgnc_symbol|ERMAP|ERMAP
refseq_dna|NM_024574|NM_024574	hgnc_symbol|NDNF|NDNF
refseq_dna|NM_001289|NM_001289	hgnc_symbol|CLIC2|CLIC2
refseq_dna|NM_002849|NM_002849	hgnc_symbol|PTPRR|PTPRR
refseq_dna|NM_014283|NM_014283	hgnc_symbol|SUCO|SUCO
refseq_dna|NM_017633|NM_017633	hgnc_symbol|FAM46A|FAM46A
refseq_dna|NM_005370|NM_005370	hgnc_symbol|RAB8A|RAB8A
refseq_dna|NM_025044|NM_025044	hgnc_symbol|BICC1|BICC1
refseq_dna|NM_016008|NM_016008	hgnc_symbol|DYNC2LI1|DYNC2LI1
refseq_dna|NM_006919|NM_006919	hgnc_symbol|SERPINB3|SERPINB3
refseq_dna|NM_002930|NM_002930	hgnc_symbol|RIT2|RIT2
refseq_dna|NM_025149|NM_025149	hgnc_symbol|ACSF2|ACSF2
refseq_dna|NM_024094|NM_024094	hgnc_symbol|DSCC1|DSCC1
refseq_dna|NM_022873|NM_022873	hgnc_symbol|IFI6|IFI6
refseq_dna|NM_000485|NM_000485	hgnc_symbol|APRT|APRT
refseq_dna|NM_024576|NM_024576	hgnc_symbol|OGFRL1|OGFRL1
refseq_dna|NM_005269|NM_005269	hgnc_symbol|GLI1|GLI1
refseq_dna|NM_012153|NM_012153	hgnc_symbol|EHF|EHF
refseq_dna|NM_001677|NM_001677	hgnc_symbol|ATP1B1|ATP1B1
refseq_dna|NM_014161|NM_014161	hgnc_symbol|MRPL18|MRPL18
refseq_dna|NM_014564|NM_014564	hgnc_symbol|LHX3|LHX3
refseq_dna|NM_024887|NM_024887	hgnc_symbol|DHDDS|DHDDS
refseq_dna|NM_023074|NM_023074	hgnc_symbol|ZNF649|ZNF649
refseq_dna|NM_012465|NM_012465	hgnc_symbol|TLL2|TLL2
refseq_dna|NM_022134|NM_022134	hgnc_symbol|GAL3ST2|GAL3ST2
refseq_dna|NM_016374|NM_016374	hgnc_symbol|ARID4B|ARID4B
refseq_dna|NM_013242|NM_013242	hgnc_symbol|C16orf80|C16orf80
refseq_dna|NM_003409|NM_003409	hgnc_symbol|ZFP161|ZFP161
refseq_dna|NM_005163|NM_005163	hgnc_symbol|AKT1|AKT1
refseq_dna|NM_006608|NM_006608	hgnc_symbol|PHTF1|PHTF1
refseq_dna|NM_001326|NM_001326	hgnc_symbol|CSTF3|CSTF3
refseq_dna|NM_003000|NM_003000	hgnc_symbol|SDHB|SDHB
refseq_dna|NM_001956|NM_001956	hgnc_symbol|EDN2|EDN2
refseq_dna|NM_005136|NM_005136
refseq_dna|NM_024545|NM_024545	hgnc_symbol|SAP130|SAP130
refseq_dna|NM_033301|NM_033301	hgnc_symbol|RPL8|RPL8
refseq_dna|NM_002413|NM_002413	hgnc_symbol|MGST2|MGST2
refseq_dna|NM_025228|NM_025228	hgnc_symbol|TRAF3IP3|TRAF3IP3
refseq_dna|XM_018270|XM_018270
refseq_dna|NM_024642|NM_024642	hgnc_symbol|GALNT12|GALNT12
refseq_dna|NM_005624|NM_005624	hgnc_symbol|CCL25|CCL25
refseq_dna|NM_000879|NM_000879	hgnc_symbol|IL5|IL5
refseq_dna|NM_019016|NM_019016	hgnc_symbol|KRT24|KRT24
refseq_dna|NM_005531|NM_005531	hgnc_symbol|IFI16|IFI16
refseq_dna|NM_004225|NM_004225	hgnc_symbol|MFHAS1|MFHAS1
refseq_dna|NM_025157|NM_025157
refseq_dna|XM_016165|XM_016165
refseq_dna|NM_006823|NM_006823	hgnc_symbol|PKIA|PKIA
refseq_dna|NM_004544|NM_004544	hgnc_symbol|NDUFA10|NDUFA10
refseq_dna|NM_001908|NM_001908	hgnc_symbol|CTSB|CTSB
refseq_dna|NM_024800|NM_024800	hgnc_symbol|NEK11|NEK11
refseq_dna|NM_020361|NM_020361	hgnc_symbol|CPA6|CPA6
