Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	28 genes overlap with 185 genes associated with cardiovascular disease as identified by IPA	10 genes around loci associated with lipid metabolism as identified by GWAS (ref1 and ref2)	8 genes around loci associated with lipid metabolism and coronary heart disease as identified by GWAS (ref3 and ref4)	41 Lipid associated genes that show sex-biased expression in both human and mouse liver	33 Lipid associated genes that show sex-biased expression in both human and rat liver	21 common lipid associated genes that show sex-biased expression in human, mouse and rat liver	Gene Accession	Gene Name	GO Annotation	Sex-bias	Composite array score	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)
A_23_P82523	chr7:87135313-87135359	ABCB1	0	0	0	1	1	1	NM_000927	ATP-binding cassette, sub-family B (MDR/TAP), member 1	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|ATPase activity|IEA|GO:0016887|GOA|na//molecular function|ATPase activity, coupled to transmembrane movement of substances|TAS|GO:0042626|GOA|3022150//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|17088979//molecular function|transporter activity|TAS|GO:0005215|GOA|3022150//molecular function|xenobiotic-transporting ATPase activity|IEA|GO:0008559|GOA|na//biological process|response to drug|TAS|GO:0042493|GOA|3022150//biological process|transmembrane transport|IEA|GO:0055085|GOA|na//biological process|transport|TAS|GO:0006810|GOA|3022150//cellular component|cell surface|IDA|GO:0009986|GOA|12493773//cellular component|focal adhesion|IDA|GO:0005925|GOA|18029348//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane fraction|TAS|GO:0005624|GOA|3022150//cellular component|nucleus|IDA|GO:0005634|GOA|18029348//cellular component|plasma membrane|IDA|GO:0005886|GOA|18029348	M	15	1.2304	1.2304	6.6415E-14	3351.9297	4137.4727
A_23_P97795	chr10:27493392-27493451	ACBD5	0	0	0	1	0	0	NR_024150	acyl-CoA binding domain containing 5	molecular function|acyl-CoA binding|IEA|GO:0000062|GOA|na//molecular function|lipid binding|IEA|GO:0008289|GOA|na//biological process|transport|IEA|GO:0006810|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	15	0.8543	-1.1706	6.2943E-07	2163.8831	1840.556
A_23_P38952	chr19:6312421-6312480	ACER1	0	0	0	0	0	0	NM_133492	Alkaline ceramidase 1	molecular function|ceramidase activity|EXP|GO:0017040|GOA|17713573//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//biological process|ceramide catabolic process|IEA|GO:0046514|GOA|na//biological process|regulation of lipid metabolic process|IEA|GO:0019216|GOA|na//biological process|sphingolipid metabolic process|IEA|GO:0006665|GOA|na//cellular component|Golgi membrane|IEA|GO:0000139|GOA|na//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|EXP|GO:0005789|GOA|17713573//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	M	14	1.2175	1.2175	0.000031155	17.4706	21.3707
A_24_P367776	chr16:20430976-20431035	ACSM5	0	0	0	0	1	0	BC016703	Acyl-CoA synthetase medium-chain family member 5	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|GTP binding|IEA|GO:0005525|GOA|na//molecular function|butyrate-CoA ligase activity|IEA|GO:0047760|GOA|na//molecular function|ligase activity|IEA|GO:0016874|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//biological process|fatty acid metabolic process|IEA|GO:0006631|GOA|na//biological process|lipid metabolic process|IEA|GO:0006629|GOA|na//biological process|metabolic process|IEA|GO:0008152|GOA|na//cellular component|mitochondrial matrix|IEA|GO:0005759|GOA|na//cellular component|mitochondrion|IEA|GO:0005739|GOA|na	F	15	0.8488	-1.1782	6.1414E-15	820.8054	694.8997
A_23_P92562	chr4:100333763-100333822	ADH7	0	0	0	0	1	0	NM_001166504	Alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	molecular function|alcohol dehydrogenase (NAD) activity|TAS|GO:0004022|GOA|8074657//molecular function|alcohol dehydrogenase activity, zinc-dependent|IDA|GO:0004024|GOA|7876099//molecular function|aldehyde oxidase activity|IDA|GO:0004031|GOA|9600267//molecular function|binding|IEA|GO:0005488|GOA|na//molecular function|ethanol binding|IDA|GO:0035276|GOA|9228021//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|receptor antagonist activity|IDA|GO:0048019|GOA|9600267//molecular function|retinol binding|IDA|GO:0019841|GOA|9228021//molecular function|retinol dehydrogenase activity|IDA|GO:0004745|GOA|ARRAY(0x12c5070)//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|ethanol oxidation|IDA|GO:0006069|GOA|7876099//biological process|fatty acid omega-oxidation|IDA|GO:0010430|GOA|9600267//biological process|oxidation reduction|IDA|GO:0055114|GOA|7876099//biological process|response to ethanol|IDA|GO:0045471|GOA|9600267//biological process|retinoid metabolic process|IDA|GO:0001523|GOA|9600267//cellular component|cytoplasm|IEA|GO:0005737|GOA|na	F	15	0.5637	-1.7739	4.8408E-16	41.5156	23.3762
A_24_P29876	chr8:6616823-6616882	AGPAT5	1	0	0	0	0	0	NM_018361	1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)	molecular function|1-acylglycerol-3-phosphate O-acyltransferase activity|NAS|GO:0003841|GOA|15367102//molecular function|acyltransferase activity|IEA|GO:0008415|GOA|na//molecular function|phospholipid:diacylglycerol acyltransferase activity|EXP|GO:0046027|GOA|11487472//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|metabolic process|IEA|GO:0008152|GOA|na//biological process|phospholipid biosynthetic process|NAS|GO:0008654|GOA|15367102//cellular component|cellular_component|ND|GO:0005575|GOA|na//cellular component|cytosol|EXP|GO:0005829|GOA|11487472//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|mitochondrion|IDA|GO:0005739|GOA|11256614	M	16	1.3893	1.3893	5.2326E-19	2885.5964	4030.7615
A_24_P129341	chr7:134225799-134225858	AKR1B10	0	0	0	0	1	0	NM_020299	Aldo-keto reductase family 1, member B10 (aldose reductase)	molecular function|aldo-keto reductase activity|TAS|GO:0004033|GOA|9565553//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|18056116//biological process|cellular aldehyde metabolic process|TAS|GO:0006081|GOA|9565553//biological process|digestion|TAS|GO:0007586|GOA|9565553//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|steroid metabolic process|TAS|GO:0008202|GOA|9565553//cellular component|cellular_component|ND|GO:0005575|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na	M	14	1.6494	1.6494	0.000034901	2765.6411	4788.874
A_24_P923353	chr6:24535617-24535676	ALDH5A1	1	0	0	1	1	1	NM_170740	Aldehyde dehydrogenase 5 family, member A1	molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|protein homodimerization activity|IC|GO:0042803|GOA|16199352//molecular function|succinate-semialdehyde dehydrogenase activity|IDA|GO:0004777|GOA|9683595//molecular function|succinate-semialdehyde dehydrogenase activity|ISS|GO:0004777|GOA|7814412//biological process|acetate metabolic process|ISS|GO:0006083|GOA|na//biological process|central nervous system development|IMP|GO:0007417|GOA|9683595//biological process|galactosylceramide metabolic process|ISS|GO:0006681|GOA|na//biological process|gamma-aminobutyric acid catabolic process|IDA|GO:0009450|GOA|9683595//biological process|gamma-aminobutyric acid catabolic process|IMP|GO:0009450|GOA|15037717//biological process|glucose metabolic process|ISS|GO:0006006|GOA|na//biological process|glutamate metabolic process|ISS|GO:0006536|GOA|na//biological process|glutamine metabolic process|ISS|GO:0006541|GOA|na//biological process|glutathione metabolic process|ISS|GO:0006749|GOA|na//biological process|glycerophospholipid metabolic process|ISS|GO:0006650|GOA|na//biological process|neurotransmitter catabolic process|ISS|GO:0042135|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|protein homotetramerization|IDA|GO:0051289|GOA|16199352//biological process|respiratory electron transport chain|ISS|GO:0022904|GOA|na//biological process|short-chain fatty acid metabolic process|ISS|GO:0046459|GOA|na//biological process|succinate metabolic process|ISS|GO:0006105|GOA|na//cellular component|mitochondrion|ISS|GO:0005739|GOA|na//cellular component|soluble fraction|IDA|GO:0005625|GOA|16199352	F	14	0.8622	-1.1598	2.1279E-06	2580.7979	2218.3975
A_24_P385280	chr1:165631976-165632035	ALDH9A1	0	0	0	0	0	0	NM_000696	Aldehyde dehydrogenase 9 family, member A1	molecular function|4-trimethylammoniobutyraldehyde dehydrogenase activity|IEA|GO:0047105|GOA|na//molecular function|aldehyde dehydrogenase (NAD) activity|IDA|GO:0004029|GOA|2925663//molecular function|aminobutyraldehyde dehydrogenase activity|IDA|GO:0019145|GOA|ARRAY(0xf64d40)//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//biological process|carnitine metabolic process|IEA|GO:0009437|GOA|na//biological process|cellular aldehyde metabolic process|IDA|GO:0006081|GOA|8645224//biological process|hormone metabolic process|TAS|GO:0042445|GOA|2925663//biological process|neurotransmitter biosynthetic process|IDA|GO:0042136|GOA|2925663//biological process|oxidation reduction|IDA|GO:0055114|GOA|2925663//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|cytoplasm|TAS|GO:0005737|GOA|2925663//cellular component|cytoskeleton|IDA|GO:0005856|GOA|18029348//cellular component|cytosol|IEA|GO:0005829|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|18029348	F	16	0.8391	-1.1917	1.7684E-15	25096.2227	21042.9746
A_24_P143599	chr13:113460565-113460608	ATP11A	0	0	0	1	1	1	NM_032189	ATPase, class VI, type 11A	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism|IEA|GO:0015662|GOA|na//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances|IEA|GO:0016820|GOA|na//molecular function|magnesium ion binding|IEA|GO:0000287|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|phospholipid-translocating ATPase activity|IEA|GO:0004012|GOA|na//biological process|ATP biosynthetic process|IEA|GO:0006754|GOA|na//biological process|phospholipid transport|IEA|GO:0015914|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	14	0.8262	-1.2104	0.000000385	11.023	8.9896
A_24_P340428	chr3:182553899-182554157	ATP11B	0	0	0	1	0	0	NM_014616	ATPase, class VI, type 11B	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism|IEA|GO:0015662|GOA|na//molecular function|binding|NAS|GO:0005488|GOA|11790799//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances|IEA|GO:0016820|GOA|na//molecular function|ion transmembrane transporter activity|NAS|GO:0015075|GOA|11790799//molecular function|magnesium ion binding|IEA|GO:0000287|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|phospholipid-translocating ATPase activity|TAS|GO:0004012|GOA|11015572//biological process|ATP biosynthetic process|IEA|GO:0006754|GOA|na//biological process|aminophospholipid transport|TAS|GO:0015917|GOA|11015572//biological process|ion transport|NAS|GO:0006811|GOA|11790799//biological process|metabolic process|IEA|GO:0008152|GOA|na//biological process|phospholipid transport|IEA|GO:0015914|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|nuclear inner membrane|NAS|GO:0005637|GOA|11790799	F	14	0.6922	-1.4448	2.5819E-12	263.8795	180.0374
A_24_P341985	chr11:112085547-112085606	BCO2	0	0	0	1	1	1	NM_031938	Beta-carotene oxygenase 2	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|IDA|GO:0016702|GOA|11278918//biological process|carotene metabolic process|IDA|GO:0016119|GOA|11278918//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|retinal metabolic process|NAS|GO:0042574|GOA|11278918//biological process|retinoic acid metabolic process|NAS|GO:0042573|GOA|11278918//cellular component|intracellular|IC|GO:0005622|GOA|11278918	F	15	0.7581	-1.3191	8.3575E-14	7138.1284	5404.6958
A_23_P9402	chr9:34551470-34551529	CNTFR	0	0	0	0	0	0	NM_147164	Ciliary neurotrophic factor receptor	molecular function|ciliary neurotrophic factor receptor activity|IDA|GO:0004897|GOA|12643274//molecular function|cytokine binding|IPI|GO:0019955|GOA|15272019//molecular function|protein binding|IPI|GO:0005515|GOA|17474147//molecular function|receptor activity|IEA|GO:0004872|GOA|na//molecular function|receptor binding|IPI|GO:0005102|GOA|12707266//biological process|ciliary neurotrophic factor-mediated signaling pathway|IDA|GO:0070120|GOA|12643274//biological process|nervous system development|TAS|GO:0007399|GOA|7585948//biological process|positive regulation of cell proliferation|IEA|GO:0008284|GOA|na//biological process|signal transduction|NAS|GO:0007165|GOA|1648265//cellular component|anchored to membrane|IEA|GO:0031225|GOA|na//cellular component|extrinsic to membrane|TAS|GO:0019898|GOA|1648265//cellular component|plasma membrane|IEA|GO:0005886|GOA|na	F	14	0.7734	-1.293	0.000043111	118.8671	91.2169
A_24_P17490	chr3:74313553-74313612	CNTN3	1	0	0	0	0	0	NM_020872	Contactin 3 (plasmacytoma associated)	molecular function|protein binding|IPI|GO:0005515|GOA|18272596//biological process|cell adhesion|IEA|GO:0007155|GOA|na//biological process|nervous system development|IEA|GO:0007399|GOA|na//cellular component|anchored to membrane|IEA|GO:0031225|GOA|na//cellular component|plasma membrane|IEA|GO:0005886|GOA|na	M	15	1.2992	1.2992	4.234E-15	216.2695	280.6779
A_23_P148919	chr1:53679252-53679311	CPT2	0	0	0	0	0	0	NM_000098	Carnitine palmitoyltransferase 2	molecular function|acyltransferase activity|IEA|GO:0008415|GOA|na//molecular function|carnitine O-palmitoyltransferase activity|EXP|GO:0004095|GOA|7711730//molecular function|carnitine O-palmitoyltransferase activity|NAS|GO:0004095|GOA|1988962//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|carnitine shuttle|EXP|GO:0006853|GOA|11257506//biological process|fatty acid beta-oxidation|NAS|GO:0006635|GOA|na//biological process|fatty acid metabolic process|IEA|GO:0006631|GOA|na//biological process|lipid metabolic process|IEA|GO:0006629|GOA|na//biological process|regulation of fatty acid oxidation|EXP|GO:0046320|GOA|16054041//biological process|transport|IEA|GO:0006810|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|mitochondrial inner membrane|EXP|GO:0005743|GOA|7711730//cellular component|mitochondrial inner membrane|NAS|GO:0005743|GOA|1988962//cellular component|mitochondrion|IEA|GO:0005739|GOA|na	F	15	0.8667	-1.1538	1.0887E-09	9238.125	7992.6948
A_24_P52597	chr10:104590302-104590361	CYP17A1	0	0	0	1	1	1	NM_000102	Cytochrome P450, family 17, subfamily A, polypeptide 1	molecular function|electron carrier activity|IEA|GO:0009055|GOA|na//molecular function|heme binding|IEA|GO:0020037|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|monooxygenase activity|IEA|GO:0004497|GOA|na//molecular function|oxygen binding|TAS|GO:0019825|GOA|2808364//molecular function|steroid 17-alpha-monooxygenase activity|EXP|GO:0004508|GOA|10406467//biological process|glucocorticoid biosynthetic process|IEA|GO:0006704|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|response to toxin|IEA|GO:0009636|GOA|na//biological process|sex differentiation|TAS|GO:0007548|GOA|9326943//biological process|steroid biosynthetic process|EXP|GO:0006694|GOA|15583024//cellular component|axon|IEA|GO:0030424|GOA|na//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|EXP|GO:0005789|GOA|10406467//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|mitochondrion|IEA|GO:0005739|GOA|na//cellular component|neuronal cell body|IEA|GO:0043025|GOA|na	F	16	0.784	-1.2755	4.8628E-15	261.4294	204.2796
A_23_P206113	chr15:75043624-75044138	CYP1A2	1	0	0	1	1	1	NM_000761	Cytochrome P450, family 1, subfamily A, polypeptide 2	molecular function|aromatase activity|IEA|GO:0070330|GOA|na//molecular function|caffeine oxidase activity|IDA|GO:0034875|GOA|18619574//molecular function|demethylase activity|IDA|GO:0032451|GOA|2813353//molecular function|electron carrier activity|TAS|GO:0009055|GOA|2813353//molecular function|enzyme binding|IPI|GO:0019899|GOA|15680923//molecular function|heme binding|IDA|GO:0020037|GOA|17311915//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|monooxygenase activity|IDA|GO:0004497|GOA|ARRAY(0x1561744)//molecular function|oxidoreductase activity|IDA|GO:0016491|GOA|ARRAY(0xfb3aa4)//molecular function|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen|IMP|GO:0016712|GOA|2813353//molecular function|oxygen binding|EXP|GO:0019825|GOA|8553685//biological process|alkaloid metabolic process|IDA|GO:0009820|GOA|11511187//biological process|cellular aromatic compound metabolic process|IEA|GO:0006725|GOA|na//biological process|cellular respiration|IEA|GO:0045333|GOA|na//biological process|dibenzo-p-dioxin metabolic process|IEA|GO:0018894|GOA|na//biological process|drug catabolic process|IMP|GO:0042737|GOA|18356043//biological process|drug metabolic process|IDA|GO:0017144|GOA|ARRAY(0xb08924)//biological process|exogenous drug catabolic process|IDA|GO:0042738|GOA|18619574//biological process|heterocycle metabolic process|IDA|GO:0046483|GOA|15327587//biological process|hydrogen peroxide biosynthetic process|IEA|GO:0050665|GOA|na//biological process|lung development|IEA|GO:0030324|GOA|na//biological process|monocarboxylic acid metabolic process|IDA|GO:0032787|GOA|19651758//biological process|monoterpenoid metabolic process|IDA|GO:0016098|GOA|16401082//biological process|oxidation reduction|IDA|GO:0055114|GOA|ARRAY(0x19dcf14)//biological process|oxidative demethylation|IDA|GO:0070989|GOA|18619574//biological process|porphyrin metabolic process|IEA|GO:0006778|GOA|na//biological process|post-embryonic development|IEA|GO:0009791|GOA|na//biological process|regulation of gene expression|IEA|GO:0010468|GOA|na//biological process|steroid catabolic process|IMP|GO:0006706|GOA|18356043//biological process|toxin biosynthetic process|IDA|GO:0009403|GOA|11511187//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|EXP|GO:0005789|GOA|8553685//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|microsome|IDA|GO:0005792|GOA|ARRAY(0x12e5370)	F	14	0.85388621	-1.1711	0.0018	3246.1978	2770.5159
A_24_P389251	chr7:99355787-99355846	CYP3A4	0	0	0	0	0	0	NM_017460	Cytochrome P450, family 3, subfamily A, polypeptide 4	molecular function|albendazole monooxygenase activity|IEA|GO:0047638|GOA|na//molecular function|caffeine oxidase activity|IDA|GO:0034875|GOA|18619574//molecular function|electron carrier activity|IEA|GO:0009055|GOA|na//molecular function|enzyme binding|IPI|GO:0019899|GOA|15680923//molecular function|heme binding|IEA|GO:0020037|GOA|na//molecular function|iron ion binding|IDA|GO:0005506|GOA|15256616//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|monooxygenase activity|IDA|GO:0004497|GOA|15327587//molecular function|monooxygenase activity|ISS|GO:0004497|GOA|na//molecular function|oxidoreductase activity|IDA|GO:0016491|GOA|ARRAY(0xe44364)//molecular function|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen|IEA|GO:0016712|GOA|na//molecular function|oxygen binding|EXP|GO:0019825|GOA|15365656//molecular function|quinine 3-monooxygenase activity|IEA|GO:0050591|GOA|na//molecular function|steroid binding|IDA|GO:0005496|GOA|15256616//molecular function|steroid hydroxylase activity|IMP|GO:0008395|GOA|18356043//molecular function|taurochenodeoxycholate 6alpha-hydroxylase activity|IEA|GO:0033780|GOA|na//molecular function|testosterone 6-beta-hydroxylase activity|IMP|GO:0050649|GOA|3259858//molecular function|vitamin D 24-hydroxylase activity|IDA|GO:0070576|GOA|15546903//molecular function|vitamin D3 25-hydroxylase activity|IDA|GO:0030343|GOA|15546903//biological process|alkaloid catabolic process|IDA|GO:0009822|GOA|15039299//biological process|androgen metabolic process|TAS|GO:0008209|GOA|19651758//biological process|drug catabolic process|IDA|GO:0042737|GOA|15039299//biological process|drug catabolic process|IMP|GO:0042737|GOA|18356043//biological process|drug metabolic process|IDA|GO:0017144|GOA|ARRAY(0x1562bac)//biological process|exogenous drug catabolic process|IDA|GO:0042738|GOA|18619574//biological process|heterocycle metabolic process|IDA|GO:0046483|GOA|15327587//biological process|lipid metabolic process|TAS|GO:0006629|GOA|2492107//biological process|monoterpenoid metabolic process|IDA|GO:0016098|GOA|16401082//biological process|oxidation reduction|IDA|GO:0055114|GOA|ARRAY(0xf4bd7c)//biological process|oxidative demethylation|IDA|GO:0070989|GOA|ARRAY(0xb75b1c)//biological process|steroid catabolic process|IMP|GO:0006706|GOA|18356043//biological process|steroid metabolic process|IMP|GO:0008202|GOA|3259858//biological process|vitamin D metabolic process|IC|GO:0042359|GOA|15546903//cellular component|cell surface|IDA|GO:0009986|GOA|12493773//cellular component|cytoplasm|IDA|GO:0005737|GOA|18446064//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|EXP|GO:0005789|GOA|15365656//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|microsome|IDA|GO:0005792|GOA|ARRAY(0x1a81df4)	F	14	0.7748	-1.2907	1.902E-08	100981.8125	78340.3203
A_24_P915256	chr7:99264336-99264395	CYP3A5	1	0	0	0	0	0	X90579	Cytochrome P450, family 3, subfamily A, polypeptide 5	molecular function|aromatase activity|IEA|GO:0070330|GOA|na//molecular function|electron carrier activity|IEA|GO:0009055|GOA|na//molecular function|heme binding|IEA|GO:0020037|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|monooxygenase activity|ISS|GO:0004497|GOA|na//molecular function|oxidoreductase activity|IDA|GO:0016491|GOA|15039299//molecular function|oxygen binding|EXP|GO:0019825|GOA|15454734//biological process|alkaloid catabolic process|IDA|GO:0009822|GOA|15039299//biological process|drug catabolic process|IDA|GO:0042737|GOA|15039299//biological process|oxidative demethylation|IDA|GO:0070989|GOA|15039299//biological process|steroid metabolic process|TAS|GO:0008202|GOA|2732228//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|EXP|GO:0005789|GOA|15454734//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|microsome|IEA|GO:0005792|GOA|na	M	14	1.2592	1.2592	1.9446E-10	3249.3716	4093.9119
A_23_P146198	chr8:59403414-59403473	CYP7A1	1	0	0	1	1	1	NM_000780	Cytochrome P450, family 7, subfamily A, polypeptide 1	molecular function|cholesterol 7-alpha-monooxygenase activity|EXP|GO:0008123|GOA|2384150//molecular function|cholesterol 7-alpha-monooxygenase activity|ISS|GO:0008123|GOA|na//molecular function|electron carrier activity|IEA|GO:0009055|GOA|na//molecular function|heme binding|IEA|GO:0020037|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|monooxygenase activity|IEA|GO:0004497|GOA|na//biological process|bile acid biosynthetic process|IDA|GO:0006699|GOA|19965590//biological process|bile acid biosynthetic process|ISS|GO:0006699|GOA|na//biological process|cellular response to cholesterol|ISS|GO:0071397|GOA|na//biological process|cellular response to glucose stimulus|IDA|GO:0071333|GOA|19965590//biological process|cholesterol catabolic process|ISS|GO:0006707|GOA|na//biological process|cholesterol homeostasis|ISS|GO:0042632|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|regulation of bile acid biosynthetic process|IDA|GO:0070857|GOA|19965590//biological process|regulation of bile acid biosynthetic process|ISS|GO:0070857|GOA|na//biological process|steroid metabolic process|IEA|GO:0008202|GOA|na//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|EXP|GO:0005789|GOA|2384150//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|microsome|ISS|GO:0005792|GOA|na	F	14	0.7179	-1.3929	0.000098919	1789.001	1270.5597
A_23_P112162	chr8:145540235-145540294	DGAT1	1	0	0	1	0	0	NM_012079	Diacylglycerol O-acyltransferase homolog 1 (mouse)	molecular function|2-acylglycerol O-acyltransferase activity|IEA|GO:0003846|GOA|na//molecular function|O-acyltransferase activity|IEA|GO:0008374|GOA|na//molecular function|acyltransferase activity|TAS|GO:0008415|GOA|9756920//molecular function|diacylglycerol O-acyltransferase activity|EXP|GO:0004144|GOA|11672446//molecular function|diacylglycerol binding|IEA|GO:0019992|GOA|na//molecular function|fatty acid binding|IEA|GO:0005504|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|glycerolipid metabolic process|IEA|GO:0046486|GOA|na//biological process|insulin secretion|IEA|GO:0030073|GOA|na//biological process|triglyceride biosynthetic process|IDA|GO:0019432|GOA|18238778//biological process|triglyceride metabolic process|TAS|GO:0006641|GOA|9756920//biological process|very-low-density lipoprotein particle assembly|IMP|GO:0034379|GOA|15308631//cellular component|cytosol|EXP|GO:0005829|GOA|11672446//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|IEA|GO:0005789|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|membrane fraction|IEA|GO:0005624|GOA|na//cellular component|microsome|IEA|GO:0005792|GOA|na	F	15	0.7838	-1.2758	9.1209E-15	1670.0767	1300.8889
A_24_P295791	chr11:75509279-75509338	DGAT2	1	0	0	1	1	1	NM_032564	Diacylglycerol O-acyltransferase homolog 2 (mouse)	molecular function|2-acylglycerol O-acyltransferase activity|IEA|GO:0003846|GOA|na//molecular function|acyltransferase activity|IEA|GO:0008415|GOA|na//molecular function|diacylglycerol O-acyltransferase activity|IDA|GO:0004144|GOA|11481335//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|glycerol metabolic process|IEA|GO:0006071|GOA|na//biological process|lipid biosynthetic process|IEA|GO:0008610|GOA|na//biological process|triglyceride biosynthetic process|IDA|GO:0019432|GOA|11481335//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|IEA|GO:0005789|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|membrane fraction|IDA|GO:0005624|GOA|11481335//cellular component|microsome|IEA|GO:0005792|GOA|na	F	15	0.781	-1.2805	1.1738E-09	3182.5115	2479.8694
