ProbeID	UNQ	UNQ_Short_Name	HUGO Symbol	SRCNAME
210457_x_at	UNQ5772	HMGA1	HMGA1	high mobility group AT-hook 1
223112_s_at	UNQ14082	NDUFB10	NDUFB10	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10, 22kDa
226333_at	UNQ923	IL6R	IL6R	interleukin 6 receptor
60474_at	UNQ20949	C20orf42	C20orf42	chromosome 20 open reading frame 42
206074_s_at	UNQ5772	HMGA1	HMGA1	high mobility group AT-hook 1
218856_at	UNQ437	TNFRSF21	TNFRSF21	tumor necrosis factor receptor superfamily, member 21
224909_s_at	UNQ16674	EAPS16674	NA	NA
209369_at	UNQ14083	ANXA3	ANXA3	annexin A3
227342_s_at	UNQ25939	MYEOV	MYEOV	myeloma overexpressed gene (in a subset of t(11;14) positive multiple myelomas)
215867_x_at	UNQ13558	CA12	CA12	carbonic anhydrase XII
212770_at	UNQ4601	TLE4	TLE3	transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)
226487_at	UNQ20292	FLJ14721	C12orf34	chromosome 12 open reading frame 34
214581_x_at	UNQ437	TNFRSF21	TNFRSF21	tumor necrosis factor receptor superfamily, member 21
204268_at	UNQ4926	S100A2	S100A2	S100 calcium binding protein A2
230183_at	UNQ5295	EXT1	EXT1	exostoses (multiple) 1
210692_s_at	UNQ32943	SLC43A3	SLC43A3	solute carrier family 43, member 3
1553530_a_at	UNQ1687	ITGB1	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)
235106_at	UNQ34598	DHX37	NA	NA
213113_s_at	UNQ32943	SLC43A3	SLC43A3	solute carrier family 43, member 3
217997_at	UNQ7723	PHLDA1	PHLDA1	pleckstrin homology-like domain, family A, member 1
201889_at	UNQ4407	FAM3C	FAM3C	family with sequence similarity 3, member C
213198_at	UNQ917	ACVR1B	ACVR1B	activin A receptor, type IB
219433_at	UNQ16823	BCOR	BCOR	BCL6 co-repressor
227606_s_at	UNQ16509	DNMD16509	STAMBPL1	STAM binding protein-like 1
209946_at	UNQ417	VEGFC	VEGFC	vascular endothelial growth factor C
224925_at	UNQ16674	EAPS16674	NA	NA
212531_at	UNQ1721	LCN2	LCN2	lipocalin 2 (oncogene 24p3)
1553858_at	UNQ11983	ZBTB3	ZBTB3	zinc finger and BTB domain containing 3
212151_at	UNQ4995	PBX1	PBX1	pre-B-cell leukemia homeobox 1
231035_s_at	NA	NA	NA	NA
212071_s_at	UNQ7408	SPTBN1	SPTBN1	spectrin, beta, non-erythrocytic 1
228340_at	UNQ4601	TLE4	TLE3	transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)
227272_at	UNQ26769	LOC374614	NA	NA
218000_s_at	UNQ7723	PHLDA1	PHLDA1	pleckstrin homology-like domain, family A, member 1
225688_s_at	UNQ20005	PLCXD2	PHLDB2	pleckstrin homology-like domain, family B, member 2
205660_at	UNQ17129	OASL	OASL	2-5-oligoadenylate synthetase-like
223194_s_at	UNQ11816	C6orf85	C6orf85	chromosome 6 open reading frame 85
221223_x_at	UNQ5695	CISH	CISH	cytokine inducible SH2-containing protein
223082_at	UNQ16865	SH3KBP1	SH3KBP1	SH3-domain kinase binding protein 1
1553678_a_at	UNQ1687	ITGB1	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)
208228_s_at	UNQ942	FGFR2	FGFR2	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrom
223601_at	UNQ20862	OLFM2	OLFM2	olfactomedin 2
209530_at	UNQ2071	CACNB3	CACNB3	calcium channel, voltage-dependent, beta 3 subunit
219014_at	UNQ4513	PLAC8	PLAC8	placenta-specific 8
205490_x_at	NA	NA	NA	NA
211599_x_at	UNQ42	cMet	MET	met proto-oncogene (hepatocyte growth factor receptor)
203108_at	UNQ5187	GPRC5A	GPRC5A	G protein-coupled receptor, family C, group 5, member A
213368_x_at	UNQ14562	PPFIA3	PPFIA3	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3
227558_at	UNQ10567	CBX4	CBX4	chromobox homolog 4 (Pc class homolog, Drosophila)
209626_s_at	UNQ14055	OSBPL3	OSBPL3	oxysterol binding protein-like 3
223484_at	UNQ8528	NMES1	C15orf48	chromosome 15 open reading frame 48
1554097_a_at	NA	NA	NA	NA
217999_s_at	UNQ7723	PHLDA1	PHLDA1	pleckstrin homology-like domain, family A, member 1
212143_s_at	UNQ119	IGFBP3	IGFBP3	insulin-like growth factor binding protein 3
221870_at	UNQ20884	EHD2	EHD2	EH-domain containing 2
209012_at	UNQ1870	TRIO	TRIO	triple functional domain (PTPRF interacting)
223301_s_at	UNQ17407	FLJ23518	CCDC82	coiled-coil domain containing 82
223566_s_at	UNQ16823	BCOR	BCOR	BCL6 co-repressor
204011_at	UNQ5147	SPRY2	SPRY2	sprouty homolog 2 (Drosophila)
224583_at	UNQ16648	COTL1	COTL1	coactosin-like 1 (Dictyostelium)
