Probe	UniGene ID	Gene Title	Gene Symbol	Fold change LGSI/PA
223654_s_at	Hs.435976	bruno-like 4, RNA binding protein (Drosophila)	BRUNOL4	8
201842_s_at	Hs.76224	EGF-containing fibulin-like extracellular matrix protein 1	EFEMP1	8
230303_at	Hs.648668	synaptoporin	SYNPR	8
203798_s_at	Hs.444212	visinin-like 1	VSNL1	8
206190_at	Hs.46453	G protein-coupled receptor 17	GPR17	8
204723_at	Hs.4865	sodium channel, voltage-gated, type III, beta	SCN3B	8
204339_s_at	Hs.386726	regulator of G-protein signaling 4	RGS4	8
229331_at	Hs.527090	spermatogenesis associated 18 homolog (rat)	SPATA18	7
203305_at	Hs.335513	coagulation factor XIII, A1 polypeptide	F13A1	7
214920_at	Hs.648482	thrombospondin, type I, domain containing 7A	THSD7A	7
207030_s_at	Hs.530904	cysteine and glycine-rich protein 2	CSRP2	7
212792_at	Hs.408623	dpy-19-like 1 (C. elegans)	DPY19L1	7
205110_s_at	Hs.6540	fibroblast growth factor 13	FGF13	7
235066_at	Hs.517949	microtubule-associated protein 4	MAP4	7
204684_at	Hs.702002	neuronal pentraxin I	NPTX1	7
201616_s_at	Hs.490203	caldesmon 1	CALD1	7
218084_x_at	Hs.333418	FXYD domain containing ion transport regulator 5	FXYD5	7
205876_at	Hs.133421	leukemia inhibitory factor receptor alpha	LIFR	7
204337_at	Hs.386726	regulator of G-protein signaling 4	RGS4	7
213131_at	Hs.522484	olfactomedin 1	OLFM1	7
204722_at	Hs.4865	sodium channel, voltage-gated, type III, beta	SCN3B	7
220131_at	Hs.134729	FXYD domain containing ion transport regulator 7	FXYD7	7
221914_at	Hs.225936	synapsin I	SYN1	7
201266_at	Hs.708065	thioredoxin reductase 1	TXNRD1	7
204035_at	Hs.516726	secretogranin II (chromogranin C)	SCG2	7
