ENSEMBL ID	GENESYMBOL	CYTOBAND	FOLD-CHANGE	P-VALUE
ENSG00000211026		NA	2.225459634	0.007052101
ENSG00000173918	C1QTNF1	17q25.3	2.625047145	0.007518736
ENSG00000162493	PDPN	1p36.21	5.286880313	0.007626318
ENSG00000210196		NA	2.286403452	0.007656015
ENSG00000197646	PDCD1LG2	9p24.2	2.710288946	0.007821374
ENSG00000109062	SLC9A3R1	17q25.1	2.333162298	0.007945153
ENSG00000154928	EPHB1	3q21-q23	2.111439145	0.008266746
ENSG00000184408	KCND2	7q31	4.272676235	0.008279286
ENSG00000199845		NA	2.701586109	0.008506383
ENSG00000211119		NA	2.333496548	0.008591711
ENSG00000128849	CGNL1	15q21.3	2.159943139	0.008618784
ENSG00000170921	TANC2	17q23.3	2.038521727	0.008992983
ENSG00000173660	UQCRH	NA	2.395101285	0.009086609
ENSG00000168398	BDKRB2	14q32.1-q32.2	2.951871664	0.009344771
ENSG00000162144	CYBASC3	11q12.2	2.190099881	0.009426927
ENSG00000162687	KCNT2	1q31.3	-2.79584943	4.10E-05
ENSG00000115902	SLC1A4	2p15-p13	-3.127175095	4.81E-05
ENSG00000147421	HMBOX1	8p21.1	-2.226549985	0.000126385
ENSG00000115380	EFEMP1	2p16	-4.946998059	0.000271301
ENSG00000099204	ABLIM1	10q25	-2.23925682	0.000314309
ENSG00000057294	PKP2	12p11	-3.188755171	0.000530933
ENSG00000202255		NA	-2.131609744	0.000596471
ENSG00000121039	RDH10	8q21.11	-3.75116832	0.000601495
ENSG00000070669	ASNS	7q21.3	-2.785970535	0.00073568
ENSG00000147862	NFIB	9p24.1	-2.874272144	0.000935623
ENSG00000146733	PSPH	7p15.2-p15.1	-2.205455524	0.000941468
ENSG00000111907	TPD52L1	6q22-q23	-4.112996944	0.001039754
ENSG00000198523	PLN	6q22.1	-2.363448344	0.001199786
ENSG00000154556	SORBS2	4q35.1	-2.887638211	0.001426944
ENSG00000111912	ESNA1	6q22.31-q22.32	-2.852262311	0.001445633
ENSG00000121989	ACVR2A	2q22.3	-2.888832721	0.001754817
ENSG00000115896	PLCL1	2q33	-2.117056834	0.001773322
ENSG00000164761	TNFRSF11B	8q24	-4.784008656	0.001788792
ENSG00000207721		NA	-2.304105325	0.002086875
ENSG00000214594	PCDHGA3	5q31	-2.050472886	0.002343171
ENSG00000196526	AFAP	4p16	-2.165494738	0.002405582
ENSG00000208179		NA	-2.022285472	0.002531961
ENSG00000116761	CTH	1p31.1	-2.031567547	0.002799355
ENSG00000153561	RMND5A	2p11.2	-2.311410231	0.00303234
ENSG00000109762	SNX25	4q35.1	-2.800407289	0.003189331
ENSG00000182010	PLEKHK1	10q21.2	-2.14174492	0.003306269
ENSG00000128965	CHAC1	15q15.1	-2.741508601	0.003370066
ENSG00000119280	C1orf198	1q42.13-q43	-2.453894685	0.003520543
ENSG00000160200	CBS	21q22.3	-2.304185181	0.00376097
ENSG00000206874	SNORD26	NA	-2.74224347	0.003919704
ENSG00000136010	ALDH1L2	12q23.3	-2.452829013	0.003930817
ENSG00000208797	SNORD73	NA	-2.00064242	0.003989447
ENSG00000175899	A2M	12p13.3-p12.3	-6.338098145	0.004025079
ENSG00000101255	TRIB3	20p13-p12.2	-2.119876179	0.004061469
ENSG00000211455	STK38L	12p11.23	-2.092208551	0.004579418
ENSG00000135069	PSAT1	9q21.2	-3.128584347	0.004606318
ENSG00000187840	EIF4EBP1	8p12	-2.495986273	0.005024572
ENSG00000165983	PTER	10p12	-2.599648676	0.005134042
ENSG00000211667	IGLV3-12	NA	-2.258236629	0.005342415
ENSG00000214390	NA	NA	-2.640028188	0.005544134
ENSG00000091490		4p15.2	-3.328256602	0.005624324
ENSG00000196517	SLC6A9	1p33	-2.015037471	0.005867833
ENSG00000154864	FAM38B	18p11.22	-2.025577568	0.005880479
ENSG00000162496	DHRS3	1p36.1	-2.168654158	0.005897631
ENSG00000153879	CEBPG	19q13.11	-2.169536212	0.005956568
ENSG00000138709	LARP2	4q28.2	-2.087283648	0.006090199
ENSG00000168738	C18orf58	NA	-2.502031582	0.006524647
ENSG00000133026	MYH10	17p13	-2.636663266	0.006573831
ENSG00000065911	MTHFD2	2p13.1	-2.649652812	0.006759302
ENSG00000207018	NA	NA	-2.412117189	0.006770737
ENSG00000213875		NA	-2.012948134	0.006805667
ENSG00000197329	PELI1	2p13.3	-2.242477226	0.007600293
ENSG00000171385	KCND3	1p13.3	-2.756842154	0.007700591
ENSG00000210572		NA	-2.700643733	0.007718543
ENSG00000214091		NA	-2.288284872	0.008387724
ENSG00000186352	ANKRD37	4q35.1	-2.421688549	0.009278201
ENSG00000202056		NA	-2.179010779	0.009309728
ENSG00000138449	SLC40A1	2q32	-2.617494792	0.009609322
