Gene ID	Description	Functional class	Comment	DENV SG (log2-fold)
AAEL014609	cytochrome P450	RSM		1.214
AAEL014893	cytochrome P450	RSM		0.985
AAEL012266	cytochrome P450	RSM		0.962
AAEL014607	cytochrome P450	RSM		0.892
AAEL002416	short-chain dehydrogenase	RSM		0.867
AAEL014843	heat shock protein	RSM		-1.25
AAEL011704	heat shock protein	RSM		-1.174
AAEL003603	transcription factor, putative	RTT		1.866
AAEL003589	transcription factor, putative	RTT		0.942
AAEL011733	transcription elongation regulator 1 (ca150)	RTT		0.888
AAEL005004	hypothetical protein	RTT		0.87
AAEL006057	heterogeneous nuclear ribonucleoprotein	RTT		0.792
AAEL002578	conserved hypothetical protein	TRP		1.23
AAEL006514	sodium-dependent phosphate transporter	TRP		0.965
AAEL005868	hypothetical protein	TRP		0.933
AAEL008635	abc transporter	TRP		0.878
AAEL003548	sulfate transporter	TRP		0.805
AAEL000213	d-amino acid oxidase	TRP		0.779
AAEL003116	phosrestin i (arrestin b) (arrestin 2)	TRP		-0.864
AAEL005575	transient receptor potential channel 4, putative	TRP		-0.842
AAEL004090	conserved hypothetical protein	UKN		2.287
AAEL017465	hypothetical protein	UKN		2.011
AAEL012940	hypothetical protein	UKN		1.609
AAEL013710	hypothetical protein	UKN	von Willebrand factor type A domain	1.571
AAEL002263	conserved hypothetical protein	UKN		1.548
AAEL003559	conserved hypothetical protein	UKN		1.428
AAEL013885	conserved hypothetical protein	UKN	putative secreted salivary protein	1.353
AAEL017514	hypothetical protein	UKN		1.311
AAEL008038	conserved hypothetical protein	UKN		1.31
AAEL010416	hypothetical protein	UKN		1.255
AAEL005465	conserved hypothetical protein	UKN		1.249
AAEL010529	conserved hypothetical protein	UKN		1.186
AAEL009836	conserved hypothetical protein	UKN	putative salivary secreted peptide	1.127
AAEL017380	hypothetical protein	UKN	glycine-rich putative salivary secreted peptide	1.072
AAEL001577	conserved hypothetical protein	UKN		1.054
AAEL003590	hypothetical protein	UKN		1.043
AAEL013970	conserved hypothetical protein	UKN		0.958
AAEL003190	hypothetical protein	UKN		0.935
AAEL009481	hypothetical protein	UKN		0.836
AAEL006493	hypothetical protein	UKN	putative salivary secreted peptide	0.834
AAEL000940	conserved hypothetical protein	UKN		0.832
AAEL011588	conserved hypothetical protein	UKN		0.827
AAEL012012	conserved hypothetical protein	UKN	phosphotyrosine-binding (PTB) domain	0.819
AAEL009188	hypothetical protein	UKN		0.816
AAEL013287	conserved hypothetical protein	UKN	cystatin-like domain	0.805
AAEL014171	conserved hypothetical protein	UKN		0.801
AAEL006971	conserved hypothetical protein	UKN		-1.087
AAEL003694	hypothetical protein	UKN		-0.895
AAEL011884	hypothetical protein	UKN		-0.876
