ProbeName	p-value	FCAbsolute	regulation	[Group(DMH+Calcium)](raw)	[Group(DMH)](raw)	[Group(DMH+Calcium)](normalized)	[Group(DMH)](normalized)	GenbankAccession	GenomicCoordinates	GeneSymbol	Description	UniGeneID	EntrezGeneID	EnsemblID	TIGRID
A_51_P508959	0.005176965	1.5149151	up	3042.4011	2115.96	5.3766804	4.7774434	NM_030024	chr6:54280124-54280183	Prr15	Mus musculus proline rich 15 (Prr15), mRNA [NM_030024]	Mm.41984	78004	ENSMUST00000059138	TC1656104
A_51_P134801	0.004701638	1.5434657	up	1154.1678	791.1751	3.9870694	3.3608959	NM_001025572	chr17:66336089-66336030	Ankrd12	Mus musculus ankyrin repeat domain 12 (Ankrd12), mRNA [NM_001025572]	Mm.34706	106585	ENSMUST00000038116	TC1658175
A_52_P956125	0.00347566	1.502903	up	50.68819	35.43915	-0.5250706	-1.1128225	AK086311	chr17:66315823-66315764	Ankrd12	Mus musculus 15 days embryo head cDNA, RIKEN full-length enriched library, clone:D930020E11 product:unclassifiable, full insert sequence. [AK086311]	Mm.441953	106585		TC1597471
A_51_P401797	0.003029573	4.7356925	down	108.2031	484.05563	0.40910897	2.6526842	NM_013599	chr2:164780303-164780362	Mmp9	Mus musculus matrix metallopeptidase 9 (Mmp9), mRNA [NM_013599]	Mm.4406	17395	ENSMUST00000017881	TC1576282
A_52_P167630	0.06358515	1.6028477	down	1546.1494	2526.5603	4.3562336	5.036871	NM_021389	chrX:156411953-156412012	Sh3kbp1	Mus musculus SH3-domain kinase binding protein 1 (Sh3kbp1), transcript variant 2, mRNA [NM_021389]	Mm.286495	58194	ENSMUST00000080394	TC1575307
A_51_P420338	0.054325882	1.5421101	down	43.52103	65.92254	-0.8463387	-0.221433	AK029018	chr18:20705763-20705822	Dsg3	Mus musculus 10 days neonate skin cDNA, RIKEN full-length enriched library, clone:4732482D04 product:desmoglein 3, full insert sequence. [AK029018]	Mm.106811	13512		TC1595352
A_51_P152946	0.02697887	1.5035511	down	604.59247	942.8381	3.0300858	3.6184597	NM_009534	chr9:7932599-7932540	Yap1	Mus musculus yes-associated protein 1 (Yap1), transcript variant 2, mRNA [NM_009534]	Mm.221992	22601	ENSMUST00000065353	TC1781554
A_52_P75348	0.04180756	1.6328516	down	66.35268	111.88319	-0.16410811	0.54328555	NM_027411	chr11:34623326-34623267	Ccdc99	Mus musculus coiled-coil domain containing 99 (Ccdc99), mRNA [NM_027411]	Mm.194368	70385	ENSMUST00000093191	TC1578334
A_51_P158814	0.08870759	1.7283874	up	80.460655	45.733112	0.039095324	-0.7503312	AK081212	chr19:42224196-42224255	Marveld1	Mus musculus adult male corpus striatum cDNA, RIKEN full-length enriched library, clone:C030005I21 product:HYPOTHETICAL 18.9 KDA PROTEIN homolog [Homo sapiens], full insert sequence. [AK081212]	Mm.206250	277010		TC1602770
A_52_P383114	0.014897822	2.366283	down	958.34503	2203.0713	3.6026604	4.845283	AY151141	chr16:19085147-19063333	Igl-V1	Mus musculus anti-deoxynivalenol scFv lambda light chain variable region mRNA, partial cds. [AY151141]	Mm.326349	16142
A_51_P477676	3.76E-05	1.6452564	down	122.786385	212.24634	0.74997234	1.4682847	NM_173189	chr8:18802289-18802348	Mcph1	Mus musculus microcephaly, primary autosomal recessive 1 (Mcph1), mRNA [NM_173189]	Mm.235296	244329	ENSMUST00000039412	TC1581295
A_52_P1116870	0.000101549	1.5169669	down	2199.9597	3488.3743	4.8971105	5.4983	NM_008971	chr15:94408396-94408379	Twf1	Mus musculus twinfilin, actin-binding protein, homolog 1 (Drosophila) (Twf1), mRNA [NM_008971]	Mm.309867	19230	ENSMUST00000023087	TC1574306
A_51_P262766	0.004460558	1.6187278	down	1727.047	2946.8086	4.5670676	5.261928	S78355	chr7:152116232-152116173	Ccnd1	Cyl-1=cyclin D1 [mice, BALB/c, brain, mRNA, 3737 nt]. [S78355]		12443
A_51_P294979	0.069078244	1.5263209	up	26980.578	18179.54	8.499236	7.889178	NM_013602	chr8:96704011-96704070	Mt1	Mus musculus metallothionein 1 (Mt1), mRNA [NM_013602]	Mm.192991	17748	ENSMUST00000062980	TC1589649
A_52_P681391	2.04E-06	2.0187044	down	117.95944	248.21387	0.67950433	1.692934	NM_008059	chr1:195098984-195098925	G0s2	Mus musculus G0/G1 switch gene 2 (G0s2), mRNA [NM_008059]	Mm.439721	14373	ENSMUST00000009777	TC1640864
A_51_P452629	0.011045838	1.7740479	down	1807.9261	3299.8884	4.600464	5.427509	NM_011905	chr3:83640403-83640344	Tlr2	Mus musculus toll-like receptor 2 (Tlr2), mRNA [NM_011905]	Mm.87596	24088	ENSMUST00000029623	TC1580205
A_52_P860000	4.03E-05	2.375975	up	124.49105	55.192677	0.77442724	-0.47409233	NM_175013	chr19:24754797-24754738	Pgm5	Mus musculus phosphoglucomutase 5 (Pgm5), mRNA [NM_175013]	Mm.105222	226041		TC1605723
A_52_P319495	0.022248428	1.5208082	down	288.46698	450.36075	1.9479734	2.5528116	NM_172506	chr16:44485904-44485845	Boc	Mus musculus biregional cell adhesion molecule-related/down-regulated by oncogenes (Cdon) binding protein (Boc), mRNA [NM_172506]	Mm.41561	117606	ENSMUST00000114634	TC1577330
A_51_P381015	0.00333631	1.6221651	down	271.27393	461.05237	1.8895682	2.587489	NM_007966	chr6:52267893-52267952	Evx1	Mus musculus even skipped homeotic gene 1 homolog (Evx1), mRNA [NM_007966]	Mm.389754	14028	ENSMUST00000031787	TC1595533
A_51_P323583	0.001513351	1.8644364	down	416.62784	812.21094	2.5046065	3.403346	NM_134111	chr16:36793998-36793939	Eaf2	Mus musculus ELL associated factor 2 (Eaf2), transcript variant 1, mRNA [NM_134111]	Mm.432078	106389	ENSMUST00000023537	NP_812117
A_51_P357573	0.000292043	1.5534064	up	349.2252	236.29504	2.2578773	1.6224421	NM_145575	chr6:34723839-34723898	Cald1	Mus musculus caldesmon 1 (Cald1), mRNA [NM_145575]	Mm.308134	109624	ENSMUST00000045191	TC1575382
A_51_P380276	0.001024316	2.1339967	up	74.315315	36.922245	0.016851902	-1.076706	AK132310	chr1:136652900-136652841		protein phosphatase 1, regulatory (inhibitor) subunit 12B Gene [Source:MGI Symbol;Acc:MGI:1916417] [ENSMUST00000045665]	Mm.451578		ENSMUST00000045665	TC1619830
A_51_P323180	5.13E-05	1.6708683	down	195.61292	343.23264	1.4219837	2.1625817	NM_172777	chr5:105509005-105508946	Gbp9	Mus musculus guanylate-binding protein 9 (Gbp9), mRNA [NM_172777]	Mm.425261	236573	ENSMUST00000031238	TC1585558
A_51_P282930	0.000280913	2.1759584	up	2391.9055	1142.8668	5.0159707	3.8943198	NM_011281	chr3:94201609-94201668	Rorc	Mus musculus RAR-related orphan receptor gamma (Rorc), mRNA [NM_011281]	Mm.4372	19885	ENSMUST00000029795	TC1582154
A_51_P509651	0.019781629	1.7692282	down	666.0932	1200.1589	3.1421611	3.9652812	NM_028760	chr19:38148576-38148635	Cep55	Mus musculus centrosomal protein 55 (Cep55), transcript variant 2, mRNA [NM_028760]	Mm.9916	74107	ENSMUST00000096096	TC1590265
A_51_P171215	0.021468721	1.7438756	down	91.59307	160.82843	0.26498222	1.0672793	NM_007950	chr5:91521659-91521720	Ereg	Mus musculus epiregulin (Ereg), mRNA [NM_007950]	Mm.4791	13874	ENSMUST00000031324
A_51_P469951	1.90E-05	1.7893572	down	252.2011	470.55392	1.7774683	2.6169097	NM_080448	chr6:112668298-112668239	Srgap3	Mus musculus SLIT-ROBO Rho GTPase activating protein 3 (Srgap3), mRNA [NM_080448]	Mm.236401	259302	ENSMUST00000088373	TC1652574
A_51_P370470	0.010984727	1.8585435	down	302.3348	579.08	2.0190363	2.9132087	NM_030013	chr1:60444156-60444215	Cyp20a1	Mus musculus cytochrome P450, family 20, subfamily A, polypeptide 1 (Cyp20a1), mRNA [NM_030013]	Mm.197640	77951	ENSMUST00000060608	TC1583606
A_52_P179168	0.08739156	1.6388322	up	92.01132	50.76875	0.10245267	-0.6102155	NM_177813	chr14:13991063-13991004	Gm5087	Mus musculus predicted gene 5087 (Gm5087), mRNA [NM_177813]	Mm.252404	328354	ENSMUST00000060526	TC1592453
A_52_P426049	0.012294941	1.5128995	down	189.1579	300.68997	1.3723446	1.9696608	NM_020044	chr5:135081816-135080627	Lat2	Mus musculus linker for activation of T cells family, member 2 (Lat2), transcript variant 1, mRNA [NM_020044]	Mm.391375	56743	ENSMUST00000036362	NP_228643
A_51_P296015	0.00602142	1.6495972	up	89.16059	55.859722	0.263978	-0.45813575	NM_178673	chr3:76512485-76512544	Fstl5	Mus musculus follistatin-like 5 (Fstl5), mRNA [NM_178673]	Mm.379337	213262	ENSMUST00000038364	TC1579422
A_51_P340255	0.07061134	1.5475242	down	339.9075	534.669	2.1719258	2.8018878	NM_030595	chr3:55429327-55429268	Nbea	Mus musculus neurobeachin (Nbea), mRNA [NM_030595]	Mm.384353	26422	ENSMUST00000107943	TC1597512
A_51_P212183	0.030056506	1.5276746	down	3194.2747	5151.644	5.4422417	6.053579	NM_025849	chr4:74923429-74923370	3110001D03Rik	Mus musculus RIKEN cDNA 3110001D03 gene (3110001D03Rik), mRNA [NM_025849]	Mm.24332	66928	ENSMUST00000030103	TC1578917
A_51_P406115	0.007630874	1.6145159	down	255.05617	431.38782	1.7922167	2.4833183	AF011379	chr9:70625964-70626022	Adam10	Mus musculus kuzbanian (mkuz) mRNA, complete cds. [AF011379]	Mm.3037	11487
A_51_P499918	0.019806344	1.5164516	down	351.60098	552.2881	2.2482345	2.848934	NM_010407	chr2:152974812-152976739	Hck	Mus musculus hemopoietic cell kinase (Hck), transcript variant 1, mRNA [NM_010407]	Mm.715	15162	ENSMUST00000003370	TC1576965
A_51_P331288	0.031255648	1.5742385	down	244.1038	386.8641	1.68042	2.3350742	NM_009731	chr6:34372905-34372964	Akr1b7	Mus musculus aldo-keto reductase family 1, member B7 (Akr1b7), mRNA [NM_009731]	Mm.5378	11997	ENSMUST00000007449	TC1583253
A_52_P949440	0.001355275	1.5027562	up	416.72986	291.37695	2.5078847	1.9202738	NM_009365	chr7:135396024-135396307	Tgfb1i1	Mus musculus transforming growth factor beta 1 induced transcript 1 (Tgfb1i1), mRNA [NM_009365]	Mm.3248	21804	ENSMUST00000070656	NP_1404744
A_51_P431470	0.000622152	1.7154801	down	443.47397	793.9759	2.5905979	3.3692102	NM_026178	chr11:90139503-90139562	Mmd	Mus musculus monocyte to macrophage differentiation-associated (Mmd), mRNA [NM_026178]	Mm.277518	67468	ENSMUST00000004050	TC1575287
A_51_P486008	0.000660374	1.6646433	up	1492.3531	947.51215	4.359501	3.6242878	NM_027349	chr12:85001574-85004933	Rbm25	Mus musculus RNA binding motif protein 25 (Rbm25), mRNA [NM_027349]	Mm.46005	67039	ENSMUST00000048155	TC1768860
A_52_P672689	0.010992717	1.5879749	down	117.17413	195.62471	0.68368334	1.3508714	NM_007568	chr5:91787007-91786948	Btc	Mus musculus betacellulin, epidermal growth factor family member (Btc), mRNA [NM_007568]	Mm.2024	12223	ENSMUST00000115974	TC1583514
A_51_P273433	0.00028089	4.0614557	down	177.28552	709.4759	1.1854866	3.2074835	NM_008926	chr5:99372439-99371183	Prkg2	Mus musculus protein kinase, cGMP-dependent, type II (Prkg2), mRNA [NM_008926]	Mm.263002	19092	ENSMUST00000031277	TC1635089
A_51_P346445	0.00030883	2.7747207	up	222.0465	84.34165	1.593356	0.121013485	NM_013868	chr4:140980355-140980414	Hspb7	Mus musculus heat shock protein family, member 7 (cardiovascular) (Hspb7), mRNA [NM_013868]	Mm.46181	29818	ENSMUST00000102486	TC1619706
A_51_P253481	0.004758377	3.981002	down	752.3498	2639.877	3.1107502	5.103882	NM_021456	chr8:95826781-95826722	Ces1	Mus musculus carboxylesterase 1 (Ces1), mRNA [NM_021456]	Mm.22720	12623	ENSMUST00000044602	TC1584507
A_51_P316673	0.00211788	1.8234867	down	2811.5222	5325.824	5.248834	6.115534	NM_144544	chr11:58421821-58421762	2210407C18Rik	Mus musculus RIKEN cDNA 2210407C18 gene (2210407C18Rik), mRNA [NM_144544]	Mm.58038	78354	ENSMUST00000048801	TC1586262
A_51_P246166	0.030661654	4.775949	down	13334.461	49220.62	7.061357	9.317144	NM_007969	chr11:83524751-83524810	Expi	Mus musculus extracellular proteinase inhibitor (Expi), mRNA [NM_007969]	Mm.1650	14038	ENSMUST00000001009	TC1577563
A_52_P565106	0.0377609	2.1129596	down	2251.3687	4565.1626	4.812232	5.891497		chr12:117158532-117158473
A_51_P439966	0.007215346	1.5856836	up	8957.347	5943.2944	6.935558	6.270453	NM_010281	chr4:19992975-19993034	Ggh	Mus musculus gamma-glutamyl hydrolase (Ggh), mRNA [NM_010281]	Mm.20461	14590	ENSMUST00000029904	TC1578528
A_52_P236671	0.00125471	1.6929276	down	104.06971	185.14336	0.5124337	1.2719539	NM_030595	chr3:55429767-55429708	Nbea	Mus musculus neurobeachin (Nbea), mRNA [NM_030595]	Mm.384353	26422	ENSMUST00000107943	TC1597512
A_51_P358765	0.000130849	5.395171	down	773.2415	4250.9175	3.3559628	5.7876315	NM_009263	chr5:104869788-104869847	Spp1	Mus musculus secreted phosphoprotein 1 (Spp1), mRNA [NM_009263]	Mm.288474	20750	ENSMUST00000112747	TC1573661
A_52_P172441	0.00072678	1.7962948	down	33.401917	63.892883	-1.1281093	-0.2830852	NM_173397	chr2:163294503-163294444	Fitm2	Mus musculus fat storage-inducing transmembrane protein 2 (Fitm2), mRNA [NM_173397]	Mm.242917	228859	ENSMUST00000109418	TC1580578
A_51_P457244	0.006520947	1.9863133	down	501.23654	1071.7823	2.7836502	3.7737434	NM_021365	chrX:70467736-70467792	Xlr4b	Mus musculus X-linked lymphocyte-regulated 4B (Xlr4b), mRNA [NM_021365]	Mm.104764	27083	ENSMUST00000068551	TC1590754
A_51_P443339	0.026467524	2.672552	down	1577.5192	3702.1853	4.166109	5.584327	NM_133960	chr8:107263207-107263266	Ces6	Mus musculus carboxylesterase 6 (Ces6), mRNA [NM_133960]	Mm.212983	102022	ENSMUST00000034346	TC1712041
A_52_P534749	0.000132665	2.3519666	down	165.54393	404.3142	1.1632004	2.397068	NM_008719	chr1:39418941-39419000	Npas2	Mus musculus neuronal PAS domain protein 2 (Npas2), mRNA [NM_008719]	Mm.2380	18143	ENSMUST00000056815	TC1589507
A_52_P335064	0.000287274	1.7243837	up	2099.2073	1279.4711	4.838003	4.0519223	NM_181390	chr14:31693884-31694117	Mustn1	Mus musculus musculoskeletal, embryonic nuclear protein 1 (Mustn1), mRNA [NM_181390]	Mm.220895	66175	ENSMUST00000040715	TC1754154
A_51_P272341	0.06638906	2.0273037	down	2299.4158	4363.197	4.810365	5.8299274	FJ265534	chr12:116831383-116831324		Mus musculus anti-hemoglobin 2A1 monoclonal antibody immunoglobulin heavy chain variable region mRNA, partial cds. [FJ265534]	Mm.436242		ENSMUST00000103537	NP_614375
A_52_P653565	1.80E-05	4.1214194	down	126.04123	555.3091	0.7901316	2.833273	XM_908868	chr12:115984663-115984604		PREDICTED: Mus musculus similar to Igh-1a protein (LOC634206), mRNA [XM_908868]	Mm.423936		ENSMUST00000103507	NP_614395
A_51_P224263	0.00104939	2.6296287	down	124.01075	333.94904	0.71429294	2.109152	NM_134052	chr12:29366375-29366434	Adi1	Mus musculus acireductone dioxygenase 1 (Adi1), mRNA [NM_134052]	Mm.291504	104923	ENSMUST00000135772	TC1576366
A_52_P31381	0.03793893	1.601825	up	8105.4297	5091.0474	6.729363	6.0496464	NM_021353	chr12:32158340-32158399	Slc26a3	Mus musculus solute carrier family 26, member 3 (Slc26a3), mRNA [NM_021353]	Mm.283281	13487	ENSMUST00000001254	TC1591497
A_52_P290325	0.06776121	1.6990657	down	95.48765	163.18146	0.31298566	1.0777273	NM_029523	chr3:159192120-159192179	Depdc1a	Mus musculus DEP domain containing 1a (Depdc1a), transcript variant 2, mRNA [NM_029523]	Mm.371655	76131	ENSMUST00000106041	TC1595319
A_52_P436238	0.06727507	1.59168	down	711.69214	1138.451	3.2144423	3.8849926	NM_013614	chr12:17554799-17554858	Odc1	Mus musculus ornithine decarboxylase, structural 1 (Odc1), mRNA [NM_013614]	Mm.34102	18263	ENSMUST00000011323	TC1573105
A_51_P185575	0.010962938	1.5618175	up	252.84998	175.782	1.7916342	1.1484083	NM_144899	chr3:95480583-95480524	Adamtsl4	Mus musculus ADAMTS-like 4 (Adamtsl4), mRNA [NM_144899]	Mm.242781	229595	ENSMUST00000015994	TC1577440
A_51_P105927	0.00146537	1.8358848	up	969.8591	560.1241	3.731274	2.8547983	NM_001033158	chr9:65260445-65260504	Rasl12	Mus musculus RAS-like, family 12 (Rasl12), transcript variant 1, mRNA [NM_001033158]	Mm.35827	70784	ENSMUST00000085453
A_51_P497484	0.005745078	1.8187909	down	34.78448	65.95509	-1.0826684	-0.21968873	NM_172923	chr9:55285737-55285796	AI118078	Mus musculus expressed sequence AI118078 (AI118078), mRNA [NM_172923]	Mm.24361	244886	ENSMUST00000085754	TC1585749
A_52_P354844	0.02554876	1.7963129	down	71.46926	132.96928	-0.0693988	0.77563983	NM_001161432	chrX:94529517-94529458	Eda2r	Mus musculus ectodysplasin A2 receptor (Eda2r), transcript variant 1, mRNA [NM_001161432]	Mm.189270	245527	ENSMUST00000037353
A_52_P18262	0.00327971	1.7873672	up	73.02306	43.481365	0.005432526	-0.8324035	NM_019677	chr2:135298218-135298277	Plcb1	Mus musculus phospholipase C, beta 1 (Plcb1), transcript variant 2, mRNA [NM_019677]	Mm.330607	18795	ENSMUST00000110116	TC1579823
A_51_P220055	0.001204885	2.4914763	up	4239.669	1753.1041	5.8290114	4.5120106	NM_172404	chr2:30040860-30040801	Ccbl1	Mus musculus cysteine conjugate-beta lyase 1 (Ccbl1), mRNA [NM_172404]	Mm.216089	70266	ENSMUST00000113660	TC1587692
A_51_P508485	0.012155902	1.5281891	down	680.0052	1095.8645	3.2241547	3.8359778	NM_028651	chr14:123318495-123318436	Tmtc4	Mus musculus transmembrane and tetratricopeptide repeat containing 4 (Tmtc4), mRNA [NM_028651]	Mm.271988	70551	ENSMUST00000143189	TC1670645
A_52_P1034794	0.037251465	1.5082946	up	131.8399	92.423645	0.8289929	0.23607461	AK017390	chr15:36181270-36181211	5430434G16Rik	Mus musculus 6 days neonate head cDNA, RIKEN full-length enriched library, clone:5430434G16 product:unclassifiable, full insert sequence. [AK017390]	Mm.440854	71385		TC1626159
A_51_P385099	0.000134625	1.8697512	down	194.39296	383.63144	1.4194021	2.3222485	NM_013693	chr17:35336854-35336795	Tnf	Mus musculus tumor necrosis factor (Tnf), mRNA [NM_013693]	Mm.1293	21926	ENSMUST00000025263	TC1579092
A_51_P343556	0.000430998	1.5175442	down	1338.6719	2140.006	4.20067	4.802408	NM_175565	chr9:103256223-103256164	Cdv3	Mus musculus carnitine deficiency-associated gene expressed in ventricle 3 (Cdv3), transcript variant 1, mRNA [NM_175565]	Mm.261025	321022	ENSMUST00000035484	TC1592895
A_52_P622874	0.03366211	1.6372297	up	135.89165	84.56494	0.84982115	0.13856442	AK088506	chr19:45836891-45836832	E330018D03Rik	Mus musculus 2 days neonate thymus thymic cells cDNA, RIKEN full-length enriched library, clone:E430019C04 product:unclassifiable, full insert sequence. [AK088506]	Mm.435821	320319		TC1583862
A_52_P254470	0.001602414	1.5665433	up	82.74181	55.833176	0.18705122	-0.46053347	NM_027884	chr1:74028854-74027593	Tns1	Mus musculus tensin 1 (Tns1), mRNA [NM_027884]	Mm.309975	21961		TC1672187
A_52_P141715	0.00123731	2.0330014	up	75.22884	38.448444	0.02396679	-0.99964446	NM_207650	chr18:23804787-23805447	Dtna	Mus musculus dystrobrevin alpha (Dtna), transcript variant 1, mRNA [NM_207650]	Mm.94371	13527	ENSMUST00000115834	NP_055298
A_51_P205907	0.00017522	2.410674	up	1812.0063	791.62274	4.6311336	3.361697	NM_001081185	chr6:29411109-29411168	Flnc	Mus musculus filamin C, gamma (Flnc), mRNA [NM_001081185]	Mm.39046	68794	ENSMUST00000065090	TC1603005
A_52_P440709	0.002260035	1.8971777	up	188.89671	106.351875	1.3712713	0.44741645	NM_023868	chr13:11645871-11645812	Ryr2	Mus musculus ryanodine receptor 2, cardiac (Ryr2), mRNA [NM_023868]	Mm.239871	20191	ENSMUST00000021750	TC1702902
