Curated Gene Symbol	FeatureNumber	GeneName	+9hr Wnt	siMLLT10 +9hr Wnt	siDOT1L +9hr Wnt	siBRG1 +9hr Wnt	siP300 +9hr Wnt	Description
SLC23A1	29146	SLC23A1	1.965	-1.765		--	-1.984	solute carrier family 23 (nucleobase transporters), member 1 (SLC23A1), transcript variant 2, mRNA [NM_152685]
	9824	THC2642744	1.96	-0.981	-0.572	-0.604	-0.686	Unknown
CLEC2B	28421	CLEC2B	1.957	-2.319	-1.945	-3.04	-2.636	C-type lectin domain family 2, member B (CLEC2B), mRNA [NM_005127]
PLG	31563	PLG	1.945	-1.177	-1.481	-2.663	-0.002	plasminogen (PLG), mRNA [NM_000301]
UBASH3A	11602	UBASH3A	1.943	-1.028	-1.048	-2.229	-2.132	ubiquitin associated and SH3 domain containing, A (UBASH3A), transcript variant 1, mRNA [NM_018961]
RHOJ	11316	RHOJ	1.925	-1.127	-1.328	-3.138	-1.294	ras homolog gene family, member J (RHOJ), mRNA [NM_020663]
ATCAY	31753	ATCAY	1.924	0.463	-0.279	0.249	-0.434	ataxia, cerebellar, Cayman type (caytaxin) (ATCAY), mRNA [NM_033064]
	32583	THC2616558	1.918	-1.991	-2.382	-2.384	-2.134	MMU72521 neural variant mena+ protein {Mus musculus} (exp=-1; wgp=0; cg=0), partial (3%) [THC2616558]
	31658	LINCR	1.917	-0.173	-1.207	1.444	-1.895	likely ortholog of mouse lung-inducible Neutralized-related C3HC4 RING domain protein (LINCR), mRNA [NM_001080535]
SOX11	12644	SOX11	1.915	-1.595	-2.103	0.852	-1.937	SRY (sex determining region Y)-box 11 (SOX11), mRNA [NM_003108]
HKDC1	33707	HKDC1	1.904	-3.067	-2.406	-1.543	-2.985	hexokinase domain containing 1 (HKDC1), mRNA [NM_025130]
	31816	LOC340888	1.904	-1.723	-2.211	-2.052	-1.927	PREDICTED: Homo sapiens misc_RNA (LOC340888), miscRNA [XR_018726]
HNMT	29024	HNMT	1.899	-0.63	-1.833	-1.607	-1.048	histamine N-methyltransferase (HNMT), transcript variant 2, mRNA [NM_001024074]
NAV3	2819	NAV3	1.882	0.439	-1.138	-0.834	-1.297	neuron navigator 3 (NAV3), mRNA [NM_014903]
CHI3L2	21519	CHI3L2	1.869	0.125	-0.605	-0.67	-0.479	chitinase 3-like 2 (CHI3L2), transcript variant 3, mRNA [NM_001025199]
	30054	NF-E4	1.867	-1.64	-1.338	-1.522	-1.955	Homo sapiens, clone IMAGE:5404753, mRNA. [BC036938]
SLCO1B3	27020	SLCO1B3	1.851	--		--	--	solute carrier organic anion transporter family, member 1B3 (SLCO1B3), mRNA [NM_019844]
SLC6A4	31227	SLC6A4	1.844	-1.865	-2.264	-1.536	-2.439	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4 (SLC6A4), mRNA [NM_001045]
	34462	THC2673918	1.841	-1.161	-1.2	-1.815	-3.017	Unknown
MMP2	8459	MMP2	1.836	-0.611	-0.247	-1.326	-0.465	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase) (MMP2), mRNA [NM_004530]
TMEM139	22476	TMEM139	1.819	-1.922	-1.661	-0.676	-2.067	transmembrane protein 139 (TMEM139), mRNA [NM_153345]
	27988	A_32_P218707	1.815	-1.5	-1.283	-3.028	-1.688	Unknown
SBSPON	15726	RPESP	1.806	-1.406	-1.155	-2.043	-1.557	RPE-spondin (RPESP), mRNA [NM_153225]
SLC14A1	33510	SLC14A1	1.804	-2.007	-2.236	-1.99	-1.965	Urea transporter, erythrocyte. [Source:Uniprot/SWISSPROT;Acc:Q13336] [ENST00000321925]
PTPRE	33780	PTPRE	1.789	-0.304	0.049	0.168	-0.228	protein tyrosine phosphatase, receptor type, E (PTPRE), transcript variant 1, mRNA [NM_006504]
GBP2	18338	GBP2	1.789	-1.265	-1.261	-2.525	-1.167	guanylate binding protein 2, interferon-inducible (GBP2), mRNA [NM_004120]
ETV5	39060	ETV5	1.779	-0.775	0.196	-1.379	-0.812	ets variant gene 5 (ets-related molecule) (ETV5), mRNA [NM_004454]
MYPN	14533	MYPN	1.778	-1.491	-0.708	-1.549	-1.076	myopalladin (MYPN), mRNA [NM_032578]
	13133	A_32_P98574	1.777	-1.459	-1.61	-1.641	-1.364	Unknown
	13746	THC2711870	1.773	-1.331	-2.082	-2.257	-1.942	O60448_HUMAN (O60448) Neuronal thread protein AD7c-NTP, partial (5%) [THC2711870]
MCTP2	34800	MCTP2	1.763	-1.706	-1.262	-1.452	-3.068	Homo sapiens mRNA; cDNA DKFZp313B039 (from clone DKFZp313B039). [AL832717]
LMO2	39175	LMO2	1.757	-0.552	-0.38	-0.655	-0.568	LIM domain only 2 (rhombotin-like 1) (LMO2), mRNA [NM_005574]
ETV4	42460	ETV4	1.753	-0.445	0.265	-1.537	-0.569	ets variant gene 4 (E1A enhancer binding protein, E1AF) (ETV4), transcript variant 2, mRNA [NM_001079675]
ESR1	27974	ESR1	1.752	-2.291	-0.716	--	-2.713	estrogen receptor 1 (ESR1), transcript variant 1, mRNA [NM_000125]
	15918	AF339813	1.752	-2.304	-1.222	-0.603	-1.199	Homo sapiens clone IMAGE:297403, mRNA sequence. [AF339813]
LMO2	9047	LMO2	1.748	-0.73	-0.519	-0.732	-0.696	LIM domain only 2 (rhombotin-like 1) (LMO2), mRNA [NM_005574]
SEMA5A	12017	SEMA5A	1.746	-1.61	-1.823	-1.539	-1.777	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A (SEMA5A), mRNA [NM_003966]
LMO2	42705	LMO2	1.735	-0.615	-0.372	-0.632	-0.602	LIM domain only 2 (rhombotin-like 1) (LMO2), mRNA [NM_005574]
SLC6A4	14032	SLC6A4	1.732	-3.143	-2.376	-2.376	-3.281	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4 (SLC6A4), mRNA [NM_001045]
SOX11	28055	SOX11	1.732	-0.973	-0.891	0.117	-0.934	SRY (sex determining region Y)-box 11 (SOX11), mRNA [NM_003108]
FAM83A	37846	FAM83A	1.729	0.179	-1.252	-1.838	-1.717	family with sequence similarity 83, member A (FAM83A), transcript variant 1, mRNA [NM_032899]
	7745	BQ934520	1.728	-0.74	-2.01	--	-1.174	AGENCOURT_8842299 Lupski_sciatic_nerve Homo sapiens cDNA clone IMAGE:6204305 5, mRNA sequence [BQ934520]
EGR3	26605	EGR3	1.725	-0.743	-0.12	-0.64	-0.238	early growth response 3 (EGR3), mRNA [NM_004430]
ITGB2	28230	ITGB2	1.724	-1.467	-2.307	-1.023	-2.746	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit) (ITGB2), mRNA [NM_000211]
LMO2	42618	LMO2	1.72	-0.545	-0.369	-0.66	-0.445	LIM domain only 2 (rhombotin-like 1) (LMO2), mRNA [NM_005574]
ESR1	14080	ESR1	1.718	-0.673	-1.474	-1.955	-1.761	estrogen receptor 1 (ESR1), transcript variant 1, mRNA [NM_000125]
WNT11	22744	WNT11	1.712	-0.988	-0.5	-1.326	-0.814	wingless-type MMTV integration site family, member 11 (WNT11), mRNA [NM_004626]
SHROOM2	30608	SHROOM2	1.705	-0.953	-0.17	--	-0.804	shroom family member 2 (SHROOM2), mRNA [NM_001649]
LMO2	6917	LMO2	1.705	-0.57	-0.327	-0.604	-0.528	LIM domain only 2 (rhombotin-like 1) (LMO2), mRNA [NM_005574]
LRMP	26793	LRMP	1.705	-2.3	-2.428	-2.07	-2.875	lymphoid-restricted membrane protein (LRMP), mRNA [NM_006152]
LMO2	40133	LMO2	1.704	-0.537	-0.382	-0.619	-0.618	LIM domain only 2 (rhombotin-like 1) (LMO2), mRNA [NM_005574]
MB21D1	36209	C6orf150	1.691	-1.404	-2.172	-1.83	-0.987	chromosome 6 open reading frame 150 (C6orf150), mRNA [NM_138441]
	17532	THC2669157	1.682	-1.251	-2.187	-1.416	-0.664	ALU1_HUMAN (P39188) Alu subfamily J sequence contamination warning entry, partial (10%) [THC2669157]
HSPA1A	12683	HSPA1A	1.678	-0.006	-0.224	-0.67	0.19	heat shock 70kDa protein 1A (HSPA1A), mRNA [NM_005345]
	22545	AU158345	1.666	-0.571	0.179	-1.83	-0.826	AU158345 PLACE2 Homo sapiens cDNA clone PLACE2000081 3, mRNA sequence [AU158345]
PTPRC	3623	PTPRC	1.665	-1.65	-2.463	-0.799	-2.536	protein tyrosine phosphatase, receptor type, C (PTPRC), transcript variant 1, mRNA [NM_002838]
LMO2	5279	LMO2	1.659	-0.572	-0.257	-0.482	-0.545	LIM domain only 2 (rhombotin-like 1) (LMO2), mRNA [NM_005574]
XAF1	24127	XAF1	1.658	-1.062	-1.086	-1.436	-1.888	XIAP associated factor 1 (XAF1), transcript variant 1, mRNA [NM_017523]
	26214	BX640843	1.658	-0.657	-0.666	-1.951	-2.135	Homo sapiens mRNA; cDNA DKFZp686B14224 (from clone DKFZp686B14224). [BX640843]
ZNF785	1182	ZNF785	1.655	-1.656	-1.397	-2.066	-1.946	zinc finger protein 785 (ZNF785), mRNA [NM_152458]
LIN28A	30091	LIN28	1.654	-0.464	-0.831	-0.302	-0.688	lin-28 homolog (C. elegans) (LIN28), mRNA [NM_024674]
	29773	LOC100128098	1.652	-1.005	-1.64	1.161	-1.558	Homo sapiens, clone IMAGE:5167625, mRNA. [BC029655]
LMO2	16364	LMO2	1.627	-0.568	-0.384	-0.654	-0.555	LIM domain only 2 (rhombotin-like 1) (LMO2), mRNA [NM_005574]
	27638	AK024956	1.624	-2	-1.661	-1.261	-0.883	Homo sapiens cDNA: FLJ21303 fis, clone COL02107. [AK024956]
UNC93A	15308	UNC93A	1.622	-0.913	-0.622	-0.845	-1.81	unc-93 homolog A (C. elegans) (UNC93A), mRNA [NM_018974]
	41527	AK023572	1.617	-0.856	-1.481	-1.636	-2.408	Homo sapiens cDNA FLJ13510 fis, clone PLACE1005146. [AK023572]
	30648	A_32_P82530	1.609	-1.027	-1.831	-1.54	-2.138	Unknown
	24734	THC2632909	1.606	-1.384	-1.033	-0.06	-1.537	Q6E5T4_FUGRU (Q6E5T4) Claudin 2, partial (5%) [THC2632909]
LMO2	32987	LMO2	1.604	-0.446	-0.309	-0.637	-0.464	LIM domain only 2 (rhombotin-like 1) (LMO2), mRNA [NM_005574]
LMO2	10477	LMO2	1.603	-0.5	-0.377	-0.525	-0.485	LIM domain only 2 (rhombotin-like 1) (LMO2), mRNA [NM_005574]
TLR2	28383	TLR2	1.6	-1.338	-1.478	-1.702	-1.586	toll-like receptor 2 (TLR2), mRNA [NM_003264]
TM4SF19	42996	TM4SF19	1.595	-0.033	-0.209	-1.268	-1.319	transmembrane 4 L six family member 19 (TM4SF19), mRNA [NM_138461]
EPN3	43432	EPN3	1.593	-1.214	-1.369	-1.145	-1.314	epsin 3 (EPN3), mRNA [NM_017957]
ETV4	8546	ETV4	1.58	-0.388	0.367	-1.576	-0.375	ets variant gene 4 (E1A enhancer binding protein, E1AF) (ETV4), transcript variant 2, mRNA [NM_001079675]
IL6	10073	IL6	1.57	-1.456	-1.284	-1.842	-1.595	interleukin 6 (interferon, beta 2) (IL6), mRNA [NM_000600]
SULT1C2	19071	SULT1C2	1.567	-0.513	-0.844	-1.026	-1.954	sulfotransferase family, cytosolic, 1C, member 2 (SULT1C2), transcript variant 2, mRNA [NM_176825]
TRPM1	586	TRPM1	1.556	-1.22	-0.438	--	--	transient receptor potential cation channel, subfamily M, member 1 (TRPM1), mRNA [NM_002420]
	31566	A_32_P89480	1.556	-2.567	-2.248	-0.608	-2.61	Unknown
WFDC2	29854	WFDC2	1.552	-0.044	-0.281	-0.915	-0.576	WAP four-disulfide core domain 2 (WFDC2), mRNA [NM_006103]
IQCA1	8973	IQCA	1.538	-1.041	-1.837	-2.365	-2.125	IQ motif containing with AAA domain (IQCA), mRNA [NM_024726]
BZRAP1	12255	BZRAP1	1.535	-1.843	-2.006	--	-2.119	benzodiazapine receptor (peripheral) associated protein 1 (BZRAP1), transcript variant 1, mRNA [NM_004758]
IL6	14530	IL6	1.535	-1.136	-0.81	-1.552	-1.864	interleukin 6 (interferon, beta 2) (IL6), mRNA [NM_000600]
	11346	A_32_P103966	1.531	-1.164	-1.419	-2.925	-1.522	Unknown
PAPLN	30124	PAPLN	1.528	0.215	-0.088	-0.58	-0.687	papilin, proteoglycan-like sulfated glycoprotein (PAPLN), mRNA [NM_173462]
LEMD1	10024	LEMD1	1.527	-1.674	-1.819	-2.107	-1.29	LEM domain containing 1 (LEMD1), mRNA [NM_001001552]
	28796	A_32_P53976	1.525	-0.696	-1.376	-0.381	-0.189	Unknown
TM4SF18	31400	TM4SF18	1.515	-1.35	-1.651	-1.678	-1.461	transmembrane 4 L six family member 18 (TM4SF18), mRNA [NM_138786]
	44993	DKFZp566H0824	1.512	-0.403	-0.286	-0.529	-0.8	Homo sapiens hypothetical protein DKFZp566H0824, mRNA (cDNA clone MGC:129790 IMAGE:40021976), complete cds. [BC104430]
	30493	AF289566	1.512	0.033	-1.476	-1.272	-1.212	Homo sapiens clone pp6455 unknown mRNA. [AF289566]
LY96	12634	LY96	1.509	-1.696	-1.197	-2.203	-2.041	lymphocyte antigen 96 (LY96), mRNA [NM_015364]
IL1B	13475	IL1B	1.507	-2.345	-2.542	0.718	-2.147	interleukin 1, beta (IL1B), mRNA [NM_000576]
KIAA1199	12967	KIAA1199	1.503	-0.585	-1.569	-1.477	-1.842	KIAA1199 (KIAA1199), mRNA [NM_018689]
APBB1IP	40415	APBB1IP	1.501	-1.186	-1.486	-1.545	-0.828	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein (APBB1IP), mRNA [NM_019043]
GAGE3	5668	GAGE3	1.497	-1.216	-0.55	-0.466	-0.599	Human GAGE-3 protein mRNA, complete cds. [U19144]
ZNF347	41027	ZNF347	1.496	-1.086	-1.01	-0.26	-1.234	zinc finger protein 347 (ZNF347), mRNA [NM_032584]
SLC6A4	32894	SLC6A4	1.495	-2.652	-1.392	-2.442	-3.737	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4 (SLC6A4), mRNA [NM_001045]
	32417	THC2766102	1.486	-0.278	-0.565	--	-1.438	Q74MT0_NANEQ (Q74MT0) NEQ259, partial (3%) [THC2766102]
	2378	AF119913	1.483	-1.576	-0.623	--	--	Homo sapiens PRO3077 mRNA, complete cds. [AF119913]
	12594	THC2661433	1.479	-0.625	-0.972	-1.513	-2.172	Unknown
F2RL2	15203	F2RL2	1.473	0.601	-0.497	0.055	-1.254	coagulation factor II (thrombin) receptor-like 2 (F2RL2), mRNA [NM_004101]
CEACAM1	26935	CEACAM1	1.473	-1.021	-1.379	-1.591	-1.534	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein) (CEACAM1), transcript variant 2, mRNA [NM_001024912]
GBP1	17853	GBP1	1.472	-0.98	-1.032	-2.101	-1.132	guanylate binding protein 1, interferon-inducible, 67kDa (GBP1), mRNA [NM_002053]
SLC6A4	39565	SLC6A4	1.462	-1.837	-1.427	-1.768	-3.19	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4 (SLC6A4), mRNA [NM_001045]
	33755	AF289567	1.457	-1.284	-0.986	-1.059	-1.349	Homo sapiens clone pp6489 unknown mRNA. [AF289567]
SERPINE1	17671	SERPINE1	1.456	-0.613	-1.277	-1.377	-1.288	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 (SERPINE1), mRNA [NM_000602]
TMEM132B	29092	TMEM132B	1.452	-0.647	-0.926	-0.469	-1.024	transmembrane protein 132B (TMEM132B), mRNA [NM_052907]
SH2D1A	14398	SH2D1A	1.451	-0.71	-1.465	-1.49	-1.338	SH2 domain protein 1A, Duncans disease (lymphoproliferative syndrome) (SH2D1A), transcript variant 1, mRNA [NM_002351]
EDN2	40603	EDN2	1.447	-2.445	-2.436	-2.133	-2.637	endothelin 2 (EDN2), mRNA [NM_001956]
	32240	THC2645562	1.442	--	-0.289	--	--	Unknown
	10012	BG542103	1.438	-2.637	-1.888	-0.952	-1.848	602571323F1 NIH_MGC_77 Homo sapiens cDNA clone IMAGE:4695748 5, mRNA sequence [BG542103]
MAGEC2	43852	MAGEC2	1.431	-1.223	-1.121	-0.964	-1.714	melanoma antigen family C, 2 (MAGEC2), mRNA [NM_016249]
	8448	A_32_P122089	1.428	-1.286	-1.467	-1.507	-1.429	Unknown
SLC6A4	39640	SLC6A4	1.428	-1.646	-1.112	-1.572	-1.718	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4 (SLC6A4), mRNA [NM_001045]
PTPN6	12877	PTPN6	1.426	-0.611	-0.711	-1.298	-1.021	protein tyrosine phosphatase, non-receptor type 6 (PTPN6), transcript variant 1, mRNA [NM_002831]
SLC6A4	17057	SLC6A4	1.414	-1.234	-1.291	-1.181	-1.667	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4 (SLC6A4), mRNA [NM_001045]
GIMAP7	17796	GIMAP7	1.413	-1.689	-1.834	-2.034	-1.13	GTPase, IMAP family member 7 (GIMAP7), mRNA [NM_153236]
PTPRC	10875	PTPRC	1.41	-0.763	-1.132	-1.341	-2.337	protein tyrosine phosphatase, receptor type, C (PTPRC), transcript variant 1, mRNA [NM_002838]
	42666	ENST00000380231	1.409	-2.944	-1.677	-2.115	-1.778	Q14491_HUMAN (Q14491) Hemoglobin gamma-G (Fragment), partial (56%) [THC2580655]
	12685	BC089451	1.407	-2.082	-1.947	-3.118	-1.809	Homo sapiens cDNA clone IMAGE:30554612. [BC089451]
MMP2	30238	MMP2	1.399	-2.143	-0.983	-1.269	-1.629	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase) (MMP2), mRNA [NM_004530]
ESR1	26546	ESR1	1.398	-1.013	-0.482	-2.356	-2.323	estrogen receptor 1 (ESR1), transcript variant 1, mRNA [NM_000125]
TDRD9	9513	TDRD9	1.394	-1.062	-1.238	-1.308	-1.562	tudor domain containing 9 (TDRD9), mRNA [NM_153046]
AEBP1	31139	AEBP1	1.39	-0.575	-1.055	-1.637	-1.071	AE binding protein 1 (AEBP1), mRNA [NM_001129]
BHMT	21022	BHMT	1.386	-0.503	-1.18	-1.242	-1.245	betaine-homocysteine methyltransferase (BHMT), mRNA [NM_001713]
ETV5	34850	ETV5	1.382	-1.511	0.422	-1.584	-0.756	ets variant gene 5 (ets-related molecule) (ETV5), mRNA [NM_004454]
HFE	34674	HFE	1.381	-1.214	-1.296	-1.435	-0.125	hemochromatosis (HFE), transcript variant 1, mRNA [NM_000410]
CCL16	37721	CCL16	1.379	-2.202	-2.314	-2.395	--	chemokine (C-C motif) ligand 16 (CCL16), mRNA [NM_004590]
HSPA1A	11813	HSPA1A	1.377	0.06	-0.15	-0.534	0.296	heat shock 70kDa protein 1A (HSPA1A), mRNA [NM_005345]
MACC1	21873	7A5	1.377	-0.2	-1.301	-1.096	-1.081	putative binding protein 7a5 (7A5), mRNA [NM_182762]
C1QTNF2	24336	C1QTNF2	1.373	-0.831	-0.649	-0.464	-0.763	C1q and tumor necrosis factor related protein 2 (C1QTNF2), mRNA [NM_031908]
HILS1	16359	HILS1	1.364	-1.438	-1.766	-2.339	-1.815	Homo sapiens histone linker H1 domain, spermatid-specific 1, mRNA (cDNA clone IMAGE:40030292), complete cds. [BC109047]
	36837	THC2677780	1.36	0.284	-0.534	-0.305	-1.049	Unknown
