Symbol	Synonym(s)	Entrez Gene Name	Affymetrix
MYO10	AW048724, D15Ertd600e, FLJ10639, FLJ21066, FLJ22268, FLJ43256, KIAA0799, MGC131988, mKIAA0799, Myo10 (predicted), myosin-X	myosin X	201976_s_at
NAIP	AV364616, BIRC1, BIRC1A, Birc1b, Birc1e, BIRC1F, D13Lsd1, FLJ18088, FLJ42520, FLJ58811, LGN1, LOC652755, Naip-rs1, Naip-rs3, Naip-rs4, Naip-rs4A, Naip1, Naip2, Naip5, Naip6, NLRB1, psiNAIP, RGD1559914	NLR family, apoptosis inhibitory protein	204860_s_at
NDST1	1200015G06RIK, HSNST, HSST, HSST1, NST1	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1	202608_s_at
PHLDA1	DT1P1B11, MGC131738, PHRIP, PQ-RICH, Proline-and glutamine-rich, TDAG, TDAG51	pleckstrin homology-like domain, family A, member 1	218000_s_at
PPP1R15A (includes EG:23645)	9630030H21, GADD34, MYD116, Myeloid Differentiation, Peg-3, PP1 REGULATORY SUBUNIT, Ppp1r15a	protein phosphatase 1, regulatory (inhibitor) subunit 15A	202014_at
RASSF1	123F2, AA536941, AU044980, D4Mgi37, MGC94319, NORE2A, PTS, Rassf1A, Rassf1B, Rassf1C, RDA32, REH3P21	Ras association (RalGDS/AF-6) domain family member 1	204346_s_at
SIAH1	AA982064, AI853500, D9MGI7, FLJ08065, hSIAH1, HUMSIAH, SIAH, Siah1a, Sinh1a	seven in absentia homolog 1 (Drosophila)	202981_x_at
TTF1	AV245725, RGD1565673, Ttf-I	transcription termination factor, RNA polymerase I	204772_s_at
VAMP2	FLJ11460, mVam2, RATVAMPB, RATVAMPIR, SYB, SYB2, SYNAPTOBREVIN 2, Vamp ii	vesicle-associated membrane protein 2 (synaptobrevin 2)	201557_at
ZNF10	KOX1	zinc finger protein 10	216350_s_at
ZNF205	4933429B21, AI835008, Krox-8, Zfp13, ZINC FINGER PROTEIN 205, ZNF210	zinc finger protein 205	206416_at
