Curated Gene Symbol	Probeset	Location	Class of long non-coding RNA	Transcript Name	Target Gene	Name	P-value	Fold Change
POLR2J4	1558078_at	7:102188408-102287868(-1)	Intronic (sense)		POLR2J4	polymerase (RNA) II (DNA directed) polypeptide J4, pseudogene	0.00036	2.27
WIPF1	240154_at	2:175481811-175482248(-1)	Intronic (sense)		WIPF1	WAS/WASL interacting protein family, member 1	0.00101	1.56
TCF12	238735_at	15:57528592-57528956(1)	Intronic (sense)		TCF12	transcription factor 12	0.00006	1.55
TIA1	1558922_at	2:70444900-70445081(-1)	Intronic (sense)		TIA1	TIA1 cytotoxic granule-associated RNA binding protein	0.00002	2.11
LMF1	1557835_at	16:911681-911952(-1)	Intronic (sense)		LMF1	lipase maturation factor 1	0.00106	1.75
CHD1L	238070_at	1:146744137-146744494(1)	Intronic (sense)		CHD1L	chromodomain helicase DNA binding protein 1-like	0.00018	1.51
CBLB	233614_at	3:105499794-105500125(-1)	Intronic (sense)		CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	0.0006	1.7
ZNF131	242490_at	5:43076359-43076621(1)	Intronic (sense)		ZNF131	zinc finger protein 131	0.00069	1.59
TRIM33	239716_at	1:114956866-114957398(-1)	Intronic (sense)		TRIM33	tripartite motif-containing 33	0.00069	1.59
SYNE2	244838_at	14:64334783-64335120(1)	Intronic (sense)		SYNE2	spectrin repeat containing, nuclear envelope 2	0.00002	1.71
AP3B1	240600_at	5:77376650-77376923(-1)	Intronic (sense)		AP3B1	adaptor-related protein complex 3, beta 1 subunit	0.00133	1.51
RNF19A	230599_at	8:101283402-101283897(-1)	Intronic (sense)		RNF19A	ring finger protein 19A	0.00029	1.55
PDS5A	241798_at	4:39827303-39827807(-1)	Intronic (sense)		PDS5A	PDS5, regulator of cohesion maintenance, homolog A (S. cerevisiae)	0.00035	1.99
FCHSD2	242563_at	11:72770816-72771329(-1)	Intronic (sense)		FCHSD2	FCH and double SH3 domains 2	0.00078	1.59
	1559455_at	15:72616625-72617002(-1)	Intronic (sense)		LincRNA	AC_009690.1	0.00062	1.61
NLK	1556568_a_at	17:26460662-26461080(1)	Intronic (sense)		NLK	nemo-like kinase	0.00041	1.56
AP2B1	233800_at	17:34011362-34011848(1)	Intronic (sense)		AP2B1	adaptor-related protein complex 2, beta 1 subunit	0.00034	1.51
GTF2I	239649_at	7:74090512-74090914(1)	Intronic (sense)		GTF2I	general transcription factor IIi	0.00002	1.85
SMAD3	239448_at	15:67399117-67399344(1)	Intronic (sense)		SMAD3	SMAD family member 3	0.00047	1.67
AKAP13	243450_at	15:86050336-86050532(1)	Intronic (sense)		AKAP13	A kinase (PRKA) anchor protein 13	0.0007	1.8
KDM2A	215191_at	11:66962292-66962689(1)	Intronic (sense)		KDM2A	lysine (K)-specific demethylase 2A	0.00004	1.88
CREBBP	237239_at	16:3802501-3802861(-1)	Intronic (sense)		CREBBP	CREB binding protein	0.00002	1.73
PITPNB	242074_at	22:28294481-28294859(-1)	Intronic (sense)		PITPNB	phosphatidylinositol transfer protein, beta	0.00142	1.52
EML4	233940_at	2:42535787-42536210(1)	Intronic (sense)		EML4	echinoderm microtubule associated protein like 4	0.00001	1.99
CTNNAL1	215390_at	9:111804324-111805702(-1)	Intronic (sense)		CTNNAL1	catenin (cadherin-associated protein), alpha-like 1	0.00153	1.56
FAM120A	241242_at	9:96310071-96310334(1)	Intronic (sense)		FAM120A	family with sequence similarity 120A	0.00016	1.8
SLC30A7	243524_at	1:101389728-101390161(1)	Intronic (sense)		SLC30A7	solute carrier family 30	0.00002	1.79
SRPK2	1556306_at	7:104748419-104748689(-1)	Intronic (sense)		SRPK2	SRSF protein kinase 2	0.00002	2.15
SETD5	1557238_s_at	3:9500848-9501160(1)	Intronic (sense)		SETD5	SET domain containing 5	0.0004	1.78
HIRA	240451_at	22:19342575-19342788(-1)	Intronic (sense)		HIRA	HIR histone cell cycle regulation defective homolog A (S. cerevisiae)	0.00001	1.68
LETMD1	242424_at	12:51448903-51449182(1)	Intronic (sense)		LETMD1	LETM1 domain containing 1	0.00043	1.62
	244383_at	1:93797049-93797446(-1)	Intronic (sense)		RP4-717I23.3	Novel processed ncRNA transcript	0.00081	1.66
ARID1B	240008_at	6:157223415-157223768(1)	Intronic (sense)		ARID1B	AT rich interactive domain 1B	0.00087	1.64
	216813_at	7:130729524-130729826(-1)	Intronic (sense)		AC_058791.2	Novel processed ncRNA transcript	0.00085	1.59
SMC5	1562948_at	9:72926525-72926902(1)	Intronic (sense)		SMC5	structural maintenance of chromosomes 5	0	1.62
PAN3	239597_at	13:28795077-28795447(1)	Intronic (sense)		PAN3	PAN3 poly(A) specific ribonuclease subunit homolog (S. cerevisiae)	0.00078	1.77
	241299_at	16:1584795-1591370(1)	Intronic (sense)		TREM204	transmembrane protein 204	0.00017	1.97
ZNF385C	241227_at	17:40201091-40201277(-1)	Intronic (sense)		ZNF385C	zinc finger protein 385C	0.00011	-1.74
DCAF6	235613_at	1:168009768-168010330(1)	Intronic (sense)		DCAF6	DDB1 and CUL4 associated factor 6	0.00005	1.52
PRDX6	242751_at	1:173452755-173452966(1)	Intronic (sense)		PRDX6	peroxiredoxin 6	0.00003	1.84
ARHGEF3	1563573_at	3:56813614-56814101(-1)	Intronic (sense)		ARHGEF3	Rho guanine nucleotide exchange factor (GEF) 3	0.00103	1.93
COX11	235053_at	17:53034144-53034564(-1)	Intronic (sense)		COX11	COX11 cytochrome c oxidase assembly homolog (yeast)	0.00009	1.54
HNRNPD	241702_at	4:83284486-83284821(-1)	Intronic (sense)		HNRNPD	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)	0.00002	2.12
CSNK2A1	239228_at	20:479033-479533(-1)	Intronic (sense)		CSNK2A1	casein kinase 2, alpha 1 polypeptide pseudogene	0.00103	1.53
RNF114	235984_at	20:48555877-48556206(1)	Intronic (sense)		RNF114	ring finger protein 114	0.00017	1.93
CMTM7	232951_at	3:32517008-32517330(1)	Intronic (sense)		CMTM7	CKLF-like MARVEL transmembrane domain containing 7	0.0001	1.55
LRRFIP1	239379_at	2:238651097-238651628(1)	Intronic (sense)		LRRFIP1	leucine rich repeat (in FLII) interacting protein 1	0.00071	1.62
PPP3CB	215586_at	10:75240492-75240867(-1)	Intronic (sense)		PPP3CB	protein phosphatase 3, catalytic subunit, beta isozyme	0.00063	1.53
DLG1	233869_x_at	3:196858749-196859018(-1)	Intronic (sense)		DLG1	discs, large homolog 1 (Drosophila)	0.00027	1.62
	215330_at	7:130756193-130756594(-1)	Intronic (sense)		AC_058791.2	Novel processed ncRNA transcript	0.00025	1.82
AKIRIN1	215029_at	1:39458727-39458947(1)	Intronic (sense)		AKIRIN1	akirin 1	0.00027	2.21
THOC3	236149_at	5:175390385-175390932(-1)	Intronic (sense)		THOC3	THO complex 3	0.00042	1.68
PITPNB	239978_at	22:28304399-28304774(-1)	Intronic (sense)		PITPNB	phosphatidylinositol transfer protein, beta	0.00027	1.62
RNASEH2B	1556728_at	13:51543063-51543422(1)	Intronic (sense)		RNASEH2B	ribonuclease H2, subunit B	0.00059	1.6
MBNL1	235811_at	3:152073448-152073969(1)	Intronic (sense)		MBNL1	muscleblind-like (Drosophila)	0.0011	2.08
MINOS1P1	215318_at	13:330665-33067023(-1)	Intronic (sense)		N4BP2L2IT1	N4BPL2 intronic transcript 1 (non-protein coding)	0.00073	1.98
HIAT1	242374_at	1:100536353-100536829(1)	Intronic (sense)		HIAT1	hippocampus abundant transcript 1	0.00053	1.88
SIPA1L3	240684_at	19:38584372-38584879(1)	Intronic (sense)		SIPA1L3	signal-induced proliferation-associated 1 like 3	0.00009	-1.58
PTPN2	1557193_at	18:12790209-12790657(-1)	Intronic (sense)		PTPN2	protein tyrosine phosphatase, non-receptor type 2	0.00012	1.57
NACC2	243431_at	9:138981681-138981998(-1)	Intronic (sense)		NACC2	NACC family member 2, BEN and BTB (POZ) domain containing	0.00012	1.56
KIFAP3	233799_at	1:169900339-169900582(-1)	Intronic (sense)		KIFAP3	kinesin-associated protein 3	0.00113	1.56
CCDC104	235662_at	2:55758928-55759310(1)	Intronic (sense)		CCDC104	coiled-coil domain containing 104	0.0006	1.7
CDK6	243808_at	7:92284479-92284763(-1)	Intronic (sense)		CDK6	cyclin-dependent kinase 6	0.00026	1.65
PPIG	222375_at	2:170478099-170478330(1)	Intronic (sense)		PPIG	peptidylprolyl isomerase G (cyclophilin G)	0.00013	1.6
XPO1	1560386_at	2:61740773-61741037(-1)	Intronic (sense)		XPO1	exportin 1 (CRM1 homolog, yeast)	0.00019	1.59
RASA1	232344_at	5:86678250-86678817(1)	Intronic (sense)		RASA1	RAS p21 protein activator (GTPase activating protein) 1	0.00059	2.38
PRDM2	239655_at	1:14099063-14099464(1)	Intronic (sense)		PRDM2	PR domain containing 2, with ZNF domain	0.00041	1.8
SLC37A3	1569666_s_at	7:140040136-140040417(-1)	Intronic (sense)		SLC37A3	solute carrier family 37 (glycerol-3-phosphate transporter), member 3	0.00018	1.5
RNF111	241413_at	15:59374888-59375292(1)	Intronic (sense)		RNF111	ring finger protein 111	0.0001	2.01
THOC3	232834_at	5:175378273-175378828(-1)	Intronic (sense)		THOC3	THO complex 3	0.00015	1.6
PIK3R1	244181_at	5:67565333-67565682(1)	Intronic (sense)		PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	0.00019	1.52
AFF1	237006_at	4:88043606-88043909(1)	Intronic (sense)		AFF1	AF4/FMR2 family, member 1	0.0008	1.81
XRN1	1564656_at	3:142045301-142045857(-1)	Intronic (sense)		XRN1	5-3 exoribonuclease 1	0.00124	1.7
TFB1M	240263_at	6:155600450-155600807(-1)	Intronic (sense)		TFB1M	transcription factor B1, mitochondrial	0.00055	1.58
STIM1	1557477_at	11:4001342-4001881(1)	Intronic (sense)		STIM1	stromal interaction molecule 1	0.00051	1.6
ARID5B	1561181_at	10:63835783-63836238(1)	Intronic (sense)		ARID5B	AT rich interactive domain 5B (MRF1-like)	0.00066	1.51
KIAA0922	1566518_at	4:154539096-154539597(1)	Intronic (sense)		KIAA0922	KIAA0922	0.00014	2.04
ZMYM2	1552867_at	13:20618622-20618911(1)	Intronic (sense)		ZMYM2	zinc finger, MYM-type 2	0.00088	1.72
ANKRD12	241508_at	18:9151679-9152029(1)	Intronic (sense)		ANKRD12	ankyrin repeat domain 12	0.00152	1.56
FGFR1OP	239160_at	6:167428980-167429497(1)	Intronic (sense)		FGFR1OP	FGFR1 oncogene partner	0.00064	-1.78
MARK3	239166_at	14:103892761-103893176(1)	Intronic (sense)		MARK3	MAP/microtubule affinity-regulating kinase 3	0.0015	1.53
TRPM7	1565886_at	15:50872531-50873003(-1)	Intronic (sense)		TRPM7	transient receptor potential cation channel, subfamily M, member 7	0.0008	1.73
STK38	244679_at	6:36471044-36471583(-1)	Intronic (sense)		STK38	serine/threonine kinase 38	0.00125	2.07
KANSL1	238774_at	17:44213226-44213572(-1)	Intronic (sense)		KIAA1267	KIAA1267	0.00108	2.71
KLF7	239809_at	2:207999025-207999350(-1)	Intronic (sense)		KLF7	Kruppel-like factor 7 (ubiquitous)	0.00054	1.5
USP3	215392_at	15:63835779-63836135(1)	Intronic (sense)		USP3	ubiquitin specific peptidase 3	0.00075	1.91
FAR2	1557224_at	12:29483173-29483539(-1)	Intronic (sense)		FAR2	fatty acyl CoA reductase 2	0.00099	1.51
MBNL1	236558_at	3:152126761-152127214(1)	Intronic (sense)		MBNL1	muscleblind-like (Drosophila)	0.00144	1.65
UBA3	1556338_at	3:69107588-69107680(-1)	Intronic (sense)		UBA3	ubiquitin-like modifier activating enzyme 3	0.00138	2.39
R3HDM2	235701_at	12:57761942-57762293(-1)	Intronic (sense)		R3HDM2	R3H domain containing 2	0	1.76
TM2D1	236524_at	1:62162651-62162959(-1)	Intronic (sense)		TM2D1	TM2 domain containing 1	0.00073	1.75
FLI1	244592_at	11:128588718-128589111(1)	Intronic (sense)		FLI1	Friend leukemia virus integration 1	0.00005	1.7
ECHDC1	243303_at	6:127612487-127613003(-1)	Intronic (sense)		ECHDC1	enoyl CoA hydratase domain containing 1	0.00009	1.69
ATXN1	232744_x_at	6:16689869-16690351(-1)	Intronic (sense)		ATXN1	ataxin 1	0.00011	1.74
CLASP2	211386_at	3:33590447-33591015(-1)	Intronic (sense)		CLASP2	cytoplasmic linker associated protein 2	0	2.03
TCTN3	244347_at	10:97437400-97437744(-1)	Intronic (sense)		TCTN3	tectonic family member 3	0.00001	1.56
AQP12B	1559877_at	2:241624091-241624316(-1)	Intronic (sense)		AQP12B	aquaporin 12B	0.00001	-1.62
FXYD5	217655_at	19:35658504-35658849(1)	Intronic (sense)		FXYD5	FXYD domain containing ion transport regulator 5	0.00054	1.93
	237544_at	5:14621118-14621572(1)	Pseudogene	PLEKHA1		pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1 (PLEKHA1) pseudogene	0.00003	1.81
	1562250_at	9:92054182-92054414(-1)	Pseudogene	AL590233.1		Known pseudogene	0.0008	1.99
	1555890_at	7:143948915-143949335(-1)	Pseudogene	OR2A20P		olfactory receptor, family 2, subfamily A, member 20 pseudogene	0.00095	1.7
	244071_at	5:167957068-167957574(1)	Pseudogene	FBLL1		fibrillarin-like 1	0.00141	-1.74
