Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	28 genes associated with lipid metabolism	Gene Accession	Gene Name	GO Annotation	Sex-bias	Composite array score	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)
A_23_P502060	chr12:50370711-50370770	AQP6	0	NM_001652	Aquaporin 6, kidney specific	molecular function|nitrate transmembrane transporter activity|IEA|GO:0015112|GOA|na//molecular function|transporter activity|IEA|GO:0005215|GOA|na//molecular function|water channel activity|TAS|GO:0015250|GOA|8812490//biological process|excretion|TAS|GO:0007588|GOA|8812490//biological process|nitrate transport|IEA|GO:0015706|GOA|na//biological process|transmembrane transport|IEA|GO:0055085|GOA|na//biological process|transport|TAS|GO:0006810|GOA|8812490//cellular component|cytoplasmic vesicle|IEA|GO:0031410|GOA|na//cellular component|cytoplasmic vesicle membrane|IEA|GO:0030659|GOA|na//cellular component|integral to plasma membrane|TAS|GO:0005887|GOA|8812490//cellular component|membrane|IEA|GO:0016020|GOA|na	M	15	1.2972	1.2972	6.8367E-08	32.189	41.7493
A_24_P295245	chr8:62596599-62596658	ASPH	0	NM_032468	Aspartate beta-hydroxylase	molecular function|binding|IEA|GO:0005488|GOA|na//molecular function|calcium ion binding|TAS|GO:0005509|GOA|11007777//molecular function|electron carrier activity|TAS|GO:0009055|GOA|7821814//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|IEA|GO:0016702|GOA|na//molecular function|peptide-aspartate beta-dioxygenase activity|IEA|GO:0004597|GOA|na//molecular function|structural constituent of muscle|TAS|GO:0008307|GOA|11007777//molecular function|structural molecule activity|TAS|GO:0005198|GOA|11007777//biological process|face morphogenesis|IEA|GO:0060325|GOA|na//biological process|limb morphogenesis|IEA|GO:0035108|GOA|na//biological process|muscle contraction|TAS|GO:0006936|GOA|10974562//biological process|negative regulation of cell proliferation|IEA|GO:0008285|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|palate development|IEA|GO:0060021|GOA|na//biological process|pattern specification process|IEA|GO:0007389|GOA|na//biological process|peptidyl-amino acid modification|IEA|GO:0018193|GOA|na//biological process|peptidyl-aspartic acid hydroxylation|IEA|GO:0042264|GOA|na//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|IEA|GO:0005789|GOA|na//cellular component|integral to endoplasmic reticulum membrane|IEA|GO:0030176|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	14	0.801	-1.2484	9.9407E-14	736.0358	584.9
A_24_P196382	chr3:112252293-112252352	ATG3	0	BC043267	ATG3 autophagy related 3 homolog (S. cerevisiae)	molecular function|enzyme binding|IPI|GO:0019899|GOA|11825910//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x13d2f74)//molecular function|small conjugating protein ligase activity|IDA|GO:0019787|GOA|11825910//biological process|autophagic vacuole assembly|ISS|GO:0000045|GOA|na//biological process|autophagy|IEA|GO:0006914|GOA|na//biological process|protein modification process|IDA|GO:0006464|GOA|11825910//biological process|protein targeting to membrane|ISS|GO:0006612|GOA|na//biological process|protein transport|IEA|GO:0015031|GOA|na//biological process|protein ubiquitination|IDA|GO:0016567|GOA|11825910//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytoplasmic ubiquitin ligase complex|IPI|GO:0000153|GOA|11825910//cellular component|cytosol|IDA|GO:0005829|GOA|11825910	M	16	1.1962	1.1962	1.6888E-11	128.7586	154.2085
A_32_P22191	chr3:107364682-107364725	BBX	0	NM_020235	Bobby sox homolog (Drosophila)	molecular function|DNA binding|IEA|GO:0003677|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	15	0.8691	-1.1507	1.5114E-06	275.6216	240.4199
A_32_P217901	chr4:96077721-96077780	BMPR1B	0	NM_001203	Bone morphogenetic protein receptor, type IB	molecular function|ATP binding|IDA|GO:0005524|GOA|12065756//molecular function|SMAD binding|IDA|GO:0046332|GOA|12065756//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x19f7570)//molecular function|protein serine/threonine kinase activity|IDA|GO:0004674|GOA|12065756//molecular function|receptor activity|IEA|GO:0004872|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//molecular function|transforming growth factor beta receptor activity, type I|IEA|GO:0005025|GOA|na//molecular function|transmembrane receptor protein serine/threonine kinase activity|IMP|GO:0004675|GOA|14523231//molecular function|transmembrane receptor protein serine/threonine kinase activity|NAS|GO:0004675|GOA|10051328//biological process|BMP signaling pathway|EXP|GO:0030509|GOA|15621726//biological process|BMP signaling pathway|IDA|GO:0030509|GOA|18436533//biological process|BMP signaling pathway|NAS|GO:0030509|GOA|10051328//biological process|cartilage condensation|NAS|GO:0001502|GOA|14523231//biological process|dorsal/ventral pattern formation|IEA|GO:0009953|GOA|na//biological process|eye development|ISS|GO:0001654|GOA|na//biological process|inflammatory response|IEA|GO:0006954|GOA|na//biological process|limb morphogenesis|IMP|GO:0035108|GOA|14523231//biological process|ovarian cumulus expansion|ISS|GO:0001550|GOA|na//biological process|ovulation cycle|ISS|GO:0042698|GOA|na//biological process|positive regulation of bone mineralization|IMP|GO:0030501|GOA|18436533//biological process|positive regulation of cell differentiation|IMP|GO:0045597|GOA|14523231//biological process|positive regulation of osteoblast differentiation|IMP|GO:0045669|GOA|18436533//biological process|protein amino acid phosphorylation|IDA|GO:0006468|GOA|12065756//biological process|retina development in camera-type eye|IEA|GO:0060041|GOA|na//biological process|retinal ganglion cell axon guidance|IEA|GO:0031290|GOA|na//biological process|skeletal system development|IMP|GO:0001501|GOA|14523231//cellular component|integral to plasma membrane|IC|GO:0005887|GOA|14523231//cellular component|plasma membrane|EXP|GO:0005886|GOA|17356069//cellular component|receptor complex|TAS|GO:0043235|GOA|14523231	F	14	0.796	-1.2563	1.1691E-08	36.3579	28.756
A_23_P96144	chr2:203424632-203424691	BMPR2	0	NM_001204	Bone morphogenetic protein receptor, type II (serine/threonine kinase)	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|growth factor binding|IEA|GO:0019838|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xb6bee4)//molecular function|protein serine/threonine kinase activity|IEA|GO:0004674|GOA|na//molecular function|receptor activity|IEA|GO:0004872|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//molecular function|transforming growth factor beta receptor activity|IEA|GO:0005024|GOA|na//biological process|BMP signaling pathway|EXP|GO:0030509|GOA|15621726//biological process|BMP signaling pathway|IDA|GO:0030509|GOA|18436533//biological process|BMP signaling pathway|IMP|GO:0030509|GOA|12045205//biological process|BMP signaling pathway|ISS|GO:0030509|GOA|na//biological process|anterior/posterior pattern formation|ISS|GO:0009952|GOA|na//biological process|cellular response to starvation|IEP|GO:0009267|GOA|15657086//biological process|lung alveolus development|ISS|GO:0048286|GOA|na//biological process|mesoderm formation|ISS|GO:0001707|GOA|na//biological process|negative regulation of cell growth|IDA|GO:0030308|GOA|12819188//biological process|negative regulation of systemic arterial blood pressure|IMP|GO:0003085|GOA|18364108//biological process|negative regulation of vasoconstriction|ISS|GO:0045906|GOA|na//biological process|positive regulation of BMP signaling pathway|IMP|GO:0030513|GOA|17992660//biological process|positive regulation of bone mineralization|IMP|GO:0030501|GOA|18436533//biological process|positive regulation of endothelial cell migration|IMP|GO:0010595|GOA|17992660//biological process|positive regulation of endothelial cell proliferation|IMP|GO:0001938|GOA|17992660//biological process|positive regulation of epithelial cell migration|IDA|GO:0010634|GOA|12819188//biological process|positive regulation of osteoblast differentiation|IMP|GO:0045669|GOA|18436533//biological process|positive regulation of pathway-restricted SMAD protein phosphorylation|IMP|GO:0010862|GOA|17992660//biological process|protein amino acid phosphorylation|IEA|GO:0006468|GOA|na//biological process|regulation of cell proliferation|IMP|GO:0042127|GOA|11502704//biological process|regulation of lung blood pressure|IMP|GO:0014916|GOA|18364108//biological process|regulation of lung blood pressure|ISS|GO:0014916|GOA|na//biological process|transcription from RNA polymerase II promoter|IMP|GO:0006366|GOA|12045205//biological process|transmembrane receptor protein serine/threonine kinase signaling pathway|IDA|GO:0007178|GOA|12045205//biological process|vascular endothelial growth factor receptor signaling pathway|ISS|GO:0048010|GOA|na//cellular component|caveola|IMP|GO:0005901|GOA|15657086//cellular component|cell surface|IEA|GO:0009986|GOA|na//cellular component|integral to plasma membrane|IDA|GO:0005887|GOA|12045205//cellular component|plasma membrane|EXP|GO:0005886|GOA|17356069//cellular component|plasma membrane|IDA|GO:0005886|GOA|15657086	F	15	0.6485	-1.5421	1.4963E-13	1041.2762	668.7719
A_23_P114075	chr17:65882283-65882342	BPTF	0	NM_004459	Bromodomain PHD finger transcription factor	molecular function|DNA-dependent ATPase activity|IDA|GO:0008094|GOA|14609955//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|14609955//molecular function|sequence-specific DNA binding|IDA|GO:0043565|GOA|10403843//molecular function|sequence-specific DNA binding|IMP|GO:0043565|GOA|10575013//molecular function|transcription factor binding|IDA|GO:0008134|GOA|10727212//molecular function|transcription regulator activity|IMP|GO:0030528|GOA|14609955//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|brain development|IMP|GO:0007420|GOA|14609955//biological process|chromatin remodeling|IDA|GO:0006338|GOA|14609955//biological process|negative regulation of transcription from RNA polymerase II promoter|IDA|GO:0000122|GOA|10727212//biological process|positive regulation of gene-specific transcription|IMP|GO:0043193|GOA|14609955//biological process|regulation of transcription|IMP|GO:0045449|GOA|10575013//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|ARRAY(0xb4b1c0)	F	15	0.7708	-1.2973	3.0191E-12	286.3598	220.051
A_24_P32887	chr9:136901175-136901234	BRD3	0	NM_007371	Bromodomain containing 3	molecular function|molecular_function|ND|GO:0003674|GOA|na//biological process|biological_process|ND|GO:0008150|GOA|na//cellular component|nucleus|NAS|GO:0005634|GOA|na	F	15	0.8063	-1.2403	5.912E-11	146.3393	118.0044
A_24_P22174	chr14:104057419-104057478	C14orf153	0	BC007412	Chromosome 14 open reading frame 153		F	14	0.8172	-1.2237	0.000008997	64.8375	53.1218
A_32_P83776	chr1:229462604-229462663	C1orf96	0	NM_145257	Chromosome 1 open reading frame 96		F	16	0.621	-1.6103	8.9546E-10	61.3972	37.2336
A_24_P315739	chr20:18435901-18435960	C20orf12	0	NM_001099407	Chromosome 20 open reading frame 12	molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na	F	14	0.6505	-1.5372	0.000064172	10.794	7.1713
A_24_P865	chr6:118887057-118887116	C6orf204	0	NM_206921	Chromosome 6 open reading frame 204		F	15	0.782	-1.2787	1.5368E-08	82.5492	64.1942
A_24_P77941	chr7:92901989-92902045	CCDC132	0	NM_024553	Coiled-coil domain containing 132		F	16	0.8442	-1.1845	1.1825E-26	231.5696	195.3488
