pbs	gene symbol	chrom	arm	cytogenet	start	end	genes cluster	p-value	fold-change
214243_s_at	SERHL	22	22q	q13.2	41279868	41300335	b	5,90E-06	5,36425574
1553394_a_at	TFAP2B	6	6p	p12.3	50894564	50919073	b	5,92E-06	3,50415633
224146_s_at	ABCC11	16	16q	q12.1	46758441	46838806	b	9,46E-06	5,03509997
201931_at	ETFA	15	15q	q24.2	74295690	74390784	b	1,36E-05	1,2069696
206714_at	ALOX15B	17	17p	p13.1	7883126	7893174	b	1,38E-05	6,19591068
235578_at	ABCC9	12	12p	p12.1	21841184	21842104	b	2,08E-05	0,21581809
1555416_a_at	ALOX15B	17	17p	p13.1	7883198	7892608	b	2,13E-05	6,12786595
218764_at	PRKCH	14	14q	q23.1	61086426	61087443	b	2,23E-05	1,14477299
208818_s_at	COMT	22	22q	q11.21	18309332	18336464	b	2,33E-05	1,41951051
208792_s_at	CLU	8	8p	p21.1	27511568	27524745	b	2,61E-05	2,23869544
1553434_at	CYP4Z2P	1	1p	p33	47305708	47345938	b	3,11E-05	3,80978764
222454_s_at	PARVA	11	11p	p15.3	12355677	12508919	b	3,12E-05	0,64856798
204818_at	HSD17B2	16	16q	q23.3	80626363	80689638	b	3,15E-05	3,57509996
217388_s_at	KYNU	2	2q	q22.2	143513697	143516350	b	3,44E-05	3,86989292
219405_at	TRIM68	11	11p	p15.4	4576477	4580220	b	3,78E-05	2,05677153
208817_at	COMT	22	22q	q11.21	18309332	18336464	b	5,49E-05	1,5477042
206165_s_at	CLCA2	1	1p	p22.3	86662412	86694519	b	5,51E-05	4,74079133
208791_at	CLU	8	8p	p21.1	27511568	27524745	b	5,68E-05	2,43233867
204675_at	SRD5A1	5	5p	p15.31	6686562	6722673	b	5,76E-05	3,0060438
210959_s_at	SRD5A1	5	5p	p15.31	6686531	6721746	b	5,81E-05	3,31554203
214461_at	LBP	20	20q	q11.23	36408321	36439074	b	5,91E-05	5,9815393
220615_s_at	MLSTD1	12	12p	p11.22	29193498	29378272	b	6,09E-05	2,21114269
214469_at	HIST1H2AE	6	6p	p22.1	26325126	26325686	b	6,22E-05	2,84197087
209389_x_at	DBI	2	2q	q14.2	119841040	119846448	b	6,43E-05	1,64896627
228888_at	STAC2	17	17q	q12	34620314	34621167	b	6,58E-05	1,66368184
206099_at	PRKCH	14	14q	q23.1	60858410	61086476	b	6,98E-05	1,0625015
206164_at	CLCA2	1	1p	p22.3	86662412	86694519	b	8,28E-05	3,30727816
215603_x_at	GGT1	22	22q	q11.21	19892289	19893772	b	0,00010067	2,62266342
211162_x_at	SCD	10	10q	q24.31	102097816	102110969	b	0,00010098	2,50479786
244127_at		15	15q	q26.1	89276819	89279364	b	0,0001026	0,34869137
209919_x_at	GGT1	22	22q	q11.23	23353218	23354942	b	0,00010299	3,31524649
211708_s_at	SCD	10	10q	q24.31	102097074	102110667	b	0,00010944	2,51370783
203180_at	ALDH1A3	15	15q	q26.3	99237583	99274352	b	0,00011604	2,02571243
225342_at	AK3L1	1	1p	p31.3	65467682	65470416	b	0,00011639	1,8757012
208284_x_at	GGT1	22	22q	q11.23	23329182	23354960	b	0,00011974	3,0690712
210663_s_at	KYNU	2	2q	q22.2	143351695	143463574	b	0,00012211	3,8856584
207275_s_at	ACSL1	4	4q	q35.1	185914256	185961696	b	0,00012637	2,3180205
216920_s_at	TARP	7	7p	p14.1	38245704	38365141	b	0,00012719	3,20209176
215806_x_at	TARP	7	7p	p14.1	38245712	38365108	b	0,00012767	3,18158605
217188_s_at	C14orf1	14	14q	q24.3	75187650	75196967	b	0,00013312	0,63643437
211237_s_at	FGFR4	5	5q	q35.2	176449173	176457376	b	0,00013676	1,47467975
211138_s_at	KMO	1	1q	q43	239762272	239822212	b	0,00014245	2,76841587
239108_at	MLSTD1	12	12p	p11.22	29379397	29379815	b	0,00014356	2,22705312
209306_s_at	SWAP70	11	11p	p15.4	9642207	9731077	b	0,00014401	0,7484859
209917_s_at	TP53AP1	7	7q	q21.12	86808774	86812744	b	0,0001453	1,46920938
229616_s_at	GRAMD2	15	15q	q23	70239200	70241200	b	0,0001579	2,78755674
211070_x_at	DBI	2	2q	q14.2	119841054	119846586	b	0,00016042	1,55491548
201951_at	ALCAM	3	3q	q13.11	106568811	106778436	b	0,00016048	1,49099448
211417_x_at	GGT1	22	22q	q11.23	23353221	23354972	b	0,00016112	3,00215762
203060_s_at	PAPSS2	10	10q	q23.2	89409655	89497440	b	0,00016367	2,43170477
205306_x_at	KMO	1	1q	q43	239762056	239825569	b	0,00017164	2,77178311
207131_x_at	GGT1	22	22q	q11.23	23309717	23354935	b	0,00017899	3,30597864
204044_at	QPRT	16	16p	p11.2	29597975	29616457	b	0,00017973	2,2213318
39248_at	AQP3	9	9p	p13.3	33431153	33431590	b	0,00018682	3,72493523
204385_at	KYNU	2	2q	q22.2	143351693	143516344	b	0,00019004	2,79802665
209813_x_at	TARP	7	7p	p14.1	38265768	38323770	b	0,00019443	3,14040823
211382_s_at	TACC2	10	10q	q26.13	123959546	124003841	b	0,00019996	1,11156788
211144_x_at	TARP	7	7p	p14.1	38245720	38337083	b	0,0002095	2,93273965
203914_x_at	HPGD	4	4q	q34.1	175647981	175680194	b	0,00021531	5,28815673
201963_at	ACSL1	4	4q	q35.1	185913748	185961675	b	0,00022004	1,99160722
202428_x_at	DBI	2	2q	q14.2	119841630	119846586	b	0,0002208	1,44687895
211416_x_at	GGTLC1	20	20p	p11.21	23913690	23915432	b	0,00022233	2,3975293
230323_s_at	TMEM45B	11	11q	q24.3	129234154	129234614	b	0,00022364	3,27192547
204941_s_at	ALDH3B2	11	11q	q13.2	67186217	67198649	b	0,00022412	3,37756192
211652_s_at	LBP	20	20q	q11.23	36408333	36438722	b	0,00022698	4,17556242
204942_s_at	ALDH3B2	11	11q	q13.2	67186217	67198641	b	0,00023023	3,18226204
203058_s_at	PAPSS2	10	10q	q23.2	89409627	89497442	b	0,00023408	2,64075798
211056_s_at	SRD5A1	5	5p	p15.31	6686581	6722509	b	0,00023877	2,83569733
203913_s_at	HPGD	4	4q	q34.1	175647784	175680550	b	0,00024678	5,47111179
244044_at		6	6q	q23.2	132056790	132057615	b	0,00024776	3,67060454
204615_x_at	IDI1	10	10p	p15.3	1076028	1080113	b	0,00025083	1,98609102
209699_x_at	AKR1C2	10	10p	p15.1	5021964	5036050	b	0,00025286	3,39233773
212249_at	PIK3R1	5	5q	q13.1	67557872	67633403	b	0,00025488	1,63299792
208881_x_at	IDI1	10	10p	p15.3	1075964	1080113	b	0,00025724	2,06918302
201998_at	ST6GAL1	3	3q	q27.3	188239223	188279035	b	0,00026831	1,90259127
201960_s_at	MYCBP2	13	13q	q22.3	76516793	76799178	b	0,00026904	1,25993921
205020_s_at	ARL4A	7	7p	p21.3	12693814	12695328	b	0,00026934	1,54729602
243585_at	ATP13A5	3	3q	q29	194475271	194485471	b	0,00027409	2,97554918
205030_at	FABP7	6	6q	q22.31	123142562	123146915	b	0,00028463	6,11443537
202289_s_at	TACC2	10	10q	q26.13	123913348	124004043	b	0,0002919	0,96151831
206166_s_at	CLCA2	1	1p	p22.3	86662412	86693824	b	0,0002928	3,24137259
209016_s_at	KRT7	12	12q	q13.13	50913304	50928976	b	0,00029778	2,21738045
211548_s_at	HPGD	4	4q	q34.1	175648186	175680194	b	0,00029795	5,29392807
206827_s_at	TRPV6	7	7q	q34	142279082	142279807	b	0,00030178	1,31266832
1554119_at	C16orf57	16	16q	q13	56592823	56604971	b	0,00030434	0,2548574
214598_at	CLDN8	21	21q	q22.11	30508199	30510262	b	0,0003176	4,05687209
201952_at	ALCAM	3	3q	q13.11	106568811	106778436	b	0,00032481	1,48758326
212025_s_at	FLII	17	17p	p11.2	18088857	18102791	b	0,0003418	0,55468059
212240_s_at	PIK3R1	5	5q	q13.1	67557872	67633403	b	0,00034391	1,40115108
240242_at	ATP13A4	3	3q	q29	194599452	194599886	b	0,00037029	3,42295552
206561_s_at	AKR1B10	7	7q	q33	133863164	133876698	b	0,00037114	3,68068094
205073_at	CYP2J2	1	1p	p32.1	60131567	60165011	b	0,00038312	2,31313434
221669_s_at	ACAD8	11	11q	q25	133628674	133640765	b	0,00039825	1,19348241
222938_x_at	ENPP3	6	6q	q23.2	132000136	132109898	b	0,00040018	2,83086577
232732_at		12	12q	q13.13	52194071	52197657	b	0,00044817	0,29912238
204058_at	ME1	6	6q	q14.2	83976830	84197506	b	0,00045399	2,35478573
211549_s_at	HPGD	4	4q	q34.1	175649658	175680177	b	0,00045648	4,69523973
215870_s_at	PLA2G5	1	1p	p36.13	20258709	20290246	b	0,00048765	0,98863865
226226_at	TMEM45B	11	11q	q24.3	129227577	129234506	b	0,00049144	2,41878957
219551_at	EAF2	3	3q	q13.33	123036719	123088004	b	0,00050064	2,07334444
224210_s_at	PXMP4	20	20q	q11.22	31758470	31771698	b	0,00050493	1,89948656
211653_x_at	AKR1C2	10	10p	p15.1	5022124	5035968	b	0,00050627	3,05372772
1555037_a_at	IDH1	2	2q	q33.3	208809274	208827155	b	0,00050665	1,27105584
224856_at	FKBP5	6	6p	p21.31	35649344	35651470	b	0,00056818	2,89847913
223098_s_at	LONP2	16	16q	q12.1	46887544	46944908	b	0,00056927	1,48762499
242951_at	TMEM86A	11	11p	p15.1	18683349	18683929	b	0,00057571	1,83141384
1553132_a_at	TC2N	14	14q	q32.12	91318691	91403619	b	0,00057617	1,49682156
1556190_s_at	PRNP	8	8q	q11.23	54590291	54592069	b	0,00057665	2,05429822
212096_s_at	MTUS1	8	8p	p22	17545587	17657279	b	0,00058648	1,04892879
201193_at	IDH1	2	2q	q33.3	208809198	208828051	b	0,00059687	1,23300256
204560_at	FKBP5	6	6p	p21.31	35651422	35764692	b	0,00060224	3,13023312
1554712_a_at	GLYATL2	11	11q	q12.1	58358117	58368575	b	0,00061944	3,79089802
1558846_at	PNLIPRP3	10	10q	q25.3	118177371	118227456	b	0,00062537	4,82738251
228206_at	HS3ST4	16	16p	p12.1	25611857	26056506	b	0,00062726	0,81520891
233651_s_at	MPND	19	19p	p13.3	4294704	4310999	b	0,00063875	0,66564107
203474_at	IQGAP2	5	5q	q13.3	75734904	76039711	b	0,00065723	1,64902198
219428_s_at	PXMP4	20	20q	q11.22	31758228	31771767	b	0,00065965	2,08459945
224840_at	FKBP5	6	6p	p21.31	35649344	35651470	b	0,00066243	2,84432411
204348_s_at	AK3L1	1	1p	p31.3	65386494	65465286	b	0,0007717	1,89655465
244179_x_at		22	22q	q11.21	17155043	17161964	b	0,00077266	0,53902253
208690_s_at	PDLIM1	10	10q	q23.33	96987321	97040771	b	0,00079423	1,56036292
219916_s_at	RNF39	6	6p	p21.33	30146025	30151607	b	0,00079695	1,27195124
1566472_s_at	RETSAT	2	2p	p11.2	85393813	85397280	b	0,00080373	1,59032044
1554385_a_at	PADI2	1	1p	p36.13	17278112	17318517	b	0,00081086	1,67926267
242103_at	TMEM86A	11	11p	p15.1	18680192	18680682	b	0,00081262	1,77694717
203059_s_at	PAPSS2	10	10q	q23.2	89409637	89495796	b	0,00081674	1,86105193
226489_at	TMCC3	12	12q	q22	93486473	93533968	b	0,00082776	1,96882684
201301_s_at	ANXA4	2	2p	p14	69822727	69906278	b	0,00085355	0,72378532
1570107_at		NA	NA	NA	NA	NA	b	0,00085954	0,37296143
218124_at	RETSAT	2	2p	p11.2	85422732	85430877	b	0,00086604	1,34061456
217738_at	NAMPT	7	7q	q22.2	105675974	105712874	b	0,00086764	2,03993217
230630_at	AK3L1	1	1p	p31.3	65467357	65467807	b	0,00092133	1,56927678
207102_at	AKR1D1	7	7q	q34	137411735	137453590	b	0,00092631	4,25221527
227570_at	TMEM86A	11	11p	p15.1	18680426	18681235	b	0,00093177	1,45260008
238710_at	TMEM86A	11	11p	p15.1	18682425	18683106	b	0,00094224	2,05186176
227490_at	WDFY2	13	13q	q14.3	51056638	51232610	b	0,00094697	0,8035681
202275_at	G6PD	X	Xq	q28	153412799	153428663	b	0,00096482	2,04682335
235256_s_at	GALM	2	2p	p22.1	38810198	38815029	b	0,00097372	1,46814448
202605_at	GUSB	7	7q	q11.21	65063109	65084631	b	0,00097842	2,09457618
