Curated Gene Symbol	Order	Parametric p-value	t-value	% CV support	Geom mean of intensities in class 1	Geom mean of intensities in class 2	Geom mean of intensities in class 3	Geom mean of intensities in class 4	Unique id	Description	GB acc	Gene symbol
	65	< 1e-07	21.933	100	96.57	109.67	139.3	166.05	A_24_P170357	Unknown	A_24_P170357	A_24_P170357
BAX	66	< 1e-07	21.862	100	4098.31	6416.01	9912.41	12380.49	A_23_P208706	Homo sapiens BCL2-associated X protein (BAX), transcript variant epsilon, mRNA [NM_138764]	NM_138764	BAX
ACTA2	67	< 1e-07	21.44	100	109.9	175.87	307.9	423.5	A_23_P150053	Homo sapiens actin, alpha 2, smooth muscle, aorta (ACTA2), mRNA [NM_001613]	NM_001613	ACTA2
	68	< 1e-07	21.05	100	32.14	40.06	51.73	61.33	A_32_P97739	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 1895238. [AJ420487]	AJ420487	AJ420487
	69	< 1e-07	20.459	100	52.04	49.72	59.44	104.21	A_32_P12994	full-length cDNA clone CS0DI015YJ05 of Placenta Cot 25-normalized of Homo sapiens (human). [CR601322]	CR601322	CR601322
APLF	70	< 1e-07	19.967	100	56.13	58.99	73.39	106.82	A_32_P16339	Homo sapiens chromosome 2 open reading frame 13 (C2orf13), mRNA [NM_173545]	NM_173545	C2orf13
CMBL	71	< 1e-07	19.926	100	11.92	16.61	26.21	45.52	A_23_P144668	Homo sapiens carboxymethylenebutenolidase homolog (Pseudomonas) (CMBL), mRNA [NM_138809]	NM_138809	CMBL
EBI3	72	< 1e-07	19.833	100	57.87	49.19	58.81	118.32	A_24_P370201	Homo sapiens Epstein-Barr virus induced gene 3 (EBI3), mRNA [NM_005755]	NM_005755	EBI3
	73	< 1e-07	19.73	100	126.42	145.74	198.1	313.7	A_24_P245838	Homo sapiens cDNA FLJ43371 fis, clone NTONG2005969. [AK125361]	AK125361	AK125361
XPC	74	< 1e-07	19.354	100	578.27	806.93	1111.75	1415.6	A_24_P88921	Homo sapiens xeroderma pigmentosum, complementation group C (XPC), mRNA [NM_004628]	NM_004628	XPC
LAMP3	75	< 1e-07	19.071	100	299.67	337.97	443.64	779.24	A_23_P29773	Homo sapiens lysosomal-associated membrane protein 3 (LAMP3), mRNA [NM_014398]	NM_014398	LAMP3
APOBEC3F	76	< 1e-07	18.972	100	300.51	345.39	459.66	626.35	A_23_P357101	Homo sapiens apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F (APOBEC3F), transcript variant 1, mRNA [NM_145298]	NM_145298	APOBEC3F
RGS12	77	< 1e-07	18.832	100	155.46	180.73	246.39	302.51	A_24_P220786	Homo sapiens regulator of G-protein signalling 12 (RGS12), transcript variant 1, mRNA [NM_198229]	NM_198229	RGS12
KREMEN2	78	< 1e-07	18.071	100	26.12	27.03	35.54	69.2	A_23_P77612	Homo sapiens kringle containing transmembrane protein 2 (KREMEN2), transcript variant 4, mRNA [NM_172229]	NM_172229	KREMEN2
RGS12	79	< 1e-07	17.857	100	232.52	262.44	339.58	421.17	A_23_P352435	Homo sapiens regulator of G-protein signalling 12 (RGS12), transcript variant 2, mRNA [NM_002926]	NM_002926	RGS12
NTPCR	80	< 1e-07	17.78	100	315.79	347.18	422.19	532.55	A_23_P200252	Homo sapiens chromosome 1 open reading frame 57 (C1orf57), mRNA [NM_032324]	NM_032324	C1orf57
	81	< 1e-07	17.768	100	75.64	75.87	62.42	30.65	A_32_P156786	Unknown	THC2651023	THC2651023
POLH	82	< 1e-07	19.224	100	8.84	10.64	18.37	36.95	A_23_P422718	Homo sapiens polymerase (DNA directed), eta (POLH), mRNA [NM_006502]	NM_006502	POLH
GDF15	83	0.0000001	17.342	100	290.43	357.58	605.7	1269.87	A_23_P16523	Homo sapiens growth differentiation factor 15 (GDF15), mRNA [NM_004864]	NM_004864	GDF15
SLC4A11	84	0.0000001	17.337	100	71.82	76.32	93.02	126.54	A_23_P154688	Homo sapiens solute carrier family 4, sodium bicarbonate transporter-like, member 11 (SLC4A11), mRNA [NM_032034]	NM_032034	SLC4A11
LARGE	85	0.0000001	17.32	100	100.25	94.08	60.54	37.01	A_23_P91697	Homo sapiens like-glycosyltransferase (LARGE), transcript variant 1, mRNA [NM_004737]	NM_004737	LARGE
BAX	86	0.0000001	16.967	100	651.49	980.55	1482.54	1685.52	A_23_P346311	Homo sapiens BCL2-associated X protein (BAX), transcript variant sigma, mRNA [NM_138765]	NM_138765	BAX
	87	0.0000001	16.823	100	294.93	280.15	239.98	108.88	A_32_P170454	Homo sapiens cDNA FLJ37411 fis, clone BRAMY2028682. [AK094730]	AK094730	LOC283454
ANXA4	88	0.0000002	16.629	100	914.92	999.09	1158.12	1535.54	A_23_P16976	Homo sapiens annexin A4 (ANXA4), mRNA [NM_001153]	NM_001153	ANXA4
	89	0.0000002	16.407	100	264.98	264.36	363.34	518.67	A_24_P128361	Homo sapiens clone pp6337 unknown mRNA. [AF289562]	AF289562	AF289562
IZUMO4	90	0.0000002	16.271	100	58.46	59.93	69.12	115.57	A_23_P50674	Homo sapiens chromosome 19 open reading frame 36 (C19orf36), transcript variant 1, mRNA [NM_001031735]	NM_001031735	C19orf36
	91	0.0000003	16.069	100	28.61	29.5	39.67	64.83	A_24_P937817	Homo sapiens cDNA: FLJ22542 fis, clone HSI00196. [AK026195]	AK026195	AK026195
AGRN	92	0.0000003	15.96	100	64.11	63.77	77.3	105.5	A_23_P343411	Homo sapiens agrin (AGRIN), mRNA [NM_198576]	NM_198576	AGRIN
FAM129C	93	0.0000003	15.679	100	171.29	152.12	138.19	76.75	A_23_P345799	Homo sapiens family with sequence similarity 129, member C (FAM129C), mRNA [NM_173544]	NM_173544	FAM129C
FBXO22	94	0.0000004	15.462	100	14.95	19.74	25.92	32.93	A_24_P13715	Homo sapiens F-box protein 22 (FBXO22), transcript variant 1, mRNA [NM_147188]	NM_147188	FBXO22
NEIL1	95	0.0000004	15.421	100	1008.49	916.42	814.34	548.93	A_23_P129157	Homo sapiens nei endonuclease VIII-like 1 (E. coli) (NEIL1), mRNA [NM_024608]	NM_024608	NEIL1
OSCP1	96	0.0000004	15.396	100	78.44	85.63	103.59	155.05	A_23_P103433	Homo sapiens chromosome 1 open reading frame 102 (C1orf102), transcript variant 1, mRNA [NM_145047]	NM_145047	C1orf102
APOBEC3C	97	0.0000005	15.244	100	474.42	535.55	685.7	921.25	A_23_P120931	Homo sapiens apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C (APOBEC3C), mRNA [NM_014508]	NM_014508	APOBEC3C
MAP4K4	98	0.0000006	14.827	100	1554.47	1827.82	2208.54	2663.71	A_23_P108604	Homo sapiens mitogen-activated protein kinase kinase kinase kinase 4 (MAP4K4), transcript variant 2, mRNA [NM_145686]	NM_145686	MAP4K4
IZUMO4	99	0.0000007	14.682	100	370.77	397.03	473.34	632.22	A_24_P32295	Homo sapiens chromosome 19 open reading frame 36 (C19orf36), transcript variant 3, mRNA [NM_001039846]	NM_001039846	C19orf36
	100	0.0000008	15.606	100	7.98	8.4	10.96	27.19	A_24_P84130	Homo sapiens cDNA: FLJ21027 fis, clone CAE07110. [AK024680]	AK024680	AK024680
FCRL5	101	0.000001	14.242	100	131.5	144.24	256.36	446.39	A_23_P201211	Homo sapiens Fc receptor-like 5 (FCRL5), mRNA [NM_031281]	NM_031281	FCRL5
MFSD4	102	0.0000011	14.555	100	11.21	15.5	23.61	40.9	A_24_P51115	Homo sapiens major facilitator superfamily domain containing 4 (MFSD4), mRNA [NM_181644]	NM_181644	MFSD4
IL21R	103	0.0000012	14.032	100	983.93	1057.05	1326.62	1785.82	A_24_P227927	Homo sapiens interleukin 21 receptor (IL21R), transcript variant 2, mRNA [NM_181078]	NM_181078	IL21R
CDC42EP2	104	0.0000012	13.953	100	576.31	562.62	795.8	1256.82	A_23_P1602	Homo sapiens CDC42 effector protein (Rho GTPase binding) 2 (CDC42EP2), mRNA [NM_006779]	NM_006779	CDC42EP2
DOK7	105	0.0000024	13.171	100	85.68	71.17	50.14	25.22	A_23_P398854	Homo sapiens docking protein 7 (DOK7), mRNA [NM_173660]	NM_173660	DOK7
TNFRSF10D	106	0.0000027	13.217	100	8.84	12.38	13.19	27.29	A_23_P95417	Homo sapiens tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain (TNFRSF10D), mRNA [NM_003840]	NM_003840	TNFRSF10D
BBC3	107	0.0000028	12.916	100	515.19	605.21	798.82	1016.47	A_24_P305312	Homo sapiens BCL2 binding component 3 (BBC3), mRNA [NM_014417]	NM_014417	BBC3
PRKY	108	0.0000029	12.857	100	435.61	482.17	554.83	633.95	A_24_P186030	Homo sapiens protein kinase, Y-linked (PRKY), mRNA [NM_002760]	NM_002760	PRKY
MIR155HG	109	0.0000033	12.714	100	29.73	29.28	30.5	57.19	A_32_P108156	Homo sapiens BIC transcript (BIC) on chromosome 21 [NR_001458]	NR_001458	BIC
TYMS	110	0.0000034	12.673	100	79.14	87.71	109.4	192.59	A_23_P50096	Homo sapiens thymidylate synthetase (TYMS), mRNA [NM_001071]	NM_001071	TYMS
LOR	111	0.0000034	13.949	100	8.76	8.24	12.75	19.71	A_23_P34452	Homo sapiens loricrin (LOR), mRNA [NM_000427]	NM_000427	LOR
GNG7	112	0.0000039	12.505	100	455.92	447.08	369.18	267.89	A_23_P153897	Homo sapiens guanine nucleotide binding protein (G protein), gamma 7 (GNG7), mRNA [NM_052847]	NM_052847	GNG7
	113	0.0000039	12.487	100	94.29	103.61	125.31	181.1	A_24_P633575	Homo sapiens full length insert cDNA clone ZD54C08. [AF086329]	AF086329	AF086329
SYNPO	114	0.0000062	11.939	100	22.8	23.51	28.67	64.35	A_23_P344531	Synaptopodin. [Source:Uniprot/SWISSPROT;Acc:Q8N3V7] [ENST00000307662]	ENST00000307662	SYNPO
PROK2	115	0.0000083	11.583	100	1685.55	1526.5	1309.1	891.29	A_24_P97342	Homo sapiens prokineticin 2 (PROK2), mRNA [NM_021935]	NM_021935	PROK2
	116	0.0000089	11.505	100	89.56	78.1	76.13	39.77	A_32_P12454	Homo sapiens cDNA clone IMAGE:5287818. [BC041686]	BC041686	BC041686
PLXNA2	117	0.0000092	11.469	100	135	148.01	196.77	256.14	A_23_P46618	Homo sapiens plexin A2 (PLXNA2), mRNA [NM_025179]	NM_025179	PLXNA2
SMTN	118	0.0000105	11.307	100	39	39.43	45.88	61.96	A_23_P211428	Homo sapiens smoothelin (SMTN), transcript variant 2, mRNA [NM_134269]	NM_134269	SMTN
MFSD4	119	0.0000134	11.234	100	9.82	13.61	14.07	24.73	A_23_P365412	Homo sapiens major facilitator superfamily domain containing 4 (MFSD4), mRNA [NM_181644]	NM_181644	MFSD4
MYC	120	0.0000142	10.956	100	1205.19	1051.24	787.53	721.2	A_23_P215956	Homo sapiens v-myc myelocytomatosis viral oncogene homolog (avian) (MYC), mRNA [NM_002467]	NM_002467	MYC
TRIM32	121	0.0000147	10.914	100	275	283.55	359.76	432.45	A_24_P29966	Homo sapiens tripartite motif-containing 32 (TRIM32), mRNA [NM_012210]	NM_012210	TRIM32
SLC34A1	122	0.0000171	10.737	100	125.84	113.4	108.01	74.97	A_23_P58729	Homo sapiens solute carrier family 34 (sodium phosphate), member 1 (SLC34A1), mRNA [NM_003052]	NM_003052	SLC34A1
	123	0.0000185	10.648	100	1048.35	1055.68	1673.33	2026.56	A_24_P65597	full-length cDNA clone CS0DM012YB14 of Fetal liver of Homo sapiens (human). [CR616003]	CR616003	CR616003
IER5	124	0.0000187	10.635	100	27370.82	31397.53	38638.85	45924.05	A_23_P86330	Homo sapiens immediate early response 5 (IER5), mRNA [NM_016545]	NM_016545	IER5
DBN1	125	0.0000193	10.599	100	1180.57	1207.36	1099.49	817.79	A_23_P156284	Homo sapiens drebrin 1 (DBN1), transcript variant 2, mRNA [NM_080881]	NM_080881	DBN1
CACNA2D3	126	0.0000215	10.477	100	163.2	154.69	130.75	76.46	A_23_P147166	Homo sapiens voltage-gated calcium channel alpha(2)delta-3 subunit mRNA, complete cds. [AF516696]	AF516696	CACNA2D3
SOGA1	127	0.000023	10.399	100	86.62	91.03	100.4	133.32	A_32_P32179	Homo sapiens cDNA FLJ32494 fis, clone SKNSH2000151. [AK057056]	AK057056	C20orf117
GNG7	128	0.0000236	10.369	100	43.91	39.17	33.87	24.55	A_24_P279749	Homo sapiens guanine nucleotide binding protein (G protein), gamma 7 (GNG7), mRNA [NM_052847]	NM_052847	GNG7
TNFSF9	129	0.000025	10.302	100	65.06	59.99	86.95	109.41	A_23_P67224	Homo sapiens tumor necrosis factor (ligand) superfamily, member 9 (TNFSF9), mRNA [NM_003811]	NM_003811	TNFSF9
	130	0.0000256	10.335	100	66.37	82.37	105.33	133.95	A_32_P509964	Homo sapiens unknown mRNA. [AF136408]	AF136408	AF136408
IGFBP4	131	0.0000264	10.426	100	11.22	14.63	19.32	30.39	A_24_P382187	Homo sapiens insulin-like growth factor binding protein 4 (IGFBP4), mRNA [NM_001552]	NM_001552	IGFBP4
TANC1	132	0.000027	10.966	100	6.49	7.19	8.99	17.34	A_23_P388400	Homo sapiens tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1 (TANC1), mRNA [NM_033394]	NM_033394	TANC1
ADAMTS5	133	0.0000286	10.15	100	51.5	47.4	32.21	19.78	A_23_P40415	Homo sapiens ADAM metallopeptidase with thrombospondin type 1 motif, 5 (aggrecanase-2) (ADAMTS5), mRNA [NM_007038]	NM_007038	ADAMTS5
CCL17	134	0.000034	9.957	100	20.05	16.98	17.43	29.79	A_23_P26325	Homo sapiens chemokine (C-C motif) ligand 17 (CCL17), mRNA [NM_002987]	NM_002987	CCL17
AGRN	135	0.0000378	9.838	100	29.4	34.69	29.18	50.1	A_24_P24819	Homo sapiens agrin (AGRIN), mRNA [NM_198576]	NM_198576	AGRIN
TNFSF13	136	0.0000396	9.784	100	596.99	560.47	490.24	411	A_23_P152620	Homo sapiens tumor necrosis factor (ligand) superfamily, member 13 (TNFSF13), transcript variant gamma, mRNA [NM_172088]	NM_172088	TNFSF13
ELL3	137	0.0000397	9.783	100	89.07	91.46	79.71	51.71	A_23_P3237	Homo sapiens elongation factor RNA polymerase II-like 3 (ELL3), mRNA [NM_025165]	NM_025165	ELL3
TREM2	138	0.0000471	9.591	100	74.11	93.85	135.6	204.43	A_23_P167941	Homo sapiens triggering receptor expressed on myeloid cells 2 (TREM2), mRNA [NM_018965]	NM_018965	TREM2
