Fold Change	Transcript Cluster ID	q-value (%)	Gene Symbol	Description	Entrez Gene ID	Cytoband	SwissProt ID
0.15	2902736	0	SNORD52	small nucleolar RNA, C/D box 52	50854	6p21.32	Q9UBA6
0.15	3062082	0	PDK4	pyruvate dehydrogenase kinase, isozyme 4	5166	7q21.3	Q16654
0.15	2562435	0	SFTPB	surfactant protein B	6439	2p11.2	P07988
0.15	2807716	0	C7	complement component 7	730	5p13.1	P10643
0.15	2929168	0	UTRN	utrophin	7402	6q24.2	P46939
0.16	4026263	0	CETN2	centrin, EF-hand protein, 2	1069	Xq28	P41208
0.16	3256192	0	AGAP11	ankyrin repeat and GTPase domain Arf GTPase activating protein 11	10974	10q23.2	Q15847
0.16	2895244	0	EDN1	endothelin 1	1906	6p24.1	P05305
0.16	2331213	0	KIAA0754	hypothetical LOC643314	23499	1p34.3 / 1p34.2	Q96PK2
0.16	2738378	0	NPNT	nephronectin	255743	4q24	Q6UXI9
0.16	2773434	0	CXCL2	chemokine (C-X-C motif) ligand 2	2920	4q13.3	P19875
0.16	3635159	0	C15orf37	chromosome 15 open reading frame 37	400410	15q25.1	Q9HBF5
0.16	2953751	0	PGC	progastricsin (pepsinogen C)	5225	6p21.1	P20142
0.16	3544251	0	YLPM1	YLP motif containing 1	56252	14q24.3	P49750
0.16	3900091	0	C20orf74	chromosome 20 open reading frame 74	57186	20p11.23	Q2PPJ7
0.16	2958325	0	DST	dystonin	667	6p12.1	O94833
0.16	3165825	0	TEK	TEK tyrosine kinase, endothelial	7010	9p21.2	Q02763
0.16	3666732	0	CYB5B	cytochrome b5 type B (outer mitochondrial membrane)	80777	16q22.1	O43169
0.16	3417703	0	HSD17B6	hydroxysteroid (17-beta) dehydrogenase 6 homolog (mouse)	8630	12q13.3	O14756
0.17	3351359	0	ATP5L	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G	10632	11q23.3	O75964
0.17	3113180	0	MAL2	mal, T-cell differentiation protein 2	114569	8q24.12	Q969L2
0.17	3921068	0	ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	2114	21q22.2	P15036
0.17	3484060	0	ALOX5AP	arachidonate 5-lipoxygenase-activating protein	241	13q12.3	P20292
0.17	3489673	0	KCNRG	potassium channel regulator	283518	13q14.3	A2A2X9
0.17	2732844	0	ANXA3	annexin A3	306	4q21.21	P12429
0.17	2831932	0	IK	IK cytokine, down-regulator of HLA II	3550	5q31.3	Q13123
0.17	3466740	0	LTA4H	leukotriene A4 hydrolase	4048	12q23.1	P09960
0.17	2936857	0	MLLT4	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4	4301	6q27	P55196
0.17	3617574	0	GOLGA8A	golgi autoantigen, golgin subfamily a, 8A	440270	15q14	A8MQT2
0.17	2619761	0	ABHD5	abhydrolase domain containing 5	51099	3p21.33	Q8WTS1
0.17	3223872	0	RAB14	RAB14, member RAS oncogene family	51552	9q33.2	P61106
0.17	3403841	0	RIMKLB	ribosomal modification protein rimK-like family member B	57494	12p13.31	Q9ULI2
0.17	3060300	0	SRI	sorcin	6717	7q21.12	P30626
0.17	2777113	0	SPARCL1	SPARC-like 1 (hevin)	8404	4q22.1	Q14515
0.17	3975935	0	RGN	regucalcin (senescence marker protein-30)	9104	Xp11.3	Q15493
0.17	2358171	0	PRPF3	PRP3 pre-mRNA processing factor 3 homolog (S. cerevisiae)	9129	1q21.2	O43395
0.17	3830649	0.1	COX6B1	cytochrome c oxidase subunit Vib polypeptide 1 (ubiquitous)	1340	19q13.12	P14854
0.18	2710298	0	LOC100132319	hypothetical LOC100132319	100132319	3q28	Q9BZK4
0.18	3167731	0	UNC13B	unc-13 homolog B (C. elegans)	10497	9p13.3	O14795
0.18	2479433	0	PLEKHH2	pleckstrin homology domain containing, family H (with MyTH4 domain) member 2	130271	2p21	Q8IVE3
0.18	3443348	0	A2M	alpha-2-macroglobulin	2	12p13.31	P01023
0.18	3209726	0	ALDH1A1	aldehyde dehydrogenase 1 family, member A1	216	9q21.13	P00352
0.18	3352503	0	ARHGEF12	Rho guanine nucleotide exchange factor (GEF) 12	23365	11q23.3	Q9NZN5
0.18	2961347	0	FILIP1	filamin A interacting protein 1	27145	6q14.1	Q7Z7B0
0.18	3693837	0	GOT2	glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)	2806	16q21	P00505
0.18	2701109	0	IGSF10	immunoglobulin superfamily, member 10	285313	3q25.1	Q6WRI0
0.18	3174816	0	ANXA1	annexin A1	301	9q21.13	P04083
0.18	3058944	0	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	3082	7q21.11	P14210
0.18	2583465	0	ITGB6	integrin, beta 6	3694	2q24.2	P18564
0.18	3766796	0	PECAM1	platelet/endothelial cell adhesion molecule	5175	17q23.3	P16284
0.18	2903285	0	PSMB9	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)	5698	6p21.32	P28065
0.18	2872047	0	SEMA6A	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	57556	5q23.1	Q9H2E6
0.18	3777470	0	PTPRM	protein tyrosine phosphatase, receptor type, M	5797	18p11.23	P28827
0.18	3751794	0	SLC6A4	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4	6532	17q11.2	P31645
0.18	3094778	0	TACC1	transforming, acidic coiled-coil containing protein 1	6867	8p11.23	O75410
0.18	2981912	0	EZR	ezrin	7430	6q25.3	P15311
0.18	3474502	0	SFRS9	splicing factor, arginine/serine-rich 9	8683	12q24.31	Q13242
0.18	2762088	0	LDB2	LIM domain binding 2	9079	4p15.32	O43679
0.18	2423829	0	ARHGAP29	Rho GTPase activating protein 29	9411	1p22.1 / 1p21.3	Q52LW3
0.18	3623320	0	SECISBP2L	SECIS binding protein 2-like	9728	15q21.1	Q93073
0.18	3262433	0	SLK	STE20-like kinase (yeast)	9748	10q25.1	Q9H2G2
0.19	2548459	0	CEBPZ	CCAAT/enhancer binding protein (C/EBP), zeta	10153	2p22.2	Q03701
0.19	2372103	0	PRG4	proteoglycan 4	10216	1q31.1	Q92954
0.19	3575302	0	PTPN21	protein tyrosine phosphatase, non-receptor type 21	11099	14q31.3	Q16825
0.19	3850501	0	LOC147727	hypothetical LOC147727	147727	19p13.2	Q71MM4
0.19	3512769	0	ZC3H13	zinc finger CCCH-type containing 13	23091	13q14.12	Q5T200
0.19	2979871	0	SYNE1	spectrin repeat containing, nuclear envelope 1	23345	6q25.1 / 6q25.2	Q8NF91
0.19	2812273	0	PPWD1	peptidylprolyl isomerase domain and WD repeat containing 1	23398	5q12.3	Q96BP3
0.19	2421753	0	GTF2B	general transcription factor IIB	2959	1p22.2	Q00403
0.19	3770944	0	LOC440093	histone H3-like	3021	17q25.1	A8K4Y7
0.19	3984779	0	HNRNPH2	heterogeneous nuclear ribonucleoprotein H2 (H)	3188	Xq22.1	P55795
0.19	2794408	0	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	3248	4q34.1	P15428
0.19	2908474	0	HSP90AB1	heat shock protein 90kDa alpha (cytosolic), class B member 1	3326	6p21.1	P08238
0.19	3283991	0	KIF5B	kinesin family member 5B	3799	10p11.22	P33176
0.19	3474450	0	PLA2G1B	phospholipase A2, group IB (pancreas)	5319	12q24.31	P04054
0.19	3507798	0	UBL3	ubiquitin-like 3	5412	13q12.3	O95164
0.19	2953570	0	TREM1	triggering receptor expressed on myeloid cells 1	54210	6p21.1	Q9NP99
0.19	3417583	0	RBMS2	RNA binding motif, single stranded interacting protein 2	5939	12q13.3	Q15434
0.19	2696113	0	SLCO2A1	solute carrier organic anion transporter family, member 2A1	6578	3q22.1	Q92959
0.19	2523213	0	BMPR2	bone morphogenetic protein receptor, type II (serine/threonine kinase)	659	2q33.1	Q13873
0.19	2591421	0	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	7035	2q32.1	P10646
0.19	3672830	0	MAP1LC3B2	microtubule-associated protein 1 light chain 3 beta 2	81631	16q24.2	Q9GZQ8
0.19	3806689	0	HDHD2	haloacid dehalogenase-like hydrolase domain containing 2	84064	18q21.1	Q9H0R4
0.19	3861948	0	GMFG	glia maturation factor, gamma	9535	19q13.2	O60234
0.19	3904226	0	RBM39	RNA binding motif protein 39	9584	20q11.22	Q14498
0.19	2464484	0	C1orf199	chromosome 1 open reading frame 199	na	1q44	na
0.2	3181417	0	ANP32B	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	10541	9q22.33	Q92688
0.2	3590341	0	CHP	calcium binding protein P22	11261	15q15.1	Q99653
0.2	3250699	0	EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2	1979	10q22.1	Q13542
0.2	3223928	0	STOM	stomatin	2040	9q33.2	P27105
0.2	3992408	0	FHL1	four and a half LIM domains 1	2273	Xq26.3	Q13642
0.2	2948683	0	SFTA2	surfactant associated 2	389376	6p21.33	Q6UW10
0.2	3088486	0	LPL	lipoprotein lipase	4023	8p21.3	P06858
0.2	2914070	0	MYO6	myosin VI	4646	6q14.1	Q9UM54
0.2	3834379	0	CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	4680	19q13.2	P40199
0.2	2941784	0	NEDD9	neural precursor cell expressed, developmentally down-regulated 9	4739	6p24.1	Q14511
0.2	2353477	0	ATP1A1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	476	1p13.1	P05023
0.2	3074857	0	PTN	pleiotrophin	5764	7q33	P21246
0.2	2734629	0	PTPN13	protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)	5783	4q21.3	Q12923
0.2	3996306	0	SNORA70	small nucleolar RNA, H/ACA box 70	6134	Xq28	P27635
0.2	3260586	0	SCD	stearoyl-CoA desaturase (delta-9-desaturase)	6319	10q24.31	O00767
0.2	2585476	0	SCN7A	sodium channel, voltage-gated, type VII, alpha	6332	2q24.3	Q01118
0.2	3615579	0	TJP1	tight junction protein 1 (zona occludens 1)	7082	15q13.1 / 15q13.2	Q07157
0.2	3473331	0	C12orf49	chromosome 12 open reading frame 49	79794	12q24.22	Q9H741
0.2	3626704	0	SLTM	SAFB-like, transcription modulator	79811	15q22.1	Q9NWH9
0.2	2382117	0	CAPN2	calpain 2, (m/II) large subunit	824	1q41	P17655
0.2	3378411	0	RBM4B	RNA binding motif protein 4B	83759	11q13.1	Q9BQ04
0.2	2711205	0	ATP13A4	ATPase type 13A4	84239	3q29	Q4VNC1
0.2	4016001	0	ZMAT1	zinc finger, matrin type 1	84460	Xq22.1	Q5H9K5
0.2	3219621	0	CTNNAL1	catenin (cadherin-associated protein), alpha-like 1	8727	9q31.3	Q9UBT7
0.2	3494629	0	SCEL	sciellin	8796	13q22.3	O95171
0.2	3933625	0	RSPH1	radial spoke head 1 homolog (Chlamydomonas)	89765	21q22.3	Q8WYR4
0.2	3868400	0	NAPSA	napsin A aspartic peptidase	9476	19q13.33	O96009
0.2	3010503	0	CD36	CD36 molecule (thrombospondin receptor)	948	7q21.11	P16671
0.2	3068097	0	DOCK4	dedicator of cytokinesis 4	9732	7q31.1	Q8N1I0
0.21	2339139	0	INADL	InaD-like (Drosophila)	10207	1p31.3	Q8NI35
0.21	3725392	0	CALCOCO2	calcium binding and coiled-coil domain 2	10241	17q21.32	Q13137
0.21	2806256	0	DNAJC21	DnaJ (Hsp40) homolog, subfamily C, member 21	134218	5p13.2	Q5F1R6
0.21	3408573	0	LYRM5	LYR motif containing 5	144363	12p12.1	Q6IPR1
0.21	3801492	0	ANKRD29	ankyrin repeat domain 29	147463	18q11.2	Q8N6D5
0.21	2938972	0	SERPINB1	serpin peptidase inhibitor, clade B (ovalbumin), member 1	1992	6p25.2	P30740
0.21	3209384	0	TMEM2	transmembrane protein 2	23670	9q21.13	Q9UHN6
0.21	3559570	0	HECTD1	HECT domain containing 1	25831	14q12	Q9ULT8
0.21	2686458	0	ABI3BP	ABI family, member 3 (NESH) binding protein	25890	3q12.2	Q7Z7G0
0.21	2778273	0	PGDS	prostaglandin D2 synthase, hematopoietic	27306	4q22.3	O60760
0.21	3863640	0	CXCL17	chemokine (C-X-C motif) ligand 17	284340	19q13.2	Q6UXB2
0.21	3680524	0	ZC3H7A	zinc finger CCCH-type containing 7A	29066	16p13.13	Q8IWR0
0.21	2591837	0	SLC40A1	solute carrier family 40 (iron-regulated transporter), member 1	30061	2q32.2	Q9NP59
0.21	3727583	0	HLF	hepatic leukemia factor	3131	17q22	Q16534
0.21	3920850	0	KCNJ15	potassium inwardly-rectifying channel, subfamily J, member 15	3772	21q22.13 / 21q22.2	Q99712
0.21	3748798	0	MFAP4	microfibrillar-associated protein 4	4239	17p11.2	P55083
0.21	3758640	0	MPP3	membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)	4356	17q21.31	Q13368
0.21	3979659	0	MSN	moesin	4478	Xq11.1	P26038
0.21	3561039	0	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	4792	14q13.2	P25963
0.21	3444043	0	OLR1	oxidized low density lipoprotein (lectin-like) receptor 1	4973	12p13.2	P78380
0.21	3164221	0	DENND4C	DENN/MADD domain containing 4C	55667	9p22.1	Q5VZ89
0.21	2775390	0	MOP-1	MOP-1	643616	4q21.22	Q9H3T9
0.21	3620590	0	ZFP106	zinc finger protein 106 homolog (mouse)	64397	15q15.1	Q9H2Y7
0.21	3766960	0	SMURF2	SMAD specific E3 ubiquitin protein ligase 2	64750	17q24.1	Q9HAU4
0.21	3195344	0	MRPL41	mitochondrial ribosomal protein L41	64975	9q34.3	Q8IXM3
0.21	2783886	0	C4orf31	chromosome 4 open reading frame 31	79625	4q27	Q8TB73
0.21	3101893	0	CSPP1	centrosome and spindle pole associated protein 1	79848	8q13.2	Q1MSJ5
0.21	2753732	0	WWC2	WW and C2 domain containing 2	80014	4q35.1	Q6AWC2
0.21	3808745	0	CCDC68	coiled-coil domain containing 68	80323	18q21.2	Q9H2F9
0.21	2914693	0	SH3BGRL2	SH3 domain binding glutamic acid-rich protein like 2	83699	6q14.1	Q9UJC5
0.21	2754582	0	SNX25	sorting nexin 25	83891	4q35.1	Q9H3E2
0.21	2522616	0	CFLAR	CASP8 and FADD-like apoptosis regulator	8837	2q33.1	O15519
0.21	4023467	0	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6	9459	Xq26.3	Q15052
0.21	3528115	0	TOX4	TOX high mobility group box family member 4	9878	14q11.2	O94842
0.21	3842755	0	MGC9913	hypothetical protein MGC9913	na	19q13.43	na
0.21	2930753	0.1	C6orf72	chromosome 6 open reading frame 72	116254	6q25.1	Q9NU53
0.21	2556667	0.1	RAB1A	RAB1A, member RAS oncogene family	5861	2p14	P62820
0.21	3952718	0.1	UFD1L	ubiquitin fusion degradation 1 like (yeast)	7353	22q11.21	Q92890
0.22	3325907	0	HIPK3	homeodomain interacting protein kinase 3	10114	11p13	Q9H422
0.22	2622359	0	RBM6	RNA binding motif protein 6	10180	3p21.31	P78332
0.22	3014671	0	ARPC1A	actin related protein 2/3 complex, subunit 1A, 41kDa	10552	7q22.1	Q92747
0.22	3560673	0	CFL2	cofilin 2 (muscle)	1073	14q13.2	Q9Y281
0.22	3693533	0	CSNK2A2	casein kinase 2, alpha prime polypeptide	1459	16q21	P19784
0.22	3331487	0	CTNND1	catenin (cadherin-associated protein), delta 1	1500	11q12.1	O60716
0.22	3291682	0	JMJD1C	jumonji domain containing 1C	221037	10q21.2 / 10q21.3	Q15652
0.22	3086206	0	CTSB	cathepsin B	2222	8p23.1	P37268
0.22	3220513	0	KIAA0368	KIAA0368	23392	9q31.3	Q5VYK3
0.22	3069955	0	TSPAN12	tetraspanin 12	23554	7q31.31	O95859
0.22	3146565	0	RNF19A	ring finger protein 19A	25897	8q22.2	Q9NV58
0.22	2577028	0	NAP5	Nck-associated protein 5	344148	2q21.2	O14513
0.22	3553690	0	MARK3	MAP/microtubule affinity-regulating kinase 3	4140	14q32.32 / 14q32.33	P27448
0.22	2520429	0	MYO1B	myosin IB	4430	2q32.3	O43795
0.22	3125915	0	MTUS1	mitochondrial tumor suppressor 1	57509	8p22	Q9ULD2
0.22	3268274	0	PLEKHA1	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1	59338	10q26.13	Q9HB21
0.22	3102096	0	PREX2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	80243	8q13.2	Q70Z35
0.22	3434562	0	UNC119B	unc-119 homolog B (C. elegans)	84747	12q24.31	A6NIH7
0.22	2497082	0	IL1RL1	interleukin 1 receptor-like 1	9173	2q12.1	Q01638
0.22	2534456	0	LRRFIP1	leucine rich repeat (in FLII) interacting protein 1	9208	2q37.3	Q32MZ4
0.22	3243708	0	BMS1	BMS1 homolog, ribosome assembly protein (yeast)	9790	10q11.21	Q14692
0.22	3146433	0.1	COX6C	cytochrome c oxidase subunit VIc	1345	8q22.2	P09669
0.22	3362934	0.1	ZBED5	zinc finger, BED-type containing 5	58486	11p15.3	Q49AG3
0.22	2692060	0.1	PARP9	poly (ADP-ribose) polymerase family, member 9	83666	3q21.1	Q8IXQ6
0.23	2779271	0	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	126	4q23	P00326
0.23	3595441	0	GRINL1A	glutamate receptor, ionotropic, N-methyl D-aspartate-like 1A	145781	15q21.3 / 15q22.1	P0CAP1
0.23	2738664	0	SGMS2	sphingomyelin synthase 2	166929	4q25	Q8NHU3
0.23	2413907	0	DHCR24	24-dehydrocholesterol reductase	1718	1p32.3	Q15392
0.23	4037778	0	DMBT1	deleted in malignant brain tumors 1	1755	10q26.13	Q9UGM3
0.23	2973995	0	EPB41L2	erythrocyte membrane protein band 4.1-like 2	2037	6q23.1 / 6q23.2	O43491
0.23	3304624	0	NT5C2	5-nucleotidase, cytosolic II	22978	10q24.32 / 10q24.33	P49902
0.23	3539724	0	SYNE2	spectrin repeat containing, nuclear envelope 2	23224	14q23.2	Q8WXH0
0.23	3372459	0	FNBP4	formin binding protein 4	23360	11p11.2	Q8N3X1
0.23	3577870	0	DICER1	dicer 1, ribonuclease type III	23405	14q32.13	Q9UPY3
0.23	2969886	0	FYN	FYN oncogene related to SRC, FGR, YES	2534	6q21	P06241
0.23	3430086	0	TCP11L2	t-complex 11 (mouse)-like 2	255394	12q23.3	Q8N4U5
0.23	2648535	0	SGEF	Src homology 3 domain-containing guanine nucleotide exchange factor	26084	3q25.2	Q96DR7
0.23	2991150	0	TSPAN13	tetraspanin 13	27075	7p21.1	O95857
0.23	3344861	0	C11orf54	chromosome 11 open reading frame 54	28970	11q21	Q9H0W9
0.23	2957342	0	GSTA1	glutathione S-transferase alpha 1	2938	6p12.1	P08263
0.23	2855501	0	HMGCS1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	3157	5p12	Q01581
0.23	2700365	0	TM4SF1	transmembrane 4 L six family member 1	4071	3q25.1	P30408
0.23	3464983	0	ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	490	12q21.33	P20020
0.23	2659577	0	PAK2	p21 protein (Cdc42/Rac)-activated kinase 2	5062	3q29	Q13177
0.23	2831209	0	PAIP2	poly(A) binding protein interacting protein 2	51247	5q31.2	Q9BPZ3
0.23	2411575	0	SPATA6	spermatogenesis associated 6	54558	1p33	Q9NWH7
0.23	2348569	0	PALMD	palmdelphin	54873	1p21.2	Q9NP74
0.23	3131916	0	WHSC1L1	Wolf-Hirschhorn syndrome candidate 1-like 1	54904	8p12	Q9BZ95
0.23	2400177	0	CAMK2N1	calcium/calmodulin-dependent protein kinase II inhibitor 1	55450	1p36.12	Q7Z7J9
0.23	3466556	0	NTN4	netrin 4	59277	12q22	Q9HB63
0.23	2435383	0	S100A10	S100 calcium binding protein A10	6281	1q21.3	P60903
0.23	2975014	0	SGK1	serum/glucocorticoid regulated kinase 1	6446	6q23.2	O00141
0.23	2958172	0	BMP5	bone morphogenetic protein 5	653	6p12.1	P22003
0.23	3661152	0	FTO	fat mass and obesity associated	79068	16q12.2	Q9C0B1
0.23	3590853	0	GANC	glucosidase, alpha; neutral C	825	15q15.1	P20807
0.23	3185205	0	HSDL2	hydroxysteroid dehydrogenase like 2	84263	9q32	Q6YN16
0.23	3595315	0	CGNL1	cingulin-like 1	84952	15q21.3	Q0VF96
0.23	3414440	0	C12orf62	chromosome 12 open reading frame 62	84987	12q13.13	Q96I36
0.23	3279313	0	ITGA8	integrin, alpha 8	8516	10p13	P53708
