Probeset	Chip	Ratio25-25	Ratio15-15	Ratio10-10	GenBank	Gene	Localization	Description	Function
203165_s_at	U133A	1.7	1.8	2.1	NM_004733.2	SLC33A1	3q25.31	solute carrier family 33 (acetyl-CoA transporter), member 1	Metabolism
226242_at	U133B	1.7	1.9	2.1	BF515750	ATF5	19q13.3	activating transcription factor 5	Nuclear functions
205345_at	U133A	1.7	2.1	2.3	NM_000465.1	BARD1	2q34-q35	BRCA1 associated RING domain 1	Nuclear functions
205394_at	U133A	1.6	2	1.8	NM_001274.1	CHEK1	11q24-q24	CHK1 checkpoint homolog (S. pombe)	Nuclear functions
201624_at	U133A	1.7	2.1	2.3	NM_001349.1	DARS	2q21.2	aspartyl-tRNA synthetase	Nuclear functions
201241_at	U133A	1.5	1.8	2	NM_004939.1	DDX1	2p24	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 1	Nuclear functions
208896_at	U133A	1.6	2.1	2.2	BC003360.1	DDX18	2q14.1	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 18 (Myc-regulated)	Nuclear functions
212648_at	U133A	1.6	1.9	2	AL079292.1	DDXx	5q11.2	nucleic acid helicase DDXx	Nuclear functions
216212_s_at	U133A	2	2.8	2.8	AJ010395	DKC1	Xq28	dyskeratosis congenita 1, dyskerin	Nuclear functions
201323_at	U133A	1.7	2	1.8	NM_006824.1	EBNA1BP2	1p35-p33	EBNA1 binding protein 2	Nuclear functions
208887_at	U133A	1.5	1.8	1.9	BC000733.1	EIF3S4	19p13.2	eukaryotic translation initiation factor 3, subunit 4 delta, 44kDa	Nuclear functions
203358_s_at	U133A	1.6	1.9	2.3	NM_004456.1	EZH2	7q35-q36	enhancer of zeste homolog 2 (Drosophila)	Nuclear functions
225712_at	U133B	2.5	3.4	3.6	AW024563	GEMIN5	5q33.2	gem (nuclear organelle) associated protein 5	Nuclear functions
209971_x_at	U133A	1.6	2.1	2.1	AI928526	HRI	7p22	heme-regulated initiation factor 2-alpha kinase	Nuclear functions
204744_s_at	U133A	1.5	1.8	2.1	NM_013417.1	IARS	9q21	isoleucine-tRNA synthetase	Nuclear functions
202417_at	U133A	1.5	1.8	1.8	NM_012289.1	KEAP1	19p13.2	Kelch-like ECH-associated protein 1	Nuclear functions
202737_s_at	U133A	1.6	2	2.1	NM_012321.1	LSM4	19p13.11	LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae)	Nuclear functions
202904_s_at	U133A	1.7	2.1	1.8	NM_012322.1	LSM5	7p14.3	LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae)	Nuclear functions
218604_at	U133A	1.7	1.8	1.8	NM_014319.2	MAN1	12q14	integral inner nuclear membrane protein	Nuclear functions
200626_s_at	U133A	1.6	1.8	1.7	NM_018834.1	MATR3	5q31.2	matrin 3	Nuclear functions
209580_s_at	U133A	1.8	2.2	3	AF114784.1	MBD4	3q21-q22	methyl-CpG binding domain protein 4	Nuclear functions
213189_at	U133A	1.9	2.1	2.4	AL574514	MINA53	3q12.1	myc-induced nuclear antigen, 53 kDa	Nuclear functions
201970_s_at	U133A	1.5	1.8	2.8	NM_002482.1	NASP	1p34.1	nuclear autoantigenic sperm protein (histone-binding)	Nuclear functions
204957_at	U133A	1.5	1.8	1.7	NM_002553.1	ORC5L	7q22.1	origin recognition complex, subunit 5-like (yeast)	Nuclear functions
213754_s_at	U133A	1.5	1.8	1.9	AW613203	PAIP1	5p11	polyadenylate binding protein-interacting protein 1	Nuclear functions
222035_s_at	U133A	1.6	1.8	1.9	AI984479	PAPOLA	14q32.31	poly(A) polymerase alpha	Nuclear functions
216525_x_at	U133A	1.5	1.8	1.9	D38437.1	PMS2L3	7q11-q22	postmeiotic segregation increased 2-like 3	Nuclear functions
221531_at	U133A	2.2	2.8	3.2	AF309553.1	REC14	15q24.1	recombination protein REC14	Nuclear functions
201459_at	U133A	1.7	2.3	2.2	NM_006666.1	RUVBL2	19q13.3	RuvB-like 2 (E. coli)	Nuclear functions
200619_at	U133A	1.7	1.8	2.4	NM_006842.1	SF3B2	11q13.1	splicing factor 3b, subunit 2, 145kDa	Nuclear functions
208794_s_at	U133A	1.6	2.2	1.9	D26156.1	SMARCA4	19p13.13	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, member 4	Nuclear functions
202690_s_at	U133A	1.6	1.8	2.1	BC001721.1	SNRPD1	18q11.1	small nuclear ribonucleoprotein D1 polypeptide 16kDa	Nuclear functions
202591_s_at	U133A	1.5	1.8	2.1	NM_003143.1	SSBP1	7q34	single-stranded DNA binding protein	Nuclear functions
209523_at	U133A	1.7	2	2.2	AK001618.1	TAF2	8q24.12	TAF2 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 150kDa	Nuclear functions
203448_s_at	U133A	1.6	1.8	1.8	AI347136	TERF1	8q13	telomeric repeat binding factor (NIMA-interacting) 1	Nuclear functions
222398_s_at	U133B	1.7	2	2.2	BC002360.1	U5-116KD	17q21.31	U5 snRNP-specific protein, 116 kD	Nuclear functions
206958_s_at	U133A	1.6	1.8	2	AF318575.1	UPF3A	13q34	UPF3 regulator of nonsense transcripts homolog A (yeast)	Nuclear functions
226896_at	U133B	1.5	1.8	1.7	AI992290			Homo sapiens, Similar to RIKEN cDNA 1110001O19 gene.	Others
228283_at	U133B	1.5	2	2.1	BE963026			Homo sapiens full length insert cDNA clone YZ88A07	Others
239818_x_at	U133B	1.6	2.5	2.4	AA576947			ESTs	Others
225390_s_at	U133B	1.6	2.2	2.5	AL390127.1			Homo sapiens mRNA; cDNA DKFZp761P06121 (from clone DKFZp761P06121)	Others
235436_at	U133B	1.6	1.8	2.2	BE503800			ESTs	Others
201603_at	U133A	1.6	2.1	2.2	NM_002480.1			Homo sapiens full length insert cDNA clone YW25G09	Others
216713_at	U133A	1.6	1.7	1.9	AL049325.1			Homo sapiens mRNA; cDNA DKFZp564D036 (from clone DKFZp564D036)	Others
227082_at	U133B	1.7	2.1	2.3	AL110204.1			Homo sapiens mRNA; cDNA DKFZp586K1922 (from clone DKFZp586K1922)	Others
224579_at	U133B	1.8	2.3	3	AK024263.1			Homo sapiens cDNA FLJ14201 fis, clone NT2RP3002955	Others
225892_at	U133B	1.8	2.2	2.4	BF438417			Homo sapiens mRNA; cDNA DKFZp564D1164 (from clone DKFZp564D1164)	Others
239735_at	U133B	1.8	2	2.3	N67106			H.sapiens mRNA (fetal brain cDNA g6_1g)	Others
241472_at	U133B	1.9	2.1	2.5	N74444			ESTs	Others
239413_at	U133B	1.9	2.6	2.8	AI130715			ESTs	Others
227109_at	U133B	1.9	2	2.2	AV700558			Homo sapiens cDNA FLJ35265 fis, clone PROST2005039	Others
213605_s_at	U133A	2.1	2.9	3.7	AL049987.1			Homo sapiens mRNA; cDNA DKFZp564F112 (from clone DKFZp564F112)	Others
242546_at	U133B	2.2	2.6	3.5	BE738279			Homo sapiens cDNA FLJ10674 fis, clone NT2RP2006436	Others
229858_at	U133B	2.6	2.7	4	AU146893			Homo sapiens cDNA FLJ12024 fis, clone HEMBB1001797	Others
204617_s_at	U133A	1.6	1.6	1.9	NM_022914.1	24432	16q21	hypothetical protein 24432	Others
207845_s_at	U133A	1.6	2.1	2.7	NM_014885.1	APC10	4q31	anaphase-promoting complex subunit 10	Others
202666_s_at	U133A	1.7	2	1.8	NM_004301.1	BAF53A	3q27.1	BAF53	Others
217945_at	U133A	1.6	1.9	2.1	NM_025238.1	BTBD1	15q24	BTB (POZ) domain containing 1	Others
223231_at	U133B	1.5	1.6	2	AF212250.1	CDA11	8q24.13	CDA11 protein	Others
222825_at	U133B	1.7	2	2.2	BF435752	CGI-77	8q21.3	CGI-77 protein	Others
203427_at	U133A	1.9	2.2	2.3	NM_014034.1	DKFZP547E2110	6q22.31	anti-silencing function 1A	Others
223334_at	U133B	1.6	1.7	2	AL136941.1	DKFZp586C1924	11q14.1	hypothetical protein DKFZp586C1924	Others
213410_at	U133A	1.5	1.6	1.8	AL050102.1	DKFZp586F1019	10q26.2	DKFZp586F1019 protein	Others
202276_at	U133A	1.5	1.8	2.3	NM_006304.1	DSS1	7q21.3-q22.1	Deleted in split-hand/split-foot 1 region	Others
218100_s_at	U133A	1.6	1.9	2.3	NM_018010.1	ESRRBL1	3q13.12	estrogen-related receptor beta like 1	Others
218689_at	U133A	1.9	2.6	3.1	NM_022725.1	FANCF	11p15	Fanconi anemia, complementation group F	Others
212373_at	U133A	1.5	1.7	1.7	NM_015322.1	FEM1B	15q22	fem-1 homolog b (C. elegans)	Others
218397_at	U133A	1.6	2	1.9	NM_018062.1	FLJ10335	2p15	hypothetical protein FLJ10335	Others
204335_at	U133A	2.1	2.5	2.9	NM_018074.1	FLJ10374	19p13.3	hypothetical protein FLJ10374	Others
201917_s_at	U133A	1.6	1.7	1.9	AI694452	FLJ10618	3q23	hypothetical protein FLJ10618	Others
218840_s_at	U133A	2	3	3.2	NM_018161.1	FLJ10631	11q13.2	hypothetical protein FLJ10631	Others
218513_at	U133A	1.7	1.9	1.8	NM_018352.1	FLJ11184	4q32.2	hypothetical protein FLJ11184	Others
218957_s_at	U133A	1.7	2.1	2.6	NM_025155.1	FLJ11848	11q13.3	hypothetical protein FLJ11848	Others
218430_s_at	U133A	1.8	2.4	2.6	NM_022841.1	FLJ12994	15q21.1	hypothetical protein FLJ12994	Others
218297_at	U133A	2.4	3.7	3.4	NM_024948.1	FLJ13397	10p13	hypothetical protein FLJ13397	Others
218395_at	U133A	1.5	2	2	NM_022496.1	FLJ13433	12q23.2	hypothetical protein FLJ13433	Others
219237_s_at	U133A	1.6	2	2.3	NM_024920.1	FLJ14281	4q22.3	hypothetical protein FLJ14281	Others
221193_s_at	U133A	1.6	2.1	2.2	NM_017665.1	FLJ20094	5q31.1	hypothetical protein FLJ20094	Others
219069_at	U133A	1.6	2	1.9	NM_017704.1	FLJ20189	11q14.3	hypothetical protein FLJ20189	Others
218577_at	U133A	1.5	1.6	1.7	NM_017768.1	FLJ20331	1p31.1	hypothetical protein FLJ20331	Others
206441_s_at	U133A	1.6	2	2	NM_017828.1	FLJ20452	15q22.33	hypothetical protein FLJ20452	Others
218886_at	U133A	1.5	2.2	1.9	NM_017906.1	FLJ20624	6p24.1	hypothetical protein FLJ20624	Others
218244_at	U133A	1.8	2.6	3	NM_017948.1	FLJ20736	9q22.1	hypothetical protein FLJ20736	Others
219029_at	U133A	1.6	1.9	2.1	NM_022483.1	FLJ21657	5p12	hypothetical protein FLJ21657	Others
222209_s_at	U133A	1.7	2.1	2.1	AK000684.1	FLJ22104	11q14.1	hypothetical protein FLJ22104	Others
219146_at	U133A	1.6	1.9	1.7	NM_024683.1	FLJ22729		hypothetical protein FLJ22729	Others
225086_at	U133B	1.8	2.9	2.5	BF679966	FLJ38426	15q13.3	hypothetical protein FLJ38426	Others
225761_at	U133B	1.6	1.8	2.2	AI434509	FLJ38499	5q13.3	hypothetical protein FLJ38499	Others
202232_s_at	U133A	1.8	2.1	2.6	NM_006360.1	GA17	11p13	dendritic cell protein	Others
218166_s_at	U133A	1.5	1.9	2.1	NM_016578.2	HBXAP	11q13.3	hepatitis B virus x associated protein	Others
224486_s_at	U133B	1.9	2.8	2.6	BC006254.1	HH114	15q13.3	hypothetical protein HH114	Others
218572_at	U133A	1.8	1.8	2.2	NM_014169.1	HSPC134	14q11.2	HSPC134 protein	Others
219979_s_at	U133A	1.6	2	2.3	NM_016401.1	HSPC138	11q14.1	hypothetical protein HSPC138	Others
200066_at	U133B	1.5	1.7	2	AF182645.1	IK	5q31.3	IK cytokine, down-regulator of HLA II	Others
212789_at	U133A	1.9	2.5	2.5	AI796581	KIAA0056	11q25	KIAA0056 protein	Others
203491_s_at	U133A	1.8	2.5	2.6	AI123527	KIAA0092	11q21	KIAA0092 gene product	Others
212474_at	U133A	1.5	1.9	1.8	BE503381	KIAA0241	7p15.3	KIAA0241 protein	Others
202358_s_at	U133A	1.5	1.8	1.9	BG434168	KIAA0254	11q25	KIAA0254 gene product	Others
203253_s_at	U133A	1.6	1.7	1.8	NM_015216.1	KIAA0433	5q21.1	KIAA0433 protein	Others
229878_at	U133B	1.6	2	2.3	AI627965	KIAA1731	11q14.3	KIAA1731 protein	Others
225901_at	U133B	1.6	1.9	2.3	AI440338	LOC114971	11p11.12	hypothetical protein LOC114971	Others
225297_at	U133B	1.8	2.3	2.5	AV715391	LOC115106	18q12.3	hypothetical protein BC014003	Others
226386_at	U133B	1.8	2.3	2.4	BG397444	LOC115416	7p15.3	hypothetical protein BC012331	Others
226642_s_at	U133B	1.6	2.1	2.4	BF735901	LOC134492	5q34	similar to RIKEN cDNA 2700047N05	Others
242922_at	U133B	2.1	2.3	2.8	AU151198	LOC283820	16p13.13	hypothetical protein LOC283820	Others
223043_at	U133B	1.5	1.7	1.8	AF151018.1	LOC51234	15q13.2	hypothetical protein LOC51234	Others
220175_s_at	U133A	1.7	2.5	2.7	NM_020667.1	LOC55871	2q13	COBW-like protein	Others
222206_s_at	U133A	2.1	3	2.7	AA781143	LOC56926	19p13.3	hypothetical protein from EUROIMAGE 2021883	Others
231901_at	U133B	1.6	1.9	2.3	AL521284	LOC90580	19p13.13	hypothetical protein BC011833	Others
226783_at	U133B	1.6	1.7	2.1	AI762154	MGC15875	5q35.3	hypothetical protein MGC15875	Others
221935_s_at	U133A	2	2	3	AK023140.1	MGC34132	3p14.1	hypothetical protein MGC34132	Others
235648_at	U133B	1.7	2.1	2.4	AA742659	MGC45586	19q13.12	hypothetical protein MGC45586	Others
222163_s_at	U133A	1.7	2	2.1	BE890973	MGC5347	15q15.1	hypothetical protein MGC5347	Others
205361_s_at	U133A	1.5	1.9	2	AI718295	PFDN4	20q13	prefoldin 4	Others
224395_s_at	U133B	1.8	2.3	3.2	AF312226.1	RNF7	3q22-q24	ring finger protein 7	Others
223282_at	U133B	1.5	1.7	1.7	W60810	SDCCAG33	18q22.3	serologically defined colon cancer antigen 33	Others
209748_at	U133A	1.5	2	2.1	AB029006.1	SPG4	2p24-p21	spastic paraplegia 4 (autosomal dominant; spastin)	Others
223711_s_at	U133B	1.7	1.9	2.1	AF182413.1	THY28	11q25	likely ortholog of the mouse thymocyte protein Thy28	Others
224913_s_at	U133B	1.8	2	2.1	AA877820	TIM50L	19q13.13	homolog of yeast Tim50	Others
216997_x_at	U133A	2.8	3.3	3	AL358975	TLE4	9q21.31-q21.32	transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)	Others
218095_s_at	U133A	1.9	2.3	2.5	NM_018475.1	TPARL	4q12	TPA regulated locus	Others
235425_at	U133B	1.6	1.8	1.9	AW965339	TRIPIN	2q33.1	tripin	Others
214741_at	U133A	1.5	1.9	2	AW968301	ZNF131	5p12-p11	zinc finger protein 131 (clone pHZ-10)	Others
218645_at	U133A	1.6	2	2.2	NM_021994.1	ZNF277	7q31.1	zinc finger protein (C2H2 type) 277	Others
229551_x_at	U133B	1.8	2.4	2.2	N62196	ZNF367	9q22	zinc finger protein 367	Others
