Accession Number	Gene Name	Control (PBS)	LPS 1 mg/ml	5 mg/ml	Function	Expression
NM_003824	Fas (TNFRSF6)-associated via death domain (FADD)	3556.63	4048.41	13711.29	Apoptosis	Up-Regulated at 5 mg/ml LPS
NM_014351	sulfotransferase family 4A, member 1 (SULT4A1)	1309.47	1827.2	2430.52	Brain Function	Up-Regulated at 5 mg/ml LPS
NM_017534	myosin heavy polypeptide 2	1094.57	1577.62	3735.72	Cytoskeletal Constitution and Rearrangement	Up-Regulated at 5 mg/ml LPS
NM_001150	membrane alanine aminopeptidase precursor	1113.6	1718.01	2095.74	Extra celluar Signals	Up-Regulated at 5 mg/ml LPS
NM_006112	peptidylprolyl isomerase E (cyclophilin E) (PPIE)	13430.59	19069.27	22844.84	Inflammation amd Immunity	Up-Regulated at 5 mg/ml LPS
NM_005915	MCM6 minichromosome maintenance deficient 6 (MIS5homolog; S. pombe) (S. cerevisiae) (MCM6)	11519.37	22144.13	33024.95	DNA replication	Up-Regulated at 5 mg/ml LPS
NM_014321	origin recognition complex, subunit 6 like (yeast) (ORC6L)	43700.95	71667.75	95018.35	DNA replication	Up-Regulated at 5 mg/ml LPS
NM_001185	alpha-2-glycoprotein 1, zinc-binding (AZGP1)	1093.97	1435.5	1998.67	Growth Factors and Gene Transcription	Up-Regulated at 5 mg/ml LPS
NM_001769	CD9 molecule (CD9)	13380.79	16386.8	24256.36	Growth Factors and Gene Transcription	Up-Regulated at 5 mg/ml LPS
NM_000207	insulin	1422.58	2441.13	2563.12	Growth Factors and Gene Transcription	Up-Regulated at 5 mg/ml LPS
NM_001046	solute carrier family 12 (sodium/potassium/chloride transporters), member 2 (SLC12A2)	7835.5	16847.63	45788.35	Growth Factors and Gene Transcription	Up-Regulated at 5 mg/ml LPS
NM_001049	somatostatin receptor 1 (SSTR1)	1497.42	1672.94	2424.98	Growth Factors and Gene Transcription	Up-Regulated at 5 mg/ml LPS
NM_003260	transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila) (TLE2)	2898.02	3393.9	7746.68	Growth Factors and Gene Transcription	Up-Regulated at 5 mg/ml LPS
NM_014323	POZ (BTB) and AT hook containing zinc finger 1 (PATZ1)	47534.67	63390.28	144795.09	Growth Factors and Gene Transcription	Up-Regulated at 5 mg/ml LPS
NM_005957	5,10-methylenetetrahydrofolate reductase (MTHFR)	1783.55	2827.12	2971.1	Others	Up-Regulated at 5 mg/ml LPS
NM_006010	arginine-rich protein (ARMET)	11593.69	16035.48	23282.74	Others	Up-Regulated at 5 mg/ml LPS
NM_012193	frizzled homolog 4 (Drosophila) (FZD4)	2710.94	6566.09	13548.37	Others	Up-Regulated at 5 mg/ml LPS
NM_012413	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)(QPCT)	32551.5	32577.07	51816.54	Others	Up-Regulated at 5 mg/ml LPS
NM_002110	hemopoietic cell kinase (HCK)	1325.25	1542.04	2517.87	Others	Up-Regulated at 5 mg/ml LPS
NM_000017	short chain acyl-coa dehydrogenase (ACADS)	4962.95	8668.08	20025.77	Others	Up-Regulated at 5 mg/ml LPS
NM_018412	suppression of tumorigenicity 7 (ST7)	29861.22	50849.12	81721.51	Others	Up-Regulated at 5 mg/ml LPS
