# Generate Mapping Tables Script: Version 4 11:05 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:05 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_huex_1_0_st_v2|3872817|3872817	refseq_dna|NM_130786|NM_130786	hgnc_symbol|A1BG|A1BG
affy_huex_1_0_st_v2|2418000|2418000	refseq_dna|NM_005455|NM_005455	hgnc_symbol|ZRANB2|ZRANB2
affy_huex_1_0_st_v2|2428855|2428855	refseq_dna|NM_006594|NM_006594	hgnc_symbol|AP4B1|AP4B1
affy_huex_1_0_st_v2|3774593|3774593	entrezgene|BC062566|64118	hgnc_symbol|DUS1L|DUS1L
affy_huex_1_0_st_v2|3537264|3537264	refseq_dna|NM_017799|NM_017799	hgnc_symbol|C14orf101|C14orf101
affy_huex_1_0_st_v2|2537290|2537290	refseq_dna|NM_152834|NM_152834	hgnc_symbol|TMEM18|TMEM18
affy_huex_1_0_st_v2|2833924|2833924	refseq_dna|NM_152550|NM_152550	hgnc_symbol|SH3RF2|SH3RF2
affy_huex_1_0_st_v2|3136015|3136015	refseq_dna|NM_152417|NM_152417	hgnc_symbol|TMEM68|TMEM68
affy_huex_1_0_st_v2|3556966|3556966	refseq_dna|NM_017815|NM_017815	hgnc_symbol|C14orf94|C14orf94
affy_huex_1_0_st_v2|2741083|2741083	refseq_dna|NM_020961|NM_020961	hgnc_symbol|KIAA1627|KIAA1627
affy_huex_1_0_st_v2|2622469|2622469	refseq_dna|NM_005778|NM_005778	hgnc_symbol|RBM5|RBM5
affy_huex_1_0_st_v2|3527493|3527493	refseq_dna|NM_001641|NM_001641	hgnc_symbol|APEX1|APEX1
affy_huex_1_0_st_v2|2616317|2616317	refseq_dna|NM_013374|NM_013374	hgnc_symbol|PDCD6IP|PDCD6IP
affy_huex_1_0_st_v2|2834093|2834093	refseq_dna|NM_006706|NM_006706	hgnc_symbol|TCERG1|TCERG1
affy_huex_1_0_st_v2|2769539|2769539	refseq_dna|NM_012110|NM_012110	hgnc_symbol|CHIC2|CHIC2
affy_huex_1_0_st_v2|2621917|2621917	refseq_dna|NM_018031|NM_018031	hgnc_symbol|WDR6|WDR6
affy_huex_1_0_st_v2|2538480|2538480	refseq_dna|NM_003310|NM_003310	hgnc_symbol|TSSC1|TSSC1
affy_huex_1_0_st_v2|3568310|3568310	refseq_dna|NM_006977|NM_006977	hgnc_symbol|ZBTB25|ZBTB25
affy_huex_1_0_st_v2|3557017|3557017	refseq_dna|NM_021944|NM_021944	hgnc_symbol|C14orf93|C14orf93
affy_huex_1_0_st_v2|3249788|3249788	refseq_dna|NM_018237|NM_018237	hgnc_symbol|CCAR1|CCAR1
