Probe Set ID	Gene Title	Gene Symbol	Chromosomal Location	Entrez Gene
212282_at	transmembrane protein 97	TMEM97	17q11.2	27346
212335_at	glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)	GNS	12q14	2799
212667_at	secreted protein, acidic, cysteine-rich (osteonectin)	SPARC	5q31.3-q32	6678
212875_s_at	chromosome 21 open reading frame 25	C21orf25	21q22.3	25966
212907_at	Solute carrier family 30 (zinc transporter), member 1	SLC30A1	1q32-q41	7779
213629_x_at	metallothionein 1F (functional)	MT1F	16q13	4494
213714_at	calcium channel, voltage-dependent, beta 2 subunit	CACNB2	10p12	783
213844_at	homeobox A5	HOXA5	7p15-p14	3202
214719_at	hypothetical protein LOC283537	LOC283537	13q12.3	283537
216336_x_at	metallothionein 1M	MT1M	16q13	4499
216607_s_at	cytochrome P450, family 51, subfamily A, polypeptide 1	CYP51A1	7q21.2-q21.3	1595
217028_at	chemokine (C-X-C motif) receptor 4	CXCR4	2q21	7852
217434_at	melanocortin 2 receptor (adrenocorticotropic hormone)	MC2R	18p11.2	4158
217761_at	acireductone dioxygenase 1	ADI1	2p25.3	55256
217835_x_at	chromosome 20 open reading frame 24	C20orf24	20q11.23	55969
217882_at	transmembrane protein 111	TMEM111	3p25.3	55831
218025_s_at	peroxisomal D3,D2-enoyl-CoA isomerase	PECI	6p24.3	10455
218035_s_at	RNA-binding protein	FLJ20273	4p13-p12	54502
218140_x_at	signal recognition particle receptor, B subunit	SRPRB	3q22.1	58477
218254_s_at	SAR1 gene homolog B (S. cerevisiae)	SAR1B	5q31.1	51128
218360_at	RAB22A, member RAS oncogene family	RAB22A	20q13.32	57403
218631_at	arginine vasopressin-induced 1	AVPI1	10q24.2	60370
218644_at	pleckstrin 2	PLEK2	14q23.3	26499
218717_s_at	leprecan-like 1	LEPREL1	3q28	55214
218723_s_at	response gene to complement 32	RGC32	13q14.11	28984
219059_s_at	extracellular link domain containing 1	XLKD1	11p15	10894
219263_at	ring finger protein 128	RNF128	Xq22.3	79589
219412_at	RAB38, member RAS oncogene family	RAB38	11q14	23682
219525_at	hypothetical protein FLJ10847	FLJ10847	17p11.2	55244
219622_at	RAB20, member RAS oncogene family	RAB20	13q34	55647
219806_s_at	chromosome 11 open reading frame 75	C11orf75	11q13.3-q23.3	56935
219959_at	molybdenum cofactor sulfurase	MOCOS	18q12	55034
