ID	Gene Symbol	Gene Title	logFC	t	P.Value	adj.P.Val	B	Pathway	go biological process term	go molecular function term	go cellular component term
204916_at	RAMP1	receptor (G protein-coupled) activity modifying protein 1	2.914526922	8.95623817	0.000320807	0.009771919	0.790645323	<a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:Smooth_muscle_contraction>Smooth_muscle_contraction</a>	transport /// intracellular protein transport /// regulation of G-protein coupled receptor protein signaling pathway /// regulation of G-protein coupled receptor protein signaling pathway	receptor activity /// protein transporter activity /// protein transporter activity	plasma membrane /// integral to plasma membrane /// membrane /// integral to membrane
229610_at	CKAP2L	cytoskeleton associated protein 2-like	2.896617123	8.090315594	0.000513902	0.012080658	0.254946858	---	---	---	---
221756_at	PIK3IP1	phosphoinositide-3-kinase interacting protein 1	2.895769266	9.762744533	0.000214336	0.00819895	1.245801935	---	---	---	membrane /// integral to membrane
209891_at	SPC25	SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)	2.880548099	8.249549802	0.000469712	0.011611587	0.35744711	---	cell cycle /// mitosis /// cell division	protein binding	condensed chromosome kinetochore /// nucleus
209773_s_at	RRM2	ribonucleotide reductase M2 polypeptide	2.874632819	7.280394331	0.000832845	0.015033204	-0.297281669	---	DNA replication /// DNA replication /// deoxyribonucleoside diphosphate metabolic process /// oxidation reduction	ribonucleoside-diphosphate reductase activity /// ribonucleoside-diphosphate reductase activity /// iron ion binding /// protein binding /// oxidoreductase activity /// metal ion binding /// transition metal ion binding	cytoplasm /// cytoplasm /// cytosol
226446_at	HES6	hairy and enhancer of split 6 (Drosophila)	2.872195362	3.146570923	0.02618869	0.11507245	-4.243080885	---	transcription /// regulation of transcription, DNA-dependent /// regulation of transcription, DNA-dependent /// regulation of transcription, DNA-dependent /// regulation of transcription from RNA polymerase II promoter /// multicellular organismal develop	DNA binding /// transcription factor activity /// transcription factor activity /// transcription cofactor activity /// transcription cofactor activity /// transcription regulator activity	nucleus /// transcription factor complex /// transcription factor complex
222857_s_at	KCNMB4	potassium large conductance calcium-activated channel, subfamily M, beta member 4	2.854753162	14.44711304	0.0000332	0.00366862	3.286583233	---	regulation of action potential /// detection of calcium ion /// transport /// ion transport /// potassium ion transport /// potassium ion transport /// potassium ion transport /// synaptic transmission /// regulation of action potential in neuron /// regu	ion channel activity /// protein binding /// calcium-activated potassium channel activity /// calcium-activated potassium channel activity	integral to plasma membrane /// voltage-gated potassium channel complex /// membrane /// integral to membrane
229613_at	---	---	2.848992679	7.292518868	0.000826569	0.01502096	-0.288610664	---	---	---	---
235572_at	SPC24	SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae)	2.832696104	5.779649544	0.002331212	0.025719222	-1.480931373	---	cell cycle /// mitosis /// cell division	protein binding	condensed chromosome kinetochore /// nucleus
213668_s_at	SOX4	SRY (sex determining region Y)-box 4	2.829627667	6.494299453	0.00139351	0.019284952	-0.88852356	---	transcription /// regulation of transcription, DNA-dependent	DNA binding /// transcription factor activity	nucleus
204603_at	EXO1	exonuclease 1	2.821803852	6.5979953	0.001298274	0.018534583	-0.807102695	---	DNA repair /// DNA repair /// mismatch repair /// mismatch repair /// mismatch repair /// mismatch repair /// mismatch repair /// DNA recombination /// DNA recombination /// immune response /// response to DNA damage stimulus /// meiosis	DNA binding /// DNA binding /// DNA binding /// catalytic activity /// nuclease activity /// endonuclease activity /// ribonuclease H activity /// exonuclease activity /// exonuclease activity /// protein binding /// 5-3 exonuclease activity /// 5-3 e	nucleus /// nucleus
243231_at	SLC38A11	solute carrier family 38, member 11	2.806754225	12.30305645	0.0000717	0.004945762	2.459900306	---	transport /// ion transport /// sodium ion transport /// amino acid transport	sodium ion binding	membrane /// integral to membrane
212020_s_at	MKI67	antigen identified by monoclonal antibody Ki-67	2.787315235	7.691012405	0.000648419	0.013508705	-0.010632238	---	cell cycle /// cell proliferation	nucleotide binding /// protein binding /// ATP binding	nucleus
206010_at	HABP2	hyaluronan binding protein 2	2.786955033	10.60791123	0.000144958	0.006871207	1.683528455	---	proteolysis /// cell adhesion	catalytic activity /// serine-type endopeptidase activity /// glycosaminoglycan binding /// peptidase activity /// hydrolase activity	extracellular region /// extracellular region /// extracellular space
205673_s_at	ASB9	ankyrin repeat and SOCS box-containing 9	2.786018317	6.950979402	0.001027167	0.016686583	-0.537921047	---	intracellular signaling cascade	---	---
201418_s_at	SOX4	SRY (sex determining region Y)-box 4	2.785930711	6.644463829	0.001258111	0.018253379	-0.770968402	---	transcription /// regulation of transcription, DNA-dependent	DNA binding /// transcription factor activity	nucleus
212142_at	MCM4	minichromosome maintenance complex component 4	2.784704763	4.396746454	0.007380517	0.052122389	-2.806141169	<a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:Cell_cycle_KEGG>Cell_cycle_KEGG</a> /// <a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:DNA_replication_Reactome>DNA_replication_	DNA replication /// DNA replication /// DNA replication /// DNA unwinding during replication /// DNA replication initiation /// transcription /// regulation of transcription, DNA-dependent	nucleotide binding /// DNA binding /// DNA helicase activity /// single-stranded DNA binding /// protein binding /// protein binding /// ATP binding /// ATP binding /// hydrolase activity /// nucleoside-triphosphatase activity	nucleus /// nucleus /// nucleoplasm
209101_at	CTGF	connective tissue growth factor	2.772587533	7.185653376	0.000883879	0.015594178	-0.365484706	---	cartilage condensation /// ossification /// angiogenesis /// regulation of cell growth /// DNA replication /// cell adhesion /// cell-matrix adhesion /// integrin-mediated signaling pathway /// intracellular signaling cascade /// fibroblast growth factor	integrin binding /// protein binding /// insulin-like growth factor binding /// insulin-like growth factor binding /// growth factor activity /// heparin binding	extracellular region /// proteinaceous extracellular matrix /// proteinaceous extracellular matrix /// plasma membrane
203418_at	CCNA2	cyclin A2	2.770249741	6.871507846	0.001081832	0.017069571	-0.597475811	<a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:Cell_cycle_KEGG>Cell_cycle_KEGG</a>	cell cycle /// mitosis /// mitotic cell cycle G2/M transition DNA damage checkpoint /// positive regulation of transcription /// cell division	protein binding /// protein binding	female pronucleus /// male pronucleus /// nucleus /// nucleus /// nucleoplasm /// cytoplasm
226869_at	MEGF6	multiple EGF-like-domains 6	2.76355579	15.34009967	0.0000249	0.003126092	3.589468359	---	---	calcium ion binding /// calcium ion binding	---
219740_at	VASH2	vasohibin 2	2.76199896	6.40825557	0.001478867	0.01995421	-0.956921457	---	---	---	---
202095_s_at	BIRC5	baculoviral IAP repeat-containing 5	2.761562587	4.708042435	0.005578393	0.043896653	-2.484999667	<a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:Apoptosis>Apoptosis</a>	G2/M transition of mitotic cell cycle /// cytokinesis /// apoptosis /// anti-apoptosis /// cell cycle /// mitosis /// cell surface receptor linked signal transduction /// protein complex localization /// protein complex localization /// positive regulatio	endopeptidase inhibitor activity /// cysteine protease inhibitor activity /// receptor activity /// receptor activity /// protein binding /// protein binding /// microtubule binding /// peptidase activity /// zinc ion binding /// zinc ion binding /// tubu	chromosome, centromeric region /// chromosome, centromeric region /// chromosome, centromeric region /// intracellular /// nucleus /// chromosome /// cytoplasm /// cytoplasm /// cytoplasm /// centriole /// cytosol /// spindle microtubule /// cytoplasmic m
232230_at	C10orf75	Chromosome 10 open reading frame 75	2.746823752	6.283277471	0.001614139	0.020928232	-1.057649564	---	---	---	---
218726_at	HJURP	Holliday junction recognition protein	2.743302169	5.529115921	0.002825648	0.028857325	-1.702477194	---	---	DNA binding	nucleus
235343_at	VASH2	vasohibin 2	2.735536349	4.92665961	0.004617569	0.038983249	-2.267763298	---	---	---	---
221521_s_at	GINS2	GINS complex subunit 2 (Psf2 homolog)	2.729448956	9.57889426	0.000234331	0.008535368	1.145448942	---	DNA replication	protein binding	nucleus
239253_at	---	---	2.708467471	8.048869582	0.000526205	0.012165177	0.227956164	---	---	---	---
204315_s_at	GTSE1	G-2 and S-phase expressed 1	2.704865076	8.473443677	0.000414994	0.010928506	0.498438305	---	G2 phase of mitotic cell cycle /// DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest /// microtubule-based process	---	cytoplasm /// microtubule /// cytoplasmic microtubule
230318_at	SERPINA1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	2.700148018	10.26580131	0.000169214	0.007324376	1.510841847	---	acute-phase response /// blood coagulation	endopeptidase inhibitor activity /// serine-type endopeptidase inhibitor activity /// serine-type endopeptidase inhibitor activity /// protein binding /// peptidase activity /// hydrolase activity	extracellular region /// extracellular region /// extracellular region /// extracellular space /// platelet alpha granule lumen
201289_at	CYR61	cysteine-rich, angiogenic inducer, 61	2.696870524	6.826631259	0.001114224	0.017290884	-0.631370997	<a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:Hypertrophy_model>Hypertrophy_model</a>	regulation of cell growth /// chemotaxis /// cell adhesion /// cell proliferation /// anatomical structure morphogenesis	protein binding /// insulin-like growth factor binding /// heparin binding /// growth factor binding	extracellular region
226530_at	BMF	Bcl2 modifying factor	2.696852063	11.04329021	0.000119835	0.006221704	1.895027246	---	apoptosis /// apoptosis	protein binding /// protein binding	cytosol /// plasma membrane /// myosin complex
204081_at	NRGN	neurogranin (protein kinase C substrate, RC3)	2.690756128	4.269964039	0.008303275	0.056327979	-2.941028258	---	signal transduction /// nervous system development	calmodulin binding /// calmodulin binding	---
202262_x_at	DDAH2	dimethylarginine dimethylaminohydrolase 2	2.688504826	9.233144708	0.000278322	0.009179682	0.951366331	---	arginine catabolic process /// nitric oxide biosynthetic process /// anti-apoptosis /// defense response /// response to unfolded protein /// nitric oxide mediated signal transduction /// response to nutrient	catalytic activity /// protein binding /// dimethylargininase activity /// hydrolase activity /// hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines /// NF-kappaB binding	cytoplasm /// cytosol /// protein complex
1554408_a_at	TK1	thymidine kinase 1, soluble	2.6808346	7.441800854	0.000753732	0.014424322	-0.182898472	---	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process /// DNA replication	nucleotide binding /// thymidine kinase activity /// thymidine kinase activity /// ATP binding /// kinase activity /// transferase activity /// nucleoside kinase activity	cytoplasm /// cytosol
201416_at	SOX4	SRY (sex determining region Y)-box 4	2.676287786	6.7216582	0.001194598	0.017890571	-0.711416253	---	transcription /// regulation of transcription, DNA-dependent	DNA binding /// transcription factor activity	nucleus
218115_at	ASF1B	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)	2.672484273	7.130638403	0.000915218	0.015906965	-0.405457762	---	chromatin assembly or disassembly /// nucleosome assembly /// transcription /// regulation of transcription, DNA-dependent /// multicellular organismal development /// spermatogenesis /// chromatin modification /// cell differentiation	protein binding /// histone binding	chromatin /// nucleus
205034_at	CCNE2	cyclin E2	2.665699828	8.802582571	0.000347717	0.010089742	0.699341345	<a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:Cell_cycle_KEGG>Cell_cycle_KEGG</a> /// <a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:G1_to_S_cell_cycle_Reactome>G1_to_S_cell_	cell cycle checkpoint /// regulation of cyclin-dependent protein kinase activity /// DNA replication initiation /// cell cycle /// cell division	protein binding /// cyclin-dependent protein kinase regulator activity	nucleus /// nucleoplasm /// cytosol
205472_s_at	DACH1	dachshund homolog 1 (Drosophila)	2.661409323	3.77201616	0.01348885	0.076029288	-3.494439019	---	transcription /// regulation of transcription, DNA-dependent /// multicellular organismal development	nucleotide binding /// DNA binding /// protein binding	nucleus
205167_s_at	CDC25C	cell division cycle 25 homolog C (S. pombe)	2.660988841	6.741653427	0.001178772	0.017756135	-0.696086541	<a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:Cell_cycle_KEGG>Cell_cycle_KEGG</a>	regulation of cyclin-dependent protein kinase activity /// M phase of mitotic cell cycle /// M phase of mitotic cell cycle /// DNA replication /// protein amino acid dephosphorylation /// cell cycle /// mitosis /// regulation of mitosis /// traversing sta	phosphoprotein phosphatase activity /// protein tyrosine phosphatase activity /// protein tyrosine phosphatase activity /// protein binding /// hydrolase activity	intracellular /// nucleus /// nucleoplasm /// cytosol
205733_at	BLM	Bloom syndrome	2.653823736	4.451666751	0.007018186	0.050353042	-2.748453397	---	regulation of cyclin-dependent protein kinase activity /// G2 phase of mitotic cell cycle /// telomere maintenance /// double-strand break repair via homologous recombination /// DNA replication /// DNA repair /// DNA repair /// DNA recombination /// DNA	nucleotide binding /// bubble DNA binding /// DNA strand annealing activity /// p53 binding /// nucleic acid binding /// DNA binding /// single-stranded DNA binding /// catalytic activity /// ATP-dependent DNA helicase activity /// helicase activity /// h	chromosome, telomeric region /// lateral element /// intracellular /// nucleus /// nucleus /// replication fork /// nucleolus /// nuclear matrix /// PML body
238682_at	CCDC96	coiled-coil domain containing 96	2.647694979	39.65125493	0.000000246	0.000786578	7.519246399	---	---	---	---
204318_s_at	GTSE1	G-2 and S-phase expressed 1	2.645188883	7.298230418	0.000823633	0.014996483	-0.284530456	---	G2 phase of mitotic cell cycle /// DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest /// microtubule-based process	---	cytoplasm /// microtubule /// cytoplasmic microtubule
215537_x_at	DDAH2	dimethylarginine dimethylaminohydrolase 2	2.6432548	12.47342909	0.0000672	0.00480587	2.531389519	---	arginine catabolic process /// nitric oxide biosynthetic process /// anti-apoptosis /// defense response /// response to unfolded protein /// nitric oxide mediated signal transduction /// response to nutrient	catalytic activity /// protein binding /// dimethylargininase activity /// hydrolase activity /// hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines /// NF-kappaB binding	cytoplasm /// cytosol /// protein complex
223381_at	NUF2	NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)	2.626545795	8.491703715	0.000410876	0.010879236	0.509779596	---	cell cycle /// chromosome segregation /// mitosis /// cell division	protein binding	chromosome, centromeric region /// chromosome, centromeric region /// condensed chromosome kinetochore /// nucleus
225592_at	NRM	nurim (nuclear envelope membrane protein)	2.622364049	11.86030058	0.0000854	0.005344281	2.268866422	---	---	---	nucleus /// nuclear envelope /// nuclear inner membrane /// membrane /// integral to membrane
