GI No.	Definition	No. p53 DNA binding sequencea	Cluster nameb	Fold Changec 4 h PId	Fold Changec 8 h PId	Fold Changec 12 h PId	Fold Changec 16 h PId	Fold Changec 20 h PId	Fold Changec 24 h PId
90965	translation initiation factor eiF-4A	1	F	e	e	e	3	e	e
105591	M-phase inducer phosphatase 2	1	F	e	e	2.8	2.7	2.9	e
106809	interleukin-7 precursor	1	C	e	e	e	2.5	e	e
106962	cation-dependent mannose-6-phosphate receptor precursor	3	D	e	e	e	e	2.5	e
107086	heat shock protein 60	4	F	e	e	3.3	3.3	3	2.7
107182	neurofilament triplet l protein	2	C	e	e	e	2.5	e	e
107207	nonhistone chromosomal protein HMG-14	2	F	e	e	e	2.8	2.7	2.6
107222	nucleolin	1	F	e	e	2.8	3	e	e
107299	serine/threonine protein phosphatase 2a, 55 kda regulatory subunit b, alpha isoform	1	F	e	e	e	2.8	e	e
107906	transcobalamin II precursor	3	1 missing data point	e	e	3	e	e	e
107937	CCAAT-box-binding transcription factor	2	D	e	e	e	e	2.9	e
114517	ATP synthase alpha chain, mitochondrial precursor	2	F	e	e	e	3.9	2.8	e
132474	replication protein a 32 kda subunit	1	F	e	e	3.4	3.3	e	e
136191	siderophilin	1	C	e	e	e	e	e	2.5
177962	long chain acyl-CoA dehydrogenase	1		e	e	e	2.7	e	e
178132	alcohol dehydrogenase class III	1	F	e	e	2.6	e	e	e
180247	centromere protein c	1	1 missing data point	e	e	e	e	e	2.5
181133	epithelial glycoprotein precursor	1	D	e	e	e	e	3.4	e
182354	fatty acid-binding protein, epidermal	1	F	e	e	2.6	3.2	2.6	2.5
183930	transcription factor 12	4	F	e	e	2.6	e	e	e
184028	vitamin K-dependent gamma-carboxylase	1	C	e	e	e	2.5	e	e
184251	HMG-1	1	F	e	e	e	3	2.9	2.5
189481	p58/GTA protein kinase	1	F	e	e	3	e	e	e
219588	human homolog of DnaJ protein	3	E	e	e	3.2	e	e	e
220034	protein-tyrosine phosphatase G1	1	F	e	e	3.5	e	e	e
231381	HLA class I histocompatibility antigen, b-8 b0801 alpha chain precursor	1	F	e	e	e	4.3	2.5	e
241478	heterogeneous nuclear ribonucleoprotein K	1	F	e	e	e	e	2.5	e
266344	leukocyte elastase inhibitor	1	F	e	e	e	2.9	e	e
285965	similar to human farnesyl pyrophosphate synthetase	2	F	e	e	e	2.9	3.3	2.6
292415	zeta-crystallin	3	F	e	e	3.7	5.9	3.7	2.8
292830	DNA topoisomerase II	1	F	e	e	e	e	2.8	e
296164	156 kDa protein	3	F	e	e	2.7	e	e	e
307321	paired box gene 8	2	E	e	e	2.8	e	e	e
340021	alpha-tubulin	1	F	e	e	e	e	2.6	e
348243	cell division protein kinase 7	1	F	e	e	3.5	2.7	4.6	e
348912	cartilage glycoprotein-39 precursor	1	E	e	e	3	e	e	e
386420	thiopurine s-methyltransferase	1	D	e	e	e	e	2.8	e
414048	hepatocyte nuclear factor 1-beta	1	F	e	e	2.6	e	e	e
414982	alpha2(E)-catenin	2	F	e	e	2.5	e	e	e
415819	antigen ki-67	1	E	e	e	3.9	e	e	e
431310	galactocerebrosidase precursor	1	F	e	e	e	2.9	e	e
434753	KIAA0030	1	F	e	2.6	2.8	3.5	e	e
434759	similar to human elongation factor 2	1	F	e	e	2.6	e	e	e
436418	DNA-binding protein NEFA	3	F	e	e	3.6	e	e	e
440240	integrase interactor 1 protein	1	F	e	e	3.8	e	e	e
453470	GTP-binding protein RHEB	3	F	e	e	3.1	2.7	2.7	e
461731	10 kd heat shock protein, mitochondrial	2	F	e	e	e	2.5	e	e
496609	basic transcripion factor 2	2	F	e	e	2.9	e	e	e
505088	mitotic growth and transcription activator	1	F	e	e	2.5	e	e	e
508492	MHC class I-related protein	1	F	e	e	e	3	e	e
516760	hMCM2	1	F	e	e	3.3	3.7	2.5	2.9
531820	GC kinase	1	D	e	e	e	e	2.9	e
595410	GMP synthase	1	F	e	e	2.9	2.8	e	e
624704	oligosaccharyl transferase STT3 subunit homolog	2	F	e	e	2.6	3.1	e	e
625304	plastin 3 precursor	2	F	e	e	3	e	e	e
662994	GPI-anchored protein p137	1	F	e	e	3	e	e	e
671527	T-complex protein 1, gamma subunit	1	F	e	e	2.9	3.6	2.9	2.4
731627	40% id to hypothetical 49.8 kd protein in rpl14b-gpa1 intergenic region	1	F	e	e	e	e	2.7	e
950418	CD44 antigen precursor	1	F	e	e	2.6	e	e	e
1006657	dipeptidyl-peptidase I precursor	2	F	e	e	3.3	3.2	3.3	e
1020315	glycerol-3-phosphate dehydrogenase	1	E	e	e	3	e	e	e
1040970	fus-like protein	2	F	e	e	2.7	e	e	e
1049088	splicing factor, arginine/serine-rich 6	1	E	e	e	2.5	e	e	e
1050517	estradiol 17 beta-dehydrogenase 4	2	F	e	e	2.5	2.6	e	e
1060905	phosphatidylinositol transfer protein beta isoform	4	F	e	e	2.8	e	e	e
1082824	eukaryotic peptide chain release factor subunit 1	1	F	e	e	2.7	e	e	e
1089848	CDK-activating kinase assembly factor mat1	1	F	e	e	e	2.7	e	e
1142970	pregnancy-associated plasma protein-a preproform	4	F	e	e	2.5	3.3	e	e
1145293	inhibitor of apoptosis protein 2	1	F	e	e	3.8	e	e	e
1196397	unknown protein	1	F	e	e	e	e	2.6	e
1197663	RNA polymerase II holoenzyme component srb7	1	F	e	e	e	2.5	e	e
1199604	zinc finger protein 211	2	F	e	e	e	2.6	e	e
1216396	vascular endothelial growth factor b 186	2	F	e	e	e	e	2.9	e
1255683	htra2-beta	1	E	e	e	3.1	e	e	e
1294813	G/T mismatch binding protein	1	F	e	e	5	3.3	2.8	e
1310669	zinc finger protein 239	2	F	e	e	e	e	3.1	e
1373173	nadh-ubiquinone oxidoreductase 13 kDa-b subunit	2	F	e	e	2.7	2.9	e	e
1374695	enhancer of rudimentary homolog	1	F	e	e	2.6	e	e	e
1438062	PWP2	2	C	e	e	e	2.7	e	e
1465772	cofactor E	1	1 missing data point	e	e	2.5	e	e	e
1468916	6PF-2-K/FRU-2,6-P2ase brain/placenta-type isozyme	4	F	e	e	2.9	3	3	e
1469205	hypothetical protein KIAA0141	1	E	e	e	2.5	e	e	e
1469920	tumor protein d53	2	1 missing data point	e	e	3	e	e	e
1552242	hRlf beta subunit	2	F	e	e	3.5	2.5	3.1	2.8
1644239	mitochondrial DNA polymerase gamma	1	F	e	e	e	2.8	e	e
1654005	uracil-DNA glycosylase	1	F	e	e	2.7	e	e	e
1665815	similar to human tesican	1	1 missing data point	e	e	e	e	e	3.7
1707522	88kDa nuclear pore complex protein	1	F	e	e	2.8	4.1	2.6	e
1754609	cytokine SCM-1 beta precursor	4	E	e	e	2.5	e	e	e
1770519	ubiquitin-like protein SMT3B	1	F	e	e	e	2.8	e	e
1791257	COPINE I	1	D	e	e	e	e	2.6	e
1809135	mitochondrial thioredoxin precursor	1	C	e	e	e	2.7	e	e
1857331	KHS1	1	F	e	e	2.7	e	e	e
1890108	lysyl oxidase-related protein	2		e	e	e	3	e	e
1899192	unknown protein	1	E	e	e	3	e	e	e
1922313	kinesin-like protein kif2	1	F	e	2.5	3.3	2.5	2.5	e
1945609	26S proteasome subunit p44.5	1	F	e	e	2.7	e	e	e
1946205	congenital heart disease 5 protein	1	F	e	e	e	2.7	e	e
1946692	NADH-ubiquinone oxidoreductase MLRQ subunit	2	F	e	e	e	2.8	e	e
2062373	ubiquitin-conjugating enzyme E2 H10	1	F	e	e	e	e	3.7	e
2073569	nuclear chloride channel	1	F	e	e	e	e	2.6	e
2102637	cell division cycle 7-related protein kinase	2	F	e	e	3.1	e	e	e
2130527	insulin-like growth factor-binding protein 10	2		e	e	2.8	e	e	e
2135984	propionyl-coa carboxylase alpha chain, mitochondrial precursor	2		e	e	e	e	e	2.5
2148924	dead box protein 3	1	F	e	e	3.1	2.9	e	e
2160517	ladinin 1	7	F	e	e	e	3.8	e	e
2190414	Prep-1	2	E	e	e	2.5	e	e	e
2190990	UbcM2	2	F	e	e	2.9	3	2.8	2.8
2197067	Jagged 2	2	F	e	e	3.8	e	e	e
2213449	enterocyte differentiation associated factor EDAF-1	1	F	e	e	e	2.6	e	e
2224709	KIAA0384	2	E	e	e	2.6	e	e	e
2230878	nucleolar protein NOP56	2	F	e	e	e	2.8	e	e
2305238	integrin cytoplasmic domain associated protein	2	F	e	e	2.9	2.5	3.1	e
2315202	protein phosphatase 2c gamma isoform	1	F	e	e	2.7	e	e	e
2330011	mago nashi protein homolog	1	E	e	e	3.5	e	e	e
2351037	succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial precursor	1	F	e	e	e	e	2.7	e
2351378	eukaryotic translation initiation factor 3 subunit 7	3	F	e	e	e	2.9	e	e
2388666	tapasin precursor	3	F	e	e	e	2.5	e	e
2522322	PTPL1-associated RhoGAP	1	F	e	e	2.8	e	e	e
2580554	dead-box protein 3, Y-chromosomal	2	F	e	e	3.8	e	e	e
2618596	klotho	13	1 missing data point	e	e	e	2.6	e	e
2662077	KIAA0398	2	E	e	e	3.2	e	e	e
2739446	origin recognition complex subunit 5	1	F	e	e	2.9	e	e	e
2764617	myh-1c	4	F	e	e	2.6	e	e	e
2827203	general transcription factor 2-I	1	F	e	e	3.2	e	e	e
2828712	Smad6	2	F	e	e	2.6	e	e	e
2832595	ER lumen protein retaining receptor 3	1	F	e	e	e	3.1	e	e
2852695	epsilon-sarcoglycan	3	F	e	e	3	2.6	e	e
2909860	NADH-ubiquinone oxidoreductase KFYI subunit precursor	1	F	e	e	e	2.6	e	e
2920587	TBP-associated factor 172	2	F	e	e	e	e	2.8	e
2921392	X-ray repair cross-complementing protein 2	2	F	e	e	e	2.6	e	e
2979630	aurora and IPL1-like midbody-associated protein kinase-1	5	F	e	e	2.5	e	e	e
3043698	KIAA0587 protein	1	F	e	e	3.3	e	e	e
3043704	KIAA0590 protein	1	F	e	e	e	2.8	2.8	e
3063653	calcyclin binding protein	1	F	e	e	3.7	2.5	e	e
3064245	Ran-GTP binding protein	2	F	e	e	e	3.6	e	e
3089368	chromosome-associated polypeptide	1	F	e	2.9	4.9	3.2	3.2	2.7
3094999	phosphatidylinositol-4-phosphate 5-kinase I-gamma	1	1 missing data point	e	e	2.7	e	e	e
3097316	sodium bicarbonate cotransporter2	1	C	e	e	e	2.6	e	e
3123887	CARD-containing ICE associated kinase	1	F	e	e	e	2.9	e	e
3135792	FIM protein	2	F	e	e	e	2.5	e	e
3139079	cullin 3	1	F	e	e	e	2.7	e	e
3152660	GA17 protein	2	F	e	e	2.5	3.5	e	e
3153209	calumenin precursor	3	F	e	e	3.2	2.9	3	2.7
3169393	eukaryotic initiation factor 4E-binding protein 3	1	D	e	e	e	e	2.5	e
3170190	antigen NY-CO-25	1	F	e	e	3.1	e	e	e
3176438	HCG V	1	F	e	e	e	2.9	e	e
3236322	jak2 kinase	3	1 missing data point	e	e	e	e	e	3.1
3283049	metaxin 2	1	F	e	e	e	2.5	e	e
3342004	NADH-ubiquinone oxidoreductase MNLL subunit	3	D	e	e	e	e	2.5	e
3540219	hypothetical protein KIAA0017	1	E	e	e	2.6	e	e	e
3687441	SW1/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	6	F	e	e	2.7	e	e	e
3746791	DAM1	1	F	e	e	2.7	e	e	e
3851145	myelin protein zero-like protein MPZL1	3	F	e	e	3.6	e	e	e
3928756	transient receptor potential channel 7	4	F	e	e	5.9	3.3	4.8	2.5
3929583	timeless homolog	1	D	e	e	e	e	2.9	e
3941342	probable mitochondrial import receptor subunit tom40 homolog	1	E	e	e	3	e	e	e
3978224	diphosphoinositol polyphosphate phosphohydrolase	1	F	e	e	e	3.1	e	e
4063890	putative G protein-coupled receptor	3	F	e	e	2.9	e	e	e
4153876	similar to mouse homeodomain-interacting protein kinase 2	1	F	e	e	3.4	e	e	e
4165018	acyl-CoA synthetase 3	1	1 missing data point	e	e	3.4	3.2	2.7	e
4186184	C14orf3 protein	2	F	e	e	4.2	4.3	3.1	2.9
4204923	hox homeobox transcription factor HOXB3	1		e	e	e	e	e	2.6
4240259	UNR protein	2	E	e	e	2.7	e	e	e
4406577	unknown protein	2	D	e	e	e	e	2.6	e
4454686	F1F0-type ATP synthase subunit G	1	F	e	e	e	2.5	e	e
4454700	HSPC006	1	D	e	e	e	e	2.5	e
4468866	human ortholog of worm f16a11.2 and bacterial and archea-bacterial predicted proteins	2	E	e	e	2.5	e	e	e
4520328	dvs27-related protein	1	C	e	e	e	2.5	e	e
4557397	carbonic anhydrase VI precursor	1	F	e	e	e	2.6	e	e
4557447	chromodomain-helicase-DNA-binding protein 1	1	F	e	e	3.5	e	e	e
4583679	vacuolar protein sorting	2	E	e	e	3.1	e	e	e
4586840	type II membrane protein	3	F	e	e	e	2.5	e	e
4589608	KIAA0982 protein	2	D	e	e	e	e	3	e
4589638	KIAA0997 protein	1	F	e	e	2.7	e	e	e
4589929	fls353	3		e	e	3.4	e	e	e
4689148	foocen-s	1	F	e	e	3.7	4.8	4.7	3
4730929	HCF-binding transcription factor Zhangfei	1	C	e	e	e	2.5	e	e
4808601	stearoyl-CoA desaturase	1	F	e	e	e	8.3	7.4	4.1
4836419	endothelial lipase	1	F	e	2.6	2.7	2.5	2.4	e
4929565	CGI-48 protein	1	F	e	e	e	e	2.5	e
4929611	CGI-71 protein	1	F	e	e	e	3.2	e	e
5031755	heterogeneous nuclear ribonucleoprotein r	2	F	e	e	3.5	2.7	2.6	e
5052319	calcium-binding mitochondrial carrier protein aralar2	1	F	e	e	2.8	e	e	e
5114057	HSPC032	1	F	e	e	e	3.8	e	e
5138928	vesicle transport-related protein	1	F	e	e	e	2.5	e	e
5262497	hypothetical protein	2	F	e	e	3.3	2.9	e	e
5360093	BS4 protein	1	F	e	e	2.5	3.9	e	e
5360115	NY-REN-45 antigen	2	F	e	e	2.8	2.6	e	e
5453800	neurogranin	2	1 missing data point	e	e	3.4	e	e	e
5454000	RANBP8	3	F	e	e	e	2.5	e	e
5499741	chromatin-specific transcription elongation factor FACT 140 kda subunit	2	E	e	e	5.9	e	e	e
5577968	Po66 carbohydrate binding protein 1	1	E	e	e	2.9	e	e	e
5596370	transferrin receptor 2 alpha	1	F	e	e	2.6	e	e	e
5689571	KIAA1117 protein	1	F	e	e	2.7	2.9	e	e
5689742	ATP-dependent metalloprotease YME1L	2	E	e	e	2.6	e	e	e
5732680	amino acid transporter B0+	1	F	e	e	2.9	e	e	e
5777948	methyl-CpG binding protein splice variant 3	1	F	e	e	3	e	e	e
5803111	nucleolar protein p40	1	F	e	e	2.6	e	e	e
5881256	retinoblastoma-associated protein RAP140	2	F	e	e	e	2.8	e	e
5911913	hnRNP 2H9C	1	F	e	e	2.6	3.5	e	e
6288734	chemokine-like factor 1	1	C	e	e	e	3.8	e	2.7
6433864	claudin-12	3	F	e	e	e	2.7	e	e
6470341	unknown protein	1		e	e	e	2.6	e	e
6562171	hypothetical protein	1	F	e	e	e	2.7	e	e
6562533	sialin	1	F	e	e	e	e	2.7	e
6581091	transposase-like protein	1	1 missing data point	e	e	e	e	e	2.5
6630854	chemokine-like factor 2	1	F	e	e	e	3.7	e	e
6650674	hypothetical protein	1	F	e	e	2.6	e	e	e
6650778	PRO1575	1	C	e	e		2.9	e	e
6652820	putative ribosomal RNA methyltransferase 1	2	E	e	e	2.7	e	e	e
6683743	an organic anion transporter (OATP-E), isoform 2	1	D	e	e	e	e	2.8	e
6684459	C11orf5	1	F	e	e	3.4	e	e	e
6685007	epithelial protein lost in neoplasm beta	1	F	e	e	3.1	3.6	e	e
6688177	DIPB protein	1	F	e	e	2.5	e	e	e
6759255	GTPase activating protein	1	F	e	2.6	4.2	e	e	e
6807902	hypothetical protein	3	F	e	e	e	2.6	e	e
6808062	hypothetical protein	1	C	e	e	e	2.6	e	e
6815251	transcription factor ICBP90	1	E	e	e	2.9	e	e	e
6841066	calcium-binding transporter	1	F	e	e	2.5	2.9	e	e
6841208	HSPC279	2	C	e	e	e	2.5	e	e
6841226	HSPC288	2	F	e	e	e	2.5	e	e
6841498	HSPC138	3	C	e	e	e	2.6	e	e
6841510	HSPC144	2	E	e	e	3.9	e	e	e
6900075	odorant binding protein b	5	F	e	e	2.6	e	e	e
6942227	chromatin remodeling factor WCRF180	1	F	e	e	2.7	e	e	e
6984172	zinc finger protein 226	1	F	e	e	e	e	e	e
7019337	chromosome 16 open reading frame 5	4	F	e	e	2.7	e	e	e
7022022	unnamed protein product	2	1 missing data point	e	e	2.9	e	e	e
7022217	unnamed protein product	1	F	e	e	2.5	e	e	e
7023123	unnamed protein product	1	F	e	4	5.1	4.1	3.5	2.9
7243061	KIAA1340 protein	1	F	e	e	e	2.6	e	e
7243073	KIAA1346 protein	1	E	e	e	2.5	2.4	e	e
7542357	QUAKING isoform 3	2	F	e	e	3	2.3	e	e
7661850	KIAA0005 gene product	1	F	e	e	e	2.5	e	e
7717464	brain-expressed HHCPA78 homolog VDUP1	1	F	e	e	3.4	e	e	e
8489881	actin binding protein anillin	4	F	e	e	6.1	3.5	3.4	2.5
8927588	CGI-102 protein	1	F	e	e	2.5	e	e	e
9409794	succinyl-coa ligase	1	E	e	e	3	e	e	e
9886759	death associated protein 4	1	F	e	e	2.8	2.5	2.5	2.5
10433198	unnamed protein product	3	F	e	e	e	2.8	e	e
10436051	sodium bicarbonate cotransporter 2b	1	F	e	e	2.7	e	e	e
10436258	unnamed protein product	2	F	e	e	e	2.7	e	e
10437805	unnamed protein product	2	E	e	e	3.1	e	e	e
10566459	XAB2	1	F	e	e	2.5	e	e	e
11281507	hypothetical protein DKFZp434O1328.1	4		e	e	e	3.2	2.6	e
11415038	solute carrier family 22	1	C	e	e	e	2.5	e	e
11425597	Sjogren syndrome antigen A2	1	F	e	e	2.7	2.6	e	e
11426918	aldehyde dehydrogenase 10	2	F	e	e	2.9	e	e	e
11428762	hypothetical protein	2	C	e	e	e	2.6	e	e
11429864	annexin VII isoform 2	1	F	e	e	e	2.7	e	e
11430991	bromodomain adjacent to zinc finger domain, 2B	2	F	e	e	e	2.5	e	e
11433963	phosphoenolpyruvate carboxykinase 2	3		2.6	e	e	e	e	e
11436416	KIAA0914 gene product	3	C	e	e	e	2.6	e	e
12229677	actin-related protein 2/3 complex subunit 1B	2	C	e	e	e	2.6	e	e
12804865	Similar to insulin induced gene 1	2	F	e	e	2.9	e	e	e
