probe set	gene	Accession	EntrezGene	CEF NY315/CEF RCAS	t statistic	P value	CEF SRA/CEF RCAS	t statistic	P value	CEF SRA/CEF NY315	t statistic	P value
Gga.1009.2.S1_s_at	RCJMB04_28o6: actin related protein 2/3 complex, subunit 1B, 41kDa	BU380027	416490	-0.19	-1.063	0.384149	1	6.252	0.004379	1.2	5.209	0.004645
Gga.10116.1.S1_at	Finished cDNA, clone ChEST249f16	BX935482.2		-2.52	-12.917	0.004299	-3.53	-7.022	0.005697	-1.01	-1.875	0.137401
Gga.10139.1.S1_at	LOC421693: Similar to AHI1 protein	BX935410.2	421693	-0.88	-2.391	0.132372	-1.24	-4.731	0.013945	-0.36	-0.811	0.464825
Gga.10140.1.S1_at	PCF11: PCF11, cleavage and polyadenylation factor subunit, homolog (S. cerevisiae)	BU305188	419021	-1.93	-13.552	0.004899	-2.11	-14.975	0.000563	-0.18	-0.912	0.405384
Gga.10144.1.A1_at	Finished cDNA, clone ChEST502a8	BU309966		-1.12	-8.556	0.001151	-0.92	-3.739	0.019619	0.2	0.826	0.457489
Gga.10145.1.S1_a_at	GYPC: glycophorin C	AY234184.1	424230	-0.15	-0.616	0.571993	1.21	6.937	0.007189	1.36	6.743	0.010212
Gga.10150.1.S1_s_at	TRDN: triadin	BX935360.1	421721	-2.37	-17.306	0.001011	-2.76	-40.302	0	-0.39	-2.849	0.077897
Gga.1016.1.A1_at	Gga.1016.1	CR390872.1		-1.2	-13.791	0.000663	-1.29	-18.866	0.000008	-0.08	-0.912	0.41531
Gga.10166.1.S1_at	Finished cDNA, clone ChEST961b14	BU490478		1.47	4.897	0.020065	0.72	1.449	0.233768	-0.75	-1.343	0.242365
Gga.10167.1.S1_at	NTS: neurotensin	BX935235.1	417883	-1.12	-2.542	0.103643	3.17	4.282	0.008335	4.29	6.848	0.004621
Gga.10171.1.S1_at	RCJMB04_9h4: Sjogren syndrome antigen B /// Finished cDNA, clone ChEST169i24	BU387575	395268	-1.28	-3.958	0.050507	-1.23	-6.87	0.00256	0.05	0.134	0.901305
Gga.10172.1.S1_at	LOC418180: similar to hypothetical protein FLJ22655	BU301512	418180	-0.18	-0.793	0.499708	-1.23	-12.228	0.000065	-1.06	-4.646	0.026935
Gga.10172.2.S1_a_at	LOC418180: similar to hypothetical protein FLJ22655	BU326346	418180	-1.87	-15.23	0.001884	-2.39	-29.354	0.000004	-0.52	-3.816	0.024194
Gga.10173.1.S1_at	MYBPC1: myosin binding protein C, slow type	BU206256	418099	1.5	2.643	0.060415	1.95	3.715	0.025902	0.45	0.993	0.374611
Gga.10189.1.S1_at	Finished cDNA, clone ChEST533h2	BX935132.1		-1.21	-8.431	0.001366	-1.5	-10.629	0.000408	-0.29	-2.383	0.065931
Gga.1019.1.S1_at	Finished cDNA, clone ChEST270m22	BU387725		0.01	0.08	0.941939	-1.37	-6.138	0.007143	-1.38	-5.578	0.003896
Gga.10192.1.S1_at	LOC415554: similar to FLJ12476 protein	BX935123.1	415554	1.17	4.841	0.025083	0.32	0.616	0.579592	-0.85	-1.539	0.197122
Gga.10205.1.S1_at	LOC422264: similar to protocadherin	BX935027.2	422264	-0.69	-4.325	0.0236	-1.47	-6.157	0.005119	-0.78	-2.921	0.035388
Gga.10205.1.S1_s_at	Finished cDNA, clone ChEST482h8	BX935027.2		-0.78	-2.398	0.118755	-1.48	-12.592	0.000275	-0.69	-2.173	0.150728
Gga.10209.1.A1_at	Finished cDNA, clone ChEST978n6	BX934995.2		1.25	4.494	0.017901	0.63	1.716	0.162731	-0.62	-1.482	0.199619
Gga.10250.2.S1_a_at	LOC427435: KPL2 protein-like	BX931811.1	427435	-2.24	-29.157	0.000008	-2.39	-16.449	0.000092	-0.15	-1.029	0.363247
Gga.10258.1.S1_at	LOC416348: similar to KIAA1311 protein	BX934746.1	416348	-1.31	-4.956	0.024847	-1.01	-5.691	0.003367	0.3	1.007	0.378232
Gga.10269.1.S1_at	Gga.10269.1	BX934701.2		-1.22	-8.806	0.001856	-1.31	-9.367	0.000312	-0.09	-0.555	0.603376
Gga.10272.1.S1_s_at	Finished cDNA, clone ChEST698j17 /// Finished cDNA, clone ChEST386f24	BX934678.2		-1.57	-4.551	0.019334	-1.4	-3.309	0.023108	0.17	0.497	0.642623
Gga.10294.1.S1_at	CPT1A: carnitine palmitoyltransferase 1A (liver)	BU426315	423118	-1.07	-10.801	0.000417	-1.13	-9.169	0.000288	-0.06	-0.469	0.659159
Gga.10297.2.A1_at	Finished cDNA, clone ChEST69j22	BU136097		0.96	2.427	0.082885	1.63	6.063	0.003519	0.68	1.837	0.164327
Gga.10300.1.S1_s_at	THBS1: thrombospondin 1	BU420112	373987	-1.27	-2.641	0.099333	-2.29	-8.516	0.0005	-1.02	-1.976	0.142972
Gga.10303.1.S1_at	CAV2: caveolin 2	BI067555	417772	0.16	1.415	0.288666	1.18	9.844	0.001937	1.02	6.197	0.00174
Gga.10306.1.S1_at	Finished cDNA, clone ChEST378o7	BX934475.1		-1.26	-33.543	0.000007	-0.94	-8.967	0.001577	0.32	3.076	0.047422
Gga.10327.1.S1_at	Finished cDNA, clone ChEST667h24	BU221286		-0.96	-5.628	0.016113	-1.1	-10.912	0.000113	-0.13	-0.743	0.511894
Gga.10331.1.S1_at	Finished cDNA, clone ChEST49f12	BU219204		-1.74	-12.974	0.003168	-1.99	-27.366	0.000003	-0.26	-1.811	0.169242
Gga.10343.1.S1_a_at	LOC420800: brain-specific protein p25 alpha	BU246202	420800	-1.27	-2.383	0.138712	-2.32	-13.524	0.00051	-1.05	-1.881	0.17923
Gga.10344.1.S1_at	ELOVL4: Elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 4	BU353103	421850	-1.35	-15.185	0.000165	-1.23	-9.113	0.000377	0.12	0.908	0.413141
Gga.10368.1.S1_at	Gga.10368.1	BU222341		-1.61	-46.125	0.000002	-1.56	-14.475	0.000451	0.05	0.433	0.691517
Gga.10372.1.A1_at	Finished cDNA, clone ChEST552f4	BX931771.1		-0.26	-2.435	0.071577	-1.48	-12.535	0.000057	-1.22	-10.342	0.000146
Gga.10389.1.S1_s_at	ITGA11: integrin, alpha 11	BX931479.2	415560	0.87	1.818	0.201095	1.67	9.255	0.000344	0.8	1.613	0.225768
Gga.1039.1.S1_at	ITGB3: integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	NM_204315.1	374209	-0.83	-3.516	0.063308	-1.44	-5.457	0.010263	-0.61	-4.45	0.012096
Gga.10397.1.S1_at	Finished cDNA, clone ChEST443o10	BX934176.2		-1.97	-9.476	0.010203	-2.26	-13.059	0.000826	-0.28	-1.055	0.346764
Gga.10404.1.S1_at	Finished cDNA, clone ChEST718e20	BX934141.2		1.01	5.581	0.009672	0.7	2.393	0.082158	-0.31	-0.965	0.383299
Gga.10406.2.S1_s_at	CYLD: cylindromatosis	BU461394	415725	1.72	3.88	0.036812	0.56	0.745	0.491122	-1.16	-1.773	0.162652
Gga.10409.1.S1_s_at	KBTBD3: kelch repeat and BTB (POZ) domain containing 3	BU383971	418976	1.27	3.706	0.032207	0.8	2.386	0.097331	-0.47	-2.108	0.093983
Gga.10436.1.S1_at	Finished cDNA, clone ChEST915i20	BU202559		1.2	3.466	0.027248	-0.44	-0.488	0.653837	-1.64	-1.841	0.152385
Gga.10438.1.A1_at	LOC420308: similar to Solute carrier family 45, member 4	BU369975	420308	-2	-6.335	0.00322	-1.88	-8.295	0.007817	0.11	0.478	0.673314
Gga.10439.1.S1_at	FN1: Fibronectin 1	BU109952	396133	-0.53	-0.78	0.497359	-1.22	-3.805	0.02377	-0.68	-1.053	0.390355
Gga.10445.1.S1_at	Finished cDNA, clone ChEST37o11	BU207244		1.43	7.807	0.001776	0.72	1.464	0.225876	-0.71	-1.47	0.228827
Gga.10452.1.S1_at	Finished cDNA, clone ChEST1003n16	BU385062		1.31	5.79	0.008282	0.45	0.958	0.401472	-0.86	-1.717	0.161393
Gga.10465.1.S1_s_at	GPR65: G protein-coupled receptor 65	CF257416	423395	0.46	5.551	0.006623	1.04	9.754	0.000405	0.58	5.007	0.0043
Gga.10471.1.S1_at	LOC428513: similar to SDCCAG33 variant protein	BU283941	428513	-1.17	-9.945	0.000576	-1	-9.809	0.000796	0.17	1.651	0.176719
Gga.10480.1.S1_at	Finished cDNA, clone ChEST48n1	BX933594.2		1.13	3.029	0.040204	1.1	1.787	0.142288	-0.03	-0.05	0.962311
Gga.10498.1.S1_at	LOC415993: similar to choline dehydrogenase	BU219652	415993	-2.23	-14.895	0.003472	-1.92	-9.689	0.002022	0.3	1.239	0.270791
Gga.105.1.S1_at	BMPR2: bone morphogenetic protein receptor, type II (serine/threonine kinase)	AB006785.1	374147	-0.32	-2.527	0.066246	-1.08	-5.92	0.003275	-0.77	-4.052	0.011747
Gga.10510.1.S1_at	TSGA2: testis specific A2 homolog (mouse)	BX933509.2	418536	-0.98	-3.241	0.048443	-1.35	-4.887	0.030951	-0.38	-2.468	0.091332
Gga.10512.1.A1_at	Finished cDNA, clone ChEST49d19	BX933496.1		-2.01	-23.246	0.001441	-2.01	-19.314	0.000246	0	0.019	0.985817
Gga.10517.1.S1_at	Finished cDNA, clone ChEST808e9	CR407353.1		-1.4	-16.699	0.000583	-1.42	-10.235	0.001087	-0.02	-0.151	0.886138
Gga.10535.2.S1_s_at	CNOT1: CCR4-NOT transcription complex, subunit 1	BU129191	415676	-1.07	-6.066	0.012114	-0.54	-2.268	0.095056	0.52	1.862	0.122739
Gga.10541.1.A1_at	LOC418707: similar to MGC82198 protein	BX933394.1	418707	1.01	6.921	0.008153	0.48	1.417	0.22951	-0.53	-1.666	0.188316
Gga.10542.1.S1_at	Finished cDNA, clone ChEST686l16	BU252389		1.22	9.268	0.004453	0.4	0.823	0.464382	-0.82	-1.757	0.17527
Gga.10546.1.S1_at	Finished cDNA, clone ChEST194g17	BX933383.2		-2.78	-5.543	0.031036	-1.36	-1.739	0.142654	1.42	2.376	0.097979
Gga.10561.1.S1_at	Transcribed locus, moderately similar to XP_001066269.1  similar to oxysterol-binding protein-like protein 5 [Rattus norvegicus]	BU419810		-1.09	-10.952	0.000773	-1.02	-8.424	0.000426	0.08	0.736	0.496351
Gga.10564.1.S1_at	Finished cDNA, clone ChEST695n4	BX933326.2		1.15	5.998	0.014552	0.53	1.251	0.295782	-0.61	-1.337	0.252429
Gga.10566.1.A1_at	CHRM5: cholinergic receptor, muscarinic 5	BX933323.1	428881	1.09	3.371	0.028157	0.55	1.297	0.253219	-0.54	-1.299	0.253552
Gga.10570.1.S1_at	KHDRBS3: KH domain containing, RNA binding, signal transduction associated 3	BU136664	420317	-0.67	-2.231	0.094239	-2.08	-3.984	0.018249	-1.41	-2.591	0.057254
Gga.10574.1.S1_at	Finished cDNA, clone ChEST688f11	BX933310.1		1.06	5.073	0.012604	0.35	0.754	0.49306	-0.71	-1.607	0.196923
Gga.10576.1.S1_at	LOC415379: similar to NIP21	BX933302.1	415379	-2.26	-15.286	0.000534	-2.47	-22.145	0.000003	-0.22	-1.39	0.24218
Gga.10591.1.S1_at	ZFP106: zinc finger protein 106 homolog (mouse)	BX933279.2	423234	-1.58	-8.456	0.011826	-1.59	-17.631	0.000113	-0.01	-0.057	0.958572
Gga.10595.3.S1_at	REEP1: Receptor expression enhancing protein 1	BX931996.1	425082	-2.07	-8.342	0.00747	-2.23	-12.857	0.000131	-0.16	-0.566	0.604594
Gga.10599.1.S1_at	Finished cDNA, clone ChEST515n8	BX933257.1		-0.89	-10.443	0.003393	-1.05	-12.574	0.000266	-0.16	-1.421	0.217648
Gga.106.1.A1_at	TRPC3: transient receptor potential cation channel, subfamily C, member 3	AY130981.1	374153	1.61	4.483	0.018157	0.83	2.154	0.091729	-0.78	-1.678	0.154828
Gga.106.1.S1_at	TRPC3: transient receptor potential cation channel, subfamily C, member 3	AY130981.1	374153	1.25	7.651	0.002315	0.09	0.405	0.702597	-1.16	-5.476	0.004372
Gga.10606.1.S1_at	SOCS1: suppressor of cytokine signaling 1	BU313956	416630	0.94	10.234	0.003244	1.91	7.888	0.003647	0.97	3.821	0.021543
Gga.10615.2.S1_a_at	POPDC2: popeye domain containing 2	AY388622.1	404229	-1.18	-15.735	0.000453	-1.36	-8.584	0.000909	-0.19	-1.254	0.28996
Gga.10621.1.S1_s_at	PPFIA2: protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2	BU282611	417877	-0.51	-2.022	0.115144	-1.03	-5.498	0.008903	-0.52	-2.463	0.091178
Gga.10651.1.S1_at	PRPF4: PRP4 pre-mRNA processing factor 4 homolog (yeast)	BX933051.2	417270	-1.06	-7.652	0.005002	-0.95	-8.941	0.000317	0.11	0.721	0.512603
Gga.10658.1.S1_at	LOC423497: similar to KIAA2019 protein	BU321027	423497	0.85	1.316	0.298053	5.09	14.235	0.000036	4.24	6.239	0.00902
Gga.10690.1.S1_at	LOC420156: similar to Mannose-6-phosphate receptor binding protein 1 (Cargo selection protein TIP47) (47 kDa mannose 6-phosphate receptor-binding protein) (47 kDa MPR-binding protein) (Placental protein 17)	BU458895	420156	-1.65	-18.983	0.000963	-1.53	-11.87	0.000804	0.12	0.789	0.467537
Gga.10696.1.S1_at	LOC419149: similar to mannose 6 phosphate receptor binding protein 1; placental protein 17; cargo selection protein	BU413516	419149	-0.88	-10.112	0.004655	-1.04	-9.612	0.001359	-0.16	-1.168	0.295522
Gga.10718.1.A1_at	Finished cDNA, clone ChEST966e11	BU407845		-2.38	-11.312	0.001254	-1.46	-6.649	0.001946	0.92	3.415	0.019579
Gga.10720.1.S1_at	Finished cDNA, clone ChEST613c7	BU452631		-1.35	-2.426	0.073999	-2.62	-6.051	0.021283	-1.27	-3.431	0.063761
Gga.10741.1.S1_at	LOC417177: similar to mKIAA0515 protein	BU397780	417177	-1.8	-24.582	0.000295	-1.76	-16.879	0.000013	0.04	0.488	0.652809
Gga.10751.1.S1_at	Finished cDNA, clone ChEST602k23	BX932679.1		-0.93	-4.627	0.022393	-1.09	-5.793	0.00364	-0.15	-0.622	0.563501
Gga.10754.1.A1_at	Finished cDNA, clone ChEST497i4	BX932669.1		-0.56	-7.544	0.00803	-1.03	-7.737	0.003385	-0.47	-3.195	0.028899
Gga.10755.1.S1_s_at	LOC419832: similar to ETS domain-containing protein Elk-4 (Serum response factor accessory protein 1) (SAP-1)	BU397292	419832	-1.09	-9.63	0.008301	-0.93	-14.064	0.000242	0.16	1.275	0.286043
Gga.10756.1.S1_at	LOC415859: Similar to CG30016-PA	BU397278	415859	-1.56	-21.985	0.000604	-1.62	-14.945	0.000373	-0.06	-0.444	0.67633
Gga.10763.1.S1_at	SLC6A4: solute carrier family 6 (neurotransmitter transporter, serotonin), member 4	NM_213572.1	404747	0.43	4.444	0.012805	3.75	23.129	0.000009	3.32	21.406	0.00003
Gga.10767.1.A1_at	Finished cDNA, clone ChEST120k23	BU142317		1.04	9.22	0.000852	0.7	3.072	0.041779	-0.34	-1.476	0.216201
Gga.1077.2.S1_at	PRNPIP: Prion protein interacting protein	AI981636	424579	-1.74	-14.021	0.003301	-1.99	-18.317	0.000155	-0.25	-1.575	0.182987
Gga.10774.1.S1_at	Finished cDNA, clone ChEST620o13	BU299265		-0.59	-4.006	0.022317	-1.5	-7.828	0.000549	-0.91	-5.507	0.003941
Gga.10791.1.S1_s_at	COL4A3BP: collagen, type IV, alpha 3 binding protein	BX929551.2	427209	0.07	0.68	0.544743	1.01	6.52	0.001374	0.95	6.961	0.002788
Gga.10796.1.S1_s_at	PDZK1: PDZ domain containing 1	BX932481.2	418460	-1.44	-20.972	0.001521	-2.1	-7.228	0.005379	-0.67	-2.24	0.102479
Gga.10804.1.S1_at	Finished cDNA, clone ChEST618a15	BU300247		-1	-13.242	0.002048	-1.11	-8.611	0.002373	-0.1	-0.726	0.503704
Gga.10806.1.S1_at	NSUN3: NOL1/NOP2/Sun domain family, member 3	BX932442.1	418432	-1.1	-5.828	0.022844	-0.9	-2.683	0.045653	0.19	0.669	0.549551
Gga.10823.1.S1_at	Finished cDNA, clone ChEST354h14	BU213332		2.51	4.298	0.016593	1.55	2.812	0.061952	-0.96	-2.259	0.082425
Gga.10829.1.S1_s_at	EDNRB: endothelin receptor type B	BX932265.1	408082	0.67	2.877	0.049687	1	4.245	0.008327	0.33	1.232	0.27463
Gga.10837.1.S1_at	Finished cDNA, clone ChEST361i1	BX932206.2		-1.75	-32.763	0.000249	-1.73	-12.897	0.000847	0.02	0.131	0.90245
Gga.10839.1.S1_at	LRRC39: leucine rich repeat containing 39	BU357766	424469	-0.87	-8.244	0.00772	-1.06	-13.106	0.000171	-0.19	-1.563	0.193139
Gga.10851.1.S1_at	Finished cDNA, clone ChEST1028i3	BU458313		1.27	3.822	0.033682	1.34	3.07	0.028517	0.07	0.202	0.84976
Gga.10853.1.S1_at	PRTFDC1: phosphoribosyl transferase domain containing 1	BX932120.2	420499	0.83	9.956	0.006776	1.09	9.138	0.00029	0.25	2.848	0.058173
Gga.10858.1.S1_at	SERPINA1: serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	BU246566	423434	-1.79	-9.126	0.001146	-1.93	-10.215	0.000155	-0.14	-0.635	0.555051
Gga.10859.1.S1_at	LOC418020 /// LOC418021: similar to family with sequence similarity 20, member C; IMAGE:4942737 /// hypothetical LOC418021	BX932090.2	418020 /// 418021	-0.89	-6.911	0.003614	-1.02	-10.566	0.000235	-0.13	-1.069	0.3546
Gga.10884.1.S1_s_at	Finished cDNA, clone ChEST584c19	BU293391		-1.11	-8.808	0.001708	-1.28	-6.261	0.004132	-0.17	-0.769	0.480774
Gga.10888.2.S1_a_at	LOC425610: similar to PTD015 protein	BU241155	425610	0.95	2.803	0.100663	1.29	8.075	0.001532	0.33	0.907	0.435612
Gga.10895.1.S1_s_at	EPS8: epidermal growth factor receptor pathway substrate 8	BU455354	418174	0.26	3.197	0.033064	1.65	7.556	0.003029	1.39	6.36	0.005141
Gga.10906.1.S1_a_at	Finished cDNA, clone ChEST523i9	BX931831.2		1.04	5.607	0.023171	0.9	4.743	0.027922	-0.14	-1.9	0.116117
Gga.10956.1.S1_at	AP1S3: adaptor-related protein complex 1, sigma 3 subunit	BX931554.1	424807	0.04	0.29	0.797358	1.41	6.225	0.007919	1.38	5.38	0.004345
Gga.10957.1.A1_at	Finished cDNA, clone ChEST392o2	BX931553.2		1.24	5.689	0.010905	0.78	2.313	0.090072	-0.46	-1.231	0.276685
Gga.10960.1.S1_at	COLEC12: collectin sub-family member 12	BX931545.2	421061	-0.5	-1.118	0.379404	-1.24	-3.313	0.04494	-0.74	-1.267	0.268578
Gga.10963.1.S1_at	Finished cDNA, clone ChEST392m8	BX931525.1		-1.06	-19.366	0.000341	-1.22	-12.222	0.000652	-0.16	-1.461	0.212742
Gga.10972.1.S1_at	LOC420315: Similar to alpha 1 type XXII collagen	BX931481.2	420315	-0.27	-4.246	0.047434	-1.71	-15.212	0.000572	-1.44	-11.247	0.000183
Gga.10980.2.S1_at	LOC417245: Similar to bM426J14.1 (pregnancy-associated plasma protein A)	BX931435.1	417245	-1.78	-19.483	0.00261	-2.01	-27.874	0.0001	-0.22	-1.933	0.12244
Gga.10988.1.S1_a_at	EFCAB1: EF-hand calcium binding domain 1	BX931390.1	420556	0.61	3.762	0.042468	1	5.483	0.006475	0.39	3.329	0.024186
Gga.10993.1.S1_at	Finished cDNA, clone ChEST647a1	BX931349.2		-1.24	-7.314	0.01545	-1.14	-10.516	0.000968	0.1	0.497	0.648867
Gga.10995.1.S1_at	Finished cDNA, clone ChEST562j5	BX931336.1		-1.15	-4.904	0.012388	-0.93	-2.741	0.041367	0.22	0.714	0.513791
Gga.10998.1.S1_s_at	LOC421319: similar to CDNA sequence BC014795	BX931313.2	421319	-1.21	-9.9	0.001696	-1.17	-12.406	0.000061	0.04	0.337	0.753889
Gga.1100.1.S1_at	Finished cDNA, clone ChEST436e2	BU357379		-1.42	-6.665	0.011141	-1.95	-9.003	0.001106	-0.53	-1.875	0.1216
Gga.11010.1.S1_at	Finished cDNA, clone ChEST264b5	BX931232.2		0.26	0.575	0.596172	-2.05	-2.833	0.043945	-2.3	-3.203	0.030542
Gga.11029.1.S1_at	TARSL2: threonyl-tRNA synthetase-like 2	BX931141.1	415389	-1.46	-4.241	0.049859	-1.12	-5.757	0.009002	0.35	0.882	0.438335
Gga.11042.2.S1_a_at	LOC429747: hypothetical LOC429747	BX950445.1	429747	1.15	7.355	0.006194	0.93	4.309	0.007717	-0.22	-1.253	0.279513
Gga.11057.1.S1_at	LOC416633: similar to MHC class II transactivator (CIITA)	BX931086.1	416633	-3.12	-10.803	0.005213	-2.53	-7.223	0.004026	0.59	1.334	0.239612
Gga.1106.1.S1_at	LOC424451: similar to niban protein	BU396423	424451	0.09	1.416	0.255079	1.07	4.131	0.024738	0.98	3.739	0.028871
Gga.11073.1.S1_at	LOC426715: similar to meiosis expressed gene 1 homolog (mouse)	CN236222	426715	-1.37	-3.671	0.036197	-1.43	-3.902	0.015074	-0.06	-0.132	0.900504
Gga.1108.1.S1_s_at	RCJMB04_3c23: limb bud and heart development homolog (mouse)	CR353947.1	421301	-0.37	-2.144	0.147248	-1.14	-4.175	0.022198	-0.77	-2.423	0.062932
Gga.11091.1.S1_at	PHF6: PHD finger protein 6	BX930960.1	422235	-0.97	-1.882	0.139052	0.83	1.358	0.237617	1.8	2.675	0.044189
Gga.11097.1.S1_at	Finished cDNA, clone ChEST973f9	BU241145		1.12	4.763	0.013134	0.29	0.777	0.474025	-0.83	-2.45	0.07214
Gga.1110.1.S1_at	Transcribed locus, weakly similar to XP_365976.1  protein MG10196.4 [Magnaporthe grisea 70-15]	BU424282		-0.4	-1.904	0.180228	-1.01	-3.767	0.028254	-0.61	-1.857	0.122635
Gga.1111.1.S1_a_at	USP18: ubiquitin specific peptidase 18	CR389337.1	418167	0.31	1.886	0.15206	2.09	11.249	0.000278	1.78	8.072	0.000477
Gga.11111.1.S1_s_at	SMC6: structural maintenance of chromosomes 6	BX950774.1	421950	-1.57	-9.346	0.007376	-1.36	-17.873	0.000013	0.2	1.165	0.339045
Gga.11117.1.S1_at	Gga.11117.1	CR406215.1		1.02	7.553	0.014936	0.75	3.638	0.014955	-0.26	-1.65	0.194514
Gga.11119.1.S1_at	Finished cDNA, clone ChEST376l5	BX930622.2		1.03	3.961	0.02637	0.41	1.02	0.356111	-0.61	-1.709	0.166372
Gga.11137.1.S1_at	Finished cDNA, clone ChEST630e16	BU298861		-1.55	-19.89	0.000042	-1.84	-19.234	0.000007	-0.28	-3.103	0.02772
Gga.11142.2.S1_s_at	LOC420120: similar to cartilage oligomeric matrix protein	CR353695.1	420120	0.22	0.576	0.603912	-2.08	-5.706	0.01362	-2.29	-9.988	0.000434
Gga.11143.1.S1_at	Finished cDNA, clone ChEST632f11	BU300364		-1.21	-21.21	0.000617	-1.59	-12.109	0.000967	-0.38	-2.692	0.055496
Gga.11146.1.S1_s_at	Gga.11146.1	BU296486		0.25	3.008	0.068133	2.06	4.8	0.01485	1.81	4.278	0.022966
Gga.11154.1.S1_s_at	RCJMB04_38l20: signal transducer and activator of transcription 3 (acute-phase response factor)	BX930476.1	420027	-1.47	-8.267	0.01031	-0.86	-5.89	0.006251	0.61	2.726	0.049081
Gga.11158.1.S1_s_at	LOC417885: hypothetical LOC417885	BU243485	417885	1.04	5.951	0.004225	1.06	5.206	0.003725	0.02	0.095	0.92807
Gga.1117.1.S1_at	RCJMB04_10e2: syntaxin 8	BU329103	417321	-1.07	-8.671	0.002939	-0.7	-3.374	0.02193	0.37	1.961	0.128805
Gga.11174.1.A1_at	Finished cDNA, clone ChEST785f9	BU300238		1.07	8.859	0.002023	0.53	1.872	0.149329	-0.54	-1.817	0.147609
Gga.11203.1.S1_s_at	LOC428996: similar to FLI-LRR associated protein-1	BX930175.1	428996	-0.19	-1.016	0.384436	0.9	7.419	0.000804	1.09	5.87	0.008849
Gga.11209.1.S1_at	Finished cDNA, clone ChEST588n4	BU291304		-1	-7.356	0.002362	-1.08	-8.309	0.001587	-0.08	-0.747	0.49248
Gga.11235.1.A1_at	Finished cDNA, clone ChEST901o12	BX929972.1		1.11	9.031	0.011358	0.8	3.747	0.032824	-0.31	-1.268	0.265591
Gga.11237.1.A1_at	Finished cDNA, clone ChEST290e13	BX929944.1		1.54	5.292	0.01272	0.76	1.494	0.220309	-0.78	-1.423	0.22162
Gga.1126.1.S1_at	SUV420H1: Suppressor of variegation 4-20 homolog 1 (Drosophila)	BU395961	425119	-1.6	-19.185	0.001914	-1.68	-15.532	0.000455	-0.08	-0.591	0.58049
Gga.11261.1.A1_at	Finished cDNA, clone ChEST546d20	BU376225		1.11	5.415	0.006206	0.66	2.326	0.075445	-0.44	-1.49	0.199975
Gga.11275.1.S1_at	LOC427516: Hypothetical LOC427516	BX266124	427516	-1.22	-5.807	0.004376	-1.35	-7.252	0.001894	-0.13	-0.695	0.524932
Gga.11283.1.S1_at	Finished cDNA, clone ChEST748a13	BX929614.1		-1.89	-27.163	0.000204	-1.79	-11.873	0.000924	0.1	0.607	0.576374
Gga.11283.1.S1_x_at	Finished cDNA, clone ChEST748a13	BX929614.1		-1.49	-16.522	0.002631	-1.53	-12.518	0.000901	-0.04	-0.25	0.812301
Gga.11285.1.S1_at	Finished cDNA, clone ChEST746k2	BU456894		-2.42	-4.665	0.037318	-2.03	-4.9	0.01244	0.39	0.605	0.576375
Gga.11293.1.S1_at	ITGB1BP2: integrin beta 1 binding protein (melusin) 2	BX929509.1	422208	-1.65	-26.811	0.00008	-1.72	-21.758	0.00003	-0.07	-0.746	0.489723
