Gene Symbol	Quies-Cycl	Quies-Diff	Cycl-Diff	Log2Fold Quies-Cycl	Log2Fold Quies-Diff	Log2Fold Cycl-Diff	Gene.Title
OTUB1	0	-1	0	-0.838801606	-1.757495872	-0.918694266	OTU domain, ubiquitin aldehyde binding 1
SREBF2	-1	-1	0	-1.090298392	-1.629675613	-0.539377222	sterol regulatory element binding transcription factor 2
PKM2	0	-1	0	-1.097155367	-2.039634837	-0.94247947	pyruvate kinase, muscle
LOC652826 /// PSMC4	0	-1	0	-0.67601444	-1.397361966	-0.721347526	proteasome (prosome, macropain) 26S subunit, ATPase, 4 /// similar to 26S protease regulatory subunit 6B (MIP224) (MB67-interacting protein) (TAT-binding protein 7) (TBP-7)
BAT3	0	-1	0	-1.602962519	-2.212239686	-0.609277167	HLA-B associated transcript 3
COPE	0	-1	0	-1.374319818	-2.792531077	-1.418211259	coatomer protein complex, subunit epsilon
PSMC3	-1	-1	0	-2.003594383	-2.346859744	-0.343265361	proteasome (prosome, macropain) 26S subunit, ATPase, 3
FDPS	0	-1	0	-0.701794444	-1.089076415	-0.387281971	farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)
RAB5B	0	-1	0	-0.439805581	-1.218541358	-0.778735777	RAB5B, member RAS oncogene family
HNRPAB	0	-1	0	-0.691536579	-1.08951473	-0.39797815	heterogeneous nuclear ribonucleoprotein A/B
APEH	0	-1	0	-2.444883034	-2.569835757	-0.124952723	N-acylaminoacyl-peptide hydrolase
SDC1	0	-1	0	-1.418219963	-1.755901165	-0.337681202	syndecan 1
CYR61	0	1	1	0.313750322	1.782920167	1.469169845	cysteine-rich, angiogenic inducer, 61
TOP2A	0	-1	0	-2.478941405	-2.831081497	-0.352140092	topoisomerase (DNA) II alpha 170kDa
C5orf13	0	1	1	0.256143913	1.727323008	1.471179095	chromosome 5 open reading frame 13
ATP5B	0	-1	0	-0.958772058	-1.134841467	-0.176069409	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide
STAT6	0	-1	0	-0.556885943	-1.043711969	-0.486826026	signal transducer and activator of transcription 6, interleukin-4 induced
GPX3	0	-1	-1	-1.848812912	-3.812852446	-1.964039534	glutathione peroxidase 3 (plasma)
SLC9A3R1	-1	-1	0	-1.228843566	-1.749062286	-0.52021872	solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1
CST3	0	-1	0	-1.521879924	-2.382523651	-0.860643727	cystatin C (amyloid angiopathy and cerebral hemorrhage)
IVNS1ABP	0	1	0	0.684178483	1.252061556	0.567883074	influenza virus NS1A binding protein
IVNS1ABP	0	1	0	0.633076679	1.02227762	0.389200942	influenza virus NS1A binding protein
UBAP2L	-1	-1	0	-1.10951051	-1.61910028	-0.50958977	ubiquitin associated protein 2-like
PSMD3	0	-1	0	-1.013085102	-1.991895562	-0.97881046	proteasome (prosome, macropain) 26S subunit, non-ATPase, 3
TRAP1	0	-1	0	-0.990342914	-1.52017808	-0.529835166	TNF receptor-associated protein 1
PHGDH	-1	-1	0	-1.333025192	-1.944667492	-0.611642301	phosphoglycerate dehydrogenase
COPS6	0	-1	0	-0.482437262	-1.026902778	-0.544465516	COP9 constitutive photomorphogenic homolog subunit 6 (Arabidopsis)
LRP10	0	-1	0	-0.52001144	-1.051901312	-0.531889872	low density lipoprotein receptor-related protein 10
WDR77	0	-1	0	-1.139076149	-1.522421051	-0.383344902	WD repeat domain 77
WDR77	0	-1	0	-0.953827589	-1.227779444	-0.273951855	WD repeat domain 77
ALDH2	0	-1	-1	-0.479662316	-1.532032565	-1.05237025	aldehyde dehydrogenase 2 family (mitochondrial)
CLDN4	0	-1	-1	-0.071274936	-1.507160078	-1.435885141	claudin 4
GBF1	0	-1	0	-0.445794044	-1.560223813	-1.11442977	golgi-specific brefeldin A resistance factor 1
RUVBL2	0	-1	0	-0.794636788	-1.203007382	-0.408370595	RuvB-like 2 (E. coli)
NQO1	0	-1	0	-0.954008092	-1.519070267	-0.565062175	NAD(P)H dehydrogenase, quinone 1
MARS	0	-1	0	-0.991127188	-1.64429403	-0.653166842	methionyl-tRNA synthetase
RRM1	0	-1	0	-1.231231022	-1.63664599	-0.405414968	ribonucleotide reductase M1 polypeptide
CTSC	0	-1	0	-1.261650852	-1.884734402	-0.62308355	cathepsin C
PPIF	0	-1	0	-0.675463669	-1.053520398	-0.378056728	peptidylprolyl isomerase F (cyclophilin F)
PPIF	0	-1	0	-1.554448509	-2.341308749	-0.78686024	peptidylprolyl isomerase F (cyclophilin F)
TGFBI	0	0	1	-0.331157883	1.253587147	1.58474503	transforming growth factor, beta-induced, 68kDa
AAMP	0	-1	0	-0.615463355	-1.154875231	-0.539411876	angio-associated, migratory cell protein
SRM	-1	-1	0	-1.665117742	-2.810014924	-1.144897182	spermidine synthase
RPA1	-1	0	0	-1.045338014	-0.879355762	0.165982252	replication protein A1, 70kDa
FHL1	0	1	1	0.1631077	1.965327538	1.802219838	four and a half LIM domains 1
GYG1	0	-1	0	-0.414413486	-1.256081122	-0.841667636	glycogenin 1
DDX39	-1	-1	0	-2.543383759	-2.788213215	-0.244829455	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39
IRAK1	0	-1	0	-0.794923146	-1.077373897	-0.282450751	interleukin-1 receptor-associated kinase 1
PHB2	-1	-1	0	-1.342236867	-1.455775266	-0.1135384	prohibitin 2
ICMT	-1	-1	0	-1.717646317	-1.739152268	-0.021505951	isoprenylcysteine carboxyl methyltransferase
RUVBL1	-1	-1	0	-1.167269362	-1.306170714	-0.138901352	RuvB-like 1 (E. coli)
FXR1	0	1	0	0.886384369	1.009234707	0.122850338	fragile X mental retardation, autosomal homolog 1
TNC	0	1	1	0.573656846	3.697818934	3.124162088	tenascin C (hexabrachion)
GYS1	0	-1	0	-1.405829683	-1.538169262	-0.132339579	glycogen synthase 1 (muscle)
DLG5	0	1	0	0.345716966	1.296383584	0.950666618	discs, large homolog 5 (Drosophila)
OPRS1	0	-1	0	-0.908490835	-1.276859629	-0.368368794	opioid receptor, sigma 1
NP	-1	-1	0	-1.439917862	-1.663392127	-0.223474265	nucleoside phosphorylase
DNMT1	-1	-1	0	-1.414637332	-1.409939502	0.00469783	DNA (cytosine-5-)-methyltransferase 1
MYBL2	-1	-1	0	-1.618429959	-2.06669706	-0.448267101	v-myb myeloblastosis viral oncogene homolog (avian)-like 2
TUBG1	-1	-1	0	-1.257131628	-1.683565732	-0.426434103	tubulin, gamma 1
ELAVL1	-1	-1	0	-1.068066479	-1.224920654	-0.156854175	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)
NDUFS3	0	-1	0	-0.5848745	-1.219918811	-0.635044311	NADH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (NADH-coenzyme Q reductase)
