# Generate Mapping Tables Script: Version 4 11:05 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:05 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_005502.2|NM_005502	hgnc_symbol|ABCA1|ABCA1
refseq_dna|NM_207174.1|NM_207174	hgnc_symbol|ABCG1|ABCG1
refseq_dna|NM_004827.2|NM_004827	hgnc_symbol|ABCG2|ABCG2
refseq_dna|NM_022169.3|NM_022169	hgnc_symbol|ABCG4|ABCG4
refseq_dna|NM_022436.2|NM_022436	hgnc_symbol|ABCG5|ABCG5
refseq_dna|NM_022437.2|NM_022437	hgnc_symbol|ABCG8|ABCG8
refseq_dna|NM_003038.2|NM_003038	hgnc_symbol|SLC1A4|SLC1A4
refseq_dna|NM_005628.1|NM_005628	hgnc_symbol|SLC1A5|SLC1A5
refseq_dna|NM_003039.1|NM_003039	hgnc_symbol|SLC2A5|SLC2A5
refseq_dna|NM_000341.2|NM_000341	hgnc_symbol|SLC3A1|SLC3A1
refseq_dna|NM_002394.4|NM_002394	hgnc_symbol|SLC3A2|SLC3A2
refseq_dna|NM_014227.1|NM_014227	hgnc_symbol|SLC5A4|SLC5A4
refseq_dna|NM_021095.1|NM_021095	hgnc_symbol|SLC5A6|SLC5A6
refseq_dna|NM_003045.3|NM_003045	hgnc_symbol|SLC7A1|SLC7A1
refseq_dna|NM_003046.3|NM_003046	hgnc_symbol|SLC7A2|SLC7A2
refseq_dna|NM_032803.4|NM_032803	hgnc_symbol|SLC7A3|SLC7A3
refseq_dna|NM_003486.5|NM_003486	hgnc_symbol|SLC7A5|SLC7A5
refseq_dna|NM_182728.1|NM_182728	hgnc_symbol|SLC7A8|SLC7A8
refseq_dna|NM_014270.3|NM_014270	hgnc_symbol|SLC7A9|SLC7A9
refseq_dna|NM_019849.1|NM_019849	hgnc_symbol|SLC7A10|SLC7A10
refseq_dna|NM_014331.3|NM_014331	hgnc_symbol|SLC7A11|SLC7A11
refseq_dna|NM_004785.3|NM_004785	hgnc_symbol|SLC9A3R2|SLC9A3R2
refseq_dna|NM_003049.1|NM_003049	hgnc_symbol|SLC10A1|SLC10A1
refseq_dna|NM_005073.1|NM_005073	hgnc_symbol|SLC15A1|SLC15A1
refseq_dna|NM_021082.2|NM_021082	hgnc_symbol|SLC15A2|SLC15A2
refseq_dna|NM_006517.2|NM_006517	hgnc_symbol|SLC16A2|SLC16A2
refseq_dna|NM_004207.2|NM_004207	hgnc_symbol|SLC16A3|SLC16A3
refseq_dna|NM_194255.1|NM_194255	hgnc_symbol|SLC19A1|SLC19A1
refseq_dna|NM_006996.1|NM_006996	hgnc_symbol|SLC19A2|SLC19A2
refseq_dna|NM_025243.3|NM_025243	hgnc_symbol|SLC19A3|SLC19A3
refseq_dna|NM_153187.1|NM_153187	hgnc_symbol|SLC22A1|SLC22A1
refseq_dna|NM_153191.1|NM_153191	hgnc_symbol|SLC22A2|SLC22A2
refseq_dna|NM_001152.1|NM_001152	hgnc_symbol|SLC25A5|SLC25A5
refseq_dna|NM_014252.2|NM_014252	hgnc_symbol|SLC25A15|SLC25A15
refseq_dna|AK094133.1|33.1	hgnc_symbol|SLC25A30|SLC25A30
refseq_dna|NM_004213.3|NM_004213	hgnc_symbol|SLC28A1|SLC28A1
refseq_dna|NM_022127.1|NM_022127	hgnc_symbol|SLC28A3|SLC28A3
refseq_dna|NM_004955.1|NM_004955	hgnc_symbol|SLC29A1|SLC29A1
refseq_dna|NM_001532.2|NM_001532	hgnc_symbol|SLC29A2|SLC29A2
refseq_dna|NM_001859.2|NM_001859	hgnc_symbol|SLC31A1|SLC31A1
refseq_dna|NM_006424.2|NM_006424	hgnc_symbol|SLC34A2|SLC34A2
refseq_dna|NM_019844.2|NM_019844	hgnc_symbol|SLCO1B3|SLCO1B3
refseq_dna|NM_016354.3|NM_016354	hgnc_symbol|SLCO4A1|SLCO4A1
refseq_dna|NM_005603.3|NM_005603	hgnc_symbol|ATP8B1|ATP8B1
refseq_dna|NM_000052.3|NM_000052	hgnc_symbol|ATP7A|ATP7A
refseq_dna|NM_000053.2|NM_000053	hgnc_symbol|ATP7B|ATP7B
refseq_dna|NM_001694.2|NM_001694	hgnc_symbol|ATP6V0C|ATP6V0C
refseq_dna|NM_000701.6|NM_000701	hgnc_symbol|ATP1A1|ATP1A1
refseq_dna|NM_001677.3|NM_001677	hgnc_symbol|ATP1B1|ATP1B1
refseq_dna|NM_001680.3|NM_001680	hgnc_symbol|ATP1G1|ATP1G1
refseq_dna|NM_002247.2|NM_002247	hgnc_symbol|KCNMA1|KCNMA1
refseq_dna|NM_000041.2|NM_000041	hgnc_symbol|APOE|APOE
refseq_dna|NM_001170.1|NM_001170	hgnc_symbol|AQP7|AQP7
refseq_dna|NM_020980.2|NM_020980	hgnc_symbol|AQP9|AQP9
refseq_dna|NM_002538.2|NM_002538	hgnc_symbol|OCLN|OCLN
refseq_dna|NM_000700.1|NM_000700	hgnc_symbol|ANXA1|ANXA1
refseq_dna|NM_001153.2|NM_001153	hgnc_symbol|ANXA4|ANXA4
refseq_dna|NM_021101.3|NM_021101	hgnc_symbol|CLDN1|CLDN1
refseq_dna|NM_006580.2|NM_006580	hgnc_symbol|CLDN16|CLDN16
refseq_dna|NM_020384.2|NM_020384	hgnc_symbol|CLDN2|CLDN2
refseq_dna|NM_001306.2|NM_001306	hgnc_symbol|CLDN3|CLDN3
refseq_dna|NM_001305.3|NM_001305	hgnc_symbol|CLDN4|CLDN4
refseq_dna|NM_003277.2|NM_003277	hgnc_symbol|CLDN5|CLDN5
refseq_dna|NM_001307.3|NM_001307	hgnc_symbol|CLDN7|CLDN7
refseq_dna|NM_005507.2|NM_005507	hgnc_symbol|CFL1|CFL1
refseq_dna|NM_000165.2|NM_000165	hgnc_symbol|GJA1|GJA1
refseq_dna|NM_004360.2|NM_004360	hgnc_symbol|CDH1|CDH1
refseq_dna|NM_212474.1|NM_212474	hgnc_symbol|FN1|FN1
refseq_dna|NM_033666.1|NM_033666	hgnc_symbol|ITGB1|ITGB1
refseq_dna|NM_002755.2|NM_002755	hgnc_symbol|MAP2K1|MAP2K1
refseq_dna|NM_138957.2|NM_138957	hgnc_symbol|MAPK1|MAPK1
refseq_dna|NM_002746.2|NM_002746	hgnc_symbol|MAPK3|MAPK3
refseq_dna|NM_139046.1|NM_139046	hgnc_symbol|MAPK8|MAPK8
refseq_dna|NM_005430.2|NM_005430	hgnc_symbol|WNT1|WNT1
refseq_dna|NM_004327.3|NM_004327	hgnc_symbol|BCR|BCR
refseq_dna|NM_001903.2|NM_001903	hgnc_symbol|CTNNA1|CTNNA1
refseq_dna|NM_001904.2|NM_001904	hgnc_symbol|CTNNB1|CTNNB1
refseq_dna|NM_001993.2|NM_001993	hgnc_symbol|F3|F3
refseq_dna|NM_003505.1|NM_003505	hgnc_symbol|FZD1|FZD1
refseq_dna|NM_001278.3|NM_001278	hgnc_symbol|CHUK|CHUK
refseq_dna|NM_024911.4|NM_024911	hgnc_symbol|GPR177|GPR177
refseq_dna|U78557.1|57.1	hgnc_symbol|MTMR11|MTMR11
refseq_dna|NM_080822.2|NM_080822	hgnc_symbol|OVCA2|OVCA2
refseq_dna|NM_002609.3|NM_002609	hgnc_symbol|PDGFRB|PDGFRB
refseq_dna|NM_006218.2|NM_006218	hgnc_symbol|PIK3CA|PIK3CA
refseq_dna|NM_000314.4|NM_000314	hgnc_symbol|PTEN|PTEN
refseq_dna|NM_014578.2|NM_014578	hgnc_symbol|RHOD|RHOD
refseq_dna|NM_006142.3|NM_006142	hgnc_symbol|SFN|SFN
refseq_dna|NM_006472.1|NM_006472	hgnc_symbol|TXNIP|TXNIP
refseq_dna|NM_054014.1|NM_054014	hgnc_symbol|FKBP1A|FKBP1A
refseq_dna|NM_002053.1|NM_002053	hgnc_symbol|GBP1|GBP1
refseq_dna|NM_000875.2|NM_000875	hgnc_symbol|IGF1R|IGF1R
refseq_dna|NM_000208.1|NM_000208	hgnc_symbol|INSR|INSR
refseq_dna|NM_002208.3|NM_002208	hgnc_symbol|ITGAE|ITGAE
refseq_dna|NM_006180.3|NM_006180	hgnc_symbol|NTRK2|NTRK2
refseq_dna|NM_002966.2|NM_002966	hgnc_symbol|S100A10|S100A10
refseq_dna|NM_203339.1|NM_203339	hgnc_symbol|CLU|CLU
refseq_dna|NM_002982.3|NM_002982	hgnc_symbol|CCL2|CCL2
refseq_dna|NM_000600.1|NM_000600	hgnc_symbol|IL6|IL6
refseq_dna|NM_000761.3|NM_000761	hgnc_symbol|CYP1A2|CYP1A2
refseq_dna|NM_000762.4|NM_000762	hgnc_symbol|CYP2A13|CYP2A13	hgnc_symbol|CYP2A6|CYP2A6	hgnc_symbol|CYP2A7|CYP2A7
refseq_dna|NM_000767.4|NM_000767	hgnc_symbol|CYP2B6|CYP2B6
refseq_dna|NM_000770.3|NM_000770	hgnc_symbol|CYP2C19|CYP2C19	hgnc_symbol|CYP2C8|CYP2C8
refseq_dna|M17398.1|98.1	hgnc_symbol|CYP2C8|CYP2C8
refseq_dna|NM_000771.2|NM_000771	hgnc_symbol|CYP2C9|CYP2C9
refseq_dna|NM_000106.4|NM_000106	hgnc_symbol|CYP2D6|CYP2D6
refseq_dna|NM_000773.3|NM_000773	hgnc_symbol|CYP2E1|CYP2E1
refseq_dna|NM_017460.3|NM_017460	hgnc_symbol|CYP3A4|CYP3A4
refseq_dna|NM_000777.2|NM_000777	hgnc_symbol|CYP3A5|CYP3A5
refseq_dna|NM_001621.3|NM_001621	hgnc_symbol|AHR|AHR
refseq_dna|NM_001353.5|NM_001353	hgnc_symbol|AKR1C1|AKR1C1	hgnc_symbol|AKR1C2|AKR1C2
refseq_dna|NM_201397.1|NM_201397	hgnc_symbol|GPX1|GPX1
refseq_dna|NM_002083.2|NM_002083	hgnc_symbol|GPX2|GPX2
refseq_dna|NM_002084.3|NM_002084	hgnc_symbol|GPX3|GPX3
refseq_dna|NM_002085.3|NM_002085	hgnc_symbol|GPX4|GPX4
refseq_dna|NM_002093.2|NM_002093	hgnc_symbol|GSK3B|GSK3B
refseq_dna|NM_000637.2|NM_000637	hgnc_symbol|GSR|GSR
refseq_dna|NM_000178.2|NM_000178	hgnc_symbol|GSS|GSS
refseq_dna|NM_145740.2|NM_145740	hgnc_symbol|GSTA1|GSTA1
refseq_dna|NM_000846.3|NM_000846	hgnc_symbol|GSTA2|GSTA2
refseq_dna|NM_000847.3|NM_000847	hgnc_symbol|GSTA3|GSTA3
refseq_dna|NM_001512.2|NM_001512	hgnc_symbol|GSTA4|GSTA4
refseq_dna|NM_153699.1|NM_153699	hgnc_symbol|GSTA5|GSTA5
refseq_dna|NM_015917.1|NM_015917	hgnc_symbol|GSTK1|GSTK1
refseq_dna|NM_000848.2|NM_000848	hgnc_symbol|GSTM2|GSTM2
refseq_dna|NM_000849.3|NM_000849	hgnc_symbol|GSTM3|GSTM3
refseq_dna|NM_000850.3|NM_000850	hgnc_symbol|GSTM4|GSTM4
refseq_dna|NM_000851.2|NM_000851	hgnc_symbol|GSTM5|GSTM5
refseq_dna|NM_004832.1|NM_004832	hgnc_symbol|GSTO1|GSTO1
refseq_dna|NM_000852.2|NM_000852	hgnc_symbol|GSTP1|GSTP1
refseq_dna|NM_000853.1|NM_000853	hgnc_symbol|GSTT1|GSTT1
refseq_dna|NM_000854.2|NM_000854	hgnc_symbol|GSTT2|GSTT2
refseq_dna|NM_145870.1|NM_145870	hgnc_symbol|GSTZ1|GSTZ1
refseq_dna|NM_005265.2|NM_005265	hgnc_symbol|GGT1|GGT1
refseq_dna|NM_006708.1|NM_006708	hgnc_symbol|GLO1|GLO1
refseq_dna|NM_005326.4|NM_005326	hgnc_symbol|HAGH|HAGH
refseq_dna|NM_177924.1|NM_177924	hgnc_symbol|ASAH1|ASAH1
refseq_dna|NM_019893.1|NM_019893	hgnc_symbol|ASAH2|ASAH2
refseq_dna|NM_133492.1|NM_133492	hgnc_symbol|ASAH3|ASAH3
refseq_dna|NM_030791.2|NM_030791	hgnc_symbol|SGPP1|SGPP1
refseq_dna|NM_004045.3|NM_004045	hgnc_symbol|ATOX1|ATOX1
refseq_dna|NM_006585.2|NM_006585	hgnc_symbol|CCT8|CCT8
refseq_dna|NM_001865.2|NM_001865	hgnc_symbol|COX7A2|COX7A2
refseq_dna|NM_000791.3|NM_000791	hgnc_symbol|DHFR|DHFR
refseq_dna|NM_175085.1|NM_175085	hgnc_symbol|GART|GART
refseq_dna|NM_002610.3|NM_002610	hgnc_symbol|PDK1|PDK1
refseq_dna|NM_152132.1|NM_152132	hgnc_symbol|PSMA3|PSMA3
refseq_dna|NM_139164.1|NM_139164	hgnc_symbol|STARD4|STARD4
refseq_dna|X77584.1|84.1	hgnc_symbol|TXN|TXN
refseq_dna|NM_003358.1|NM_003358	hgnc_symbol|UGCG|UGCG
refseq_dna|NM_024292.3|NM_024292	hgnc_symbol|UBL5|UBL5
refseq_dna|NM_019075.2|NM_019075	hgnc_symbol|UGT1A8|UGT1A8	hgnc_symbol|UBT1A7|UBT1A7
hgnc_symbol|UGT1A6|UGT1A6	hgnc_symbol|UGT1A5|UGT1A5
hgnc_symbol|UGT1A9|UGT1A9	hgnc_symbol|UGT1A4|UGT1A4
hgnc_symbol|UGT1A1|UGT1A1	hgnc_symbol|UGT1A3|UGT1A3
refseq_dna|NM_007315.2|NM_007315	hgnc_symbol|STAT1|STAT1
refseq_dna|NM_213662.1|NM_213662	hgnc_symbol|STAT3|STAT3
refseq_dna|NM_003152.2|NM_003152	hgnc_symbol|STAT5A|STAT5A
refseq_dna|NM_012448.3|NM_012448	hgnc_symbol|STAT5B|STAT5B
refseq_dna|NM_138473.2|NM_138473	hgnc_symbol|SP1|SP1
refseq_dna|BC012296.1|96.1	hgnc_symbol|TCEAL4|TCEAL4
refseq_dna|NM_005225.1|NM_005225	hgnc_symbol|E2F1|E2F1
refseq_dna|NM_003998.2|NM_003998	hgnc_symbol|NFKB1|NFKB1
refseq_dna|NM_020529.1|NM_020529	hgnc_symbol|NFKBIA|NFKBIA
refseq_dna|NM_007121.3|NM_007121	hgnc_symbol|NR1H2|NR1H2
refseq_dna|NM_005693.1|NM_005693	hgnc_symbol|NR1H3|NR1H3
refseq_dna|NM_005123.1|NM_005123	hgnc_symbol|NR1H4|NR1H4
refseq_dna|NM_033013.1|NM_033013	hgnc_symbol|NR1I2|NR1I2
refseq_dna|NM_005122.2|NM_005122	hgnc_symbol|NR1I3|NR1I3
refseq_dna|NM_021976.3|NM_021976	hgnc_symbol|RXRB|RXRB
refseq_dna|NM_181054.1|NM_181054	hgnc_symbol|HIF1A|HIF1A
refseq_dna|NM_006563.2|NM_006563	hgnc_symbol|KLF1|KLF1
refseq_dna|NM_012423.2|NM_012423	hgnc_symbol|RPL13A|RPL13A
refseq_dna|NM_015414.3|NM_015414	hgnc_symbol|RPL36|RPL36
refseq_dna|NM_021104.1|NM_021104	hgnc_symbol|RPL41|RPL41
refseq_dna|NM_017838.3|NM_017838	hgnc_symbol|NOLA2|NOLA2
refseq_dna|NM_003376.4|NM_003376	hgnc_symbol|VEGF|VEGF
refseq_dna|NM_003236.1|NM_003236	hgnc_symbol|TGFA|TGFA
refseq_dna|NM_000660.3|NM_000660	hgnc_symbol|TGFB1|TGFB1
refseq_dna|NM_005228.3|NM_005228	hgnc_symbol|EGFR|EGFR
refseq_dna|NM_005526.1|NM_005526	hgnc_symbol|HSF1|HSF1
refseq_dna|NM_005348.2|NM_005348	hgnc_symbol|HSP90AA1|HSP90AA1
refseq_dna|NM_005347.2|NM_005347	hgnc_symbol|HSPA5|HSPA5
refseq_dna|NM_001540.2|NM_001540	hgnc_symbol|HSPB1|HSPB1
refseq_dna|NM_199440.1|NM_199440	hgnc_symbol|HSPD1|HSPD1
refseq_dna|NM_002157.1|NM_002157	hgnc_symbol|HSPE1|HSPE1
refseq_dna|NM_006644.2|NM_006644	hgnc_symbol|HSPH1|HSPH1
refseq_dna|NM_004530.2|NM_004530	hgnc_symbol|MMP2|MMP2
refseq_dna|NM_004994.2|NM_004994	hgnc_symbol|MMP9|MMP9
refseq_dna|NM_003254.2|NM_003254	hgnc_symbol|TIMP1|TIMP1
refseq_dna|NM_005157.3|NM_005157	hgnc_symbol|ABL1|ABL1
refseq_dna|NM_005163.2|NM_005163	hgnc_symbol|AKT1|AKT1
refseq_dna|NM_002228.3|NM_002228	hgnc_symbol|JUN|JUN
refseq_dna|NM_000222.1|NM_000222	hgnc_symbol|KIT|KIT
refseq_dna|NM_002524.2|NM_002524	hgnc_symbol|NRAS|NRAS
refseq_dna|NM_002880.2|NM_002880	hgnc_symbol|RAF1|RAF1
refseq_dna|NM_002467.3|NM_002467	hgnc_symbol|MYC|MYC
refseq_dna|NM_002392.2|NM_002392	hgnc_symbol|MDM2|MDM2
refseq_dna|NM_021975.2|NM_021975	hgnc_symbol|RELA|RELA
refseq_dna|NM_005252.2|NM_005252	hgnc_symbol|FOS|FOS
refseq_dna|NM_004448.2|NM_004448	hgnc_symbol|ERBB2|ERBB2
refseq_dna|NM_005238.2|NM_005238	hgnc_symbol|ETS1|ETS1
refseq_dna|NM_198291.1|NM_198291	hgnc_symbol|SRC|SRC
refseq_dna|NM_000038.3|NM_000038	hgnc_symbol|APC|APC
refseq_dna|NM_000546.2|NM_000546	hgnc_symbol|TP53|TP53
refseq_dna|NM_005426.2|NM_005426	hgnc_symbol|TP53BP2|TP53BP2
refseq_dna|NM_005427.1|NM_005427	hgnc_symbol|TP73|TP73
refseq_dna|NM_000321.2|NM_000321	hgnc_symbol|RB1|RB1
refseq_dna|NM_007294.2|NM_007294	hgnc_symbol|BRCA1|BRCA1
refseq_dna|NM_000059.2|NM_000059	hgnc_symbol|BRCA2|BRCA2
refseq_dna|NM_004938.2|NM_004938	hgnc_symbol|DAPK1|DAPK1
refseq_dna|NM_001184.2|NM_001184	hgnc_symbol|ATR|ATR
refseq_dna|NM_138292.3|NM_138292	hgnc_symbol|ATM|ATM
refseq_dna|NM_001274.2|NM_001274	hgnc_symbol|CHEK1|CHEK1
refseq_dna|NM_145862.2|NM_145862	hgnc_symbol|CHEK2|CHEK2
refseq_dna|NM_004507.2|NM_004507	hgnc_symbol|HUS1|HUS1
refseq_dna|NM_133377.2|NM_133377	hgnc_symbol|RAD1|RAD1
refseq_dna|NM_133338.1|NM_133338	hgnc_symbol|RAD17|RAD17
refseq_dna|NM_053056.2|NM_053056	hgnc_symbol|CCND1|CCND1
refseq_dna|NM_000075.2|NM_000075	hgnc_symbol|CDK4|CDK4
refseq_dna|NM_078467.1|NM_078467	hgnc_symbol|CDKN1A|CDKN1A
refseq_dna|NM_004064.2|NM_004064	hgnc_symbol|CDKN1B|CDKN1B
refseq_dna|NM_058195.2|NM_058195	hgnc_symbol|CDKN2A|CDKN2A
refseq_dna|NM_003600.2|NM_003600	hgnc_symbol|AURKA|AURKA
refseq_dna|NM_001238.1|NM_001238	hgnc_symbol|CCNE1|CCNE1
refseq_dna|NM_001239.2|NM_001239	hgnc_symbol|CCNH|CCNH
refseq_dna|NM_015891.2|NM_015891	hgnc_symbol|CDC40|CDC40
refseq_dna|NM_001791.3|NM_001791	hgnc_symbol|CDC42|CDC42
refseq_dna|NM_052827.1|NM_052827	hgnc_symbol|CDK2|CDK2
refseq_dna|NM_001799.2|NM_001799	hgnc_symbol|CDK7|CDK7
refseq_dna|NM_002417.3|NM_002417	hgnc_symbol|MKI67|MKI67
refseq_dna|NM_002431.2|NM_002431	hgnc_symbol|MNAT1|MNAT1
refseq_dna|NM_020313.2|NM_020313	hgnc_symbol|CIAPIN1|CIAPIN1
refseq_dna|NM_003824.2|NM_003824	hgnc_symbol|FADD|FADD
refseq_dna|NM_152871.1|NM_152871	hgnc_symbol|FAS|FAS
refseq_dna|NM_000639.1|NM_000639	hgnc_symbol|FASLG|FASLG
refseq_dna|NM_181861.1|NM_181861	hgnc_symbol|APAF1|APAF1
refseq_dna|NM_032989.1|NM_032989	hgnc_symbol|BAD|BAD
refseq_dna|NM_138761.2|NM_138761	hgnc_symbol|BAX|BAX
refseq_dna|NM_000633.2|NM_000633	hgnc_symbol|BCL2|BCL2
refseq_dna|NM_032991.2|NM_032991	hgnc_symbol|CASP3|CASP3
refseq_dna|NM_033355.2|NM_033355	hgnc_symbol|CASP8|CASP8
refseq_dna|NM_032996.1|NM_032996	hgnc_symbol|CASP9|CASP9
refseq_dna|NM_003789.3|NM_003789	hgnc_symbol|TRADD|TRADD
refseq_dna|NM_000594.2|NM_000594	hgnc_symbol|TNF|TNF
refseq_dna|NM_003844.2|NM_003844	hgnc_symbol|TNFRSF10A|TNFRSF10A
refseq_dna|NM_003810.2|NM_003810	hgnc_symbol|TNFSF10|TNFSF10
refseq_dna|NM_005658.3|NM_005658	hgnc_symbol|TRAF1|TRAF1
refseq_dna|NM_004323.3|NM_004323	hgnc_symbol|BAG1|BAG1
refseq_dna|NM_004281.3|NM_004281	hgnc_symbol|BAG3|BAG3
refseq_dna|NM_004874.2|NM_004874	hgnc_symbol|BAG4|BAG4
refseq_dna|NM_197966.1|NM_197966	hgnc_symbol|BID|BID
refseq_dna|NM_004049.2|NM_004049	hgnc_symbol|BCL2A1|BCL2A1
refseq_dna|NM_138578.1|NM_138578	hgnc_symbol|BCL2L1|BCL2L1
refseq_dna|NM_001166.3|NM_001166	hgnc_symbol|BIRC2|BIRC2
refseq_dna|NM_182962.1|NM_182962	hgnc_symbol|BIRC3|BIRC3
refseq_dna|NM_001167.2|NM_001167	hgnc_symbol|BIRC4|BIRC4
refseq_dna|NM_001168.2|NM_001168	hgnc_symbol|BIRC5|BIRC5
refseq_dna|NM_016252.2|NM_016252	hgnc_symbol|BIRC6|BIRC6
refseq_dna|NM_004052.2|NM_004052	hgnc_symbol|BNIP3|BNIP3
refseq_dna|NM_004331.2|NM_004331	hgnc_symbol|BNIP3L|BNIP3L
refseq_dna|NM_138930.2|NM_138930	hgnc_symbol|DIABLO|DIABLO
refseq_dna|NM_021960.3|NM_021960	hgnc_symbol|MCL1|MCL1
refseq_dna|NM_001188.3|NM_001188	hgnc_symbol|BAK1|BAK1
refseq_dna|NM_003879.3|NM_003879	hgnc_symbol|CFLAR|CFLAR
refseq_dna|NM_145812.1|NM_145812	hgnc_symbol|PDCD8|PDCD8
refseq_dna|NM_005946.2|NM_005946	hgnc_symbol|MT1A|MT1A
refseq_dna|NM_005947.1|NM_005947	hgnc_symbol|MT1B|MT1B
refseq_dna|NM_005949.1|NM_005949	hgnc_symbol|MT1F|MT1F
refseq_dna|NM_005951.1|NM_005951	hgnc_symbol|MT1H|MT1H
refseq_dna|NM_005952.2|NM_005952	hgnc_symbol|MT1X|MT1X
refseq_dna|NM_005953.2|NM_005953	hgnc_symbol|MT2A|MT2A
refseq_dna|NM_005954.2|NM_005954	hgnc_symbol|MT3|MT3
refseq_dna|NM_032935.2|NM_032935	hgnc_symbol|MT4|MT4
refseq_dna|NM_030782.2|NM_030782	hgnc_symbol|CLPTM1L|CLPTM1L
refseq_dna|NM_006107.2|NM_006107	hgnc_symbol|CROP|CROP
refseq_dna|NM_017458.2|NM_017458	hgnc_symbol|MVP|MVP
refseq_dna|NM_001983.2|NM_001983	hgnc_symbol|ERCC1|ERCC1
refseq_dna|NM_000400.2|NM_000400	hgnc_symbol|ERCC2|ERCC2
refseq_dna|NM_000122.1|NM_000122	hgnc_symbol|ERCC3|ERCC3
