Curated Gene Symbol	Domain	Gene Name	Gene Symbol	Reference Sequence	Description	Geometric mean of CD4+ T cell samples	Geometric mean of CD8+ T cell samples	Fold up-regulation in CD4+ T cells	P-value
DNAJA2	Signal Transduction	DnaJ (Hsp40) homolog, subfamily A, member 2	DNAJA2	NM_005880	Cell cycle	0.53	0.75	0.71	0.0099
MAPK8IP1	Signal Transduction	Mitogen-activated protein kinase 8 interacting protein 1	MAPK8IP1	NM_005456	Scaffold	0.54	0.82	0.66	0.029
ZNF33A	Signal Transduction	Zinc finger protein 33a (KOX 31)	ZNF33A	NM_006974	Cell cycle	0.47	0.73	0.64	0.0034
BRPF1	Transcription Factor	Bromodomain and PHD finger containing, 1	BRPF1	NM_004634		1.1	0.62	1.78	0.0391
GTF3C2	Transcription Factor	General transcription factor IIIC, polypeptide 2 (beta subunit, 110kD)	GTF3C2	NM_001521		3.15	1.83	1.72	0.0037
SREBF2	Transcription Factor	Sterol regulatory element binding transcription factor 2	SREBF2	NM_004599		0.96	0.62	1.54	0.0478
CRABP2	Transcription Factor	Cellular retinoic acid-binding protein 2	CRABP2	NM_001878		1.28	0.9	1.42	0.0231
PAX8	Transcription Factor	Paired box gene 8 isoform PAX8A	PAX8	NM_003466		2.26	1.63	1.38	0.0008
MYC	Transcription Factor	v-Myc avian myelocytomatosis viral oncogene homolog	MYC	NM_002467		4.92	3.6	1.37	0.0215
GTF3A	Transcription Factor	General transcription factor IIIA	GTF3A	NM_002097		2.85	2.1	1.36	0.0079
JUNB	Transcription Factor	Jun B proto-oncogene	JUNB	NM_002229		5.25	3.88	1.35	0.0148
IRX5	Transcription Factor	Iroquois-class homeodomain protein	IRX5	NM_005853		1	0.75	1.33	0.0043
SUPT4H1	Transcription Factor	Suppressor of Ty (S.cerevisiae) 4 homolog 1	SUPT4H1	NM_003168		1.28	0.97	1.33	0.0131
MED23	Transcription Factor	Cofactor required for Sp1 transcriptional activation, subunit 3, 130kDa	CRSP3	NM_004830		3.22	2.45	1.32	0.0148
ZNF410	Transcription Factor	Likely ortholog of mouse another partner for ARF 1	APA1	NM_021188		1.51	1.15	1.32	0.0026
HOXA10	Transcription Factor	Homeobox protein A10 isoform a	HOXA10	NM_018951		1.46	1.12	1.3	0.0069
TADA3	Transcription Factor	Transcriptional adaptor 3-like isoform a	TADA3L	NM_006354		1.16	0.89	1.3	0.0008
GATA2	Transcription Factor	GATA binding protein 2	GATA2	NM_032638		6.01	4.62	1.3	0.0226
GTF2IP1	Transcription Factor	General transcription factor II, i, pseudogene 1	GTF2IP1	AF036613		0.94	1.23	0.76	0.0313
TFEB	Transcription Factor	Transcription factor EB	TFEB	NM_007162		0.81	1.08	0.75	0.0033
PARD6A	Transcription Factor	Par-6 partitioning defective 6 homolog alpha	PARD6A	NM_016948		0.83	1.11	0.74	0.0313
ADNP	Transcription Factor	Activity-dependent neuroprotector	ADNP	NM_015339		0.92	1.25	0.74	0.0405
ATRX	Transcription Factor	Transcriptional regulator ATRX isoform 1	ATRX	NM_000489		0.84	1.15	0.73	0.0025
ARNTL	Transcription Factor	Aryl hydrocarbon receptor nuclear translocator-like	ARNTL	NM_001178		0.69	0.95	0.73	0.0321
NCOA1	Transcription Factor	Nuclear receptor coactivator 1	NCOA1	NM_003743		0.71	0.98	0.72	0.002
FOXF1	Transcription Factor	Forkhead (Drosophila)-like 5	FOXF1	NM_001451		0.66	0.91	0.72	0.0213
ZFP36L1	Transcription Factor	Butyrate response factor 1	ZFP36L1	NM_004926		1.59	2.22	0.71	0.0001
SSBP3	Transcription Factor	Single stranded DNA binding protein 3	SSBP3	NM_018070		1.12	1.59	0.7	0.0032
TRIM13	Transcription Factor	Ret finger protein 2	RFP2	NM_005798		1.01	1.44	0.7	0.002
PML	Transcription Factor	Promyelocytic leukemia	PML	NM_002675		1.26	1.8	0.7	0.0011
IFI35	Transcription Factor	Interferon-induced protein 35	IFI35	NM_005533		0.42	0.74	0.57	0.001
KAT5	Nuclear - other	HIV-1 Tat interactive protein, 60kDa	HTATIP	NM_006388	DNA repair	1.13	0.67	1.69	0.0044
TUBGCP4	Nuclear - other	Gamma tubulin ring complex protein (76p gene)	76P	NM_014444	Structural	1.01	0.66	1.52	0.0035
WRB	Nuclear - other	Tryptophan rich basic protein	WRB	NM_004627	Unknown	1.63	1.15	1.41	0.0022
ZW10	Nuclear - other	ZW10 (Drosophila) homolog, centromere/kinetochore protein	ZW10	NM_004724	Cell cycle	0.99	0.72	1.39	0.0105
HMGB1	Nuclear - other	High-mobility group protein 1	HMGB1	NM_002128	Structural	4.6	3.32	1.39	0.0366
KPNA6	Nuclear - other	Karyopherin alpha 6 (importin alpha 7)	KPNA6	NM_012316	Importer	2.02	1.47	1.38	0.0067
PUF60	Nuclear - other	Fuse-binding protein-interacting repressor	SIAHBP1	NM_014281	Inhibition	1.73	1.29	1.34	0.008
EIF4A3	Nuclear - other	KIAA0111 gene product	KIAA0111	NM_014740	Helicase	2.15	1.61	1.33	0.012
SMARCAL1	Nuclear - other	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a-like 1	SMARCAL1	NM_014140	Chromosome organisation	1.39	1.05	1.32	0.0074
HAT1	Nuclear - other	Histone acetyltransferase 1	HAT1	NM_003642	Chromosome organisation	3.28	2.49	1.32	0.0251
NUTF2	Nuclear - other	Nuclear transport factor 2	NUTF2	NM_005796	Importer	2.39	1.83	1.31	0.0211
CHD1	Nuclear - other	Chromodomain helicase DNA binding protein 1	CHD1	NM_001270	Chromosome organisation	0.99	1.29	0.77	0.003
NHP2L1	Nuclear - other	Non-histone chromosome protein 2-like 1	NHP2L1	NM_005008	Structural	1.02	1.35	0.75	0.0003
NPAT	Nuclear - other	Nuclear protein, ataxia-telangiectasia locus	NPAT	NM_002519	Unknown	1.04	1.39	0.75	0.0141
TNKS1BP1	Nuclear - other	Tankyrase 1-binding protein of 182 kDa	TNKS1BP1	NM_033396	Cell cycle	1.1	1.51	0.73	0.0018
CHD2	Nuclear - other	Chromodomain helicase DNA binding protein 2	CHD2	NM_001271	Chromosome organisation	1.46	2.01	0.73	0.0009
CHAF1A	Nuclear - other	Chromatin assembly factor 1, subunit A (p150)	CHAF1A	NM_005483	Chromosome organisation	0.83	1.17	0.71	0.0229
CBLB	Nuclear - other	Cas-Br-M (murine) ectropic retroviral transforming sequence b	CBLB	NM_004351	Importer	0.54	0.77	0.7	0.02
HIST1H2BN	Nuclear - other	H2B histone family, member D	H2BFD	NM_003520	Structural	1.69	2.91	0.58	0.004
RAB1A	Intracellular Trafficking	RAB1A, member RAS oncogene family	RAB1A	NM_004161	Vesicles	4.4	2.91	1.51	0.0115
ANXA2	Intracellular Trafficking	Annexin A2	ANXA2	NM_004039	Exocytosis	10.2	7.12	1.43	0.0255
RABIF	Intracellular Trafficking	RAB interacting factor	RABIF	NM_002871	Vesicles	1.26	0.88	1.42	0.0449
COPB1	Intracellular Trafficking	Coatomer protein complex, subunit beta	COPB	NM_016451	Golgi Apparatus	2.69	1.93	1.39	0.0097
VPS28	Intracellular Trafficking	Vacuolar protein sorting 28	VPS28	NM_016208	Endosomes	2.31	1.72	1.34	0.0021
GOLGB1	Intracellular Trafficking	Golgi autoantigen, golgin subfamily b, macrogolgin (with transmembrane signal), 1	GOLGB1	NM_004487	Golgi Apparatus	2.35	1.78	1.32	0.0181
SRP72	Intracellular Trafficking	Signal recognition particle 72kDa	SRP72	NM_006947	ER targeting	3.5	2.69	1.3	0.0285
PTP4A2	Intracellular Trafficking	Protein tyrosine phosphatase type IVA, member 2	PTP4A2	NM_003479	Phosphatase	0.56	0.72	0.77	0.04
	Intracellular Trafficking	Copine VIII	LOC144402	NM_153634	Vesicles	1.06	1.37	0.77	0.0349
ARFGEF2	Intracellular Trafficking	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	ARFGEF2	NM_006420	Exocytosis	0.46	0.72	0.63	0.0049
ARF6	Intracellular Trafficking	ADP-ribosylation factor 6	ARF6	NM_001663	Vesicles	0.54	0.86	0.63	0.0197
GOLPH3L	Intracellular Trafficking	GPP34-related protein	GPP34R	NM_018178	Regulation	0.34	0.63	0.55	0.022
MMP15	Proteolyisis	Matrix metalloproteinase 15 (membrane-inserted)	MMP15	NM_001908	Matrix metalloproteinase	16.47	7.91	2.08	0.0063
PSMB3	Proteolyisis	Proteasome beta 3 subunit	PSMB3	NM_002795	Proteasome	4.11	2.65	1.55	0.0038
CSTB	Proteolyisis	Cystatin B	CSTB	NM_000100	Inhibition	4.98	3.45	1.44	0.0179
PSMD2	Proteolyisis	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	PSMD2	NM_002808	Proteasome	1.7	1.21	1.4	0.0256
CUL4B	Proteolyisis	Cullin 4B	CUL4B	NM_003588	Ubiquitination	1.36	1	1.37	0.0123
PSMB1	Proteolyisis	Proteasome (prosome, macropain) subunit, beta type, 1	PSMB1	NM_002793	Proteasome	7.31	5.35	1.37	0.0296
MMP19	Proteolyisis	Matrix metalloproteinase 19	MMP19	NM_002429	Matrix metalloproteinase	1.23	0.9	1.37	0.0204
PSMA1	Proteolyisis	Proteasome (prosome, macropain) subunit, alpha type, 1	PSMA1	NM_002786	Proteasome	3.31	2.45	1.35	0.0327
TIMP4	Proteolyisis	Tissue inhibitor of metalloproteinase 4	TIMP4	NM_003256	TIMP	2.21	1.64	1.35	0.0063
TIMP1	Proteolyisis	Tissue inhibitor of metalloproteinase 1	TIMP1	NM_003254	TIMP	2.83	2.12	1.33	0.0193
MMP11	Proteolyisis	Matrix metalloproteinase 11	MMP11	NM_005940	Matrix metalloproteinase	20.55	15.49	1.33	0.0178
UBC	Proteolyisis	Ubiquitin C	UBC	NM_021009	Ubiquitination	16.35	12.33	1.33	0.0298
PSMB4	Proteolyisis	Proteasome (prosome, macropain) subunit, beta type, 4	PSMB4	NM_002796	Proteasome	5.72	4.4	1.3	0.0337
	Proteolyisis	N-acetylated alpha-linked acidic dipeptidase-like;Ileal dipeptidylpeptidase	NAALADASEL	NM_005468	Peptidase	0.82	1.08	0.76	0.0022
FAP	Proteolyisis	Fibroblast activation protein, alpha	FAP	NM_004460	Serine protease	0.64	0.88	0.73	0.0361
GGH	Proteolyisis	Gamma-glutamyl hydrolase	GGH	NM_003878	Lysosomal enzyme	0.42	0.8	0.52	0.0075
RPS23	Protein Biosynthesis	Ribosomal protein S23	RPS23	NM_001025	Ribosomal protein	25.5	16.26	1.57	0.0198
RPS17	Protein Biosynthesis	Ribosomal protein S17	RPS17	NM_001021	Ribosomal protein	21.98	14.04	1.57	0.0128
RPL14	Protein Biosynthesis	Ribosomal protein L14	RPL14	NM_003973	Ribosomal protein	5.62	3.65	1.54	0.0197
MRPS24	Protein Biosynthesis	Mitochondrial ribosomal protein S24	MRPS24	NM_032014	Ribosomal protein	0.97	0.63	1.53	0.0092
RPL18A	Protein Biosynthesis	Ribosomal protein L18a	RPL18A	NM_000980	Ribosomal protein	12	7.95	1.51	0.011
RBM17	Protein Biosynthesis	Splicing factor (45kD)	MGC14439	NM_032905	mRNA Splicing	1.99	1.33	1.5	0.0062
NARS	Protein Biosynthesis	Asparaginyl-tRNA synthetase	NARS	NM_004539	tRNA ligase	1.98	1.32	1.5	0.0117
RPL4	Protein Biosynthesis	Ribosomal protein L4	RPL4	NM_000968	Ribosomal protein	3.01	2.03	1.48	0.0076
HSP90AB1	Protein Biosynthesis	Heat shock 90kDa protein 1, beta	HSPCB	NM_007355	Folding	37.61	25.76	1.46	0.0452
MRPL32	Protein Biosynthesis	Mitochondrial ribosomal protein L32	MRPL32	NM_031903	Ribosomal protein	1.64	1.13	1.45	0.0038
RPLP0	Protein Biosynthesis	Ribosomal protein, large, P0	RPLP0	NM_001002	Ribosomal protein	13.94	9.78	1.43	0.0235
RPL7	Protein Biosynthesis	Ribosomal protein L7	RPL7	NM_000971	Ribosomal protein	6.34	4.45	1.42	0.0093
RPSA	Protein Biosynthesis	Laminin receptor 1 (67kD, ribosomal protein SA)	LAMR1	NM_002295	Ribosomal protein	16.35	11.74	1.39	0.0287
EIF3F	Protein Biosynthesis	Eukaryotic translation initiation factor 3, subunit 5 (epsilon, 47kD)	EIF3S5	NM_003754	Translation Factor	7.96	5.75	1.38	0.0237
CCT6A	Protein Biosynthesis	Chaperonin containing TCP1, subunit 6A (zeta 1)	CCT6A	NM_001762	Folding	7.18	5.2	1.38	0.043
KARS	Protein Biosynthesis	Lysyl-tRNA synthetase	KARS	NM_005548	tRNA ligase	4.02	2.94	1.37	0.0252
TCP1	Protein Biosynthesis	Acetyl-Coenzyme A acetyltransferase 2	TCP1	NM_005891	Folding	3.93	2.88	1.36	0.0135
METAP2	Protein Biosynthesis	Methionine aminopeptidase	METAP2	NM_006838	Translation Factor	2.05	1.51	1.36	0.0353
RPS3A	Protein Biosynthesis	Ribosomal protein S3a	RPS3A	NM_001006	Ribosomal protein	16.22	12.14	1.34	0.0023
SNRPG	Protein Biosynthesis	Small nuclear ribonucleoprotein polypeptide G	SNRPG	NM_003096	mRNA Splicing	4.97	3.73	1.33	0.046
RPS10	Protein Biosynthesis	Ribosomal protein S10	RPS10	NM_001014	Ribosomal protein	22.35	16.77	1.33	0.0319
U2AF2	Protein Biosynthesis	U2 small nuclear ribonucleoprotein auxiliary factor (65kD)	U2AF65	NM_007279	mRNA processing	2.49	1.87	1.33	0.0079
RPL11	Protein Biosynthesis	Ribosomal protein L11	RPL11	NM_000975	Ribosomal protein	6.77	5.1	1.33	0.044
PCBP1	Protein Biosynthesis	Poly(rC)-binding protein 1	PCBP1	NM_006196	mRNA modification	9.66	7.28	1.33	0.0155
ART3	Protein Biosynthesis	ADP-ribosyltransferase 3	ART3	NM_001179	Ribosylation	9.42	7.15	1.32	0.0098
RPL9	Protein Biosynthesis	Ribosomal protein L9	RPL9	NM_000661	Ribosomal protein	9.42	7.19	1.31	0.0041
TARS	Protein Biosynthesis	Threonyl-tRNA synthetase	TARS	NM_003191	tRNA ligase	2.42	1.85	1.3	0.0465
FAU	Protein Biosynthesis	Ribosomal protein S30	FAU	NM_001997	Ribosomal protein	0.72	0.96	0.75	0.0366
U2SURP	Protein Biosynthesis	U2-associated SR140 protein	SR140	AB002330	mRNA processing	0.59	0.8	0.74	0.0283
ST6GAL1	Protein Biosynthesis	Sialyltransferase 1 isoform a	SIAT1	NM_003032	Protein Modification	1.69	2.49	0.68	0.0043
	Protein Biosynthesis	Hypothetical protein MGC3207		AK026666	Translation Factor	0.68	1.03	0.66	0.0044
RBM8A	Protein Biosynthesis	RNA binding motif protein 8A	RBM8A	NM_005105	mRNA modification	0.61	0.93	0.66	0.0421
PRDX1	Metabolism	Peroxiredoxin 1	PRDX1	NM_002574	Energy	9.59	6.03	1.59	0.0179
MDH1	Metabolism	Cytosolic malate dehydrogenase	MDH1	NM_005917	Carbohydrate	5.29	3.36	1.58	0.019
GAPDH	Metabolism	Glyceraldehyde-3-phosphate dehydrogenase	GAPD	NM_002046	Carbohydrate	20.61	13.1	1.57	0.026
ALDOB	Metabolism	Aldolase B, fructose-bisphosphate	ALDOB	NM_000035	Carbohydrate	12.66	8.17	1.55	0.0207
LDHA	Metabolism	Lactate dehydrogenase A	LDHA	NM_005566	Carbohydrate	8.24	5.32	1.55	0.0184
PKM	Metabolism	Pyruvate kinase, muscle	PKM2	NM_002654	Carbohydrate	21.12	13.71	1.54	0.018
CYCS	Metabolism	Cytochrome c-1	CYCS	NM_018947	Energy	1.64	1.07	1.53	0.0075
ACACB	Metabolism	Acetyl-Coenzyme A carboxylase beta	ACACB	NM_001093	Lipid	2.71	1.77	1.53	0.0023
FTH1	Metabolism	Ferritin, heavy polypeptide 1	FTH1	NM_002032	Iron-binding	15.54	10.17	1.53	0.0254
CYP51A1	Metabolism	Cytochrome P450, family 51	CYP51A1	NM_000786;	Lipid	4.29	2.85	1.5	0.0436
COX5A	Metabolism	Cytochrome c oxidase subunit Va	COX5A	NM_004255	Energy	3.02	2.03	1.49	0.0055
TPI1	Metabolism	Triosephosphate isomerase 1	TPI1	NM_000365	Lipid	14.45	9.73	1.48	0.0198
F13A1	Metabolism	Coagulation factor XIII A1subunit	F13A1	NM_000129	Systemic	2.7	1.82	1.48	0.0066
SAT1	Metabolism	Spermidine/spermine N1-acetyltransferase	SAT	NM_002970	Amino acid	5.93	4.01	1.48	0.0306
GLA	Metabolism	Galactosidase, alpha	GLA	NM_000169	Carbohydrate	1.13	0.78	1.45	0.0008
PGK1	Metabolism	Phosphoglycerate kinase 1	PGK1	NM_000291	Carbohydrate	10.44	7.19	1.45	0.0115
HYAL3	Metabolism	Hyaluronoglucosaminidase 3	HYAL3	NM_003549	Complex carbohydrate	1.39	0.97	1.43	0.0112
PAPSS1	Metabolism	3-phosphoadenosine 5-phosphosulfate synthase 1	PAPSS1	NM_005443	Amino acid	2.42	1.72	1.41	0.0293
NQO1	Metabolism	NAD(P)H dehydrogenase, quinone 1	NQO1	NM_000903	Energy	1.55	1.11	1.39	0.0115
ATP5G3	Metabolism	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9) isoform 3	ATP5G3	NM_001689	Energy	10.04	7.31	1.37	0.0312
FDFT1	Metabolism	Farnesyl-diphosphate farnesyltransferase 1	FDFT1	NM_004462	Lipid	1.45	1.06	1.36	0.0017
NDUFB5	Metabolism	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5	NDUFB5	NM_002492	Energy	1.99	1.48	1.35	0.0307
PTDSS1	Metabolism	Phosphatidylserine synthase 1	PTDSS1	NM_014754	Lipid	3.55	2.63	1.35	0.009
GPI	Metabolism	Glucose phosphate isomerase	GPI	NM_000175	Carbohydrate	2.44	1.82	1.34	0.0043
ATP5O	Metabolism	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	ATP5O	NM_001697	Energy	7.13	5.32	1.34	0.0163
BCS1L	Metabolism	BCS1 (yeast homolog)-like	BCS1L	NM_004328	Energy	1.08	0.8	1.34	0.0398
	Metabolism	Inorganic pyrophosphatase 2	SID6-306	NM_006903	Carbohydrate	1.52	1.14	1.34	0.034
ALDOA	Metabolism	Aldolase A, fructose-bisphosphate	ALDOA	NM_000034	Carbohydrate	5.98	4.5	1.33	0.0329
UCP2	Metabolism	Uncoupling protein 2 (mitochondrial, proton carrier)	UCP2	NM_003355	Energy	3.72	2.81	1.33	0.018
ETFA	Metabolism	Electron-transfer-flavoprotein, alpha polypeptide	ETFA	NM_000126	Energy	3.83	2.9	1.32	0.0242
CYP17A1	Metabolism	Cytochrome P450, family 17	CYP17	NM_000102	Lipid	1.21	0.92	1.32	0.0267
PRDX3	Metabolism	Peroxiredoxin 3	PRDX3	NM_006793	Energy	1.68	1.28	1.31	0.0491
PRDX5	Metabolism	Peroxiredoxin 5	PRDX5	NM_012094	Energy	2.7	2.06	1.31	0.0048
VWF	Metabolism	Von Willebrand factor	VWF	NM_000552	Systemic	5.06	3.87	1.31	0.0301
ADH5	Metabolism	Class III alcohol dehydrogenase 5 chi subunit	ADH5	NM_000671	Carbohydrate	2.65	2.04	1.3	0.0021
CYP27A1	Metabolism	Cytochrome P450, family 27, subfamily A, polypeptide	CYP27A1	NM_000784	Energy	0.69	0.91	0.76	0.0021
TMLHE	Metabolism	Trimethyllysine hydroxylase, epsilon	TMLHE	NM_018196	Lipid	0.83	1.14	0.73	0.003
ACAD8	Metabolism	Acyl-Coenzyme A dehydrogenase family, member 8	ACAD8	NM_014384	Lipid	0.61	0.85	0.72	0.0335
GSTA2	Metabolism	Glutathione S-transferase A2	GSTA2	NM_145740	Amino acid	0.57	0.81	0.7	0.0178
IPPK	Metabolism	Chromosome 9 open reading frame 12	C9orf12	NM_022755	Complex carbohydrate	0.53	0.75	0.7	0.0127
GK2	Metabolism	Glycerol kinase 2	GK2	NM_033214	Lipid	0.66	1.03	0.64	0.0245
CYBA	Metabolism	Cytochrome b-245, alpha polypeptide	CYBA	NM_000101	Energy	0.38	0.64	0.59	0.0067
