Gene name	Description	Entrez Gene ID	ANOVA p-value	Mma20 1 dpi fold change	Mma20 1 dpi p-value	E11 1 dpi fold change	E11 1 dpi p-value	Mma20 6 dpi fold change	Mma20 6 dpi p-value	E11 6 dpi fold change	E11 6 dpi p-value	Function
zp3b	zona pellucida glycoprotein 3 b; chorion proteic component	64692	0.00001	-1.34	0.14355	3.09	1.12E-09	-1.21	0.32993	1.05	0.83279	BP_cellular component organization and biogenesis
slc25a27	solute carrier family 25, member 27	393312	0.00112	-2.45	1.13E-25	-1.64	1.73E-14	-2.15	1.27E-14	-2.11	9.52E-07	BP_cellular component organization and biogenesis
ctsl1b	cathepsin L, 1 b; cathepsin L, b; cathepsin L1, b; hatching gland gene 1	30443	0.00528	1.22	0.05702	2	2.97E-10	5.12	1.80E-16	2.44	3.17E-06	BP_cellular component organization and biogenesis
tuba4l	tubulin, alpha 4 like	327377	0.00452	-1.52	3.34E-08	1.02	0.89475	1.39	0.043	-1.39	0.03405	BP_cellular component organization and biogenesis
wu:fj49c01	hypothetical protein LOC336116; Bcl-2/adenovirus E1B 19kD interaction protein 3C	336116	0.00101	1.6	2.22E-12	2.42	6.80E-23	2.5	4.19E-26	2.17	8.84E-08	BP_cellular component organization and biogenesis
nr1i2	nuclear receptor subfamily 1, group I, member 2; pregnane X receptor	565875	0.00726	1.11	0.46239	2.19	3.84E-07	1.87	8.23E-08	1.95	2.77E-08	BP_cellular component organization and biogenesis
nrp1a	neuropilin 1a; neuropilin 1 a	353246	3.45E-11	-1.26	0.25493	3.56	0	1.2	0.2298	3.97	0	BP_cellular component organization and biogenesis
zgc:63676	hypothetical protein LOC393453	393453	0.00003	-1.42	0.01148	1.83	0.00001	-1.12	0.4081	1.59	0.00504	BP_cellular component organization and biogenesis
zgc:55995	hypothetical protein LOC393209	393209	0.00003	1.01	0.86281	1.7	8.09E-06	1.29	0.05736	1.17	0.08411	BP_cellular component organization and biogenesis
zgc:63736	hypothetical protein LOC393458	393458	0.00001	-2.04	0	-1.28	0.01092	-2.69	0	-1.53	0.00027	BP_cellular component organization and biogenesis
rarga	retinoic acid receptor gamma; rarg2; etID33387.23; zRAR-gamma-2; etID309710.23	30606	0.001	1.43	7.15E-07	2.15	7.19E-24	1.31	0.00901	1.35	0.01597	BP_cellular component organization and biogenesis
zgc:66125	hypothetical protein LOC393796	393796	3.36E-07	1.23	0.01351	2.32	8.88E-38	2.53	0	1.39	0.00035	BP_cellular component organization and biogenesis
zgc:65861	H1 histone family, member 0	321618	0.00622	1.65	8.64E-07	2.59	1.54E-22	-1.05	0.59505	1.71	0.0003	BP_cellular component organization and biogenesis
ptk2.1	protein tyrosine kinase 2.1; focal adhesion kinase; PTK2 protein tyrosine kinase 2	142986	0.00925	1.35	1.13E-10	1.59	4.20E-45	1.08	0.26238	1.31	0.00072	BP_cellular component organization and biogenesis
mid1ip1	MID1 interacting protein 1; gastrulation specific protein-like	322977	5.14E-06	-2.34	0	-1.61	8.05E-12	-3.07	0	-2.46	0	BP_cellular component organization and biogenesis
robo2	roundabout homolog 2; ast; astray	60309	1.36E-11	-1.31	9.09E-06	1.57	8.20E-14	-1.07	0.43201	1.43	3.34E-08	BP_cellular component organization and biogenesis
nudt1	nudix (nucleoside diphosphate linked moiety X)-type motif 1	406727	0.00059	1.36	1.02E-07	2	2.92E-18	1.53	1.54E-12	1.36	1.93E-07	BP_cellular component organization and biogenesis
h2afvl	histone 2A family member ZA	403077	2.79E-08	1.3	1.09E-06	2.33	1.73E-32	1.81	1.49E-20	1.51	2.47E-07	BP_cellular component organization and biogenesis
tube1	tubulin, epsilon 1	393960	4.77E-09	-1.27	0.00208	1.53	2.47E-13	-1.38	0.01018	1.13	0.08915	BP_cellular component organization and biogenesis
cat	catalase	30068	2.78E-06	1.22	4.26E-07	1.6	0	-1.6	0	1.71	3.59E-11	BP_cellular component organization and biogenesis
sema3ab	semaphorin 3ab; semaphorin 1b	30267	0.00065	1.23	0.10877	2.2	7.57E-20	-1.11	0.03466	1.26	0.04276	BP_cellular component organization and biogenesis
esr1	estrogen receptor 1; estrogen receptor alpha	259252	7.58E-09	-1.02	0.73835	2.09	1.19E-17	1.4	0.00003	1.16	0.04877	BP_cellular component organization and biogenesis
zgc:109721	transmembrane protein 142A; calcium release-activated calcium channel protein 1	402892	2.34E-07	-1.56	3.12E-26	1.09	0.3765	-1.29	0.00027	-1.02	0.91065	BP_immune system development
si:busm1-194e12.11	hypothetical protein LOC368993; alpha chain	368993	0.00009	-16.81	7.44E-10	1.39	0.52298	-20.19	7.03E-12	5.64	0.00038	BP_immune system development
stat5.1	signal transducer and activator of transcription 5.1; signal transducer and activator of transcription 5B	369197	0.00263	-1.14	0.5079	2.41	0.00001	1.26	0.23835	1.01	0.95607	BP_immune system development
bmp4	bone morphogenetic protein 4; etID309887.17	30612	0.00086	-1.07	0.58235	1.64	4.27E-08	-1.28	0.17628	1.27	0.22369	BP_immune system development
ba2	ba2 globin	30217	0.00054	-1.85	7.10E-13	-1.09	0.39767	-4.41	0	1.83	1.68E-06	BP_immune system development
melk	maternal embryonic leucine zipper kinase; zMelk-like	30724	0.00196	1.13	0.18943	1.7	2.20E-14	2.22	9.87E-21	1.22	0.01659	BP_immune system development
nrp1a	neuropilin 1a; neuropilin 1 a	353246	3.45E-11	-1.26	0.25493	3.56	0	1.2	0.2298	3.97	0	BP_immune system development
