Rank	ProbeID	M	A	t	P.Value	Fold_Change	Representative_Public_ID	Gene_Title	Gene_Symbol	Entrez_gene	Chromosome location	Ensembl	Genome.Version
16	1426474_at	0.486487762	6.076177717	4.657467166	0.001097305	1.401029916	AI851949	ATP synthase mitochondrial F1 complex assembly factor 2	Atpaf2	246782	chr11 B2	ENSMUSG00000042709	Feb. 2006 (NCBI Build 36)
17	1459702_at	0.742821179	3.269825243	4.571401381	0.001243309	1.673445051	BB748702				chr15		Feb. 2006 (NCBI Build 36)
18	1429453_a_at	-0.489904858	7.030081551	-4.496486515	0.001387332	-1.40435226	BM209870	mitochondrial ribosomal protein L55	Mrpl55	67212	chr11 B2	ENSMUSG00000036860	Feb. 2006 (NCBI Build 36)
19	1428891_at	-0.69445549	8.284734145	-4.48247907	0.001416184	-1.61827354	AK008716				chr5		Feb. 2006 (NCBI Build 36)
20	1416137_at	-0.449175015	5.861303234	-4.464199262	0.001454803	-1.365259329	BC008997	annexin A7	Anxa7	11750	chr14 A2|14 2.5 cM	ENSMUSG00000021814	Feb. 2006 (NCBI Build 36)
21	1434072_at	0.535551127	6.004880772	4.432880829	0.001523601	1.449495774	AV299469	Smith-Magenis syndrome chromosome region, candidate 7 homolog (human)	Smcr7	237781	chr11 B2	ENSMUSG00000018599	Feb. 2006 (NCBI Build 36)
22	1453767_a_at	0.377898169	8.28087416	4.429871443	0.001530392	1.299447339	AK008226	5,3-nucleotidase, mitochondrial	Nt5m	103850	chr11 B	ENSMUSG00000032615	Feb. 2006 (NCBI Build 36)
23	1417692_at	0.506547458	7.512225049	4.426579475	0.001537858	1.420646347	NM_021354	developmentally regulated GTP binding protein 2	Drg2	13495	chr11 B2|11 33.85 cM	ENSMUSG00000020537	Feb. 2006 (NCBI Build 36)
24	1448189_a_at	0.596544841	6.819783603	4.415421522	0.001563453	1.512090869	NM_022009	flightless I homolog (Drosophila)	Flii	14248	chr11 B|11 34.0 cM	ENSMUSG00000002812	Feb. 2006 (NCBI Build 36)
25	1430535_at	-0.396694632	5.664160801	-4.398286602	0.001603646	-1.316488238	BB045401	TSC22 domain family 2	Tsc22d2	72033	chr3 D	ENSMUSG00000027806	Feb. 2006 (NCBI Build 36)
26	1452710_at	-0.4147612	5.306439591	-4.370527526	0.001671113	-1.333078003	AK010322	RNA pseudouridylate synthase domain containing 4	Rpusd4	71989	chr9 A5.3	ENSMUSG00000032044	Feb. 2006 (NCBI Build 36)
27	1449390_at	-0.486730776	4.217661477	-4.345250777	0.001735179	-1.401265932	NM_025663	G patch domain containing 4	Gpatc4	66614	chr3 F1	ENSMUSG00000028069	Feb. 2006 (NCBI Build 36)
28	1443900_at	-0.485015703	3.062151672	-4.300441185	0.001855264	-1.399601099	AV117964	chromodomain helicase DNA binding protein 8	Chd8	67772	chr14 C1	ENSMUSG00000035714	Feb. 2006 (NCBI Build 36)
29	1417574_at	0.462588423	6.797869274	4.184391588	0.002209242	1.378011973	NM_013655	chemokine (C-X-C motif) ligand 12	Cxcl12	20315	chr6 F1|6 53.0 cM	ENSMUSG00000061353	Feb. 2006 (NCBI Build 36)
30	1448064_at	0.438327329	2.509510134	4.170499174	0.002256197	1.355032382	BG079520	RAN binding protein 9	Ranbp9	56705	chr13 A4		Feb. 2006 (NCBI Build 36)
31	1422869_at	0.61828154	6.770422193	4.116290291	0.002449789	1.535045629	NM_008587	c-mer proto-oncogene tyrosine kinase	Mertk	17289	chr2 F1		Feb. 2006 (NCBI Build 36)
32	1446497_at	0.674282646	4.315635253	4.089707948	0.002551084	1.595803091	BB499356	Neuron navigator 1	Nav1	215690	chr1 E4		Feb. 2006 (NCBI Build 36)
33	1421694_a_at	0.422430642	3.278694601	4.038292998	0.002759805	1.340183585	NM_019389	chondroitin sulfate proteoglycan 2	Cspg2	13003	chr13 C3|13 55.0 cM	ENSMUSG00000021614	Feb. 2006 (NCBI Build 36)
34	1438133_a_at	0.424379002	2.680250144	4.019625179	0.002839997	1.341994726	BM202770	cysteine rich protein 61	Cyr61	16007	chr3 H2|3 72.9 cM	ENSMUSG00000028195	Feb. 2006 (NCBI Build 36)
35	1452013_at	0.440142354	2.817845805	4.013021837	0.00286895	1.356738193	AF156549	ATPase, class V, type 10A	Atp10a	11982	chr7 B5	ENSMUSG00000025324	Feb. 2006 (NCBI Build 36)
36	1449448_at	0.502858104	6.777829271	4.007624901	0.002892845	1.417018019	BC019367	mediator of RNA polymerase II transcription, subunit 9 homolog (yeast)	Med9	192191	chr11 B1.3	ENSMUSG00000061650	Feb. 2006 (NCBI Build 36)
37	1443698_at	-0.587715455	4.655690802	-3.99029811	0.002970993	-1.502865036	BB645745	F-box protein 39	Fbxo39	327959	chr11 B4	ENSMUSG00000040483	Feb. 2006 (NCBI Build 36)
38	1428223_at	0.657662475	6.726992489	3.981894301	0.003009697	1.57752457	AK006096	major facilitator superfamily domain containing 2	Mfsd2	76574	chr4 D1	ENSMUSG00000028655	Feb. 2006 (NCBI Build 36)
39	1435385_at	-1.268717513	6.73689165	-3.977167918	0.003031698	-2.409472797	AW556161	teashirt zinc finger family member 2	Tshz2	228911	chr2 H3|2 99.0 cM		Feb. 2006 (NCBI Build 36)
40	1436996_x_at	-0.477359765	6.347093099	-3.951914138	0.003152168	-1.39219352	AV066625	P lysozyme structural	Lzp-s	17110	chr10 D2	ENSMUSG00000069515	Feb. 2006 (NCBI Build 36)
41	1429606_at	0.374098917	2.508057862	3.945735761	0.003182405	1.296029823	AI648250	RIKEN cDNA 4930527B16 gene	4930527B16Rik	75834	chr11 B1.1		Feb. 2006 (NCBI Build 36)
42	1456557_at	-0.401924478	4.851004361	-3.900889402	0.003411267	-1.321269238	BB256666	RIKEN cDNA 1700041C02 gene	1700041C02Rik	73332	chr4 D2.1	ENSMUSG00000028637	Feb. 2006 (NCBI Build 36)
43	1441129_at	0.352678337	2.665250248	3.899606253	0.003418065	1.276929023	BB155713	Septin 11	7-Aug	52398	chr5 E3|5 52.0 cM		Feb. 2006 (NCBI Build 36)
44	1425441_at	-0.376139606	2.789390863	-3.898289604	0.003425056	-1.297864352	BC024810						Feb. 2006 (NCBI Build 36)
45	1435865_at	-0.554077837	7.867566047	-3.862170737	0.003622829	-1.468229848	AV297651	histone cluster 3, H2a	Hist3h2a	319162		ENSMUSG00000036964	Feb. 2006 (NCBI Build 36)
46	1429895_at	-0.350352605	3.292947156	-3.857857072	0.003647241	-1.274872177	AK009271	RIKEN cDNA 2310010G23 gene	2310010G23Rik	69591			Feb. 2006 (NCBI Build 36)
47	1449824_at	-0.972332111	3.321008018	-3.854837454	0.003664433	-1.962009614	NM_021400	proteoglycan 4 (megakaryocyte stimulating factor, articular superficial zone protein)	Prg4	96875	chr1 G	ENSMUSG00000006014	Feb. 2006 (NCBI Build 36)
48	1434385_at	0.366742403	8.852056653	3.849572116	0.003694616	1.289437998	BG072270	target of myb1-like 2 (chicken)	Tom1l2	216810	chr11 B2	ENSMUSG00000000538	Feb. 2006 (NCBI Build 36)
49	1459717_at	-0.637100217	5.402065106	-3.845250796	0.003719582	-1.5552001	AW045505	Olfactory receptor 1344	Olfr1344	257882	chr7 A1		Feb. 2006 (NCBI Build 36)
50	1444331_at	-0.403200096	2.718277346	-3.82418865	0.00384384	-1.322438009	BG070492	Synaptoporin	Synpr	72003	chr14 A2		Feb. 2006 (NCBI Build 36)
51	1437411_at	0.387632294	3.841192182	3.819353385	0.003872979	1.308244591	BM226368	cDNA sequence BC010584	BC010584	227195	chr1 C2	ENSMUSG00000040865	Feb. 2006 (NCBI Build 36)
52	1420454_at	0.45856496	3.231904177	3.810825759	0.003924936	1.374174255	NM_009021	retinoic acid induced 1	Rai1	19377	chr11 B2		Feb. 2006 (NCBI Build 36)
53	1426051_a_at	0.387230279	6.34067455	3.76572988	0.004212164	1.307880092	BC006628	centromere protein B	Cenpb	12616	chr2 F1|2 73.9 cM	ENSMUSG00000068267	Feb. 2006 (NCBI Build 36)
54	1440558_at	-0.376537115	4.441637869	-3.764045002	0.004223315	-1.298222005	BB023955				chr18	ENSMUSG00000024566	Feb. 2006 (NCBI Build 36)
55	1446279_at	0.568382526	2.834747129	3.759516563	0.004253439	1.482860133	BB281489	Neuronal growth regulator 1	Negr1	320840	chr3 H4		Feb. 2006 (NCBI Build 36)
56	1438590_at	-0.35814264	2.412171834	-3.744945734	0.004351908	-1.281774647	BB280100	Rap guanine nucleotide exchange factor (GEF) 3	Rapgef3	223864	chr15 F1		Feb. 2006 (NCBI Build 36)
57	1418981_at	0.352377593	2.745898926	3.743829976	0.004359546	1.276662863	NM_009808	caspase 12	Casp12	12364	chr9 A1|9 1.11 cM	ENSMUSG00000025887	Feb. 2006 (NCBI Build 36)
58	1444377_at	0.38422983	2.941402009	3.743499835	0.004361809	1.305162851	BM201103	Proteasome (prosome, macropain) subunit, beta type 2	Psmb2	26445	chr4 D2.2|4 57.6 cM		Feb. 2006 (NCBI Build 36)
59	1449316_at	0.607822437	5.743011134	3.73376328	0.004429102	1.523957255	NM_134127	cytochrome P450, family 4, subfamily f, polypeptide 15	Cyp4f15	106648	chr17 B1	ENSMUSG00000073424	Feb. 2006 (NCBI Build 36)
60	1418266_at	-0.484482037	2.927671686	-3.721541005	0.004515122	-1.399083471	NM_009659	arachidonate 12-lipoxygenase, 12R type	Alox12b	11686	chr11 B3|11 37.0 cM	ENSMUSG00000032807	Feb. 2006 (NCBI Build 36)
61	1426995_a_at	-0.304352444	5.677202714	-3.698508771	0.004682025	-1.234864242	BI901126	growth factor, erv1 (S. cerevisiae)-like (augmenter of liver regeneration)	Gfer	11692	chr17 A3.3|17 10.0 cM	ENSMUSG00000040888	Feb. 2006 (NCBI Build 36)
62	1442168_at	0.430840814	2.419286312	3.682676998	0.004800497	1.348018984	BB229264	RIKEN cDNA A230071A22 gene	A230071A22Rik	320380	chr6		Feb. 2006 (NCBI Build 36)
63	1447791_s_at	-0.41984752	2.399235499	-3.682247312	0.004803756	-1.337786155	AV230778	guanine nucleotide binding protein, alpha 14	Gna14	14675	chr19 A-B|19 9.0 cM	ENSMUSG00000024697	Feb. 2006 (NCBI Build 36)
64	1441367_a_at	-0.416231369	3.135274356	-3.659463257	0.004979927	-1.334437159	BG076370	Transcribed locus					Feb. 2006 (NCBI Build 36)
65	1447096_at	0.583135033	3.828519304	3.641776771	0.005121348	1.498101147	AU042527	Transcribed locus			chr1		Feb. 2006 (NCBI Build 36)
66	1436943_at	-0.319989528	5.016047177	-3.634726458	0.00517889	-1.248321488	BB078068	cytochrome b5 domain containing 2	Cyb5d2	192986	chr11 B4	ENSMUSG00000057778	Feb. 2006 (NCBI Build 36)
67	1443516_at	0.318154942	2.466510744	3.621721979	0.005286812	1.246735083	BE953583	Ataxin 2	Atxn2	20239	chr5 F		Feb. 2006 (NCBI Build 36)
68	1455000_at	-0.709002064	5.63622997	-3.619643691	0.005304276	-1.634672996	BB538372	G protein-coupled receptor 68	Gpr68	238377	chr12 E	ENSMUSG00000047415	Feb. 2006 (NCBI Build 36)
69	1438006_at	0.471548653	6.9921665	3.608887204	0.005395637	1.386597105	BB818702	RIKEN cDNA 4933439F18 gene	4933439F18Rik	66771	chr11 B2	ENSMUSG00000018415	Feb. 2006 (NCBI Build 36)
70	1416805_at	0.537672372	2.792582851	3.608720491	0.005397066	1.451628585	NM_133187	RIKEN cDNA 1110032E23 gene	1110032E23Rik	68659	chr3 E3	ENSMUSG00000027955	Feb. 2006 (NCBI Build 36)
71	1444562_at	0.305242088	2.816766778	3.607058517	0.005411332	1.235625961	BE690666	Ubiquitin protein ligase E3C	Ube3c	100763	chr5 B1		Feb. 2006 (NCBI Build 36)
72	1436542_at	0.298799926	5.263919233	3.602848588	0.005447647	1.230120739	BE948730	Prostaglandin E receptor 1 (subtype EP1)	Ptger1	19216	chr8 C2|8 38.0 cM		Feb. 2006 (NCBI Build 36)
73	1416133_at	-0.456993771	9.328135589	-3.59759577	0.005493315	-1.372678505	BB188557	RIKEN cDNA C920006C10 gene	C920006C10Rik	76740	chr15 D1	ENSMUSG00000015002	Feb. 2006 (NCBI Build 36)
74	1438257_at	0.411507859	3.769501699	3.596313951	0.005504521	1.33007524	AW045878	Zinc finger protein 313	Zfp313	81018	chr2		Feb. 2006 (NCBI Build 36)
75	1460613_x_at	-2.878641831	3.513658351	-3.594793501	0.005517843	-7.354574269	BB026315	growth hormone	Gh	14599	chr11 D|11 65.0 cM	ENSMUSG00000020713	Feb. 2006 (NCBI Build 36)
76	1457344_at	0.671370433	2.862096396	3.570733629	0.005733204	1.592585065	BB348893	neuropilin (NRP) and tolloid (TLL)-like 2	Neto2	74513	chr8 C4		Feb. 2006 (NCBI Build 36)
77	1418591_at	-0.37495374	7.316824237	-3.547307254	0.005951354	-1.296797972	NM_021422	DnaJ (Hsp40) homolog, subfamily A, member 4	Dnaja4	58233	chr9 A5.3	ENSMUSG00000032285	Feb. 2006 (NCBI Build 36)
78	1429655_at	-0.392098722	4.026380348	-3.543455756	0.005988043	-1.312301051	AW542236	NudC domain containing 1	Nudcd1	67429	chr15 B3.2	ENSMUSG00000038736	Feb. 2006 (NCBI Build 36)
79	1458178_at	0.326602583	2.593403357	3.53735093	0.006046681	1.254056704	BG074686	RIKEN cDNA 1700012H17 gene	1700012H17Rik	242297	chr4 A1		Feb. 2006 (NCBI Build 36)
80	1436417_at	0.447684972	4.826348246	3.536394292	0.006055923	1.363849991	BG070700				chr1	ENSMUSG00000038496	Feb. 2006 (NCBI Build 36)
81	1459112_at	-0.449618403	2.931932781	-3.530032355	0.006117768	-1.365678983	BB016323	Adult male testis cDNA, RIKEN full-length enriched library, clone:4930558M01 product:unclassifiable, full insert sequence			chr3		Feb. 2006 (NCBI Build 36)
82	1429141_at	-0.375180433	4.503343316	-3.528957803	0.006128279	-1.297001756	AK004524	neuralized-like 2 (Drosophila)	Neurl2	415115	chr2 H3	ENSMUSG00000039873	Feb. 2006 (NCBI Build 36)
83	1419896_at	0.643631786	4.466462435	3.522101889	0.006195786	1.562256981	BB001228	expressed sequence BB001228	BB001228	103503	chr10		Feb. 2006 (NCBI Build 36)
84	1417576_a_at	-0.62935189	3.587451844	-3.521515103	0.0062016	-1.546869928	AK006346	OTU domain, ubiquitin aldehyde binding 2	Otub2	68149	chr12 E	ENSMUSG00000021203	Feb. 2006 (NCBI Build 36)
85	1431334_a_at	-0.438458436	5.06894547	-3.520656203	0.00621012	-1.355155528	AK017049	RIKEN cDNA 4933433P14 gene	4933433P14Rik	66787	chr12 E	ENSMUSG00000044715	Feb. 2006 (NCBI Build 36)
86	1453311_at	0.394740912	2.712110244	3.520284054	0.006213816	1.314706636	BM202851	RIKEN cDNA 2310008B10 gene	2310008B10Rik	70094	chr2		Feb. 2006 (NCBI Build 36)
87	1446805_at	0.70709745	3.739119688	3.517508345	0.006241451	1.632516361	BB433285	Gamma-aminobutyric acid (GABA-A) receptor, subunit alpha 2	Gabra2	14395	chr5 C3.1|5 40.0 cM		Feb. 2006 (NCBI Build 36)
88	1449184_at	0.598301114	5.383518474	3.513260035	0.006283997	1.513932743	NM_009402	peptidoglycan recognition protein 1	Pglyrp1	21946	chr7 A3	ENSMUSG00000030413	Feb. 2006 (NCBI Build 36)
89	1434536_at	-0.413745535	4.904081981	-3.504806628	0.006369558	-1.332139839	BQ175263	G protein-coupled receptor 75	Gpr75	237716	chr11 A4		Feb. 2006 (NCBI Build 36)
90	1448034_at	-0.424760326	3.477165217	-3.49409772	0.006479699	-1.342349481	AA215276	expressed sequence AI842396	AI842396	103844	chr11 B3	ENSMUSG00000057054	Feb. 2006 (NCBI Build 36)
91	1428814_at	0.409241276	3.067361593	3.486363737	0.006560477	1.327987232	BB543376						Feb. 2006 (NCBI Build 36)
92	1456595_x_at	-2.897983009	3.149005644	-3.47324859	0.006699869	-7.453835646	BB026232	growth hormone	Gh	14599	chr11 D|11 65.0 cM	ENSMUSG00000020713	Feb. 2006 (NCBI Build 36)
93	1444101_at	0.465925426	2.605409605	3.471528373	0.00671838	1.381203051	BB523536	outer dense fiber of sperm tails 2	Odf2	18286	chr2 B|2 19.0 cM		Feb. 2006 (NCBI Build 36)
94	1444521_at	-0.340591447	5.469719231	-3.470014707	0.006734712	-1.266275609	BM219285	Transcribed locus					Feb. 2006 (NCBI Build 36)
95	1443968_at	0.519881393	4.27967201	3.467787809	0.006758815	1.433837365	BI202667	adenosine deaminase, RNA-specific, B1	Adarb1	110532	chr10 41.4 cM		Feb. 2006 (NCBI Build 36)
96	1420510_at	-0.415451232	4.758144393	-3.460301762	0.006840504	-1.333715758	BB041813						Feb. 2006 (NCBI Build 36)
97	1420516_at	0.743683708	3.194858059	3.458171454	0.006863938	1.674445834	NM_015770	nonagouti	a	50518	chr2 H1|2 89.0 cM	ENSMUSG00000027596	Feb. 2006 (NCBI Build 36)
98	1437176_at	-0.316990211	2.427875022	-3.444688242	0.007014209	-1.245728963	AV277444	expressed sequence AI451557	AI451557	102084	chr8 C5	ENSMUSG00000074151	Feb. 2006 (NCBI Build 36)
99	1427082_at	-0.373953985	4.160276754	-3.437792886	0.007092379	-1.295899632	AK014586	RIKEN cDNA 4632417N05 gene	4632417N05Rik	74032	chr8 E1	ENSMUSG00000034308	Feb. 2006 (NCBI Build 36)
100	1416044_at	0.518135504	7.071763197	3.42892066	0.007194298	1.432103244	NM_022009	flightless I homolog (Drosophila)	Flii	14248	chr11 B|11 34.0 cM	ENSMUSG00000002812	Feb. 2006 (NCBI Build 36)
101	1432181_s_at	-0.343454366	6.63651169	-3.421609993	0.007279424	-1.268790932	AK013765	endothelial cell growth factor 1 (platelet-derived)	Ecgf1	72962	chr15 F1|15 51.6 cM	ENSMUSG00000022615	Feb. 2006 (NCBI Build 36)
102	1425637_at	-0.330733897	3.00764677	-3.410446985	0.007411435	-1.257652979	BC016247						Feb. 2006 (NCBI Build 36)
103	1420025_s_at	0.43929785	2.44777853	3.404869649	0.007478323	1.355944238	C79663	hypothetical protein LOC637741	LOC637741	637741		ENSMUSG00000062792	Feb. 2006 (NCBI Build 36)
104	1438108_at	-0.310717685	4.33970284	-3.400849835	0.007526921	-1.24032456	BB312350	RIKEN cDNA 9430067K14 gene	9430067K14Rik	241075	chr1 C2	ENSMUSG00000051344	Feb. 2006 (NCBI Build 36)
105	1418599_at	0.386628116	2.645144955	3.39050304	0.007653527	1.307334313	NM_007729	procollagen, type XI, alpha 1	Col11a1	12814	chr3 F3|3 53.1 cM	ENSMUSG00000027966	Feb. 2006 (NCBI Build 36)
106	1459126_at	0.532864104	2.884024687	3.385705485	0.007712981	1.446798597	AV015101	Neuronal growth regulator 1	Negr1	320840	chr3 H4		Feb. 2006 (NCBI Build 36)
107	1427339_at	-0.288419651	2.67377971	-3.375969874	0.007835111	-1.221301713	AW542735	solute carrier family 30 (zinc transporter), member 2	Slc30a2	230810	chr4 D3		Feb. 2006 (NCBI Build 36)
108	1452931_at	-0.387719196	5.3992579	-3.367029257	0.007949039	-1.308323397	BB772272	RIKEN cDNA 2810408M09 gene	2810408M09Rik	381406	chr2 H3	ENSMUSG00000039725	Feb. 2006 (NCBI Build 36)
109	1437728_at	0.725781659	6.211352854	3.36299354	0.008001027	1.653796428	BB397845	alkB, alkylation repair homolog 5 (E. coli)	Alkbh5	268420	chr11 B2	ENSMUSG00000042650	Feb. 2006 (NCBI Build 36)
110	1447047_at	0.638693169	3.160825514	3.354493028	0.008111692	1.556918223	AW124751	RIKEN cDNA 2610203C20 gene	2610203C20Rik	70455	chr9 A5.1		Feb. 2006 (NCBI Build 36)
111	1452217_at	0.378221357	5.700096915	3.353887452	0.008119636	1.29973847	BE570050	AHNAK nucleoprotein (desmoyokin)	Ahnak	66395	chr19 A	ENSMUSG00000069833	Feb. 2006 (NCBI Build 36)
112	1424751_at	-0.288624004	6.607741149	-3.349735822	0.008174316	-1.221474719	AB021860	activator of basal transcription	Abt1	30946	chr13 A3.2	ENSMUSG00000036376	Feb. 2006 (NCBI Build 36)
113	1426206_at	0.402180312	3.563936169	3.349585083	0.008176309	1.32150356	BC020129	roundabout homolog 4 (Drosophila)	Robo4	74144	chr9 A4	ENSMUSG00000032125	Feb. 2006 (NCBI Build 36)
114	1451487_at	-0.346764314	6.40267362	-3.327991563	0.008467019	-1.271705238	BC019800	Rab9 effector protein with kelch motifs	Rabepk	227746	chr2 B	ENSMUSG00000070953	Feb. 2006 (NCBI Build 36)
115	1427282_a_at	-0.368164384	5.360482689	-3.306164448	0.008771792	-1.290709549	AV007132	frataxin	Fxn	14297	chr19 C1	ENSMUSG00000059363	Feb. 2006 (NCBI Build 36)
116	1457367_at	0.550865564	3.110614874	3.30137011	0.008840247	1.464964357	BB667309	Amylase 2, pancreatic	Amy2	11723	chr3 F3|3 50.0 cM		Feb. 2006 (NCBI Build 36)
117	1438084_at	0.432458812	2.891420509	3.290162764	0.009002438	1.34953165	BB432628	A disintegrin and metallopeptidase domain 23	Adam23	23792	chr1 C2|1 31.5 cM		Feb. 2006 (NCBI Build 36)
118	1437151_at	0.373920389	9.756873713	3.287729968	0.009038051	1.295869454	AI427806	ubiquitin specific peptidase 22	Usp22	216825	chr11 B2	ENSMUSG00000042506	Feb. 2006 (NCBI Build 36)
119	1419759_at	0.390219465	5.808615593	3.287721353	0.009038177	1.310592758	M30697	ATP-binding cassette, sub-family B (MDR/TAP), member 1A	Abcb1a	18671	chr5 A1|5 1.0 cM		Feb. 2006 (NCBI Build 36)
120	1423856_at	-1.512666149	4.797197376	-3.284622424	0.009083754	-2.853368643	BC003896	popeye domain containing 3	Popdc3	78977	chr10 B2|10 29.0 cM		Feb. 2006 (NCBI Build 36)
121	1434188_at	0.406002558	2.601266352	3.272819997	0.009259525	1.325009367	AV220703	solute carrier family 16 (monocarboxylic acid transporters), member 12	Slc16a12	240638	chr19 C1	ENSMUSG00000009378	Feb. 2006 (NCBI Build 36)
122	1444663_at	0.326588358	2.513716315	3.266362457	0.009357183	1.254044339	BB546415	Vascular endothelial zinc finger 1	Vezf1	22344	chr11 C		Feb. 2006 (NCBI Build 36)
123	1441558_at	0.361850302	2.476090697	3.260442107	0.009447655	1.285072988	BB472163	RIKEN cDNA D230044B12 gene	D230044B12Rik	399635			Feb. 2006 (NCBI Build 36)
124	1424471_at	0.332425979	5.263053951	3.256435118	0.009509402	1.259128897	BC020532	Rap guanine nucleotide exchange factor (GEF) 3	Rapgef3	223864	chr15 F1	ENSMUSG00000022469	Feb. 2006 (NCBI Build 36)
125	1425698_a_at	0.568066565	4.878330914	3.255850671	0.009518443	1.482535412	AF408398	CREB/ATF bZIP transcription factor	Crebzf	233490	chr7 E1	ENSMUSG00000051451	Feb. 2006 (NCBI Build 36)
126	1419235_s_at	0.298594202	3.033386405	3.255595917	0.009522386	1.22994534	BG070273	helicase (DNA) B	Helb	117599	chr10 D2|10 69.0 cM	ENSMUSG00000020228	Feb. 2006 (NCBI Build 36)
127	1455712_at	-0.397674818	5.565529369	-3.252709943	0.00956718	-1.317382982	AI848909	histone cluster 3, H2a	Hist3h2a	319162			Feb. 2006 (NCBI Build 36)
128	1459383_at	0.406650777	2.486855976	3.246504086	0.009664243	1.325604841	BB557350	Zinc finger protein 52	Zfp52	22710	chr17 A3.2|17 9.9 cM		Feb. 2006 (NCBI Build 36)
129	1454755_at	-0.469761896	4.838083416	-3.237898891	0.009800521	-1.384880887	AV375361	inositol 1,4,5-trisphosphate 3-kinase C	Itpkc	233011	chr7 A3	ENSMUSG00000003752	Feb. 2006 (NCBI Build 36)
130	1430162_at	0.369927875	2.537894048	3.233748346	0.009866962	1.292288224	AK014439	RIKEN cDNA 3830417A13 gene	3830417A13Rik	70696	chrX A6	ENSMUSG00000031179	Feb. 2006 (NCBI Build 36)
131	1418537_at	-0.324590021	4.723116303	-3.22895325	0.009944301	-1.252308512	NM_026158	isochorismatase domain containing 2b	Isoc2b	67441	chr7 A1	ENSMUSG00000052605	Feb. 2006 (NCBI Build 36)
132	1425088_at	-0.3859843	4.876840144	-3.227363134	0.009970085	-1.306751033	AF112185	sodium channel, nonvoltage-gated, type I, alpha	Scnn1a	20276	chr6 F3|6 60.6 cM	ENSMUSG00000030340	Feb. 2006 (NCBI Build 36)
133	1437522_x_at	-2.571924685	3.184306805	-3.221044167	0.010073237	-5.946021521	BB025253	growth hormone	Gh	14599	chr11 D|11 65.0 cM	ENSMUSG00000020713	Feb. 2006 (NCBI Build 36)
