Significant regulation	Affy ID	Gene	Human product	Non-EC-specific expression (q-value)	Non-EC /EC Transcript ratio (per million)
Up E7 to E10	Gga.4285.1.S1_at	CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	0.49	--
Up E7 to E10	Gga.10040.2.S1_at	CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	0.57	--
Down E10 to E14	Gga.14814.1.S1_s_at	CENPO	centromere protein O	0.57	--
Down E10 to E14	Gga.12460.1.S1_at	CENPP	centromere protein P	0.57	--
Up E7 to E10	GgaAffx.26414.1.S1_s_at	CES1	carboxylesterase 1 (monocyte/macrophage serine esterase 1)	0.29	--
Up E7 to E10	Gga.8312.1.S1_s_at	CES1	carboxylesterase 1 (monocyte/macrophage serine esterase 1)	0.29	--
Down E10 to E14	GgaAffx.12587.1.S1_s_at	CKAP2	cytoskeleton associated protein 2	0.44	--
Up E7 to E10	Gga.10646.1.S1_at	CLASP2	cytoplasmic linker associated protein 2	0.33	--
Up E7 to E10	Gga.4900.3.S1_s_at	CLEC2D	C-type lectin domain family 2, member D	0.62	--
Up E10 to E14	Gga.4900.1.S1_a_at	CLEC2D	C-type lectin domain family 2, member D	0.62	--
Up E7 to E10	GgaAffx.12216.1.S1_s_at	CLTB	clathrin, light chain (Lcb)	0.38	--
Up E7 to E10	Gga.423.1.S1_at	CLU	clusterin	0.47	2.135416667
Down E10 to E14	GgaAffx.13014.1.S1_at	CMTM3	CKLF-like MARVEL transmembrane domain containing 3	0.19	--
Down E10 to E14	GgaAffx.21799.1.S1_s_at	CMTM3	CKLF-like MARVEL transmembrane domain containing 3	0.19	--
Down E10 to E14	GgaAffx.9243.1.S1_s_at	CNOT6	CCR4-NOT transcription complex, subunit 6	0.38	--
Down E5 to E7	GgaAffx.9243.1.S1_s_at	CNOT6	CCR4-NOT transcription complex, subunit 6	0.38	--
Up E5 to E7	Gga.4965.2.S1_at	COL12A1	collagen, type XII, alpha 1	0.53	2.75
Up E5 to E7	Gga.4965.1.S1_at	COL12A1	collagen, type XII, alpha 1	0.53	2.75
Up E7 to E10	Gga.4965.1.S1_at	COL12A1	collagen, type XII, alpha 1	0.53	2.75
Up E10 to E14	Gga.2558.1.S1_a_at	COL14A1	collagen, type XIV, alpha 1	0.29	--
Up E10 to E14	Gga.866.1.S1_at	COL17A1	collagen, type XVII, alpha 1	0.62	--
Up E5 to E7	Gga.19409.1.S1_s_at	COL4A2	collagen, type IV, alpha 2	0.25	3.546875
Up E5 to E7	Gga.3104.1.S1_at	COL4A2	collagen, type IV, alpha 2	0.25	3.546875
Down E10 to E14	GgaAffx.25280.1.S1_at	COTL1	coactosin-like 1 (Dictyostelium)	0.01	6.515625
Down E5 to E7	Gga.2745.1.S1_at	COX11	COX11 homolog, cytochrome c oxidase assembly protein (yeast)	0.29	--
Up E7 to E10	GgaAffx.12664.1.S1_s_at	CREG1	cellular repressor of E1A-stimulated genes 1	0.29	--
Up E5 to E7	Gga.6220.2.S1_a_at	CREM	cAMP responsive element modulator	0.44	--
Up E5 to E7	Gga.6220.1.S1_a_at	CREM	cAMP responsive element modulator	0.44	--
Up E5 to E7	Gga.11824.1.S1_at	CST7	cystatin F (leukocystatin)	0.14	--
Up E7 to E10	Gga.1094.1.S1_at	CTSD	cathepsin D	0.04	8.25
Up E7 to E10	GgaAffx.12107.1.S1_at	CYBA	cytochrome b-245, alpha polypeptide	0.04	--
Down E10 to E14	Gga.5919.1.S1_at	CYCS	cytochrome c, somatic	0	77.3125
Up E10 to E14	Gga.618.1.S1_at	CYP1A1	cytochrome P450, family 1, subfamily A, polypeptide 1	0.38	--
Up E10 to E14	Gga.1163.1.S1_at	CYP3A4	cytochrome P450, family 3, subfamily A, polypeptide 4	0.17	--
Up E10 to E14	GgaAffx.21825.1.S1_s_at	CYP3A4	cytochrome P450, family 3, subfamily A, polypeptide 4	0.17	--
Down E7 to E10	GgaAffx.5621.1.S1_at	DCLRE1A	DNA cross-link repair 1A (PSO2 homolog, S. cerevisiae)	0.62	--
Down E10 to E14	GgaAffx.25283.1.S1_s_at	DCP2	DCP2 decapping enzyme homolog (S. cerevisiae)	0.29	--
Up E7 to E10	GgaAffx.11225.1.S1_at	DNAJB2	DnaJ (Hsp40) homolog, subfamily B, member 2	0.49	--
Up E7 to E10	Gga.9057.1.S1_at	DNAJC14	DnaJ (Hsp40) homolog, subfamily C, member 14	0.57	--
Up E7 to E10	Gga.17591.1.S1_at	DOPEY2	dopey family member 2	0.62	--
Up E7 to E10	Gga.19025.1.S1_at	DUSP5	dual specificity phosphatase 5	0.29	--
Down E10 to E14	GgaAffx.22819.1.S1_at	ECT2	epithelial cell transforming sequence 2 oncogene	0.53	--
Up E7 to E10	GgaAffx.11738.1.S1_s_at	EGR1	early growth response 1	0.29	--
Up E7 to E10	Gga.4922.1.S2_at	EGR1	early growth response 1	0.29	--
Down E10 to E14	GgaAffx.11738.1.S1_s_at	EGR1	early growth response 1	0.29	--
Down E10 to E14	GgaAffx.22723.1.S1_at	EHBP1	EH domain binding protein 1	0.53	--
Up E10 to E14	Gga.8138.1.S1_at	ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	0.49	--
Down E10 to E14	GgaAffx.23072.1.S1_at	EML4	echinoderm microtubule associated protein like 4	0.38	--
Up E7 to E10	Gga.2794.1.S1_at	EP300	E1A binding protein p300	0.38	--
Up E5 to E7	Gga.3053.1.S1_at	EPHB3	EPH receptor B3	0.57	--
Up E7 to E10	GgaAffx.24999.1.S1_s_at	EPHX2	epoxide hydrolase 2, cytoplasmic	0.29	--
Up E7 to E10	Gga.19325.1.S1_at	EPHX2	epoxide hydrolase 2, cytoplasmic	0.29	--
Up E10 to E14	Gga.16936.1.S1_at	EPS8L2	EPS8-like 2	0.19	--
Down E10 to E14	Gga.5592.1.S1_s_at	ESCO2	establishment of cohesion 1 homolog 2 (S. cerevisiae)	0.44	--
Up E7 to E10	Gga.15399.1.S1_s_at	EVL	Enah/Vasp-like	0.29	4.8125
Up E7 to E10	Gga.5626.1.S1_s_at	EVL	Enah/Vasp-like	0.29	4.8125
Down E10 to E14	Gga.5626.1.S1_s_at	EVL	Enah/Vasp-like	0.29	4.8125
Up E7 to E10	GgaAffx.1396.1.S1_s_at	EVPL	envoplakin	0.62	--
Up E10 to E14	Gga.8141.1.S1_at	EVPL	envoplakin	0.62	--
Up E7 to E10	Gga.7691.1.S1_at	EXOSC5	exosome component 5	0.38	--
Up E5 to E7	Gga.514.1.S1_at	F10	coagulation factor X	0.62	--
Up E7 to E10	GgaAffx.3525.1.S1_at	F3	coagulation factor III (thromboplastin, tissue factor)	0.53	--
Up E7 to E10	Gga.8836.1.S1_at	FAM100A	family with sequence similarity 100, member A	0.53	--
Down E10 to E14	GgaAffx.26393.1.S1_s_at	FAM102A	family with sequence similarity 102, member A	0.44	--
Up E7 to E10	Gga.9931.1.S1_at	FAM38A	family with sequence similarity 38, member A	0.44	--
Up E7 to E10	Gga.6974.2.S1_at	FAM63A	family with sequence similarity 63, member A	0.62	--
Up E7 to E10	Gga.6974.1.S1_at	FAM63A	family with sequence similarity 63, member A	0.62	--
Down E10 to E14	GgaAffx.1951.1.S1_at	FAM83D	family with sequence similarity 83, member D	0.62	--
Down E10 to E14	Gga.2679.2.S1_a_at	FBLN1	fibulin 1	0.49	--
Up E5 to E7	Gga.5139.1.S1_at	FBP1	fructose-1,6-bisphosphatase 1	0.57	--
Up E7 to E10	Gga.1669.1.S1_a_at	FGF12	fibroblast growth factor 12	0.49	--
Up E7 to E10	Gga.8140.1.S1_at	FGFBP1	fibroblast growth factor binding protein 1	0.33	--
Up E7 to E10	Gga.10907.1.S1_at	FKBP8	FK506 binding protein 8, 38kDa	0.05	--
Up E7 to E10	Gga.714.1.S2_at	FMN1	formin 1	0.53	--
Up E5 to E7	Gga.4564.1.S1_a_at	FMO3	flavin containing monooxygenase 3	0.57	--
Up E5 to E7	Gga.4564.2.S1_a_at	FMO3	flavin containing monooxygenase 3	0.57	--
Up E7 to E10	Gga.4564.2.S1_a_at	FMO3	flavin containing monooxygenase 3	0.57	--
Up E7 to E10	Gga.4564.1.S1_a_at	FMO3	flavin containing monooxygenase 3	0.57	--
Up E7 to E10	GgaAffx.5942.1.S1_at	FOXP2	forkhead box P2	0.57	--
Up E7 to E10	Gga.4087.1.S1_at	FZD1	frizzled homolog 1 (Drosophila)	0.57	--
Up E7 to E10	Gga.15954.1.S1_at	GAB1	GRB2-associated binding protein 1	0.62	--
Up E7 to E10	Gga.8168.2.S1_at	GALK1	galactokinase 1	0.53	--
Down E7 to E10	Gga.15741.1.S1_at	GAS2	growth arrest-specific 2	0.44	--
Up E5 to E7	Gga.8078.1.S1_at	GAS6	growth arrest-specific 6	0.23	--
Up E7 to E10	GgaAffx.5413.1.S1_x_at	GCDH	glutaryl-Coenzyme A dehydrogenase	0.57	--
Up E5 to E7	GgaAffx.8765.2.S1_at	GFPT2	glutamine-fructose-6-phosphate transaminase 2	0.62	--
Up E10 to E14	Gga.9387.1.S1_at	GGT1	gamma-glutamyltransferase 1	0.62	--
Up E7 to E10	Gga.16916.1.S1_at	GLA	galactosidase, alpha	0.29	--
Down E5 to E7	Gga.2464.1.S2_at	GLUL	glutamate-ammonia ligase (glutamine synthetase)	0.26	5.03125
Down E10 to E14	GgaAffx.12715.1.S1_s_at	GMFB	glia maturation factor, beta	0.23	--
Down E10 to E14	GgaAffx.7833.1.S1_s_at	GNG2	guanine nucleotide binding protein (G protein), gamma 2	0.53	--
Up E10 to E14	Gga.17100.1.S1_at	GOLPH3L	golgi phosphoprotein 3-like	0.44	--
Up E10 to E14	Gga.6548.1.S1_at	GPR87	G protein-coupled receptor 87	0.62	--
Up E10 to E14	Gga.8328.1.S1_at	GPRC5A	G protein-coupled receptor, family C, group 5, member A	0.29	4.34375
Up E7 to E10	Gga.4896.1.S1_at	GPX3	glutathione peroxidase 3 (plasma)	0.49	--
Up E10 to E14	Gga.4896.1.S1_at	GPX3	glutathione peroxidase 3 (plasma)	0.49	--
Up E5 to E7	Gga.8359.1.S1_at	GSTA1	glutathione S-transferase alpha 1	0.29	--
Up E5 to E7	Gga.2533.1.S1_s_at	GSTA1	glutathione S-transferase alpha 1	0.29	--
Down E7 to E10	Gga.2533.1.S1_s_at	GSTA1	glutathione S-transferase alpha 1	0.29	--
Up E7 to E10	Gga.4223.1.S1_at	GSTM4	glutathione S-transferase mu 4	0.49	--
Up E7 to E10	Gga.6265.1.S1_at	GSTT1	glutathione S-transferase theta 1	0.53	--
Up E7 to E10	GgaAffx.26446.2.S1_s_at	GSTT1	glutathione S-transferase theta 1	0.53	--
Up E10 to E14	Gga.6265.1.S1_at	GSTT1	glutathione S-transferase theta 1	0.53	--
Down E5 to E7	GgaAffx.12217.1.S1_at	GTF2H5	general transcription factor IIH, polypeptide 5	0.62	--
Up E7 to E10	GgaAffx.5901.1.S1_at	GUCY1A3	guanylate cyclase 1, soluble, alpha 3	0.38	--
Up E7 to E10	Gga.8337.1.S1_at	HAGH	hydroxyacylglutathione hydrolase	0.57	--
Up E10 to E14	Gga.16577.1.S1_at	HEPH	hephaestin	0.62	--
Up E7 to E10	Gga.8950.1.S1_at	HERC2	hect domain and RLD 2	0.49	--
Down E10 to E14	GgaAffx.23665.1.S1_at	HIST2H2BE	histone cluster 2, H2be	0.49	--
Up E5 to E7	Gga.9239.1.S1_s_at	HLA-A	major histocompatibility complex, class I, A	0.01	6.296875
Up E10 to E14	Gga.13336.3.S1_a_at	HLA-DRB1	major histocompatibility complex, class II, DR beta 1	0.09	7.09375
Down E10 to E14	Gga.4061.2.S1_a_at	HMGB2	high-mobility group box 2	0.11	4.34375
Down E5 to E7	Gga.9639.1.S1_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	0.53	--
Up E7 to E10	Gga.4048.1.S1_at	ID3	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein	0.59	2.28125
Up E5 to E7	Gga.566.1.S1_at	ITGA1	integrin, alpha 1	0.62	--
Up E7 to E10	Gga.889.1.S1_at	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)	0.01	--
Up E7 to E10	GgaAffx.25470.1.S1_s_at	ITGB4	integrin, beta 4	0.44	3.4375
Down E10 to E14	GgaAffx.8053.1.S1_at	JARID2	jumonji, AT rich interactive domain 2	0.53	--
Up E7 to E10	GgaAffx.9068.1.S1_at	KIAA0182	KIAA0182	0.49	--
Up E7 to E10	GgaAffx.25130.1.S1_s_at	KLF5	Kruppel-like factor 5 (intestinal)	0.33	--
Down E10 to E14	GgaAffx.11578.1.S1_s_at	KPNA2	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	0.29	--
Up E7 to E10	Gga.16196.1.S1_at	KRT14	keratin 14	0.17	--
Up E10 to E14	Gga.16196.1.S1_at	KRT14	keratin 14	0.17	--
Up E10 to E14	Gga.12073.1.S1_a_at	KRT23	keratin 23 (histone deacetylase inducible)	0.03	--
Up E10 to E14	Gga.8199.1.S1_at	LAD1	ladinin 1	0.23	--
Down E10 to E14	GgaAffx.1193.1.S1_s_at	LAMA1	laminin, alpha 1	0.53	--
Up E10 to E14	Gga.4292.1.S1_at	LAMB2	laminin, beta 2 (laminin S)	0.62	2.0625
Up E10 to E14	Gga.155.1.S1_s_at	LGALS3	lectin, galactoside-binding, soluble, 3	0.38	--
Down E10 to E14	Gga.5627.1.S1_at	LIPG	lipase, endothelial	0.53	--
Down E10 to E14	Gga.1368.1.S1_at	LMNB1	lamin B1	0.62	--
Up E7 to E10	GgaAffx.10841.1.S1_s_at	LMO7	LIM domain 7	0.49	--
Up E10 to E14	GgaAffx.10841.1.S1_s_at	LMO7	LIM domain 7	0.49	--
Up E7 to E10	Gga.6517.1.S1_s_at	LOC348262	hypothetical protein LOC348262	0.49	--
Down E10 to E14	Gga.6100.2.S1_a_at	LSM6	LSM6 homolog, U6 small nuclear RNA associated (S. cerevisiae)	0.26	--
Down E10 to E14	Gga.16589.1.S1_at	LSP1	lymphocyte-specific protein 1	0.03	--
Down E10 to E14	Gga.4491.1.S1_s_at	LSP1	lymphocyte-specific protein 1	0.03	--
Down E7 to E10	Gga.2551.2.S1_s_at	LTF	lactotransferrin	0.38	--
Up E10 to E14	Gga.7004.1.S1_at	LY6E	lymphocyte antigen 6 complex, locus E	0.16	5.9375
Down E10 to E14	Gga.1984.2.A1_a_at	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	0.05	--
Up E7 to E10	GgaAffx.845.1.S1_s_at	MAP2K2	mitogen-activated protein kinase kinase 2	0.12	--
Down E5 to E7	GgaAffx.845.1.S1_s_at	MAP2K2	mitogen-activated protein kinase kinase 2	0.12	--
Up E7 to E10	Gga.12405.2.S1_a_at	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	0.53	2.171875
Up E7 to E10	Gga.4058.1.S1_at	MARCKS	myristoylated alanine-rich protein kinase C substrate	0.57	2.0625
Down E10 to E14	Gga.4058.1.S1_at	MARCKS	myristoylated alanine-rich protein kinase C substrate	0.57	2.0625
Down E10 to E14	Gga.5002.1.S1_at	MDK	midkine (neurite growth-promoting factor 2)	0.23	--
Up E5 to E7	Gga.1527.1.S1_at	METTL7A	methyltransferase like 7A	0.53	--
Down E5 to E7	GgaAffx.9824.3.S1_s_at	MINA	MYC induced nuclear antigen	0.57	--
Up E7 to E10	Gga.5888.1.S1_s_at	MLL3	myeloid/lymphoid or mixed-lineage leukemia 3	0.14	--
Up E7 to E10	Gga.5888.2.S1_a_at	MLL3	myeloid/lymphoid or mixed-lineage leukemia 3	0.14	--
Up E10 to E14	Gga.12800.1.S1_at	MMP3	matrix metallopeptidase 3 (stromelysin 1, progelatinase)	0.57	--
Down E10 to E14	GgaAffx.22971.1.S1_s_at	MPP5	membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5)	0.53	--
Down E5 to E7	Gga.8095.1.S1_at	MPP6	membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6)	0.53	--
Up E7 to E10	GgaAffx.12895.1.S1_at	MRPS6	mitochondrial ribosomal protein S6	0.17	--
Down E10 to E14	Gga.7477.1.S1_s_at	MSH6	mutS homolog 6 (E. coli)	0.44	--
Up E7 to E10	GgaAffx.21776.1.S1_s_at	MSX1	msh homeobox 1	0.57	--
Up E5 to E7	GgaAffx.11375.1.S1_at	MTSS1	metastasis suppressor 1	0.53	--
Up E7 to E10	GgaAffx.4192.1.S1_at	MUC5B	mucin 5B, oligomeric mucus/gel-forming	0.57	--
Up E10 to E14	GgaAffx.4192.1.S1_at	MUC5B	mucin 5B, oligomeric mucus/gel-forming	0.57	--
Up E7 to E10	Gga.19180.1.S1_s_at	MXI1	MAX interactor 1	0.49	--
Up E5 to E7	Gga.5108.1.S1_at	MYLK	myosin light chain kinase	0.53	2.75
Up E7 to E10	Gga.9455.1.S1_at	NAPA	N-ethylmaleimide-sensitive factor attachment protein, alpha	0.23	--
Up E7 to E10	Gga.3317.1.S1_s_at	NCOA1	nuclear receptor coactivator 1	0.49	--
Up E5 to E7	Gga.17355.1.S1_at	NEBL	nebulette	0.53	--
Up E7 to E10	Gga.1818.1.S1_s_at	NEBL	nebulette	0.53	--
Up E7 to E10	GgaAffx.25567.1.S1_at	NEFL	neurofilament, light polypeptide	0	--
Up E7 to E10	GgaAffx.20383.1.S1_s_at	NGEF	neuronal guanine nucleotide exchange factor	0.57	--
Up E7 to E10	Gga.18916.1.S1_at	NOTCH2	Notch homolog 2 (Drosophila)	0.1	--
Up E5 to E7	Gga.2587.1.S1_at	NOV	nephroblastoma overexpressed gene	0.44	--
Up E7 to E10	Gga.4130.1.S1_at	NR1H3	nuclear receptor subfamily 1, group H, member 3	0.62	--
Up E7 to E10	GgaAffx.24355.2.S1_at	NRBP2	nuclear receptor binding protein 2	0.57	--
Down E10 to E14	Gga.4321.2.S1_s_at	NT5C3L	5-nucleotidase, cytosolic III-like	0.53	--
Down E10 to E14	GgaAffx.9018.1.S1_at	NUP50	nucleoporin 50kDa	0.1	--
Up E7 to E10	Gga.603.1.S1_at	OCLN	occludin	0.57	--
Down E7 to E10	Gga.3402.1.S2_at	OLFM1	olfactomedin 1	0.62	--
Up E7 to E10	Gga.5588.1.S1_at	PDZK1IP1	PDZK1 interacting protein 1	0.29	--
Up E7 to E10	GgaAffx.20618.1.S1_s_at	PHF12	PHD finger protein 12	0.53	--
Up E7 to E10	GgaAffx.1200.1.S1_at	PHYHIPL	phytanoyl-CoA 2-hydroxylase interacting protein-like	0.53	--
Up E5 to E7	Gga.3175.1.S1_at	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	0.33	--
Down E10 to E14	Gga.3398.1.S1_at	PITX2	paired-like homeodomain 2	0.57	--
Up E7 to E10	GgaAffx.11702.1.S1_at	PLEKHF2	pleckstrin homology domain containing, family F (with FYVE domain) member 2	0.53	--
Up E7 to E10	GgaAffx.21050.1.S1_s_at	PORCN	porcupine homolog (Drosophila)	0.49	--
Up E10 to E14	Gga.17683.1.S1_s_at	PPL	periplakin	0.08	--
Up E10 to E14	GgaAffx.25423.1.S1_at	PPL	periplakin	0.08	--
Up E7 to E10	Gga.15907.1.S1_at	PRPF31	PRP31 pre-mRNA processing factor 31 homolog (S. cerevisiae)	0.26	--
Down E10 to E14	Gga.4698.1.S1_s_at	PSMC3IP	PSMC3 interacting protein	0.57	--
Up E5 to E7	Gga.3350.1.S1_at	PTGDS	prostaglandin D2 synthase 21kDa (brain)	0.62	--
Up E7 to E10	Gga.3350.1.S1_at	PTGDS	prostaglandin D2 synthase 21kDa (brain)	0.62	--
Up E5 to E7	Gga.7442.1.S1_at	PTGER3	prostaglandin E receptor 3 (subtype EP3)	0.57	--
Up E7 to E10	GgaAffx.21660.1.S1_at	PTPRR	protein tyrosine phosphatase, receptor type, R	0.57	--
Up E7 to E10	Gga.15938.1.S1_at	RABGAP1	RAB GTPase activating protein 1	0.53	--
Up E7 to E10	Gga.6714.1.S1_at	RAD9A	RAD9 homolog A (S. pombe)	0.53	--
Up E5 to E7	GgaAffx.21109.1.S1_s_at	RAPGEF5	Rap guanine nucleotide exchange factor (GEF) 5	0.62	--
