GenBank Acc. No.	Gene Description
M24283_at	(ICAM1) intercellular adhesion molecule 1 (CD54) up
M26958_at	(PTHrP)
M33600_f_at	(HLA-DRB5)
M34996_at	cell surface glycoprotein class II
M35128_at	(CHRM1) cholinergic receptor, muscarinic 1
M57466_s_at	(HLA-DPB1) MHC, class II, DP beta 1
M59465_at	(A20) TNFAIP1
M62424_at	(F2R) coagulation factor II receptor
M83554_at	(TNFRSF8) TNF receptor superfamily, member 8 CD30
M83664_at	(HLA-DPB1) MHC, class II, DP beta 1
M83738_at	(PTPN9) protein tyrosine phosphatase, non-receptor type 9
M84349_at	(CD59)
U03398_at	(TNFSF9) ILA ligand (TNF related)
U07550_at	(HSPE1) heat shock protein 10kDa
U10550_at	(gem) GTPase
U12767_at	(MINOR)
U29343_at	(HMMR) hyaluronan-mediated motility receptor (RHAMM)
U31628_at	(IL15RA) interleukin 15 receptor, alpha
U33017_at	(SLAM) signaling lymphocytic activation molecule
U37546_s_at	(API1) apoptosis inhibitor 1
U45983_at	(CCR8)
U64198_at	(IL12RB2) interleukin 12 receptor, beta 2
U68030_at	(CCR6)
U70426_at	(RGS16) regulator of G-protein signalling 16
U72761_at	(KPNB3) beta 3 karyopherin (importin)
X00274_at	(HLA-DRA)
X01057_at	(IL2RA) interleukin 2 receptor, alpha
X01060_at	(TFRC) transferrin receptor (p90, CD71)
X02317_at	(SOD1) superoxide dismutase
X02419_rna1_at	(PLAU) plasminogen activator, urokinase
X02530_at	(INP1-) IFN-induced protein
X02910_at	TNF alpha
X03068_f_at	precursor class II antigen
X03100_cds2_at	(HLA-SB) MHC, class II antigen beta
X62744_at	(HLA-DM) MHC, class II, DM alpha
X77584_at	(TXN) thioredoxin
Y00636_at	(CD58)
Z97074_at	Rab9 effector GTPase p40
AB003698_at	(CDC7L1)
D10495_at	(1-May) Protein Kinase C delta
D10522_at	(MACS) MARCKS, 80K-L
J02902_at	protein phosphatase 2A regulatory alpha subunit
L08488_at	(INPP1) inositol polyphosphate-1-phosphatase
L08835_rna2_at	(DMPK) dystrophia myotonica-protein kinase
L11329_at	(DUSP2) dual specificity phosphatase 2
L20320_at	(CDK7) cyclin-dependent kinase 7
L37043_at	(CSNK1E) casein kinase 1, epsilon
L76927_rna1_at	(GALK1) galactokinase 1
L77886_at	(PTPRK) protein tyrosine phosphatase, receptor type, K
M68520_at	(CDK2) cyclin-dependent kinase 2
M80359_at	(MARK3) MAP/microtubule affinity-regulating kinase 3
U15932_at	(DUSP5) dual specificity phosphatase 5
U37022_rna1_at	(CDK4) cyclin-dependent kinase 4
U43522_at	(PTK2B) protein tyrosine kinase 2 beta
U48296_at	(PTP4A1) protein tyrosine phosphatase type IVA, member 1
U48807_at	(DUSP4) dual specificity phosphatase 4
U59919_at	(SMAP) Smg GDS-associated protein
X02419_rna1_at	(PLAU) plasminogen activator, urokinase
X17620_at	(NME1) non-metastatic cells 1, protein (NM23A)
X54941_at	(CKS1) CDC28 protein kinase 1
X54942_at	(CKS2) CDC28 protein kinase 2
X56468_at	14.3.3 protein tau
X56494_at	(PKM2) pyruvate kinase, muscle
X89416_at	(PPP5)
Y00815_at	(PTPRF) protein tyrosine phosphatase, receptor type, F
Y07604_at	(NME4) non-metastatic cells 4
Y10275_at	(PSP) phosphoserine phosphatase
Z18951_at	(CAV1) caveolin 1, caveolae protein, 22kD
D43767_at	(SCYA17) small inducible cytokine subfamily A (Cys-Cys)
J00219_at	(IFNG) interferon gamma
J04156_at	(IL7) interleukin 7
L00058_at	c-myc protein, second translated
L08187_at	(EBI3) cytokine receptor
M13207_at	(CSF2) GM-CSF
M13755_at	(ISG15) IFN-induced 15kDa protein
M14745_at	bcl-2 protein
M26062_at	(IL2RB) interleukin 2 receptor, beta
M28130_at	(IL8) interleukin 8
M28209_at	(RAB1) RAB1, member RAS oncogene family
M28215_at	(RAB5A) GTP-binding protein
M30135_at	(P40) T-cell and mast cell growth factor precursor
M37435_at	(CSF1)
M57506_rna1_at	(SCYA1) I-309
M57731_at	(GRO3) GRO3 oncogene
M59941_at	(CSF2RB) GM-CSF receptor beta chain
M65291_at	(IL12A) interleukin 12 A
U01038_at	(pLK) polo-like kinase
U03397_at	(TNFRSF9) ILA
U11877_at	(IL8RB) interleukin 8 receptor beta
U14407_at	(IL15) interleukin 15
U31120_rna1_at	(IL13) interleukin 13
U31628_at	(IL15RA) interleukin 15 receptor, alpha
U64198_at	(IL12RB2) interleukin 12 receptor, beta 2
U83171_at	(SCYA22) small inducible cytokine subfamily A (Cys-Cys)
X01057_at	(IL2RA) interleukin 2 receptor, alpha
X04602_s_at	(IL6) interleukin 6 (interferon, beta 2) up
X12794_at	(ERBAL2) v-erb-a
X51345_at	(JUNB) jun B proto-oncogene
681_s_at	(JUND) jun D proto-oncogene
X58298	(IL6R) interleukin 6 receptor
X67951_at	(PAGA) proliferation-associated gene A
X75042_at	(REL) v-rel avian reticuloendotheliosis viral oncogene up homolog
Y00081_s_at	BSF-2/IL6 gene
Y10659_at	(IL13RA1) interleukin 13 receptor alpha 1
AF005775_at	(CFLAR) CASP8 and FADD-like apoptosis regulator
D00017_at	(ANX2) annexin II
D13639	cyclin D2 up
D14878_at	(D123) D123 gene product S-phase entry regulator
D21063_at	(MCM2) minichromosome maintenance deficient 2 (mitotin)
D55716	(P1cdc47) MCM7
D84557_at	(HsMcm6)
J04611_at	(G22P1) 70kDa KU autoantigen
J05614_at	PCNA
L07493_at	(RPA3) replication factor
L07541_at	(RFC3) replication factor 3
L20320_at	(CDK7) cyclin-dependent kinase 7
L25876_at	(CIP2) associated with cyclin-dependent kinase
M15796_at	PCNA
M16441_cds1_at	(TNF) tumor necrosis factor (TNF superfamily, down member 2)
M17754_at	(BN51T) BN51 (BHK21)
M25753_at	cyclin B1 up
M34065_at	(CDC25C) cell division cycle 25C
M36089_at	(MSH2) X-ray repair complementing defective repair pr
M60974	GADD45 up
M68520_at	(CDK2) cyclin-dependent 2
M74093_at	(CCNE1) cyclin E1
M87339_at	(RFC4) replication factor 4
M96944_at	(BSAP) B-cell specific transcription factor
M97815_at	putative CRABP-II retinoic acid binding protein II
U03911_at	(MSH2) mutS (E. coli) homolog 2
U05340_at	(CDC20)
U09579_at	p21/CIP1/WAF1 up
U30872_at	mitosin
U33286_at	(CSE1L) chromosome segregation
U33761_at	(Skp2) cyclin A/CDK2-associated p45
U37022_at	(CDK4) cyclin-dependent kinase 4
U37546_s_at	(API1) apoptosis inhibitor 1
U37547_at	(API2) apoptosis inhibitor 2
U39817_at	(BLM) Bloom syndrome
U45878_s_at	HIAP-1
U47414_at	cyclin G2
U54778_at	14-3-3 epsilon
U77949_at	(CDC18L)
X05360_at	(CDC2) cell division cyle 2
X17644_s_at	(GSPT1) G1 to S phase transition 1
X51688	cyclin A
X54941_at	(CKS1) CDC28 protein kinase 1
X54942_at	(CKS2) CDC28 protein kinase 2
X62048_at	WEE1
Z18951_at	(CAV1) caveolin 1, caveolae protein, 22kDa
Z23115_at	(BCL2L1) Bcl-XL
AF000430_at	dynamin-like protein
AF001294_at	(TSSC3)
D00596_at	(TYMS) thimidylate synthetase
D00760_at	(PSMA2) proteasome subunit, A2
D00761_at	(PSMB1) proteasome subunit, B1
D00762_at	(PSMA3) proteasome subunit, A3
D00763_at	(PSMA4) proteasome subunit, A4
D10511_at	(PSMC2) proteasome subunit, C2
D13315_at	glyoxalose
D13627_at	(KIAA0002)
D13633_at	(KIAA0008)
D13643_at	(KIAA0018)
D14660_at	(KIAA0104)
D14662_at	(KIAA0106)
D16294-at	mitochondrial 3-oxyacyl-CoA thiolase
D17400_at	(PTS) 6-pyruvoyltetrahydropterin synthase
D21267_at	(SNAP25)
D25274_at	RAC1 ras-related C3 botulinum toxin substrate
D25547_at	PIMT isozyme 1
D26599_at	(PSMB2) proteasome subunit B2
D38583_at	Calgizzarin
D42073_at	(RCN1)
D43950_at	(KIAA0098)
D44466_at	(PSMD1)proteasome subunit D1
D49396_at	(Aop1)
D78129_at	(SQLE)
D78335_at	(5 terminal region of UMK)
D82346_at	(KCNQ2)
D83784_at	(PLAG2)
D87292_at	rhodanese
D87957_at	(RCD1+)
HG1111-HT1111_at	NA
HG1112-HT1112_at	NA
HG1686-HT4572_s_at	NA
HG1872-HT1907_at	NA
HG1980-HT2023_at	NA
HG2383-HT4824_s_at	NA
HG274-HT274_s_at	NA
HG2855-HT2995_at	NA
HG3576-HT3779_f_at	NA
HG3921-HT4191_f_at	NA
HG4074-HT4344_at	NA
HG4157-HT4427_at	NA
HG4322-HT4592_at	NA
HG688-HT688_f_at	NA
J04173_at	(PGAM1) phosphoglycerate mutase 1
J04444_at	(CYC1) cytochrome c-1
J04456_at	(LGALS1) lectin
K03021_at	(PLAT) plasminogen activator
L06132_at	(VDAC1)
L06419_at	(PLOD)
L07515_at	heterochromatin
L07956_at	(GBE1)
L08666_at	(VDAC2)
L09229_s_at	(FACL1)
L11669_at	(ADD1) adducin 1 alpha
L16842_at	(UQCRC1) ubiquinol-cytochrome c reductase core protein
L19183_at	(MAC30)
L29008_at	(SORD)
L32977_at	(UQCRFS1)
L36720_at	(BYSL)
L37368_at	RNA binding protein
L40377_at	(PI9) protease inhibitor 9
L40586_at	(IDS)
L41668_rna_at	(GALE) galactose epimerase
L48513_at	(PON2)
L77701_at x	(PON2)
M11717_rna1_at	(HSPA1L)
M13452_s_at	lamin A
M13955_at	intermediate filament, keratin K7
M14200_rna1_at	(DBI)
M18533_at	(DMD) dystrophin
M21904_at	(MDU1)
M22877_at	cytochrome c
M22976_at	(CYB5) cytochrome b5
M23114_at	(ATP2A2)
M27533_s_at	NA
M31642_at	(HPRT1)
M35878_at	(IGFBP3)
M36205_at	(VAMP2)
M36341_at	(ARF4) ADP-ribosylation factor 4
M55210_at	(LAMC1) laminin B2 chain
M55671_at	(PROZ) protein z
M57710_at	(LGALS3) galectin 3
M60858_rna1_at	(NCL) nucleolin
M61764_at	(TUBG) gamma tubulin
M63904_at	(GNA15) guanine nucleotide binding protein
M64571_at	(MAP4) microtubule-associated P4
M68874_at	(cPLA2)
M76665_at	(HSD11)
M77836_at	pyroline-5-carboxylate reductase
M80244_at	(SLC7A5)
M80563_at	(S100A4)
M81181_s_at	(ATP1B2)
M86752_at	(IEF SSP 3521)
M88458_at	NA
M91670_at	(E2-EPF) ubiquitin carrier protein E2
M94856_at	(FABP5)
M95610_at	(COL9A2)
S81914_at	(DIF2) differentiation dependent gene 2
S85655_at	(PHB) prohibitin
U00238_rna1_at	(PPAT)
U02556_at	(RP3) candidate gene
U03057_at	(SNL)
U03100_at	(CTNNA1) catenin (102kDa)
U04636_rna1_at	(hCox-2)
U05861_at	(DDH2)
U07151_at	(ARL3) GTP binding protein
U09813_at	(P3)
U10362_at	NA
U12387_s_at	(TPMT)
U13395_at	(HHCMA56)
U16954_at	(AF1q)
U17886_at	(sdhB)
U19261_at	EBV-induced protein
U19523_at	(GCH1)
U23942_at	(CYP51) cytochrome P450, 51
U28386_at	(KPNA2)
U30255_at	(PGD)
U30521_at	(p311)
U46023_at	NA
U49278_at	(UBE2V2) ubiquitin-conjugating enzyme E2
U55206_at	(GGH)
U61166_at	(ITSN)
U61538_at	calcuim binding protein chp
U63824_at	(TEAD4)
U67963_at	(HU-K5)
U70660_at	(ATOX1)
U72661_at	(NINJ1) ninjurin 1
U72761_at	(KPNB3) beta 3 karyopherin (importin)
U75362_at	(USP13)
U78735-at	(ABC3)
U81375_at	(ENT1)
U90907_at	NA
U90913_at	NA
U91316_at	NA
U94747_at	(HAN II)
U97105_at	(DPYSL2)
V00594_s_at	(MT1L) metallothionein 1L
X16396_at	(AA -29-315)
X52882_at	(AA 1-556)
X53793_at	(ADE2H1)
X59543_at	(RPM1)
X61100_rna1_at	(NDUFS1)
X64177_f_at	metallothionein
X67318_at	(CPA1)
X79865_at	(Mrp17)
X92814_at	(orf)
X95152_rna1_at	(brca2)
X99728_at	(NDUFV3)
Z37986_at	phenylalkylamine
Z49099_at	(SMS)
