Ensembl ID	Fold Change	Gene Name	Gene Symbol
ENSG00000103319	1.639111785	Elongation factor 2 kinase (EC 2.7.11.20) (eEF-2 kinase) (eEF-2K) (Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase)	EEF2K
ENSG00000120306	1.637157592	UPF0467 protein C5orf32 [Source:UniProtKB/Swiss-Prot;Acc:Q9H1C7]	C5orf32
ENSG00000184584	1.633866294	Transmembrane protein 173 [Source:UniProtKB/Swiss-Prot;Acc:Q86WV6]	TMEM173
ENSG00000146555	1.63346422	Protein sidekick-1 Precursor  [Source:UniProtKB/Swiss-Prot;Acc:Q7Z5N4]	SDK1
ENSG00000183145	1.631851985	Protein ripply3 (Down syndrome critical region protein 6)	DSCR6
ENSG00000133318	1.627360595	Reticulon-3 (Neuroendocrine-specific protein-like 2) (NSP-like protein II) (NSPLII) [Source:UniProtKB/Swiss-Prot;Acc:O95197]	RTN3
ENSG00000107331	1.624367755	ATP-binding cassette sub-family A member 2 (ATP-binding cassette transporter 2) (ATP-binding cassette 2) [Source:UniProtKB/Swiss-Prot;Acc:Q9BZC7]	ABCA2
ENSG00000177408	1.621839092		ENSG00000177408
ENSG00000101883	1.619738091	Rhox homeobox family member 1 (Paired-like homeobox protein PEPP-1) (Ovary-, testis- and epididymis-expressed gene protein) [Source:UniProtKB/Swiss-Prot;Acc:Q8NHV9]	RHOXF1
ENSG00000103707	1.618884595	Methionyl-tRNA formyltransferase, mitochondrial precursor (EC 2.1.2.9) (MtFMT)	MTFMT
ENSG00000126883	1.617385752	Nuclear pore complex protein Nup214 (Nucleoporin Nup214) (214 kDa nucleoporin) (Protein CAN)	NUP214
ENSG00000136717	1.609500939	Myc box-dependent-interacting protein 1 (Bridging integrator 1) (Amphiphysin-like protein) (Amphiphysin II) (Box-dependent myc- interacting protein 1)	BIN1
ENSG00000137218	1.609250488	Fibroblast growth factor receptor substrate 3 (FGFR substrate 3) (Suc1-associated neurotrophic factor target 2) (SNT-2) (FGFR-signaling adaptor SNT2) [Source:UniProtKB/Swiss-Prot;Acc:O43559]	FRS3
ENSG00000173692	1.605467084	26S proteasome non-ATPase regulatory subunit 1 (26S proteasome regulatory subunit RPN2) (26S proteasome regulatory subunit S1) (26S proteasome subunit p112)	PSMD1
ENSG00000180795	1.603354411		ENSG00000180795
ENSG00000166822	1.602727707	Transmembrane protein 170 [Source:UniProtKB/Swiss-Prot;Acc:Q8WVE7]	TMEM170A
ENSG00000177981	1.602397195	Ankyrin repeat and SOCS box protein 8 (ASB-8) [Source:UniProtKB/Swiss-Prot;Acc:Q9H765]	ASB8
ENSG00000101489	1.601494018	CUG-BP- and ETR-3-like factor 4 (CELF-4) (Bruno-like protein 4) (RNA- binding protein BRUNOL-4)	BRUNOL4
ENSG00000178386	1.599887465	Zinc finger protein 223	ZNF223
ENSG00000114270	1.59842753	Collagen alpha-1(VII) chain precursor (Long-chain collagen) (LC collagen)	COL7A1
ENSG00000180408	1.596699991	Uncharacterized protein LOC389203 [Source:UniProtKB/Swiss-Prot;Acc:Q8N5G0]	LOC389203
ENSG00000132305	1.595448265	Mitochondrial inner membrane protein (Mitofilin) (p87/89) (Cell proliferation-inducing gene 4 protein)	IMMT
ENSG00000103174	1.594500854	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase Precursor  (EC 3.1.4.45) (Phosphodiester alpha-GlcNAcase) (Mannose 6-phosphate-uncovering enzyme) [Source:UniProtKB/Swiss-Prot;Acc:Q9UK23]	NAGPA
ENSG00000162571	1.592829939	Probable tubulin polyglutamylase TTLL10 (EC 6.-.-.-) (Tubulin--tyrosine ligase-like protein 10) [Source:UniProtKB/Swiss-Prot;Acc:Q6ZVT0]	TTLL10
ENSG00000110786	1.591778176	Tyrosine-protein phosphatase non-receptor type 5 (EC 3.1.3.48) (Protein-tyrosine phosphatase striatum-enriched) (STEP) (Neural- specific protein-tyrosine phosphatase)	PTPN5
ENSG00000144785	1.59154136	Protein canopy homolog 2 Precursor  (MIR-interacting saposin-like protein) (Transmembrane protein 4) (Putative secreted protein ZSIG9) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y2B0]	CNPY2
ENSG00000111199	1.58795258	Transient receptor potential cation channel subfamily V member 4 (TrpV4) (Osm-9-like TRP channel 4) (OTRPC4) (Vanilloid receptor-like channel 2) (Vanilloid receptor-like protein 2) [Source:UniProtKB/Swiss-Prot;Acc:Q9HBA0]	TRPV4
ENSG00000145423	1.586739235	Secreted frizzled-related protein 2 Precursor  (sFRP-2) (Secreted apoptosis-related protein 1) (SARP-1) (Frizzled-related protein 2) (FRP-2) [Source:UniProtKB/Swiss-Prot;Acc:Q96HF1]	SFRP2
ENSG00000140992	1.586218177	3-phosphoinositide-dependent protein kinase 1 (EC 2.7.11.1) (hPDK1) [Source:UniProtKB/Swiss-Prot;Acc:O15530]	PDPK1
ENSG00000131401	1.585075328	napsin B aspartic peptidase pseudogene (NAPSB) on chromosome 19 [Source:RefSeq_dna;Acc:NR_002798]	NAPSB
ENSG00000106617	1.584916841	5-AMP-activated protein kinase subunit gamma-2 (AMPK gamma-2 chain) (AMPK gamma2) (H91620p) [Source:UniProtKB/Swiss-Prot;Acc:Q9UGJ0]	PRKAG2
ENSG00000132122	1.583145366	Spermatogenesis-associated protein 6 Precursor  [Source:UniProtKB/Swiss-Prot;Acc:Q9NWH7]	SPATA6
ENSG00000164946	1.580009982	FRAS1-related extracellular matrix protein 1 Precursor  (Protein QBRICK) [Source:UniProtKB/Swiss-Prot;Acc:Q5H8C1]	FREM1
ENSG00000106038	1.579207304	Homeobox even-skipped homolog protein 1 (EVX-1) [Source:UniProtKB/Swiss-Prot;Acc:P49640]	EVX1
ENSG00000133422	1.57578828	MORC family CW-type zinc finger protein 2 (Zinc finger CW-type coiled-coil domain protein 1) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y6X9]	MORC2
ENSG00000205220	1.575079183	Proteasome subunit beta type-10 precursor (EC 3.4.25.1) (Proteasome subunit beta-2i) (Proteasome MECl-1) (Macropain subunit MECl-1) (Multicatalytic endopeptidase complex subunit MECl-1)	PSMB10
ENSG00000172273	1.571624634	MBD2-interacting zinc finger protein (Methyl-CpG-binding protein 2- interacting zinc finger protein) (Histone nuclear factor P) (HiNF-P)	MIZF
ENSG00000151948	1.559991219	glycosyltransferase 1 domain containing 1  [Source:RefSeq_peptide;Acc:NP_653270]	GLT1D1
ENSG00000183801	1.557673954	Olfactomedin-like protein 1 Precursor  [Source:UniProtKB/Swiss-Prot;Acc:Q6UWY5]	OLFML1
ENSG00000132259	1.557011745	Cyclic nucleotide-gated cation channel alpha-4 (CNG channel alpha-4) (CNG-4) (CNG4) [Source:UniProtKB/Swiss-Prot;Acc:Q8IV77]	CNGA4
ENSG00000136802	1.555239871	Leucine-rich repeat-containing protein 8A [Source:UniProtKB/Swiss-Prot;Acc:Q8IWT6]	LRRC8A
ENSG00000100804	1.554754577	Proteasome subunit beta type-5 (EC 3.4.25.1) (Proteasome epsilon chain) (Macropain epsilon chain) (Multicatalytic endopeptidase complex epsilon chain) (Proteasome subunit X) [Source:UniProtKB/Swiss-Prot;Acc:P28074]	PSMB5
ENSG00000206178	1.551253261	Uncharacterized protein ENSP00000346992 Fragment  [Source:UniProtKB/TrEMBL;Acc:A6NC93]	ENSP00000346992
ENSG00000143224	1.550899389	Protoporphyrinogen oxidase (EC 1.3.3.4) (PPO) [Source:UniProtKB/Swiss-Prot;Acc:P50336]	PPOX
ENSG00000204052	1.550144838	Uncharacterized protein C6orf154 [Source:UniProtKB/Swiss-Prot;Acc:Q5JTD7]	C6orf154
ENSG00000196594	1.549509756		ENSG00000196594
ENSG00000138189	1.548849132	Homo sapiens clone CDABP0021 mRNA sequence. (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q9H4P1]	ENSG00000138189
ENSG00000186143	1.547064014	Uncharacterized protein C2orf53 [Source:UniProtKB/Swiss-Prot;Acc:Q53SZ7]	C2orf53
ENSG00000105643	1.546905245	Arrestin domain-containing protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q8TBH0]	ARRDC2
ENSG00000109079	1.545432446	BTB/POZ domain-containing protein TNFAIP1 (Tumor necrosis factor, alpha-induced protein 1, endothelial) (Protein B12) [Source:UniProtKB/Swiss-Prot;Acc:Q13829]	TNFAIP1
ENSG00000174576	1.545311794	Neuronal PAS domain-containing protein 4 (Neuronal PAS4) (HLH-PAS transcription factor NXF) [Source:UniProtKB/Swiss-Prot;Acc:Q8IUM7]	NPAS4
ENSG00000144355	1.544857759	Homeobox protein DLX-1 [Source:UniProtKB/Swiss-Prot;Acc:P56177]	DLX1
ENSG00000181588	1.538818782	RNA-binding protein MEX3D (RING finger and KH domain-containing protein 1) (RING finger protein 193) (TINO) [Source:UniProtKB/Swiss-Prot;Acc:Q86XN8]	RKHD1
ENSG00000176886	1.536209002		ENSG00000176886
ENSG00000115008	1.535109815	Interleukin-1 alpha Precursor  (IL-1 alpha) (Hematopoietin-1) [Source:UniProtKB/Swiss-Prot;Acc:P01583]	IL1A
ENSG00000105085	1.533345551	Mediator of RNA polymerase II transcription subunit 26 (Mediator complex subunit 26) (Cofactor required for Sp1 transcriptional activation subunit 7) (CRSP complex subunit 7) [Source:UniProtKB/Swiss-Prot;Acc:O95402]	MED26
ENSG00000108551	1.531527785	Dexamethasone-induced Ras-related protein 1 Precursor  (Activator of G-protein signaling 1) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y272]	RASD1
ENSG00000086504	1.531087595	39S ribosomal protein L28, mitochondrial Precursor  (L28mt) (MRP-L28) (Melanoma antigen p15) (Melanoma-associated antigen recognized by T lymphocytes) [Source:UniProtKB/Swiss-Prot;Acc:Q13084]	MRPL28
ENSG00000205073	1.52983024	Uncharacterized protein C1orf222 [Source:UniProtKB/Swiss-Prot;Acc:Q69YW0]	C1orf222
ENSG00000168795	1.527683006	Zinc finger and BTB domain-containing protein 5 [Source:UniProtKB/Swiss-Prot;Acc:O15062]	ZBTB5
ENSG00000179580	1.524934265	RING finger protein 151 [Source:UniProtKB/Swiss-Prot;Acc:Q2KHN1]	RNF151
ENSG00000136436	1.52327999	Calcium-binding and coiled-coil domain-containing protein 2 (Nuclear domain 10 protein NDP52) (Nuclear domain 10 protein 52) (Nuclear dot protein 52) (Antigen nuclear dot 52 kDa protein) [Source:UniProtKB/Swiss-Prot;Acc:Q13137]	CALCOCO2
ENSG00000104154	1.522972838	Zinc transporter 4 (ZnT-4) (Solute carrier family 30 member 4) [Source:UniProtKB/Swiss-Prot;Acc:O14863]	SLC30A4
ENSG00000204001	1.522622637	Epididymal-specific lipocalin-8 precursor	LCN8
ENSG00000198339	1.520793818	Histone H4 [Source:UniProtKB/Swiss-Prot;Acc:P62805]	HIST1H4I
ENSG00000176958	1.517979284	CDNA FLJ38090 fis, clone CTONG2026513. [Source:Uniprot/SPTREMBL;Acc:Q8N1N7]	FLJ38090
ENSG00000171433	1.517557834	Glyoxalase domain-containing protein 5 [Source:UniProtKB/Swiss-Prot;Acc:A6NK44]	GLOD5
ENSG00000105486	1.517450372	DNA ligase 1 (EC 6.5.1.1) (DNA ligase I) (Polydeoxyribonucleotide synthase [ATP] 1) [Source:UniProtKB/Swiss-Prot;Acc:P18858]	LIG1
ENSG00000183014	1.516793878		ENSG00000183014
ENSG00000084072	1.516581731	Peptidyl-prolyl cis-trans isomerase E (EC 5.2.1.8) (PPIase E) (Rotamase E) (Cyclophilin E) (Cyclophilin-33) [Source:UniProtKB/Swiss-Prot;Acc:Q9UNP9]	PPIE
ENSG00000203948	1.51649485	Cancer/testis antigen 45-2 (CT45-2) [Source:UniProtKB/Swiss-Prot;Acc:Q5DJT8]	CT45-2
ENSG00000101138	1.5152754	Cleavage stimulation factor 50 kDa subunit (CSTF 50 kDa subunit) (CF-1 50 kDa subunit) (CstF-50) [Source:UniProtKB/Swiss-Prot;Acc:Q05048]	CSTF1
ENSG00000183977	1.513397538	PP2C-like domain-containing protein C3orf48 [Source:UniProtKB/Swiss-Prot;Acc:A8MPX8]	C3orf48
ENSG00000185156	1.511755458	UPF0537 transmembrane protein [Source:UniProtKB/Swiss-Prot;Acc:Q8IWD5]	MFSDL6
ENSG00000004534	1.506509939	RNA-binding protein 6 (RNA-binding motif protein 6) (RNA-binding protein DEF-3) (Lung cancer antigen NY-LU-12) (Protein G16) [Source:UniProtKB/Swiss-Prot;Acc:P78332]	RBM6
ENSG00000188072	1.503825295	CDNA FLJ45478 fis, clone BRSTN2018712. [Source:Uniprot/SPTREMBL;Acc:Q6ZSJ3]	FLJ45478
ENSG00000130748	1.502806774	Transmembrane protein 160 [Source:UniProtKB/Swiss-Prot;Acc:Q9NX00]	TMEM160
ENSG00000011201	1.502658029	Anosmin-1 Precursor  (Kallmann syndrome protein) (Adhesion molecule-like X-linked) [Source:UniProtKB/Swiss-Prot;Acc:P23352]	KAL1
ENSG00000178473	1.502341217	Urocortin-3 Precursor  (Urocortin III) (Ucn III) (Stresscopin) [Source:UniProtKB/Swiss-Prot;Acc:Q969E3]	UCN3
ENSG00000139797	1.502122114	RING finger protein 113B (Zinc finger protein 183-like 1) [Source:UniProtKB/Swiss-Prot;Acc:Q8IZP6]	RNF113B
ENSG00000148803	1.500027384	Protein fucU homolog [Source:UniProtKB/Swiss-Prot;Acc:A2VDF0]	C10orf125
ENSG00000197584	1.497695534	Calcium-activated potassium channel subunit beta-2 (Calcium-activated potassium channel, subfamily M subunit beta-2) (Maxi K channel subunit beta-2) (BK channel subunit beta-2) (BKbeta2) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y691]	KCNMB2
ENSG00000059691	1.497131969	Probable glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial Precursor  (EC 6.3.5.-) (Glu-ADT subunit B) (Cytochrome oxidase assembly factor PET112 homolog) [Source:UniProtKB/Swiss-Prot;Acc:O75879]	PET112L
ENSG00000176426	1.496545856	CDNA FLJ34775 fis, clone NT2NE2003315. [Source:Uniprot/SPTREMBL;Acc:Q8NAU4]	FLJ34775
ENSG00000140403	1.494518365	DnaJ homolog subfamily A member 4 [Source:UniProtKB/Swiss-Prot;Acc:Q8WW22]	DNAJA4
ENSG00000116151	1.492314049	MORN repeat-containing protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q5T089]	MORN1
ENSG00000105669	1.489636701	Coatomer subunit epsilon (Epsilon-coat protein) (Epsilon-COP) [Source:UniProtKB/Swiss-Prot;Acc:O14579]	COPE
ENSG00000178789	1.489060346	CMRF35-like molecule 7 (CLM-7) (CMRF35-A2) (Immune receptor expressed on myeloid cells 3) (IREM-3) (Triggering receptor expressed on myeloid cells 5) (TREM-5) [Source:UniProtKB/Swiss-Prot;Acc:A8K4G0]	CD300LB
ENSG00000155438	1.489033042	MKI67 FHA domain-interacting nucleolar phosphoprotein (Nucleolar protein interacting with the FHA domain of pKI-67) (hNIFK) (Nucleolar phosphoprotein Nopp34) [Source:UniProtKB/Swiss-Prot;Acc:Q9BYG3]	MKI67IP
ENSG00000180824	1.488901412	CDNA FLJ35343 fis, clone PROST2015932. [Source:Uniprot/SPTREMBL;Acc:Q8NAH5]	FLJ35343
ENSG00000058262	1.4888747	Protein transport protein Sec61 subunit alpha isoform 1 (Sec61 alpha-1) [Source:UniProtKB/Swiss-Prot;Acc:P61619]	SEC61A1
ENSG00000006695	1.488697076	Protoheme IX farnesyltransferase, mitochondrial Precursor (EC 2.5.1.-)(Heme O synthase) [Source:UniProtKB/Swiss-Prot;Acc:Q12887]	COX10
ENSG00000204733	1.488150186	RNA, U2 small nuclear 1 (RNU2-1) on chromosome 17 [Source:RefSeq_dna;Acc:NR_002716]	RNU2-1
ENSG00000181847	1.486099238	T cell immunoreceptor with Ig and ITIM domains	TIGIT
ENSG00000105617	1.48551204	Leukocyte receptor cluster member 1 [Source:UniProtKB/Swiss-Prot;Acc:Q96BZ8]	LENG1
ENSG00000203951	1.48473883	Putative uncharacterized protein FLJ44790 [Source:UniProtKB/Swiss-Prot;Acc:Q6ZTC4]	FLJ44790
ENSG00000189134	1.484468587	NKAP-like protein [Source:UniProtKB/Swiss-Prot;Acc:Q5M9Q1]	NKAPL
ENSG00000176083	1.483536007	Zinc finger protein 683 [Source:UniProtKB/Swiss-Prot;Acc:Q8IZ20]	ZNF683
ENSG00000160410	1.482143987	SH3KBP1-binding protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8TBC3]	SHKBP1
ENSG00000211096	1.480432837		ENSG00000211096
ENSG00000156395	1.480395246	VPS10 domain-containing receptor SorCS3 Precursor  [Source:UniProtKB/Swiss-Prot;Acc:Q9UPU3]	SORCS3
ENSG00000157060	1.479980593	Uncharacterized protein C1orf14 [Source:UniProtKB/Swiss-Prot;Acc:Q9BZQ2]	C1orf14
ENSG00000075240	1.47786329	GRAM domain-containing protein 4 (Death-inducing protein) [Source:UniProtKB/Swiss-Prot;Acc:Q6IC98]	GRAMD4
ENSG00000205632	1.477855412	cDNA FLJ42631 fis, clone BRACE3020194 [Source:UniProtKB/TrEMBL;Acc:Q6ZVF7]	FLJ42631
ENSG00000105443	1.477483279	Cytohesin-2 (PH, SEC7 and coiled-coil domain-containing protein 2) (ARF nucleotide-binding site opener) (Protein ARNO) (ARF exchange factor) [Source:UniProtKB/Swiss-Prot;Acc:Q99418]	PSCD2
ENSG00000179578	1.474507009		ENSG00000179578
ENSG00000183784	1.474463168	Uncharacterized protein C9orf66	C9orf66
ENSG00000105483	1.473379399	Caspase recruitment domain-containing protein 8 (Apoptotic protein NDPP1) (DACAR) (CARD-inhibitor of NF-kappa-B-activating ligand) (CARDINAL) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y2G2]	CARD8
ENSG00000159176	1.473185436	Cysteine and glycine-rich protein 1 (Cysteine-rich protein 1) (CRP1) (CRP) [Source:UniProtKB/Swiss-Prot;Acc:P21291]	CSRP1
ENSG00000179673	1.471573538	Reprimo-like protein	RPRML
ENSG00000145358	1.46951534	DNA-damage-inducible transcript 4-like protein (Protein regulated in development and DNA damage response 2) (REDD-2) (HIF-1 responsive protein RTP801-like) [Source:UniProtKB/Swiss-Prot;Acc:Q96D03]	DDIT4L
ENSG00000139914	1.46795327	fat-inducing transcript 1	FIT1
ENSG00000132563	1.465387013	Receptor expression-enhancing protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9BRK0]	REEP2
ENSG00000038210	1.465295798	Phosphatidylinositol 4-kinase type 2-beta (EC 2.7.1.67) (Phosphatidylinositol 4-kinase type II-beta) [Source:UniProtKB/Swiss-Prot;Acc:Q8TCG2]	PI4K2B
ENSG00000148948	1.464731899	Netrin-G1 ligand Precursor  (NGL-1) (Leucine-rich repeat-containing protein 4C) [Source:UniProtKB/Swiss-Prot;Acc:Q9HCJ2]	LRRC4C
ENSG00000099797	1.463243369	Synaptic glycoprotein SC2 (EC 1.3.1.-) (Trans-2,3-enoyl-CoA reductase) (TER) [Source:UniProtKB/Swiss-Prot;Acc:Q9NZ01]	GPSN2
ENSG00000173272	1.463028534	Protein FAM128A [Source:UniProtKB/Swiss-Prot;Acc:Q6P582]	FAM128A
ENSG00000198033	1.462398603	Tubulin alpha-3C/D chain (Alpha-tubulin 3C/D) (Tubulin alpha-2 chain) (Alpha-tubulin 2) [Source:UniProtKB/Swiss-Prot;Acc:Q13748]	TUBA3C
ENSG00000129170	1.460263345	Cysteine and glycine-rich protein 3 (Cysteine-rich protein 3) (CRP3) (LIM domain protein, cardiac) (Muscle LIM protein) [Source:UniProtKB/Swiss-Prot;Acc:P50461]	CSRP3
ENSG00000116957	1.456889127	Tubulin-specific chaperone E (Tubulin-folding cofactor E) [Source:UniProtKB/Swiss-Prot;Acc:Q15813]	TBCE
ENSG00000163412	1.456681894	Eukaryotic translation initiation factor 4E type 3 (eIF-4E type 3) (eIF4E type 3) (eIF4E-3) (eIF-4E3) [Source:UniProtKB/Swiss-Prot;Acc:Q8N5X7]	EIF4E3
ENSG00000100726	1.45543544	Telomere length regulation protein TEL2 homolog (Protein clk-2 homolog) (hCLK2) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y4R8]	TELO2
ENSG00000187688	1.455427689	Transient receptor potential cation channel subfamily V member 2 (TrpV2) (Osm-9-like TRP channel 2) (OTRPC2) (Vanilloid receptor-like protein 1) (VRL-1) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y5S1]	TRPV2
ENSG00000181763	1.454118668		ENSG00000181763
ENSG00000099203	1.453685271	Transmembrane emp24 domain-containing protein 1 Precursor  (Interleukin-1 receptor-like 1 ligand) (Putative T1/ST2 receptor-binding protein) [Source:UniProtKB/Swiss-Prot;Acc:Q13445]	TMED1
ENSG00000070950	1.453589987	E3 ubiquitin-protein ligase RAD18 (EC 6.3.2.-) (Postreplication repair protein RAD18) (hRAD18) (hHR18) (RING finger protein 73) [Source:UniProtKB/Swiss-Prot;Acc:Q9NS91]	RAD18
ENSG00000166959	1.452857386	Membrane-spanning 4-domains subfamily A member 8B (Four-span transmembrane protein 4) [Source:UniProtKB/Swiss-Prot;Acc:Q9BY19]	MS4A8B
ENSG00000099624	1.452353969	ATP synthase subunit delta, mitochondrial Precursor  [Source:UniProtKB/Swiss-Prot;Acc:P30049]	ATP5D
ENSG00000184381	1.451813671	85 kDa calcium-independent phospholipase A2 (EC 3.1.1.4) (CaI-PLA2) (iPLA2) (Group VI phospholipase A2) (GVI PLA2) [Source:UniProtKB/Swiss-Prot;Acc:O60733]	PLA2G6
ENSG00000176318	1.450656965		ENSG00000176318
ENSG00000184108	1.449989334	Tripartite motif family-like protein 1 (RING finger protein 209) [Source:UniProtKB/Swiss-Prot;Acc:Q8N9V2]	TRIML1
ENSG00000196934	1.449950871	RIMS-binding protein 3B (RIM-BP3.2) [Source:UniProtKB/Swiss-Prot;Acc:A6NNM3]	RIMBP3B
ENSG00000189068	1.449771764	V-set and transmembrane domain-containing protein 1 Precursor  [Source:UniProtKB/Swiss-Prot;Acc:Q6UX27]	VSTM1
ENSG00000207322	1.449754157		ENSG00000207322
ENSG00000196581	1.445464249	Adherens junction-associated protein 1 (Membrane protein shrew-1) [Source:UniProtKB/Swiss-Prot;Acc:Q9UKB5]	AJAP1
ENSG00000100196	1.445460113	ER lumen protein retaining receptor 3 (KDEL endoplasmic reticulum protein retention receptor 3) (KDEL receptor 3) [Source:UniProtKB/Swiss-Prot;Acc:O43731]	KDELR3
ENSG00000100599	1.44454496	Ras and Rab interactor 3 (Ras interaction/interference protein 3) [Source:UniProtKB/Swiss-Prot;Acc:Q8TB24]	RIN3
