Gene Symbol	GenBank ID	Gene Name	Fold Change	P	Epithelial genes (n = 134)†
FZD1	NM_003505	frizzled homolog 1	1.86	0.0006	Cell growth and/or maintenance (n = 59)
FZD2	L37882	frizzled homolog 2	1.66	0.0001	Cell growth and/or maintenance (n = 59)
HMGA2	NM_003483	high mobility group AT-hook 2	2.76	0.0001	Cell growth and/or maintenance (n = 59)
IGFBP1	NM_000596	nsulin-like growth factor binding protein 1	-9.94	0.0067	Cell growth and/or maintenance (n = 59)
IGFBP3	M31159	insulin-like growth factor binding protein 3	-2.9	0.0006	Cell growth and/or maintenance (n = 59)
KIFAP3	NM_014970	kinesin-associated protein 3	2.71	0.0067	Cell growth and/or maintenance (n = 59)
Met	BG170541	met proto-oncogene (hepatocyte growth factor receptor)	2.77	0.0015	Cell growth and/or maintenance (n = 59)
PMP22	L03203	peripheral myelin protein 22	2.05	0.0013	Cell growth and/or maintenance (n = 59)
PTPRM	NM_002845	protein tyrosine phosphatase, receptor type, M	-2.74	0.0013	Cell growth and/or maintenance (n = 59)
SLC29A1	AF079117	solute carrier family 29 (nucleoside transporters), member 1	1.9	0.0003	Cell growth and/or maintenance (n = 59)
MMP10	NM_002425	matrix metalloproteinase 10 (stromelysin 2)	3.59	0	Cell motility (n= 25)
MMP2	NM_004530	matrix metalloproteinase 2	4.1	0	Cell motility (n= 25)
MMP7	NM_002423	matrix metalloproteinase 7	7.51	0	Cell motility (n= 25)
PLAU	NM_002658	plasminogen activator, urokinase	2.9	0	Cell motility (n= 25)
PLAUR	X74039	plasminogen activator, urokinase receptor	4.02	0	Cell motility (n= 25)
S100A2	NM_005978	S100 calcium binding protein A2	2.2	0	Cell motility (n= 25)
S100A3	NM_002960	S100 calcium binding protein A3	2.04	0.0004	Cell motility (n= 25)
S100A4	NM_002961	S100 calcium binding protein A4	2.05	0	Cell motility (n= 25)
S100A6	NM_014624	S100 calcium binding protein A6	1.64	0.0001	Cell motility (n= 25)
S100P	NM_005980	S100 calcium binding protein P	-29.48	0.0002	Cell motility (n= 25)
SERPINH1	BF316352	serine (or cysteine) proteinase inhibitor	-2.44	0	Cell motility (n= 25)
ID1	D13889	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	-1.94	0	Development/differentiation (n = 23)
ID3	NM_002167	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein	-23.23	0.0001	Development/differentiation (n = 23)
ID4	U16153	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	-3.89	0.0001	Development/differentiation (n = 23)
LUM	NM_002345	lumican	18.65	0.0001	Development/differentiation (n = 23)
SNAI2	AI572079	snail homolog 2 (Drosophila)	4.91	0	Development/differentiation (n = 23)
SPARC	NM_003118	secreted protein, acidic, cysteine-rich (osteonectin)	8.94	0	Development/differentiation (n = 23)
ACVR1	NM_001105	activin A receptor, type I	2.74	0.0045	Metabolism (n = 22)
BHLHB2	NM_003670	basic helix-loop-helix domain containing, class B, 2	2.36	0	Metabolism (n = 22)
PTGIS	NM_000961	prostaglandin I2 (prostacyclin) synthase	-2.17	0.0012	Metabolism (n = 22)
PSTPIP2	NM_024430	proline-serine-threonine phosphatase interacting protein 2	-2.67	0.0003	Biological process unknown (n = 3)
UPP1	NM_003364	uridine phosphorylase 1	-2.8	0	Biological process unknown (n = 3)
