pbs	Gene Symbol	chrom	arm	cytogenet	start	end	genes Cluster	p-value	fold change
201629_s_at	ACP1	2	2p	p25.3	254186	268283	b	0,00040406	-1,01278918
221608_at	WNT6	2	2q	q35	219432789	219447199	b	0,00042051	-0,33083419
203113_s_at	EEF1D	8	8q	q24.3	144733040	144750719	b	0,00042643	-0,32864007
235192_at	TP53RK	20	20q	q13.12	44746411	44747644	b	0,00047196	-0,53392691
232475_at	C15orf42	15	15q	q26.1	87969295	87975290	b	0,00050609	-0,515272
217834_s_at	SYNCRIP	6	6q	q14.3	86379008	86409428	b	0,00056425	-0,72049048
231589_at	NA	X	Xq	q28	148849721	148850161	b	0,00060953	-0,45005084
229346_at	NES	1	1q	q23.1	154908828	154909373	b	0,00063362	-0,38651679
1559092_at	SLC9A5	16	16q	q22.1	65852511	65855188	b	0,00067921	-0,44399588
207959_s_at	DNAH9	17	17p	p12	11726948	11813788	b	0,00068912	-0,29216246
222089_s_at	C16orf71	16	16p	p13.3	4738723	4739398	b	0,00098386	-0,59058507
240376_s_at	NA	16	16p	p13.11	16323102	16323721	b	0,00098408	-0,47874976
234708_at	SMUG1	12	12q	q13.13	52861507	52864010	b	0,00111331	-0,26639445
239539_at	NA	13	13q	q14.3	51617631	51618090	b	0,00127168	-0,25016303
204128_s_at	RFC3	13	13q	q13.2	33290306	33308829	b	0,00148569	-1,37701996
229230_at	OSTalpha	3	3q	q29	197438313	197444923	b	0,00150475	-3,7066826
230840_at	LOC388588	1	1p	p36.32	3679249	3682405	b	0,00176449	-0,94255949
1556983_a_at	NA	11	11p	p15.4	9721649	9722007	b	0,00176907	-0,82931521
1561085_at	LOC153910	6	6q	q24.1	142888840	143000719	b	0,00183189	-0,22842432
204913_s_at	SOX11	2	2p	p25.2	5750229	5758967	b	0,0021967	-4,36464987
225439_at	NUDCD1	8	8q	q23.1	110322324	110415494	b	0,002252	-1,11901551
1569303_s_at	RGS20	NA	NA	NA	NA	NA	b	0,00226867	-0,5428651
237527_at	NA	11	11q	q12.2	60236781	60237243	b	0,00235786	-0,50397817
220147_s_at	FAM60A	12	12p	p11.21	31324784	31370340	b	0,00237967	-0,42724916
1566177_at	NA	13	13q	q32.3	99179196	99181299	b	0,00241533	-0,45568627
231936_at	HOXC9	12	12q	q13.13	52680179	52683385	b	0,00243539	-1,6914906
240940_at	NA	2	2q	q31.1	177220628	177221366	b	0,00244055	-0,35296914
212461_at	AZIN1	8	8q	q22.3	103907711	103909075	b	0,00260167	-0,65094362
235573_at	NA	13	13q	q12.3	30607117	30608175	b	0,00263827	-0,95583081
243414_at	PPIL2	22	22q	q11.21	20378253	20378658	b	0,00266058	-0,49752303
210499_s_at	PQBP1	X	Xp	p11.23	48640736	48645305	b	0,00270475	-0,36714418
222818_at	OSBPL10	3	3p	p23	31677321	31998366	b	0,00279309	-0,77622108
206888_s_at	ARHGDIG	16	16p	p13.3	270627	272900	b	0,00280456	-0,23292742
213310_at	EIF2C2	8	8q	q24.3	141601643	141605441	b	0,0028139	-2,17829971
204512_at	HIVEP1	6	6p	p24.1	12120556	12273214	b	0,00286493	-1,52271255
207162_s_at	CACNA1B	9	9q	q34.3	139892061	140136452	b	0,00287142	-0,61955716
1553723_at	GPR97	16	16q	q13	56259672	56280125	b	0,00291934	-0,27400527
240491_at	NA	7	7p	p15.1	29213607	29214054	b	0,00294713	-0,36653522
231687_at	NA	1	1p	p31.1	74815460	74815925	b	0,00306357	-0,47760418
223419_at	FBXW9	19	19p	p13.13	12660730	12668432	b	0,00308141	-0,63525053
218092_s_at	HRB	2	2q	q36.3	228045138	228128082	b	0,00310899	-1,56999225
1570342_at	NKTR	3	3p	p22.1	42617238	42636812	b	0,00345168	-0,37616426
1553840_a_at	CCDC149	4	4p	p15.2	24437678	24590924	b	0,00345837	-0,40962131
203744_at	HMGB3	X	Xq	q28	149902426	149907992	b	0,00347108	-2,04562983
210560_at	GBX2	2	2q	q37.2	236739206	236741391	b	0,00378131	-0,32390925
1553691_at	B3GALNT2	1	1q	q42.3	233679266	233734507	b	0,0038582	-0,51291163
241876_at	MDM4	1	1q	q32.1	202850935	202852311	b	0,00391302	-0,55914909
1552736_a_at	NETO1	18	18q	q22.3	68565766	68686164	b	0,00394071	-0,59346961
201451_x_at	RHEB	7	7q	q36.1	150794727	150847924	b	0,00394533	-0,43975162
219510_at	POLQ	3	3q	q13.33	122632970	122692396	b	0,00405628	-1,08913096
239179_at	NA	10	10q	q22.2	75265243	75265716	b	0,00408584	-1,12295745
1562403_a_at	SLC8A3	14	14q	q24.2	69580724	69616650	b	0,00416556	-0,35308825
1559787_at	NA	2	2p	p14	64926767	64930187	b	0,00418797	-0,3194963
1553984_s_at	NA	2	2q	q37.3	242263834	242265760	b	0,00438209	-0,86973034
1560784_x_at	NA	12	12q	q24.33	131369472	131371264	b	0,00443567	-0,65569192
233567_at	NAV1	1	1q	q32.1	200047252	200056504	b	0,0044453	-0,42558479
220928_s_at	PRDM16	1	1p	p36.32	2975620	3340717	b	0,00447059	-0,38138801
215394_at	PIK3C3	18	18q	q12.3	37871692	37885274	b	0,00450673	-0,438797
1561332_at	ATP13A5	3	3q	q29	194513185	194524492	b	0,00461905	-0,58349056
211705_s_at	SORBS1	10	10q	q23.33	97064771	97190909	b	0,00476666	-0,51774613
210841_s_at	NRP2	2	2q	q33.3	206256259	206316666	b	0,00484906	-0,4442698
208054_at	HERC4	10	10q	q21.3	69383965	69386626	b	0,0048869	-0,3171776
1559800_a_at	NA	16	16p	p13.3	4624108	4630625	b	0,00488961	-0,24731821
1560290_at	NA	16	16p	p13.2	8863375	8864534	b	0,00490228	-0,9147265
215435_at	NA	8	8q	q24.21	131224839	131226981	b	0,0049768	-1,1095143
207332_s_at	TFRC	3	3q	q29	197260746	197293338	b	0,00501539	-0,73696214
231525_at	LOC389124	3	3p	p21.1	51882777	51883232	b	0,00513094	-0,40512215
211184_s_at	USH1C	11	11p	p15.1	17472019	17511633	b	0,00515382	-0,40255086
215760_s_at	SBNO2	19	19p	p13.3	1059218	1083133	b	0,00517514	-0,83214792
236967_at	LOC645249	7	7q	q36.3	156496360	156501881	b	0,00534856	-0,73001249
242514_at	NA	7	7p	p22.2	2770421	2770748	b	0,00536994	-0,9837575
212470_at	SPAG9	17	17q	q21.33	46397044	46479270	b	0,00543207	-0,6608434
232930_at	DOCK1	10	10q	q26.2	129094325	129097143	b	0,00566534	-0,81924093
214027_x_at	NA	2	2q	q35	219999367	219999698	b	0,00571602	-0,31869077
239869_at	NA	4	4q	q31.3	152548751	152549249	b	0,00579693	-0,39077239
209176_at	SEC23IP	10	10q	q26.11	121642204	121691647	b	0,00579793	-0,53691792
213863_s_at	OAZ3	1	1q	q21.3	150000551	150002465	b	0,00622063	-0,19056211
234446_at	NA	20	20p	p11.21	23445520	23446706	b	0,00629464	-0,58892403
223489_x_at	EXOSC3	9	9p	p13.2	37770449	37775066	b	0,00633841	-0,55306543
1559870_at	NA	8	8p	p23.1	11240667	11242409	b	0,00651569	-0,639298
200853_at	H2AFZ	4	4q	q23	101088265	101090454	b	0,00652622	-0,99334892
236324_at	MBP	18	18q	q23	72826574	72827061	b	0,00652664	-0,2463503
232352_at	ISL2	15	15q	q24.3	74416185	74421870	b	0,00669765	-0,8472071
205592_at	SLC4A1	17	17q	q21.31	39681283	39701028	b	0,0067176	-0,47368766
218663_at	NCAPG	4	4p	p15.32	17421702	17454229	b	0,00673926	-1,61497446
204735_at	PDE4A	19	19p	p13.2	10424636	10441306	b	0,00675291	-1,00270479
1556613_s_at	LOC203107	8	8q	q22.1	95801319	95826487	b	0,00687514	-0,66444468
1553780_at	MGC23270	14	14q	q32.33	104358582	104361100	b	0,00688853	-0,38459905
230103_at	C10orf72	10	10q	q11.22	49926528	49986047	b	0,00694041	-0,73170178
1556582_at	NA	19	19q	q13.31	49858919	49861269	b	0,00703058	-0,25839451
234397_at	NA	19	19p	p13.12	15793802	15795597	b	0,00703998	-0,55974705
217616_at	NA	21	21q	q22.3	43666688	43667397	b	0,00704661	-0,36758602
232513_x_at	C20orf107	20	20q	q13.31	54541774	54544981	b	0,00710586	-0,42827476
213114_at	NA	1	1p	p36.32	2313178	2325048	b	0,00723974	-0,83853664
230514_s_at	NA	10	10p	p11.23	29618039	29640164	b	0,00725293	-0,27752799
207235_s_at	GRM5	11	11q	q14.2	87880625	88420838	b	0,0075173	-0,38747964
1563008_at	NA	1	1p	p36.31	5690827	5694812	b	0,00752366	-0,43480856
229296_at	NA	9	9q	q34.11	131138978	131685172	b	0,00766077	-1,44325813
1553470_at	DNAH17	17	17q	q25.3	74051431	74078999	b	0,0077033	-0,31367041
1562449_s_at	NA	22	22q	q12.3	32451595	32476714	b	0,00775419	-0,23040838
224441_s_at	USP45	6	6q	q16.3	100036858	100070029	b	0,00778442	-0,55069276
225033_at	LOC286167	8	8q	q24.22	134536273	134539258	b	0,00780259	-1,39379635
239662_x_at	NA	3	3q	q21.3	131094676	131095108	b	0,00781809	-0,43782532
208250_s_at	DMBT1	10	10q	q26.13	124310170	124393242	b	0,00782704	-0,50966232
1554589_at	LENG9	19	19q	q13.42	59664792	59666775	b	0,00783711	-0,63568439
1560638_a_at	NA	NA	NA	NA	NA	NA	b	0,00793425	-0,39048327
234672_s_at	TMEM48	1	1p	p32.3	54003720	54076696	b	0,00793741	-0,45163576
215885_at	SSX2	X	Xp	p11.22	52797047	52806764	b	0,00797876	-0,44761065
210854_x_at	SLC6A8	X	Xq	q28	152610879	152614043	b	0,00827044	-1,46879265
1555586_at	FAM71B	5	5q	q33.3	156524653	156525833	b	0,00833588	-0,41659023
1564031_a_at	RELL2	5	5q	q31.3	140996700	141000814	b	0,00835644	-0,69475026
211025_x_at	COX5B	2	2q	q11.2	97628952	97631088	b	0,00858061	-0,34434071
238080_at	B4GALNT4	11	11p	p15.5	366913	369523	b	0,00858902	-0,66921661
216315_x_at	NA	X	Xq	q21.31	89431190	89431601	b	0,00865522	-0,67575386
1554212_s_at	KCNS2	8	8q	q22.2	99508425	99512197	b	0,00873653	-0,38969002
225600_at	LOC286144	8	8q	q22.1	93964933	94047514	b	0,0088504	-2,12782759
200812_at	CCT7	2	2p	p13.2	73314958	73333640	b	0,00887125	-0,59307311
230208_at	NA	15	15q	q24.1	71399252	71399895	b	0,00894929	-0,31870757
231276_at	PDE3B	11	11p	p15.2	14622373	14622884	b	0,00899741	-0,42804756
1554752_a_at	NA	5	5q	q35.2	172287188	172288713	b	0,00910209	-0,66494188
232460_at	NA	17	17q	q25.3	77278759	77280735	b	0,00911996	-0,53501609
1556923_at	NA	17	17q	q25.1	71481834	71484058	b	0,00912575	-0,4972191
217534_at	FAM49B	8	8q	q24.21	131051865	131052461	b	0,00921489	-1,28165101
233806_at	NA	20	20p	p11.21	23265114	23266791	b	0,00932933	-0,21089716
218420_s_at	C13orf23	13	13q	q13.3	38483280	38496683	b	0,00936809	-0,79400835
241445_at	NA	2	2q	q13	112552740	112553251	b	0,00944731	-1,32098432
214406_s_at	SLC7A4	22	22q	q11.21	19713007	19716146	b	0,00945235	-0,483238
207061_at	ERN1	17	17q	q23.3	59474491	59561208	b	0,00953633	-0,47399557
215026_x_at	SCNN1A	12	12p	p13.31	6353897	6354947	b	0,00954133	-0,62012139
211080_s_at	NEK2	1	1q	q32.3	209911195	209914319	b	0,00968786	-1,32430905
229183_at	KCTD1	18	18q	q11.2	22381041	22381534	b	0,00974498	-0,42420883
210454_s_at	KCNJ6	21	21q	q22.13	37918740	38210241	b	0,00994831	-0,35304046
204702_s_at	NFE2L3	7	7p	p15.2	26159033	26192407	b	0,00995559	-1,89635617
237042_at	NA	6	6q	q15	90687820	90688200	b	0,00998076	-0,4648488
