GeneID	Gene Symbol	Name
57822	TFCP2L4	Transcription factor CP2-like 4
1515	CTSL2	Cathepsin L2
80157	FLJ21511	Hypothetical protein FLJ21511
150696	PROM2	Prominin 2
167153	PAPD4	PAP associated domain containing 4
6279	S100A8	S100 calcium binding protein A8 (calgranulin A)
2709	GJB5	Gap junction protein, beta 5 (connexin 31.1)
3552	IL1A	Interleukin 1, alpha
934	CD24	CD24 antigen (small cell lung carcinoma cluster 4 antigen)
51599	LISCH7	Liver-specific bHLH-Zip transcription factor
9982	FGFBP1	Fibroblast growth factor binding protein 1
64073	C19orf33	Chromosome 19 open reading frame 33
9048	ARTN	Artemin
2069	EREG	Epiregulin
126695	FLJ34633	Hypothetical protein FLJ34633
80004	FLJ21918	Hypothetical protein FLJ21918
3983	ABLIM1	Actin binding LIM protein 1
285489	FLJ33718	Hypothetical protein FLJ33718
2950	GSTP1	Glutathione S-transferase pi
9938	ARHGAP25	Rho GTPase activating protein 25
11095	ADAMTS8	A disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 8
54751	FBLP-1	Filamin-binding LIM protein-1
27242	TNFRSF21	Tumor necrosis factor receptor superfamily, member 21
112616	CKLFSF7	Chemokine-like factor super family 7
113828	LOC113828	Hypothetical protein BC011204
3883	KRTHA3A	Keratin, hair, acidic, 3A
5268	SERPINB5	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 5
2921	CXCL3	Chemokine (C-X-C motif) ligand 3
999	CDH1	Cadherin 1, type 1, E-cadherin (epithelial)
26154	ABCA12	ATP-binding cassette, sub-family A (ABC1), member 12
8710	SERPINB7	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 7
7739	ZNF185	Zinc finger protein 185 (LIM domain)
50848	F11R	F11 receptor
57111	RAB25	RAB25, member RAS oncogene family
10103	TSPAN-1	Tetraspan 1
84283	MGC13102	Hypothetical protein MGC13102
266977	GPR110	G protein-coupled receptor 110
2706	GJB2	Gap junction protein, beta 2, 26kDa (connexin 26)
7718	ZNF165	Zinc finger protein 165
9414	TJP2	Tight junction protein 2 (zona occludens 2)
2920	CXCL2	Chemokine (C-X-C motif) ligand 2
152028	MGC34923	Hypothetical protein MGC34923
1829	DSG2	Desmoglein 2
84069	DKFZP434H2010	Hypothetical protein DKFZp434H2010
3985	LIMK2	LIM domain kinase 2
6289	SAA2	Serum amyloid A2
57211	GPR126	G protein-coupled receptor 126
3557	IL1RN	Interleukin 1 receptor antagonist
51765	MST4	Mst3 and SOK1-related kinase
135932	FLJ90586	Hypothetical protein FLJ90586
114569	MAL2	Mal, T-cell differentiation protein 2
3783	KCNN4	Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4
5724	PTAFR	Platelet-activating factor receptor
5834	PYGB	Phosphorylase, glycogen; brain
260436	C4orf7	Chromosome 4 open reading frame 7
5646	PRSS3	Protease, serine, 3 (mesotrypsin)
2919	CXCL1	Chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)
6692	SPINT1	Serine protease inhibitor, Kunitz type 1
64359	NXN	Nucleoredoxin
53905	DUOX1	Dual oxidase 1
131566	DCBLD2	Discoidin, CUB and LCCL domain containing 2
928	CD9	CD9 antigen (p24)
2886	GRB7	Growth factor receptor-bound protein 7
10045	SH2D3A	SH2 domain containing 3A
347735	TDE2L	Tumor differentially expressed 2-like
5271	SERPINB8	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 8
8076	MFAP5	Microfibrillar associated protein 5
284085	FLJ40504	Hypothetical protein FLJ40504
202915	MGC9712	Hypothetical protein MGC9712
5318	PKP2	Plakophilin 2
3875	KRT18	Keratin 18
127544	IBRDC3	IBR domain containing 3
84985	BJ-TSA-9	Hypothetical protein MGC14128
1645	AKR1C1	Aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)
58495	ZNF339	Zinc finger protein 339
10205	EVA1	Epithelial V-like antigen 1
135250	RAET1E	Retinoic acid early transcript 1E
5774	PTPN3	Protein tyrosine phosphatase, non-receptor type 3
2152	F3	Coagulation factor III (thromboplastin, tissue factor)
154810	AMOTL1	Angiomotin like 1
3655	ITGA6	Integrin, alpha 6
6280	S100A9	S100 calcium binding protein A9 (calgranulin B)
25946	ZNF385	Zinc finger protein 385
6574	SLC20A1	Solute carrier family 20 (phosphate transporter), member 1
1832	DSP	Desmoplakin
2769	GNA15	Guanine nucleotide binding protein (G protein), alpha 15 (Gq class)
84953	FLJ14966	Hypothetical protein FLJ14966
126353	C19orf21	Chromosome 19 open reading frame 21
1969	EPHA2	EPH receptor A2
27237	ARHGEF16	Rho guanine exchange factor (GEF) 16
3866	KRT15	Keratin 15
79623	GALNT14	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (GalNAc-T14)
64065	PERP	PERP, TP53 apoptosis effector
894	CCND2	Cyclin D2
9076	CLDN1	Claudin 1
101	ADAM8	A disintegrin and metalloproteinase domain 8
164781	FLJ25955	Hypothetical protein FLJ25955
84817	TXNL5	Thioredoxin-like 5
1040	CDS1	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1
25941	C18orf10	Chromosome 18 open reading frame 10
8045	C11orf13	Chromosome 11 open reading frame 13
219855	SLC37A2	Solute carrier family 37 (glycerol-3-phosphate transporter), member 2
11059	WWP1	WW domain containing E3 ubiquitin protein ligase 1
5317	PKP1	Plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)
558	AXL	AXL receptor tyrosine kinase
5874	RAB27B	RAB27B, member RAS oncogene family
1847	DUSP5	Dual specificity phosphatase 5
55765	FLJ10901	Hypothetical protein FLJ10901
9635	CLCA2	Chloride channel, calcium activated, family member 2
6699	SPRR1B	Small proline-rich protein 1B (cornifin)
84879	FLJ14490	Hypothetical protein FLJ14490
283635	C14orf24	Chromosome 14 open reading frame 24
25818	KLK5	Kallikrein 5
27071	DAPP1	Dual adaptor of phosphotyrosine and 3-phosphoinositides
54101	RIPK4	Receptor-interacting serine-threonine kinase 4
4072	TACSTD1	Tumor-associated calcium signal transducer 1
4645	MYO5B	Myosin VB
259173	ALS2CL	ALS2 C-terminal like
64284	RAB17	RAB17, member RAS oncogene family
51458	RHCG	Rhesus blood group, C glycoprotein
5597	MAPK6	Mitogen-activated protein kinase 6
154	ADRB2	Adrenergic, beta-2-, receptor, surface
10480	GA17	Dendritic cell protein
10620	ARID3B	AT rich interactive domain 3B (BRIGHT- like)
25816	TNFAIP8	Tumor necrosis factor, alpha-induced protein 8
3038	HAS3	Hyaluronan synthase 3
4319	MMP10	Matrix metalloproteinase 10 (stromelysin 2)
2832	GPR8	G protein-coupled receptor 8
54894	FLJ20315	Hypothetical protein FLJ20315
10123	ARL7	ADP-ribosylation factor-like 7
79767	ELMO3	Engulfment and cell motility 3 (ced-12 homolog, C. elegans)
23348	DOCK9	Dedicator of cytokinesis 9
10342	TFG	TRK-fused gene
1606	DGKA	Diacylglycerol kinase, alpha 80kDa
57707	KIAA1609	KIAA1609 protein
90102	PHLDB2	Pleckstrin homology-like domain, family B, member 2
3885	KRTHA4	Keratin, hair, acidic, 4
29775	CARD10	Caspase recruitment domain family, member 10
64768	C9orf12	Chromosome 9 open reading frame 12
201799	FLJ32028	Hypothetical protein FLJ32028
2034	EPAS1	Endothelial PAS domain protein 1
51635	DHRS7	Dehydrogenase/reductase (SDR family) member 7
6590	SLPI	Secretory leukocyte protease inhibitor (antileukoproteinase)
4831	NME2	Non-metastatic cells 2, protein (NM23B) expressed in
6288	SAA1	Serum amyloid A1
23002	DAAM1	Dishevelled associated activator of morphogenesis 1
54941	RNF125	Ring finger protein 125
55057	AIM1L	Absent in melanoma 1-like
84002	B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5
5603	MAPK13	Mitogen-activated protein kinase 13
8407	TAGLN2	Transgelin 2
284252	KCTD1	Potassium channel tetramerisation domain containing 1
5355	PLP2	Proteolipid protein 2 (colonic epithelium-enriched)
132	ADK	Adenosine kinase
831	CAST	Calpastatin
397	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta
1288	COL4A6	Collagen, type IV, alpha 6
55806	HR	Hairless homolog (mouse)
79781	IQCA	IQ motif containing with AAA domain
2150	F2RL1	Coagulation factor II (thrombin) receptor-like 1
29984	RHOD	Ras homolog gene family, member D
4170	MCL1	Myeloid cell leukemia sequence 1 (BCL2-related)
3713	IVL	Involucrin
8942	KYNU	Kynureninase (L-kynurenine hydrolase)
3914	LAMB3	Laminin, beta 3
440702	0	LOC440702
56169	MLZE	Melanoma-derived leucine zipper, extra-nuclear factor
80271	ITPKC	Inositol 1,4,5-trisphosphate 3-kinase C
4642	MYO1D	Myosin ID
5792	PTPRF	Protein tyrosine phosphatase, receptor type, F
3310	HSPA6	Heat shock 70kDa protein 6 (HSP70B)
5898	RALA	V-ral simian leukemia viral oncogene homolog A (ras related)
55214	LEPREL1	Leprecan-like 1
93099	ZD52F10	Dermokine
56940	DUSP22	Dual specificity phosphatase 22
26030	PLEKHG3	Pleckstrin homology domain containing, family G (with RhoGef domain) member 3
2137	EXTL3	Exostoses (multiple)-like 3
27076	C4.4A	GPI-anchored metastasis-associated protein homolog
892	CCNC	Cyclin C
286077	FLJ46072	FLJ46072 protein
3673	ITGA2	Integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)
83481	EPPK1	Similar to epiplakin
646	BNC1	Basonuclin 1
9289	GPR56	G protein-coupled receptor 56
130940	LOC130940	Hypothetical protein BC015395
30850	HUMPPA	Paraneoplastic antigen
51143	DNCLI1	Dynein, cytoplasmic, light intermediate polypeptide 1
254427	C10orf47	Chromosome 10 open reading frame 47
8578	SCARF1	Scavenger receptor class F, member 1
10098	TM4SF9	Transmembrane 4 superfamily member 9
3267	HRB	HIV-1 Rev binding protein
56262	LRRC8	Leucine rich repeat containing 8
1573	CYP2J2	Cytochrome P450, family 2, subfamily J, polypeptide 2
8797	TNFRSF10A	Tumor necrosis factor receptor superfamily, member 10a
84280	GMRP-1	K+ channel tetramerization protein
441024	MGC72244	Similar to Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial precursor
163732	CITED4	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4
6274	S100A3	S100 calcium binding protein A3
404203	SPINK6	Serine protease inhibitor, Kazal type 6
55857	C20orf19	Chromosome 20 open reading frame 19
5621	PRNP	Prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)
26207	PITPNC1	Phosphatidylinositol transfer protein, cytoplasmic 1
129642	OACT2	O-acyltransferase (membrane bound) domain containing 2
22822	PHLDA1	Pleckstrin homology-like domain, family A, member 1
201562	PTPLB	Protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b
6768	ST14	Suppression of tumorigenicity 14 (colon carcinoma, matriptase, epithin)
5805	PTS	6-pyruvoyltetrahydropterin synthase
483	ATP1B3	ATPase, Na+/K+ transporting, beta 3 polypeptide
182	JAG1	Jagged 1 (Alagille syndrome)
51719	CAB39	Calcium binding protein 39
7476	WNT7A	Wingless-type MMTV integration site family, member 7A
89796	NAV1	Neuron navigator 1
1849	DUSP7	Dual specificity phosphatase 7
338785	KRT6L	Keratin 6L
130340	AP1S3	Adaptor-related protein complex 1, sigma 3 subunit
51186	WBP5	WW domain binding protein 5
55901	THSD1	Thrombospondin, type I, domain containing 1
55040	EPN3	Epsin 3
114757	CYGB	Cytoglobin
29094	HSPC159	HSPC159 protein
3909	LAMA3	Laminin, alpha 3
10974	C10orf116	Chromosome 10 open reading frame 116
5791	PTPRE	Protein tyrosine phosphatase, receptor type, E
54429	TAS2R5	Taste receptor, type 2, member 5
23550	PSD4	Pleckstrin and Sec7 domain containing 4
23624	CBLC	Cas-Br-M (murine) ecotropic retroviral transforming sequence c
1012	CDH13	Cadherin 13, H-cadherin (heart)
7326	UBE2G1	Ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, C. elegans)
153769	SH3RF2	SH3 domain containing ring finger 2
10678	B3GNT1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1
9208	LRRFIP1	Leucine rich repeat (in FLII) interacting protein 1
54845	FLJ20171	Hypothetical protein FLJ20171
163259	FLJ37099	FLJ37099 protein
10190	TXNDC9	Thioredoxin domain containing 9
5570	PKIB	Protein kinase (cAMP-dependent, catalytic) inhibitor beta
10458	BAIAP2	BAI1-associated protein 2
8190	MIA	Melanoma inhibitory activity
51062	SPG3A	Spastic paraplegia 3A (autosomal dominant)
1839	DTR	Diphtheria toxin receptor (heparin-binding epidermal growth factor-like growth factor)
8843	GPR109B	G protein-coupled receptor 109B
87	ACTN1	Actinin, alpha 1
5339	PLEC1	Plectin 1, intermediate filament binding protein 500kDa
26499	PLEK2	Pleckstrin 2
4168	MCF2	MCF.2 cell line derived transforming sequence
25800	SLC39A6	Solute carrier family 39 (zinc transporter), member 6
54453	RIN2	Ras and Rab interactor 2
1826	DSCAM	Down syndrome cell adhesion molecule
2729	GCLC	Glutamate-cysteine ligase, catalytic subunit
81839	VANGL1	Vang-like 1 (van gogh, Drosophila)
8766	RAB11A	RAB11A, member RAS oncogene family
26232	FBXO2	F-box protein 2
54209	TREM2	Triggering receptor expressed on myeloid cells 2
8796	SCEL	Sciellin
6303	SAT	Spermidine/spermine N1-acetyltransferase
4242	MFNG	Manic fringe homolog (Drosophila)
2591	GALNT3	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)
3710	ITPR3	Inositol 1,4,5-triphosphate receptor, type 3
121512	FGD4	FYVE, RhoGEF and PH domain containing 4
121506	FLJ32115	Hypothetical protein FLJ32115
5939	RBMS2	RNA binding motif, single stranded interacting protein 2
26136	TES	Testis derived transcript (3 LIM domains)
113452	BCLP	Beta-casein-like protein
6307	SC4MOL	Sterol-C4-methyl oxidase-like
9019	MPZL1	Myelin protein zero-like 1
4493	MT1E	Metallothionein 1E (functional)
81704	DOCK8	Dedicator of cytokinesis 8
10818	FRS2	Fibroblast growth factor receptor substrate 2
966	CD59	CD59 antigen p18-20 (antigen identified by monoclonal antibodies 16.3A5, EJ16, EJ30, EL32 and G344)
6835	SURF2	Surfeit 2
7850	IL1R2	Interleukin 1 receptor, type II
10331	B3GNT3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3
3269	HRH1	Histamine receptor H1
222171	LOC222171	Hypothetical protein LOC222171
1948	EFNB2	Ephrin-B2
84679	SLC9A7	Solute carrier family 9 (sodium/hydrogen exchanger), isoform 7
7078	TIMP3	Tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)
84830	C6orf105	Chromosome 6 open reading frame 105
28966	SNX24	Sorting nexing 24
5639	PRRG2	Proline rich Gla (G-carboxyglutamic acid) 2
23541	SEC14L2	SEC14-like 2 (S. cerevisiae)
7263	TST	Thiosulfate sulfurtransferase (rhodanese)
4496	MT1H	Metallothionein 1H
51222	ZNF219	Zinc finger protein 219
132014	IL17RE	Interleukin 17 receptor E
399687	MYO18A	TGFB1-induced anti-apoptotic factor 1
8986	RPS6KA4	Ribosomal protein S6 kinase, 90kDa, polypeptide 4
29115	HCNGP	Transcriptional regulator protein
1021	CDK6	Cyclin-dependent kinase 6
6733	SRPK2	SFRS protein kinase 2
56606	SLC2A9	Solute carrier family 2 (facilitated glucose transporter), member 9
11221	DUSP10	Dual specificity phosphatase 10
56271	BEXL1	Brain expressed X-linked-like 1
10743	RAI1	Smith-Magenis syndrome chromosome region, candidate 6
55359	STYK1	Protein kinase STYK1
25855	BRMS1	Breast cancer metastasis suppressor 1
81579	PLA2G12A	Phospholipase A2, group XIIA
1594	CYP27B1	Cytochrome P450, family 27, subfamily B, polypeptide 1
4500	MT1L	Metallothionein 1L
7051	TGM1	Transglutaminase 1 (K polypeptide epidermal type I, protein-glutamine-gamma-glutamyltransferase)
7170	TPM3	Tropomyosin 3
64129	LCN7	Lipocalin 7
1906	EDN1	Endothelin 1
1512	CTSH	Cathepsin H
9454	HOMER3	Homer homolog 3 (Drosophila)
7105	TM4SF6	Transmembrane 4 superfamily member 6
1366	CLDN7	Claudin 7
54952	SECP43	TRNA selenocysteine associated protein
5836	PYGL	Phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI)
634	CEACAM1	Carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)
79864	FLJ23554	Hypothetical protein FLJ23554
6954	TCP11	T-complex 11 (mouse)
54733	SLC35F2	Solute carrier family 35, member F2
166929	MGC26963	Hypothetical protein MGC26963
4188	MDFI	MyoD family inhibitor
10971	YWHAQ	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide
10892	MALT1	Mucosa associated lymphoid tissue lymphoma translocation gene 1
8664	EIF3S7	Eukaryotic translation initiation factor 3, subunit 7 zeta, 66/67kDa
50649	ARHGEF4	Rho guanine nucleotide exchange factor (GEF) 4
2877	GPX2	Glutathione peroxidase 2 (gastrointestinal)
4070	TACSTD2	Tumor-associated calcium signal transducer 2
126969	MGC45474	Hypothetical protein MGC45474
79631	EFTUD1	Elongation factor Tu GTP binding domain containing 1
55861	C20orf35	Chromosome 20 open reading frame 35
6233	RPS27A	Ribosomal protein S27a
374907	B3GALT7	UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 7
389337	FLJ41603	FLJ41603 protein
8895	CPNE3	Copine III
22824	HSPA4L	Heat shock 70kDa protein 4-like
3291	HSD11B2	Hydroxysteroid (11-beta) dehydrogenase 2
11313	LYPLA2	Lysophospholipase II
93517	HSPC105	NAD(P) dependent steroid dehydrogenase-like
128218	MGC17299	Hypothetical protein MGC17299
56649	TMPRSS4	Transmembrane protease, serine 4
9788	MTSS1	Metastasis suppressor 1
57085	AGTRAP	Angiotensin II receptor-associated protein
10053	AP1M2	Adaptor-related protein complex 1, mu 2 subunit
50805	IRX4	Iroquois homeobox protein 4
79584	FLJ12684	Hypothetical protein FLJ12684
1942	EFNA1	Ephrin-A1
8848	TGFB1I4	Transforming growth factor beta 1 induced transcript 4
5066	PAM	Peptidylglycine alpha-amidating monooxygenase
2621	GAS6	Growth arrest-specific 6
84522	GL009	Hypothetical protein GL009
79817	MOBKL2B	MOB1, Mps One Binder kinase activator-like 2B (yeast)
57549	IGSF9	Immunoglobulin superfamily, member 9
147968	CAPN12	Calpain 12
9848	MFAP3L	Microfibrillar-associated protein 3-like
4053	LTBP2	Latent transforming growth factor beta binding protein 2
262	AMD1	Adenosylmethionine decarboxylase 1
57132	CHMP1.5	CHMP1.5 protein
5055	SERPINB2	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2
954	ENTPD2	Ectonucleoside triphosphate diphosphohydrolase 2
143384	C10orf46	Chromosome 10 open reading frame 46
56905	DKFZP434H132	DKFZP434H132 protein
4501	MT1X	Metallothionein 1X
79861	TUBAL3	Tubulin, alpha-like 3
6698	SPRR1A	Small proline-rich protein 1A
55605	KIF21A	Kinesin family member 21A
394	ARHGAP5	Rho GTPase activating protein 5
388115	FLJ43339	FLJ43339 protein
115817	DHRS1	Dehydrogenase/reductase (SDR family) member 1
23286	KIBRA	KIBRA protein
5373	PMM2	Phosphomannomutase 2
79693	FLJ23476	Ischemia/reperfusion inducible protein
84187	FLJ22679	Hypothetical protein FLJ22679
27075	TM4SF13	Transmembrane 4 superfamily member 13
57099	AVEN	Apoptosis, caspase activation inhibitor
3887	KRTHB1	Keratin, hair, basic, 1
1014	CDH16	Cadherin 16, KSP-cadherin
11322	EVER1	Epidermodysplasia verruciformis 1
23075	SWAP70	SWAP-70 protein
11137	PWP1	Nuclear phosphoprotein similar to S. cerevisiae PWP1
85377	MICAL-L1	MICAL-like 1
5645	PRSS2	Protease, serine, 2 (trypsin 2)
79669	FLJ23186	Hypothetical protein FLJ23186
55700	FLJ10350	Hypothetical protein FLJ10350
760	CA2	Carbonic anhydrase II
23149	FCHO1	FCH domain only 1
1825	DSC3	Desmocollin 3
54	ACP5	Acid phosphatase 5, tartrate resistant
83987	CCDC8	Coiled-coil domain containing 8
1846	DUSP4	Dual specificity phosphatase 4
5671	PSG3	Pregnancy specific beta-1-glycoprotein 3
4495	MT1G	Metallothionein 1G
153562	MARVELD2	MARVEL domain containing 2
64866	CDCP1	CUB domain-containing protein 1
8091	HMGA2	High mobility group AT-hook 2
81551	STMN4	Stathmin-like 4
55117	SLC6A15	Solute carrier family 6 (neurotransmitter transporter), member 15
8609	KLF7	Kruppel-like factor 7 (ubiquitous)
1316	KLF6	Kruppel-like factor 6
3280	HES1	Hairy and enhancer of split 1, (Drosophila)
8446	DUSP11	Dual specificity phosphatase 11 (RNA/RNP complex 1-interacting)
6282	S100A11	S100 calcium binding protein A11 (calgizzarin)
3692	ITGB4BP	Integrin beta 4 binding protein
55686	FLJ10116	Whn-dependent transcript 2
5017	OVOL1	Ovo-like 1(Drosophila)
5743	PTGS2	Prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
9424	KCNK6	Potassium channel, subfamily K, member 6
5315	PKM2	Pyruvate kinase, muscle
445328	FLJ43692	ARHGEF5-like
3163	HMOX2	Heme oxygenase (decycling) 2
57146	LOC57146	Promethin
51474	EPLIN	Epithelial protein lost in neoplasm beta
2125	EVPL	Envoplakin
29095	ORMDL2	ORM1-like 2 (S. cerevisiae)
7168	TPM1	Tropomyosin 1 (alpha)
5130	PCYT1A	Phosphate cytidylyltransferase 1, choline, alpha isoform
10848	PPP1R13L	Protein phosphatase 1, regulatory (inhibitor) subunit 13 like
23406	COTL1	Coactosin-like 1 (Dictyostelium)
6508	SLC4A3	Solute carrier family 4, anion exchanger, member 3
2531	FVT1	Follicular lymphoma variant translocation 1
5708	PSMD2	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 2
55907	CMAS	Cytidine monophosphate N-acetylneuraminic acid synthetase
23592	LEMD3	LEM domain containing 3
6575	SLC20A2	Solute carrier family 20 (phosphate transporter), member 2
23767	FLRT3	Fibronectin leucine rich transmembrane protein 3
1956	EGFR	Epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)
7692	ZNF133	Zinc finger protein 133 (clone pHZ-13)
150094	SNF1LK	SNF1-like kinase
203427	LOC203427	Similar to solute carrier family 25 , member 16
3624	INHBA	Inhibin, beta A (activin A, activin AB alpha polypeptide)
9141	PDCD5	Programmed cell death 5
1307	COL16A1	Collagen, type XVI, alpha 1
4494	MT1F	Metallothionein 1F (functional)
91862	MARVELD3	MARVEL domain containing 3
51072	C2orf4	Chromosome 2 open reading frame 4
688	KLF5	Kruppel-like factor 5 (intestinal)
29763	PACSIN3	Protein kinase C and casein kinase substrate in neurons 3
639	PRDM1	PR domain containing 1, with ZNF domain
285381	ZCSL2	Zinc finger, CSL domain containing 2
23474	ETHE1	Ethylmalonic encephalopathy 1
1947	EFNB1	Ephrin-B1
54187	NANS	N-acetylneuraminic acid synthase (sialic acid synthase)
79183	C20orf121	Chromosome 20 open reading frame 121
55132	FLJ10378	FLJ10378 protein
7037	TFRC	Transferrin receptor (p90, CD71)
5877	RABIF	RAB interacting factor
9718	ECE2	Endothelin converting enzyme 2
153830	FLJ31951	Hypothetical protein FLJ31951
23779	ARHGAP8	Rho GTPase activating protein 8
22899	ARHGEF15	Rho guanine nucleotide exchange factor (GEF) 15
79710	ZCWCC2	Zinc finger, CW type with coiled-coil domain 2
285672	FLJ36754	Hypothetical protein FLJ36754
6926	TBX3	T-box 3 (ulnar mammary syndrome)
140823	C20orf52	Chromosome 20 open reading frame 52
121551	BTBD11	BTB (POZ) domain containing 11
9842	PLEKHM1	Pleckstrin homology domain containing, family M (with RUN domain) member 1
5744	PTHLH	Parathyroid hormone-like hormone
10435	CDC42EP2	CDC42 effector protein (Rho GTPase binding) 2
824	CAPN2	Calpain 2, (m/II) large subunit
54918	CKLFSF6	Chemokine-like factor super family 6
4502	MT2A	Metallothionein 2A
157638	NSE2	Breast cancer membrane protein 101
65989	EGFL9	EGF-like-domain, multiple 9
161835	FSIP1	Fibrous sheath interacting protein 1
23607	CD2AP	CD2-associated protein
80176	SSB1	SPRY domain-containing SOCS box protein SSB-1
2888	GRB14	Growth factor receptor-bound protein 14
54869	EPS8L1	EPS8-like 1
6525	SMTN	Smoothelin
79148	MMP28	Matrix metalloproteinase 28
91749	KIAA1919	KIAA1919
9209	LRRFIP2	Leucine rich repeat (in FLII) interacting protein 2
29978	UBQLN2	Ubiquilin 2
7464	CORO2A	Coronin, actin binding protein, 2A
124739	USP43	Ubiquitin specific protease 43
59345	GNB4	Guanine nucleotide binding protein (G protein), beta polypeptide 4
4860	NP	Nucleoside phosphorylase
3936	LCP1	Lymphocyte cytosolic protein 1 (L-plastin)
117195	MRGX3	G protein-coupled receptor MRGX3
84617	TUBB6	Tubulin, beta 6
9263	STK17A	Serine/threonine kinase 17a (apoptosis-inducing)
84958	SYTL1	Synaptotagmin-like 1
90060	JM11	JM11 protein
5364	PLXNB1	Plexin B1
9245	GCNT3	Glucosaminyl (N-acetyl) transferase 3, mucin type
53836	GPR87	G protein-coupled receptor 87
5588	PRKCQ	Protein kinase C, theta
