Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	Gene Accession	Gene Name	GO Annotation	DNA-binding	Interpro Domaon	69 Zinc Finger	Sex-bias	Composite array score	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)
A_23_P143331	chr20:6759242-6759301	BMP2	NM_001200	Bone morphogenetic protein 2	molecular function|SMAD binding|IDA|GO:0046332|GOA|18184661//molecular function|cytokine activity|IEA|GO:0005125|GOA|na//molecular function|growth factor activity|IEA|GO:0008083|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xe945a0)//molecular function|protein binding|ISS|GO:0005515|GOA|na//molecular function|protein domain specific binding|IEA|GO:0019904|GOA|na//molecular function|protein homodimerization activity|IEA|GO:0042803|GOA|na//molecular function|receptor binding|TAS|GO:0005102|GOA|2315314//molecular function|specific transcriptional repressor activity|IDA|GO:0016566|GOA|15254224//molecular function|transcription activator activity|IDA|GO:0016563|GOA|16243309//biological process|BMP signaling pathway|EXP|GO:0030509|GOA|15621726//biological process|BMP signaling pathway|IDA|GO:0030509|GOA|ARRAY(0x1d31b04)//biological process|BMP signaling pathway|IMP|GO:0030509|GOA|17472960//biological process|SMAD protein signal transduction|IDA|GO:0060395|GOA|17244894//biological process|branching involved in ureteric bud morphogenesis|IEA|GO:0001658|GOA|na//biological process|cardiac cell differentiation|IDA|GO:0035051|GOA|15110716//biological process|cardiac epithelial to mesenchymal transition|IDA|GO:0060317|GOA|18184661//biological process|cartilage development|IEA|GO:0051216|GOA|na//biological process|cell fate commitment|IEA|GO:0045165|GOA|na//biological process|cell-cell signaling|TAS|GO:0007267|GOA|2315314//biological process|embryonic development|IEA|GO:0009790|GOA|na//biological process|epithelial to mesenchymal transition|IDA|GO:0001837|GOA|ARRAY(0x1503dd0)//biological process|growth|IEA|GO:0040007|GOA|na//biological process|inflammatory response|IEA|GO:0006954|GOA|na//biological process|mesenchymal cell differentiation|IDA|GO:0048762|GOA|9693150//biological process|negative regulation of cell cycle|IDA|GO:0045786|GOA|11502704//biological process|negative regulation of cell proliferation|IEA|GO:0008285|GOA|na//biological process|negative regulation of gene-specific transcription|IDA|GO:0032582|GOA|15254224//biological process|odontogenesis of dentine-containing tooth|IEA|GO:0042475|GOA|na//biological process|organ morphogenesis|IEA|GO:0009887|GOA|na//biological process|osteoblast differentiation|IDA|GO:0001649|GOA|15150273//biological process|ovulation cycle|IEA|GO:0042698|GOA|na//biological process|pathway-restricted SMAD protein phosphorylation|IDA|GO:0060389|GOA|ARRAY(0xf78238)//biological process|positive regulation of astrocyte differentiation|IEA|GO:0048711|GOA|na//biological process|positive regulation of bone mineralization|IDA|GO:0030501|GOA|18436533//biological process|positive regulation of endothelial cell proliferation|IDA|GO:0001938|GOA|17992660//biological process|positive regulation of gene expression|IDA|GO:0010628|GOA|16243309//biological process|positive regulation of ossification|IEP|GO:0045778|GOA|17401695//biological process|positive regulation of osteoblast differentiation|IDA|GO:0045669|GOA|ARRAY(0xb99dac)//biological process|positive regulation of pathway-restricted SMAD protein phosphorylation|IDA|GO:0010862|GOA|16049014//biological process|positive regulation of pathway-restricted SMAD protein phosphorylation|IMP|GO:0010862|GOA|17992660//biological process|positive regulation of protein amino acid phosphorylation|IDA|GO:0001934|GOA|17472960//biological process|positive regulation of transcription|IDA|GO:0045941|GOA|16049014//biological process|positive regulation of transcription from RNA polymerase II promoter|IEA|GO:0045944|GOA|na//biological process|regulation of transcription|IDA|GO:0045449|GOA|15671031//biological process|response to mechanical stimulus|IEA|GO:0009612|GOA|na//biological process|response to retinoic acid|IEA|GO:0032526|GOA|na//biological process|skeletal system development|TAS|GO:0001501|GOA|2315314//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|extracellular region|EXP|GO:0005576|GOA|ARRAY(0x1a3fc14)//cellular component|extracellular space|IEA|GO:0005615|GOA|na//cellular component|membrane-bounded vesicle|IEA|GO:0031988|GOA|na//cellular component|protein complex|IEA|GO:0043234|GOA|na	No	IPR001111:Transforming growth factor beta (TGFb), N-terminal,IPR001839:Transforming growth factor beta,IPR002405:Inhibin, alpha subunit,IPR015615:Transforming growth factor-beta-related,IPR017948:Transforming growth factor beta, conserved site,	0	F	15	0.7816	-1.2795	9.1659E-08	312.0345	242.5046
A_23_P114075	chr17:65882283-65882342	BPTF	NM_004459	Bromodomain PHD finger transcription factor	molecular function|DNA-dependent ATPase activity|IDA|GO:0008094|GOA|14609955//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|14609955//molecular function|sequence-specific DNA binding|IDA|GO:0043565|GOA|10403843//molecular function|sequence-specific DNA binding|IMP|GO:0043565|GOA|10575013//molecular function|transcription factor binding|IDA|GO:0008134|GOA|10727212//molecular function|transcription regulator activity|IMP|GO:0030528|GOA|14609955//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|brain development|IMP|GO:0007420|GOA|14609955//biological process|chromatin remodeling|IDA|GO:0006338|GOA|14609955//biological process|negative regulation of transcription from RNA polymerase II promoter|IDA|GO:0000122|GOA|10727212//biological process|positive regulation of gene-specific transcription|IMP|GO:0043193|GOA|14609955//biological process|regulation of transcription|IMP|GO:0045449|GOA|10575013//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|ARRAY(0x1a3034c)	Yes	IPR001487:Bromodomain,IPR001965:Zinc finger, PHD-type,IPR004022:DDT family,IPR012644:Conserved hypothetical protein FYDLN acid,IPR013032:EGF-like region, conserved site,IPR018359:Bromodomain, conserved site,IPR018501:DDT superfamily,IPR019787:Zinc finger, PHD-finger,	1	F	15	0.7708	-1.2973	3.0191E-12	286.3598	220.051
A_23_P380839	chr11:76256997-76257056	C11orf30	NM_020193	Chromosome 11 open reading frame 30	biological process|DNA repair|IEA|GO:0006281|GOA|na//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	No	IPR005491:ENT,	0	F	14	0.8126	-1.2306	3.7579E-09	109.4974	88.8343
A_23_P404606	chr5:172563805-172563864	C5orf41	NM_153607	Chromosome 5 open reading frame 41	molecular function|protein binding|IPI|GO:0005515|GOA|17353931//molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na	Yes	0	0	F	14	0.8421	-1.1876	8.4542E-11	3272.5349	2753.2417
A_24_P348925	chr14:99959862-99959921	CCNK	NM_003858	Cyclin K	molecular function|protein binding|IPI|GO:0005515|GOA|16713569//biological process|cell cycle|IEA|GO:0007049|GOA|na//biological process|cell division|IEA|GO:0051301|GOA|na//biological process|mitosis|IEA|GO:0007067|GOA|na//biological process|regulation of cyclin-dependent protein kinase activity|TAS|GO:0000079|GOA|9632813//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|transcription from RNA polymerase II promoter|TAS|GO:0006366|GOA|9632813	No	IPR006670:Cyclin,IPR006671:Cyclin, N-terminal,IPR013763:Cyclin-related,	0	F	14	0.7507	-1.332	0.00009848	49.0864	36.1391
A_24_P274795	chr7:21940832-21940891	CDCA7L	NM_018719	Cell division cycle associated 7-like	molecular function|protein binding|IDA|GO:0005515|GOA|15994933//biological process|positive regulation of cell proliferation|IDA|GO:0008284|GOA|15994933//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|15994933	No	IPR018866:Cell division cycle-associated protein,	0	F	14	0.8655	-1.1554	5.0705E-09	422.4751	364.8469
A_23_P214969	chr6:139693592-139693651	CITED2	NM_006079	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	molecular function|LBD domain binding|IPI|GO:0050693|GOA|15051727//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x1543220)//molecular function|transcription activator activity|IDA|GO:0016563|GOA|ARRAY(0x11fcfec)//molecular function|transcription coactivator activity|IDA|GO:0003713|GOA|15051727//molecular function|transcription corepressor activity|IMP|GO:0003714|GOA|17906695//molecular function|transcription factor activity|ISS|GO:0003700|GOA|na//molecular function|transcription repressor activity|IDA|GO:0016564|GOA|15051727//biological process|adrenal gland development|IEA|GO:0030325|GOA|na//biological process|anti-apoptosis|ISS|GO:0006916|GOA|na//biological process|blood vessel development|IEA|GO:0001568|GOA|na//biological process|cell proliferation|IDA|GO:0008283|GOA|15051727//biological process|central nervous system development|IEA|GO:0007417|GOA|na//biological process|decidualization|IEA|GO:0046697|GOA|na//biological process|determination of left/right symmetry|ISS|GO:0007368|GOA|na//biological process|embryonic placenta development|IEA|GO:0001892|GOA|na//biological process|embryonic process involved in female pregnancy|IEA|GO:0060136|GOA|na//biological process|heart development|IMP|GO:0007507|GOA|16287139//biological process|heart development|ISS|GO:0007507|GOA|na//biological process|liver development|ISS|GO:0001889|GOA|na//biological process|negative regulation of cell migration|IMP|GO:0030336|GOA|18054336//biological process|negative regulation of gene expression|IDA|GO:0010629|GOA|15051727//biological process|negative regulation of transcription from RNA polymerase II promoter|IMP|GO:0000122|GOA|17906695//biological process|positive regulation of cell cycle|ISS|GO:0045787|GOA|na//biological process|positive regulation of cell-cell adhesion|ISS|GO:0022409|GOA|na//biological process|positive regulation of gene expression|IDA|GO:0010628|GOA|15051727//biological process|positive regulation of gene-specific transcription from RNA polymerase II promoter|ISS|GO:0010552|GOA|na//biological process|positive regulation of transcription|IDA|GO:0045941|GOA|15051727//biological process|positive regulation of transcription|ISS|GO:0045941|GOA|na//biological process|positive regulation of transcription, DNA-dependent|ISS|GO:0045893|GOA|na//biological process|positive regulation of transforming growth factor beta receptor signaling pathway|ISS|GO:0030511|GOA|na//biological process|response to fluid shear stress|IMP|GO:0034405|GOA|12960175//biological process|response to hypoxia|IMP|GO:0001666|GOA|17906695//biological process|trophectodermal cell differentiation|IEA|GO:0001829|GOA|na//biological process|vasculogenesis|IEA|GO:0001570|GOA|na//cellular component|nuclear chromatin|ISS|GO:0000790|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|9434189	No	IPR007576:CITED,	0	F	15	0.8136	-1.2291	1.8412E-08	4044.136	3309.7136
A_24_P532232	chr7:28865345-28865404	CREB5	NM_182899	CAMP responsive element binding protein 5	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|8440710//molecular function|protein dimerization activity|IEA|GO:0046983|GOA|na//molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription factor activity|IDA|GO:0003700|GOA|8378084//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|positive regulation of transcription, DNA-dependent|IDA|GO:0045893|GOA|8378084//biological process|transcription from RNA polymerase II promoter|TAS|GO:0006366|GOA|8378084//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IC|GO:0005634|GOA|8378084	Yes	IPR004827:Basic-leucine zipper (bZIP) transcription factor,IPR007087:Zinc finger, C2H2-type,IPR011616:bZIP transcription factor, bZIP-1,IPR015880:Zinc finger, C2H2-like,IPR016378:Transcription factor, cyclic AMP-dependent,	1	M	14	1.2664	1.2664	0.000015666	408.6657	506.4278
A_24_P342279	chr16:3843588-3843628	CREBBP	NM_004380	CREB binding protein	molecular function|MyoD binding|IDA|GO:0051577|GOA|8621548//molecular function|SMAD binding|IEA|GO:0046332|GOA|na//molecular function|acetyltransferase activity|IDA|GO:0016407|GOA|11742995//molecular function|histone acetyltransferase activity|IDA|GO:0004402|GOA|11742995//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|p53 binding|IPI|GO:0002039|GOA|9194565//molecular function|peroxisome proliferator activated receptor binding|IEA|GO:0042975|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x2a5fd40)//molecular function|signal transducer activity|TAS|GO:0004871|GOA|ARRAY(0x1cafac8)//molecular function|transcription coactivator activity|IDA|GO:0003713|GOA|ARRAY(0xb7f5c4)//molecular function|transcription coactivator activity|IPI|GO:0003713|GOA|8684459//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//molecular function|transcription factor binding|IPI|GO:0008134|GOA|15509593//molecular function|transferase activity|IEA|GO:0016740|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|N-terminal peptidyl-lysine acetylation|IDA|GO:0018076|GOA|12435739//biological process|cell proliferation|IEA|GO:0008283|GOA|na//biological process|germ-line stem cell maintenance|IEA|GO:0030718|GOA|na//biological process|histone acetylation|IDA|GO:0016573|GOA|11742995//biological process|homeostatic process|NAS|GO:0042592|GOA|15261140//biological process|interspecies interaction between organisms|IEA|GO:0044419|GOA|na//biological process|positive regulation of transcription|IDA|GO:0045941|GOA|11742995//biological process|positive regulation of transcription|ISS|GO:0045941|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|IEA|GO:0045944|GOA|na//biological process|protein complex assembly|TAS|GO:0006461|GOA|7913207//biological process|regulation of transcription|TAS|GO:0045449|GOA|15261140//biological process|regulation of transcription, DNA-dependent|IDA|GO:0006355|GOA|12169688//biological process|response to hypoxia|TAS|GO:0001666|GOA|15261140//biological process|signal transduction|NAS|GO:0007165|GOA|15261140//cellular component|cytoplasm|TAS|GO:0005737|GOA|7913207//cellular component|histone acetyltransferase complex|IEA|GO:0000123|GOA|na//cellular component|nuclear body|IDA|GO:0016604|GOA|15488321//cellular component|nucleus|IC|GO:0005634|GOA|12169688//cellular component|outer kinetochore of condensed chromosome|IEA|GO:0000940|GOA|na//cellular component|transcription factor complex|IEA|GO:0005667|GOA|na	No	IPR000197:Zinc finger, TAZ-type,IPR000433:Zinc finger, ZZ-type,IPR001487:Bromodomain,IPR003101:Coactivator CBP, KIX,IPR009255:Transcriptional coactivation,IPR010303:Protein of unknown function DUF902, CREBbp,IPR014744:Nuclear receptor coactivator, CREB-bp-like, interlocking,IPR017871:ABC transporter, conserved site,IPR018359:Bromodomain, conserved site,	1	F	14	0.7989	-1.2517	1.5885E-09	111.5481	88.0036
A_24_P916808	chr15:91142660-91142719	CRTC3	BC019060	CREB regulated transcription coactivator 3	biological process|interspecies interaction between organisms|IEA|GO:0044419|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	No	0	0	F	15	0.6683	-1.4964	0.000088317	7.4084	4.7964
A_24_P281908	chr12:111655692-111655741	CUX2	NM_015267	Cut-like homeobox 2	molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription factor activity|NAS|GO:0003700|GOA|na//molecular function|transcription repressor activity|IEA|GO:0016564|GOA|na//biological process|negative regulation of transcription, DNA-dependent|IEA|GO:0045892|GOA|na//biological process|regulation of transcription, DNA-dependent|NAS|GO:0006355|GOA|na//cellular component|nucleus|NAS|GO:0005634|GOA|na	Yes	0	0	M	16	1.8031	1.8031	0	119.905	217.1646
A_32_P37584	chr7:86824037-86824096	DMTF1	NR_024550	0	0	No	IPR001005:SANT, DNA-binding,IPR012287:Homeodomain-related,IPR014778:Myb, DNA-binding,IPR015495:Myb transcription factor,IPR017877:MYB-like,IPR017930:Myb-type HTH DNA-binding domain,	0	F	14	0.7715	-1.2962	1.8617E-18	63.6897	48.8466
A_23_P31721	chr8:86126199-86126258	E2F5	NM_001951	E2F transcription factor 5, p130-binding	molecular function|protein binding|TAS|GO:0005515|GOA|7760804//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//molecular function|transcription factor binding|IPI|GO:0008134|GOA|16360038//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|nucleoplasm|EXP|GO:0005654|GOA|9190208//cellular component|nucleus|IEA|GO:0005634|GOA|na//cellular component|transcription factor complex|IEA|GO:0005667|GOA|na	No	IPR003316:Transcription factor E2F/dimerisation partner (TDP),IPR011991:Winged helix repressor DNA-binding,IPR015633:E2F Family,	0	M	14	1.1582	1.1582	4.2083E-07	429.1664	495.6535
