Gene Name	Description	RefSeq ID	Fold Change	FDR
TNFRSF12A	Homo sapiens tumor necrosis factor receptor superfamily, member 12A (TNFRSF12A), mRNA	NM_016639	5.1	286.266
CLDN3	Homo sapiens claudin 3 (CLDN3), mRNA	NM_001306	5.0	14.185
LOC200230	PREDICTED: Homo sapiens similar to KIAA0386 (LOC200230), mRNA	XM_114166	5.0	14.185
SESN2	Homo sapiens sestrin 2 (SESN2), mRNA	NM_031459	4.8	593.421
ASNS	Homo sapiens asparagine synthetase (ASNS), transcript variant 2, mRNA	NM_001673	4.8	577.296
MYC	Homo sapiens v-myc myelocytomatosis viral oncogene homolog (avian) (MYC), mRNA	NM_002467	4.7	991.672
SLC16A4	Homo sapiens solute carrier family 16 (monocarboxylic acid transporters), member 4 (SLC16A4), mRNA	NM_004696	4.6	24.232
RBM24	Homo sapiens RNA binding motif protein 24 (RBM24), mRNA	NM_153020	4.6	17.794
FUT5	Homo sapiens fucosyltransferase 5 (alpha (1,3) fucosyltransferase) (FUT5), mRNA	NM_002034	4.6	17.794
LOC387700	Homo sapiens similar monocarboxylate transporter (LOC387700), mRNA	NM_213606	4.6	17.794
ARVCF	Homo sapiens armadillo repeat gene deletes in velocardiofacial syndrome (ARVCF), mRNA	NM_001670	4.5	240.648
AKNA	Homo sapiens AT-hook transcription factor (AKNA), mRNA	NM_030767	4.4	773.280
C17orf28	Homo sapiens chromosome 17 open reading frame 28 (C17orf28), mRNA	NM_030630	4.4	142.865
DUSP8	Homo sapiens dual specificity phosphatase 8 (DUSP8), mRNA	NM_004420	4.4	190.189
FLJ25415	Homo sapiens cDNA FLJ25415 fis, clone TST03443.	AK058144	4.3	21.423
ATF3	Homo sapiens activating transcription factor 3 (ATF3), mRNA	NM_004024	4.2	311.187
FGF2	Homo sapiens fibroblast growth factor 2 (basic) (FGF2), mRNA	NM_002006	4.1	23.778
BBC3	Homo sapiens BCL2 binding component 3 (BBC3), mRNA	NM_014417	4.1	230.599
TCEB3C	Homo sapiens transcription elongation factor B polypeptide 3C (elongin A3) (TCEB3C), mRNA	NM_145653	4.0	18.745
CGRRF1	Homo sapiens cell growth regulator with ring finger domain 1 (CGRRF1), mRNA	NM_006568	4.0	18.745
GLI1	Homo sapiens glioma-associated oncogene homolog 1 (zinc finger protein) (GLI1), mRNA	NM_005269	4.0	41.656
MTHFD2	Homo sapiens methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase (MTHFD2), nuclear gene encoding mitochondrial protein, mRNA	NM_006636	4.0	693.069
FZD9	Homo sapiens frizzled homolog 9 (Drosophila) (FZD9), mRNA	NM_003508	4.0	13.651
FLJ13448	Homo sapiens hypothetical protein FLJ13448 (FLJ13448), mRNA	NM_025147	4.0	22.429
PLA2G4C	Homo sapiens phospholipase A2, group IVC (cytosolic, calcium-independent) (PLA2G4C), mRNA	NM_003706	3.9	44.143
FLJ10874	Homo sapiens hypothetical protein FLJ10874 (FLJ10874), mRNA	NM_018252	3.9	57.108
RASD1	Homo sapiens RAS, dexamethasone-induced 1 (RASD1), mRNA	NM_016084	3.9	70.164
HSPB8	Homo sapiens heat shock 22kDa protein 8 (HSPB8), mRNA	NM_014365	3.9	64.974
BACH2	Homo sapiens BTB and CNC homology 1, basic leucine zipper transcription factor 2 (BACH2), mRNA	NM_021813	3.8	76.674
SLC34A2	Homo sapiens cDNA FLJ90534 fis, clone OVARC1000003, highly similar to Homo sapiens sodium dependent phosphate transporter isoform NaPi-3b mRNA.	AK075015	3.8	41.447
SLC34A2	Homo sapiens solute carrier family 34 (sodium phosphate), member 2 (SLC34A2), mRNA	NM_006424	3.8	41.447
SLC22A15	Homo sapiens solute carrier family 22 (organic cation transporter), member 15 (SLC22A15), mRNA	NM_018420	3.8	104.504
SLC3A2	Homo sapiens solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2 (SLC3A2), mRNA	NM_002394	3.8	1977.878
SDC3	Homo sapiens mRNA for KIAA0468 protein, partial cds.	AB007937	3.7	16.092
GEM	Homo sapiens GTP binding protein overexpressed in skeletal muscle (GEM), transcript variant 1, mRNA	NM_005261	3.7	51.696
NPDC1	Homo sapiens neural proliferation, differentiation and control, 1 (NPDC1), mRNA	NM_015392	3.7	38.815
SLC5A10	Homo sapiens solute carrier family 5 (sodium/glucose cotransporter), member 10 (SLC5A10), mRNA	NM_152351	3.7	50.345
SLC6A9	Homo sapiens solute carrier family 6 (neurotransmitter transporter, glycine), member 9 (SLC6A9), transcript variant 1, mRNA	NM_006934	3.6	153.696
FLJ11196	Homo sapiens acheron (FLJ11196), transcript variant 1, mRNA	NM_018357	3.6	146.963
CSF1	Homo sapiens colony stimulating factor 1 (macrophage) (CSF1), transcript variant 4, mRNA	NM_172212	3.6	132.327
CSF1	Homo sapiens colony stimulating factor 1 (macrophage) (CSF1), transcript variant 2, mRNA	NM_172210	3.6	132.327
DUSP1	Homo sapiens dual specificity phosphatase 1 (DUSP1), mRNA	NM_004417	3.5	446.219
SAMD4	Homo sapiens sterile alpha motif domain containing 4 (SAMD4), mRNA	NM_015589	3.5	46.437
THBS1	Homo sapiens thrombospondin 1 (THBS1), mRNA	NM_003246	3.5	232.861
MGC14376	Homo sapiens hypothetical protein MGC14376 (MGC14376), transcript variant 1, mRNA	NM_032895	3.5	17.325
FLJ43374	Homo sapiens FLJ43374 protein (FLJ43374), mRNA	NM_198582	3.4	13.563
DDR2	Homo sapiens discoidin domain receptor family, member 2 (DDR2), mRNA	NM_006182	3.4	13.563
S100P	Homo sapiens S100 calcium binding protein P (S100P), mRNA	NM_005980	3.4	699.883
SLC7A5	Homo sapiens solute carrier family 7 (cationic amino acid transporter, y+ system), member 5 (SLC7A5), mRNA	NM_003486	3.4	1072.420
G1P2	Homo sapiens interferon, alpha-inducible protein (clone IFI-15K) (G1P2), mRNA	NM_005101	3.4	45.236
IGFBP7	Homo sapiens insulin-like growth factor binding protein 7 (IGFBP7), mRNA	NM_001553	3.4	16.079
STC2	Homo sapiens stanniocalcin 2 (STC2), mRNA	NM_003714	3.3	488.055
TRIB3	Homo sapiens tribbles homolog 3 (Drosophila) (TRIB3), mRNA	NM_021158	3.3	923.178
SLC1A4	Homo sapiens solute carrier family 1 (glutamate/neutral amino acid transporter), member 4 (SLC1A4), mRNA	NM_003038	3.3	168.760
GJC1	Homo sapiens gap junction protein, chi 1, 31.9kDa (connexin 31.9) (GJC1), mRNA	NM_152219	3.3	21.123
PSEN2	Homo sapiens presenilin 2 (Alzheimer disease 4) (PSEN2), transcript variant 1, mRNA	NM_000447	3.3	21.123
OXTR	Homo sapiens oxytocin receptor (OXTR), mRNA	NM_000916	3.2	14.853
RPGR	Homo sapiens retinitis pigmentosa GTPase regulator (RPGR), mRNA	NM_000328	3.2	14.853
BEX2	Homo sapiens brain expressed X-linked 2 (BEX2), mRNA	NM_032621	3.2	90.048
RELB	Homo sapiens v-rel reticuloendotheliosis viral oncogene homolog B, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3 (avian) (RELB), mRNA	NM_006509	3.2	132.949
SLC7A1	Homo sapiens solute carrier family 7 (cationic amino acid transporter, y+ system), member 1 (SLC7A1), mRNA	NM_003045	3.2	310.451
LMLN	Homo sapiens mRNA; cDNA DKFZp686O177 (from clone DKFZp686O177).	AL832783	3.2	17.416
LMLN	Homo sapiens leishmanolysin-like (metallopeptidase M8 family) (LMLN), mRNA	NM_033029	3.2	17.416
SEMA7A	Homo sapiens sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A (SEMA7A), mRNA	NM_003612	3.2	17.416
STOML1	Homo sapiens stomatin (EPB72)-like 1 (STOML1), mRNA	NM_004809	3.2	42.903
DNAJB9	Homo sapiens DnaJ (Hsp40) homolog, subfamily B, member 9 (DNAJB9), mRNA	NM_012328	3.2	116.995
RAB9A	Homo sapiens RAB9A, member RAS oncogene family (RAB9A), mRNA	NM_004251	3.2	31.300
ISG20	Homo sapiens interferon stimulated gene 20kDa (ISG20), mRNA	NM_002201	3.2	45.480
KLF11	Homo sapiens Kruppel-like factor 11 (KLF11), mRNA	NM_003597	3.2	130.602
ADM2	Homo sapiens adrenomedullin 2 (ADM2), mRNA	NM_024866	3.1	233.320
RCL1	Homo sapiens RNA terminal phosphate cyclase-like 1 (RCL1), mRNA	NM_005772	3.1	39.078
ZNF418	Homo sapiens zinc finger protein 418 (ZNF418), mRNA	NM_133460	3.1	16.215
MAP1B	Homo sapiens microtubule-associated protein 1B (MAP1B), transcript variant 1, mRNA	NM_005909	3.1	577.855
RCN1	Homo sapiens reticulocalbin 1, EF-hand calcium binding domain (RCN1), mRNA	NM_002901	3.1	106.798
SQSTM1	Homo sapiens sequestosome 1 (SQSTM1), mRNA	NM_003900	3.1	971.375
FLJ25555	Homo sapiens hypothetical protein FLJ25555 (FLJ25555), mRNA	NM_152345	3.1	23.823
LOC124402	Homo sapiens LOC124402 (LOC124402), mRNA	NM_145253	3.1	61.532
MYCL1	Homo sapiens v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (avian) (MYCL1), mRNA	NM_005376	3.1	28.870
CXCL2	Homo sapiens chemokine (C-X-C motif) ligand 2 (CXCL2), mRNA	NM_002089	3.1	34.112
UAP1L1	Homo sapiens UDP-N-acteylglucosamine pyrophosphorylase 1-like 1 (UAP1L1), mRNA	NM_207309	3.0	464.045
CREB5	Homo sapiens cAMP responsive element binding protein 5 (CREB5), mRNA	NM_004904	3.0	64.441
METRNL	Homo sapiens meteorin, glial cell differentiation regulator-like (METRNL), mRNA	NM_001004431	3.0	56.441
DJ159A19.3	Homo sapiens cDNA FLJ43442 fis, clone OCBBF2030708.	AK125431	3.0	45.880
ZNF425	Homo sapiens zinc finger protein 425 (ZNF425), mRNA	NM_001001661	3.0	15.039
NR0B2	Homo sapiens nuclear receptor subfamily 0, group B, member 2 (NR0B2), mRNA	NM_021969	3.0	47.327
ERN1	Homo sapiens endoplasmic reticulum to nucleus signalling 1 (ERN1), transcript variant 2, mRNA	NM_152461	3.0	166.005
ERN1	Homo sapiens endoplasmic reticulum to nucleus signalling 1 (ERN1), transcript variant 1, mRNA	NM_001433	3.0	166.005
TMC7	Homo sapiens transmembrane channel-like 7 (TMC7), mRNA	NM_024847	3.0	34.338
NOSTRIN	Homo sapiens nitric oxide synthase trafficker (NOSTRIN), mRNA	NM_052946	3.0	59.361
SLC17A2	Homo sapiens solute carrier family 17 (sodium phosphate), member 2 (SLC17A2), mRNA	NM_005835	3.0	26.606
LAMA3	Homo sapiens laminin, alpha 3 (LAMA3), transcript variant 2, mRNA	NM_000227	3.0	43.581
PPP1R15A	Homo sapiens protein phosphatase 1, regulatory (inhibitor) subunit 15A (PPP1R15A), mRNA	NM_014330	2.9	677.879
MGC10731	Homo sapiens hypothetical protein MGC10731 (MGC10731), mRNA	NM_030907	2.9	21.509
C11orf11	Homo sapiens chromosome 11 open reading frame 11 (C11orf11), mRNA	NM_006133	2.9	86.502
GNB1L	Homo sapiens guanine nucleotide binding protein (G protein), beta polypeptide 1-like (GNB1L), mRNA	NM_053004	2.9	30.551
GPSM1	Homo sapiens mRNA; cDNA DKFZp727I051 (from clone DKFZp727I051); partial cds.	AL117478	2.9	25.496
GPSM1	Homo sapiens G-protein signalling modulator 1 (AGS3-like, C. elegans), mRNA (cDNA clone MGC:16636 IMAGE:4121647), complete cds.	BC009979	2.9	25.496
SH3BP2	Homo sapiens SH3-domain binding protein 2 (SH3BP2), mRNA	NM_003023	2.9	182.625
NRP2	Homo sapiens neuropilin 2 (NRP2), transcript variant 1, mRNA	NM_201266	2.9	113.934
NRP2	Homo sapiens neuropilin 2 (NRP2), transcript variant 4, mRNA	NM_018534	2.9	113.934
NRP2	Homo sapiens neuropilin 2 (NRP2), transcript variant 2, mRNA	NM_003872	2.9	113.934
HS3ST3A1	Homo sapiens heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1 (HS3ST3A1), mRNA	NM_006042	2.9	46.410
IL8	Homo sapiens interleukin 8 (IL8), mRNA	NM_000584	2.9	22.894
PIM3	Homo sapiens pim-3 oncogene (PIM3), mRNA	NM_001001852	2.9	560.265
JDP2	Homo sapiens jun dimerization protein 2 (JDP2), mRNA	NM_130469	2.9	54.583
P8	Homo sapiens p8 protein (candidate of metastasis 1) (P8), mRNA	NM_012385	2.9	80.242
IRS2	Homo sapiens insulin receptor substrate 2 (IRS2), mRNA	NM_003749	2.9	133.902
BMP2	Homo sapiens bone morphogenetic protein 2 (BMP2), mRNA	NM_001200	2.8	514.499
PHLDA1	Homo sapiens pleckstrin homology-like domain, family A, member 1 (PHLDA1), mRNA	NM_007350	2.8	209.573
LPXN	Homo sapiens leupaxin (LPXN), mRNA	NM_004811	2.8	15.328
LRRC4	Homo sapiens leucine rich repeat containing 4 (LRRC4), mRNA	NM_022143	2.8	15.328
CLDN9	Homo sapiens claudin 9 (CLDN9), mRNA	NM_020982	2.8	15.328
SP100	Homo sapiens nuclear antigen Sp100 (SP100), mRNA	NM_003113	2.8	25.814
SP100	Homo sapiens mRNA; cDNA DKFZp686E07254 (from clone DKFZp686E07254).	CR749288	2.8	25.814
Shax3	Homo sapiens Snf7 homologue associated with Alix 3 (Shax3), mRNA	NM_152284	2.8	19.344
ZNF71	Homo sapiens zinc finger protein 71 (Cos26) (ZNF71), mRNA	NM_021216	2.8	68.757
GPR172A	Homo sapiens G protein-coupled receptor 172A (GPR172A), mRNA	NM_024531	2.8	108.775
TA-NFKBH	Homo sapiens T-cell activation NFKB-like protein (TA-NFKBH), mRNA	NM_032721	2.8	23.230
SLC1A5	Homo sapiens solute carrier family 1 (neutral amino acid transporter), member 5 (SLC1A5), mRNA	NM_005628	2.8	1096.416
SYT11	Homo sapiens synaptotagmin XI (SYT11), mRNA	NM_152280	2.8	50.011
SLC9A1	Homo sapiens solute carrier family 9 (sodium/hydrogen exchanger), isoform 1 (antiporter, Na+/H+, amiloride sensitive) (SLC9A1), mRNA	NM_003047	2.8	39.288
C9orf150	Homo sapiens chromosome 9 open reading frame 150 (C9orf150), mRNA	NM_203403	2.8	66.518
CAPN2	Homo sapiens calpain 2, (m/II) large subunit (CAPN2), mRNA	NM_001748	2.8	36.767
CEBPB	Homo sapiens CCAAT/enhancer binding protein (C/EBP), beta (CEBPB), mRNA	NM_005194	2.7	555.697
MYEF2	Homo sapiens myelin expression factor 2 (MYEF2), mRNA	NM_016132	2.7	18.220
TRIM65	Homo sapiens tripartite motif-containing 65 (TRIM65), mRNA	NM_173547	2.7	82.002
ARHGEF2	Homo sapiens rho/rac guanine nucleotide exchange factor (GEF) 2 (ARHGEF2), mRNA	NM_004723	2.7	742.210
SERPINE2	Homo sapiens serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2 (SERPINE2), mRNA	NM_006216	2.7	60.171
MCAM	Homo sapiens melanoma cell adhesion molecule (MCAM), mRNA	NM_006500	2.7	49.265
CLDN7	Homo sapiens claudin 7 (CLDN7), mRNA	NM_001307	2.7	19.692
RHOF	Homo sapiens ras homolog gene family, member F (in filopodia) (RHOF), mRNA	NM_019034	2.7	25.067
JAZF1	Homo sapiens juxtaposed with another zinc finger gene 1 (JAZF1), mRNA	NM_175061	2.7	21.099
NBEA	Homo sapiens neurobeachin (NBEA), mRNA	NM_015678	2.7	26.489
C10orf30	Homo sapiens chromosome 10 open reading frame 30 (C10orf30), mRNA	NM_152751	2.7	26.489
ZCWCC3	Homo sapiens zinc finger, CW type with coiled-coil domain 3 (ZCWCC3), mRNA	NM_015358	2.7	31.973
RAB3IL1	Homo sapiens RAB3A interacting protein (rabin3)-like 1 (RAB3IL1), mRNA	NM_013401	2.7	166.200
SLC7A11	Homo sapiens solute carrier family 7, (cationic amino acid transporter, y+ system) member 11 (SLC7A11), mRNA	NM_014331	2.6	163.983
CDKN2B	Homo sapiens cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4) (CDKN2B), transcript variant 1, mRNA	NM_004936	2.6	83.957
HPS6	Homo sapiens Hermansky-Pudlak syndrome 6 (HPS6), mRNA	NM_024747	2.6	68.404
ALDH1L2	Homo sapiens mRNA; cDNA DKFZp686A16126 (from clone DKFZp686A16126).	CR749561	2.6	36.439
ZCCHC10	Homo sapiens zinc finger, CCHC domain containing 10 (ZCCHC10), mRNA	NM_017665	2.6	25.454
PXK	Homo sapiens cDNA FLJ16460 fis, clone BRCAN2018240.	AK131385	2.6	20.087
KCNG3	Homo sapiens potassium voltage-gated channel, subfamily G, member 3 (KCNG3), transcript variant 1, mRNA	NM_133329	2.6	14.616
ATP6V0A2	Homo sapiens ATPase, H+ transporting, lysosomal V0 subunit a isoform 2 (ATP6V0A2), mRNA	NM_012463	2.6	91.617
PLA1A	Homo sapiens phospholipase A1 member A (PLA1A), mRNA	NM_015900	2.6	16.091
LOC93082	Homo sapiens hypothetical protein BC012317 (LOC93082), mRNA	NM_138397	2.6	16.091
OKL38	Homo sapiens pregnancy-induced growth inhibitor (OKL38), mRNA	NM_013370	2.6	59.128
MEF2B	Homo sapiens MADS box transcription enhancer factor 2, polypeptide B (myocyte enhancer factor 2B) (MEF2B), mRNA	NM_005919	2.6	32.786
KCNMB3	Homo sapiens potassium large conductance calcium-activated channel, subfamily M beta member 3 (KCNMB3), transcript variant 1, mRNA	NM_171828	2.6	25.880
ANXA3	Homo sapiens annexin A3 (ANXA3), mRNA	NM_005139	2.6	34.270
LNK	Homo sapiens lymphocyte adaptor protein (LNK), mRNA	NM_005475	2.6	197.465
FAM46B	Homo sapiens family with sequence similarity 46, member B (FAM46B), mRNA	NM_052943	2.6	27.282
JUN	Homo sapiens v-jun sarcoma virus 17 oncogene homolog (avian) (JUN), mRNA	NM_002228	2.6	944.411
CSPG2	Homo sapiens chondroitin sulfate proteoglycan 2 (versican) (CSPG2), mRNA	NM_004385	2.5	172.242
MAFG	Homo sapiens v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian) (MAFG), transcript variant 1, mRNA	NM_002359	2.5	349.793
MAFG	Homo sapiens v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian) (MAFG), transcript variant 2, mRNA	NM_032711	2.5	349.793
JUNB	Homo sapiens jun B proto-oncogene (JUNB), mRNA	NM_002229	2.5	285.187
CDK5R1	Homo sapiens cyclin-dependent kinase 5, regulatory subunit 1 (p35) (CDK5R1), mRNA	NM_003885	2.5	16.502
TFEB	Homo sapiens transcription factor EB (TFEB), mRNA	NM_007162	2.5	16.502
MGC4293	Homo sapiens hypothetical protein MGC4293 (MGC4293), mRNA	NM_031304	2.5	110.750
C14orf43	Homo sapiens chromosome 14 open reading frame 43 (C14orf43), mRNA	NM_194278	2.5	164.367
MAP1LC3B	Homo sapiens microtubule-associated protein 1 light chain 3 beta (MAP1LC3B), mRNA	NM_022818	2.5	97.796
SMOX	Homo sapiens spermine oxidase (SMOX), transcript variant 1, mRNA	NM_175839	2.5	65.447
DUSP4	Homo sapiens dual specificity phosphatase 4 (DUSP4), transcript variant 1, mRNA	NM_001394	2.5	42.148
AMOTL2	Homo sapiens angiomotin like 2 (AMOTL2), mRNA	NM_016201	2.5	364.158
TUBE1	Homo sapiens tubulin, epsilon 1 (TUBE1), mRNA	NM_016262	2.5	33.675
FJX1	Homo sapiens four jointed box 1 (Drosophila) (FJX1), mRNA	NM_014344	2.5	86.386
AK001865	Homo sapiens cDNA FLJ11003 fis, clone PLACE1002851.	AK001865	2.5	22.322
ERO1LB	Homo sapiens ERO1-like beta (S. cerevisiae) (ERO1LB), mRNA	NM_019891	2.5	22.322
WDR21	Homo sapiens WD repeat domain 21 (WDR21), transcript variant 1, mRNA	NM_015604	2.5	22.322
GCNT3	Homo sapiens glucosaminyl (N-acetyl) transferase 3, mucin type, mRNA (cDNA clone MGC:9086 IMAGE:3851937), complete cds.	BC017032	2.5	36.680
GCNT3	Homo sapiens glucosaminyl (N-acetyl) transferase 3, mucin type (GCNT3), mRNA	NM_004751	2.5	36.680
TP53RK	Homo sapiens TP53 regulating kinase (TP53RK), mRNA	NM_033550	2.5	25.279
FLJ10661	Homo sapiens hypothetical protein FLJ10661 (FLJ10661), mRNA	NM_018172	2.5	25.279
NPAS2	Homo sapiens neuronal PAS domain protein 2 (NPAS2), mRNA	NM_002518	2.5	57.207
BAZ1A	Homo sapiens bromodomain adjacent to zinc finger domain, 1A (BAZ1A), transcript variant 1, mRNA	NM_013448	2.5	75.447
MCOLN3	Homo sapiens mucolipin 3 (MCOLN3), mRNA	NM_018298	2.5	14.058
MTHFD2L	Homo sapiens methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like (MTHFD2L), mRNA	NM_001004346	2.5	14.058
RHPN1	Homo sapiens mRNA for KIAA1929 protein, partial cds.	AB067516	2.5	14.058
RHPN1	Homo sapiens rhophilin, Rho GTPase binding protein 1 (RHPN1), mRNA	NM_052924	2.5	14.058
CELSR2	Homo sapiens cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila) (CELSR2), mRNA	NM_001408	2.5	276.922
FLJ13150	Homo sapiens hypothetical protein FLJ13150 (FLJ13150), mRNA	NM_024813	2.4	24.262
RHOB	Homo sapiens ras homolog gene family, member B (RHOB), mRNA	NM_004040	2.4	303.456
GADD45A	Homo sapiens growth arrest and DNA-damage-inducible, alpha (GADD45A), mRNA	NM_001924	2.4	149.826
PQLC2	Homo sapiens cDNA FLJ26661 fis, clone MPG01974.	AK130171	2.4	80.477
PQLC2	Homo sapiens PQ loop repeat containing 2 (PQLC2), mRNA	NM_017765	2.4	80.477
C14orf24	Homo sapiens chromosome 14 open reading frame 24 (C14orf24), mRNA	NM_173607	2.4	38.066
STXBP3	Homo sapiens syntaxin binding protein 3 (STXBP3), mRNA	NM_007269	2.4	35.098
MAPK8IP2	Homo sapiens mitogen-activated protein kinase 8 interacting protein 2 (MAPK8IP2), transcript variant 1, mRNA	NM_012324	2.4	21.794
MGC40368	Homo sapiens hypothetical protein MGC40368 (MGC40368), mRNA	NM_152772	2.4	82.554
RABEP2	Homo sapiens rabaptin, RAB GTPase binding effector protein 2 (RABEP2), mRNA	NM_024816	2.4	18.917
NR4A1	Homo sapiens nuclear receptor subfamily 4, group A, member 1 (NR4A1), transcript variant 1, mRNA	NM_002135	2.4	71.752
CXCL1	Homo sapiens chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha) (CXCL1), mRNA	NM_001511	2.4	17.457
MGC42493	Homo sapiens hypothetical protein MGC42493 (MGC42493), mRNA	NM_178549	2.4	17.457
DSCR1L1	Homo sapiens Down syndrome critical region gene 1-like 1 (DSCR1L1), mRNA	NM_005822	2.4	15.978
C20orf53	Unknown		2.4	14.498
RFXAP	Homo sapiens regulatory factor X-associated protein (RFXAP), mRNA	NM_000538	2.4	14.498
NEURL2	Homo sapiens neuralized-like 2 (Drosophila) (NEURL2), mRNA	NM_080749	2.4	13.055
PKD1	Homo sapiens polycystic kidney disease 1 (autosomal dominant) (PKD1), transcript variant 2, mRNA	NM_000296	2.4	282.262
WDR35	Homo sapiens WD repeat domain 35 (WDR35), transcript variant 2, mRNA	NM_020779	2.4	38.541
AKR1D1	Homo sapiens aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase) (AKR1D1), mRNA	NM_005989	2.4	29.557
TMPRSS9	Homo sapiens transmembrane serine protease 9 (TMPRSS9), mRNA	NM_182973	2.4	49.478
ARL2	Homo sapiens ADP-ribosylation factor-like 2 (ARL2), mRNA	NM_001667	2.4	49.478
RHBDF1	Homo sapiens rhomboid family 1 (Drosophila) (RHBDF1), mRNA	NM_022450	2.4	44.990
CELSR1	Homo sapiens cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila) (CELSR1), mRNA	NM_014246	2.4	312.575
HRMT1L3	Homo sapiens HMT1 hnRNP methyltransferase-like 3 (S. cerevisiae) (HRMT1L3), mRNA	NM_005788	2.4	60.679
FKRP	Homo sapiens fukutin related protein (FKRP), mRNA	NM_024301	2.4	49.988
MGC13024	Homo sapiens hypothetical protein MGC13024 (MGC13024), mRNA	NM_152288	2.4	34.563
