miRNA	Accession No.	Description	Gene symbol
hsa-miR-199a	NM_004958	mechanistic target of rapamycin (serine/threonine kinase)	FRAP1
hsa-miR-199	NM_002093.2	glycogen synthase kinase 3 beta	GSK3B
hsa-miR-200	NM_006037.3	histone deacetylase 4	HDAC4
hsa-miR-30	NM_058176.2	histone deacetylase 9	HDAC9
hsa-miR-199	NM_001530.3	hypoxia inducible factor 1, alpha subunit	HIF1A
hsa-miR-200, hsa-miR-146	NM_031370.2	heterogeneous nuclear ribonucleoprotein D	HNRPD
hsa-miR-23	NM_000641.2	interleukin 11	IL11
hsa-miR-30	NM_000575.3	interleukin 1, alpha	IL1A
hsa-miR-23	NM_000565.2	interleukin 6 receptor	IL6R
hsa-miR-146	NM_001569.3	interleukin-1 receptor-associated kinase 1	IRAK1
hsa-miR-23	NM_002199.3	interferon regulatory factor 2	IRF2
hsa-miR-30	NM_002460.2	interferon regulatory factor 4	IRF4
hsa-miR-199a, hsa-miR-30	NM_018433.5	lysine (K)-specific demethylase 3A	JMJD1A
hsa-miR-23	NM_014663.2	lysine (K)-specific demethylase 4A	JMJD2A
hsa-miR-200a	NM_002228	jun oncogene	JUN/AP1
hsa-miR-199a	NM_002755	mitogen-activated protein kinase kinase 1	MAP2K1
hsa-miR-199a	NM_015093.2	mitogen-activated protein kinase kinase kinase 7 interacting protein 2 (MAP3K7IP2)	MAP3K7IP2
hsa-miR-30	NM_004992.3	methyl CpG binding protein 2	MECP2
hsa-miR-101, hsa-miR-30	NM_005933.2	myeloid/lymphoid or mixed-lineage leukemia	MLL
hsa-miR-23	NM_003743.4	nuclear receptor coactivator 1	NCOA1 (SRC1)
hsa-miR-200b, hsa-miR-199	NM_006540	nuclear receptor coactivator 2	NCOA2(GRIP1)
hsa-miR-30	NM_006312.3	nuclear receptor co-repressor 2	NCOR2 (SMRT)
hsa-miR-200b	NM_002505.4	nuclear transcription factor Y, alpha	NF-YA
hsa-miR-146, hsa-miR-139, hsa-miR-30	NM_138714.2	nuclear factor of activated T-cells	NFAT5
hsa-miR-23	NM_005417.3	v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog	NOCA1(SRC1)
hsa-miR-30	NM_002583.2	PRKC, apoptosis, WT1, regulator	PAWR
hsa-miR-200b	NM_003884.4	K(lysine) acetyltransferase 2B	PCAF
hsa-miR-101, hsa-miR-30	NM_000945.3	protein phosphatase 3 (formerly 2B), regulatory subunit B, alpha isoform	PPP3R1(Calcineurin B, type I)
hsa-miR-200b, miR23b, hsa-miR-30	NM_001198.3	PR domain-containing protein 1 beta	PRDM1 (Blimp1)
hsa-miR-200b, hsa-miR-150	NM_002737	protein kinase C, alpha	PRKCA
hsa-miR-200a, hsa-miR-101	NM_005400	protein kinase C, epsilon	PRKCE
hsa-miR-199a, hsa-miR-200	NM_006908.4	ras-related C3 botulinum toxin substrate 1	RAC1
hsa-miR-101, hsa-miR-30, hsa-miR-200a, hsa-miR-146	NM_006908.4	retinoic acid receptor, beta	RARB
hsa-miR-200b	NM_001664.2	ras homolog gene family, member A	RHOA
hsa-miR-30, hsa-miR-200a, hsa-miR-199	NM_012238.4	sirtuin (silent mating type information regulation 2 homolog) 1	SIRT1
hsa-miR-30	NM_005900.2	SMAD family member 1	SMAD1
hsa-miR-23	NM_005902.3	SMAD family member 3	SMAD3
hsa-miR-146	NM_005359.5	SMAD family member 4	SMAD4
hsa-miR-99	NM_005904.2	SMAD family member 7	SMAD7
hsa-miR-101	NM_003069.3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	SMARCA1
hsa-miR-199a	NM_003070	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	SMARCA2 (BRM)
hsa-miR-199a hsa-miR-139	NM_001128849	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	SMARCA4 (BRG1)
hsa-miR-99	NM_003601.2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	SMARCA5 (ISWI)
hsa-miR-150	NM_003075.3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2	SMARCC2
hsa-miR-150, hsa-miR-199	NM_003076.4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	SMARCD1
hsa-miR-30	NM_001098426.1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2	SMARCD2
hsa-miR-200b	NM_022739.3	SMAD specific E3 ubiquitin protein ligase 2	SMURF2
hsa-miR-200a	NM_003151.2	signal transducer and activator of transcription 4	STAT4
hsa-miR-200a	NM_003152.2	signal transducer and activator of transcription 5A	STAT5A
hsa-miR-23	NM_012448.3	signal transducer and activator of transcription 5B	STAT5B
hsa-miR-199a	NM_003153.3	signal transducer and activator of transcription 6, interleukin-4 induced (STAT6)	STAT6
hsa-miR-199	NM_004604.3	syntaxin 4	STX4
hsa-miR-101	NM_004612.2	transforming growth factor, beta receptor 1	TGFBR1
hsa-miR-23	NM_003243.3	transforming growth factor, beta receptor III	TGFBR3
hsa-miR-199a, hsa-miR-23, hsa-miR-139	NM_170695.2	TGIF-interacting ubiquitin ligase 1	TGIF
hsa-miR-146	NM_004620.2	TNF receptor-associated factor 6	TRAF6
