Probeset	Chip	Ratio25-25	Ratio15-15	Ratio10-10	RatioPPC/BMPC	GenBank	Gene	Localization	Description	Function
202591_s_at	U133A	1.5	1.8	2.1	2.3	NM_003143.1	SSBP1	7q34	single-stranded DNA binding protein	Nuclear functions
222398_s_at	U133B	1.7	2	2.2	4.9	BC002360.1	U5-116KD	17q21.31	U5 snRNP-specific protein, 116 kD	Nuclear functions
224579_at	U133B	1.8	2.3	3	6.8	AK024263.1			Homo sapiens cDNA FLJ14201 fis, clone NT2RP3002955.	Others
225390_s_at	U133B	1.6	2.2	2.5	5.8	AL390127.1			Homo sapiens mRNA; cDNA DKFZp761P06121 (from clone DKFZp761P06121)	Others
239413_at	U133B	1.9	2.6	2.8	5.7	AI130715			ESTs	Others
226896_at	U133B	1.5	1.8	1.7	2.8	AI992290			Homo sapiens, Similar to RIKEN cDNA 1110001O19 gene	Others
227109_at	U133B	1.9	2	2.2	2	AV700558			Homo sapiens cDNA FLJ35265 fis, clone PROST2005039	Others
201603_at	U133A	1.6	2.1	2.2	2.9	NM_002480.1			Homo sapiens full length insert cDNA clone YW25G09	Others
225892_at	U133B	1.8	2.2	2.4	2.3	BF438417			Homo sapiens mRNA; cDNA DKFZp564D1164 (from clone DKFZp564D1164)	Others
228283_at	U133B	1.5	2	2.1	1.8	BE963026			Homo sapiens full length insert cDNA clone YZ88A07	Others
203427_at	U133A	1.9	2.2	2.3	3.2	NM_014034.1	DKFZP547E21	6q22.31	anti-silencing function 1A	Others
223334_at	U133B	1.6	1.7	2	2.6	AL136941.1	DKFZp586C1924	11q14.1	hypothetical protein DKFZp586C1924	Others
213410_at	U133A	1.5	1.6	1.8	3.5	AL050102.1	DKFZp586F1019	10q26.2	DKFZp586F1019 protein	Others
218957_s_at	U133A	1.7	2.1	2.6	1.9	NM_025155.1	FLJ11848	11q13.3	hypothetical protein FLJ11848	Others
222630_at	U133B	1.8	2.3	2.1	2.5	BF740077	FLJ12994	15q21.1	hypothetical protein FLJ12994	Others
219146_at	U133A	1.6	1.9	1.7	1.9	NM_024683.1	FLJ22729		hypothetical protein FLJ22729	Others
225086_at	U133B	1.8	2.9	2.5	4.6	BF679966	FLJ38426	15q13.3	hypothetical protein FLJ38426	Others
225761_at	U133B	1.6	1.8	2.2	1.9	AI434509	FLJ38499	5q13.3	hypothetical protein FLJ38499	Others
218572_at	U133A	1.8	1.8	2.2	2.6	NM_014169.1	HSPC134	14q11.2	HSPC134 protein	Others
200066_at	U133B	1.5	1.7	2	4.5	AF182645.1	IK	5q31.3	IK cytokine, down-regulator of HLA II	Others
212789_at	U133A	1.9	2.5	2.5	6.5	AI796581	KIAA0056	11q25	KIAA0056 protein	Others
229878_at	U133B	1.6	2	2.3	3.3	AI627965	KIAA1731	11q14.3	KIAA1731 protein	Others
225901_at	U133B	1.6	1.9	2.3	2.1	AI440338	LOC114971	11p11.12	hypothetical protein LOC114971	Others
225297_at	U133B	1.8	2.3	2.5	3.2	AV715391	LOC115106	18q12.3	hypothetical protein BC014003	Others
226386_at	U133B	1.8	2.3	2.4	2.4	BG397444	LOC115416	7p15.3	hypothetical protein BC012331	Others
226642_s_at	U133B	1.6	2.1	2.4	3	BF735901	LOC134492	5q34	similar to RIKEN cDNA 2700047N05	Others
242922_at	U133B	2.1	2.3	2.8	3.5	AU151198	LOC283820	16p13.13	hypothetical protein LOC283820	Others
223043_at	U133B	1.5	1.7	1.8	1.8	AF151018.1	LOC51234	15q13.2	hypothetical protein LOC51234	Others
220175_s_at	U133A	1.7	2.5	2.7	2.2	NM_020667.1	LOC55871	2q13	COBW-like protein	Others
224395_s_at	U133B	1.8	2.3	3.2	2.6	AF312226.1	RNF7	3q22-q24	ring finger protein 7	Others
223711_s_at	U133B	1.7	1.9	2.1	3.2	AF182413.1	THY28	11q25	likely ortholog of the mouse thymocyte protein Thy28	Others
224913_s_at	U133B	1.8	2	2.1	5.4	AA877820	TIM50L	19q13.13	homolog of yeast Tim50	Others
218095_s_at	U133A	1.9	2.3	2.5	3.2	NM_018475.1	TPARL	4q12	TPA regulated locus	Others
235425_at	U133B	1.6	1.8	1.9	5.6	AW965339	TRIPIN	2q33.1	tripin	Others
229551_x_at	U133B	1.8	2.4	2.2	6.3	N62196	ZNF367	9q22	zinc finger protein 367	Others
