Probe Set ID	Gene Title	Gene Symbol	Chromosomal Location	Entrez Gene
208605_s_at	neurotrophic tyrosine kinase, receptor, type 1	NTRK1	1q21-q22	4914
208651_x_at	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24	6q21	934
208924_at	ring finger protein 11	RNF11	1pter-p22.1	26994
209070_s_at	regulator of G-protein signalling 5	RGS5	1q23.1	8490
209094_at	dimethylarginine dimethylaminohydrolase 1	DDAH1	1p22	23576
209234_at	kinesin family member 1B	KIF1B	1p36.2	23095
209560_s_at	delta-like 1 homolog (Drosophila)	DLK1	14q32	8788
209956_s_at	calcium/calmodulin-dependent protein kinase (CaM kinase) II beta	CAMK2B	22q12|7p14.3-p14.1	816
209993_at	ATP-binding cassette, sub-family B (MDR/TAP), member 1	ABCB1	7q21.1	5243
210139_s_at	peripheral myelin protein 22	PMP22	17p12-p11.2	5376
210232_at	cell division cycle 42 (GTP binding protein, 25kDa)	CDC42	1p36.1	998
210404_x_at	calcium/calmodulin-dependent protein kinase (CaM kinase) II beta	CAMK2B	22q12|7p14.3-p14.1	816
210432_s_at	sodium channel, voltage-gated, type III, alpha	SCN3A	2q24	6328
210674_s_at	protocadherin alpha 9 /// protocadherin alpha subfamily C, 2 /// protocadherin alpha subfamily C, 1 /// protocadherin alpha 13 /// protocadherin alpha 12 /// protocadherin alpha 11 /// protocadherin alpha 10 /// protocadherin alpha 8 /// protocadherin alpha 7 /// protocadherin alpha 6 /// protocadherin alpha 5 /// protocadherin alpha 4 /// protocadherin alpha 3 /// protocadherin alpha 2 /// protocadherin alpha 1	PCDHA9 /// PCDHAC2 /// PCDHAC1 /// PCDHA13 /// PCDHA12 /// PCDHA11 /// PCDHA10 /// PCDHA8 /// PCDHA7 /// PCDHA6 /// PCDHA5 /// PCDHA4 /// PCDHA3 /// PCDHA2 /// PCDHA1	5q31	56134 /// 56135 /// 56136 /// 56137 /// 56138 /// 56139 /// 56140 /// 56141 /// 56142 /// 56143 /// 56144 /// 56145 /// 56146 /// 56147 /// 9752
210762_s_at	deleted in liver cancer 1	DLC1	8p22	10395
211745_x_at	hemoglobin, alpha 1 /// hemoglobin, alpha 1	HBA1	16p13.3	3039
211776_s_at	erythrocyte membrane protein band 4.1-like 3 /// erythrocyte membrane protein band 4.1-like 3	EPB41L3	18p11.32	23136
212063_at	CD44 antigen (homing function and Indian blood group system)	CD44	11p13	960
212240_s_at	phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)	PIK3R1	5q13.1	5295
212308_at	cytoplasmic linker associated protein 2	CLASP2	3p23	23122
212646_at	raft-linking protein	RAFTLIN	3p25.1-p24.3	23180
212681_at	erythrocyte membrane protein band 4.1-like 3	EPB41L3	18p11.32	23136
212701_at	Clone 23962 mRNA sequence
213241_at	plexin C1	PLXNC1	12q23.3	10154
213245_at	adenylate cyclase 1 (brain)	ADCY1	7p13-p12	107
213268_at	calmodulin binding transcription activator 1	CAMTA1	1p36.31-p36.23	23261
213388_at	phosphodiesterase 4D interacting protein (myomegalin)	PDE4DIP	1q12	9659
213436_at	cannabinoid receptor 1 (brain)	CNR1	6q14-q15	1268
213515_x_at	hemoglobin, gamma A /// hemoglobin, gamma A /// hemoglobin, gamma G /// hemoglobin, gamma G	HBG1 /// HBG2	11p15.5	3047 /// 3048
213689_x_at	Ribosomal protein L5	FAM69A	1p22.1	388650
213841_at	Homo sapiens, clone IMAGE:4915189, mRNA
213894_at	KIAA0960 protein	KIAA0960	7p21.3	23249
213933_at	Prostaglandin E receptor 3 (subtype EP3)	PTGER3	1p31.2	5733
214043_at	Protein tyrosine phosphatase, receptor type, D	PTPRD	9p23-p24.3	5789
214218_s_at	X (inactive)-specific transcript	XIST	Xq13.2	7503
214451_at	transcription factor AP-2 beta (activating enhancer binding protein 2 beta)	TFAP2B	6p21-p12	7021
214608_s_at	eyes absent homolog 1 (Drosophila)	EYA1	8q13.3	2138
214762_at	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G isoform 2	ATP6V1G2	6p21.3	534
214774_x_at	trinucleotide repeat containing 9	TNRC9	16q12.1	27324
214803_at	CDNA clone IMAGE:4152983
214920_at	hypothetical protein LOC221981	LOC221981	7p21.3	221981
216044_x_at	family with sequence similarity 69, member A	FAM69A	1p22.1	388650
216086_at	synaptic vesicle glycoprotein 2C	SV2C	5q13.3	22987
216379_x_at	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24	6q21	934
217621_at	solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2	SLC6A2	16q12.2	6530
217771_at	golgi phosphoprotein 2	GOLPH2	9q21.33	51280
217886_at	epidermal growth factor receptor pathway substrate 15	EPS15	1p32	2060
218191_s_at	LMBR1 domain containing 1	LMBRD1	6q13	55788
218353_at	regulator of G-protein signalling 5	RGS5	1q23.1	8490
218678_at	nestin	NES	1q23.1	10763
218692_at	hypothetical protein FLJ20366	FLJ20366	8q23.2	55638
219087_at	asporin (LRR class 1)	ASPN	9q22	54829
219525_at	hypothetical protein FLJ10847	FLJ10847	17p11.2	55244
219714_s_at	calcium channel, voltage-dependent, alpha 2/delta 3 subunit	CACNA2D3	3p21.1	55799
219778_at	zinc finger protein, multitype 2	ZFPM2	8q23	23414
219895_at	family with sequence similarity 70, member A	FAM70A	Xq24	55026
220979_s_at	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5 /// ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	ST6GALNAC5	1p31.1	81849
221288_at	G protein-coupled receptor 22	GPR22	7q22-q31.1	2845
221728_x_at	X (inactive)-specific transcript	XIST	Xq13.2	7503
222108_at	adhesion molecule with Ig-like domain 2	AMIGO2	12q13.11	347902
222154_s_at	DNA polymerase-transactivated protein 6	DNAPTP6	2q33.1	26010
266_s_at	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24	6q21	934
