Symbol	Accession number	Gene name	Stage	con/dis	IM/N	DR/IM	PMID	Cell line
PLAT	NM_000930	plasminogen activator, tissue	early	Dis	-2	0	14517073	1
PLSCR1	NM_021105	phospholipid scramblase 1	early	Dis	-2	0	16505361	1
PRKR	NM_002759	protein kinase, interferon-inducible double stranded RNA dependent	early	Dis	-2	0	12115547	1
SERPINB1	NM_030666	serine (or cysteine) proteinase inhibitor, clade B, member 1	early	Dis	-4	0	14517073	1
BIK	NM_001197	BCL2-interacting killer (apoptosis-inducing)	late	Dis	0	2	12115547	-1
CENPF	NM_016343	centromere protein F, 350/400ka (mitosin)	late	Dis	-1	2	11287578	-1
DSC3	NM_024423	desmocollin 3	late	Dis	0	-3	12115547	1
DUSP4	NM_001394	dual specificity phosphatase 4	late	Dis	0	-2	16505361	1
FMOD	NM_002023	fibromodulin	late	Dis	0	-3	10756030	1
TFPI2	AK092499	tissue factor pathway inhibitor 2	late	Dis	-1	-2	14517073	1
