Gene	Definition	Fold Change
LOC643813	PREDICTED:  hypothetical protein LOC643813 (LOC643813), mRNA.	0.420703384
LOC644422	PREDICTED:  similar to arginine/serine-rich splicing factor 6, transcript variant 1 (LOC644422), mRNA.	0.172461752
LOC645304	PREDICTED:  similar to Heat shock protein HSP 90-alpha (HSP 86), transcript variant 1 (LOC645304), mRNA.	2.39243807
LOC645937	PREDICTED:  similar to zinc finger protein 598 (LOC645937), mRNA.	0.618013125
LOC646197	PREDICTED:  similar to Heat shock protein HSP 90-beta (HSP 84) (Tumor-specific transplantation 84 kDa antigen) (TSTA) (LOC646197), mRNA.	2.187243736
LOC647048	PREDICTED:  similar to hypothetical gene LOC283846 (LOC647048), mRNA.	0.632496482
LOC648581	PREDICTED:  similar to alveolar soft part sarcoma chromosome region, candidate 1 (LOC648581), mRNA.	0.387466307
LOC649169	PREDICTED:  similar to WD-repeat protein 74 (NOP seven-associated protein 1), transcript variant 1 (LOC649169), mRNA.	0.422883487
LOC650155	PREDICTED:  similar to centaurin, gamma-like family, member 1 (LOC650155), mRNA.	0.361946903
LOC652773	PREDICTED:  similar to Shwachman-Bodian-Diamond syndrome (predicted) (LOC652773), mRNA.	0.56322208
LOC653103	PREDICTED:  similar to Ankyrin repeat domain protein 11 (Ankyrin repeat-containing cofactor 1) (LOC653103), mRNA.	0.644453998
LOC653198	PREDICTED:  similar to phosphodiesterase 4D, cAMP specific (LOC653198), mRNA.	0.431218157
LOC653705	PREDICTED:  similar to chromosome 18 open reading frame 43 (LOC653705), mRNA.	0.557360743
LOC90120	PREDICTED:  hypothetical gene supported by AK023162, transcript variant 4 (LOC90120), mRNA.	0.586951474
LPL	lipoprotein lipase (LPL), mRNA.	1.949563211
LRFN4	leucine rich repeat and fibronectin type III domain containing 4 (LRFN4), mRNA.	0.570710245
LRP16	MACRO domain containing 1 (MACROD1), mRNA.	0.53966895
LSM10	LSM10, U7 small nuclear RNA associated (LSM10), mRNA.	0.6240224
MAGOH	mago-nashi homolog, proliferation-associated (Drosophila) (MAGOH), mRNA.	0.543592794
MAP3K8	mitogen-activated protein kinase kinase kinase 8 (MAP3K8), mRNA.	3.003586801
MARS	methionyl-tRNA synthetase (MARS), mRNA.	0.422488931
MDP-1	magnesium-dependent phosphatase 1 (MDP-1), mRNA.	0.631733389
MDS028	integrin alpha FG-GAP repeat containing 2 (ITFG2), mRNA.	0.517387617
MGC20255	coiled-coil domain containing 97 (CCDC97), mRNA.	0.564768565
MGC42630	hypothetical protein MGC42630 (MGC42630), mRNA.	0.559388646
MLLT6	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6 (MLLT6), mRNA.	0.644533287
MMD	monocyte to macrophage differentiation-associated (MMD), mRNA.	2.063178135
MRPL47	mitochondrial ribosomal protein L47 (MRPL47), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.	0.570617541
MT1G	metallothionein 1G (MT1G), mRNA.	1.952690972
MTG1	mitochondrial GTPase 1 homolog (S. cerevisiae) (MTG1), mRNA.	0.433694746
MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase (MTHFD2), nuclear gene encoding mitochondrial protein, mRNA.	0.550112942
MTM1	myotubularin 1 (MTM1), mRNA.	1.912052117
MYBBP1A	MYB binding protein (P160) 1a (MYBBP1A), mRNA.	0.538461538
NAP1L3	nucleosome assembly protein 1-like 3 (NAP1L3), mRNA.	2.898678414
NEFL	neurofilament, light polypeptide 68kDa (NEFL), mRNA.	2.22099752
NES	nestin (NES), mRNA.	2.599065421
NGRN	neugrin, neurite outgrowth associated (NGRN), transcript variant 1, mRNA.	0.324982334
NNMT	nicotinamide N-methyltransferase (NNMT), mRNA.	0.610123545
NUAK2	NUAK family, SNF1-like kinase, 2 (NUAK2), mRNA.	0.327180601
OSR1	odd-skipped related 1 (Drosophila) (OSR1), mRNA.	0.636938202
PABPN1	poly(A) binding protein, nuclear 1 (PABPN1), mRNA.	0.549714891
PCK2	phosphoenolpyruvate carboxykinase 2 (mitochondrial) (PCK2), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	0.144903467
PCOLCE	procollagen C-endopeptidase enhancer (PCOLCE), mRNA.	2.969387755
PES1	pescadillo homolog 1, containing BRCT domain (zebrafish) (PES1), mRNA.	0.428104575
PHGDH	phosphoglycerate dehydrogenase (PHGDH), mRNA.	0.522342595
PIGO	phosphatidylinositol glycan anchor biosynthesis, class O (PIGO), transcript variant 2, mRNA.	0.409448819
PIM2	pim-2 oncogene (PIM2), mRNA.	1.782837128
PKD1	polycystic kidney disease 1 (autosomal dominant) (PKD1), transcript variant 1, mRNA.	0.294815382
PLCG2	phospholipase C, gamma 2 (phosphatidylinositol-specific) (PLCG2), mRNA.	1.834013179
POLR3C	polymerase (RNA) III (DNA directed) polypeptide C (62kD) (POLR3C), mRNA.	0.615070498
PPAN	peter pan homolog (Drosophila) (PPAN), mRNA.	0.58885985
PRSS15	lon peptidase 1, mitochondrial (LONP1), nuclear gene encoding mitochondrial protein, mRNA.	0.506067124
PSPH	phosphoserine phosphatase (PSPH), mRNA.	0.262554369
PTCD2	pentatricopeptide repeat domain 2 (PTCD2), mRNA.	0.541435185
PTGER2	prostaglandin E receptor 2 (subtype EP2), 53kDa (PTGER2), mRNA.	2.6
PUS1	pseudouridylate synthase 1 (PUS1), transcript variant 2, mRNA.	0.537926295
PYCR2	pyrroline-5-carboxylate reductase family, member 2 (PYCR2), mRNA.	0.433241506
RAB26	RAB26, member RAS oncogene family (RAB26), mRNA.	2.215528491
RAGE	renal tumor antigen (RAGE), mRNA.	0.629848229
RB1	retinoblastoma 1 (including osteosarcoma) (RB1), mRNA.	1.882623225
RCL1	RNA terminal phosphate cyclase-like 1 (RCL1), mRNA.	0.532658328
RECK	reversion-inducing-cysteine-rich protein with kazal motifs (RECK), mRNA.	2.087047354
RN7SK	RNA, 7SK, nuclear (RN7SK) on chromosome 6.	1.565169468
RNASEH1	ribonuclease H1 (RNASEH1), mRNA.	0.657227922
RNF187	PREDICTED:  ring finger protein 187 (RNF187), mRNA.	0.357920946
RNU64	small nucleolar RNA, H/ACA box 64 (SNORA64) on chromosome 16.	0.292056829
RNU70	small nucleolar RNA, H/ACA box 70 (SNORA70) on chromosome X.	0.561117483
RNUT1	RNA, U transporter 1 (RNUT1), mRNA.	0.613119143
RRAGD	Ras-related GTP binding D (RRAGD), mRNA.	1.920627421
SARS	seryl-tRNA synthetase (SARS), mRNA.	0.606134043
SDCCAG10	serologically defined colon cancer antigen 10 (SDCCAG10), mRNA.	0.666182253
SEC24A	SEC24 related gene family, member A (S. cerevisiae) (SEC24A), mRNA.	2.372423596
SERPINB2	serpin peptidase inhibitor, clade B (ovalbumin), member 2 (SERPINB2), mRNA.	2.097715303
SERPINB8	serpin peptidase inhibitor, clade B (ovalbumin), member 8 (SERPINB8), transcript variant 1, mRNA.	0.623208507
SESN2	sestrin 2 (SESN2), mRNA.	0.361805979
SF1	splicing factor 1 (SF1), transcript variant 4, mRNA.	0.154340836
SGPL1	sphingosine-1-phosphate lyase 1 (SGPL1), mRNA.	0.557605291
SH2B1	SH2B adaptor protein 1 (SH2B1), mRNA.	0.315904822
SIPA1L3	signal-induced proliferation-associated 1 like 3 (SIPA1L3), mRNA.	0.340712223
SLC1A5	solute carrier family 1 (neutral amino acid transporter), member 5 (SLC1A5), mRNA.	0.53469303
SLC31A1	solute carrier family 31 (copper transporters), member 1 (SLC31A1), mRNA.	0.603799762
SLC38A1	solute carrier family 38, member 1 (SLC38A1), mRNA.	0.27662037
SLC3A2	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2 (SLC3A2), transcript variant 1, mRNA.	0.19061057
SLC4A2	solute carrier family 4, anion exchanger, member 2 (erythrocyte membrane protein band 3-like 1) (SLC4A2), mRNA.	0.6038929
SLC7A1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1 (SLC7A1), mRNA.	0.553353107
SLC7A11	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11 (SLC7A11), mRNA.	0.586969883
SLC7A5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5 (SLC7A5), mRNA.	0.52434063
SLC9A8	solute carrier family 9 (sodium/hydrogen exchanger), member 8 (SLC9A8), mRNA.	0.449454545
SNRPA	small nuclear ribonucleoprotein polypeptide A (SNRPA), mRNA.	0.648334592
SNUPN	snurportin 1 (SNUPN), transcript variant 2, mRNA.	0.61996324
SOX8	SRY (sex determining region Y)-box 8 (SOX8), mRNA.	2.274212369
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced (STAT6), mRNA.	0.591823491
STS-1	Cbl-interacting protein Sts-1 (STS-1), mRNA.	2.035043169
STXBP6	syntaxin binding protein 6 (amisyn) (STXBP6), mRNA.	0.564492166
TAF9	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa (TAF9), transcript variant 2, mRNA.	0.590844913
TATDN3	TatD DNase domain containing 3 (TATDN3), transcript variant 1, mRNA.	0.612755949
TCEA1	transcription elongation factor A (SII), 1 (TCEA1), transcript variant 1, mRNA.	0.421043198
TCEAL3	transcription elongation factor A (SII)-like 3 (TCEAL3), transcript variant 1, mRNA.	1.806279524
TIMM44	translocase of inner mitochondrial membrane 44 homolog (yeast) (TIMM44), mRNA.	0.484747706
TMEM185B	transmembrane protein 185B (TMEM185B) on chromosome 2.	0.617859641
TMEM79	transmembrane protein 79 (TMEM79), mRNA.	0.489402013
TNFRSF10A	tumor necrosis factor receptor superfamily, member 10a (TNFRSF10A), mRNA.	0.559356685
TP53INP1	tumor protein p53 inducible nuclear protein 1 (TP53INP1), mRNA.	1.959692029
TPST1	tyrosylprotein sulfotransferase 1 (TPST1), mRNA.	1.910845234
TRAFD1	TRAF-type zinc finger domain containing 1 (TRAFD1), mRNA.	1.77204423
TRIB3	tribbles homolog 3 (Drosophila) (TRIB3), mRNA.	0.329194672
TRIM61	tripartite motif-containing 61 (TRIM61), mRNA.	0.509884372
TSTA3	tissue specific transplantation antigen P35B (TSTA3), mRNA.	0.484701311
TTC5	tetratricopeptide repeat domain 5 (TTC5), mRNA.	0.64455382
TUBA1	tubulin, alpha 4a (TUBA4A), mRNA.	2.078536116
TUBB2B	tubulin, beta 2B (TUBB2B), mRNA.	2.190261932
TUBB4	tubulin, beta 4 (TUBB4), mRNA.	1.847161066
TUBB4Q	tubulin, beta polypeptide 4, member Q (TUBB4Q), mRNA.	1.762972188
UBE2E1	ubiquitin-conjugating enzyme E2E 1 (UBC4/5 homolog, yeast) (UBE2E1), transcript variant 1, mRNA.	0.531160312
VPS37C	vacuolar protein sorting 37 homolog C (S. cerevisiae) (VPS37C), mRNA.	0.639380597
WBSCR20B	Williams-Beuren Syndrome critical region protein 20 copy B (WBSCR20B), mRNA.	0.248937075
WBSCR27	Williams Beuren syndrome chromosome region 27 (WBSCR27), mRNA.	0.484382747
WDR25	WD repeat domain 25 (WDR25), mRNA.	0.630083293
WDR73	WD repeat domain 73 (WDR73), mRNA.	0.55161987
WDR74	WD repeat domain 74 (WDR74), mRNA.	0.488120252
WIPI1	WD repeat domain, phosphoinositide interacting 1 (WIPI1), mRNA.	1.96138077
WISP2	WNT1 inducible signaling pathway protein 2 (WISP2), mRNA.	1.871250707
YARS	tyrosyl-tRNA synthetase (YARS), mRNA.	0.520808391
ZBTB17	zinc finger and BTB domain containing 17 (ZBTB17), mRNA.	0.52071383
ZNF239	zinc finger protein 239 (ZNF239), mRNA.	0.532110092
ZNF286	zinc finger protein 286A (ZNF286A), mRNA.	0.437681159
ZNF319	zinc finger protein 319 (ZNF319), mRNA.	0.622090016
ZNF385	zinc finger protein 385 (ZNF385), mRNA.	2.132508834
ZNF447	zinc finger and SCAN domain containing 18 (ZSCAN18), mRNA.	0.649030942
ZNRD1	zinc ribbon domain containing 1 (ZNRD1), transcript variant b, mRNA.	0.549371069
