Rank	Accession No.	Title	Symbol	Mean fold change	P Value	q-Value
74	NM_002298.2	Lymphocyte cytosolic protein 1  , transcript variant 5	LCP1	23	0.000000001	0.00000169
75	NM_000558.3	Hemoglobin, alpha 1	HBA1	22.6	0.00000134	0.0001761
76	NM_006762.1	Lysosomal associated multispanning membrane protein 5	LAPTM5	22.5	2.7E-09	0.0000032
77	XM_936253.1	PREDICTED:  similar to Ig kappa chain V-III region HAH precursor	LOC642113	22.5	0.000058	0.001686
78	NM_001482.1	Glycine amidinotransferase	GATM	22.5	0.00000197	0.0002289
79	NM_001074.1	UDP glucuronosyltransferase 2 family, polypeptide B7	UGT2B7	22.5	0.0000281	0.0010866
80	NM_001737.2	Complement component 9	C9	22.5	0.0000254	0.0010135
81	NM_002118.3	Major histocompatibility complex, class II, DM beta	HLA-DMB	22.5	0.0000126	0.0006607
82	NM_022349.2	Membrane-spanning 4-domains, subfamily A, member 6A , transcript variant 2	MS4A6A	22.1	7.2E-09	0.00000648
83	NM_000063.3	Complement component 2	C2	22	0	0
84	NM_002215.1	Inter-alpha  inhibitor H1	ITIH1	21.8	0.0000151	0.0007316
85	NM_000045.2	Arginase, liver	ARG1	21.6	0.0000539	0.0016085
86	NM_000130.2	Coagulation factor V	F5	21.4	0.000000296	0.0000684
87	NM_000606.1	Complement component 8, gamma polypeptide	C8G	21.1	0.00000306	0.0002965
88	NM_001075.2	UDP glucuronosyltransferase 2 family, polypeptide B10	UGT2B10	20.5	0.0000455	0.0014423
89	NM_021139.1	UDP glucuronosyltransferase 2 family, polypeptide B4	UGT2B4	20.3	0.0000448	0.001442
90	NM_002964.3	S100 calcium binding protein A8	S100A8	20.2	0.0000152	0.0007316
91	XM_936518.1	PREDICTED:  similar to Ig kappa chain V-I region HK101 precursor	LOC647450	20	0.0000668	0.0018295
92	NM_000778.2	Cytochrome P450, family 4, subfamily A, polypeptide 11	CYP4A11	20	0.000123	0.0026993
93	NM_002153.1	Hydroxysteroid  dehydrogenase 2	HSD17B2	19.9	0.0000151	0.0007316
94	NM_145740.2	Glutathione S-transferase A1	GSTA1	19.8	0.0005382	0.0067923
95	NM_033554.2	Major histocompatibility complex, class II, DP alpha 1	HLA-DPA1	19.1	0.000091	0.0022282
96	NM_000301.1	Plasminogen	PLG	18.9	0.0000754	0.0019723
97	NM_001025158.1	CD74 antigen  , transcript variant 3	CD74	18.7	0.0002709	0.0043375
98	NM_014495.2	Angiopoietin-like 3	ANGPTL3	18.6	0.0000106	0.0005968
99	NM_012072.2	Complement component 1, q subcomponent, receptor 1	C1QR1	18.4	1E-10	0.00000029
100	NM_000562.1	Complement component 8, alpha polypeptide	C8A	17.9	0.00000639	0.0004411
101	NM_021983.4	Major histocompatibility complex, class II, DR beta 4	HLA-DRB4	17.8	0.0000113	0.0006241
102	NM_032782.3	Hepatitis A virus cellular receptor 2	HAVCR2	17.5	7E-10	0.00000152
103	NM_001085.4	Serpin peptidase inhibitor, clade A , member 3	SERPINA3	17.3	0.00000266	0.0002847
104	XM_496697.2	PREDICTED:  similar to UDP-glucuronosyltransferase 2B7 precursor	LOC441018	17.3	0.0000452	0.001442
105	NM_000846.3	Glutathione S-transferase A2	GSTA2	17.1	0.0006189	0.0074573
106	NM_001145.2	Angiogenin, ribonuclease, rnase A family, 5	ANG	17	0.00000699	0.0004563
107	NM_004484.2	Glypican 3	GPC3	16.9	0.0002228	0.003871
108	NM_018419.2	SRY -box 18	SOX18	16.7	0.000000394	0.0000844
109	NM_000340.1	Solute carrier family 2 , member 2	SLC2A2	16.6	0.000034	0.0012174
110	NM_004132.2	Hyaluronan binding protein 2	HABP2	16.6	0.00000651	0.0004439
111	XM_942072.1	PREDICTED:  carboxypeptidase N, polypeptide 2, 83kd	CPN2	16.6	0.0000124	0.0006564
112	NM_018326.2	Gtpase, IMAP family member 4	GIMAP4	16.3	1.6E-09	0.0000022
113	NM_005849.1	Immunoglobulin superfamily, member 6	IGSF6	16.3	4.61E-08	0.0000227
114	XM_941789.1	PREDICTED:  similar to Glutathione S-transferase A1	LOC652358	16	0.0006469	0.0076742
115	CR627122	Mrna; cdna dkfzp779m2422	Hs.291319	16	0.000000438	0.0000885
116	NM_000185.3	Serpin peptidase inhibitor, clade D , member 1	SERPIND1	15.9	0.0000169	0.0007773
117	NM_031311.2	Carboxypeptidase, vitellogenic-like , transcript variant 1	CPVL	15.8	0.000000281	0.0000655
118	XM_936226.1	PREDICTED:  similar to Complement C3 precursor	LOC653879	15.8	0.00000119	0.0001656
119	NM_000412.2	Histidine-rich glycoprotein	HRG	15.7	0.0004239	0.0057563
120	XM_937886.1	PREDICTED:  fibrinogen-like 1, transcript variant 5	FGL1	15.5	0.00000103	0.000151
121	NM_052972.2	Leucine-rich alpha-2-glycoprotein 1	LRG1	15.4	0.00000126	0.0001702
122	NM_016347.1	Putative N-acetyltransferase Camello 2	CML2	15	0.00000322	0.0003002
123	NM_000552.2	Von Willebrand factor	VWF	14.7	0.00000377	0.0003281
124	XM_940969.1	PREDICTED:  similar to Ig kappa chain V-II region RPMI 6410 precursor	LOC651751	14.7	0.0003663	0.0052341
125	NM_002113.1	Complement factor H-related 1	CFHR1	14.6	0.0001227	0.0026962
126	NM_206939.1	Membrane-spanning 4-domains, subfamily A, member 7 , transcript variant 3	MS4A7	14.5	1.26E-08	0.00000889
127	NM_000065.1	Complement component 6	C6	14.4	0.0007491	0.0084273
128	NM_001818.2	Aldo-keto reductase family 1, member C4	AKR1C4	14.3	0.0000383	0.0013002
129	NM_001077.2	UDP glucuronosyltransferase 2 family, polypeptide B17	UGT2B17	14.2	0.0000876	0.0021695
130	XM_940101.1	PREDICTED:  serpin peptidase inhibitor, clade A , member 11	SERPINA11	14	0.0002206	0.0038509
131	NM_177550.2	Solute carrier family 13 , member 5	SLC13A5	14	0.0001241	0.0027114
132	NM_000934.1	Serpin peptidase inhibitor, clade F , member 2	SERPINF2	13.9	0.0000528	0.0015951
133	NM_014033.2	Methyltransferase like 7A	METTL7A	13.9	0.000082	0.0020704
134	NM_018487.2	Hepatocellular carcinoma-associated antigen 112	HCA112	13.6	0.0000533	0.0016024
135	NM_003167.2	Sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone -preferring, member 1	SULT2A1	13.6	0.0004428	0.0059338
136	NM_001175.4	Rho GDP dissociation inhibitor  beta	ARHGDIB	13.5	0.0004503	0.0060122
137	NM_138933.1	Apobec-1 complementation factor , transcript variant 3	ACF	13.4	0.00000446	0.0003541
138	NM_000067.1	Carbonic anhydrase II	CA2	13.4	0.0000088	0.0005318
139	NM_194431.1	Ribonuclease, rnase A family, 4 , transcript variant 3	RNASE4	13.3	0.0000121	0.0006477
140	NM_022555.3	Major histocompatibility complex, class II, DR beta 3	HLA-DRB3	13.2	0.00000699	0.0004563
141	NM_000716.3	Complement component 4 binding protein, beta , transcript variant 1	C4BPB	13	0.0000119	0.0006392
142	NM_000133.2	Coagulation factor IX	F9	13	0.0002498	0.0041575
143	NM_000253.1	Microsomal triglyceride transfer protein	MTTP	13	0.0000227	0.0009546
144	NM_000669.3	Alcohol dehydrogenase 1C , gamma polypeptide	ADH1C	13	0.0022466	0.0172365
145	NM_006894.4	Flavin containing monooxygenase 3 , transcript variant 1	FMO3	12.8	0.000303	0.0046382
146	NM_000777.2	Cytochrome P450, family 3, subfamily A, polypeptide 5	CYP3A5	12.8	0.0000195	0.0008568
147	NM_004106.1	Fc fragment of ige, high affinity I, receptor for; gamma polypeptide	FCER1G	12.7	5.44E-08	0.0000239
148	NM_000277.1	Phenylalanine hydroxylase	PAH	12.4	0.0000541	0.0016112
149	NM_005651.1	Tryptophan 2,3-dioxygenase	TDO2	12.4	0.0000377	0.0012834
150	NM_019101.2	Apolipoprotein M	APOM	12.4	0.0003416	0.0050265
151	NM_000066.2	Complement component 8, beta polypeptide	C8B	12	0.0001681	0.0032482
152	NM_002664.1	Pleckstrin	PLEK	12	0.000000739	0.0001237
153	NM_006183.3	Neurotensin	NTS	11.9	0.0037433	0.0240739
154	NM_024027.3	Collectin sub-family member 11 , transcript variant 1	COLEC11	11.9	0.0000432	0.0014233
155	NM_007256.2	Solute carrier organic anion transporter family, member 2B1	SLCO2B1	11.8	2.12E-08	0.0000135
156	NM_015234.3	G protein-coupled receptor 116	GPR116	11.7	3.86E-08	0.0000206
157	NM_000770.2	Cytochrome P450, family 2, subfamily C, polypeptide 8 , transcript variant Hp1-1	CYP2C8	11.7	0.0014308	0.0128376
158	NM_001701.2	Bile acid Coenzyme A: amino acid N-acyltransferase	BAAT	11.7	0.0013362	0.0123027
159	NM_006120.2	Major histocompatibility complex, class II, DM alpha	HLA-DMA	11.5	0.0000446	0.001442
160	NM_002889.2	Retinoic acid receptor responder  2	RARRES2	11.4	0.0002233	0.0038746
161	NM_053039.1	UDP glucuronosyltransferase 2 family, polypeptide B28	UGT2B28	11.3	0.000166	0.0032287
162	NM_174896.2	Chromosome 1 open reading frame 162	C1ORF162	11.3	4.93E-08	0.000023
163	NM_003122.2	Serine peptidase inhibitor, Kazal type 1	SPINK1	11.1	0.0025112	0.0185761
164	NM_004877.1	Glia maturation factor, gamma	GMFG	11.1	0.000000007	0.00000648
165	NM_005565.3	Lymphocyte cytosolic protein 2	LCP2	11.1	2.75E-08	0.0000163
166	NM_000940.1	Paraoxonase 3	PON3	10.9	0.0003117	0.004716
167	NM_020980.2	Aquaporin 9	AQP9	10.9	0.000098	0.0023276
168	NM_013322.2	Sorting nexin 10	SNX10	10.8	0.00042	0.0057217
169	NM_080912.1	Asialoglycoprotein receptor 2 , transcript variant H2	ASGR2	10.7	0.0000113	0.0006215
170	NM_021232.1	Proline dehydrogenase  2	PRODH2	10.7	0.0000118	0.0006392
171	NM_000784.2	Cytochrome P450, family 27, subfamily A, polypeptide 1 , nuclear gene encoding mitochondrial protein	CYP27A1	10.7	0.00000681	0.0004534
172	NM_000186.2	Complement factor H , transcript variant 1	CFH	10.7	0.00000281	0.0002901
173	NM_001565.1	Chemokine  ligand 10	CXCL10	10.6	0.00000491	0.0003717
174	NM_198998.1	Aquaporin 12A	AQP12A	10.6	0.00000281	0.0002901
175	NM_000612.2	Insulin-like growth factor 2	IGF2	10.5	0.0031684	0.0215694
176	NM_002150.2	4-hydroxyphenylpyruvate dioxygenase	HPD	10.5	0.0009803	0.0099833
177	NM_003725.2	Hydroxysteroid  dehydrogenase 6	HSD17B6	10.5	0.0002636	0.0042754
178	NM_153699.1	Glutathione S-transferase A5	GSTA5	10.4	0.0010507	0.0104996
179	AK130022	Cdna FLJ26512 fis, clone KDN07513	Hs.282795	10.4	0.00000664	0.0004454
180	NM_004847.2	Allograft inflammatory factor 1 , transcript variant 2	AIF1	10.4	2.95E-08	0.0000168
181	NM_000587.2	Complement component 7	C7	10.3	0.0005404	0.0068108
182	NM_000597.2	Insulin-like growth factor binding protein 2, 36kda	IGFBP2	10.3	0.0006975	0.0080496
183	NM_001629.2	Arachidonate 5-lipoxygenase-activating protein	ALOX5AP	10.2	0.000000235	0.0000596
184	NM_020998.2	Macrophage stimulating 1	MST1	10.2	0.0000169	0.0007773
185	NM_005807.2	Proteoglycan 4	PRG4	10.2	0.000115	0.0025957
186	NM_003645.2	Solute carrier family 27 , member 2	SLC27A2	10.2	0.0000081	0.0004983
187	NM_203416.1	CD163 antigen , transcript variant 2	CD163	10.1	0.00000138	0.0001794
188	NM_000062.2	Serpin peptidase inhibitor, clade G , member 1,  , transcript variant 1	SERPING1	10	0.00000136	0.0001776
189	NM_002155.3	Heat shock 70kda protein 6	HSPA6	9.9	0.000000238	0.0000596
190	NM_032049.1	Angiotensin II receptor, type 1 , transcript variant 5	AGTR1	9.8	0.0001234	0.0027037
191	NM_005461.3	V-maf musculoaponeurotic fibrosarcoma oncogene homolog B	MAFB	9.8	0.000000247	0.0000603
192	NM_002416.1	Chemokine  ligand 9	CXCL9	9.8	0.0000952	0.0022932
193	NM_005666.2	Complement factor H-related 2	CFHR2	9.8	0.0001744	0.0032988
194	XM_944822.1	PREDICTED:  similar to HLA class II histocompatibility antigen, DRB1-9 beta chain precursor   , transcript variant 2	LOC649143	9.8	0.0000534	0.0016032
195	NM_001134.1	Alpha-fetoprotein	AFP	9.7	0.004	0.026924
196	NM_001875.2	Carbamoyl-phosphate synthetase 1, mitochondrial	CPS1	9.6	0.0007076	0.0081116
197	NM_182758.1	WD repeat domain 72	WDR72	9.3	0.008	0.0390932
198	NM_153206.1	Adhesion molecule, interacts with CXADR antigen 1	AMICA1	9.3	0.00000034	0.0000766
199	NM_000898.3	Monoamine oxidase B , nuclear gene encoding mitochondrial protein	MAOB	9.2	0.0000121	0.0006477
200	NM_004497.2	Forkhead box A3	FOXA3	9.1	0.0003459	0.0050715
201	NM_013261.2	Peroxisome proliferative activated receptor, gamma, coactivator 1, alpha	PPARGC1A	9.1	0.00000369	0.0003239
202	NM_000204.1	Complement factor I	CFI	9	5.33E-08	0.0000239
203	NM_002763.3	Prospero-related homeobox 1	PROX1	9	0.0000132	0.0006779
204	NM_006657.2	Formiminotransferase cyclodeaminase , transcript variant B	FTCD	8.9	0.0001894	0.0034771
205	X00437	Human mrna for T-cell specific protein	Hs.534427	8.8	0.0000133	0.0006783
206	NM_005835.1	Solute carrier family 17 , member 2	SLC17A2	8.8	0.0003075	0.0046764
207	NM_021969.1	Nuclear receptor subfamily 0, group B, member 2	NR0B2	8.8	0.0000354	0.0012491
208	NM_003226.2	Trefoil factor 3	TFF3	8.8	0.0016435	0.0139506
209	NM_032866.3	Cingulin-like 1	CGNL1	8.8	0.0000152	0.0007316
210	NM_182983.1	Hepsin  , transcript variant 1	HPN	8.6	0.00000114	0.0001614
211	NM_004120.3	Guanylate binding protein 2, interferon-inducible	GBP2	8.5	0.0000158	0.0007491
212	NM_014430.1	Cell death-inducing DFFA-like effector b	CIDEB	8.5	0.00000344	0.0003143
213	NM_018242.2	Hypothetical protein FLJ10847	FLJ10847	8.4	0.0000105	0.0005968
214	NM_000377.1	Wiskott-Aldrich syndrome	WAS	8.4	5.96E-08	0.0000239
215	NM_001385.1	Dihydropyrimidinase	DPYS	8.4	0.0002429	0.0040882
216	NM_000954.5	Prostaglandin D2 synthase 21kda	PTGDS	8.3	0.0019992	0.0159806
217	NM_001713.1	Betaine-homocysteine methyltransferase	BHMT	8.3	0.0001243	0.0027114
218	NM_001010919.1	Hypothetical protein LOC441168	LOC441168	8.3	0.0000456	0.0014451
219	NM_004684.2	SPARC-like 1	SPARCL1	8.3	0.00000305	0.0002965
220	NM_001461.1	Flavin containing monooxygenase 5	FMO5	8.2	0.0000213	0.0009128
221	NM_002928.2	Regulator of G-protein signalling 16	RGS16	8.2	0.00000615	0.0004285
222	NM_138326.1	Aminocarboxymuconate semialdehyde decarboxylase	ACMSD	8	0.0000366	0.0012741
223	NM_006209.2	Ectonucleotide pyrophosphatase/phosphodiesterase 2	ENPP2	8	0.000064	0.001796
224	NM_013364.2	Paraneoplastic antigen MA3	PNMA3	8	0.0003507	0.0051137
225	NM_000771.2	Cytochrome P450, family 2, subfamily C, polypeptide 9	CYP2C9	7.9	0.003115	0.021339
226	NM_178562.2	Tetraspanin 33	TSPAN33	7.9	0.0000013	0.0001734
227	NM_002163.2	Interferon regulatory factor 8	IRF8	7.8	0.00000584	0.000409
228	NM_015136.2	Stabilin 1	STAB1	7.8	0.000000043	0.000022
229	NM_000397.2	Cytochrome b-245, beta polypeptide	CYBB	7.8	0.000000314	0.0000712
230	NM_012190.2	Aldehyde dehydrogenase 1 family, member L1	ALDH1L1	7.8	0.0006232	0.0074925
231	XM_937586.1	PREDICTED:  hypothetical protein FLJ21438	FLJ21438	7.7	0.000000219	0.0000578
232	NM_014333.2	Immunoglobulin superfamily, member 4	IGSF4	7.7	0.00000081	0.0001295
233	NM_016518.2	Pipecolic acid oxidase	PIPOX	7.6	0.000092	0.0022357
234	NM_173596.1	Solute carrier family 39 , member 5	SLC39A5	7.6	0.0008214	0.0089035
235	NM_152672.3	Organic solute transporter alpha	OSTALPHA	7.5	0.0004905	0.0063403
236	NM_000142.2	Fibroblast growth factor receptor 3  , transcript variant 1	FGFR3	7.5	0.0001749	0.0033011
237	NM_000504.2	Coagulation factor X	F10	7.5	0.0002148	0.0037889
238	NM_001066.2	Tumor necrosis factor receptor superfamily, member 1B	TNFRSF1B	7.5	0.000000925	0.0001404
239	NM_005335.3	Hematopoietic cell-specific Lyn substrate 1	HCLS1	7.5	0.0000276	0.001074
240	NM_005460.2	Synuclein, alpha interacting protein	SNCAIP	7.5	0.0004704	0.0061785
241	NM_032607.1	Camp responsive element binding protein 3-like 3	CREB3L3	7.4	0.0000915	0.0022323
242	NM_014266.3	Hematopoietic cell signal transducer , transcript variant 1	HCST	7.4	0.0000169	0.0007773
243	NM_000151.1	Glucose-6-phosphatase, catalytic	G6PC	7.4	0.0005687	0.0070767
244	NM_175571.2	Gtpase, IMAP family member 8	GIMAP8	7.3	0.00000017	0.0000492
245	NM_006843.2	Serine dehydratase	SDS	7.3	0.0004393	0.0059067
246	NM_006705.2	Growth arrest and DNA-damage-inducible, gamma	GADD45G	7.2	0.0000648	0.0018022
247	NM_002965.2	S100 calcium binding protein A9	S100A9	7.2	0.0002136	0.0037692
248	NM_021021.2	Syntrophin, beta 1	SNTB1	7.2	0.0006631	0.0077816
249	NM_173452.1	Ficolin  3  , transcript variant 2	FCN3	7.2	0.0021182	0.0165971
250	NM_152309.2	Phosphoinositide-3-kinase adaptor protein 1	PIK3AP1	7.2	0.000000803	0.0001294
251	NM_030769.1	N-acetylneuraminate pyruvate lyase	NPL	7.2	0.00000323	0.0003002
252	NM_031481.1	Solute carrier family 25 , member 18	SLC25A18	7.1	0.000118	0.0026389
253	NM_000353.1	Tyrosine aminotransferase , nuclear gene encoding mitochondrial protein	TAT	7.1	0.0010933	0.0107849
254	NM_003196.1	Transcription elongation factor A , 3	TCEA3	7.1	0.0006182	0.0074529
255	NM_024758.3	Agmatine ureohydrolase	AGMAT	7	0.00000427	0.0003463
256	NM_001666.2	Rho gtpase activating protein 4	ARHGAP4	7	5.33E-08	0.0000239
257	NM_000531.3	Ornithine carbamoyltransferase	OTC	6.9	0.0010502	0.0104987
258	NM_002124.1	Major histocompatibility complex, class II, DR beta 1	HLA-DRB1	6.8	0.0015398	0.0134233
259	NM_152435.1	Amidohydrolase domain containing 1	AMDHD1	6.8	0.0000194	0.000854
260	NM_032562.2	Phospholipase A2, group XIIB	PLA2G12B	6.7	0.0000686	0.0018579
261	NM_001979.4	Epoxide hydrolase 2, cytoplasmic	EPHX2	6.6	0.0000695	0.0018691
262	NM_000790.2	Dopa decarboxylase	DDC	6.6	0.0002997	0.0046041
263	NM_003810.2	Tumor necrosis factor  superfamily, member 10	TNFSF10	6.6	0.0014615	0.0130188
264	NM_173217.1	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1 , transcript variant 3	ST6GAL1	6.5	0.00000102	0.000151
265	NM_000313.1	Protein S	PROS1	6.5	0.0000104	0.0005968
266	NM_002474.1	Myosin, heavy polypeptide 11, smooth muscle , transcript variant SM1	MYH11	6.5	0.0000269	0.0010573
267	NM_006332.3	Interferon, gamma-inducible protein 30	IFI30	6.5	0.000000193	0.0000543
268	NM_000163.2	Growth hormone receptor	GHR	6.4	0.005	0.0307359
269	NM_152637.1	Methyltransferase like 7B	METTL7B	6.4	0.00000313	0.0002997
270	NM_001710.4	Complement factor B	CFB	6.3	0.0002624	0.0042674
271	NM_006748.1	Src-like-adaptor	SLA	6.3	0.000000234	0.0000596
272	NM_000242.1	Mannose-binding lectin  2, soluble	MBL2	6.2	0.0002505	0.004167
273	NM_006944.2	Secreted phosphoprotein 2, 24kda	SPP2	6.2	0.0037516	0.0241061
274	NM_006144.2	Granzyme A	GZMA	6.2	0.0001117	0.0025545
275	NM_002084.2	Glutathione peroxidase 3	GPX3	6.2	0.0010153	0.0102629
276	NM_005615.2	Ribonuclease, rnase A family, k6	RNASE6	6.2	0.000000202	0.0000554
277	NM_000312.1	Protein C	PROC	6.2	0.0002776	0.0043887
278	NM_018404.1	Centaurin, alpha 2	CENTA2	6.1	0.00000039	0.0000844
279	NM_000896.1	Cytochrome P450, family 4, subfamily F, polypeptide 3	CYP4F3	6.1	0.0003772	0.0053223
280	NM_153236.3	Gtpase, IMAP family member 7	GIMAP7	6.1	0.000000274	0.0000643
281	NM_005258.2	GTP cyclohydrolase I feedback regulator	GCHFR	6.1	0.0005096	0.0065163
282	NM_014571.2	Hairy/enhancer-of-split related with YRPW motif-like	HEYL	6.1	0.00000452	0.0003568
283	NM_033086.1	FYVE, rhogef and PH domain containing 3	FGD3	6	0.00000685	0.000455
284	NM_006210.1	Paternally expressed 3	PEG3	6	0.0038112	0.0243325
