Probe set ID	Gene symbol	Fold change F19	Fold change NCFB	Potential function	Category
92 741_g_at	Igh-5	1·46	1·36	Ig heavy chain of IgD	Immune regulation
97 994_at	Tcf7	1·35	1·46	a T-cell-specific transcription factor, which controls thymocyte differentiation	Immune regulation
99 945_at	Cd19	1·40	1·45	a transmembrane protein associated with BCR, acts as a adaptor molecule and amplifies BCR signals	Immune regulation
103231_at	Rhoh	1·31	1·45	a protein similar to members of the Ras superfamily, expressed in haemopoietic cell lines only	Immune regulation
99 510_at	Prkcb1	1·39	1·44	a kinase functionally linked to Bruton kinase in BCR-mediated signal transduction	Immune regulation
102851_s_at	Ptpn6	1·30	1·43	a tyrosine protein phsophatase expressed predominantly in haematopoietic cells	Immune regulation
96 172_at	Gimap4	1·37	1·42	a protein expressed in B and T cells, function not clear	Immune regulation
100377_f_at	IghmAC38.205.12	21·01	–1·69	Ig heavy chain of IgM	Immune regulation
93 638_s_at	Igl-V1	21·67	21·24	Ig lchain, variable region	Immune regulation
100360_f_at	Igh-4	21·15	21·64	Ig heavy chain for serum IgG1	Immune regulation
97 009_f_at	Igh-V	1·00	21·61	Ig heavy chain, variable region	Immune regulation
100078_at	Apoa4	1·18	1·83	a satiety signal secreted by the small intestine, implicated in regulation of both short and long-term food intake	Miscellaneous
95 673_s_at	Basp1	1·20	1·68	expressed in nervous tissue, function largely unknown	Miscellaneous
94 540_at	Cyp2d26	1·20	1·58	a member of cytochrome P450 family, specific function poorly understood	Miscellaneous
94 004_at	Cnn2	1·31	1·57	widely expressed, function largely unknown	Miscellaneous
101972_at	Napsa	1·37	1·49	an aspartic proteinase, function not clear	Miscellaneous
93 874_s_at	Il11ra1	1·12	1·48	a receptor for IL-11, which is a stromal cell-derived cytokine with multiple biological activities	Miscellaneous
94 874_s_at	Il11ra2	1·13	1·48	a receptor for IL-11, which is a stromal cell-derived cytokine with multiple biological activities	Miscellaneous
104707_at	Tm4sf5	1·06	1·46	a cell surface protein, function poorly described	Miscellaneous
92 811_at	Rbp2	1·21	1·43	regulates the uptake and metabolism of vitamin A	Miscellaneous
160308_at	Msn	1·35	1·45	expressed in different tissues, localizes to membrane protrusions that are important to cell-cell recognition, signalling and cell movement	Miscellaneous
96 353_at	Tmem14c	22·54	21·54	transmembrane protein, function poorly described	Miscellaneous
93 934_at	Cldn2	21·05	21·52	a member of a claudin family of integral membrane proteins localized at tight junctions	Miscellaneous
100946_at	Hspa1b	21·07	21·48	a heat-shock protein, expressed in response to heat shock and a variety of other stress stimuli	Miscellaneous
98 384_at	Ptk6	21·09	21·43	a kinase implicated in cell transformation	Miscellaneous
