Gene Name	References	Expression
‘ESTs, Highly similar to POL POLYPROTEIN [Moloney murine leukemia virus] Chr.17 [417048, (IW), 5 0:W87891, 3 0:W87820]’	30	Up-Regulated
‘Fibroblast growth factor 2 (basic) Chr. [325559, (DIE), 5 0:W53020, 3 0:W52295]’	26	Up-Regulated
‘GRO2 GRO2 oncogene Chr.4 [80971, (DIW), 5 0:T70148, 3 0:T70079]’	26	Up-Regulated
‘HLA-DRB5 Major histocompatibility complex, class II, DR beta 5 Chr.6 [321230, (IEW), 5 0:W52918, 3 0:AA037380]’	32	Down-Regulated
‘SID 323559, ESTs, Highly similar to HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN L [Homo sapiens] [50:, 30:W45728]’	31	Down-Regulated
‘Human fetus brain mRNA for vacuolar ATPase, complete cds Chr.12 [488599, (IW), 5 0:AA047029, 3 0:AA047247]’	50	Down-Regulated
‘COL5A2 Collagen, type V, alpha Chr.2 [429203, (I), 5 0:AA007406, 3 0:AA004204]’	26	Up-Regulated
‘SID W 485985, Actin, alpha 2, smooth muscle, aorta [50:AA040833, 3 0:AA040169]’	30	Up-Regulated
‘THY-1 MEMBRANE GLYCOPROTEIN PRECURSOR Chr.11 [470386, (EW), 50:AA031395, 3 0:AA031264]’	31	Up-Regulated
‘SID W 380600, ESTs [50:AA053914, 3 0:AA054253]’	31	Up-Regulated
‘THY-1 MEMBRANE GLYCOPROTEIN PRECURSOR Chr.11 [183950, (E), 5 0:H30297, 3 0:H28104]’	31	Up-Regulated
‘SID 309395, ESTs, Weakly similar to W09D10.2 [C.elegans] [50:, 30:N94315]’	31	Up-Regulated
‘ANX3 Annexin III (lipocortin III) Chr.4 [328683, (IW), 50:W40286, 3 0:W45327]’	32	Down-Regulated
‘SID W 321855, Homo sapiens cytochrome c oxidase assembly protein COX11 (COX11)mRNA, complete cds [50:W37274, 30:W33157]’	30	Down-Regulated
‘LCP1 Lymphocyte cytosolic protein 1 (L-plastin) Chr.13 [486676, (IW), 5 0:AA044166, 3 0:AA044266]’	[26,31,50]	Up-Regulated
‘Human P311 HUM (3.1) mRNA, complete cds Chr.17 [376880, (IW), 5 0:AA047647, 3 0:AA047661]’	30	Up-Regulated
‘Human mRNA for actin binding protein p57, complete cds Chr. [487988, (RW), 5 0:AA047477, 3 0:AA047478]’	31	Up-Regulated
‘SID 43609, ESTs [50:H06454, 3 0:H06184]’	51	Up-Regulated
‘Human GDP-dissociation inhibitor protein (Ly-GDI) mRNA, complete cds Chr.12 [487374, (IW), 50:AA046482, 3 0:AA046695]’	26	Up-Regulated
‘SID W 486439, ESTs, Weakly similar to PEANUT PROTEIN [Drosophila melanogaster][50:AA042847, 3 0:AA044396]’	31	Down-Regulated
‘ESTs Chr.2 [345050, (IW), 5 0:W76118, 3 0:W72796]’	31	Down-Regulated
‘SID 287239, ESTs [50:, 30:N66980]’	31	Down-Regulated
‘Homo sapiens KIAA0400 mRNA, complete cds Chr.2 [298128, (IRW), 5 0:W01827, 3 0:N70773]’	31	Down-Regulated
‘SID W 509633, ESTs, Moderately similar to Kryn [M.musculus] [50:AA045560, 3 0:AA045561]’	31	Down-Regulated
‘H.sapiens E-MAP-115 mRNA Chr.6 [418274, (EW), 5 0:W90783, 3 0:W90688]’	30	Up-Regulated
‘H.sapiens E-MAP-115 mRNA Chr.6 [298832, (IEW), 5 0:W01846, 3 0:N75339]’	30	Up-Regulated
‘SID W 470385, Homo sapiens placental bikunin mRNA, complete cds [50:AA031401, 3 0:AA031287]’	26	Up-Regulated
‘KRT8 Keratin 8 Chr.12 [509980, (IW), 5 0:AA053471, 3 0:AA052978]’	26	Up-Regulated
‘SID W 510467, Cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4) [50:AA055721, 3 0:AA055664]’	[30,31]	Up-Regulated
‘MSN Moesin Chr.X [486864, (IW), 50:AA043008, 3 0:AA042882]’	[30,31]	Down-Regulated
‘SID W 418239, Aldehyde reductase 1 (low Km aldose reductase) [50:W90290, 3 0:W90633]’	31	Down-Regulated
‘Aldehyde reductase 1 (low Km aldose reductase) SID W 418212, ESTs [50:W90268, 3 0:W90593]’	31	Down-Regulated
‘SID W 130109, Sterol O-acyltransferase (acyl-Coenzyme A: cholesterol acyltransferase) [5 0:R20920, 3 0:R20806]’	31	Down-Regulated
‘GJA1 Cardiac gap junction protein Chr.X [486844, (IW), 5 0:AA042921, 3 0:AA042908]’	[32,50]	Down-Regulated
