GB acc#	Unigene ID	Ration diabetic vs. control	Name
AA241896	Mm.29988	0.46986	peroxisomal trans-2-enoyl-CoA reductase
AA245738	Mm.39288	1.412436	CD36 antigen (collagen type I receptor, thrombospondin receptor)-like 2
AA060376	Mm.20560	1.595232	tumor-associated calcium signal transducer 2
W34921	Mm.20560	1.678372	tumor-associated calcium signal transducer 2
W64550	Mm.20560	1.544984	tumor-associated calcium signal transducer 2
AA209640	Mm.653	0.617342	histocompatibility 2, complement component factor B
W18121	Mm.653	0.619488	histocompatibility 2, complement component factor B
AA123821	Mm.3909	0.749467	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 3
AA413194	Mm.24513	0.754484	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 13
W33774		1.469069	calreticulin
W84270	Mm.56685	1.378692	IQ motif containing GTPase activating protein 1
AA389278	Mm.103610	0.760327	DnaJ (Hsp40) homolog, subfamily B, member 12
AA276818	Mm.8655	0.745916	complement component factor h
W81873	Mm.84669	1.374053	RIKEN cDNA 4931408L03 gene
AA386802	Mm.24795	0.736524	RIKEN cDNA 3110049J23 gene
AA140114	Mm.2162	0.669879	phenylalanine hydroxylase
AA423144	Mm.3506	1.496775	arginase type II
W12834	Mm.2259	0.640641	fumarylacetoacetate hydrolase
W18519	Mm.27646	0.456579	3-phosphoadenosine 5-phosphosulfate synthase 2
AA108401	Mm.6611	0.58226	solute carrier family 27 (fatty acid transporter), member 2
W64242	Mm.29210	1.560286	ras homolog N (RhoN)
AA178388	Mm.30918	0.729286	GTP binding protein 3
AA003272	Mm.21549	1.730707	crystallin, alpha C
AA184322	Mm.1777	0.707149	heat shock protein, 60 kDa
AA184380	Mm.27897	0.685392	DnaJ (Hsp40) homolog, subfamily A, member 1
AA253890	Mm.4560	0.636982	low density lipoprotein receptor-related protein associated protein 1
W09023	Mm.2433	1.42724	mannosidase 2, alpha 1
AA097314		0.714136	abhydrolase domain containing 3
W17582	Mm.139459	1.376327	monoglyceride lipase
W34507	Mm.139570	1.756372	RIKEN cDNA 0610041D24 gene
W83974	Mm.4221	0.540148	carboxypeptidase E
W08348	Mm.27183	0.627603	phenylalkylamine Ca2+ antagonist (emopamil) binding protein
AA387369	Mm.18939	1.702481	phosphomannomutase 1
W13698	Mm.20943	0.748709	FK506 binding protein 9
AA061801	Mm.29122	1.386804	brain-specific angiogenesis inhibitor 1-associated protein 2
AA000819	Mm.20944	1.980262	sphingosine kinase 1
AA276928	Mm.74642	1.31069	phosphatidylinositol 4-kinase type 2 beta
W46097	Mm.23329	1.347074	protein kinase C and casein kinase substrate in neurons 3
AA475121	Mm.8359	1.737264	pyruvate kinase liver and red blood cell
W88005	Mm.34446	3.120329	cyclin-dependent kinase inhibitor 1A (P21)
AA275564	Mm.3242	0.566347	glycerol kinase
AA543155	Mm.3242	0.746807	glycerol kinase
AA414632	Mm.18133	1.72445	cyclin-dependent kinase-like 2 (CDC2-related kinase)
AA276364	Mm.132943	0.42805	C-type (calcium dependent, carbohydrate recognition domain) lectin, superfamily member 12
AA244853	Mm.3539	0.686432	mannan-binding lectin serine protease 2
AA274663	Mm.33731	0.539198	butyryl Coenzyme A synthetase 1
AA472979	Mm.87221	0.679276	glutamate-cysteine ligase , modifier subunit
AA274541	Mm.41853	0.684407	cysteine sulfinic acid decarboxylase
AA142673	Mm.3160	0.741581	uroporphyrinogen III synthase
AA272198	Mm.3160	0.639281	uroporphyrinogen III synthase
W08694	Mm.1641	0.63031	carbonic anhydrase 4
AA030116	Mm.10633	2.637275	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2
W12827	Mm.28119	1.296148	sphingosine phosphate lyase 1
W34179	Mm.34838	0.694524	flavin containing monooxygenase 2
W80031	Mm.3645	0.62469	myosin Va
AA068375	Mm.252	1.835322	NAD(P)H dehydrogenase, quinone 1
AA275737	Mm.14063	0.71595	retinal short-chain dehydrogenase/reductase 1
AA209061	Mm.44552	1.449202	thioredoxin reductase 1
W85238	Mm.21119	1.609303	LPS-induced TN factor
AA123007	Mm.27162	0.693182	2-5 oligoadenylate synthetase-like 2
AA218279	Mm.3093	1.359367	serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2
AA173013	Mm.36526	1.417183	serine protease inhibitor 12
AA245727	Mm.934	0.451213	serine (or cysteine) proteinase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2
AA237870	Mm.36278	1.594309	formiminotransferase cyclodeaminase
AA241859	Mm.21983	2.848184	betaine-homocysteine methyltransferase
W97296	Mm.21983	1.654581	betaine-homocysteine methyltransferase
AA272067	Mm.1776	0.558468	acetyl-Coenzyme A acetyltransferase 1
W82574	Mm.1776	0.599867	acetyl-Coenzyme A acetyltransferase 1
AA124476	Mm.13036	0.627055	camello-like 1
AA289657	Mm.75489	1.780093	2-5 oligoadenylate synthetase-like 1
W17420	Mm.21439	0.738847	RIKEN cDNA 1110033E03 gene
AA250213	Mm.2786	0.568747	protein C
AA221141	Mm.2409	0.455679	alcohol dehydrogenase 1
AA000775	Mm.7156	0.711914	Mus musculus, Similar to glutamic pyruvate transaminase (alanine aminotransferase) 2, clone MGC:37704 IMAGE:5065322, mRNA, complete cds
AA002517	Mm.28643	1.306835	expressed sequence AI551766
AA003083	Mm.140661	0.763652	RIKEN cDNA 0610007N19 gene
AA003273	Mm.27002	0.691535	Mus musculus, Similar to xylulokinase homolog (H. influenzae), clone IMAGE:5043428, mRNA, partial cds
AA004074		0.684545	ESTs
AA014971	Mm.100649	1.35596	Mus musculus, similar to hypothetical brain protein my038, clone MGC:32263 IMAGE:5011450, mRNA, complete cds
AA022130	Mm.17249	1.446218	heme binding protein 1
AA030659	Mm.25799	1.343825	expressed sequence AU043625
AA048412	Mm.23646	1.332539	RIKEN cDNA 4632413C14 gene
AA048486	Mm.27643	0.665043	secreted modular calcium binding protein 1
AA049342	Mm.28146	0.715273	mevalonate (diphospho) decarboxylase
AA049730	Mm.22199	0.577036	isovaleryl coenzyme A dehydrogenase
AA050058	Mm.104771	1.370354	vascular Rab-GAP/TBC-containing
AA051561	Mm.29476	1.374606	expressed sequence AA408783
AA060559	Mm.10727	0.665597	RIKEN cDNA 2600010P09 gene
AA061216	Mm.29605	1.719741	expressed sequence AU022870
AA064247	Mm.41792	1.997051	RIKEN cDNA 0610011B16 gene
AA068436	Mm.24745	1.321967	basic leucine zipper and W2 domains 2
AA068575	Mm.30158	0.624963	RIKEN cDNA 0710001O03 gene
AA080385	Mm.27046	1.32061	RIKEN cDNA 1110061A24 gene
AA080443	Mm.7156	0.638777	Mus musculus, Similar to glutamic pyruvate transaminase (alanine aminotransferase) 2, clone MGC:37704 IMAGE:5065322, mRNA, complete cds
AA097901	Mm.20246	1.448648	RIKEN cDNA 2410004D18 gene
AA105830	Mm.27289	1.657715	RIKEN cDNA 1600023A02 gene
AA110934	Mm.30239	0.696447	RIKEN cDNA 4933419D20 gene
AA116857	Mm.290	0.145875	kidney androgen regulated protein
AA119797	Mm.34683	0.726486	expressed sequence AI452232
AA120639	Mm.29823	1.414277	microsomal glutathione S-transferase 3
AA122529	Mm.103621	1.494463	absent in melanoma 1-like
AA122658	Mm.24365	1.455515	RIKEN cDNA 0610042A05 gene
AA124362	Mm.27338	0.713616	RIKEN cDNA 1810054O13 gene
AA125185	Mm.35732	0.682696	RIKEN cDNA 5830411H19 gene
AA137369	Mm.22360	0.503302	RIKEN cDNA 1200016D08 gene
AA139271	Mm.7156	0.754015	Mus musculus, Similar to glutamic pyruvate transaminase (alanine aminotransferase) 2, clone MGC:37704 IMAGE:5065322, mRNA, complete cds
AA139627	Mm.27589	0.460409	DNA segment, Chr 8, Brigham & Womens Genetics 1320 expressed
AA139826	Mm.88478	0.475871	RIKEN cDNA 0610012D14 gene
AA145721	Mm.24035	0.746262	hypothetical protein LOC212514
AA146478	Mm.6160	0.358058	expressed sequence AI893585
AA146534	Mm.5772	0.667961	RIKEN cDNA 1700056O17 gene
AA154527	Mm.28468	1.305353	RIKEN cDNA 1810015L19 gene
AA163245	Mm.23273	1.501438	ESTs
AA163875	Mm.30177	1.323163	DNA segment, Chr 11, ERATO Doi 603, expressed
AA170590	Mm.40282	0.66708	hypothetical protein MGC38765
AA174447	Mm.18530	0.692384
AA177218	Mm.6160	0.368197	expressed sequence AI893585
AA178493	Mm.22199	0.653381	isovaleryl coenzyme A dehydrogenase
AA184259	Mm.26304	0.71399	expressed sequence AU022220
AA185218	Mm.30133	0.706074	ethanol induced 6
AA185249		0.676471	RIKEN cDNA 4930513H15 gene
AA185346	Mm.45975	1.483897	RIKEN cDNA 2310076K21 gene
AA186075	Mm.24053	0.35403	expressed sequence AA986766
AA186138	Mm.6355	1.341842	RIKEN cDNA 2700059D21 gene
AA189273	Mm.45298	0.669415	expressed sequence AI649393
AA189695	Mm.27685	1.298848	ESTs, Moderately similar to S11390 tropomyosin 5 - mouse [M.musculus]
AA189900	Mm.30115	0.658029	RIKEN cDNA 2310061P20 gene
AA198345	Mm.34498	1.972157	RIKEN cDNA 5730512J02 gene
AA204151	Mm.174969	0.767987	RIKEN cDNA 1500009M05 gene
AA204360	Mm.25248	1.441367	expressed sequence AA960558
AA210357	Mm.89848	0.696055	ESTs
AA212170	Mm.86844	0.708734	expressed sequence AI838057
AA212320	Mm.4086	0.583667	Mus musculus, clone IMAGE:4507176, mRNA
AA212551	Mm.31227	0.511649	expressed sequence AW123847
AA217366	Mm.12775	0.686657	similar to [Pyruvate dehydrogenase [lipoamide]] kinase isozyme 3, mitochondrial precursor (Pyruvate dehydrogenase kinase isoform 3)
AA217489	Mm.29099	0.757336	RIKEN cDNA 2400002D02 gene
AA237191	Mm.27329	0.441979	ESTs, Moderately similar to UDB5_MOUSE UDP-glucuronosyltransferase 2B5 precursor, microsomal (UDPGT) (M-1) [M.musculus]
AA237469	Mm.29847	0.509943	similar to Isopentenyl-diphosphate delta-isomerase (IPP isomerase) (Isopentenyl pyrophosphate isomerase)
AA237922	Mm.38143	1.3644	RIKEN cDNA 0610040J01 gene
AA239480	Mm.24225	0.606261	hypothetical protein MGC18895
AA241899	Mm.30026	1.891367	ESTs, Weakly similar to FIG1_MOUSE Fig-1 protein precursor (Interleukin-4 induced gene 1 protein) [M.musculus]
AA243954	Mm.24032	0.713564	hypothetical protein BC011220
AA244536	Mm.27646	0.528062	RIKEN cDNA 1810018P12 gene
AA245505	Mm.4132	0.567054
AA245657	Mm.29147	0.621673	hypothetical protein MGC37820
AA245984	Mm.18654	0.629972	ESTs, Weakly similar to S48737 kynurenine aminotransferase - rat [R.norvegicus]
AA250079	Mm.56167	0.723407	RIKEN cDNA 5730497N19 gene
AA250384	Mm.20304	0.761756	HLA-B associated transcript 2
AA254115	Mm.39291	1.326263	expressed sequence AI845668
AA254859	Mm.148779	0.751397	RIKEN cDNA 3110073H01 gene
AA255028	Mm.21965	0.714389	DNA segment, Chr 5, ERATO Doi 593, expressed
AA255141	Mm.35062	0.674663	expressed sequence AI551199
AA259797	Mm.46719	0.737332	RIKEN cDNA 4933432H23 gene
AA259979	Mm.8854	2.081676
AA261682	Mm.131548	0.708438	ESTs
AA261715	Mm.6635	0.537743	isovaleryl coenzyme A dehydrogenase
AA265033	Mm.28147	1.415715	deleted in polyposis 1-like 1
AA267310	Mm.28686	1.462267	ESTs, Weakly similar to LMA1_MOUSE Laminin alpha-1 chain precursor (Laminin A chain) [M.musculus]
AA268104	Mm.74636	0.724956	expressed sequence AW210596
AA268165	Mm.35508	0.691825	leucine-zipper-like transcriptional regulator, 1
AA268225	Mm.28525	0.740051	RIKEN cDNA 3110052N05 gene
AA268451	Mm.86376	1.341209	expressed sequence AW987595
AA270019	Mm.21428	1.39799	RIKEN cDNA 2410091N08 gene
AA270185	Mm.46727	0.676187	Mus musculus, clone IMAGE:5401755, mRNA, partial cds
AA271705	Mm.21884	1.392256	ESTs, Weakly similar to T14106 probable GTPase-activating protein SPA-1 - rat [R.norvegicus]
AA272458		0.628526	villin-like protein
AA272501	Mm.30130	1.83865	RIKEN cDNA 1300007J06 gene
AA273211	Mm.38011	1.955507	expressed sequence AW743111
AA273425	Mm.56437	0.652008	expressed sequence AI505652
AA275673	Mm.29735	0.40068	RIKEN cDNA 0610006H10 gene
AA275926		1.371537
AA275957	Mm.26248	0.698531	RIKEN cDNA 1810019J16 gene
AA276173	Mm.27038	0.534107	expressed sequence AW261723
AA276424		0.531071	ESTs
AA276579	Mm.89572	0.627374	similar to CGI-83 protein
AA276746	Mm.40617	0.456102	RIKEN cDNA 5630400D21 gene
AA288998	Mm.105278	1.566134	kynureninase (L-kynurenine hydrolase)
AA290107	Mm.29429	1.530116	RIKEN cDNA 3110038L01 gene
AA387625	Mm.46727	0.719127	Mus musculus, clone IMAGE:5401755, mRNA, partial cds
AA388644	Mm.28766	0.636257	RIKEN cDNA 0610009B10 gene
AA388939	Mm.6160	0.390519	expressed sequence AI893585
AA396408	Mm.30678	0.553543	expressed sequence AI747699
AA396437	Mm.27502	0.750798
AA413296	Mm.25013	0.73395	RIKEN cDNA 1110002C08 gene
AA423218	Mm.20246	1.387163	RIKEN cDNA 2410004D18 gene
AA423392		0.675424	villin-like protein
AA433039	Mm.41641	1.404631	RIKEN cDNA 1110070A02 gene
AA434881	Mm.25808	0.782372	guanosine monophosphate reductase
AA444721	Mm.34345	0.733808	expressed sequence AI464531
AA444938	Mm.44763	0.706749	RIKEN cDNA 1300018J18 gene
AA461917	Mm.7156	0.717194	Mus musculus, Similar to glutamic pyruvate transaminase (alanine aminotransferase) 2, clone MGC:37704 IMAGE:5065322, mRNA, complete cds
AA463077	Mm.4002	0.672315	RIKEN cDNA 1810015P09 gene
AA467199	Mm.28220	0.727521	ESTs, Weakly similar to G01447 GP36b glycoprotein - human [H.sapiens]
AA467476	Mm.28830	1.404863	expressed sequence AI480535
AA472410	Mm.2329	0.681448	nuclear LIM interactor-interacting factor 3
AA472994	Mm.38909	0.626892	expressed sequence AI789751
AA473153	Mm.20413	0.64525	hydroxyacid oxidase (glycolate oxidase) 3
AA473165	Mm.9495	0.710847	RIKEN cDNA 2500002L14 gene
AA473289	Mm.181271	0.705615	RIKEN cDNA 2210415K03 gene
AA474934	Mm.22242	0.70427	expressed sequence AW112037
AA475902	Mm.28108	0.548538	RIKEN cDNA 2310016A09 gene
AA475930	Mm.14894	0.709351	plasma glutamate carboxypeptidase
AA476157	Mm.38801	1.48713	RIKEN cDNA 1200015A22 gene
AA499263	Mm.33484	1.760777	EGL nine homolog 3 (C. elegans)
AA511105		0.513191	HIV-1 tat interactive protein 2, 30 kDa homolog (human)
AA537291		0.561435	similar to Glycogen [starch] synthase, liver
AA537342	Mm.38877	0.657101	Mus musculus, similar to LD47277p, clone MGC:40684 IMAGE:3661112, mRNA, complete cds
AA542160	Mm.18654	0.641112	ESTs, Weakly similar to S48737 kynurenine aminotransferase - rat [R.norvegicus]
AA544354	Mm.9909	0.674752	expressed sequence C85120
AA544904	Mm.41265	1.509739	Ras association (RalGDS/AF-6) domain family 3
W09867	Mm.28694	0.60854	RIKEN cDNA 2410088K19 gene
W10134	Mm.29571	1.46556	RIKEN cDNA 1200017E04 gene
W10632	Mm.2240	0.576684	RIKEN cDNA 1110013B16 gene
W13114	Mm.20942	0.745648	mitsugumin 29
W14581	Mm.29223	0.567189	RIKEN cDNA 9130020G10 gene
W16187	Mm.26928	0.667632	RIKEN cDNA 2410027J01 gene
W18278	Mm.35562	0.377619	expressed sequence AU040868
W18851	Mm.28671	1.361289	RIKEN cDNA 1110004O12 gene
W34670	Mm.46686	0.66648	ESTs
W46016	Mm.181833	1.589069	RIKEN cDNA 8430404F20 gene
W53544	Mm.36541	1.506784	RIKEN cDNA 2810017I02 gene
W53946	Mm.40621	0.74185	ESTs, Highly similar to Y552_HUMAN Hypothetical protein KIAA0552 [H.sapiens]
W54099	Mm.6805	1.376	spinster-like protein
W54436	Mm.22111	0.712473	ESTs
W54611	Mm.24210	0.688914	RIKEN cDNA 0610005C13 gene
W62819	Mm.4919	0.693418	DNA segment, human D4S114
W64735	Mm.18565	1.32083	proteolipid protein 2
W65557	Mm.1560	0.746839	expressed sequence AI851258
W70708	Mm.29571	1.505922	RIKEN cDNA 1200017E04 gene
W81895	Mm.38492	1.369435	expressed sequence AA960202
W82923	Mm.30022	2.962399	RIKEN cDNA 1300013F15 gene
W84169	Mm.23078	0.560542
W85052	Mm.19390	0.667009	UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase
W85461	Mm.40172	1.340979	ESTs
W88135	Mm.29625	1.706175	ESTs, Weakly similar to RIKEN cDNA 2010000G05 [Mus musculus] [M.musculus]
W97158	Mm.22482	2.182271	Mus musculus, clone IMAGE:3590081, mRNA, partial cds
W97980	Mm.20046	0.700564	erythrocyte protein band 4.9
W98949	Mm.132711	1.68428	RIKEN cDNA 3110045G13 gene
W98958		1.361604
