Curated Gene Symbol	Order	Parametric p-value	t-value	% CV support	Geom mean of intensities in class 1	Geom mean of intensities in class 2	Geom mean of intensities in class 3	Geom mean of intensities in class 4	Unique id	Description	GB acc	Gene symbol
	13	< 1e-07	53.686	100	128.56	177.81	289.97	337.55	A_24_P639629	Homo sapiens cDNA FLJ31683 fis, clone NT2RI2005353. [AK056245]	AK056245	AK056245
	14	< 1e-07	58.333	100	51.14	62.35	87.75	165.06	A_23_P78244	Homo sapiens cDNA clone IMAGE:6141118, partial cds. [BC053363]	BC053363	BC053363
	15	< 1e-07	75.793	100	306.98	360.55	569.14	919.19	A_24_P925664	Unknown	THC2545454	THC2545454
CD70	16	< 1e-07	47.018	100	462.52	872.38	1925.24	3869.89	A_23_P119202	Homo sapiens CD70 molecule (CD70), mRNA [NM_001252]	NM_001252	CD70
ZNF79	17	< 1e-07	34.297	100	110.68	146.77	215	280.69	A_23_P303763	Homo sapiens zinc finger protein 79 (ZNF79), mRNA [NM_007135]	NM_007135	ZNF79
ASCC3	18	< 1e-07	39.441	100	191	288.16	456.09	616.8	A_23_P30972	Homo sapiens activating signal cointegrator 1 complex subunit 3 (ASCC3), transcript variant 2, mRNA [NM_022091]	NM_022091	ASCC3
CDKN1A	19	< 1e-07	39.067	100	2164.76	2885.94	5792.03	10760.41	A_23_P59210	Homo sapiens cyclin-dependent kinase inhibitor 1A (p21, Cip1) (CDKN1A), transcript variant 1, mRNA [NM_000389]	NM_000389	CDKN1A
LIG1	20	< 1e-07	31.613	100	2578.92	2831.95	3764.65	5914.48	A_23_P39116	Homo sapiens ligase I, DNA, ATP-dependent (LIG1), mRNA [NM_000234]	NM_000234	LIG1
	21	< 1e-07	109.128	100	110.66	206.41	431.26	959.65	A_24_P592871	UI-CF-FN0-age-k-21-0-UI.s1 UI-CF-FN0 Homo sapiens cDNA clone UI-CF-FN0-age-k-21-0-UI 3, mRNA sequence [CB250445]	CB250445	CB250445
ASCC3	22	< 1e-07	90.707	100	511.82	729.75	1194.11	1736.96	A_23_P19565	Homo sapiens activating signal cointegrator 1 complex subunit 3 (ASCC3), transcript variant 1, mRNA [NM_006828]	NM_006828	ASCC3
CCNG1	23	< 1e-07	52.759	100	424.1	584.97	903.55	1103.28	A_23_P58606	Homo sapiens cyclin G1 (CCNG1), transcript variant 1, mRNA [NM_004060]	NM_004060	CCNG1
ASTN2	24	< 1e-07	88.209	100	76.17	140.08	290.33	724.96	A_23_P357936	Homo sapiens astrotactin 2 (ASTN2), transcript variant 1, mRNA [NM_014010]	NM_014010	ASTN2
	25	< 1e-07	39.936	100	508.48	1373.32	3040.62	5922.09	A_32_P85230	BE646426 7e86f01.x1 NCI_CGAP_CLL1 Homo sapiens cDNA clone IMAGE:3292057 3, mRNA sequence [BE646426]	BE646426	BE646426
RPS27L	26	< 1e-07	114.07	100	4305.39	6772.74	12568.32	16920.27	A_23_P14734	Homo sapiens ribosomal protein S27-like (RPS27L), mRNA [NM_015920]	NM_015920	RPS27L
ZMAT3	27	< 1e-07	57.891	100	48.57	67.07	107.08	162.59	A_23_P113283	Homo sapiens zinc finger, matrin type 3 (ZMAT3), transcript variant 1, mRNA [NM_022470]	NM_022470	ZMAT3
	28	< 1e-07	47.12	100	201.84	265.78	505.67	989.59	A_24_P127462	PREDICTED: Homo sapiens similar to Proliferating cell nuclear antigen (PCNA) (Cyclin) (LOC392454), mRNA [XR_018314]	XR_018314	LOC392454
TNFSF4	29	< 1e-07	112.067	100	82.82	89.32	148.47	450.41	A_23_P126836	Homo sapiens tumor necrosis factor (ligand) superfamily, member 4 (tax-transcriptionally activated glycoprotein 1, 34kDa) (TNFSF4), mRNA [NM_003326]	NM_003326	TNFSF4
FBXO22	30	< 1e-07	33.598	100	11.32	16.52	28.2	35.84	A_24_P13715	Homo sapiens F-box protein 22 (FBXO22), transcript variant 1, mRNA [NM_147188]	NM_147188	FBXO22
ZNF79	31	< 1e-07	47.42	100	169.22	214.57	305.63	446.57	A_24_P128312	Homo sapiens zinc finger protein 79 (ZNF79), mRNA [NM_007135]	NM_007135	ZNF79
VWCE	32	< 1e-07	39.096	100	235.12	297.06	732.26	3427.13	A_23_P52986	Homo sapiens von Willebrand factor C and EGF domains (VWCE), mRNA [NM_152718]	NM_152718	VWCE
PHLDA3	33	< 1e-07	132.388	100	23.28	58.01	200.44	458.94	A_23_P62959	Homo sapiens pleckstrin homology-like domain, family A, member 3 (PHLDA3), mRNA [NM_012396]	NM_012396	PHLDA3
	34	< 1e-07	148.154	100	189.6	271.88	493.68	926.57	A_32_P170664	Homo sapiens cDNA: FLJ21245 fis, clone COL01184. [AK024898]	AK024898	AK024898
EBI3	35	< 1e-07	51.479	100	68.98	82.23	159.63	586.7	A_23_P119478	Homo sapiens Epstein-Barr virus induced gene 3 (EBI3), mRNA [NM_005755]	NM_005755	EBI3
	36	< 1e-07	86.393	100	28.9	51.3	118.2	216.77	A_23_P31681	Homo sapiens cDNA FLJ23887 fis, clone LNG14332. [AK074467]	AK074467	AK074467
DOK7	37	< 1e-07	38.281	100	95.01	83.04	49.1	18.86	A_23_P398854	Homo sapiens docking protein 7 (DOK7), mRNA [NM_173660]	NM_173660	DOK7
TMEM30A	38	< 1e-07	38.063	100	377.66	450.65	709.51	865.33	A_24_P180424	Homo sapiens transmembrane protein 30A (TMEM30A), mRNA [NM_018247]	NM_018247	TMEM30A
GADD45A	39	< 1e-07	58.614	100	620.43	812.05	1323.8	1992.11	A_23_P23221	Homo sapiens growth arrest and DNA-damage-inducible, alpha (GADD45A), mRNA [NM_001924]	NM_001924	GADD45A
DDB2	40	< 1e-07	285.224	100	3345.92	6491.41	13279.93	22325.69	A_23_P52610	Homo sapiens damage-specific DNA binding protein 2, 48kDa (DDB2), mRNA [NM_000107]	NM_000107	DDB2
FBXO22	41	< 1e-07	53.832	100	180.66	236	330.83	455.83	A_23_P65870	Homo sapiens F-box protein 22 (FBXO22), transcript variant 2, mRNA [NM_012170]	NM_012170	FBXO22
E2F7	42	< 1e-07	39.005	100	16.68	21.36	35.23	92.64	A_32_P210202	Homo sapiens E2F transcription factor 7 (E2F7), mRNA [NM_203394]	NM_203394	E2F7
MDM2	43	< 1e-07	43.47	100	172.88	208.96	325.77	609.18	A_23_P309545	Homo sapiens Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse) (MDM2), transcript variant MDM2b, mRNA [NM_006879]	NM_006879	MDM2
FDXR	44	< 1e-07	548.404	100	1135.33	4577.75	14292.95	31847.79	A_23_P38154	Homo sapiens ferredoxin reductase (FDXR), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA [NM_004110]	NM_004110	FDXR
GLS2	45	< 1e-07	59.627	100	43.72	68.65	120.38	226.48	A_24_P326739	Homo sapiens glutaminase 2 (liver, mitochondrial) (GLS2), nuclear gene encoding mitochondrial protein, mRNA [NM_013267]	NM_013267	GLS2
PHPT1	46	< 1e-07	91.473	100	1779.37	2906.45	5737.66	8344.63	A_24_P184031	Homo sapiens phosphohistidine phosphatase 1 (PHPT1), mRNA [NM_014172]	NM_014172	PHPT1
TMEM30A	47	< 1e-07	29.362	100	336.25	399.31	638.15	759.19	A_23_P70290	Homo sapiens transmembrane protein 30A (TMEM30A), mRNA [NM_018247]	NM_018247	TMEM30A
MDM2	48	< 1e-07	28.316	100	21.33	24.58	35.08	63.33	A_23_P502750	Homo sapiens Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse) (MDM2), transcript variant MDM2, mRNA [NM_002392]	NM_002392	MDM2
BAX	49	< 1e-07	27.833	100	3767.92	5819.04	9177.29	12090.87	A_23_P208706	Homo sapiens BCL2-associated X protein (BAX), transcript variant epsilon, mRNA [NM_138764]	NM_138764	BAX
BBC3	50	< 1e-07	25.69	100	8680.27	10896.23	16065.94	21706.95	A_23_P382775	Homo sapiens BCL2 binding component 3 (BBC3), mRNA [NM_014417]	NM_014417	BBC3
SESN1	51	< 1e-07	24.989	100	575.23	668.43	985.21	1304.45	A_23_P93562	Homo sapiens sestrin 1 (SESN1), mRNA [NM_014454]	NM_014454	SESN1
BAX	52	< 1e-07	23.659	100	542.25	860.89	1316.27	1542.83	A_23_P346311	Homo sapiens BCL2-associated X protein (BAX), transcript variant sigma, mRNA [NM_138765]	NM_138765	BAX
CABYR	53	< 1e-07	23.104	100	21.01	21.22	35.83	89.5	A_23_P314712	Homo sapiens calcium binding tyrosine-(Y)-phosphorylation regulated (fibrousheathin 2) (CABYR), transcript variant 1, mRNA [NM_012189]	NM_012189	CABYR
PLK2	54	< 1e-07	22.908	100	357.65	408.99	623.73	1017.66	A_23_P30254	Homo sapiens polo-like kinase 2 (Drosophila) (PLK2), mRNA [NM_006622]	NM_006622	PLK2
LARGE	55	< 1e-07	22.745	100	115.42	119.4	70.64	32.78	A_23_P91697	Homo sapiens like-glycosyltransferase (LARGE), transcript variant 1, mRNA [NM_004737]	NM_004737	LARGE
	56	< 1e-07	22.715	100	114.59	145.37	220.59	355.22	A_32_P140501	Unknown	A_32_P140501	A_32_P140501
APOBEC3F	57	< 1e-07	22.654	100	260.97	299.64	403.06	639.92	A_23_P357101	Homo sapiens apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F (APOBEC3F), transcript variant 1, mRNA [NM_145298]	NM_145298	APOBEC3F
IZUMO4	58	< 1e-07	22.312	100	373.54	372.29	511.2	773.3	A_24_P32295	Homo sapiens chromosome 19 open reading frame 36 (C19orf36), transcript variant 3, mRNA [NM_001039846]	NM_001039846	C19orf36
CDC42EP2	59	< 1e-07	21.042	100	457.29	492.42	677.31	1345.24	A_23_P1602	Homo sapiens CDC42 effector protein (Rho GTPase binding) 2 (CDC42EP2), mRNA [NM_006779]	NM_006779	CDC42EP2
	60	< 1e-07	20.758	100	237.18	229.06	271.87	514.82	A_32_P53234	Homo sapiens cDNA FLJ41339 fis, clone BRASW1000053. [AK123333]	AK123333	AK123333
MDM2	61	< 1e-07	20.784	100	563.15	646.04	911.36	1190.32	A_23_P139895	Homo sapiens hypothetical protein MGC5370, mRNA (cDNA clone IMAGE:3049213), partial cds. [BC006795]	BC006795	MGC5370
TRIM32	62	< 1e-07	20.101	100	231.03	268.88	338.71	441.08	A_24_P29966	Homo sapiens tripartite motif-containing 32 (TRIM32), mRNA [NM_012210]	NM_012210	TRIM32
ACTA2	63	< 1e-07	19.495	100	106.92	173.32	288.09	448.89	A_23_P150053	Homo sapiens actin, alpha 2, smooth muscle, aorta (ACTA2), mRNA [NM_001613]	NM_001613	ACTA2
XPC	64	< 1e-07	18.86	100	583.3	799.04	1080.59	1472.57	A_24_P88921	Homo sapiens xeroderma pigmentosum, complementation group C (XPC), mRNA [NM_004628]	NM_004628	XPC
	65	< 1e-07	18.568	100	41.99	70.05	126.9	204.8	A_24_P917549	Unknown	A_24_P917549	A_24_P917549
APOBEC3C	66	< 1e-07	18.098	100	405.8	439.92	618.73	900.15	A_23_P120931	Homo sapiens apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C (APOBEC3C), mRNA [NM_014508]	NM_014508	APOBEC3C
EBI3	67	< 1e-07	17.898	100	52.68	59.54	70.95	150.97	A_24_P370201	Homo sapiens Epstein-Barr virus induced gene 3 (EBI3), mRNA [NM_005755]	NM_005755	EBI3
GNG7	68	< 1e-07	17.705	100	539.72	478.68	374.26	234.91	A_32_P136295	Homo sapiens guanine nucleotide binding protein (G protein), gamma 7 (GNG7), mRNA [NM_052847]	NM_052847	GNG7
IL21R	69	< 1e-07	17.596	100	1085.12	1201.4	1517.98	2246.01	A_24_P227927	Homo sapiens interleukin 21 receptor (IL21R), transcript variant 2, mRNA [NM_181078]	NM_181078	IL21R
	70	0.0000001	17.035	100	150.05	185.36	253.22	421.26	A_24_P245838	Homo sapiens cDNA FLJ43371 fis, clone NTONG2005969. [AK125361]	AK125361	AK125361
	71	0.0000002	16.448	100	34.16	35.42	45.18	84.16	A_24_P937817	Homo sapiens cDNA: FLJ22542 fis, clone HSI00196. [AK026195]	AK026195	AK026195
KREMEN2	72	0.0000003	16.047	100	28.93	27.84	45.2	92.16	A_23_P77612	Homo sapiens kringle containing transmembrane protein 2 (KREMEN2), transcript variant 4, mRNA [NM_172229]	NM_172229	KREMEN2
	73	0.0000003	15.901	100	87.44	101.13	140.6	157.39	A_24_P170357	Unknown	A_24_P170357	A_24_P170357
SYNPO	74	0.0000003	15.977	100	22.88	21.15	34.22	73.56	A_23_P344531	Synaptopodin. [Source:Uniprot/SWISSPROT;Acc:Q8N3V7] [ENST00000307662]	ENST00000307662	SYNPO
IZUMO4	75	0.0000003	15.788	100	56.89	65.72	98.41	146.01	A_23_P50674	Homo sapiens chromosome 19 open reading frame 36 (C19orf36), transcript variant 1, mRNA [NM_001031735]	NM_001031735	C19orf36
TNFRSF10B	76	0.0000003	15.727	100	234.79	311.71	415.8	515.81	A_23_P169030	Homo sapiens tumor necrosis factor receptor superfamily, member 10b (TNFRSF10B), transcript variant 1, mRNA [NM_003842]	NM_003842	TNFRSF10B
	77	0.0000004	15.48	100	904.38	1044.4	1657.11	2234.14	A_24_P65597	full-length cDNA clone CS0DM012YB14 of Fetal liver of Homo sapiens (human). [CR616003]	CR616003	CR616003
	78	0.0000004	15.346	100	310.14	354.1	453.48	713.25	A_24_P128361	Homo sapiens clone pp6337 unknown mRNA. [AF289562]	AF289562	AF289562
GDF15	79	0.0000006	15.011	100	269.02	323.7	545.14	1290.36	A_23_P16523	Homo sapiens growth differentiation factor 15 (GDF15), mRNA [NM_004864]	NM_004864	GDF15
	80	0.0000006	14.954	100	27.85	36.91	45.42	58.8	A_32_P97739	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 1895238. [AJ420487]	AJ420487	AJ420487
	81	0.0000006	14.848	100	2744.87	3149.55	4194.09	5085.6	A_24_P653603	Homo sapiens cDNA clone IMAGE:6572580. [BC079831]	BC079831	LOC284184
CD80	82	0.0000007	16.276	100	11.76	12.76	15.68	37.55	A_24_P320033	Homo sapiens CD80 molecule (CD80), mRNA [NM_005191]	NM_005191	CD80
SOGA1	83	0.000001	14.236	100	69.73	84.8	98.11	145.99	A_32_P32179	Homo sapiens cDNA FLJ32494 fis, clone SKNSH2000151. [AK057056]	AK057056	C20orf117
CD40	84	0.0000012	14.009	100	204.76	240.78	288.75	422.3	A_23_P57036	Homo sapiens CD40 molecule, TNF receptor superfamily member 5 (CD40), transcript variant 1, mRNA [NM_001250]	NM_001250	CD40
SESN1	85	0.0000018	13.492	100	153.22	178.41	268.77	329.33	A_24_P346339	Homo sapiens sestrin 1 (SESN1), mRNA [NM_014454]	NM_014454	SESN1
TRIM22	86	0.0000028	12.956	100	1039.02	1405.29	2036.25	2452.21	A_24_P172481	Homo sapiens tripartite motif-containing 22 (TRIM22), mRNA [NM_006074]	NM_006074	TRIM22
RGS12	87	0.0000065	11.919	100	205.23	238.8	333.74	388.31	A_23_P352435	Homo sapiens regulator of G-protein signalling 12 (RGS12), transcript variant 2, mRNA [NM_002926]	NM_002926	RGS12
MFSD4	88	0.0000066	12.537	100	11.24	12.63	22.77	26.59	A_23_P365412	Homo sapiens major facilitator superfamily domain containing 4 (MFSD4), mRNA [NM_181644]	NM_181644	MFSD4
MYC	89	0.0000089	11.535	100	1517.16	1344.99	1023.98	818.91	A_23_P215956	Homo sapiens v-myc myelocytomatosis viral oncogene homolog (avian) (MYC), mRNA [NM_002467]	NM_002467	MYC
ADA	90	0.0000108	11.448	100	6144.38	6953.58	8565.14	11937.18	A_23_P210482	Homo sapiens adenosine deaminase (ADA), mRNA [NM_000022]	NM_000022	ADA
IGFBP4	91	0.0000114	11.387	100	12.38	11.43	15.59	35.28	A_24_P382187	Homo sapiens insulin-like growth factor binding protein 4 (IGFBP4), mRNA [NM_001552]	NM_001552	IGFBP4
NFKB2	92	0.0000118	11.201	100	358.23	385.58	433.86	664.68	A_23_P202156	Homo sapiens nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) (NFKB2), transcript variant 3, mRNA [NM_001077493]	NM_001077493	NFKB2
	93	0.0000119	11.189	100	329.37	359.53	431.49	752.94	A_23_P50517	Zinc finger protein 541. [Source:Uniprot/SWISSPROT;Acc:Q9H0D2] [ENST00000314121]	ENST00000314121	ENST00000314121
MFSD4	94	0.0000125	11.352	100	15.04	15.45	30.75	36.55	A_24_P51115	Homo sapiens major facilitator superfamily domain containing 4 (MFSD4), mRNA [NM_181644]	NM_181644	MFSD4
	95	0.0000134	11.052	100	149.84	158.22	174.31	235.95	A_32_P40375	Q6PJD4_HUMAN (Q6PJD4) LOC389906 protein (Fragment), partial (10%) [THC2518594]	THC2518594	THC2518594
LAMP3	96	0.0000161	10.836	100	512.14	549.74	700.11	1071.58	A_23_P29773	Homo sapiens lysosomal-associated membrane protein 3 (LAMP3), mRNA [NM_014398]	NM_014398	LAMP3
	97	0.0000169	10.78	100	67.58	73.78	101.07	137.46	A_24_P784846	Homo sapiens cDNA FLJ11844 fis, clone HEMBA1006665. [AK021906]	AK021906	AK021906
TP53I3	98	0.0000224	10.455	100	251.46	294.79	348.92	503.69	A_23_P5392	Homo sapiens tumor protein p53 inducible protein 3 (TP53I3), transcript variant 1, mRNA [NM_004881]	NM_004881	TP53I3
POLH	99	0.0000237	11.181	100	7.54	11.63	16.4	30.09	A_23_P422718	Homo sapiens polymerase (DNA directed), eta (POLH), mRNA [NM_006502]	NM_006502	POLH
	100	0.0000318	10.116	100	75.2	87.27	108.29	165.8	A_32_P509964	Homo sapiens unknown mRNA. [AF136408]	AF136408	AF136408
CAV1	101	0.000037	9.885	100	15.93	17.21	22.66	37.5	A_23_P134454	Homo sapiens caveolin 1, caveolae protein, 22kDa (CAV1), mRNA [NM_001753]	NM_001753	CAV1
TREM2	102	0.0000373	9.878	100	71.65	87.56	169.31	232.28	A_23_P167941	Homo sapiens triggering receptor expressed on myeloid cells 2 (TREM2), mRNA [NM_018965]	NM_018965	TREM2
BBC3	103	0.0000395	9.811	100	459.87	576.05	685.38	1009.7	A_24_P305312	Homo sapiens BCL2 binding component 3 (BBC3), mRNA [NM_014417]	NM_014417	BBC3
TNFSF9	104	0.0000421	9.741	100	55.7	56.37	87.75	105.84	A_23_P67224	Homo sapiens tumor necrosis factor (ligand) superfamily, member 9 (TNFSF9), mRNA [NM_003811]	NM_003811	TNFSF9
TRIM22	105	0.0000435	9.705	100	1289.05	1699.64	2454.31	2793.11	A_23_P203498	Homo sapiens tripartite motif-containing 22 (TRIM22), mRNA [NM_006074]	NM_006074	TRIM22
TNFSF9	106	0.0000444	9.682	100	62.49	70.78	93.37	120.71	A_24_P5856	Homo sapiens tumor necrosis factor (ligand) superfamily, member 9 (TNFSF9), mRNA [NM_003811]	NM_003811	TNFSF9
TREM2	107	0.0000509	9.53	100	49.52	61.65	101.52	157.36	A_24_P12397	Homo sapiens triggering receptor expressed on myeloid cells 2 (TREM2), mRNA [NM_018965]	NM_018965	TREM2
AGRN	108	0.0000525	9.495	100	71.6	71.02	80.17	129.33	A_23_P343411	Homo sapiens agrin (AGRIN), mRNA [NM_198576]	NM_198576	AGRIN
SLC4A11	109	0.0000527	9.49	100	71.99	75.98	101.71	144.6	A_23_P154688	Homo sapiens solute carrier family 4, sodium bicarbonate transporter-like, member 11 (SLC4A11), mRNA [NM_032034]	NM_032034	SLC4A11
	110	0.0000568	9.408	100	377.78	367.42	312.42	117.71	A_32_P170454	Homo sapiens cDNA FLJ37411 fis, clone BRAMY2028682. [AK094730]	AK094730	LOC283454
DCP1B	111	0.0000835	8.984	100	1249	1142.65	2076.51	3071.56	A_23_P313512	Homo sapiens DCP1 decapping enzyme homolog B (S. cerevisiae) (DCP1B), mRNA [NM_152640]	NM_152640	DCP1B
	112	0.0001247	8.552	100	343.96	436.93	523.1	712.23	A_24_P677525	Homo sapiens NM-4 mRNA, complete cds. [AF336795]	AF336795	AF336795
SMTN	113	0.0001292	8.514	100	33.38	38.76	49.31	60.31	A_23_P211428	Homo sapiens smoothelin (SMTN), transcript variant 2, mRNA [NM_134269]	NM_134269	SMTN
GNG4	114	0.0001373	8.49	100	73.31	78.36	88.81	137.19	A_23_P335329	Homo sapiens guanine nucleotide binding protein (G protein), gamma 4 (GNG4), mRNA [NM_004485]	NM_004485	GNG4
FHL2	115	0.0001386	8.439	100	165.37	176.64	218.79	371.69	A_23_P108751	Homo sapiens four and a half LIM domains 2 (FHL2), transcript variant 5, mRNA [NM_001039492]	NM_001039492	FHL2
FCRL3	116	0.0001538	8.328	100	130.92	148.07	194.63	299.62	A_23_P358438	Homo sapiens Fc receptor-like 3 (FCRL3), mRNA [NM_052939]	NM_052939	FCRL3
TSPAN33	117	0.0001895	8.107	100	58.47	73.54	86.23	118.02	A_23_P392928	Homo sapiens tetraspanin 33 (TSPAN33), mRNA [NM_178562]	NM_178562	TSPAN33
	118	0.0001913	8.097	100	23.36	36.03	44.12	44.16	A_24_P324538	Unknown	A_24_P324538	A_24_P324538
NEIL1	119	0.0002425	7.848	100	1237.31	1146.96	925.9	673.78	A_23_P129157	Homo sapiens nei endonuclease VIII-like 1 (E. coli) (NEIL1), mRNA [NM_024608]	NM_024608	NEIL1
TNFRSF18	120	0.0002777	7.708	96	152.71	157.99	176.22	328.45	A_24_P411121	Homo sapiens tumor necrosis factor receptor superfamily, member 18 (TNFRSF18), transcript variant 2, mRNA [NM_148901]	NM_148901	TNFRSF18
RRAD	121	0.0002852	7.75	94	16.56	21.55	24.1	45.75	A_24_P262127	Homo sapiens Ras-related associated with diabetes (RRAD), mRNA [NM_004165]	NM_004165	RRAD
	122	0.0003241	7.868	94	12.48	14.45	14.77	44.91	A_24_P871940	Q5PP12_ARATH (Q5PP12) At5g40730, partial (23%) [THC2622092]	THC2622092	THC2622092
NTPCR	123	0.0003341	7.516	96	220.16	250.83	306.15	425.73	A_23_P200252	Homo sapiens chromosome 1 open reading frame 57 (C1orf57), mRNA [NM_032324]	NM_032324	C1orf57
	124	0.000335	7.513	94	167.04	197.8	253.7	407.73	A_32_P165407	Homo sapiens cDNA: FLJ21273 fis, clone COL01778. [AK024926]	AK024926	AK024926
	125	0.0003417	7.526	100	42.64	31.66	28.39	22.15	A_32_P32043	Homo sapiens cDNA FLJ39086 fis, clone NT2RP7019135. [AK096405]	AK096405	AK096405
TSPAN33	126	0.000371	7.409	96	75.61	91.95	112.96	152.18	A_32_P123652	Homo sapiens tetraspanin 33 (TSPAN33), mRNA [NM_178562]	NM_178562	TSPAN33
	127	0.0003777	7.39	100	75.85	81.72	126.73	119.38	A_24_P694820	Unknown	THC2533951	THC2533951
	128	0.0003899	7.358	100	99.93	95.32	123.68	240.68	A_24_P633575	Homo sapiens full length insert cDNA clone ZD54C08. [AF086329]	AF086329	AF086329
TRAF5	129	0.0003964	7.341	87	2920.89	2895.41	2565.18	1868.59	A_23_P201731	Homo sapiens TNF receptor-associated factor 5 (TRAF5), transcript variant 1, mRNA [NM_004619]	NM_004619	TRAF5
SLC25A27	130	0.0003974	7.474	94	12.33	12.42	17.46	24.3	A_23_P81721	Homo sapiens solute carrier family 25, member 27 (SLC25A27), nuclear gene encoding mitochondrial protein, mRNA [NM_004277]	NM_004277	SLC25A27
GNG8	131	0.0004277	7.263	91	155.64	156.68	191.97	339.47	A_24_P79070	Homo sapiens guanine nucleotide binding protein (G protein), gamma 8 (GNG8), mRNA [NM_033258]	NM_033258	GNG8
FCRL3	132	0.0004363	7.339	96	16.45	19.04	28.55	45.78	A_23_P103803	Homo sapiens Fc receptor-like 3 (FCRL3), mRNA [NM_052939]	NM_052939	FCRL3
LOR	133	0.0005188	7.441	83	10.59	14.64	17.04	29.43	A_23_P34452	Homo sapiens loricrin (LOR), mRNA [NM_000427]	NM_000427	LOR
MAP4K4	134	0.0005419	7.023	79	190.7	224.11	267.83	325.07	A_23_P102192	Homo sapiens mitogen-activated protein kinase kinase kinase kinase 4 (MAP4K4), transcript variant 2, mRNA [NM_145686]	NM_145686	MAP4K4
ZNF239	135	0.0006106	6.903	83	76.34	86.19	94.21	131.89	A_23_P86731	Homo sapiens zinc finger protein 239 (ZNF239), mRNA [NM_005674]	NM_005674	ZNF239
FCRL5	136	0.0006587	6.826	81	180.17	193.4	315.57	644.78	A_23_P201211	Homo sapiens Fc receptor-like 5 (FCRL5), mRNA [NM_031281]	NM_031281	FCRL5
	137	0.0006816	7.053	79	12.45	14.15	15.34	35.65	A_24_P84130	Homo sapiens cDNA: FLJ21027 fis, clone CAE07110. [AK024680]	AK024680	AK024680
ITLN2	138	0.0007887	6.646	45	70.82	75.95	91.49	144.21	A_24_P53778	Homo sapiens intelectin 2 (ITLN2), mRNA [NM_080878]	NM_080878	ITLN2
PHC3	139	0.0008012	6.742	53	16.41	11.84	8.48	8.98	A_24_P265177	Homo sapiens cDNA FLJ12729 fis, clone NT2RP2000076, weakly similar to Homo sapiens partial mRNA for polyhomeotic 2 protein (PH2 gene). [AK022791]	AK022791	PHC3
