Description	GenBank accession no.	FC Ad1	FC Ad2	FC Ad3	Function
Vsm ?-ACTIN	X13297	26.4	9.9	2.8	Extracellular matrix and cellular-structure
Reelin	U24703	-6.2	-12	-32.7	Extracellular matrix and cellular-structure
E-chaderin	X06115	-5.4	-6.2	-5.1	Extracellular matrix and cellular-structure
Tubulin ?4	AA030364	9.9	4.3	11.3	Extracellular matrix and cellular-structure
Semaphorin H	Z80941	-12.1	-8.6	-7.6	Extracellular matrix and cellular-structure
ATP-binding cassette trasp.(ABCR)	AF000149	-9.9	-10.5	-12.3	Extracellular matrix and cellular-structure
Syntaxin 1A	D45208	-5.6	-4.9	-5.6	Extracellular matrix and cellular-structure
Folate-binding protein 1	M64782	-10.1	-14.1	-16	Extracellular matrix and cellular-structure
Igf2	U71085	8.6	3.5	2.8	Growth factors
MIA/CD-RAP	X97965	-106.6	-126.6	-121	Growth factors
Peroxisome membrane protein (PMP22)	L28835	6.5	9.6	4.1	Growth factors
Raly	L17076	-5.4	-3	-3	Development
Noggin	U79163	7.5	8.3	10.3	Development
NFI-?	U57634	-4.5	-4.2	-7.5	Development
Nicotinic Acetyl Choline rec. ? subunit	M14537	-13.4	-15	-24.8	Receptors
FGR receptor	M33760	-5.9	-3.1	-12.5	Receptors
T-cell receptor ? chain	M26417	-7.2	-5.6	-6.6	Receptors
RIP140	W85018	-6.8	-4.9	-7.1	Receptors
Serotonin 4L receptor	W85018	-4.1	-5.6	-4.9	Receptors
Fc-? receptor	m14215	31.6	7.4	6	Receptors
ANKT	AA266783	4.4	6.1	7.5	Other functions
?-casein	D10215	1	1.1	1.1	Other functions
EN7	X53247	13.4	1.4	-1.7	Other functions
DMR-N9 gene	Z38011	-4.3	7.3	-4.5	Other functions
Actin-2	W50919	-7	-4.4	-6.7	Other functions
Dihydropyrimidinase related protein 4	ab006715	-10	-10.6	-12.1	Other functions
Hoxc-5	U28071	-5.7	-6.6	-8.5	Other functions
BDNF	X55573	4.1	5.9	4.9	Prosurvival factors
