Refseq	Symbol	Description	
NM_016530 	RAB8B 	"RAB8B, member RAS oncogene family "	 
NM_017610 	RNF111 	Ring finger protein 111 	 
NM_017778 	WHSC1L1 	Wolf-Hirschhorn syndrome candidate 1-like 1 	 
NM_020307 	CCNL1 	Cyclin L1 	 
NM_020689 	SLC24A3 	"Solute carrier family 24 (sodium/potassium/calcium exchanger), member "	 
NM_020801 	ARRDC3 	Arrestin domain containing 3 	 
NM_052897 	MBD6 	Methyl-CpG binding domain protein 6 	 
NM_080836 	STK35 	Serine/threonine kinase 35 	 
NM_138771 	CCDC126 	Coiled-coil domain containing 126 	 
NM_139014 	MAPK14 	Mitogen-activated protein kinase 14 	 
NM_144599 	NIPA1 	Non-imprinted in Prader-Willi/Angelman syndrome 1 	 
NM_144720 	JAKMIP1 	Janus kinase and microtubule interacting protein 1 	 
NM_144778 	MBNL2 	Muscleblind-like 2 (Drosophila) 	 
NM_152271 	LONRF1 	LON peptidase N-terminal domain and ring finger 1 	 
NM_152415 	VPS37A 	Vacuolar protein sorting 37 homolog A (S. cerevisiae) 	 
NM_153690 	FAM43A 	"Family with sequence similarity 43, member A "	 
NM_153702 	ELMOD2 	ELMO/CED-12 domain containing 2 	 
NM_173582 	PGM2L1 	Phosphoglucomutase 2-like 1 	
NM_183376 	ARRDC4 	Arrestin domain containing 4 	
NM_198859 	PRICKLE2 	Prickle homolog 2 (Drosophila) 	
NM_206854 	QKI 	"Quaking homolog, KH domain RNA binding (mouse) "	
NM_033225 	CSMD1 	CUB and Sushi multiple domains 1 	
NM_033211 	C5orf30 	Chromosome 5 open reading frame 30 	
NM_032961 	PCDH10 	Protocadherin 10 	
NM_020856 	TSHZ3 	Teashirt zinc finger homeobox 3 	
NM_021252 	RAB18 	"RAB18, member RAS oncogene family "	
NM_021572 	ENPP5 	Ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative function) 	
NM_022037 	TIA1 	TIA1 cytotoxic granule-associated RNA binding protein 	
NM_022080 	NAPB 	"N-ethylmaleimide-sensitive factor attachment protein, beta "	
NM_022138 	SMOC2 	SPARC related modular calcium binding 2 	
NM_022374 	ARL6IP2 	ADP-ribosylation factor-like 6 interacting protein 2 	
NM_024490 	ATP10A 	"ATPase, class V, type 10A "	
NM_024680 	E2F8 	E2F transcription factor 8 	
NM_024692 	CLIP4 	"CAP-GLY domain containing linker protein family, member 4 "	
NM_025187 	C16orf70 	Chromosome 16 open reading frame 70 	
NM_030962 	SBF2 	SET binding factor 2 	
NM_032039 	ITFG3 	Integrin alpha FG-GAP repeat containing 3 	
NM_032160 	DSEL 	Dermatan sulfate epimerase-like 	
NM_032505 	KBTBD8 	Kelch repeat and BTB (POZ) domain containing 8 	
NM_207371 	C10orf140 	Chromosome 10 open reading frame 140 	
NM_014382 	ATP2C1 	"ATPase, Ca++ transporting, type 2C, member 1 "	
NM_000125 	ESR1 	Estrogen receptor 1 	
NM_002233 	KCNA4 	"Potassium voltage-gated channel, shaker-related subfamily, member 4 "	
NM_002267 	KPNA3 	Karyopherin alpha 3 (importin alpha 4) 	
NM_002518 	NPAS2 	Neuronal PAS domain protein 2 	
NM_002841 	PTPRG 	"Protein tyrosine phosphatase, receptor type, G "	
NM_002880 	RAF1 	v-raf-1 murine leukemia viral oncogene homolog 1 	
NM_002897 	RBMS1 	"RNA binding motif, single stranded interacting protein 1 "	
NM_002956 	CLIP1 	CAP-GLY domain containing linker protein 1 	
NM_003070 	SMARCA2 	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2 "	
NM_003107 	SOX4 	SRY (sex determining region Y)-box 4 	
NM_003185 	TAF4 	"TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135 kDa "	
NM_003244 	TGIF1 	TGFB-induced factor homeobox 1 	
NM_003245 	TGM3 	"Transglutaminase 3 (E polypeptide, Protein-glutamine-gamma-glutamyltransferase) "	
NM_003272 	GPR137B 	G protein-coupled receptor 137B 	
NM_003629 	PIK3R3 	"Phosphoinositide-3-kinase, regulatory subunit 3 (gamma) "	
NM_003654 	CHST1 	Carbohydrate (keratan sulfate Gal-6) sulfotransferase 1 	
NM_002222 	ITPR1 	"Inositol 1,4,5-triphosphate receptor, type 1 "	
NM_002024 	FMR1 	Fragile X mental retardation 1 	
NM_001759 	CCND2 	Cyclin D2 	
NM_000165 	GJA1 	"Gap junction protein, alpha 1, 43 kDa "	
NM_000332 	ATXN1 	Ataxin 1 	
NM_000891 	KCNJ2 	"Potassium inwardly-rectifying channel, subfamily J, member 2 "	
NM_001001928 	PPARA 	Peroxisome proliferator-activated receptor alpha 	
NM_001002243 	AFTPH 	Aftiphilin 	
NM_001002860 	BTBD7 	BTB (POZ) domain containing 7 	
NM_001083 	PDE5A 	"Phosphodiesterase 5A, cGMP-specific "	
NM_001092 	ABR 	Active BCR-related gene 	
NM_001156 	ANXA7 	Annexin A7 	
NM_001204 	BMPR2 	"Bone morphogenetic protein receptor, type II (serine/threonine kinase) "	
NM_001304 	CPD 	Carboxypeptidase D 	
NM_001390 	DTNA 	"Dystrobrevin, alpha "	
NM_001452 	FOXF2 	Forkhead box F2 	
NM_001584 	MPPED2 	Metallophosphoesterase domain containing 2 	
NM_001693 	ATP6V1B2 	"ATPase, H + transporting, lysosomal 56/58 kDa, V1 subunit B2 "	
NM_003896 	ST3GAL5 	"ST3 beta-galactoside alpha-2,3-sialyltransferase 5 "	
NM_003955 	SOCS3 	Suppressor of cytokine signaling 3 	
NM_003972 	BTAF1 	"BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170 kDa (Mot1 homolog, S. cerevisiae) "	
NM_006251 	PRKAA1 	"Protein kinase, AMP-activated, alpha 1 catalytic subunit "	
NM_006352 	ZNF238 	Zinc finger protein 238 	
NM_006421 	ARFGEF1 	ADP-ribosylation factor guanine nucleotide-exchange factor 1 (brefeldin A-inhibited) 	
NM_006464 	TGOLN2 	Trans-golgi network protein 2 	
NM_006469 	IVNS1ABP 	Influenza virus NS1A binding protein 	
NM_006526 	ZNF217 	Zinc finger protein 217 	
NM_006544 	EXOC5 	Exocyst complex component 5 	
NM_006624 	ZMYND11 	"Zinc finger, MYND domain containing 11 "	
NM_006813 	PNRC1 	Proline-rich nuclear receptor coactivator 1 	
NM_007023 	RAPGEF4 	Rap guanine nucleotide exchange factor (GEF) 4 	
NM_007054 	KIF3A 	Kinesin family member 3A 	
NM_007106 	UBL3 	Ubiquitin-like 3 	
NM_012081 	ELL2 	"Elongation factor, RNA polymerase II, 2 "	
NM_012342 	BAMBI 	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis) 	
NM_013433 	TNPO2 	"Transportin 2 (importin 3, karyopherin beta 2b) "	
NM_006246 	PPP2R5E 	"Protein phosphatase 2, regulatory subunit B”, epsilon isoform "	
NM_005935 	AFF1 	"AF4/FMR2 family, member 1 "	
NM_005639 	SYT1 	Synaptotagmin I 	
NM_004040 	RHOB 	"Ras homolog gene family, member B "	
NM_004293 	GDA 	Guanine deaminase 	
NM_004299 	ABCB7 	"ATP-binding cassette, sub-family B (MDR/TAP), member 7 "	
NM_004458 	ACSL4 	Acyl-CoA synthetase long-chain family member 4 	
NM_004505 	USP6 	Ubiquitin specific peptidase 6 (Tre-2 oncogene) 	
NM_004525 	LRP2 	Low-density lipoprotein-related protein 2 	
NM_004571 	PKNOX1 	PBX/knotted 1 homeobox 1 	
NM_004859 	CLTC 	"Clathrin, heavy chain (Hc) "	
NM_004869 	VPS4B 	Vacuolar protein sorting 4 homolog B (S. cerevisiae) 	
NM_004992 	MECP2 	Methyl CpG binding protein 2 (Rett syndrome) 	
NM_005112 	WDR1 	WD repeat domain 1 	
NM_005178 	BCL3 	B-cell CLL/lymphoma 3 	
NM_005230 	ELK3 	"ELK3, ETS-domain protein (SRF accessory protein 2) "	
NM_005502 	ABCA1 	"ATP-binding cassette, sub-family A (ABC1), member 1 "	
NM_005578 	LPP 	LIM domain containing preferred translocation partner in lipoma 	
NM_014372 	RNF11 	Ring finger protein 11 	
