# Generate Mapping Tables Script: Version 4 11:07 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:07 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|AY724483|690163	mgi_symbol|Oxct1|Oxct1
refseq_dna|XM_343554|XM_343554	mgi_symbol|Cnnm4|Cnnm4
refseq_dna|NM_131902|NM_131902	mgi_symbol|Cdkn2c|Cdkn2c
refseq_dna|NM_012837|NM_012837	mgi_symbol|Cst3|Cst3
refseq_dna|NM_021750|NM_021750	mgi_symbol|Csad|Csad
refseq_dna|NM_001013980|NM_001013980	mgi_symbol|Cyyr1|Cyyr1
refseq_dna|NM_182819|NM_182819	mgi_symbol|Cox7b|Cox7b
refseq_dna|NM_012839|NM_012839	mgi_symbol|Cycs|Cycs
refseq_dna|NM_012940|NM_012940	mgi_symbol|Cyp1b1|Cyp1b1
refseq_dna|NM_023025|NM_023025	mgi_symbol|Cyp2j4|Cyp2j4
refseq_dna|NM_053763|NM_053763	mgi_symbol|Cyp27b1|Cyp27b1
refseq_dna|NM_022526|NM_022526	mgi_symbol|Dap|Dap
refseq_dna|NM_001025720|NM_001025720	mgi_symbol|Dhtkd1|Dhtkd1
refseq_dna|NM_021653|NM_021653	mgi_symbol|Dio1|Dio1
refseq_dna|XM_574572|XM_574572	mgi_symbol|Dmbt1|Dmbt1
refseq_dna|NM_031853|NM_031853	mgi_symbol|Dbi|Dbi
entrezgene|AI556228|29611	mgi_symbol|Dbt|Dbt
refseq_dna|NM_022934|NM_022934	mgi_symbol|Dnaja1|Dnaja1
entrezgene|AW143320|296624	mgi_symbol|Dolpp1|Dolpp1
refseq_dna|NM_053379|NM_053379	mgi_symbol|Dcx|Dcx
entrezgene|AF030089|83825	mgi_symbol|Dclk1|Dclk1
entrezgene|BF563650|316023	mgi_symbol|Dclk3|Dclk3
refseq_dna|XM_341523|XM_341523	mgi_symbol|Dusp22|Dusp22
refseq_dna|NM_053820|NM_053820	mgi_symbol|Ebf1|Ebf1
refseq_dna|XM_576608|XM_576608	mgi_symbol|Efhd1|Efhd1
refseq_dna|NM_001024897|NM_001024897	mgi_symbol|Ehd2|Ehd2
refseq_dna|NM_198742|NM_198742	mgi_symbol|Etfdh|Etfdh
refseq_dna|NM_001014088|NM_001014088	mgi_symbol|Eepd1|Eepd1
refseq_dna|NM_022604|NM_022604	mgi_symbol|Esm1|Esm1
refseq_dna|NM_012843|NM_012843	mgi_symbol|Emp1|Emp1
refseq_dna|NM_053857|NM_053857	mgi_symbol|Eif4ebp1|Eif4ebp1
refseq_dna|NM_019277|NM_019277	mgi_symbol|Exoc6|Exoc6
refseq_dna|XM_341879|XM_341879	mgi_symbol|Fam108c1|Fam108c1
refseq_dna|XM_234036|XM_234036	mgi_symbol|Fam84a|Fam84a
entrezgene|AF120111|94269	mgi_symbol|Fez2|Fez2
refseq_dna|NM_199114|NM_199114	mgi_symbol|Fgfrl1|Fgfrl1
refseq_dna|NM_012561|NM_012561	mgi_symbol|Fst|Fst
refseq_dna|NM_012743|NM_012743	mgi_symbol|Foxa2|Foxa2
entrezgene|BC061782|25177	mgi_symbol|Fhl1|Fhl1
refseq_dna|NM_001013172|NM_001013172	mgi_symbol|Fhl4|Fhl4
refseq_dna|NM_012714|NM_012714	mgi_symbol|Gipr|Gipr
refseq_dna|NM_022865|NM_022865	mgi_symbol|Gphn|Gphn
refseq_dna|XM_342359|XM_342359	mgi_symbol|Gipc2|Gipc2
entrezgene|M29579|24957	mgi_symbol|Glul|Glul
entrezgene|D00680|64317	mgi_symbol|Gpx3|Gpx3
refseq_dna|NM_181371|NM_181371	mgi_symbol|Gstk1|Gstk1
refseq_dna|NM_053293|NM_053293	mgi_symbol|Gstt1|Gstt1
refseq_dna|NM_031043|NM_031043	mgi_symbol|Gyg1|Gyg1
refseq_dna|NM_030831|NM_030831	mgi_symbol|Gpcr12|Gpcr12
refseq_dna|NM_017094|NM_017094	mgi_symbol|Ghr|Ghr
refseq_dna|NM_031776|NM_031776	mgi_symbol|Gda|Gda
refseq_dna|NM_013145|NM_013145	mgi_symbol|Gnai1|Gnai1
refseq_dna|NM_031770|NM_031770	mgi_symbol|Gnb5|Gnb5
refseq_dna|NM_012769|NM_012769	mgi_symbol|Gucy1b3|Gucy1b3
refseq_dna|NM_053831|NM_053831	mgi_symbol|Gucy2f|Gucy2f
embl|M34232|M34232	mgi_symbol|Hp|Hp
refseq_dna|XM_343000|XM_343000	mgi_symbol|Heatr5b|Heatr5b
entrezgene|AW918874|311427	mgi_symbol|Hspa12b|Hspa12b
refseq_dna|NM_175761|NM_175761	mgi_symbol|Hsp90aa1|Hsp90aa1
refseq_dna|NM_080902|NM_080902	mgi_symbol|Higd1a|Higd1a
refseq_dna|XM_225093|XM_225093	mgi_symbol|Hiatl1|Hiatl1
refseq_dna|XM_347220|XM_347220	mgi_symbol|Hoxa10|Hoxa10
entrezgene|L03557|79241	mgi_symbol|Hoxa4|Hoxa4
refseq_dna|NM_033349|NM_033349	mgi_symbol|Hagh|Hagh
refseq_dna|NM_017235|NM_017235	mgi_symbol|Hsd17b7|Hsd17b7
refseq_dna|NM_017081|NM_017081	mgi_symbol|Hsd11b2|Hsd11b2
refseq_dna|XM_347233|XM_347233	mgi_symbol|Inmt|Inmt
refseq_dna|NM_032057|NM_032057	mgi_symbol|Impa1|Impa1
refseq_dna|NM_178866|NM_178866	mgi_symbol|Igf1|Igf1
refseq_dna|NM_001017505|NM_001017505	mgi_symbol|Itgbl1|Itgbl1
refseq_dna|NM_001012029|NM_001012029	mgi_symbol|Ifi204|Ifi204
refseq_dna|NM_053953|NM_053953	mgi_symbol|Il1r2|Il1r2
refseq_dna|NM_012592|NM_012592	mgi_symbol|Ivd|Ivd
refseq_dna|NM_019147|NM_019147	mgi_symbol|Jag1|Jag1
refseq_dna|XM_216728|XM_216728	mgi_symbol|Jkamp|Jkamp
entrezgene|AW918113|619374	mgi_symbol|Jam2|Jam2
refseq_dna|XM_233955|XM_233955	mgi_symbol|Klhl29|Klhl29
refseq_dna|NM_052802|NM_052802	mgi_symbol|Kap|Kap
refseq_dna|NM_053713|NM_053713	mgi_symbol|Klf4|Klf4
embl|AW144489|AW144489	mgi_symbol|Klf9|Klf9
refseq_dna|NM_001024247|NM_001024247	mgi_symbol|Lactb2|Lactb2
refseq_dna|XM_228209|XM_228209	mgi_symbol|Lama4|Lama4
entrezgene|AW141503|117036	mgi_symbol|Lamc1|Lamc1
refseq_dna|NM_031832|NM_031832	mgi_symbol|Lgals3|Lgals3
refseq_dna|NM_001008338|NM_001008338	mgi_symbol|Lrrc8d|Lrrc8d
refseq_dna|XM_238072|XM_238072	mgi_symbol|Lrp11|Lrp11
refseq_dna|XM_235261|XM_235261	mgi_symbol|Lrp12|Lrp12
refseq_dna|XM_344957|XM_344957	mgi_symbol|Lyrm1|Lyrm1
refseq_dna|NM_024352|NM_024352	mgi_symbol|Mst1|Mst1
refseq_dna|NM_001002288|NM_001002288	mgi_symbol|Mrgpre|Mrgpre
refseq_dna|NM_053606|NM_053606	mgi_symbol|Mmp23|Mmp23
refseq_dna|NM_001007002|NM_001007002	mgi_symbol|Mxra8|Mxra8
refseq_dna|XM_226987|XM_226987	mgi_symbol|Mecom|Mecom
refseq_dna|NM_019906|NM_019906	mgi_symbol|Mtor|Mtor
entrezgene|CB548264|302705	mgi_symbol|Mbtps2|Mbtps2
refseq_dna|XM_342750|XM_342750	mgi_symbol|Mfap5|Mfap5
refseq_dna|NM_017212|NM_017212	mgi_symbol|Mapt|Mapt
refseq_dna|XM_216882|XM_216882	mgi_symbol|Mrpl42|Mrpl42
refseq_dna|XM_215468|XM_215468	mgi_symbol|Mrps36|Mrps36
refseq_dna|NM_130894|NM_130894	mgi_symbol|Mfn2|Mfn2
refseq_dna|NM_001007633|NM_001007633	mgi_symbol|Mocs2|Mocs2
refseq_dna|NM_001014107|NM_001014107	mgi_symbol|Mospd1|Mospd1
refseq_dna|XM_340739|XM_340739	mgi_symbol|Mpv17l|Mpv17l
refseq_dna|XM_235593|XM_235593	mgi_symbol|Muc19|Muc19
refseq_dna|XM_342044|XM_342044	mgi_symbol|Minpp1|Minpp1
refseq_dna|XM_342643|XM_342643	mgi_symbol|Mdfic|Mdfic
refseq_dna|NM_012983|NM_012983	mgi_symbol|Myo1d|Myo1d
entrezgene|BF524140|360034	mgi_symbol|Myrip|Myrip
refseq_dna|NM_053853|NM_053853	mgi_symbol|Nat1|Nat1
refseq_dna|NM_001004214|NM_001004214	mgi_symbol|Nqo2|Nqo2
refseq_dna|NM_012612|NM_012612	mgi_symbol|Nppa|Nppa
embl|X80029|X80029	mgi_symbol|Nckap1|Nckap1
refseq_dna|NM_031069|NM_031069	mgi_symbol|Nell1|Nell1
entrezgene|AW918600|307382	mgi_symbol|Napg|Napg
refseq_dna|XM_343867|XM_343867	mgi_symbol|Ntn2l|Ntn2l
refseq_dna|NM_021767|NM_021767	mgi_symbol|Nrxn1|Nrxn1
entrezgene|BF555763|307098	mgi_symbol|Net1|Net1
refseq_dna|NM_019380|NM_019380	mgi_symbol|Nptn|Nptn
refseq_dna|NM_012731|NM_012731	mgi_symbol|Ntrk2|Ntrk2
refseq_dna|NM_022302|NM_022302	mgi_symbol|Necab1|Necab1
entrezgene|BM388975|315523	mgi_symbol|Nfrkb|Nfrkb
refseq_dna|NM_053727|NM_053727	mgi_symbol|Nfil3|Nfil3
refseq_dna|NM_031627|NM_031627	mgi_symbol|Nr1h3|Nr1h3
refseq_dna|NM_012576|NM_012576	mgi_symbol|Nr3c1|Nr3c1
refseq_dna|NM_001004258|NM_001004258	mgi_symbol|Nudt19|Nudt19
refseq_dna|XM_218927|XM_218927	mgi_symbol|Odz4|Odz4
refseq_dna|NM_001000941|NM_001000941	mgi_symbol|Olr1077|Olr1077
refseq_dna|NM_001000363|NM_001000363	mgi_symbol|Olr728|Olr728
refseq_dna|XM_214261|XM_214261	mgi_symbol|Ogdhl|Ogdhl
refseq_dna|NM_001025688|NM_001025688	mgi_symbol|Palmd|Palmd
refseq_dna|XM_219735|XM_219735	mgi_symbol|Pnma5|Pnma5
refseq_dna|NM_001004086|NM_001004086	mgi_symbol|Pon3|Pon3
refseq_dna|XM_232226|XM_232226	mgi_symbol|Pdzrn3|Pdzrn3
refseq_dna|NM_013094|NM_013094	mgi_symbol|Plin|Plin
entrezgene|AW141902|308718	mgi_symbol|Pex7|Pex7
refseq_dna|NM_017234|NM_017234	mgi_symbol|Pxmp3|Pxmp3
refseq_dna|NM_013003|NM_013003	mgi_symbol|Pemt|Pemt
refseq_dna|NM_001024370|NM_001024370	mgi_symbol|Pigy|Pigy
refseq_dna|NM_001011953|NM_001011953	mgi_symbol|Pigk|Pigk
refseq_dna|NM_022382|NM_022382	mgi_symbol|Pde4dip|Pde4dip
refseq_dna|NM_198780|NM_198780	mgi_symbol|Pck1|Pck1
refseq_dna|XM_214047|XM_214047	mgi_symbol|Pgm2|Pgm2
refseq_dna|NM_053758|NM_053758	mgi_symbol|Plce1|Plce1
entrezgene|AF017251|25096	mgi_symbol|Pld1|Pld1
refseq_dna|XM_576448|XM_576448	mgi_symbol|Plscr4|Plscr4
refseq_dna|NM_001009706|NM_001009706	mgi_symbol|Lhpp|Lhpp
refseq_dna|NM_001013231|NM_001013231	mgi_symbol|Pea15a|Pea15a
refseq_dna|XM_576601|XM_576601	mgi_symbol|Pid1|Pid1
refseq_dna|NM_012760|NM_012760	mgi_symbol|Plagl1|Plagl1
refseq_dna|XM_223080|XM_223080	mgi_symbol|Plxna2|Plxna2
refseq_dna|NM_031335|NM_031335	mgi_symbol|Polr2f|Polr2f
refseq_dna|NM_033376|NM_033376	mgi_symbol|Kcnk3|Kcnk3
refseq_dna|NM_032073|NM_032073	mgi_symbol|Kcnq1|Kcnq1
embl|X60660|X60660	mgi_symbol|RY2G5|RY2G5
entrezgene|BF285037|684050	mgi_symbol|PCOLCE2|PCOLCE2
entrezgene|L14933|116548	mgi_symbol|Pcsk5|Pcsk5
refseq_dna|XM_230899|XM_230899	mgi_symbol|Pmepa1|Pmepa1
refseq_dna|NM_057123|NM_057123	mgi_symbol|Psmc1|Psmc1
refseq_dna|XM_214550|XM_214550	mgi_symbol|Psmg2|Psmg2
refseq_dna|XM_576132|XM_576132	mgi_symbol|Pdia6|Pdia6
embl|BF567508|BF567508	mgi_symbol|Pkia|Pkia
refseq_dna|NM_184051|NM_184051	mgi_symbol|Prkag2|Prkag2
refseq_dna|NM_022676|NM_022676	mgi_symbol|Ppp1r1a|Ppp1r1a
refseq_dna|NM_031579|NM_031579	mgi_symbol|Ptp4a1|Ptp4a1
refseq_dna|XM_235156|XM_235156	mgi_symbol|Ptprb|Ptprb
entrezgene|CB547962|313278	mgi_symbol|Ptprd|Ptprd
embl|BF555373|BF555373	mgi_symbol|Ptpro|Ptpro
refseq_dna|NM_053594|NM_053594	mgi_symbol|Ptprr|Ptprr
refseq_dna|XM_215416|XM_215416	mgi_symbol|Ppa1|Ppa1
refseq_dna|NM_001012468|NM_001012468	mgi_symbol|Rab18|Rab18
refseq_dna|NM_145774|NM_145774	mgi_symbol|Rab38|Rab38
entrezgene|BF550034|288779	mgi_symbol|Rab5b|Rab5b
refseq_dna|XM_227301|XM_227301	mgi_symbol|Rapgef2|Rapgef2
refseq_dna|NM_001013060|NM_001013060	mgi_symbol|Rit2|Rit2
refseq_dna|NM_053338|NM_053338	mgi_symbol|Rrad|Rrad
refseq_dna|XM_233485|XM_233485	mgi_symbol|Rlf|Rlf
refseq_dna|NM_019341|NM_019341	mgi_symbol|Rgs5|Rgs5
refseq_dna|NM_001009953|NM_001009953	mgi_symbol|Rtn3|Rtn3
refseq_dna|NM_031831|NM_031831	mgi_symbol|Rtn4|Rtn4
refseq_dna|NM_053562|NM_053562	mgi_symbol|Rpe65|Rpe65
refseq_dna|NM_001013427|NM_001013427	mgi_symbol|Rarres2|Rarres2
refseq_dna|NM_001013222|NM_001013222	mgi_symbol|Rnd1|Rnd1
refseq_dna|NM_020082|NM_020082	mgi_symbol|Rnase4|Rnase4
refseq_dna|XM_238063|XM_238063	mgi_symbol|Rnf217|Rnf217
refseq_dna|NM_001025727|NM_001025727	mgi_symbol|Rnf8|Rnf8
refseq_dna|NM_001008337|NM_001008337	mgi_symbol|Rg9mtd1|Rg9mtd1
entrezgene|BC061579|305021	mgi_symbol|Sccpdh|Sccpdh
refseq_dna|NM_001002023|NM_001002023	mgi_symbol|Sgce|Sgce
refseq_dna|NM_001006993|NM_001006993	mgi_symbol|Sgcg|Sgcg
refseq_dna|XM_224299|XM_224299	mgi_symbol|Scara5|Scara5
refseq_dna|NM_057147|NM_057147	mgi_symbol|Sec22a|Sec22a
refseq_dna|NM_013114|NM_013114	mgi_symbol|Selp|Selp
refseq_dna|NM_019192|NM_019192	mgi_symbol|Sepp1|Sepp1
refseq_dna|XM_574949|XM_574949	mgi_symbol|Selt|Selt
refseq_dna|NM_031531|NM_031531	mgi_symbol|Serpina3n|Serpina3n
refseq_dna|NM_019362|NM_019362	mgi_symbol|Stk39|Stk39
refseq_dna|NM_001007712|NM_001007712	mgi_symbol|Sdpr|Sdpr
refseq_dna|XM_215807|XM_215807	mgi_symbol|Serf2|Serf2
refseq_dna|NM_133611|NM_133611	mgi_symbol|Slc2a13|Slc2a13
refseq_dna|NM_031332|NM_031332	mgi_symbol|Slc22a8|Slc22a8
embl|AI136350|AI136350	mgi_symbol|Slc3a1|Slc3a1
refseq_dna|NM_001008356|NM_001008356	mgi_symbol|Slc39a3|Slc39a3
entrezgene|CB547809|298034	mgi_symbol|Slc46a2|Slc46a2
entrezgene|AW917667|686098	mgi_symbol|Sorbs1|Sorbs1
embl|AJ242018|AJ242018	mgi_symbol|Sptbn1|Sptbn1
refseq_dna|NM_053675|NM_053675	mgi_symbol|Spata2|Spata2
refseq_dna|NM_001005539|NM_001005539	mgi_symbol|Smpdl3a|Smpdl3a
refseq_dna|XM_233686|XM_233686	mgi_symbol|Spsb1|Spsb1
refseq_dna|XM_232640|XM_232640	mgi_symbol|Sox17|Sox17
refseq_dna|NM_031697|NM_031697	mgi_symbol|St3gal3|St3gal3
refseq_dna|NM_001013988|NM_001013988	mgi_symbol|Stbd1|Stbd1
entrezgene|BF555125|300095	mgi_symbol|Srebf2|Srebf2
refseq_dna|NM_001005534|NM_001005534	mgi_symbol|Sdhc|Sdhc
refseq_dna|XM_230861|XM_230861	mgi_symbol|Sulf2|Sulf2
refseq_dna|NM_031834|NM_031834	mgi_symbol|Sult1a1|Sult1a1
refseq_dna|NM_031122|NM_031122	mgi_symbol|St13|St13
refseq_dna|NM_001004253|NM_001004253	mgi_symbol|Syap1|Syap1
refseq_dna|NM_138849|NM_138849	mgi_symbol|Syt17|Syt17
refseq_dna|NM_001012152|NM_001012152	mgi_symbol|Tbc1d14|Tbc1d14
entrezgene|AF092091|252923	mgi_symbol|Tsga10|Tsga10
refseq_dna|NM_001015026|NM_001015026	mgi_symbol|Tspan12|Tspan12
refseq_dna|XM_341281|XM_341281	mgi_symbol|Ttc18|Ttc18
refseq_dna|NM_053331|NM_053331	mgi_symbol|Txn2|Txn2
refseq_dna|NM_012888|NM_012888	mgi_symbol|Tshr|Tshr
refseq_dna|NM_031676|NM_031676	mgi_symbol|Tagln3|Tagln3
refseq_dna|NM_138840|NM_138840	mgi_symbol|Tgoln1|Tgoln1
refseq_dna|NM_053558|NM_053558	mgi_symbol|Trpc1|Trpc1
refseq_dna|NM_001007736|NM_001007736	mgi_symbol|Tmem109|Tmem109
refseq_dna|XM_236010|XM_236010	mgi_symbol|Tmem45b|Tmem45b
refseq_dna|XM_575742|XM_575742	mgi_symbol|Tmem70|Tmem70
refseq_dna|XM_215797|XM_215797	mgi_symbol|Tmem85|Tmem85
refseq_dna|XM_343566|XM_343566	mgi_symbol|Tmeff2|Tmeff2
refseq_dna|NM_022922|NM_022922	mgi_symbol|Tpi1|Tpi1
refseq_dna|NM_199373|NM_199373	mgi_symbol|Wrb|Wrb
refseq_dna|NM_053582|NM_053582	mgi_symbol|Tinagl1|Tinagl1
refseq_dna|XM_343225|XM_343225	mgi_symbol|Uqcrb|Uqcrb
refseq_dna|NM_001008301|NM_001008301	mgi_symbol|Usp14|Usp14
refseq_dna|NM_207610|NM_207610	mgi_symbol|Ube4a|Ube4a
entrezgene|AA957467|291312	mgi_symbol|Ucma|Ucma
refseq_dna|NM_019379|NM_019379	mgi_symbol|Uso1|Uso1
refseq_dna|NM_001012186|NM_001012186	mgi_symbol|Vps39|Vps39
refseq_dna|NM_013155|NM_013155	mgi_symbol|Vldlr|Vldlr
refseq_dna|NM_203338|NM_203338	mgi_symbol|Vkorc1l1|Vkorc1l1
refseq_dna|NM_019156|NM_019156	mgi_symbol|Vtn|Vtn
refseq_dna|NM_052801|NM_052801	mgi_symbol|Vhl|Vhl
refseq_dna|NM_053583|NM_053583	mgi_symbol|Zfp423|Zfp423
