TargetID	ProbeID	ACCESSION	GID	SYMBOL	SYNONYM	DEFINITION
ILMN_11415	6130364	NM_001740.2	6031158	CALB2	CAL2	Homo sapiens calbindin 2, 29kDa (calretinin) (CALB2), transcript variant CALB2, mRNA.
ILMN_138577	3120520	NM_031311.2	22027517	CPVL	HVLP; MGC10029	Homo sapiens carboxypeptidase, vitellogenic-like (CPVL), transcript variant 1, mRNA.
ILMN_136977	6960333	NM_014376.1	24307954	CYFIP2	PIR121; PRO1331	Homo sapiens cytoplasmic FMR1 interacting protein 2 (CYFIP2), mRNA.
ILMN_27273	6940338	NM_001996.2	34734061	FBLN1	FBLN	Homo sapiens fibulin 1 (FBLN1), transcript variant C, mRNA.
ILMN_17900	2370577	NM_153350.2	34222207	FBXL16	Fbl16; C16orf22; MGC33974; c380A1.1	Homo sapiens F-box and leucine-rich repeat protein 16 (FBXL16), mRNA.
ILMN_6304	5310184	NM_033086.1	32698764	FGD3	ZFYVE5; FLJ00004	Homo sapiens FYVE, RhoGEF and PH domain containing 3 (FGD3), mRNA.
ILMN_13020	830639	NM_001945.1	4503412	HBEGF	DTR; DTS; HEGFL	Homo sapiens heparin-binding EGF-like growth factor (HBEGF), mRNA.
ILMN_15587	5810138	NM_020433.4	61699223	JPH2	JP2; JP-2; FLJ40969	Homo sapiens junctophilin 2 (JPH2), transcript variant 1, mRNA.
ILMN_19163	4490128	NM_001030050.1	71834858	KLK3	APS; PSA; hK3; KLK2A1	Homo sapiens kallikrein 3, (prostate specific antigen) (KLK3), transcript variant 6, mRNA.
ILMN_11123	70132	NM_018192.2	27764881	LEPREL1	P3H2; MLAT4; FLJ10718	Homo sapiens leprecan-like 1 (LEPREL1), mRNA.
ILMN_11777	6590113	NM_018159.2	37221176	NUDT11	ASP1; DIPP3b; FLJ10628; DIPP3beta; hDIPP3beta	Homo sapiens nudix (nucleoside diphosphate linked moiety X)-type motif 11 (NUDT11), mRNA.
ILMN_23474	2570114	NM_144626.1	21389442	TMEM125	MGC17299	Homo sapiens transmembrane protein 125 (TMEM125), mRNA.
ILMN_13877	6220392	NM_005656.2	14602458	TMPRSS2	PRSS10	Homo sapiens transmembrane protease, serine 2 (TMPRSS2), mRNA.
ILMN_1174	1980424	NM_024108.1	13129119	TRAPPC6A	TRS33; HSPC289; MGC2650	Homo sapiens trafficking protein particle complex 6A (TRAPPC6A), mRNA.
ILMN_1424	2350731	NM_032642.2	17402920	WNT5B	MGC2648	Homo sapiens wingless-type MMTV integration site family, member 5B (WNT5B), transcript variant 1, mRNA.
ILMN_16020	6110291	NM_023926.3	34147626	ZNF447	FLJ12895; DKFZp586B1122	Homo sapiens zinc finger protein 447 (ZNF447), mRNA.
ILMN_20022	3290274	NM_001323.2	20302137	CST6		Homo sapiens cystatin E/M (CST6), mRNA.
ILMN_29056	3840072	NM_005471.3	41281953	GNPDA1	GPI; HLN; GNPI; GNPDA; KIAA0060	Homo sapiens glucosamine-6-phosphate deaminase 1 (GNPDA1), mRNA.
ILMN_9309	5550187	NM_001552.2	62243289	IGFBP4	BP-4; IBP4; IGFBP-4; HT29-IGFBP	Homo sapiens insulin-like growth factor binding protein 4 (IGFBP4), mRNA.
ILMN_30002	4860017	NM_012427.3	22208993	KLK5	SCTE; KLKL2; KLK-L2	Homo sapiens kallikrein 5 (KLK5), mRNA.
ILMN_7655	4830100	NM_005576.2	67782345	LOXL1	LOL; LOXL	Homo sapiens lysyl oxidase-like 1 (LOXL1), mRNA.
ILMN_12526	510132	NM_002437.3	37059781	MPV17		Homo sapiens MpV17 transgene, murine homolog, glomerulosclerosis (MPV17), mRNA.
ILMN_7162	5270047	NM_014380.1	7657043	NGFRAP1	Bex; BEX3; NADE; HGR74; DXS6984E	Homo sapiens nerve growth factor receptor (TNFRSF16) associated protein 1 (NGFRAP1), transcript variant 3, mRNA.
ILMN_11204	6480725	NM_006255.3	47717140	PRKCH	PKCL; PKC-L; PRKCL; MGC5363; MGC26269; nPKC-eta	Homo sapiens protein kinase C, eta (PRKCH), mRNA.
ILMN_22378	3140619	NM_031439.2	30581119	SOX7	MGC10895	Homo sapiens SRY (sex determining region Y)-box 7 (SOX7), mRNA.
ILMN_13727	7400097	NM_001062.2	21071007	TCN1	TC1; TCI	Homo sapiens transcobalamin I (vitamin B12 binding protein, R binder family) (TCN1), mRNA.
ILMN_4322	5090139	NM_153186.3	59859876	ANKRD15	KANK; KIAA0172; MGC43128; DKFZp451G231	Homo sapiens ankyrin repeat domain 15 (ANKRD15), transcript variant 2, mRNA.
ILMN_44222	2450315	XM_930977.1	89041498	ARHGAP23		PREDICTED: Homo sapiens Rho GTPase activating protein 23, transcript variant 2 (ARHGAP23), mRNA.
ILMN_6101	7380465	NM_023932.2	45545430	EGFL9	MGC2487	Homo sapiens EGF-like-domain, multiple 9 (EGFL9), transcript variant 1, mRNA.
ILMN_14974	1570762	NM_178820.3	34222267	FBXO27	FBG5; Fbx27	Homo sapiens F-box protein 27 (FBXO27), mRNA.
ILMN_20035	1300220	NM_058229.2	22547142	FBXO32	Fbx32; MAFbx; ATROGIN1; FLJ32424; MGC33610	Homo sapiens F-box protein 32 (FBXO32), transcript variant 1, mRNA.
ILMN_13664	4830598	NM_024333.1	13236584	FSD1	MIR1; MGC3213	Homo sapiens fibronectin type III and SPRY domain containing 1 (FSD1), mRNA.
ILMN_2573	3140474	NM_001002292.1	50541962	GPR177	MRP; C1orf139; FLJ23091; MGC14878; MGC131760	Homo sapiens G protein-coupled receptor 177 (GPR177), transcript variant 2, mRNA.
ILMN_18346	1110307	NM_024915.1	13376381	GRHL2	BOM; DFNA28; TFCP2L3; FLJ13782	Homo sapiens grainyhead-like 2 (Drosophila) (GRHL2), mRNA.
ILMN_1563	1820184	NM_032580.1	14211898	HES7		Homo sapiens hairy and enhancer of split 7 (Drosophila) (HES7), mRNA.
ILMN_6394	6100176	NM_173343.1	27894333	IL1R2	IL1RB; CD121b; MGC47725	Homo sapiens interleukin 1 receptor, type II (IL1R2), transcript variant 2, mRNA.
ILMN_14503	6980095	NM_003749.2	38683859	IRS2		Homo sapiens insulin receptor substrate 2 (IRS2), mRNA.
ILMN_15466	2970685	NM_175913.3	61699222	JPH2	JP2; JP-2; FLJ40969	Homo sapiens junctophilin 2 (JPH2), transcript variant 2, mRNA.
ILMN_36088	1580100	XM_944553.1	88979474	KIAA1345		PREDICTED: Homo sapiens KIAA1345 protein, transcript variant 8 (KIAA1345), mRNA.
ILMN_42199	3930193	XM_941466.1	89043124	METRNL		PREDICTED: Homo sapiens meteorin, glial cell differentiation regulator-like (METRNL), mRNA.
ILMN_27542	6860102	NM_004659.1	4758729	MMP23A	MIFR; MMP21; MIFR-1	Homo sapiens matrix metallopeptidase 23A (MMP23A), mRNA.
ILMN_16629	1990706	NM_005952.2	31543213	MT1X	MT1; MT-1l	Homo sapiens metallothionein 1X (MT1X), mRNA.
ILMN_16199	5910450	NM_199461.2	57232741	NANOS1		Homo sapiens nanos homolog 1 (Drosophila) (NANOS1), transcript variant 1, mRNA.
ILMN_5885	1850433	NM_138338.2	65301131	POLR3H	RPC8; KIAA1665; MGC29654; MGC111097	Homo sapiens polymerase (RNA) III (DNA directed) polypeptide H (22.9kD) (POLR3H), transcript variant 1, mRNA.
ILMN_19313	160594	NM_207351.2	59709433	PRRT3	FLJ33674; MGC33990; MGC105134	Homo sapiens proline-rich transmembrane protein 3 (PRRT3), mRNA.
ILMN_25646	830400	NM_002965.2	9845520	S100A9	MIF; NIF; P14; CAGB; CFAG; CGLB; L1AG; LIAG; MRP14; 60B8AG; MAC387	Homo sapiens S100 calcium binding protein A9 (calgranulin B) (S100A9), mRNA.
ILMN_10556	3870403	NM_018593.3	45433547	SLC16A10	TAT1; PRO0813	Homo sapiens solute carrier family 16 (monocarboxylic acid transporters), member 10 (SLC16A10), mRNA.
ILMN_9976	430593	NM_152369.2	32698778	SLC44A3	CTL3; MGC45474	Homo sapiens solute carrier family 44, member 3 (SLC44A3), mRNA.
ILMN_8134	2850220	NM_198951.1	39777598	TGM2	TG2; TGC	Homo sapiens transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase) (TGM2), transcript variant 2, mRNA.
ILMN_22995	3120576	NM_018259.3	41055004	TTC17	FLJ10890; FLJ13099; DKFZp686D20222	Homo sapiens tetratricopeptide repeat domain 17 (TTC17), mRNA.
ILMN_9535	5550551	NM_006646.4	62865897	WASF3	SCAR3; WAVE3; KIAA0900	Homo sapiens WAS protein family, member 3 (WASF3), mRNA.
ILMN_1749	2350427	NM_002995.1	4506852	XCL1	LTN; ATAC; LPTN; SCM1; SCM-1; SCYC1; SCM-1a	Homo sapiens chemokine (C motif) ligand 1 (XCL1), mRNA.
ILMN_13535	6250047	NM_017879.1	33859677	ZNF416	FLJ20557	Homo sapiens zinc finger protein 416 (ZNF416), mRNA.
ILMN_1704	3170221	NM_020813.1	32698737	ZNF471	ERP1; Z1971; KIAA1396	Homo sapiens zinc finger protein 471 (ZNF471), mRNA.
ILMN_85725	2810521	AI272125	3891292			qj84c12.x1 NCI_CGAP_Kid3 Homo sapiens cDNA clone IMAGE:1866166 3, mRNA sequence
ILMN_92514	7550044	R38685	796141			yc89e04.s1 Soares infant brain 1NIB Homo sapiens cDNA clone IMAGE:23136 3, mRNA sequence
ILMN_112525	5720129	AY726563	53851178			Homo sapiens clone TESTIS-609 mRNA sequence
ILMN_73193	4890204	BI759100	15750678			603042504F1 NIH_MGC_116 Homo sapiens cDNA clone IMAGE:5182897 5, mRNA sequence
ILMN_77290	6660274	AK125960	34532255			Homo sapiens cDNA FLJ43972 fis, clone TESTI4017961
