ProbeID	Gene Name	Gene Symbol
201189_s_at	inositol 1,4,5-triphosphate receptor, type 3	ITPR3
205841_at	Janus kinase 2 (a protein tyrosine kinase)	JAK2
205842_s_at	Janus kinase 2 (a protein tyrosine kinase)	JAK2
209881_s_at	linker for activation of T cells	LAT
211005_at	linker for activation of T cells	LAT
204890_s_at	lymphocyte-specific protein tyrosine kinase	LCK
204891_s_at	lymphocyte-specific protein tyrosine kinase	LCK
205269_at	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	LCP2
205270_s_at	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	LCP2
201921_at	hypothetical protein LOC552891	LOC552891
202670_at	mitogen-activated protein kinase kinase 1	MAP2K1
202424_at	mitogen-activated protein kinase kinase 2	MAP2K2
213487_at	mitogen-activated protein kinase kinase 2	MAP2K2
213490_s_at	mitogen-activated protein kinase kinase 2	MAP2K2
208351_s_at	mitogen-activated protein kinase 1	MAPK1
212271_at	mitogen-activated protein kinase 1	MAPK1
212046_x_at	mitogen-activated protein kinase 3	MAPK3
213766_x_at	nicalin homolog (zebrafish)	NCLN
213944_x_at	nicalin homolog (zebrafish)	NCLN
209239_at	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)	NFKB1
207535_s_at	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	NFKB2
209636_at	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	NFKB2
211524_at	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	NFKB2
201502_s_at	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	NFKBIA
214062_x_at	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta	NFKBIB
214448_x_at	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta	NFKBIB
203927_at	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon	NFKBIE
204524_at	3-phosphoinositide dependent protein kinase-1	PDPK1
32029_at	3-phosphoinositide dependent protein kinase-1	PDPK1
206369_s_at	phosphoinositide-3-kinase, catalytic, gamma polypeptide	PIK3CG
206370_at	phosphoinositide-3-kinase, catalytic, gamma polypeptide	PIK3CG
213384_x_at	phospholipase C, beta 3 (phosphatidylinositol-specific)	PLCB3
216551_x_at	phospholipase C, gamma 1	PLCG1
210038_at	protein kinase C, theta	PRKCQ
210039_s_at	protein kinase C, theta	PRKCQ
207821_s_at	PTK2 protein tyrosine kinase 2	PTK2
208820_at	PTK2 protein tyrosine kinase 2	PTK2
203110_at	PTK2B protein tyrosine kinase 2 beta	PTK2B
203111_s_at	PTK2B protein tyrosine kinase 2 beta	PTK2B
205867_at	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	PTPN11
205868_s_at	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	PTPN11
209895_at	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	PTPN11
209896_s_at	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	PTPN11
212610_at	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	PTPN11
207238_s_at	protein tyrosine phosphatase, receptor type, C	PTPRC
212587_s_at	protein tyrosine phosphatase, receptor type, C	PTPRC
212588_at	protein tyrosine phosphatase, receptor type, C	PTPRC
201087_at	paxillin	PXN
211823_s_at	paxillin	PXN
208640_at	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	RAC1
208641_s_at	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	RAC1
201244_s_at	v-raf-1 murine leukemia viral oncogene homolog 1	RAF1
202677_at	RAS p21 protein activator (GTPase activating protein) 1	RASA1
210621_s_at	RAS p21 protein activator (GTPase activating protein) 1	RASA1
206035_at	v-rel reticuloendotheliosis viral oncogene homolog (avian)	REL
206036_s_at	v-rel reticuloendotheliosis viral oncogene homolog (avian)	REL
201783_s_at	v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 (avian)	RELA
209878_s_at	v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 (avian)	RELA
205205_at	v-rel reticuloendotheliosis viral oncogene homolog B, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3 (avian)	RELB
200059_s_at	ras homolog gene family, member A	RHOA
201469_s_at	SHC (Src homology 2 domain containing) transforming protein 1	SHC1
214853_s_at	SHC (Src homology 2 domain containing) transforming protein 1	SHC1
212777_at	son of sevenless homolog 1 (Drosophila)	SOS1
212780_at	son of sevenless homolog 1 (Drosophila)	SOS1
211665_s_at	son of sevenless homolog 2 (Drosophila)	SOS2
217575_s_at	son of sevenless homolog 2 (Drosophila)	SOS2
217576_x_at	son of sevenless homolog 2 (Drosophila)	SOS2
217644_s_at	son of sevenless homolog 2 (Drosophila)	SOS2
213324_at	v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)	SRC
221281_at	v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)	SRC
221284_s_at	v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)	SRC
208991_at	signal transducer and activator of transcription 3 (acute-phase response factor)	STAT3
208992_s_at	signal transducer and activator of transcription 3 (acute-phase response factor)	STAT3
206219_s_at	vav 1 oncogene	VAV1
214032_at	zeta-chain (TCR) associated protein kinase 70kDa	ZAP70
