UID	NAME	EH2	EH6	EH1	EH3	EH5	EH4
A_01_P001014	||  || A_01_P001014 ||  || Homo sapiens chromosome 20 open reading frame 144 (C20orf144), mRNA. [NM_080825] ||  ||  || 6268482	-0.26	-0.59	-0.43	0.25	0.38	0.25
A_01_P005378	||  || A_01_P005378 ||  || Homo sapiens lines homolog 1 (Drosophila) (LINS1), transcript variant 2, mRNA. [NM_181739] ||  ||  || 6273720	-0.83	-0.69	-1.14	-0.23	0.19	0.14
A_01_P006585	||  || A_01_P006585 ||  || Homo sapiens ATPase, (Na+)/K+ transporting, beta 4 polypeptide (ATP1B4), mRNA. [NM_012069] ||  ||  || 6287608	0.13	0.22	-0.56	1.97	2.22	2.01
A_01_P005544	||  || A_01_P005544 ||  || Homo sapiens C-reactive protein, pentraxin-related (CRP), mRNA. [NM_000567] ||  ||  || 6272675	0.37	-0.05	-0.04	-0.61	-1.11	-0.92
A_01_P011531	||  || A_01_P011531 ||  || Homo sapiens KIAA0195 gene product (KIAA0195), mRNA [NM_014738] ||  ||  || 6287872	-0.24	-0.36	-0.19	-0.69	-0.69	-0.52
A_01_P018038	||  || A_01_P018038 ||  || Homo sapiens cDNA DKFZp434C184 gene (TTMB), mRNA. [NM_001003682] ||  ||  || 6273411	-0.73	-0.49	-0.68	-0.25	0.03	-0.02
A_01_P016969	||  || A_01_P016969 ||  || Homo sapiens huntingtin interacting protein B (HYPB), transcript variant 2, mRNA [NM_012271] ||  ||  || 6285580	-1.14	-1.14	-1.05	-1.56	-1.82	-1.68
A_01_P015888	||  || A_01_P015888 ||  || Homo sapiens prolylcarboxypeptidase (angiotensinase C) (PRCP), transcript variant 2, mRNA [NM_199418] ||  ||  || 6290010	0.86	0.75	0.65	1.05	1.2	1.16
A_01_P009383	||  || A_01_P009383 ||  || Homo sapiens transmembrane protein 14A (TMEM14A), mRNA. [NM_014051] ||  ||  || 6289082	0.44	0.27	0.31	1.47	1.05	1.22
A_01_P010487	||  || A_01_P010487 ||  || Homo sapiens transcriptional adaptor 2 (ADA2 homolog, yeast)-like (TADA2L), transcript variant 1, mRNA. [NM_001488] ||  ||  || 6277292	-0.43	-0.76	-0.69	-1.16	-1.57	-1.43
A_01_P001613	||  || A_01_P001613 ||  || Homo sapiens farnesyl-diphosphate farnesyltransferase 1 (FDFT1), mRNA. [NM_004462] ||  ||  || 6283049	0.01	-0.04	-0.11	0.2	0.35	0.38
A_01_P002014	||  || A_01_P002014 ||  || Homo sapiens hypothetical protein FLJ25530 (FLJ25530), mRNA. [NM_152722] ||  ||  || 6282400	0.09	-0.34	-0.45	-1	-1.41	-1.39
A_01_P008777	||  || A_01_P008777 ||  || Homo sapiens chromosome X and Y open reading frame 2 (CXYorf2), mRNA [NM_025091] ||  ||  || 6289608	0.65	0.83	1.1	0.14	-0.41	-0.14
A_01_P000305	||  || A_01_P000305 ||  || Homo sapiens ubiquitin specific protease 21 (USP21), transcript variant 1, mRNA [NM_012475] ||  ||  || 6280380	0.55	0.52	0.68	1.04	0.84	0.98
A_01_P000595	||  || A_01_P000595 ||  || Homo sapiens MADS box transcription enhancer factor 2, polypeptide D (myocyte enhancer factor 2D) (MEF2D), mRNA [NM_005920] ||  ||  || 6293766	-0.24	-0.2	-0.42	-0.8	-0.81	-0.6
A_01_P014684	||  || A_01_P014684 ||  || Homo sapiens proteoglycan 2, bone marrow (natural killer cell activator, eosinophil granule major basic protein) (PRG2), mRNA. [NM_002728] ||  ||  || 6281312	-0.17	-0.05	0.22	-0.94	-0.62	-1.11
A_01_P017030	||  || A_01_P017030 ||  || Homo sapiens adenomatosis polyposis coli 2 (APC2), mRNA. [NM_005883] ||  ||  || 6274955	0.34	0.5	0.35	0.83	0.71	0.66
A_01_P007420	||  || A_01_P007420 ||  || PREDICTED: Macaca mulatta similar to vacuolar protein sorting 13C protein isoform 2A (LOC709080), mRNA [XR_011978] ||  ||  || 6273812	-0.48	-0.71	-0.88	-0.14	0.13	0.08
A_01_P016606	||  || A_01_P016606 ||  || Homo sapiens tyrosine kinase, non-receptor, 1 (TNK1), mRNA [NM_003985] ||  ||  || 6287678	0.11	-0.17	0	0.35	0.54	0.59
A_01_P006875	||  || A_01_P006875 ||  || Homo sapiens calcium channel, voltage-dependent, beta 1 subunit (CACNB1), transcript variant 1, mRNA. [NM_000723] ||  ||  || 6286207	0.11	-0.04	-0.1	-0.39	-0.68	-0.51
A_01_P017986	||  || A_01_P017986 ||  || Homo sapiens annexin A6 (ANXA6), transcript variant 1, mRNA [NM_001155] ||  ||  || 6274610	-0.06	-0.16	-0.2	0.05	0.16	0.18
A_01_P017317	||  || A_01_P017317 ||  || Homo sapiens sphingosine kinase 1 (SPHK1), mRNA. [NM_021972] ||  ||  || 6269074	-0.85	-0.87	-0.9	-0.57	-0.41	-0.51
