Gene	Gene Annotation	Alternative Exon Usage (P value)
SLC30A6	solute carrier family 30 (zinc transporter) member 6	0.00000279
CARS2	cysteinyl-tRNA synthetase 2 mitochondrial (putative)	0.00000317
ATP5A1	ATP synthase H+ transporting mitochondrial F1 complex alpha subunit 1 cardiac muscle	0.00000337
NPIP	nuclear pore complex interacting protein	0.00000375
PPP4R1L	protein phosphatase 4 regulatory subunit 1-like	0.00000439
VPS13D	vacuolar protein sorting 13 homolog D (S. cerevisiae)	0.00000462
CTGLF10P	centaurin gamma-like family member 10 pseudogene	0.00000482
SLC7A5P1	solute carrier family 7 (cationic amino acid transporter y+ system) member 5 pseudogene 1	0.00000508
PRPF39	PRP39 pre-mRNA processing factor 39 homolog (S. cerevisiae)	0.0000051
PTCD3	Pentatricopeptide repeat domain 3	0.00000532
LAT2	linker for activation of T cells family member 2	0.00000544
DMTF1	cyclin D binding myb-like transcription factor 1	0.00000598
TRRAP	transformation/transcription domain-associated protein	0.00000627
DYNC2H1	dynein cytoplasmic 2 heavy chain 1	0.00000646
GLS	glutaminase	0.0000091
RPS23	ribosomal protein S23	0.00000955
MAN1A1	mannosidase alpha class 1A member 1	0.0000102
LOC389906	similar to Serine/threonine-protein kinase PRKX (Protein kinase PKX1)	0.0000104
SNORA18	small nucleolar RNA H/ACA box 18	0.000011
ILF3	interleukin enhancer binding factor 3 90kDa	0.0000122
ANXA2	annexin A2	0.0000134
CCDC66	coiled-coil domain containing 66	0.0000138
CPSF6	cleavage and polyadenylation specific factor 6 68kDa	0.0000142
KIAA1967	KIAA1967	0.0000142
AGBL2	ATP/GTP binding protein-like 2	0.0000164
FAM39DP	family with sequence similarity 39 member D pseudogene	0.0000172
HEATR1	HEAT repeat containing 1	0.0000182
RBM39	RNA binding motif protein 39	0.0000188
C21orf66	chromosome 21 open reading frame 66	0.0000189
PCF11	PCF11 cleavage and polyadenylation factor subunit homolog (S. cerevisiae)	0.0000192
ZMIZ2	zinc finger MIZ-type containing 2	0.0000198
HNRPK	heterogeneous nuclear ribonucleoprotein K	0.00002
NBPF11	neuroblastoma breakpoint family member 11	0.00002
CLN3	ceroid-lipofuscinosis neuronal 3 juvenile (Batten Spielmeyer-Vogt disease)	0.0000209
LARS	leucyl-tRNA synthetase	0.0000222
C11orf47	chromosome 11 open reading frame 47	0.0000225
SNORD53	small nucleolar RNA C/D box 53	0.0000239
C1orf43	chromosome 1 open reading frame 43	0.0000239
SFRS1	splicing factor arginine/serine-rich 1 (splicing factor 2 alternate splicing factor)	0.0000244
UBE2I	ubiquitin-conjugating enzyme E2I (UBC9 homolog yeast)	0.0000254
MKLN1	muskelin 1 intracellular mediator containing kelch motifs	0.0000272
FAM120C	family with sequence similarity 120C	0.0000292
UBAP2L	ubiquitin associated protein 2-like	0.000032
PHACTR2	phosphatase and actin regulator 2	0.0000376
SNORA44	small nucleolar RNA H/ACA box 44	0.0000384
ATP5O	ATP synthase H+ transporting mitochondrial F1 complex O subunit	0.0000391
TUBGCP6	tubulin gamma complex associated protein 6	0.0000391
DKFZP434B2016	similar to hypothetical protein LOC284701	0.000041
DOK3	docking protein 3	0.0000413
SNX5	sorting nexin 5	0.0000434
TMOD3	tropomodulin 3 (ubiquitous)	0.0000448
ZNF346	zinc finger protein 346	0.0000449
VPS29	vacuolar protein sorting 29 homolog (S. cerevisiae)	0.0000481
SETD5	SET domain containing 5	0.0000493
SFRS12	splicing factor arginine/serine-rich 12	0.0000499
TRIM16	tripartite motif-containing 16	0.0000517
SSFA2	sperm specific antigen 2	0.0000525
LIMS1	LIM and senescent cell antigen-like domains 1	0.0000528
C7orf28A	chromosome 7 open reading frame 28A	0.0000533
ZSCAN12	zinc finger and SCAN domain containing 12	0.0000581
LOC730258	region containing neuroblastoma breakpoint family member 8	0.0000597
CSTF3	cleavage stimulation factor 3 pre-RNA subunit 3 77kDa	0.0000627
ZKSCAN2	zinc finger with KRAB and SCAN domains 2	0.0000627
UQCRC2	ubiquinol-cytochrome c reductase core protein II	0.0000648
ST7L	suppression of tumorigenicity 7 like	0.0000699
TXNL1	thioredoxin-like 1	0.0000716
TRIT1	tRNA isopentenyltransferase 1	0.0000722
POLS	polymerase (DNA directed) sigma	0.0000734
ARL15	ADP-ribosylation factor-like 15	0.0000759
DDX18	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18	0.000076
ATR	ataxia telangiectasia and Rad3 related	0.000078
41524	septin 7	0.0000808
AP4B1	adaptor-related protein complex 4 beta 1 subunit	0.0000824
PFKFB4	6-phosphofructo-2-kinase/fructose-2 6-biphosphatase 4	0.0000829
DDX3X	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3 X-linked	0.000084
NBPF1	neuroblastoma breakpoint family member 1	0.0000843
ECH1	enoyl Coenzyme A hydratase 1 peroxisomal	0.0000881
ACTA1	actin alpha 1 skeletal muscle	0.0000891
GTF2IP1	general transcription factor II i pseudogene 1	0.0000902
TOPBP1	topoisomerase (DNA) II binding protein 1	0.0000915
ATP6V0E1	ATPase H+ transporting lysosomal 9kDa V0 subunit e1	0.0000952
SNX11	sorting nexin 11	0.0000955
ATP5H	ATP synthase H+ transporting mitochondrial F0 complex subunit d	0.0001
RPS6KB2	ribosomal protein S6 kinase 70kDa polypeptide 2	0.0001
PTPN14	protein tyrosine phosphatase non-receptor type 14	0.000102
EIF2S3	eukaryotic translation initiation factor 2 subunit 3 gamma 52kDa	0.000103
PELP1	proline glutamic acid and leucine rich protein 1	0.000103
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	0.000105
PSMC2	proteasome (prosome macropain) 26S subunit ATPase 2	0.000109
NPM1	nucleophosmin (nucleolar phosphoprotein B23 numatrin)	0.000113
BDP1	B double prime 1 subunit of RNA polymerase III transcription initiation factor IIIB	0.000118
NPEPPS	aminopeptidase puromycin sensitive	0.000119
HNRPH3	heterogeneous nuclear ribonucleoprotein H3 (2H9)	0.000122
OVOS2	ovostatin 2	0.000125
NDUFV1	NADH dehydrogenase (ubiquinone) flavoprotein 1 51kDa	0.000127
NFE2L2	nuclear factor (erythroid-derived 2)-like 2	0.000127
LOC442367	hypothetical LOC442367	0.000128
ZNF326	zinc finger protein 326	0.00013
EIF4G2	eukaryotic translation initiation factor 4 gamma 2	0.000132
LOC645513	similar to septin 7	0.000135
SNF1LK	SNF1-like kinase	0.00014
FLJ23577	KPL2 protein	0.000141
PRKRIP1	PRKR interacting protein 1 (IL11 inducible)	0.00015
PTPRG	protein tyrosine phosphatase receptor type G	0.000152
NOMO1	NODAL modulator 1	0.000152
TCERG1	transcription elongation regulator 1	0.000157
HNRPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	0.000158
PRKAR2A	protein kinase cAMP-dependent regulatory type II alpha	0.00016
ADARB1	adenosine deaminase RNA-specific B1 (RED1 homolog rat)	0.000162
ZNF655	zinc finger protein 655	0.000163
UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	0.000165
CD68	CD68 molecule	0.000174
PDRG1	p53 and DNA damage regulated 1	0.000181
GATAD1	GATA zinc finger domain containing 1	0.000182
UST	uronyl-2-sulfotransferase	0.000192
ATP5F1	ATP synthase H+ transporting mitochondrial F0 complex subunit B1	0.000197
RPS13	ribosomal protein S13	0.000197
YLPM1	YLP motif containing 1	0.000197
OVGP1	oviductal glycoprotein 1 120kDa (mucin 9 oviductin)	0.000205
CLTC	clathrin heavy chain (Hc)	0.000206
KIAA1641	KIAA1641	0.00021
AKR1B1	aldo-keto reductase family 1 member B1 (aldose reductase)	0.000218
C8orf59	chromosome 8 open reading frame 59	0.00022
DAB2	disabled homolog 2 mitogen-responsive phosphoprotein (Drosophila)	0.000222
PRKRIR	protein-kinase interferon-inducible double stranded RNA dependent inhibitor repressor of (P58 repressor)	0.000227
GNL3	guanine nucleotide binding protein-like 3 (nucleolar)	0.000228
WSB1	WD repeat and SOCS box-containing 1	0.000229
KIAA1841	KIAA1841	0.000233
ITSN2	intersectin 2	0.000238
RPL5	ribosomal protein L5	0.000243
PFAAP5	phosphonoformate immuno-associated protein 5	0.000257
HNRPU	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	0.000261
PJA2	praja 2 RING-H2 motif containing	0.000263
KIAA0174	KIAA0174	0.000269
PVT1	Pvt1 oncogene homolog MYC activator (mouse)	0.00027
RSRC2	arginine/serine-rich coiled-coil 2	0.000271
MIRH1	microRNA host gene (non-protein coding) 1	0.000275
C15orf23	chromosome 15 open reading frame 23	0.000291
NAP1L4	nucleosome assembly protein 1-like 4	0.000291
ZRANB2	zinc finger RAN-binding domain containing 2	0.000305
OSBPL8	oxysterol binding protein-like 8	0.000318
MAEA	macrophage erythroblast attacher	0.000322
PSCD1	pleckstrin homology Sec7 and coiled-coil domains 1(cytohesin 1)	0.000332
SLC12A2	solute carrier family 12 (sodium/potassium/chloride transporters) member 2	0.000336
NOMO1	NODAL modulator 1	0.000342
FTH1	ferritin heavy polypeptide 1	0.00035
BRD2	bromodomain containing 2	0.000353
MAGED2	melanoma antigen family D 2	0.000354
NSUN5C	NOL1/NOP2/Sun domain family member 5C	0.000357
KIAA0100	KIAA0100	0.000373
FAM39DP	family with sequence similarity 39 member D pseudogene	0.000392
XRCC5	X-ray repair complementing defective repair in Chinese hamster cells 5	0.000396
ZNF622	zinc finger protein 622	0.000399
ATAD3B	ATPase family AAA domain containing 3B	0.000413
JARID1A	jumonji AT rich interactive domain 1A	0.000423
MACF1	microtubule-actin crosslinking factor 1	0.000426
RCOR3	REST corepressor 3	0.000434
RP11-144G6.7	hypothetical protein LOC399753	0.000443
FLJ13231	hypothetical protein FLJ13231	0.000449
ERBB2IP	erbb2 interacting protein	0.000451
ACBD4	acyl-Coenzyme A binding domain containing 4	0.000456
ZWINT	ZW10 interactor	0.000461
C6orf155	chromosome 6 open reading frame 155	0.000486
SF3B1	splicing factor 3b subunit 1 155kDa	0.000488
LIF	leukemia inhibitory factor (cholinergic differentiation factor)	0.000499
PRPF3	PRP3 pre-mRNA processing factor 3 homolog (S. cerevisiae)	0.0005
RBM5	RNA binding motif protein 5	0.000502
ARHGAP29	Rho GTPase activating protein 29	0.000503
FLJ43663	hypothetical protein FLJ43663	0.000503
SLC5A6	solute carrier family 5 (sodium-dependent vitamin transporter) member 6	0.000504
SNORA22	small nucleolar RNA H/ACA box 22	0.000507
HARS2	histidyl-tRNA synthetase 2 mitochondrial (putative)	0.000518
SNORA9	small nucleolar RNA H/ACA box 9	0.000521
TMEM29	transmembrane protein 29	0.000522
PDE10A	phosphodiesterase 10A	0.000537
PFN2	profilin 2	0.00054
ALDH3A2	aldehyde dehydrogenase 3 family member A2	0.000548
PSMB1	proteasome (prosome macropain) subunit beta type 1	0.000549
CHD8	chromodomain helicase DNA binding protein 8	0.000555
YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon polypeptide	0.000557
LIMD1	LIM domains containing 1	0.000559
ARHGAP1	Rho GTPase activating protein 1	0.000563
NCKAP1	NCK-associated protein 1	0.000563
GPBP1	GC-rich promoter binding protein 1	0.000563
NRD1	nardilysin (N-arginine dibasic convertase)	0.000566
DSCAM	Down syndrome cell adhesion molecule	0.000605
ARPP-19	cyclic AMP phosphoprotein 19 kD	0.000608
USP14	ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase)	0.000616
TMEM180	transmembrane protein 180	0.00062
IER2	immediate early response 2	0.000624
MANSC1	MANSC domain containing 1	0.000645
C1orf80	chromosome 1 open reading frame 80	0.00068
CLDN11	claudin 11 (oligodendrocyte transmembrane protein)	0.000683
MSTO1	misato homolog 1 (Drosophila)	0.000691
PON2	paraoxonase 2	0.000693
GNG10	guanine nucleotide binding protein (G protein) gamma 10	0.000708
TRA2A	transformer-2 alpha	0.00071
SLC20A1	solute carrier family 20 (phosphate transporter) member 1	0.000737
SFRS6	splicing factor arginine/serine-rich 6	0.000748
CBX5	chromobox homolog 5 (HP1 alpha homolog Drosophila)	0.000755
hCG_1815491	hCG1815491	0.000757
UTY	ubiquitously transcribed tetratricopeptide repeat gene Y-linked	0.000759
DIAPH3	diaphanous homolog 3 (Drosophila)	0.000763
DEADC1	deaminase domain containing 1	0.000766
DPH5	DPH5 homolog (S. cerevisiae)	0.000785
RBM34	RNA binding motif protein 34	0.00079
NFX1	nuclear transcription factor X-box binding 1	0.000803
MAN1B1	mannosidase alpha class 1B member 1	0.000809
BMPR1B	bone morphogenetic protein receptor type IB	0.00081
ST13	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)	0.000834
C9orf82	chromosome 9 open reading frame 82	0.000851
SCARNA4	small Cajal body-specific RNA 4	0.000864
TIMM50	translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae)	0.000908
LOC344887	similar to NmrA-like family domain containing 1	0.000923
SSR2	signal sequence receptor beta (translocon-associated protein beta)	0.000929
EPM2AIP1	EPM2A (laforin) interacting protein 1	0.000932
XRCC6	X-ray repair complementing defective repair in Chinese hamster cells 6 (Ku autoantigen 70kDa)	0.000933
ERH	enhancer of rudimentary homolog (Drosophila)	0.000936
TCEB2	transcription elongation factor B (SIII) polypeptide 2 (18kDa elongin B)	0.000963
MC1R	melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)	0.000966
COX7C	cytochrome c oxidase subunit VIIc	0.000966
NIT2	nitrilase family member 2	0.000993
