Gene ID	Gene Name	Hair (H) or Non-Hair (N) Gene	Description of Gene Product (from TAIR)	Gene Ontology (GO) Categories	Root Hair Regulatory Element (RHE) in Promoter?
AT1G18250	ATLP-1	N	Thaumatin-like protein	GO:0012505: endomembrane system                                                       GO:0051707:response to other organism	No
AT1G18940		H	Nodulin family protein	GO:0012505: endomembrane system	No
AT1G22500		H	Zinc finger (C3HC4-type RING finger) family protein	GO:0008270: zinc ion binding                                                                   GO:0005515: protein binding                                                                              GO:0012505: endomembrane system	No
AT1G22570		H	Proton-dependent oligopeptide transport (POT) family protein	GO:0006857: oligopeptide transport                                                                     GO:0005215: transporter activity                                                                  GO:0016020: membrane	No
AT1G25450	KCS5, CER60 (3-Ketoacyl-CoA Synthase5)	N	3-ketoacyl-CoA synthase familyprotein,  involved in the biosynthesis of VLCFA (very long chain fatty acids)	GO:0009409: response to cold                                                                   GO:0009922: fatty acid elongase activity                                                   GO:0048868: pollen tube development                                                    GO:0000038: very-long-chain fatty acid metabolic process                                                                GO:0016020: membrane                                                                           GO:0042335: cuticle development                                                                             GO:0005783: endoplasmic reticulum                                                                     GO:0009416: response to light stimulus	No
AT1G25460		N	Oxidoreductase family protein; involved in flavonoid biosynthetic process	GO:0009813: flavonoid biosynthetic process                                                     GO:0050662: coenzyme binding                                                                GO:0003824: catalytic activity                                                                               GO:0016491: oxidoreductase activity                                                                          GO:0005575: cellular_component_unknown                                                GO:0044237: cellular metabolic process                                                                                                                    GO:0005488: binding                                                                                    GO:0008152: metabolic process	No
AT1G26770	EXP10, (Expansin A10)	N	Expansin,  involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana.	GO:0005199: structural constituent of cell wall                                               GO:0009828: plant-type cell wall loosening                                                                  GO:0009826: unidimensional cell growth                                                       GO:0006949: syncytium formation                                                             GO:0009831: plant-type cell wall modification during multidimensional cell growth     GO:0009505: plant-type cell wall	No
AT1G27740	bHLH054	H	Basic helix-loop-helix (bHLH) family protein	GO:0003677: DNA binding                                                                     GO:0045449: regulation of transcription                                                         GO:0005634: nucleus                                                                                GO:0003700: transcription factor activity	No
AT1G27950	LTPG1 (Glycosylphos-phatidylinositol - anchored lipid transfer protein)	N	Lipid transfer protein with a predicted GPI (glycosylphosphatidyl-inositol) -anchor domain	GO:0006869:  lipid transport                                                                                  GO:0005886:  plasma membrane                                                                               GO:0031225:  anchored to membrane                                                          GO:0046658:anchored to plasma membrane	No
AT1G29050		N	Unknown protein	GO:0005886: plasma membrane                                                                GO:0003674: molecular function unknown                                                    GO:0006869: lipid transport                                                                       GO:0031225: anchored to membrane                                                                      GO:0046658: anchored to plasma membrane                                                                              GO:0008150: biological process unknown                                                                         GO:0012505: endomembrane system	No
AT1G30850		H	Unknown protein	GO:0008150:  biological process unknown                                                  GO:0005575: cellular component unknown                                                     GO:0003674: molecular function unknown	Yes
AT1G30870		H	Cationic peroxidase, involved in  response to oxidative stress	GO:0004601: peroxidase activity                                                                GO:0012505: endomembrane system                                                        GO:0009055: electron carrier activity                                                           GO:0020037: heme binding                                                                        GO:0006979: response to oxidative stress	No
AT1G30990		H	Major latex protein-related / MLP-related	GO:0009607: response to biotic stimulus                                                GO:0006952: defense response                                                             GO:0005575: cellular component unknown                                                 GO:0003674: molecular function unknown	No
AT1G32870	ANAC13, ANAC013 (NAC domain protein 13)	N	Transcription factor; involved in multicellular organismal development	GO:0003700: transcription factor activity                                                                GO:0005575: cellular component unknown                                                       GO:0010114: response to red light                                                                 GO:0010224: response to UV-B                                                                                 GO:0007275: multicellular organismal development	No
AT1G33700		H	Catalytic/ glucosylceramidase; glucosylceramidase activity, involved sphingolipid metabolic process	GO:0004348: glucosylceramidase activity                                                      GO:0003824: catalytic activity                                                                       GO:0005773: vacuole                                                                                   GO:0006665: sphingolipid metabolic process                                                                 GO:0006680: glucosylceramide catabolic process	No
AT1G34330		H	Pseudogene, putative peroxidase		No
AT1G34510		H	Putative Peroxidase; electron carrier activity, involved in response to oxidative stress	GO:0012505: endomembrane system                                                                              GO:0004601: peroxidase activity                                                                           GO:0006979: response to oxidative stress                                                       GO:0020037: heme binding                                                                             GO:0009055: electron carrier activity	No
AT1G34760	GRF11, GF14 OMICRON (General regulatory factor 11)	H	14-3-3 protein, binds H+-ATPase in response to blue light	GO:0005515: protein binding                                                                                     GO:0051117: ATPase binding                                                                           GO:0016597: amino acid binding                                                                                          GO:0005575: cellular component unknown                                                                      GO:0045309: protein phosphorylated amino acid binding	No
AT1G35330		H	Zinc finger (C3HC4-type RING finger) family protein	GO:0005515: protein binding                                                                       GO:0012505: endomembrane system                                                              GO:0008270: zinc ion binding	No
AT1G35670	CPK11, ATCDPK2, (Calcium-dependent protein kinase 2)	H	Ca(2+)-dependent, calmodulin-dependent protein kinase,  positive regulator of ABA signaling	GO:0006468: protein amino acid phosphorylation                                                   GO:0005886: plasma membrane                                                                         GO:0006468: protein amino acid phosphorylation                                                                   GO:0016301: kinase activity                                                                                  GO:0009789: positive regulation of abscisic acid mediated signaling pathway                                                                                                                                                                                                            GO:0004683: calmodulin-dependent protein kinase activity	No
AT1G48640		H	Lysine and histidine specific transporter, putative	GO:0015171: amino acid transmembrane transporter activity                               GO:0006865: amino acid transport                                                               GO:0016020: membrane	No
AT1G48930	GH9C1 (Glycosyl hydrolase 9C1)	H	Glycosyl hydrolase 9C1;  involved in carbohydrate metabolic process	GO:0005975: carbohydrate metabolic process                                                GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds                                             GO:0003824: catalytic activity                                                                          GO:0012505: endomembrane system	No
AT1G50890		H	Binding	GO:0008150: biological process unknown                                                    GO:0005488: binding	No
AT1G52400	BGL1, BGLU18 (Beta-Glucosidase homolog 1/ Beta Glucosidase 18)	N	Member of glycosyl hydrolase family 1, required in inducible ER body formation	GO:0050832: defense response to fungus                                                   GO:0003824: catalytic activity                                                                     GO:0004553 : hydrolase activity, hydrolyzing O-glycosyl compounds                                                                                                                                                                                                                                              GO:0005773: vacuole                                                                                      GO:0009507: chloroplast                                                                                 GO:0043169: cation binding                                                                                      GO:0005777: peroxisome                                                                              GO:0010168: ER body                                                                                      GO:0005634: nucleus	No
AT1G52660		H	ATP binding; involved in defense response, apoptosis	GO:0005524: ATP binding                                                                            GO:0006915: apoptosis                                                                                      GO:0006952: defense response	No
AT1G53680	GSTU28 (Glutathione S-Transferase Tau 28)	H	Glutathione transferase belonging to the tau class of GSTs	GO:0004364: glutathione transferase activity                                                                    GO:0009407: toxin catabolic process                                                                         GO:0005737: cytoplasm                                                                                                                         GO:0046686: response to cadmium ion	No
AT1G54970	PRP1 (Prolin-rich protein 1)	H	Proline-rich protein that is specifically expressed in the root	GO:0005618: cell wall                                                                                   GO:0005199: structural constituent of cell wall	Yes
AT1G55020	LOX1 (Lipoxygenase 1)	H	Lipoxygenase	GO:0009753: response to jasmonic acid stimulus                                                            GO:0009816: defense response to bacterium, incompatible interaction  GO:0006952: defense response                                                                                                              GO:0005575: cellular component unknown                                                              GO:0040007: growth                                                                                  GO:0009611: response to wounding                                                                                 GO:0009695: jasmonic acid biosynthetic process                                                                         GO:0016165: lipoxygenase activity                                                             GO:0048364: root development                                                                 GO:0009737: response to abscisic acid stimulus                                                                GO:0030397: membrane disassembly	No
AT1G62980	EXP18 (Expansin A18)	H	Alpha-expansin 18	GO:0009831: plant-type cell wall modification during multidimensional cell growth     GO:0009828: plant-type cell wall loosening                                                               GO:0005576: extracellular region                                                                              GO:0009826: unidimensional cell growth                                                                        GO:0012505: endomembrane system	Yes
AT1G63450		H	Catalytic	GO:0016020: membrane                                                                              GO:0003824: catalytic activity	Yes
AT1G63930		H	Unknown protein	GO:0008150: biological process unknown                                                               GO:0003674: molecular function unknown	No
AT1G65180		H	DC1 domain-containing protein; involved in intracellular signaling cascade	GO:0007242: intracellular signaling cascade                                            GO:0008270: zinc ion binding                                                                         GO:0005515: protein binding                                                                                                                           GO:0005622: intracellular	No
AT1G65310	XTH17 (Xyloglucan endotrans-glucosylase/ Hydrolase 17)	N	Putative xyloglucan endotransglycosylase/hydrolase	GO:0009505: plant-type cell wall                                                                                 GO:0006073: cellular glucan metabolic process                                                                    GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds                                                                                                                                                                              GO:0005975: carbohydrate metabolic process                                                              GO:0016798: hydrolase activity, acting on glycosyl bonds                                                  GO:0016762: xyloglucan:xyloglucosyl transferase activity	No
AT1G66460		N	Protein kinase family protein	GO:0016301: kinase activity                                                                            GO:0005575: cellular component unknown                                                          GO:0006468: protein amino acid phosphorylation                                                              GO:0004674: protein serine/threonine kinase activity                                                           GO:0004672: protein kinase activity                                                                    GO:0005524: ATP binding	No
AT1G66470	RHD6, bHLH083	H	Basic helix-loop-helix (bHLH) family protein, transcription factor	GO:0003677: DNA binding                                                                            GO:0003700: transcription factor activity                                                       GO:0005739: mitochondrion                                                                             GO:0045449: regulation of transcription	No
AT1G69240	MES15 (Methyl esterase 15)	H	Encodes a protein predicted to act as a carboxylesterase	GO:0009507: chloroplast                                                                            GO:0016787: hydrolase activity	Yes
AT1G69930	GSTU11 (Glutathione S-Transferase Tau 11)	N	Glutathione transferase belonging to the tau class of GSTs	GO:0009407: toxin catabolic process                                                                    GO:0004364: glutathione transferase activity                                                     GO:0005737: cytoplasm	No
AT1G70460		H	Protein kinase, putative	GO:0006468: protein amino acid phosphorylation                                          GO:0005524:  ATP binding                                                                               GO:0016020: membrane                                                                                     GO:0004674: protein serine/threonine kinase activity                                                     GO:0004713: protein tyrosine kinase activity                                                          GO:0004672: protein kinase activity	Yes
AT1G71530		H	Protein kinase family protein	GO:0016301: kinase activity                                                                                  GO:0004674: protein serine/threonine kinase activity                                                    GO:0004713: protein tyrosine kinase activity                                                           GO:0004672: protein kinase activity                                                             GO:0006468: protein amino acid phosphorylation                                                     GO:0009507: chloroplast                                                                                 GO:0005524: ATP binding                                                                                    GO:0006499: N-terminal protein myristoylation	No
AT1G72970	HTH, EDA17 (Hothead/ embryo sac development arrest 17)	N	Protein has similarity to the mandelonitrile lyase family of FAD containing oxidoreductases. Transmission of mutant alleles to the progeny shows non mendelian segregation	GO:0005576: extracellular region                                                                             GO:0050660: FAD binding                                                                          GO:0016832: aldehyde-lyase activity                                                                       GO:0009553: embryo sac development                                                                         GO:0010430: fatty acid omega-oxidation                                                            GO:0007267: cell-cell signaling                                                                        GO:0046593: mandelonitrile lyase activity	No
AT1G73860		H	ATP binding / microtubule motor; involved in  microtubule-based movement	GO:0007018: microtubule-based movement                                                   GO:0005875: microtubule associated complex                                                GO:0003777: microtubule motor activity                                                                 GO:0005524: ATP binding                                                                             GO:0009507: chloroplast	No
AT1G74100	SOT16,  CORI-7, ATST5A (Sulfotransferase 16/ Coronatine induced-7)	N	Desulfoglucosinolate sulfotransferase, involved in the final step of glucosinolate core structure biosynthesis	GO:0008146: sulfotransferase activity                                                                          GO:0047364: desulfoglucosinolate sulfotransferase activity                                                     GO:0019761: glucosinolate biosynthetic process                                                GO:0005575: cellular component unknown                                                                    GO:0032260: response to jasmonic acid stimulus during jasmonic acid and ethylene-dependent systemic resistance	No
AT1G79320	MC6 (Metacaspase 6)	H	Cysteine-type endopeptidase activity	GO:0005575: cellular component unknown                                               GO:0006508: proteolysis	Yes
AT1G79840	GL2 (Glabra 2)	N	Transcription factor, homeodomain protein affects epidermal cell identity including trichomes, root hairs, and seed coat	GO:0003700:  transcription factor activity  GO:0009957:  epidermal cell fate specification       GO:0005634: nucleus                                                                           GO:0006355: regulation of transcription, DNA-dependent                                                                              GO:0010062: negative regulation of trichoblast fate specification                                                                          GO:000367 : DNA binding	No
AT1G79860	ROPGEF12 (Rho Guanyl-Nucleotide Exchange Factor 12)	H	KPP-like gene family  (kinase partner protein) protein,  member of the RopGEF (guanine nucleotide exchange factor) family	GO:0009793: embryonic development ending in seed dormancy                                     GO:0005886: plasma membrane                                                                         GO:0009860: pollen tube growth                                                                        GO:0005089: Rho guanyl-nucleotide exchange factor activity	No
AT2G01090		H	Ubiquinol-cytochrome C reductase complex 7.8 kDa protein, putative / mitochondrial hinge protein, putative	GO:0006122: mitochondrial electron transport, ubiquinol to cytochrome c                                                      GO:0008121: ubiquinol-cytochrome-c reductase activity                                                                                  GO:0005750: mitochondrial respiratory chain complex III	Yes
AT2G01540		H	C2 domain-containing protein	GO:0003674: molecular function unknown                                                  GO:0005886: plasma membrane                                                               GO:0008150: biological process unknown                                                       GO:0005773:  vacuole	No
AT2G02630		H	DC1 domain-containing protein	GO:0005575: cellular component unknown                                                GO:0003674: molecular function unknown                                                 GO:0008150: biological process unknown	No
AT2G03720	MRH6 (morphogenesis of root hair 6)	H	Involved in root hair development	GO:0048765: root hair cell differentiation                                                       GO:0005575: cellular component unknown	Yes
AT2G04680		H	DC1 domain-containing protein, functions in protein binding, zinc ion binding	GO:0008270: zinc ion binding                                                                            GO:0005515: protein binding	No
AT2G05160		H	Zinc finger (CCCH-type) family protein / RNA recognition motif (RRM)-containing protein	GO:0005575: cellular component unknown                                                                                                 GO:0008150: biological process unknown                                                       GO:0003723: RNA binding                                                                          GO:0008270: zinc ion binding                                                                           GO:0000166: nucleotide binding                                                                 GO:0003676: nucleic acid binding	No
AT2G17590		H	DC1 domain-containing protein	GO:0005575: cellular component unknown	No
AT2G18450	SDH1-2 (succinate dehydrogenase 1-2)	H	Nuclear encoded mitochondrial flavoprotein subunit of succinate dehydrogenase complex	GO:0005739: mitochondrion                                                                                GO:0005749: mitochondrial respiratory chain complex II                                                   GO:0006121: mitochondrial electron transport, succinate to ubiquinone                                         GO:0000104: succinate dehydrogenase activity	No
AT2G18690		H	Unknown protein	GO:0016020: membrane                                                                            GO:0003674: molecular function unknown                                                 GO:0008150: biological process unknown	No
AT2G20520	FLA6                   (Fascilin-like arabino-            galactan 6)	H		GO:0031225: anchored to membrane	No
AT2G21850		H	Involved in intracellular signaling cascade	GO:0005575: cellular component unknown                                                  GO:0007242: intracellular signaling cascade                                                                       GO:0008270: zinc ion binding                                                                     GO:0005515: protein binding	No
AT2G22560		H	Unknown protein	GO:0005886: plasma membrane                                                                            GO:0003674: molecular function unknown                                                 GO:0008150: biological process unknown	No
AT2G24180	CYP71B6 (Cytochrome P450 71B6)	N	Cytochrome P450 monooxygenase	GO:0016020: membrane                                                                                   GO:0020037: heme binding                                                                                                   GO:0005739: mitochondrion                                                                          GO:0009055: electron carrier activity                                                          GO:0004497: monooxygenase activity                                                             GO:0005783: endoplasmic reticulum                                                                        GO:0005886: plasma membrane                                                                                   GO:0019825: oxygen binding                                                                           GO:0005506: iron ion binding	No
AT2G24260	bHLH066	H	Basic helix-loop-helix (bHLH) protein that regulates root hair development.	GO:0003700: transcription factor activity                                                       GO:0045449: regulation of transcription                                                      GO:0005634: nucleus                                                                                     GO:0003677: DNA binding	No
AT2G26870		N	Phosphoesterase family proteins; involved in triglyceride biosynthetic process, phospholipid biosynthetic process	GO:0019432: triglyceride biosynthetic process                                                                GO:0008654: phospholipid biosynthetic process                                                                    GO:0012505: endomembrane system                                                                                   GO:0016788: hydrolase activity, acting on ester bonds	No
AT2G28440		H	Proline-rich family protein	GO:0012505: endomembrane system	No
AT2G29740	UGT71C2 (UDP-Glucosyl Transferase 71C2)	H	UDP-Glucosyl Transferase 71C2	GO:0005575: cellular component unknown                                                   GO:0016757: transferase activity, transferring glycosyl groups                                            GO:0008194: UDP-glycosyltransferase activity                                                       GO:0008152: metabolic process	No
AT2G32280		N	Unknown protein	GO:0012505: endomembrane system                                                           GO:0003674: molecular function unknown                                                 GO:0008150: biological process unknown	No
AT2G34910		H	Unknown protein	GO:0005575: cellular component unknown                                                GO:0003674: molecular function unknown                                                 GO:0008150: biological process unknown	No
AT2G35585		N	Unknown protein	GO:0005575: cellular component unknown                                                GO:0003674: molecular function unknown                                                 GO:0008150: biological process unknown	No
AT2G37260	TTG2, WRKY44 (Transparent Testa Glabra 2)	N	Protein similar to WRKY transcription factors	GO:0003700: transcription factor activity                                                                GO:0006355: regulation of transcription, DNA-dependent                                                 GO:0005634: nucleus                                                                                  GO:0010214: seed coat development                                                                             GO:0009957: epidermal cell fate specification	No
AT2G37440		H	Endonuclease/exonuclease/phosphatase family protein	GO:0008150: biological process unknown                                                                    GO:0016787: hydrolase activity                                                                   GO:0004437: inositol or phosphatidylinositol phosphatase activity	No
AT2G37670		H	WD-40 repeat family protein; involved in signal transduction	GO:0007165: signal transduction                                                                GO:0004871: signal transducer activity                                                        GO:0005834: heterotrimeric G-protein complex	No
AT2G39690		H	Unknown protein	GO:0005739: mitochondrion                                                                                   GO:0003674: molecular function unknown                                                 GO:0008150: biological process unknown	Yes
AT2G40010		H	60S acidic ribosomal protein P0 (RPP0A)	GO:0003735: structural constituent of ribosome                                                    GO:0022626: cytosolic ribosome                                                                         GO:0042254: ribosome biogenesis                                                               GO:0006412: translation                                                                           GO:0006414: translational elongation                                                                  GO:0005840: ribosome	No
AT2G41380		N	Embryo-abundant protein-related; functions in methyltransferase activity	GO:0046686: response to cadmium ion                                                             GO:0005739: mitochondrion                                                                       GO:0008168: methyltransferase activity	No
AT2G41970		H	Protein kinase, putative	GO:0005575: cellular component unknown                                         GO:0006468: protein amino acid phosphorylation                                                GO:001630: kinase activity 1                                                                            GO:0005524: ATP binding                                                                       GO:0004713: protein tyrosine kinase activity                                                             GO:0004672: protein kinase activity	No
AT2G42060		N	CHP-rich zinc finger protein, putative; involved in intracellular signaling cascade	GO:0005575: cellular component unknown                                                        GO:0007242: intracellular signaling cascade	No
AT2G45220		N	Pectinesterase family protein; involved in cell wall modification	GO:0030599: pectinesterase activity                                                          GO:0004857: enzyme inhibitor activity                                                          GO:0009505: plant-type cell wall                                                                  GO:0016020: membrane                                                                                              GO:0042545: cell wall modification	No
AT2G45750		H	Dehydration-responsive family protein	GO:0008150: biological process unknown	No
AT2G45890	ROPGEF4 (RHO Guanyl-Nucleotide exchange factor 4)	H	KPP-like (kinase partner protein) protein, member of the RopGEF (guanine nucleotide exchange factor) family	GO:0005089: Rho guanyl-nucleotide exchange factor activity                                                                       GO:0008150: biological process unknown                                                          GO:0009507: chloroplast	Yes
AT2G46860	PPa3 (Arabidopsis thaliana pyrophosphorylase 3)	H	Encodes a protein that might have inorganic pyrophosphatase activity	GO:0016462: pyrophosphatase activity                                                                       GO:0004427: inorganic diphosphatase activity                                              GO:0005737: cytoplasm                                                                              GO:0006796: phosphate metabolic process                                                    GO:0016020: membrane                                                                                                                                                                 GO:0008152: metabolic process	Yes
AT2G47540		H	Pollen Ole e 1 allergen and extensin family protein	GO:0012505: endomembrane system                                                           GO:0003674: molecular function unknown                                                 GO:0008150: biological process unknown	No
AT2G48080		H	Oxidoreductase, 2OG-Fe(II) oxygenase family protein	GO:0016491: oxidoreductase activity                                                           GO:0008150: biological process unknown                                                     GO:0005575: cellular component unknown	No
AT3G01930		N	Nodulin family protein		No
AT3G03520		H	Phosphoesterase family protein	GO:0016788: hydrolase activity, acting on ester bonds                                                                                       GO:0016020: membrane                                                                               GO:0005773: vacuole                                                                                                GO:0008150: biological process unknown	No
AT3G04940	CYSD1 (Cysteine Synthase D1)	N	Cysteine synthase CysD1	GO:0004124: cysteine synthase activity                                                                  GO:0019344: cysteine biosynthetic process                                                      GO:0004124: cysteine synthase activity	No
AT3G05170		H	Phosphoglycerate/bisphosphoglycerate mutase family protein	GO:0003824: catalytic activity                                                                              GO:0008152: metabolic process                                                                   GO:0005575: cellular component unknown	No
AT3G07070		H	Protein kinase family protein	GO:0005524: ATP binding                                                                               GO:0016301: kinase activity                                                                            GO:0004672: protein kinase activity                                                                        GO:0005575: cellular component unknown                                                                                GO:0004674: protein serine/threonine kinase activity                                                  GO:0006468: protein amino acid phosphorylation	No
AT3G07880		H	Rho GDP-dissociation inhibitor family protein	GO:0010053: root epidermal cell differentiation                                                           GO:0005737: cytoplasm                                                                            GO:0005094: Rho GDP-dissociation inhibitor activity                                                                        GO:0009932: cell tip growth	No
AT3G10710		H	Pectinesterase family protein; involved in  cell wall modification	GO:0042545: cell wall modification                                                             GO:0009505: plant-type cell wall                                                                  GO:0004857: enzyme inhibitor activity                                                                       GO:0005618: cell wall                                                                                               GO:0030599: pectinesterase activity	Yes
AT3G12540		H	Unknown protein	GO:0008150: biological process unknown                                                     GO:0005575: cellular component unknown	Yes
AT3G13782	NFA04, NAP1;4, NFA4 (Nucleosome assembly protein1;4)	H	Functions in chromatin binding, DNA binding; involved nucleosome assembly, nucleotide-excision repair	GO:0005634: nucleus                                                                                      GO:0046686: response to cadmium ion                                                                        GO:0006289: nucleotide-excision repair                                                                       GO:0003677: DNA binding                                                                        GO:0003682: chromatin binding                                                              GO:0006334: nucleosome assembly                                                                       GO:0005737: cytoplasm	No
AT3G15760		H	Unknown protein	GO:0008150: biological process unknown                                                     GO:0005575: cellular component unknown                                                      GO:0012505: endomembrane system	No
AT3G16800		N	Protein phosphatase 2C, putative / PP2C, putative	GO:0008150: biological process unknown                                                                     GO:0005634: nucleus                                                                                  GO:0003824: catalytic activity                                                                       GO:0004722: protein serine/threonine phosphatase activity                                       GO:0005737: cytoplasm	No
AT3G19320		N	Leucine-rich repeat family protein	GO:0005515: protein binding                                                                       GO:0012505: endomembrane system	No
AT3G23190		H	Lesion inducing protein-related	GO:0005783: endoplasmic reticulum                                                           GO:0003674: molecular function unknown                                                 GO:0008150: biological process unknown	No
AT3G26744	ICE1, SCRM (Inducer of CBF expression)	N	Similar to basic helix-loop-helix (bHLH) family protein / F-box family protein  from Arabidopsis thaliana; similar to transcription factor ICE1-like from Oryza sativa (japonica cultivar-group)	GO:0003677: DNA binding                                                                                GO:0016567: protein ubiquitination                                                                         GO:0003700: transcription factor activity                                                 GO:0005634: nucleus                                                                            GO:0009409: response to cold                                                                     GO:0045941:  positive regulation of transcription                                                                  GO:0010440: stomatal lineage progression                                                                          GO:0016563:  transcription activator activity                                                                  GO:0050826: response to freezing	No
AT3G28910	MYB30, ATMYB30	N	Transcription factor myb homologue	GO:0009723: response to ethylene stimulus                                                                  GO:0009617: response to bacterium                                                         GO:0009739: response to gibberellin stimulus                                                              GO:0009753: response to jasmonic acid stimulus                                                 GO:0003700: transcription factor activity                                                   GO:0009733: response to auxin stimulus                                                                      GO:0003677: DNA binding                                                                       GO:0009751: response to salicylic acid stimulus                                                      GO:0009626: plant-type hypersensitive response                                                  GO:0042761: very-long-chain fatty acid biosynthetic process	No
AT3G29410		N	Terpene synthase/cyclase family protein	GO:0008152: metabolic process                                                                        GO:0000287: magnesium ion binding                                                           GO:0016829: lyase activity	No
