Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	Gene Accession	Gene Name	GO Annotation	INTERPRO Domain	Sex-bias	Composite array score	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)
A_32_P112104	chr3:47716981-47717040	SMARCC1	NM_003074	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|chromatin binding|IEA|GO:0003682|GOA|na//molecular function|protein N-terminus binding|IPI|GO:0047485|GOA|12917342//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x17c948c)//molecular function|transcription coactivator activity|TAS|GO:0003713|GOA|8804307//biological process|chromatin assembly or disassembly|IEA|GO:0006333|GOA|na//biological process|chromatin remodeling|IDA|GO:0006338|GOA|ARRAY(0x2ef9ca4)//biological process|nervous system development|IEA|GO:0007399|GOA|na//biological process|organ morphogenesis|IEA|GO:0009887|GOA|na//biological process|positive regulation of transcription, DNA-dependent|IDA|GO:0045893|GOA|11018012//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|regulation of transcription from RNA polymerase II promoter|TAS|GO:0006357|GOA|8804307//cellular component|SWI/SNF complex|IDA|GO:0016514|GOA|ARRAY(0x29e8738)//cellular component|XY body|IEA|GO:0001741|GOA|na//cellular component|chromatin|IEA|GO:0000785|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nBAF complex|ISS|GO:0071565|GOA|na//cellular component|npBAF complex|ISS|GO:0071564|GOA|na//cellular component|nucleoplasm|TAS|GO:0005654|GOA|8804307//cellular component|nucleus|IEA|GO:0005634|GOA|na	IPR000953:Chromo domain,IPR001005:SANT, DNA-binding,IPR007526:SWIRM,IPR014778:Myb, DNA-binding,IPR017884:SANT, eukarya,	F	14	0.6855	-1.4588	1.6007E-07	328.2755	215.4589
A_23_P32707	chr12:53686748-53687109	ESPL1	NM_012291	Extra spindle pole bodies homolog 1 (S. cerevisiae)	molecular function|catalytic activity|NAS|GO:0003824|GOA|12672959//molecular function|cysteine-type peptidase activity|NAS|GO:0008234|GOA|12672959//molecular function|peptidase activity|IEA|GO:0008233|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x2ec69b4)//biological process|apoptosis|TAS|GO:0006915|GOA|11875078//biological process|chromosome segregation|IEA|GO:0007059|GOA|na//biological process|cytokinesis|NAS|GO:0000910|GOA|11509732//biological process|establishment of mitotic spindle localization|NAS|GO:0040001|GOA|12672959//biological process|homologous chromosome segregation|IEA|GO:0045143|GOA|na//biological process|meiotic spindle organization|IEA|GO:0000212|GOA|na//biological process|mitotic sister chromatid segregation|IMP|GO:0000070|GOA|12672959//biological process|negative regulation of sister chromatid cohesion|NAS|GO:0045875|GOA|12194817//biological process|positive regulation of mitotic metaphase/anaphase transition|NAS|GO:0045842|GOA|12672959//biological process|proteolysis|IEA|GO:0006508|GOA|na//cellular component|centrosome|IDA|GO:0005813|GOA|12672959//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	IPR005314:Peptidase C50, separase,	F	16	0.6648	-1.5042	1.3881E-07	216.577	142.0296
A_24_P171004	chr10:76788354-76788413	MYST4	NM_012330	MYST histone acetyltransferase (monocytic leukemia) 4	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|acetyltransferase activity|IDA|GO:0016407|GOA|11965546//molecular function|histone acetyltransferase activity|IDA|GO:0004402|GOA|10497217//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|11965546//molecular function|transcription activator activity|IDA|GO:0016563|GOA|10497217//molecular function|transcription factor binding|IDA|GO:0008134|GOA|11965546//molecular function|transcription repressor activity|IDA|GO:0016564|GOA|10497217//molecular function|transferase activity|IEA|GO:0016740|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|histone H3 acetylation|IDA|GO:0043966|GOA|16387653//biological process|histone acetylation|IDA|GO:0016573|GOA|11965546//biological process|negative regulation of transcription|IDA|GO:0016481|GOA|10497217//biological process|nucleosome assembly|NAS|GO:0006334|GOA|10497217//biological process|positive regulation of transcription|IDA|GO:0045941|GOA|11965546//biological process|regulation of transcription, DNA-dependent|NAS|GO:0006355|GOA|10497217//cellular component|MOZ/MORF histone acetyltransferase complex|IDA|GO:0070776|GOA|ARRAY(0x49fb184)//cellular component|nucleosome|NAS|GO:0000786|GOA|10497217//cellular component|nucleus|IDA|GO:0005634|GOA|18029348//cellular component|nucleus|TAS|GO:0005634|GOA|10497217	IPR001965:Zinc finger, PHD-type,IPR002717:MOZ/SAS-like protein,IPR005818:Histone H1/H5,IPR011991:Winged helix repressor DNA-binding,IPR016181:Acyl-CoA N-acyltransferase,IPR019786:Zinc finger, PHD-type, conserved site,IPR019787:Zinc finger, PHD-finger,	F	15	0.6521	-1.5334	1.3843E-07	46.4726	29.9507
A_23_P74446	chr1:44169757-44169933	KDM4A	NM_014663	Lysine (K)-specific demethylase 4A	molecular function|histone demethylase activity (H3-K36 specific)|IDA|GO:0051864|GOA|16024779//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|nucleic acid binding|IEA|GO:0003676|GOA|na//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|IEA|GO:0016702|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|17567753//molecular function|transcription repressor activity|IDA|GO:0016564|GOA|16024779//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|histone demethylation|IDA|GO:0016577|GOA|16024779//biological process|interspecies interaction between organisms|IEA|GO:0044419|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|nucleolus|IDA|GO:0005730|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|ARRAY(0xf142a4)	IPR001965:Zinc finger, PHD-type,IPR002999:Tudor domain,IPR003347:Transcription factor jumonji/aspartyl beta-hydroxylase,IPR003349:Transcription factor jumonji, JmjN,IPR013129:Transcription factor jumonji,IPR019786:Zinc finger, PHD-type, conserved site,IPR	F	14	0.8194	-1.2204	9.2925E-08	552.8597	449.8564
A_23_P343799	chr11:15993624-15993683	SOX6	NM_033326	SRY (sex determining region Y)-box 6	molecular function|DNA binding|NAS|GO:0003677|GOA|1614875//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|protein heterodimerization activity|IEA|GO:0046982|GOA|na//molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription factor activity|NAS|GO:0003700|GOA|1614875//biological process|cardiac cell differentiation|IEA|GO:0035051|GOA|na//biological process|cartilage development|IEA|GO:0051216|GOA|na//biological process|cell fate commitment|IEA|GO:0045165|GOA|na//biological process|cell morphogenesis|IEA|GO:0000902|GOA|na//biological process|chromatin organization|NAS|GO:0006325|GOA|1614875//biological process|erythrocyte development|IEA|GO:0048821|GOA|na//biological process|gene silencing|IEA|GO:0016458|GOA|na//biological process|hemopoiesis|IEA|GO:0030097|GOA|na//biological process|muscle cell differentiation|IEA|GO:0042692|GOA|na//biological process|muscle organ development|NAS|GO:0007517|GOA|11255018//biological process|negative regulation of transcription from RNA polymerase II promoter|IEA|GO:0000122|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|IEA|GO:0045944|GOA|na//biological process|post-embryonic development|IEA|GO:0009791|GOA|na//biological process|regulation of transcription, DNA-dependent|NAS|GO:0006355|GOA|1614875//cellular component|nucleus|IDA|GO:0005634|GOA|11256614//cellular component|nucleus|NAS|GO:0005634|GOA|1614875	IPR000910:High mobility group, HMG1/HMG2,	F	15	0.714	-1.4006	3.4488E-08	45.6301	32.3281
A_23_P12733	chr10:71871745-71871804	H2AFY2	NM_018649	H2A histone family, member Y2	molecular function|DNA binding|IEA|GO:0003677|GOA|na//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|dosage compensation|IDA|GO:0007549|GOA|11331621//biological process|nucleosome assembly|IEA|GO:0006334|GOA|na//cellular component|Barr body|IDA|GO:0001740|GOA|11331621//cellular component|chromosome|IEA|GO:0005694|GOA|na//cellular component|nucleosome|IEA|GO:0000786|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	IPR002119:Histone H2A,IPR002589:Appr-1-p processing,IPR007125:Histone core,IPR009072:Histone-fold,	F	15	0.8673	-1.153	2.2263E-08	179.7141	156.1214
A_23_P395703	chr11:77451808-77451867	RSF1	NM_016578	Remodeling and spacing factor 1	molecular function|ATPase activity|IDA|GO:0016887|GOA|12972596//molecular function|histone binding|IDA|GO:0042393|GOA|12972596//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|12972596//molecular function|transcription activator activity|IDA|GO:0016563|GOA|11788598//molecular function|transcription repressor activity|IDA|GO:0016564|GOA|11944984//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|chromatin remodeling|IDA|GO:0006338|GOA|9836642//biological process|negative regulation of DNA binding|IDA|GO:0043392|GOA|12972596//biological process|negative regulation of transcription, DNA-dependent|IDA|GO:0045892|GOA|11944984//biological process|nucleosome assembly|IDA|GO:0006334|GOA|12972596//biological process|nucleosome positioning|IDA|GO:0016584|GOA|9836642//biological process|positive regulation of viral transcription|IDA|GO:0050434|GOA|11788598//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|transcription initiation|IDA|GO:0006352|GOA|9836642//cellular component|RSF complex|IPI|GO:0031213|GOA|9836642//cellular component|nucleus|IDA|GO:0005634|GOA|ARRAY(0xc9342c)	IPR001965:Zinc finger, PHD-type,IPR019786:Zinc finger, PHD-type, conserved site,IPR019787:Zinc finger, PHD-finger,	F	16	0.7991	-1.2515	1.9706E-08	1485.9133	1181.5067
A_24_P153800	chr14:21834655-21836453	SUPT16H	NM_007192	Suppressor of Ty 16 homolog (S. cerevisiae)	molecular function|positive transcription elongation factor activity|TAS|GO:0008159|GOA|10421373//biological process|DNA repair|IEA|GO:0006281|GOA|na//biological process|DNA replication|IEA|GO:0006260|GOA|na//biological process|cellular process|IEA|GO:0009987|GOA|na//biological process|nucleosome disassembly|TAS|GO:0006337|GOA|10421373//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|transcription from RNA polymerase II promoter|TAS|GO:0006366|GOA|10421373//cellular component|chromosome|IEA|GO:0005694|GOA|na//cellular component|nucleoplasm|EXP|GO:0005654|GOA|12676794//cellular component|nucleus|IEA|GO:0005634|GOA|na	IPR000994:Peptidase M24, structural domain,IPR013719:Region of unknown function DUF1747, eukaryote,IPR013953:FACT complex subunit Spt16p/Cdc68p,	F	16	0.7086	-1.4113	1.0966E-08	483.7167	337.2098
A_32_P164649	chr19:5626414-5626465	SAFB	NM_002967	Scaffold attachment factor B	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|RNA binding|IEA|GO:0003723|GOA|na//molecular function|double-stranded DNA binding|TAS|GO:0003690|GOA|1324173//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x12f0948)//biological process|chromatin organization|TAS|GO:0006325|GOA|1324173//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|nucleolus|IDA|GO:0005730|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|18029348	IPR000504:RNA recognition motif, RNP-1,IPR003034:DNA-binding SAP,IPR012677:Nucleotide-binding, alpha-beta plait,	F	14	0.8405	-1.1897	8.7909E-09	69.0108	57.8423
A_24_P188183	chr13:20221241-20221300	MPHOSPH8	NM_017520	M-phase phosphoprotein 8	molecular function|chromatin binding|IEA|GO:0003682|GOA|na//molecular function|molecular_function|ND|GO:0003674|GOA|na//biological process|cell cycle|NAS|GO:0007049|GOA|8885239//biological process|chromatin assembly or disassembly|IEA|GO:0006333|GOA|na//cellular component|chromatin|IEA|GO:0000785|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|8885239//cellular component|nucleus|IDA|GO:0005634|GOA|8885239	IPR000953:Chromo domain,IPR002110:Ankyrin,	F	15	0.8234	-1.2145	4.3369E-09	526.9528	433.2767
A_23_P408768	chr19:2227105-2229821	DOT1L	NM_032482	DOT1-like, histone H3 methyltransferase (S. cerevisiae)	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|histone-lysine N-methyltransferase activity|IEA|GO:0018024|GOA|na//molecular function|methyltransferase activity|IEA|GO:0008168|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|chromatin modification|IEA|GO:0016568|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	IPR013110:Histone methylation DOT1,IPR017956:AT hook, DNA-binding, conserved site,	M	15	1.1905	1.1905	3.8103E-09	101.4081	120.4898
A_23_P380839	chr11:76256997-76257056	C11orf30	NM_020193	Chromosome 11 open reading frame 30	biological process|DNA repair|IEA|GO:0006281|GOA|na//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	IPR005491:ENT,	F	14	0.8126	-1.2306	3.7579E-09	109.4974	88.8343
A_24_P357688	chr5:36985275-36985334	NIPBL	NM_133433	Nipped-B homolog (Drosophila)	molecular function|chromo shadow domain binding|IPI|GO:0070087|GOA|15882967//molecular function|histone deacetylase binding|IPI|GO:0042826|GOA|18854353//molecular function|protein C-terminus binding|IPI|GO:0008022|GOA|17577209//molecular function|protein N-terminus binding|IPI|GO:0047485|GOA|16802858//molecular function|protein binding|IPI|GO:0005515|GOA|16682347//biological process|arm morphogenesis|IMP|GO:0035140|GOA|15146186//biological process|brain development|IMP|GO:0007420|GOA|8291537//biological process|cell cycle|IEA|GO:0007049|GOA|na//biological process|cellular protein localization|IMP|GO:0034613|GOA|17468178//biological process|cellular response to X-ray|IMP|GO:0071481|GOA|17468178//biological process|cognition|IMP|GO:0050890|GOA|15146186//biological process|developmental growth|IMP|GO:0048589|GOA|15146186//biological process|ear morphogenesis|IMP|GO:0042471|GOA|8291537//biological process|embryonic arm morphogenesis|IMP|GO:0035117|GOA|ARRAY(0x4a86f8c)//biological process|embryonic gut morphogenesis|IMP|GO:0048558|GOA|ARRAY(0x2ece4a4)//biological process|external genitalia morphogenesis|IMP|GO:0035261|GOA|ARRAY(0xf5ff20)//biological process|eye morphogenesis|IMP|GO:0048592|GOA|8291537//biological process|face morphogenesis|IMP|GO:0060325|GOA|ARRAY(0x17c4468)//biological process|gall bladder development|IMP|GO:0061010|GOA|19242925//biological process|heart morphogenesis|IMP|GO:0003007|GOA|8291537//biological process|maintenance of mitotic sister chromatid cohesion|IMP|GO:0034088|GOA|16682347//biological process|metanephros development|NAS|GO:0001656|GOA|15146185//biological process|mitotic sister chromatid cohesion|IMP|GO:0007064|GOA|16100726//biological process|negative regulation of gene-specific transcription from RNA polymerase II promoter|IDA|GO:0010553|GOA|18854353//biological process|outflow tract morphogenesis|IMP|GO:0003151|GOA|19242925//biological process|positive regulation of histone deacetylation|IDA|GO:0031065|GOA|18854353//biological process|regulation of developmental growth|IMP|GO:0048638|GOA|19242925//biological process|regulation of embryonic development|IMP|GO:0045995|GOA|19242925//biological process|regulation of hair cycle|IMP|GO:0042634|GOA|15146186//biological process|response to DNA damage stimulus|IMP|GO:0006974|GOA|17468178//biological process|sensory perception of sound|IMP|GO:0007605|GOA|15146186//biological process|uterus morphogenesis|IMP|GO:0061038|GOA|19242925//cellular component|cohesin loading complex|IDA|GO:0032116|GOA|16682347//cellular component|nucleus|IDA|GO:0005634|GOA|16802858		F	16	0.7081	-1.4123	1.881E-09	923.8973	643.5332
A_24_P342279	chr16:3843588-3843628	CREBBP	NM_004380	CREB binding protein	molecular function|MyoD binding|IDA|GO:0051577|GOA|8621548//molecular function|SMAD binding|IEA|GO:0046332|GOA|na//molecular function|acetyltransferase activity|IDA|GO:0016407|GOA|11742995//molecular function|histone acetyltransferase activity|IDA|GO:0004402|GOA|11742995//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|p53 binding|IPI|GO:0002039|GOA|9194565//molecular function|peroxisome proliferator activated receptor binding|IEA|GO:0042975|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xcdfa5c)//molecular function|signal transducer activity|TAS|GO:0004871|GOA|ARRAY(0x13cddac)//molecular function|transcription coactivator activity|IDA|GO:0003713|GOA|ARRAY(0xb7a8c4)//molecular function|transcription coactivator activity|IPI|GO:0003713|GOA|8684459//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//molecular function|transcription factor binding|IPI|GO:0008134|GOA|15509593//molecular function|transferase activity|IEA|GO:0016740|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|N-terminal peptidyl-lysine acetylation|IDA|GO:0018076|GOA|12435739//biological process|cell proliferation|IEA|GO:0008283|GOA|na//biological process|germ-line stem cell maintenance|IEA|GO:0030718|GOA|na//biological process|histone acetylation|IDA|GO:0016573|GOA|11742995//biological process|homeostatic process|NAS|GO:0042592|GOA|15261140//biological process|interspecies interaction between organisms|IEA|GO:0044419|GOA|na//biological process|positive regulation of transcription|IDA|GO:0045941|GOA|11742995//biological process|positive regulation of transcription|ISS|GO:0045941|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|IEA|GO:0045944|GOA|na//biological process|protein complex assembly|TAS|GO:0006461|GOA|7913207//biological process|regulation of transcription|TAS|GO:0045449|GOA|15261140//biological process|regulation of transcription, DNA-dependent|IDA|GO:0006355|GOA|12169688//biological process|response to hypoxia|TAS|GO:0001666|GOA|15261140//biological process|signal transduction|NAS|GO:0007165|GOA|15261140//cellular component|cytoplasm|TAS|GO:0005737|GOA|7913207//cellular component|histone acetyltransferase complex|IEA|GO:0000123|GOA|na//cellular component|nuclear body|IDA|GO:0016604|GOA|15488321//cellular component|nucleus|IC|GO:0005634|GOA|12169688//cellular component|outer kinetochore of condensed chromosome|IEA|GO:0000940|GOA|na//cellular component|transcription factor complex|IEA|GO:0005667|GOA|na	IPR000197:Zinc finger, TAZ-type,IPR000433:Zinc finger, ZZ-type,IPR001487:Bromodomain,IPR003101:Coactivator CBP, KIX,IPR009255:Transcriptional coactivation,IPR010303:Protein of unknown function DUF902, CREBbp,IPR014744:Nuclear receptor coactivator, CREB-bp	F	14	0.7989	-1.2517	1.5885E-09	111.5481	88.0036
A_23_P1038	chr1:202700994-202701053	KDM5B	NM_006618	Lysine (K)-specific demethylase 5B	molecular function|DNA binding|IDA|GO:0003677|GOA|15640446//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|IEA|GO:0016702|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|transcription factor activity|TAS|GO:0003700|GOA|10336460//molecular function|transcription repressor activity|IDA|GO:0016564|GOA|12657635//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|negative regulation of transcription, DNA-dependent|IDA|GO:0045892|GOA|12657635//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	IPR001606:AT-rich interaction region,IPR001965:Zinc finger, PHD-type,IPR003347:Transcription factor jumonji/aspartyl beta-hydroxylase,IPR003349:Transcription factor jumonji, JmjN,IPR004198:Zinc finger, C5HC2-type,IPR013129:Transcription factor jumonji,IPR	F	14	0.8398	-1.1907	1.2059E-09	139.8506	117.6251
A_23_P30805	chr6:27792176-27792235	HIST1H4J	NM_021968	Histone cluster 1, H4j	0		F	14	0.8675	-1.1527	4.0742E-10	550.3322	474.9294
A_23_P57989	chr3:176742818-176742877	TBL1XR1	NM_024665	Transducin (beta)-like 1 X-linked receptor 1	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|beta-catenin binding|IPI|GO:0008013|GOA|18193033//molecular function|histone binding|IDA|GO:0042393|GOA|15601853//molecular function|promoter binding|IDA|GO:0010843|GOA|18193033//molecular function|promoter binding|ISS|GO:0010843|GOA|na//molecular function|protein N-terminus binding|IPI|GO:0047485|GOA|16893456//molecular function|protein binding|IPI|GO:0005515|GOA|12628926//molecular function|transcription activator activity|IDA|GO:0016563|GOA|18193033//molecular function|transcription corepressor activity|IDA|GO:0003714|GOA|12628926//molecular function|transcription corepressor activity|IGI|GO:0003714|GOA|15601853//biological process|Wnt receptor signaling pathway through beta-catenin|IMP|GO:0060070|GOA|18193033//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|negative regulation of gene-specific transcription from RNA polymerase II promoter|IDA|GO:0010553|GOA|12628926//biological process|negative regulation of transcription, DNA-dependent|IEA|GO:0045892|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|IDA|GO:0045944|GOA|18193033//biological process|proteasomal ubiquitin-dependent protein catabolic process|ISS|GO:0043161|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|histone deacetylase complex|IDA|GO:0000118|GOA|18326024//cellular component|nucleus|IDA|GO:0005634|GOA|18193033//cellular component|spindle microtubule|IDA|GO:0005876|GOA|18326024//cellular component|transcriptional repressor complex|IDA|GO:0017053|GOA|ARRAY(0xcca498)	IPR001680:WD40 repeat,IPR006594:LisH dimerisation motif,IPR013720:LisH dimerisation motif, subgroup,IPR015943:WD40/YVTN repeat-like,IPR017986:WD40 repeat, region,IPR019775:WD40 repeat, conserved site,IPR019781:WD40 repeat, subgroup,IPR019782:WD40 repeat 2	F	16	0.8589	-1.1643	2.1276E-10	465.8762	400.3167
A_32_P162076	chr1:21070889-21070948	HP1BP3	NM_016287	Heterochromatin protein 1, binding protein 3	molecular function|DNA binding|IEA|GO:0003677|GOA|na//biological process|nucleosome assembly|IEA|GO:0006334|GOA|na//cellular component|chromosome|IEA|GO:0005694|GOA|na//cellular component|nucleosome|IEA|GO:0000786|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	IPR005818:Histone H1/H5,IPR005819:Histone H5,IPR011991:Winged helix repressor DNA-binding,	M	15	1.2087	1.2087	1.0511E-10	62.3065	75.1762
A_23_P21219	chr3:47125412-47125471	SETD2	NM_014159	SET domain containing 2	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|histone-lysine N-methyltransferase activity|IEA|GO:0018024|GOA|na//molecular function|methyltransferase activity|IEA|GO:0008168|GOA|na//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//molecular function|transition metal ion binding|IEA|GO:0046914|GOA|na//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|histone H3-K36 methylation|IEA|GO:0010452|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|peptidyl-lysine trimethylation|IEA|GO:0018023|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|response to protein stimulus|IEA|GO:0051789|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	IPR001202:WW/Rsp5/WWP,IPR001214:SET,IPR003616:Post-SET zinc-binding region,IPR006560:AWS,IPR015119:Set2-Rpb1 interacting,	F	15	0.8291	-1.2061	4.0084E-11	421.7868	349.8233
A_23_P114075	chr17:65882283-65882342	BPTF	NM_004459	Bromodomain PHD finger transcription factor	molecular function|DNA-dependent ATPase activity|IDA|GO:0008094|GOA|14609955//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|14609955//molecular function|sequence-specific DNA binding|IDA|GO:0043565|GOA|10403843//molecular function|sequence-specific DNA binding|IMP|GO:0043565|GOA|10575013//molecular function|transcription factor binding|IDA|GO:0008134|GOA|10727212//molecular function|transcription regulator activity|IMP|GO:0030528|GOA|14609955//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|brain development|IMP|GO:0007420|GOA|14609955//biological process|chromatin remodeling|IDA|GO:0006338|GOA|14609955//biological process|negative regulation of transcription from RNA polymerase II promoter|IDA|GO:0000122|GOA|10727212//biological process|positive regulation of gene-specific transcription|IMP|GO:0043193|GOA|14609955//biological process|regulation of transcription|IMP|GO:0045449|GOA|10575013//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|ARRAY(0xb4b1c0)	IPR001487:Bromodomain,IPR001965:Zinc finger, PHD-type,IPR004022:DDT family,IPR012644:Conserved hypothetical protein FYDLN acid,IPR013032:EGF-like region, conserved site,IPR018359:Bromodomain, conserved site,IPR018501:DDT superfamily,IPR019787:Zinc finger,	F	15	0.7708	-1.2973	3.0191E-12	286.3598	220.051
A_23_P300301	chr10:64974785-64974844	JMJD1C	NM_032776	Jumonji domain containing 1C	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|IEA|GO:0016702|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|17353003//molecular function|thyroid hormone receptor binding|TAS|GO:0046966|GOA|7776974//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|regulation of transcription, DNA-dependent|TAS|GO:0006355|GOA|7776974//cellular component|intracellular|NAS|GO:0005622|GOA|7776974//cellular component|nucleus|IEA|GO:0005634|GOA|na	IPR003347:Transcription factor jumonji/aspartyl beta-hydroxylase,IPR013129:Transcription factor jumonji,	F	14	0.6966	-1.4356	6.9617E-13	2584.9209	1793.1295
