hg18.refGene.name	chrom	strand	start	end	gene symbol	E3Diff	E6Diff	E9Diff	E12Diff	E24Diff	E48Diff	?with RNAPII peaks +/- 1Kb around TSS
NM_005187	chr16	-	87468767	87570902	CBFA2T3	0.5083	0.3546	0.467	0.4149	-0.2105	-0.9023	No
NM_173482	chr19	+	14982538	14995083	CCDC105	0.2841	0.4293	0.086	0.1228	0.2318	0.6321	No
NM_024098	chr11	+	60366004	60375137	CCDC86	0.5778	0.9369	0.6466	0.4949	0.4324	-0.2592	Yes
NM_012119	chr9	-	89771178	89779487	CCRK	0.1451	0.7455	0.2317	-0.0446	0.0527	-0.0662	Yes
NM_016579	chr19	-	8273010	8279239	CD320	0.3202	0.5817	0.4045	0.4878	0.3898	0.1719	Yes
NM_012099	chr19	+	50601306	50605864	CD3EAP	0.3962	0.3863	0.4114	0.5315	0.4241	0.1591	Yes
NM_152243	chr22	+	36286416	36295356	CDC42EP1	0.4213	0.6169	0.3397	0.1559	0.1343	-0.3614	Yes
NM_003504	chr22	+	17847415	17888135	CDC45L	0.2878	0.22	0.3542	0.4882	0.9014	1.8509	Yes
NM_003503	chr1	+	91738991	91763908	CDC7	0.3662	0.2883	0.3369	0.6727	0.5418	0.2351	Yes
NM_031942	chr2	+	173927806	173941964	CDCA7	0.0446	0.6787	0.6674	0.6903	0.7433	1.0992	Yes
NM_177980	chr20	+	57966876	58021563	CDH26	0.2587	0.7613	1.0751	1.4558	2.1124	2.1526	No
NM_030928	chr16	+	87397686	87403167	CDT1	0.303	0.7857	0.4567	0.4591	0.3575	0.766	Yes
NM_005760	chr2	-	37282278	37312244	CEBPZ	0.675	0.3301	0.1017	0.2298	0.5439	-0.0067	Yes
NM_001408	chr1	+	109594163	109619901	CELSR2	0.0782	0.5425	0.537	1.0202	1.0033	1.3769	Yes
NM_001008708	chr2	+	53848432	53855791	CHAC2	0.4536	0.4279	-0.0029	0.5249	0.6674	1.379	Yes
NM_005441	chr21	+	36679558	36710995	CHAF1B	0.1972	0.2712	0.5348	0.2478	0.4096	0.9631	Yes
NM_144636	chr3	-	14128577	14141372	CHCHD4	0.2558	0.1893	0.3787	0.1097	-0.0886	0.0161	Yes
NM_032343	chr3	+	127905807	128161934	CHCHD6	0.1896	0.6442	0.4433	0.1248	0.3488	-0.0186	Yes
NM_032830	chr16	+	67723999	67760438	CIRH1A	0.1887	0.3309	0.382	0.2135	0.4668	0.3651	Yes
NM_145071	chr3	-	50618889	50624266	CISH	1.5025	1.1914	1.0965	1.0435	1.0899	0.6497	Yes
NM_004143	chrX	-	71438214	71443562	CITED1	0.8791	0.4673	0.509	0.2794	-0.1018	-0.0781	No
NM_133467	chr1	-	41099314	41100605	CITED4	0.3266	0.4793	0.5855	0.3897	0.6531	0.3123	Yes
NM_001285	chr1	+	86707113	86738562	CLCA1	0.1646	0.7282	0.1305	-0.0131	-0.0751	0.247	No
NM_003277	chr22	-	17890546	17892860	CLDN5	0.3471	0.1885	0.3571	-0.1166	-0.0601	-0.019	Yes
NM_006344	chr17	-	6918579	6924324	CLEC10A	0.374	0.5434	0.0453	0.0681	-0.2275	-0.0504	No
NM_006012	chr19	+	6312462	6319915	CLPP	0.2624	0.5177	0.2116	0.0982	-0.0303	0.0934	Yes
NM_181472	chr3	+	32408166	32471337	CMTM7	0.2922	0.588	0.2052	0.1049	0.009	0.0038	No
NM_182553	chr11	+	65802271	65808259	CNIH2	0.2849	0.857	-0.0026	-0.0642	0.1378	-0.0132	Yes
NM_020348	chr10	+	101078845	101144077	CNNM1	0.1882	0.4027	0.3974	0.1217	0.0837	-0.1411	Yes
NM_005076	chr1	+	203278962	203313761	CNTN2	0.4103	0.3449	0.1377	-0.1161	0.1103	-0.0788	No
NM_130445	chr21	+	45649524	45758062	COL18A1	0.1842	0.4273	0.3905	0.4102	0.0217	-0.5447	Yes
NM_144613	chr19	-	60552881	60557994	COX6B2	0.4837	0.2065	0.5304	0.2137	0.2808	-0.1001	No
NM_153635	chr3	+	9720509	9746592	CPNE9	0.2412	0.2249	0.4223	-0.2837	0.2874	-0.1676	No
NM_001081559	chr7	+	98874498	98892932	CPSF4	0.2483	0.3437	0.2336	0.1169	0.0889	-0.129	Yes
NM_001127190	chr15	+	72861477	72882592	CSK	0.5573	0.5674	0.1725	0.0488	0.0768	-0.2153	Yes
NM_014633	chr11	+	10729386	10757866	CTR9	0.8808	-0.1784	0.2133	0.1601	0.1933	0.7348	Yes
NM_001025200	chr16	-	73795494	73798573	CTRB2	0.3993	0.3124	0.0798	0.1387	-0.1478	0.3221	Yes
NM_001909	chr11	-	1730560	1741798	CTSD	0.4581	0.5354	0.648	0.9368	0.8507	1.1221	Yes
NM_017949	chr17	-	53295335	53335749	CUEDC1	-0.0854	0.6909	0.5041	0.797	0.7278	0.3949	Yes
NM_000609	chr10	-	44185610	44200548	CXCL12	0.9681	1.5801	2.4643	2.8557	3.0801	3.4235	Yes
NM_018360	chrX	+	16714480	16770217	CXorf15	0.3407	0.1809	0.3457	0.6719	0.5345	0.2124	Yes
NM_001916	chr8	+	145221947	145224416	CYC1	0.2308	0.355	0.3102	0.1292	0.2259	0.1892	Yes
NM_001128915	chr20	-	52203394	52223923	CYP24A1	2.1074	0.1697	-0.0505	-0.0083	0.1469	-0.35	Yes
NM_000785	chr12	-	56442383	56447243	CYP27B1	0.4051	0.8394	1.0171	0.3707	0.44	0.0498	Yes
NM_001099434	chr1	+	32447281	32454384	DCDC2B	0.5016	0.0563	0.3053	-0.1936	-0.016	0.0284	Yes
NM_014881	chr10	-	115584473	115603849	DCLRE1A	0.1692	0.2799	0.4121	0.4338	0.437	-0.2721	Yes
NM_004398	chr11	+	108041025	108316858	DDX10	0.391	0.2861	0.1612	0.584	0.1673	0.4055	Yes
NM_004728	chr10	+	70385897	70414285	DDX21	0.8614	0.237	0.6948	0.8503	0.9372	-0.1697	Yes
NM_018380	chr16	-	66612674	66615460	DDX28	0.2383	0.3867	0.198	0.0549	0.1534	-0.1349	Yes
NM_005804	chr19	-	14380630	14391171	DDX39	0.2011	0.4261	0.3207	0.2228	0.438	0.546	Yes
NM_020936	chr12	+	122652624	122671435	DDX55	0.3605	0.0385	0.5621	0.2169	0.3818	0.3663	Yes
NM_206918	chr14	-	99682505	99695765	DEGS2	0.5095	0.6096	0.6884	0.5375	0.4482	1.2525	Yes
NM_014856	chr1	-	152168600	152185778	DENND4B	0.7011	0.2992	0.4757	-0.0089	-0.0903	-0.0787	Yes
NM_022783	chr8	+	120955080	121132338	DEPDC6	-0.0414	0.9444	0.9954	1.1132	1.4703	2.7658	Yes
NM_014015	chr16	-	10930248	10943758	DEXI	0.2385	0.5691	0.0318	-0.014	-0.1024	-0.3401	Yes
NM_001360	chr11	-	70823104	70837125	DHCR7	0.3399	0.5615	0.2804	0.295	0.4152	0.5676	Yes
NM_001361	chr16	+	70600143	70616456	DHODH	0.0091	0.468	0.3602	0.5847	0.6574	0.5154	Yes
NM_014681	chr19	+	52544385	52577795	DHX34	0.3215	0.4564	0.1075	0.2575	0.2629	0.0116	Yes
NM_032656	chr12	-	123997324	124039620	DHX37	0.4206	0.8123	0.4862	0.3545	0.2666	-0.1189	Yes
NM_001362	chr14	+	101097440	101099542	DIO3	0.1172	0.7409	0.1792	0.5766	0.1339	0.1831	Yes
NM_001363	chrX	+	153644224	153659157	DKC1	0.1895	0.278	0.6853	0.7507	0.6609	0.4595	Yes
NM_032110	chr1	-	50655813	50661729	DMRTA2	0.3816	0.4816	0.0608	-0.3542	0.0567	-0.137	No
NM_021800	chr10	-	69226432	69267943	DNAJC12	0.0512	0.1387	0.6393	0.414	0.4078	0.8785	Yes
NM_012100	chr2	-	219946423	219960906	DNPEP	0.2335	0.3909	0.2812	0.0701	-0.0341	-0.1663	Yes
NM_014597	chr1	-	94107923	94117330	DNTTIP2	0.5485	0.5339	0.1323	0.4412	0.268	-0.1383	Yes
NM_001381	chr2	+	74635367	74638171	DOK1	0.0238	0.645	0.5762	0.4604	0.2286	0.3394	Yes
NM_173660	chr4	+	3434830	3466007	DOK7	0.7376	0.862	0.8337	0.5132	0.5778	0.8648	Yes
NM_001039589	chr1	+	44208239	44211630	DPH2	0.4378	0.8338	0.4966	0.4735	0.4603	-0.2594	Yes
NM_016448	chr1	+	210275541	210344810	DTL	-0.0269	0.0054	0.8804	0.7752	1.1511	1.9681	Yes
NM_017803	chr16	+	66614704	66670685	DUS2L	0.046	0.4506	0.2965	0.1197	0.1419	0.2678	Yes
NM_003584	chr2	-	73842833	73860792	DUSP11	0.6498	0.0763	0.1925	0.2032	0.3704	0.4529	Yes
NM_004421	chr1	-	1260520	1274355	DVL1	0.1019	0.3607	0.428	0.3099	-0.0174	-0.5524	Yes
NM_006520	chrX	-	37583033	37591833	DYNLT3	0.2636	0.7396	0.5026	0.8856	1.366	0.4013	Yes
NM_005225	chr20	-	31726952	31737871	E2F1	0.2884	0.1448	0.4053	0.355	0.2931	0.1953	Yes
NM_004091	chr1	-	23705508	23730300	E2F2	-0.0194	0.4518	0.5294	0.4409	0.4009	0.3323	Yes
NM_014693	chr3	+	185450138	185493513	ECE2	0.258	0.4603	0.3278	0.1471	0.1977	0.0631	Yes
NM_004280	chr6	-	8024634	8047827	EEF1E1	0.0926	0.4324	0.4358	0.2373	0.7082	0.5542	Yes
NM_004430	chr8	-	22601118	22606760	EGR3	1.2204	0.1334	1.1295	0.8347	1.3674	1.2588	Yes
NM_004095	chr8	+	38007176	38037040	EIF4EBP1	0.1105	0.336	0.3548	0.0179	-0.1661	-0.2712	Yes
NM_017770	chr6	-	11088978	11152610	ELOVL2	0.2252	0.1399	0.972	1.0369	1.3336	1.6841	Yes
NM_021235	chr19	-	16333407	16443762	EPS15L1	0.1316	0.3511	0.3718	0.356	0.4195	0.6412	Yes
NM_005702	chr17	+	24206168	24212198	ERAL1	0.2049	0.5324	0.2785	-0.0725	0.0032	0.0566	Yes
NM_003686	chr1	+	240078157	240119671	EXO1	0.2682	0.2189	0.6336	0.7496	0.8318	1.2136	Yes
NM_019037	chr8	+	145205509	145207539	EXOSC4	0.3393	0.5426	0.3502	0.1211	-0.018	-0.1675	Yes
NM_020158	chr19	-	46584115	46595096	EXOSC5	0.0582	0.2877	0.4617	0.3682	0.6263	0.33	Yes
NM_000505	chr5	-	176761744	176769183	F12	0.0926	0.2485	0.5158	0.2401	0.3261	0.0954	No
NM_001444	chr8	+	82355339	82359563	FABP5	0.2248	0.9031	1.5735	1.6982	2.0065	1.6921	Yes
NM_004265	chr11	+	61352288	61391401	FADS2	0.1986	0.4266	0.2089	0.1409	-0.1349	0.133	No
NM_182705	chr17	-	289998	295959	FAM101B	0.3646	0.2074	0.3677	0.6775	1.1841	1.4145	No
NM_001035254	chr9	-	129742681	129782316	FAM102A	0.9325	0.6306	0.4847	0.4347	0.3906	0.3172	Yes
NM_001002034	chr22	+	40800200	40805388	FAM109B	0.0474	0.4728	0.3302	0.0865	0.12	-0.0539	No
NM_024792	chr17	+	582596	592825	FAM57A	0.1579	0.5312	0.6754	0.3226	0.3923	0.2957	Yes
NM_152274	chrX	-	152506576	152517826	FAM58A	0.1552	0.4806	0.3592	0.1883	0.0483	-0.1255	Yes
NM_021238	chr12	-	31324793	31370388	FAM60A	0.4287	0.2654	0.2866	0.2063	0.1437	0.0464	Yes
NR_003494	chr8	-	12077021	12089033	FAM86B1	0.1192	0.4937	0.3126	0.1967	0.1646	-0.0766	Yes
NM_001099653	chr11	+	71176204	71189928	FAM86C	0.1885	0.4601	0.4119	0.4734	0.1234	0.4521	Yes
NM_004461	chr19	-	12894283	12905558	FARSA	0.2822	0.6757	0.3114	0.2706	0.2667	-0.0608	Yes
NM_015122	chr19	+	17723285	17760377	FCHO1	0.328	0.6454	0.0928	0.1635	-0.0845	0.1149	No
NM_001002901	chr1	+	159959080	159964557	FCRLB	0.195	0.8544	0.0613	-0.0943	-0.2156	0.6041	No
NM_000509	chr4	-	155744735	155753352	FGG	0.4301	0.7187	-0.0053	0.2346	-0.0793	0.0185	No
NM_014344	chr11	+	35596310	35598995	FJX1	0.4792	0.7718	0.8493	0.8558	0.6144	0.0908	Yes
NM_002014	chr12	+	2774368	2784846	FKBP4	0.1655	0.4534	0.521	0.7089	0.8211	1.0564	Yes
NM_032683	chr19	+	18165039	18168550	FKSG24	0.2278	0.6046	0.2967	0.0956	0.2881	-0.098	Yes
NM_025207	chr1	+	153222440	153232211	FLAD1	0.2402	0.6369	0.3003	0.1982	0.1486	-0.1454	Yes
NM_000804	chr11	+	71524418	71528582	FOLR3	0.3148	0.4973	0.4466	-0.1022	0.1391	0.1094	No
NM_005252	chr14	+	74815233	74818688	FOS	0.9291	0.4213	1.1479	1.0611	1.5553	1.8625	Yes
NM_005438	chr11	-	65416267	65424573	FOSL1	0.388	0.322	0.0845	0.242	-0.1964	-0.5888	Yes
NM_004497	chr19	+	51059357	51068895	FOXA3	0.476	0.3472	0.1059	-0.1508	0.5143	-0.0176	Yes
NM_001453	chr6	+	1555679	1559128	FOXC1	0.8282	0.2769	0.5146	0.4511	0.5339	0.7826	Yes
NM_024333	chr19	+	4255590	4274843	FSD1	0.2714	0.6436	0.0285	0.1229	0.5059	0.2135	No
NM_173540	chr10	+	75202054	75205982	FUT11	0.2558	0.3889	0.3309	0.2159	-0.0667	-0.403	Yes
NM_002033	chr11	+	93916664	93922710	FUT4	0.5061	0.2679	0.3164	0.2034	0.372	0.8544	Yes
NM_022003	chr11	-	117212902	117252577	FXYD6	0.5759	0.1545	0.236	-0.3481	0.0381	0.1059	No
NM_080491	chr11	-	77603989	77806414	GAB2	0.7919	0.8657	0.4053	0.2077	-0.024	0.2981	Yes
NM_001037814	chr22	-	15822826	15869112	GAB4	0.0571	0.4391	0.4196	-0.0191	0.0017	0.1875	No
NM_003774	chr12	-	88437320	88442666	GALNT4	0.4173	0.5148	0.6385	1.0864	0.9702	0.9758	Yes
NM_022372	chr16	+	2195450	2199419	GBL	0.2008	0.3302	0.2881	0.0711	-0.1956	-0.0117	Yes
NM_001111270	chr12	+	56290229	56297293	GEFT	0.0602	0.6634	0.1102	-0.0212	0.1531	0.3659	Yes
NM_015721	chr17	-	594410	602251	GEMIN4	0.5479	0.5011	0.7638	0.3383	0.4345	0.3022	Yes
NM_015465	chr5	-	154247168	154297969	GEMIN5	0.3108	0.2658	0.424	0.4671	0.4686	0.5538	Yes
NM_016095	chr16	-	84268781	84280089	GINS2	0.4304	0.1074	0.3614	0.3737	0.2729	0.6304	Yes
NM_001126130	chr16	+	56983798	56997549	GINS3	0.4724	0.0851	0.4685	0.3413	0.6964	1.1789	Yes
NM_000169	chrX	-	100539434	100549657	GLA	0.323	0.3095	0.7338	0.6495	1.1374	2.1936	Yes
NM_024656	chr19	+	17527510	17554965	GLT25D1	0.0936	0.5219	0.3578	0.2907	0.3717	-0.1624	Yes
NM_053004	chr22	-	18155933	18222462	GNB1L	0.3921	0.3938	0.0474	0.0216	0.0026	-0.039	Yes
NM_002075	chr12	+	6819635	6826818	GNB3	0.7019	-5.00E-04	0.3761	0.1348	-0.0872	0.2967	No
NM_033258	chr19	-	51829172	51829779	GNG8	0.1411	0.4249	0.2817	-0.2067	0.0755	0.0406	No
NM_014366	chr3	+	52694975	52703550	GNL3	0.3342	0.0799	0.4347	0.6543	0.7628	-0.3647	Yes
NM_001099743	chr8	-	110655580	110773196	GOLSYN	1.4453	1.0587	1.6305	1.5979	1.4537	2.1371	No
NM_001505	chr7	+	1092968	1099977	GPER	0.6802	-0.0074	0.141	0.0866	0.3959	1.126	Yes
NM_024531	chr8	+	145553032	145555754	GPR172A	0.2769	0.5744	0.3161	0.2239	0.0028	-0.256	Yes
NM_003485	chr14	-	90768628	90789977	GPR68	0.4044	0.49	0.7964	0.2392	0.6467	0.9286	Yes
NM_018485	chr19	+	52532210	52537112	GPR77	0.2086	0.4649	0.3901	0.3901	0.0863	0.3224	Yes
NM_133443	chr16	+	45475808	45522701	GPT2	0.1573	0.2259	0.583	0.2181	0.3709	0.4334	Yes
NM_004810	chr22	+	38627031	38697330	GRAP2	0.3813	0.2778	0.1923	-0.1132	-0.04	-0.0252	No
NM_181711	chr12	+	50687014	50695938	GRASP	0.2066	0.5624	0.3219	-0.0416	-0.0039	-0.1973	No
NM_014668	chr2	+	11591692	11700363	GREB1	0.4726	0.6985	1.0411	1.4546	1.4177	1.6925	Yes
