Genea	Gene name	Up-regulated ( + ) or down-regulated ( - ) in response to AZM (fold)	Protein
PA2830	htpX	6.97E+00	Heat shock protein HtpX
PA2851	efp	4.60E+00	Translation elongation factor P
PA2895		2.70E+00	Hypothetical protein
PA2900		5.85E+00	Probable outer membrane protein precursor
PA2901		1.40E+01	Hypothetical protein
PA3244d	minD	5.71E+00	Cell division inhibitor MinD
PA3262		4.72E+00	Probable peptidyl-prolyl cis-transisomerase, FkbP type
PA3369		6.90E+00	Hypothetical protein
PA3370		6.28E+00	Hypothetical protein
PA3371f		1.15E+01	Hypothetical protein
PA3531	bfrB	4.88E+00	Bacterioferritin B
PA3656	rpsB	4.74E+00	30S ribosomal protein S2
PA3686	adk	5.59E+00	Adenylate kinase
PA3742	rplS	2.88E+00	50S ribosomal protein L19
PA3841b	exoS	9.56E+00	Exoenzyme S
PA3842		1.47E+01	Probable chaperone
PA3976	thiE	7.89E+00	Thiamine-phosphate pyrophosphorylase
PA3988		2.67E+00	Hypothetical protein
PA4004		4.36E+00	Conserved hypothetical protein
PA4006	nadD	4.19E+00	Nicotinic acid mononucleotide adenylyltransferase
PA4059		6.47E+00	Hypothetical protein
PA4114		8.51E+00	Spermidine acetyltransferase
PA4235	bfrA	4.35E+00	Bacterioferritin A
PA4263	rplC	3.56E+00	50S ribosomal protein L3
PA4441		3.18E+00	Hypothetical protein
PA4460		3.56E+00	Conserved hypothetical protein
PA4495		3.45E+00	Hypothetical protein
PA4525	pilA	4.89E+00	Type 4 fimbrial precursor PilA
PA4567	rpmA	5.05E+00	50S ribosomal protein L27
PA4568	rplU	9.85E+00	50S ribosomal protein L21
PA4605		8.72E+00	Conserved hypothetical protein
PA4670	prs	7.09E+00	Ribose-phosphate pyrophosphokinase
PA4671		3.70E+00	Probable ribosomal protein L25
PA4751	ftsH	3.21E+00	Cell division protein FtsH
PA4764	fur	3.06E+00	Ferric uptake regulation protein
PA4765	omlA	8.35E+00	Outer membrane lipoprotein OmlA precursor
PA5130		1.12E+01	Conserved hypothetical protein
PA5191		2.79E+00	Hypothetical protein
PA5316	rpmB	5.23E+00	50S ribosomal protein L28
PA5481c		5.46E+00	Hypothetical protein
PA5482		6.22E+00	Hypothetical protein
PA0139d	ahpC	2.97E+00	Alkyl hydroperoxide reductase subunit C
PA0586		4.61E+00	Conserved hypothetical protein
PA0852d,e	cpbD	3.31E+00	Chitin-binding protein CbpD precursor
PA1048		2.81E+00	Probable outer membrane protein precursor
PA1244		6.62E+00	Hypothetical protein
PA1871e	lasA	8.33E+00	LasA protease precursor
PA2031		3.88E+00	Hypothetical protein
PA2146c		6.30E+00	Conserved hypothetical protein
PA2171c		7.61E+00	Hypothetical protein
PA2190c			Conserved hypothetical protein
PA2259	ptxS	2.93E+00	Transcriptional regulator PtxS
PA2274		2.73E+00	Hypothetical protein
PA2300e	chiC	4.38E+00	Chitinase
PA2564e		3.77E+00	Hypothetical protein
PA2565		3.23E+00	Hypothetical protein
PA3049	rmf	1.25E+01	Ribosome modulation factor
PA3478e	rhlB	4.33E+00	Rhamnosyltransferase chain B
PA3529d		4.86E+00	Probable peroxidase
PA3533		3.98E+00	Conserved hypothetical protein
PA4078f		1.84E+01	Probable nonribosomal peptide synthetase
PA4205	mexG	4.78E+00	Hypothetical protein
PA4206	mexH	3.53E+00	Probable RND efflux membrane fusion protein precursor
PA4236g	katA	1.08E+01	Catalase KatA
PA4306e		3.63E+00	Hypothetical protein
PA4366d,g	sodB	4.42E+00	Superoxide dismutase
PA4377		6.80E+00	Hypothetical protein
PA4385d	groEL	4.07E+00	GroEL protein
PA4386	groES	4.09E+00	GroES protein
PA4611		4.46E+00	Hypothetical protein
