Gene Symbol	Reference Sequence	Probe Name	Log2 Fold Change	P value	Expressio
Efna3	XM_892839	A_51_P186203	-0.81	0.0003	Down-Regulated
Rab3a	NM_009001	A_52_P276397	-0.65	0.0003	Down-Regulated
Klhl24	AK004187	A_52_P168439	-0.72	0.0003	Down-Regulated
Gtl2	AK018142	A_51_P10-9649	-0.95	0.0003	Down-Regulated
Mageh1	NM_023788	A_51_P497692	-0.99	0.0003	Down-Regulated
Plscr2	NM_008880	A_52_P372901	-1.04	0.0003	Down-Regulated
Dner	NM_152915	A_52_P671132	-0.83	0.0004	Down-Regulated
Irak1bp1	NM_022986	A_51_P503345	-0.45	0.0004	Down-Regulated
Aqp1	NM_007472	A_51_P125205	-1.01	0.0006	Down-Regulated
Ppp1r14a	NM_026731	A_51_P432460	-0.64	0.0006	Down-Regulated
Adam11	NM_009613	A_51_P130773	-0.56	0.001	Down-Regulated
Sst	NM_009215	A_51_P262489	-1.03	0.001	Down-Regulated
Ptger3	NM_011196	A_52_P677744	-0.39	0.001	Down-Regulated
Igf2	NM_010514	A_51_P516826	-0.7	0.001	Down-Regulated
Ppara	NM_011144	A_51_P348334	-1.56	0.001	Down-Regulated
