Gene ID	Description	Functional class	Comment	SG enrichment (log2-fold)
AAEL006242	beta chain spectrin	CS		1.061410242
AAEL003615	nervy	CS		1.034037704
AAEL001196	cadherin	CS		1.018755212
AAEL017262	Structural constituent of cuticle	CS		1.018033975
AAEL009793	cuticle protein, putative	CS		1.016547294
AAEL014742	ankyrin 2,3/unc44	CS		1.013999252
AAEL002211	cuticle protein, putative	CS		1.006761635
AAEL000485	paramyosin, putative	CS		0.975577011
AAEL004747	pupal cuticle protein, putative	CS		0.962281654
AAEL006328	conserved hypothetical protein	CS		0.959029114
AAEL006231	paraflagellar rod protein, putative	CS		0.925169968
AAEL013030	hypothetical protein	CS		0.924433621
AAEL007085	adult cuticle protein, putative	CS		0.923570689
AAEL006922	calponin/transgelin	CS		0.900092969
AAEL006154	conserved hypothetical protein	CS		0.898158041
AAEL007439	myosin light chain 1, putative	CS		0.878588265
AAEL001603	integrin alpha-ps	CS		0.87461036
AAEL004176	microtubule binding protein, putative	CS		0.873848061
AAEL004769	pupal cuticle protein, putative	CS		0.864023041
AAEL005801	bifunctional aminoacyl-tRNA synthetase	CS		0.859648924
AAEL008669	conserved hypothetical protein	CS		0.855867767
AAEL012543	myosin motor, putative	CS		0.849907909
AAEL017538	hypothetical protein	CS	chitin-binding domain	0.847047981
AAEL003155	dynein heavy chain	CS		0.843134783
AAEL006933	conserved hypothetical protein	CS		0.839143232
AAEL001269	anion exchange protein 2, slc4a2	CS		0.838239589
AAEL001582	kinesin	CS		0.834057546
AAEL012472	kinesin light chain 1 and	CS		0.83197421
AAEL001477	laminin alpha-1, 2 chain	CS		0.828363233
AAEL002135	tubulin-specific chaperone b (tubulin folding cofactor b)	CS		0.825697843
AAEL004172	tubulin alpha chain	CS		0.817338151
AAEL007299	cadherin, putative	CS		0.81237597
AAEL004440	tubulin-specific chaperone e	CS		0.809635932
AAEL014668	ankyrin 2,3/unc44	CS		0.805831859
AAEL004752	pupal cuticle protein, putative	CS		0.804920227
AAEL008312	hypothetical protein	CS		0.8011048
AAEL008988	adult cuticle protein, putative	CS		0.797250383
AAEL004746	structural contituent of cuticle	CS		0.795484362
AAEL002229	cuticle protein, putative	CS		0.782724242
AAEL012644	conserved hypothetical protein	CS		-5.76889565
AAEL010094	cyclin b	CS		-5.44064558
AAEL013515	pupal cuticle protein, putative	CS		-5.348665596
AAEL002495	conserved hypothetical protein	CS	mucin-like protein	-5.339344719
AAEL000335	lamin	CS		-4.906754628
AAEL004798	conserved hypothetical protein	CS	mucin-like protein	-4.795024666
AAEL017334	conserved hypothetical protein	CS	chitin-binding domain type 2	-3.974416263
AAEL009572	cyclin B3	CS		-3.533885114
AAEL002572	myosin regulatory light chain 2 (mlc-2)	CS		-3.325625193
AAEL011022	cysteinech protein, putative	CS		-3.313281889
AAEL012207	myosin light chain 1, putative	CS		-3.226347328
AAEL004631	actin	CS		-3.097216831
AAEL012840	stathmin	CS		-3.068919103
AAEL010975	paramyosin, long form	CS		-2.970278972
AAEL001928	actin	CS		-2.91325746
AAEL005656	myosin heavy chain, nonmuscle or smooth muscle	CS		-2.866148382
AAEL002759	tropomyosin invertebrate	CS		-2.703158778
AAEL004235	kinesin-like protein Klp10A	CS		-2.686128179
AAEL006701	conserved hypothetical protein	CS		-2.674502328
AAEL012519	actin binding protein, putative	CS		-2.551600539
AAEL008730	anillin/rhotekin (rtkn)	CS		-2.470496264
AAEL006726	innexin	CS		-2.468590886
AAEL008499	rabkinesin-6	CS		-2.318544416
AAEL001673	actin	CS		-2.305626296
AAEL008588	innexin	CS		-2.25895205
AAEL006872	calponin/transgelin	CS		-2.2478783
AAEL004616	actin	CS		-2.168275831
AAEL006953	conserved hypothetical protein	CS		-2.083444911
AAEL013242	microtubule binding protein, putative	CS		-2.016735423
AAEL005733	myosin heavy chain, nonmuscle or smooth muscle	CS		-2.006916137
AAEL005319	myosin light chain kinase	CS		-1.944739012
AAEL008340	cell adhesion molecule	CS		-1.876233116
AAEL005886	angiomotin	CS		-1.808239628
AAEL001605	microtubule binding protein, putative	CS		-1.751577052
AAEL002761	tropomyosin invertebrate	CS		-1.73046585
AAEL007281	stretchin-mlck	CS		-1.68460124
AAEL000346	spastin	CS		-1.675326239
AAEL004936	conserved hypothetical protein	CS		-1.674247236
AAEL001951	actin	CS		-1.654840131
AAEL005009	groucho protein (enhancer of split)	CS		-1.647773938
AAEL013661	actin binding protein, putative	CS		-1.646376529
AAEL000026	dynein light chain, putative	CS		-1.577674563
AAEL003485	adhesion regulating molecule 1 (110 kda cell membrane glycoprotein)	CS		-1.531100325
AAEL014703	hypothetical protein	CS		-1.522150109
AAEL008110	centrosomin (arrow protein)	CS		-1.50565634
AAEL004646	actin	CS		-1.487070534
AAEL009227	kinesin heavy chain	CS		-1.477173023
AAEL009335	adhesion regulating molecule 1 (110 kda cell membrane glycoprotein)	CS		-1.46908018
AAEL004461	lamin, putative	CS		-1.42998712
AAEL002195	conserved hypothetical protein	CS		-1.427088674
AAEL002185	cuticle protein, putative	CS		-1.421398456
AAEL014084	kinesin eg-5	CS		-1.414152826
AAEL001904	arp2/3	CS		-1.396841094
AAEL010942	kinesin-like protein KIF3A	CS		-1.392991134
AAEL000948	membrane, integral membrane	CS		-1.39293351
AAEL005961	actin	CS		-1.354192108
AAEL013229	tubulin alpha chain	CS		-1.35095071
AAEL009219	predicted protein	CS		-1.340595019
AAEL013778	f-actin capping protein alpha	CS		-1.338500384
AAEL012206	microtubule-associated protein tau	CS		-1.29248251
AAEL008303	calponin/transgelin	CS		-1.267984307
AAEL003882	conserved hypothetical protein	CS		-1.214962508
AAEL007898	calmin	CS		-1.194516813
AAEL011334	conserved hypothetical protein	CS		-1.190354176
AAEL012031	conserved hypothetical protein	CS		-1.177149724
AAEL006776	blastoderm specific protein 25D, putative	CS		-1.156262855
AAEL006642	tubulin alpha chain	CS		-1.149379779
AAEL003676	myosin I, putative	CS		-1.14485627
AAEL005084	tubulin beta chain	CS		-1.139016785
AAEL012843	tubulin gamma chain	CS		-1.118886348
AAEL014483	conserved hypothetical protein	CS		-1.114725787
AAEL011897	conserved hypothetical protein	CS		-1.102578591
AAEL007803	lamin b receptor	CS		-1.101085363
AAEL008982	adult cuticle protein, putative	CS		-1.076225739
AAEL011317	actin	CS		-1.074129849
AAEL011154	hypothetical protein	CS		-1.024642269
AAEL005964	actin	CS		-1.019463205
AAEL008869	pupal cuticle protein 78E, putative	CS		-1.001316644
AAEL006179	tubulin alpha chain	CS		-0.97852651
AAEL012641	conserved hypothetical protein	CS		-0.972622095
AAEL013517	pupal cuticle protein 78E, putative	CS		-0.957295006
AAEL004843	actin	CS		-0.936480461
AAEL009467	conserved hypothetical protein	CS		-0.923384359
AAEL011985	conserved hypothetical protein	CS		-0.917452216
AAEL013064	tubulin gamma chain	CS		-0.89692805
AAEL000419	conserved hypothetical protein	CS		-0.871353582
AAEL007306	alpha-actinin	CS		-0.857102417
AAEL008285	pupal cuticle protein, putative	CS		-0.850610903
AAEL012421	cadherin	CS		-0.843729507
AAEL008872	pupal cuticle protein 78E, putative	CS		-0.822638475
AAEL014423	conserved hypothetical protein	CS		-0.820464457
AAEL011905	myosin i	CS		-0.819725865
AAEL013903	gamma-tubulin complex component 2 (gcp-2)	CS		-0.818905473
AAEL007077	integrin beta 1 binding protein (melusin)	CS		-0.803470922
AAEL010655	transmembrane protease, serine	CS		-0.798872039
AAEL009881	dynein heavy chain	CS		-0.781594605
AAEL006408	conserved hypothetical protein	CSR		5.795825064
AAEL002587	odorant-binding protein 56e, putative	CSR		3.029099057
AAEL017449	AaGr42	CSR		2.628697229
AAEL001487	conserved hypothetical protein	CSR		2.492372622
AAEL010418	conserved hypothetical protein	CSR		2.241907967
AAEL007110	odorant receptor 83c, putative	CSR		2.074496704
AAEL017178	odorant receptor	CSR		1.91757259
AAEL015506	odorant receptor 83c, putative	CSR		1.830458374
AAEL011483	odorant-binding protein 50c, putative	CSR		1.806805031
AAEL017432	AaGr70	CSR		1.748506204
AAEL006003	odorant receptor	CSR		1.634465349
AAEL002022	protein serine/threonine kinase, putative	CSR		1.591029351
AAEL017009	odorant receptor	CSR		1.518490785
AAEL002716	conserved hypothetical protein	CSR		1.473000311
AAEL001705	odorant response protein ODR-4, putative	CSR		1.274270757
AAEL013423	conserved hypothetical protein	CSR		1.262310789
AAEL011895	conserved hypothetical protein	CSR		1.260472844
AAEL000846	conserved hypothetical protein	CSR		1.252126913
AAEL007603	odorant-binding protein 56a, putative	CSR		1.219997862
AAEL003311	conserved hypothetical protein	CSR		1.211198488
AAEL002596	odorant-binding protein 56e, putative	CSR		1.203634283
AAEL000831	conserved hypothetical protein	CSR		1.143935545
AAEL005657	conserved hypothetical protein	CSR		1.129054651
AAEL008009	conserved hypothetical protein	CSR		1.11919497
AAEL011571	gustatory receptor 66a	CSR		1.112844434
AAEL011416	conserved hypothetical protein	CSR		1.062991695
AAEL013190	gustatory receptor 28b, putative	CSR		1.04086804
AAEL014431	conserved hypothetical protein	CSR		1.018156188
AAEL008172	conserved hypothetical protein	CSR		1.017955269
AAEL004966	conserved hypothetical protein	CSR		1.000897496
AAEL011491	odorant-binding protein 50d, putative	CSR		0.993595152
AAEL007935	gustatory receptor 28b, putative	CSR		0.985741554
AAEL013420	olfactory receptor, putative	CSR		0.985099287
AAEL008448	conserved hypothetical protein	CSR		0.969886299
AAEL017495	odorant receptor	CSR		0.965602098
AAEL001310	odorant receptor 92a, putative	CSR		0.953570672
AAEL010426	olfactory receptor, putative	CSR		0.940961594
AAEL005999	olfactory receptor, putative	CSR		0.937487219
AAEL016981	odorant receptor	CSR		0.93573045
AAEL017362	odorant receptor	CSR		0.934759766
AAEL008180	conserved hypothetical protein	CSR		0.927506596
AAEL006192	hypothetical protein	CSR		0.923677974
AAEL013418	conserved hypothetical protein	CSR		0.922069829
AAEL008640	conserved hypothetical protein	CSR		0.921929422
AAEL006108	conserved hypothetical protein	CSR		0.889853633
AAEL002034	protein serine/threonine kinase, putative	CSR		0.879261066
AAEL017295	AaGr65	CSR		0.877924028
AAEL005682	protein serine/threonine kinase, putative	CSR		0.869972867
AAEL017548	odorant receptor - partial	CSR		0.86006177
AAEL005772	odorant-binding protein 99c, putative	CSR		0.855136328
AAEL010409	conserved hypothetical protein	CSR		0.840556318
AAEL004730	conserved hypothetical protein	CSR		0.83540456
AAEL007604	odorant-binding protein 56a, putative	CSR		0.835373352
AAEL006387	conserved hypothetical protein	CSR		0.832208161
AAEL000082	Gustatory receptor 64a, putative	CSR		0.832078604
AAEL017138	odorant receptor	CSR		0.830333404
AAEL014430	conserved hypothetical protein	CSR		0.812594771
AAEL017486	AaGr79	CSR		0.811959859
AAEL010874	conserved hypothetical protein	CSR		0.798076214
AAEL017000	odorant receptor - partial	CSR		0.797688852
AAEL000358	hypothetical protein	CSR		0.792059378
AAEL013217	olfactory receptor, putative	CSR		0.790077248
AAEL003593	hypothetical protein	CSR		-3.137900331
AAEL006109	conserved hypothetical protein	CSR		-1.982270726
AAEL002606	odorant-binding protein 56e, putative	CSR		-1.590916583
AAEL010906	conserved hypothetical protein	CSR		-1.429025006
AAEL015567	odorant-binding protein 58c, putative	CSR		-1.211357066
AAEL001969	protein serine/threonine kinase, putative	CSR		-1.038094116
AAEL013719	conserved hypothetical protein	CSR		-1.029987915
AAEL015554	odorant-binding protein 56e, putative	CSR		-0.984901267
AAEL010666	odorant-binding protein 58c, putative	CSR		-0.954454451
AAEL002598	odorant-binding protein 56e, putative	CSR		-0.825104393
AAEL006423	conserved hypothetical protein	DIV		7.993905797
AAEL007420	antithrombin, putative	DIV		7.608575212
AAEL006406	conserved hypothetical protein	DIV		7.506623729
AAEL003053	allergen, putative	DIV		7.297962595
AAEL006347	apyrase, putative	DIV		6.884427371
AAEL003600	conserved hypothetical protein	DIV		6.851273537
AAEL004585	hypothetical protein	DIV		6.777446057
AAEL010235	conserved hypothetical protein	DIV		6.657279133
AAEL009967	conserved hypothetical protein	DIV		6.632913216
AAEL003100	conserved hypothetical protein	DIV		6.503341551
AAEL003584	hypothetical protein	DIV		6.480839233
AAEL009993	conserved hypothetical protein	DIV		6.371598252
AAEL004382	conserved hypothetical protein	DIV		6.354842153
AAEL004353	hypothetical protein	DIV		6.290200458
AAEL011510	multiple inositol polyphosphate phosphatase	DIV		6.279664469
AAEL008310	hypothetical protein	DIV		6.109088907
AAEL011345	conserved hypothetical protein	DIV		6.048319168
AAEL005672	adenosine deaminase	DIV		5.96349035
AAEL000229	conserved hypothetical protein	DIV		5.900636385
AAEL004899	hypothetical protein	DIV		5.785973779
AAEL003057	allergen, putative	DIV		5.766915643
AAEL009992	conserved hypothetical protein	DIV		5.656906439
AAEL010242	conserved hypothetical protein	DIV		5.398601641
AAEL010313	conserved hypothetical protein	DIV		5.375823763
AAEL011599	ADPbosylation factor, putative	DIV		5.350814537
AAEL002834	myo-inositol-1 phosphate synthase	DIV		5.252482017
AAEL004597	conserved hypothetical protein	DIV		5.227591978
AAEL006351	conserved hypothetical protein	DIV		4.929356571
AAEL007780	conserved hypothetical protein	DIV		4.921001311
AAEL009314	adenylate cyclase	DIV		4.852846694
AAEL014643	UDP-sugar transporter UST74c (fringe connection protein), putative	DIV		4.719307209
AAEL007984	conserved hypothetical protein	DIV		4.693705777
AAEL014644	UDP-sugar transporter UST74c (fringe connection protein), putative	DIV		4.605889617
AAEL009158	hypothetical protein	DIV		4.571416132
AAEL014286	myb	DIV		4.39618183
AAEL007374	yellow protein precursor, putative	DIV		4.313128379
AAEL000886	hypothetical protein	DIV		4.273932319
AAEL002656	conserved hypothetical protein	DIV		4.076956132
AAEL011183	conserved hypothetical protein	DIV		4.007386486
AAEL013026	guanylate cyclase	DIV		3.91886499
AAEL000718	virus-induced RNA, putative	DIV		3.820389296
AAEL000541	fasciclin, putative	DIV		3.802187243
AAEL014569	guanylate cyclase	DIV		3.720872588
AAEL007745	hypothetical protein	DIV		3.666425429
AAEL009166	conserved hypothetical protein	DIV		3.467236658
AAEL005957	phospholipase b, plb1	DIV		3.395284243
AAEL006543	conserved hypothetical protein	DIV		3.300423924
AAEL007296	conserved hypothetical protein	DIV		3.267105005
AAEL007316	conserved hypothetical protein	DIV		3.254439232
AAEL011989	signal peptide peptidase	DIV		3.211961918
AAEL002645	mannosyl-oligosaccharide alpha-1,2-mannosidase, putative	DIV		3.18382493
AAEL005270	transferase activty	DIV		3.149998198
AAEL005051	hypothetical protein	DIV		3.125708933
AAEL013254	phosphatidylserine receptor	DIV		3.084586895
AAEL010452	conserved hypothetical protein	DIV		3.070613442
AAEL013029	deoxyribonuclease I, putative	DIV		3.047134378
AAEL010448	conserved hypothetical protein	DIV		3.032661757
AAEL006341	conserved hypothetical protein	DIV		3.024132273
AAEL007846	hypothetical protein	DIV		3.009910973
AAEL002042	deoxyribonuclease I, putative	DIV		2.997324277
AAEL013138	conserved hypothetical protein	DIV		2.982368094
AAEL001335	hypothetical protein	DIV		2.981856695
AAEL004873	conserved hypothetical protein	DIV		2.962736285
AAEL000807	Tetratricopeptide repeat protein, putative	DIV		2.879266046
AAEL004001	conserved hypothetical protein	DIV		2.836282267
AAEL011743	hypothetical protein	DIV		2.798134061
AAEL011900	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, putative	DIV		2.782787971
AAEL005457	conserved hypothetical protein	DIV		2.775257167
AAEL013127	conserved hypothetical protein	DIV		2.76437332
AAEL010198	conserved hypothetical protein	DIV		2.757924269
AAEL005983	hypothetical protein	DIV		2.747563557
AAEL000947	microsomal signal peptidase 23 kd subunit (spc22/23)	DIV		2.738705865
AAEL006102	Gelsolin precursor	DIV		2.711601907
AAEL000876	conserved hypothetical protein	DIV		2.706215881
AAEL014945	conserved hypothetical protein	DIV		2.690816023
AAEL013851	conserved hypothetical protein	DIV	acetyltransferase (GNAT) family domain	2.682546229
AAEL002174	dolichyl-diphosphooligosaccharide protein glycosyltransferase	DIV		2.661984868
AAEL004582	beta-galactosidase	DIV		2.659822692
AAEL011047	zinc finger protein	DIV		2.654492511
AAEL006560	cop-coated vesicle membrane protein P24	DIV		2.648663709
AAEL009492	conserved hypothetical protein	DIV		2.621476622
AAEL003363	phosphatidic acid phosphatase	DIV		2.616554065
AAEL006096	Gelsolin precursor	DIV		2.611146343
AAEL010476	sil1	DIV		2.609989473
AAEL002804	oligosaccharyl transferase	DIV		2.60603035
AAEL008007	conserved hypothetical protein	DIV		2.592769187
AAEL011263	phosphatidylethanolamine-binding protein	DIV		2.592332813
AAEL013005	conserved hypothetical protein	DIV		2.587621854
AAEL009167	bone morphogenetic protein 5/7, bmp5/7	DIV		2.57904535
AAEL009988	hypothetical protein	DIV		2.532323208
AAEL004964	hypothetical protein	DIV		2.509634798
AAEL008942	conserved hypothetical protein	DIV		2.48285466
AAEL002679	hypothetical protein	DIV		2.461484066
AAEL005981	conserved hypothetical protein	DIV		2.442677542
AAEL013214	cgmp-dependent protein kinase	DIV		2.442193338
AAEL010521	ribophorin ii	DIV		2.421763594
AAEL013490	conserved hypothetical protein	DIV		2.418370449
AAEL012083	receptor protein-tyrosine phosphatase 10d	DIV		2.368332198
AAEL006143	conserved hypothetical protein	DIV		2.366263252
AAEL010430	raslated protein, putative	DIV		2.365761057
AAEL001394	conserved hypothetical protein	DIV		2.328213184
AAEL005980	conserved hypothetical protein	DIV		2.327923341
AAEL012487	hypothetical protein	DIV		2.316766033
AAEL011004	hypothetical protein	DIV		2.314240995
AAEL003418	microsomal signal peptidase 25 kda subunit	DIV		2.31381755
AAEL008876	deoxyribonuclease I, putative	DIV		2.310030015
AAEL007286	argininech protein, putative	DIV		2.299627517
AAEL007484	protein transport protein sec23	DIV		2.297154806
AAEL004900	geranylgeranyl pyrophosphate synthase	DIV		2.285665382
AAEL005478	flavohemoprotein B5/b5r	DIV		2.276876601
AAEL009043	conserved hypothetical protein	DIV		2.276080306
AAEL013349	lethal(2)essential for life protein, l2efl	DIV		2.268632165
AAEL013226	conserved hypothetical protein	DIV		2.244504933
AAEL011996	conserved hypothetical protein	DIV		2.237848189
AAEL010965	cubulin	DIV		2.224620468
AAEL014312	cubulin	DIV		2.201776581
AAEL010538	conserved hypothetical protein	DIV		2.195202253
AAEL014853	otoferlin	DIV		2.173999899
AAEL010166	conserved hypothetical protein	DIV		2.158808238
AAEL000931	alkaline phosphatase	DIV		2.155630061
AAEL007802	multicopper oxidase	DIV		2.128722612
AAEL003400	Dual specificity tyrosine-phosphorylationgulated kinase	DIV		2.125964074
AAEL001627	UDP-n-acteylglucosamine pyrophosphorylase	DIV		2.096795596
AAEL007397	ecdysone-induced protein 75b	DIV		2.090258723
AAEL014422	syntrophin	DIV		2.084579799
AAEL006007	conserved hypothetical protein	DIV	putative anti-thrombin, Kazal-type serine protease inhibitor	2.068213063
AAEL015572	ribophorin ii	DIV		2.051472349
AAEL007229	conserved hypothetical protein	DIV		2.04420407
AAEL009868	protein-tyrosine sulfotransferase	DIV		2.043154669
AAEL008489	calcyphosine/tpp	DIV		2.042848702
AAEL008521	conserved hypothetical protein	DIV		2.035782225
AAEL007705	hect E3 ubiquitin ligase	DIV		2.03483184
AAEL000641	protein disulfide isomerase	DIV		2.029587279
AAEL017349	Heat shock cognate 70, putative	DIV		2.029276665
AAEL006685	G-protein, gamma-subunit, putative	DIV		2.015190948
AAEL007828	palmitoyl-protein thioesterase	DIV		2.013263945
AAEL007633	dihydropyrimidinase	DIV		2.008260524
AAEL002387	conserved hypothetical protein	DIV		2.006630133
AAEL000536	conserved hypothetical protein	DIV		2.005875948
AAEL005237	conserved hypothetical protein	DIV		2.001000422
AAEL004697	synoviolin	DIV		1.999975546
AAEL001100	phosphoserine phosphatase	DIV		1.998224887
AAEL011773	calreticulin	DIV		1.993530956
AAEL006304	hypothetical protein	DIV		1.970335461
AAEL013184	conserved hypothetical protein	DIV		1.96588785
AAEL000208	copii-coated vesicle membrane protein P24	DIV		1.960402145
AAEL013071	ribophorin	DIV		1.959985752
AAEL014818	sil1	DIV		1.959579401
AAEL011051	porcupine	DIV		1.930926671
AAEL006967	o-linked n-acetylglucosamine transferase, ogt	DIV		1.925693408
AAEL007073	hypothetical protein	DIV		1.92522026
AAEL002774	slender lobes, putative	DIV		1.921988082
AAEL007261	conserved hypothetical protein	DIV		1.913647413
AAEL001709	adaptin, alpha/gamma/epsilon	DIV		1.910744737
AAEL010676	regulator of g protein signaling	DIV		1.906039599
AAEL009620	hypothetical protein	DIV		1.905990419
AAEL004923	nicotinic acetylcholine receptor, putative	DIV		1.905636094
AAEL008651	conserved hypothetical protein	DIV		1.905190045
AAEL008528	protein tyrosine phosphatase n11 (shp2)	DIV		1.897812392
AAEL004319	epidermal growth factor receptor	DIV		1.897223813
AAEL002701	mannosyltransferase	DIV		1.887412632
AAEL004514	conserved hypothetical protein	DIV		1.864986062
AAEL007991	conserved hypothetical protein	DIV		1.858772442
AAEL010901	mannose binding lectin, putative	DIV		1.857695494
AAEL014042	protein phosphatase pp2a regulatory subunit b	DIV		1.847180385
AAEL002102	conserved hypothetical protein	DIV		1.846835683
AAEL013840	conserved hypothetical protein	DIV		1.836162551
AAEL013979	conserved hypothetical protein	DIV		1.824183246
AAEL003285	translocation associated membrane protein	DIV		1.821854417
AAEL008292	diuretic hormone receptor, putative	DIV		1.821670177
AAEL005458	carnitine o-acyltransferase	DIV		1.81181502
AAEL017204	integral to membrane, cellular component,	DIV		1.808008808
AAEL001521	death executioner Bcl-2, putative	DIV		1.805041593
AAEL009864	conserved hypothetical protein	DIV		1.801763072
AAEL002409	environmental stress-induced protein, putative	DIV		1.798070256
AAEL013853	conserved hypothetical protein	DIV		1.790681126
AAEL000834	dimethylaniline monooxygenase	DIV		1.78923641
AAEL005321	neurexin iv	DIV		1.776000077
AAEL004710	spingomyelin synthetase	DIV		1.76970366
AAEL010065	protein disulfide-isomerase A6 precursor	DIV		1.761380466
AAEL004993	hypothetical protein	DIV		1.7543906
AAEL000308	conserved hypothetical protein	DIV		1.752264173
AAEL007221	brain-specific homeobox protein, putative	DIV		1.74627598
AAEL007455	thrombospondin	DIV		1.743599408
AAEL013085	hypothetical protein	DIV		1.742690283
AAEL011088	conserved hypothetical protein	DIV		1.732415455
AAEL014254	conserved hypothetical protein	DIV		1.73081883
AAEL014537	maltose phosphorylase	DIV		1.729516081
AAEL007500	conserved hypothetical protein	DIV		1.720227434
AAEL003499	calsyntenin-1 precursor	DIV		1.719795362
AAEL001516	vesicle associated protein, putative	DIV		1.719555321
AAEL008032	conserved hypothetical protein	DIV		1.716133432
AAEL011421	multiple inositol polyphosphate phosphatase	DIV		1.693713596
AAEL013102	conserved hypothetical protein	DIV		1.667738166
AAEL014999	conserved hypothetical protein	DIV		1.666459582
AAEL017434	PDIa family, endoplasmic reticulum protein 44 (ERp44)	DIV		1.666449654
AAEL004572	hypothetical protein	DIV		1.652572392
AAEL011065	hypothetical protein	DIV		1.651232044
AAEL014112	hypothetical protein	DIV		1.640826033
AAEL002163	conserved hypothetical protein	DIV		1.638077613
AAEL013535	phosrestin ii (arrestin a) (arrestin 1)	DIV		1.637511978
AAEL000444	UDP-glucose glycoprotein:glucosyltransferase	DIV		1.633674312
AAEL013678	mannosyl-oligosaccharide alpha-1,2-mannosidase	DIV		1.632149538
AAEL004076	ubiquitin-activating enzyme E1	DIV		1.629611319
AAEL007127	conserved hypothetical protein	DIV		1.62618285
AAEL013995	autophagy-specific protein, putative	DIV		1.624904123
AAEL013662	anterior fat body protein	DIV		1.616394001
AAEL000893	sex-determining region y protein, sry	DIV		1.614675016
AAEL008126	conserved hypothetical protein	DIV		1.6134912
AAEL001824	hypothetical protein	DIV		1.611551818
AAEL017185	hypothetical protein	DIV		1.608147873
AAEL004575	beta-galactosidase	DIV		1.606884927
AAEL010844	ubiquitin-conjugating enzyme E2 j2	DIV		1.597593271
AAEL006806	atrial natriuretic peptide receptor	DIV		1.596262443
AAEL006321	1-acylglycerol-3-phosphate acyltransferase	DIV		1.593120676
AAEL001616	vesicular-fusion protein nsf	DIV		1.590062714
AAEL012554	maltose phosphorylase	DIV		1.581304627
AAEL001492	cgmp-dependent 3,5-cyclic phosphodiesterase	DIV		1.570205252
AAEL014279	glycosyltransferase	DIV		1.567740648
AAEL003799	conserved hypothetical protein	DIV		1.563680512
AAEL007670	tiptop	DIV		1.563349873
AAEL007915	moesin/ezrin/radixin	DIV		1.561169034
AAEL007186	conserved hypothetical protein	DIV	structural maintenance of chromosomes (SMC) protein domain	1.559131682
AAEL000962	conserved hypothetical protein	DIV		1.555353916
AAEL011465	conserved hypothetical protein	DIV		1.551177876
AAEL004862	conserved hypothetical protein	DIV		1.550985224
AAEL007293	camp-dependent protein kinase catalytic subunit	DIV		1.550145306
AAEL013078	glycosyltransferase	DIV		1.547371009
AAEL000752	conserved hypothetical protein	DIV		1.545818768
AAEL010834	arf gtpase-activating protein	DIV		1.545504515
AAEL007826	cgmp-dependent protein kinase	DIV		1.544675858
AAEL005218	conserved hypothetical protein	DIV		1.541920739
