TargetID	ProbeID	ACCESSION	GID	SYMBOL	SYNONYM	DEFINITION
ILMN_15972	7200465	NM_003630.1	4505726	PEX3	TRG18	Homo sapiens peroxisomal biogenesis factor 3 (PEX3), mRNA.
ILMN_25637	2850059	NM_021127.1	10863922	PMAIP1	APR; NOXA	Homo sapiens phorbol-12-myristate-13-acetate-induced protein 1 (PMAIP1), mRNA.
ILMN_71954	6220554	AF131784	4406612			Homo sapiens clone 25194 mRNA sequence
ILMN_139166	3420367	NM_000990.2	14141189	RPL27A	MGC87238	Homo sapiens ribosomal protein L27a (RPL27A), mRNA.
ILMN_11767	6420672	NM_001024630.1	66934966	RUNX2	CCD; AML3; CCD1; OSF2; CBFA1; PEA2aA; PEBP2A1; PEBP2A2; PEBP2aA; PEBP2aA1; MGC120022; MGC120023	Homo sapiens runt-related transcription factor 2 (RUNX2), transcript variant 1, mRNA.
ILMN_29382	6250373	NM_006379.2	32307182	SEMA3C	SemE; SEMAE	Homo sapiens sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C (SEMA3C), mRNA.
ILMN_13160	6400161	NM_002639.2	52851464	SERPINB5	PI5; maspin	Homo sapiens serpin peptidase inhibitor, clade B (ovalbumin), member 5 (SERPINB5), mRNA.
ILMN_13147	4070082	NM_198974.1	40068476	PTK9	A6; MGC23788; MGC41876	Homo sapiens PTK9 protein tyrosine kinase 9 (PTK9), transcript variant 2, mRNA.
ILMN_100783	1110291	CR590917	50471724			full-length cDNA clone CS0DJ013YP06 of T cells (Jurkat cell line) Cot 10-normalized of Homo sapiens (human)
ILMN_10494	4200474	NR_001562.1	34304006	ANXA2P1	LPC2A; ANX2L1; ANX2P1	Homo sapiens annexin A2 pseudogene 1 (ANXA2P1) on chromosome 4.
ILMN_10504	7200180	NM_005335.3	37059786	HCLS1	Hs.	Homo sapiens hematopoietic cell-specific Lyn substrate 1 (HCLS1), mRNA.
ILMN_10565	7150048	NM_006350.2	7242223	FST	FS	Homo sapiens follistatin (FST), transcript variant FST317, mRNA.
ILMN_10865	6480204	NM_052911.1	40804767	ESCO1	EFO1; ESO1; KIAA1911; MGC105022; A930014I12Rik	Homo sapiens establishment of cohesion 1 homolog 1 (S. cerevisiae) (ESCO1), mRNA.
ILMN_11101	3390398	NM_002993.2	52851409	CXCL6	GCP2; CKA-3; GCP-2; SCYB6	Homo sapiens chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2) (CXCL6), mRNA.
ILMN_11685	6400072	NM_022805.2	29540552	SNRPN	SMN; SM-D; RT-LI; HCERN3; SNRNP-N; SNURF-SNRPN	Homo sapiens small nuclear ribonucleoprotein polypeptide N (SNRPN), transcript variant 2, mRNA.
ILMN_1228	160142	NM_001750.4	27765082	CAST	BS-17; MGC9402	Homo sapiens calpastatin (CAST), transcript variant 1, mRNA.
ILMN_12321	870070	NM_001025780.1	71051601	C9orf77	CGI-67; RP11-409O11.2	Homo sapiens chromosome 9 open reading frame 77 (C9orf77), transcript variant 2, mRNA.
ILMN_13367	1570358	NM_004929.2	5579451	CALB1	CALB	Homo sapiens calbindin 1, 28kDa (CALB1), mRNA.
ILMN_136938	6290040	XM_938715.1	89028916	HAS2		PREDICTED: Homo sapiens hyaluronan synthase 2 (HAS2), mRNA.
ILMN_14641	3890646	NM_152332.2	31377583	MTAC2D1	Tac2-N; C14orf47; FLJ36557; c14_5695	Homo sapiens membrane targeting (tandem) C2 domain containing 1 (MTAC2D1), mRNA.
ILMN_15228	5260014	NM_152284.3	62526041	CHMP4C	Shax3; MGC22825	Homo sapiens chromatin modifying protein 4C (CHMP4C), mRNA.
ILMN_15867	2650440	NR_002200.1	56912194	FTHL2		Homo sapiens ferritin, heavy polypeptide-like 2 (FTHL2) on chromosome 1.
ILMN_16227	580121	NR_002203.1	56912199	FTHL8		Homo sapiens ferritin, heavy polypeptide-like 8 (FTHL8) on chromosome X.
ILMN_16289	4760338	NM_173060.1	27765084	CAST	BS-17; MGC9402	Homo sapiens calpastatin (CAST), transcript variant 2, mRNA.
ILMN_16343	4210414	NR_002204.1	56912195	FTHL11		Homo sapiens ferritin, heavy polypeptide-like 11 (FTHL11) on chromosome 8.
ILMN_17119	540491	NM_018639.3	32484989	WSB2	SBA2; MGC10210	Homo sapiens WD repeat and SOCS box-containing 2 (WSB2), mRNA.
ILMN_20804	1940672	NM_017667.2	62865870	FLJ20097	FLJ23581; KIAA1861	Homo sapiens hypothetical protein LOC55610, isoform b (FLJ20097), transcript variant 1, mRNA.
ILMN_2087	4610382	NM_015622.5	56699479	C7orf28A	CGI-43; H_DJ1163J12.2	Homo sapiens chromosome 7 open reading frame 28A (C7orf28A), mRNA.
ILMN_21069	2640056	NM_006042.1	5174464	HS3ST3A1	30ST3A1; 3OST3A1	Homo sapiens heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1 (HS3ST3A1), mRNA.
ILMN_22547	4850093	NM_024561.3	33356127	NARG1L	MGC40612; RP11-396A22.1	Homo sapiens NMDA receptor regulated 1-like (NARG1L), transcript variant 1, mRNA.
ILMN_24867	5390326	NM_016090.2	31543547	RBM7	FLJ11153	Homo sapiens RNA binding motif protein 7 (RBM7), mRNA.
ILMN_26971	4200192	NM_019850.1	29789101	NGEF	EPHEXIN	Homo sapiens neuronal guanine nucleotide exchange factor (NGEF), mRNA.
ILMN_28393	6110192	NM_004830.2	28558970	CRSP3	SUR2; MED23; CRSP130; CRSP133; DRIP130; DKFZp434H0117	Homo sapiens cofactor required for Sp1 transcriptional activation, subunit 3, 130kDa (CRSP3), transcript variant 1, mRNA.
ILMN_31166	5310189	XM_934410.1	89042167	LOC643995		PREDICTED: Homo sapiens similar to Importin alpha-2 subunit (Karyopherin alpha-2 subunit) (SRP1-alpha) (RAG cohort protein 1), transcript variant 2 (LOC643995), mRNA.
ILMN_31803	1110670	XM_938419.1	88988248	LOC647908		PREDICTED: Homo sapiens similar to RAS related protein 1b isoform 1 (LOC647908), mRNA.
ILMN_34205	2060307	XM_927480.1	89059711	LOC644310		PREDICTED: Homo sapiens similar to ubiquinol-cytochrome c reductase complex 7.2kDa protein isoform a (LOC644310), mRNA.
ILMN_34544	2350719	XM_371023.4	89041208	LOC388344		PREDICTED: Homo sapiens similar to ribosomal protein L13, transcript variant 1 (LOC388344), mRNA.
ILMN_35014	840450	XM_933946.1	89036619	LOC440145		PREDICTED: Homo sapiens similar to RIKEN cDNA 2410129H14, transcript variant 2 (LOC440145), mRNA.
ILMN_35353	4860273	XM_498704.2	89047266	LOC440498		PREDICTED: Homo sapiens similar to CG5446-PA (LOC440498), mRNA.
ILMN_36674	6330133	XM_939952.1	89030185	LOC648294		PREDICTED: Homo sapiens similar to 60S ribosomal protein L23a (LOC648294), mRNA.
ILMN_37869	6350372	XM_928075.1	89035368	LOC643287		PREDICTED: Homo sapiens similar to prothymosin, alpha (gene sequence 28), transcript variant 1 (LOC643287), mRNA.
ILMN_38437	4780523	XM_938633.1	88970893	LOC649561		PREDICTED: Homo sapiens similar to basic leucine zipper and W2 domains 1 (LOC649561), mRNA.
ILMN_3867	4060674	NM_173842.1	27894318	IL1RN	IRAP; IL1F3; IL1RA; IL-1ra3; ICIL-1RA; MGC10430	Homo sapiens interleukin 1 receptor antagonist (IL1RN), transcript variant 1, mRNA.
ILMN_4190	5390139	NM_001031848.1	73623032	SERPINB8	PI8; CAP2	Homo sapiens serpin peptidase inhibitor, clade B (ovalbumin), member 8 (SERPINB8), transcript variant 3, mRNA.
ILMN_42347	7150471	XM_934365.1	89056804	LOC644330		PREDICTED: Homo sapiens similar to tropomyosin 3 isoform 2, transcript variant 2 (LOC644330), mRNA.
ILMN_506	3450280	NM_152322.2	65786574	BTBD11	FLJ33957; FLJ42845	Homo sapiens BTB (POZ) domain containing 11 (BTBD11), transcript variant 1, mRNA.
ILMN_5333	6960603	NM_025214.1	13376817	CCDC68	SE57-1	Homo sapiens coiled-coil domain containing 68 (CCDC68), mRNA.
ILMN_6148	2000224	NR_001446.1	32171242	ANXA2P3	LIP2; LPC2C; ANX2L3; ANX2P3	Homo sapiens annexin A2 pseudogene 3 (ANXA2P3) on chromosome 10.
ILMN_670	5670382	NM_019022.3	38505221	TXNDC10	TMX3; FLJ20793; KIAA1830	Homo sapiens thioredoxin domain containing 10 (TXNDC10), mRNA.
ILMN_673	6380241	NM_173455.1	47132538	PDE8A	HsT19550	Homo sapiens phosphodiesterase 8A (PDE8A), transcript variant 3, mRNA.
ILMN_7233	7330403	NM_015275.1	40018628	KIAA1033		Homo sapiens KIAA1033 (KIAA1033), mRNA.
ILMN_7357	6620379	NM_173481.2	34222226	C19orf21		Homo sapiens chromosome 19 open reading frame 21 (C19orf21), mRNA.
ILMN_7978	1410131	NM_033083.5	38788179	EAF1		Homo sapiens ELL associated factor 1 (EAF1), mRNA.
ILMN_8265	630180	NM_203446.1	44889476	SYNJ1	INPP5G	Homo sapiens synaptojanin 1 (SYNJ1), transcript variant 2, mRNA.
ILMN_8384	2350324	NM_001198.2	33946272	PRDM1	BLIMP1; PRDI-BF1; MGC118922; MGC118923; MGC118924; MGC118925	Homo sapiens PR domain containing 1, with ZNF domain (PRDM1), transcript variant 1, mRNA.
ILMN_8698	2760411	NM_001031710.1	72534709	KLHL7	KLHL6; SBBI26	Homo sapiens kelch-like 7 (Drosophila) (KLHL7), transcript variant 1, mRNA.
ILMN_9587	4760767	NM_013361.2	33859844	ZNF223		Homo sapiens zinc finger protein 223 (ZNF223), mRNA.
ILMN_11438	5860113	NM_032992.2	73622127	CASP6	MCH2	Homo sapiens caspase 6, apoptosis-related cysteine peptidase (CASP6), transcript variant beta, mRNA.
ILMN_11803	520646	NM_000713.1	4502418	BLVRB	FLR; BVRB; MGC117413	Homo sapiens biliverdin reductase B (flavin reductase (NADPH)) (BLVRB), mRNA.
ILMN_137656	5360603	XM_944915.1	88947652	PTP4A2		PREDICTED: Homo sapiens protein tyrosine phosphatase type IVA, member 2, transcript variant 9 (PTP4A2), mRNA.
ILMN_17726	3870576	NM_030799.6	68131545	YIPF5	SB140; SMAP5; YIP1A; SMAP-5; FinGER5; DKFZp313L2216	Homo sapiens Yip1 domain family, member 5 (YIPF5), transcript variant 2, mRNA.
ILMN_28906	2000706	NM_024713.1	13376012	C15orf29	FLJ22557	Homo sapiens chromosome 15 open reading frame 29 (C15orf29), mRNA.
ILMN_4465	7380451	NM_024594.2	24430178	PANK3	FLJ12899; MGC16863	Homo sapiens pantothenate kinase 3 (PANK3), mRNA.
ILMN_5164	5860523	NM_020774.2	62868229	MIB1	MIB; ZZZ6; DIP-1; ZZANK2; FLJ90676; DKFZp686I0769; DKFZp761M1710	Homo sapiens mindbomb homolog 1 (Drosophila) (MIB1), mRNA.
ILMN_7859	3170079	NM_017933.3	40255259	FLJ20701	HMFN2073	Homo sapiens hypothetical protein FLJ20701 (FLJ20701), mRNA.
ILMN_9314	6550240	NM_020399.2	62868211	GOPC	CAL; FIG; PIST; GOPC1	Homo sapiens golgi associated PDZ and coiled-coil motif containing (GOPC), transcript variant 1, mRNA.
ILMN_11792	380307	NM_005721.3	34452698	ACTR3	ARP3	Homo sapiens ARP3 actin-related protein 3 homolog (yeast) (ACTR3), mRNA.
ILMN_10757	2900170	NM_001675.2	33469975	ATF4	CREB2; TXREB; CREB-2; TAXREB67	Homo sapiens activating transcription factor 4 (tax-responsive enhancer element B67) (ATF4), transcript variant 1, mRNA.
ILMN_22379	6510102	NM_005180.5	39725706	PCGF4	BMI1; RNF51; MGC12685	Homo sapiens polycomb group ring finger 4 (PCGF4), mRNA.
ILMN_137637	6590520	NM_006135.1	5453596	CAPZA1	CAPZ; CAZ1; CAPPA1	Homo sapiens capping protein (actin filament) muscle Z-line, alpha 1 (CAPZA1), mRNA.
ILMN_29871	3130670	NM_012071.2	56676372	COMMD3	BUP; C10orf8; FLJ45471; DKFZp686K0399	Homo sapiens COMM domain containing 3 (COMMD3), mRNA.
ILMN_17166	6130576	NM_001511.1	4504152	CXCL1	GRO1; GROa; MGSA; NAP-3; SCYB1; MGSA-a; MGSA alpha	Homo sapiens chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha) (CXCL1), mRNA.
ILMN_29078	3870309	NM_002089.1	4504154	CXCL2	GRO2; GROb; MIP2; MIP2A; SCYB2; MGSA-b; MIP-2a; CINC-2a; MGSA beta	Homo sapiens chemokine (C-X-C motif) ligand 2 (CXCL2), mRNA.
ILMN_25705	4220209	NM_032325.2	31377655	MGC11102		Homo sapiens hypothetical protein MGC11102 (MGC11102), mRNA.
ILMN_24617	10672	NM_005245.3	75813622	FAT	ME5; FAT1; CDHF7; hFat1	Homo sapiens FAT tumor suppressor homolog 1 (Drosophila) (FAT), mRNA.
ILMN_102737	4040494	AK026373	10439219			Homo sapiens cDNA: FLJ22720 fis, clone HSI14320
ILMN_16546	1030131	NM_005347.2	21361242	HSPA5	BIP; MIF2; GRP78	Homo sapiens heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) (HSPA5), mRNA.
ILMN_20349	580367	NM_004508.2	40018632	IDI1	IPP1; IPPI1	Homo sapiens isopentenyl-diphosphate delta isomerase 1 (IDI1), mRNA.
ILMN_14090	4180601	NM_003870.3	57242794	IQGAP1	SAR1; p195; KIAA0051; HUMORFA01	Homo sapiens IQ motif containing GTPase activating protein 1 (IQGAP1), mRNA.
ILMN_26460	6550204	NM_002245.2	15451900	KCNK1	DPK; HOHO; TWIK1; TWIK-1	Homo sapiens potassium channel, subfamily K, member 1 (KCNK1), mRNA.
ILMN_13743	7560255	NM_015832.3	48255922	MBD2	DMTase; NY-CO-41; DKFZp586O0821	Homo sapiens methyl-CpG binding domain protein 2 (MBD2), transcript variant testis-specific, mRNA.
ILMN_21370	2710414	NM_005949.1	28866946	MT1F	MT1; MGC32732	Homo sapiens metallothionein 1F (functional) (MT1F), mRNA.
ILMN_29967	6040332	NM_004685.2	37537693	MTMR6		Homo sapiens myotubularin related protein 6 (MTMR6), mRNA.
ILMN_25194	3140121	NM_199324.1	40807495	OTUD4	HIN1; HSHIN1; KIAA1046; DKFZp434I0721	Homo sapiens OTU domain containing 4 (OTUD4), transcript variant 1, mRNA.
ILMN_19426	830139	NM_002771.2	21536451	PRSS3	MTG; TRY3; TRY4; PRSS4	Homo sapiens protease, serine, 3 (mesotrypsin) (PRSS3), mRNA.
ILMN_3176	1510523	NM_006601.4	23308578	PTGES3	P23; TEBP	Homo sapiens prostaglandin E synthase 3 (cytosolic) (PTGES3), mRNA.
ILMN_14658	1010332	NM_005610.1	5032026	RBBP4	RBAP48	Homo sapiens retinoblastoma binding protein 4 (RBBP4), mRNA.
ILMN_19558	5700168	NM_003831.2	22325376	RIOK3	SUDD	Homo sapiens RIO kinase 3 (yeast) (RIOK3), transcript variant 1, mRNA.
ILMN_23181	6560114	NM_001003.2	16905511	RPLP1	P1; RPP1; FLJ27448	Homo sapiens ribosomal protein, large, P1 (RPLP1), transcript variant 1, mRNA.
ILMN_24825	5550719	NM_020755.2	34222115	SERINC1	TDE2; TDE1L; TMS-2; KIAA1253	Homo sapiens serine incorporator 1 (SERINC1), mRNA.
ILMN_10490	6900605	NM_006811.2	39812087	SERINC3	TDE; TDE1; AIGP1; TMS-1; DIFF33; SBBI99	Homo sapiens serine incorporator 3 (SERINC3), transcript variant 1, mRNA.
ILMN_14466	5090327	NM_002575.1	4505594	SERPINB2	PAI; PAI2; PAI-2; PLANH2; HsT1201	Homo sapiens serpin peptidase inhibitor, clade B (ovalbumin), member 2 (SERPINB2), mRNA.
ILMN_28255	6940095	NM_003601.2	21071057	SMARCA5	SNF2H; hSNF2H; WCRF135	Homo sapiens SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 (SMARCA5), mRNA.
ILMN_6360	2100048	NM_006670.3	34222307	TPBG	5T4; M6P1; 5T4-AG	Homo sapiens trophoblast glycoprotein (TPBG), mRNA.
ILMN_10929	840386	NM_003366.2	50592987	UQCRC2		Homo sapiens ubiquinol-cytochrome c reductase core protein II (UQCRC2), mRNA.
ILMN_15635	5220053	NM_012479.2	21464100	YWHAG	14-3-3GAMMA	Homo sapiens tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide (YWHAG), mRNA.
ILMN_2971	20019	NM_014415.1	7657702	ZBTB11	ZNF-U69274	Homo sapiens zinc finger and BTB domain containing 11 (ZBTB11), mRNA.
ILMN_10386	2360148	NM_002940.1	4506558	ABCE1	RLI; OABP; ABC38; RNS4I; RNASEL1; RNASELI	Homo sapiens ATP-binding cassette, sub-family E (OABP), member 1 (ABCE1), mRNA.
ILMN_115774	6980253	BG104646	12598492			602311338F1 NIH_MGC_84 Homo sapiens cDNA clone IMAGE:4421145 5, mRNA sequence
ILMN_1203	5360255	NM_178230.1	30102943	PPIAL4	COAS2	Homo sapiens peptidylprolyl isomerase A (cyclophilin A)-like 4 (PPIAL4), mRNA.
ILMN_13392	1770324	NM_014309.1	7657503	RBM9	RTA; HRNBP2	Homo sapiens RNA binding motif protein 9 (RBM9), transcript variant 2, mRNA.
ILMN_138444	5360338	NM_012428.1	6912645	SDFR1	GP55; GP65; SDR1; np55; np65; MGC102805	Homo sapiens stromal cell derived factor receptor 1 (SDFR1), transcript variant beta, mRNA.
ILMN_1396	3060364	NM_005536.2	8393607	IMPA1	IMPA	Homo sapiens inositol(myo)-1(or 4)-monophosphatase 1 (IMPA1), mRNA.
ILMN_14506	7400722	NM_020685.3	34222336	C3orf14	HT021	Homo sapiens chromosome 3 open reading frame 14 (C3orf14), mRNA.
ILMN_1634	1170408	NM_000786.2	13929427	CYP51A1	LDM; CP51; CYP51; CYPL1; P450L1; P450-14DM	Homo sapiens cytochrome P450, family 51, subfamily A, polypeptide 1 (CYP51A1), mRNA.
ILMN_16447	5050075	NR_002205.1	56912200	FTHL12		Homo sapiens ferritin, heavy polypeptide-like 12 (FTHL12) on chromosome 9.
ILMN_16665	6510019	NM_018478.2	56676381	C20orf35	HSMNP1; C20orf169	Homo sapiens chromosome 20 open reading frame 35 (C20orf35), transcript variant 1, mRNA.
ILMN_16906	430010	NR_002190.1	54792770	LOC474338		Homo sapiens SUMO1 pseudogene 3 (LOC474338) on chromosome 1.
ILMN_16913	520292	NM_012153.3	47132617	EHF	ESE3; ESEJ	Homo sapiens ets homologous factor (EHF), mRNA.
ILMN_17238	7510307	NM_001025580.1	70995234	AMMECR1	AMMERC1	Homo sapiens Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region, gene 1 (AMMECR1), transcript variant 2, mRNA.
ILMN_1730	1690431	NM_021183.3	32129208	RAP2C		Homo sapiens RAP2C, member of RAS oncogene family (RAP2C), mRNA.
ILMN_17969	1980600	NM_032361.1	14150170	THOC3	TEX1; MGC5469	Homo sapiens THO complex 3 (THOC3), mRNA.
ILMN_18125	1430731	NM_018181.4	58761526	ZNF532	FLJ10697	Homo sapiens zinc finger protein 532 (ZNF532), mRNA.
ILMN_18957	2370280	NM_032047.3	44680131	B3GNT5	B3GN-T5; beta3Gn-T5	Homo sapiens UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5 (B3GNT5), mRNA.
ILMN_19275	4900288	NM_020854.2	24475647	KIAA1468	HsT885; HsT3308; FLJ33841	Homo sapiens KIAA1468 (KIAA1468), mRNA.
ILMN_20795	380477	NM_001008393.1	56606124	LOC201725		Homo sapiens hypothetical protein LOC201725 (LOC201725), mRNA.
ILMN_21398	2320674	NM_002994.3	41872613	CXCL5	SCYB5; ENA-78	Homo sapiens chemokine (C-X-C motif) ligand 5 (CXCL5), mRNA.
ILMN_21534	3830672	NM_004869.2	17865801	VPS4B	MIG1; SKD1; VPS4-2	Homo sapiens vacuolar protein sorting 4B (yeast) (VPS4B), mRNA.
ILMN_21844	150228	NM_016097.2	32261311	IER3IP1	HSPC039; PRO2309	Homo sapiens immediate early response 3 interacting protein 1 (IER3IP1), mRNA.
ILMN_2247	6550161	NM_000584.2	28610153	IL8	K60; NAF; GCP1; IL-8; LECT; LUCT; NAP1; 3-10C; CXCL8; GCP-1; LYNAP; MDNCF; MONAP; NAP-1; SCYB8; TSG-1; AMCF-I; b-ENAP	Homo sapiens interleukin 8 (IL8), mRNA.
ILMN_24886	2320402	NM_198956.1	39812500	SP8	BTD	Homo sapiens Sp8 transcription factor (SP8), transcript variant 2, mRNA.
ILMN_26643	2370554	NM_080489.2	38044113	SDCBP2	ST-2; SITAC18	Homo sapiens syndecan binding protein (syntenin) 2 (SDCBP2), transcript variant 1, mRNA.
ILMN_28204	7000079	NM_032557.4	31559774	USP38	HP43.8KD; KIAA1891	Homo sapiens ubiquitin specific peptidase 38 (USP38), mRNA.
ILMN_29023	1850465	NM_033280.1	15150808	SEC11L3	SPC21; SPCS4C	Homo sapiens SEC11-like 3 (S. cerevisiae) (SEC11L3), mRNA.
ILMN_2905	7380452	NM_004163.3	21314628	RAB27B		Homo sapiens RAB27B, member RAS oncogene family (RAB27B), mRNA.
ILMN_30715	7550706	XM_938297.1	89025874	LOC402644		PREDICTED: Homo sapiens similar to peptidylprolyl isomerase A isoform 1 (LOC402644), mRNA.
ILMN_32593	5810594	XM_937508.1	89037118	LOC387934		PREDICTED: Homo sapiens similar to Fatty acid-binding protein, epidermal (E-FABP) (Psoriasis-associated fatty acid-binding protein homolog) (PA-FABP) (LOC387934), mRNA.
ILMN_33056	4220273	XM_370611.4	89033788	LOC387753		PREDICTED: Homo sapiens similar to 60S ribosomal protein L21 (LOC387753), mRNA.
ILMN_33765	2750113	XM_926370.1	88943740	LOC642989		PREDICTED: Homo sapiens similar to 40S ribosomal protein S25 (LOC642989), mRNA.
ILMN_34488	6660333	XM_944716.1	88952635	LOC440704		PREDICTED: Homo sapiens hypothetical gene supported by BC042042 (LOC440704), mRNA.
ILMN_35411	770577	XM_930211.1	89036733	LOC220433		PREDICTED: Homo sapiens similar to 40S ribosomal protein S4, X isoform (LOC220433), mRNA.
ILMN_36846	1780377	XM_941189.1	88979746	LOC651919		PREDICTED: Homo sapiens similar to Ras-related C3 botulinum toxin substrate 1 (p21-Rac1) (LOC651919), mRNA.
ILMN_4105	430369	NM_001012968.1	61175214	LOC139886	MGC133224	Homo sapiens hypothetical protein LOC139886 (LOC139886), mRNA.
ILMN_43242	4810609	XM_928068.1	89056828	LOC645001		PREDICTED: Homo sapiens similar to Heterogeneous nuclear ribonucleoprotein A1 (Helix-destabilizing protein) (Single-strand binding protein) (hnRNP core protein A1) (HDP-1) (Topoisomerase-inhibitor suppressed) (LOC645001), mRNA.
ILMN_4359	6510706	NM_138340.3	34304337	ABHD3	LABH3; MGC11259	Homo sapiens abhydrolase domain containing 3 (ABHD3), mRNA.
ILMN_44662	4260576	XM_938755.1	88959178	LOC649682		PREDICTED: Homo sapiens similar to ribosomal protein L31 (LOC649682), mRNA.
ILMN_45490	5290070	XM_935588.1	89027387	LOC641848		PREDICTED: Homo sapiens similar to ribosomal protein S3a (LOC641848), mRNA.
ILMN_46573	4760612	XM_940430.1	89025858	LOC648852		PREDICTED: Homo sapiens hypothetical protein LOC648852 (LOC648852), mRNA.
ILMN_6651	4810246	NM_022831.1	12383075	C1orf80	FLJ12806; FLJ32421; RP11-378J18.7	Homo sapiens chromosome 1 open reading frame 80 (C1orf80), mRNA.
ILMN_7102	730129	NM_002823.2	21359859	PTMA	TMSA; MGC104802	Homo sapiens prothymosin, alpha (gene sequence 28) (PTMA), mRNA.
ILMN_8724	3940551	NM_182896.1	33598955	ARL13B	ARL2L1; MGC120611; MGC120612; DKFZp761H079	Homo sapiens ADP-ribosylation factor-like 13B (ARL13B), transcript variant 1, mRNA.
ILMN_9754	2470114	NM_178154.1	30410723	FUT8	MGC26465	Homo sapiens fucosyltransferase 8 (alpha (1,6) fucosyltransferase) (FUT8), transcript variant 2, mRNA.
ILMN_9848	4120100	NM_001005353.1	53832002	AK3L1	AK3; AK4	Homo sapiens adenylate kinase 3-like 1 (AK3L1), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.
