Gene symbol	Gene ID	Gene description
HCK	3055	Hemopoietic cell kinase
HCLS1	3059	Hematopoietic cell-specific Lyn substrate 1
HHEX	3087	Hematopoietically expressed homeobox
ICK	22858	Intestinal cell (MAK-like) kinase
IL10RA	3587	Interleukin 10 receptor, alpha
IL7R	3575	Interleukin 7 receptor
IRF8	3394	IFN regulatory factor 8
ITGAM	3684	Integrin, alpha  M (complement component 3 receptor 3 subunit)
ITGAX	3687	Integrin, alpha  X (complement component 3 receptor 4 subunit)
LAIR1	3903	Leukocyte-associated Ig-like receptor 1
LCP1	3936	Lymphocyte cytosolic protein 1 (L-plastin)
LGMN	5641	Legumain
LILRA2	11027	Leukocyte Ig-like receptor, subfamily A (with TM domain), member 2
LILRA4	23547	Leukocyte Ig-like receptor, subfamily A (with TM domain), member 4
LILRB4	11006	Leukocyte Ig-like receptor, subfamily B (with TM and ITIM domains), member 4
LOC283713	283713	Hypothetical protein LOC283713
LPXN	9404	Leupaxin
LTB	4050	Lymphotoxin â (TNF superfamily, member 3)
MAG	4099	Myelin associated glycoprotein
MBP	4155	Myelin basic protein
MDM2	4193	Mdm2 p53 binding protein homolog (mouse)
MEI1	150365	Meiosis inhibitor 1
METTL10	399818	Methyltransferase like 10
MITF	4286	Microphthalmia-associated transcription factor
MS4A14	84689	Membrane-spanning 4-domains, subfamily A, member 14
MYL4	4635	Myosin, light chain 4, alkali; atrial, embryonic
NLRC4	58484	NLR family, CARD domain containing 4
NUP50	10762	nucleoporin 50kDa
P2RY12	64805	Purinergic receptor P2Y, G protein coupled, 12
PAQR5	54852	Progestin and adipoQ receptor family member V
PARP8	79668	Poly (ADP ribose) polymerase family, member 8
PDE4A	5141	Phosphodiesterase 4A, cAMP-specific (phosphodiesterase E2 dunce homolog, Drosophila)
PFKFB3	5209	6-Phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
PIK3CG	5294	Phosphoinositide-3-kinase, catalytic, gamma polypeptide
PIK3IP1	113791	Phosphoinositide-3-kinase interacting protein 1
PIP3-E	26034	Phosphoinositide-binding protein PIP3-E
PIP4K2A	5305	Phosphatidylinositol-5-phosphate 4-kinase, type II, alpha
PLAC8	51316	Placenta-specific8
PLEKHO2	80301	Pleckstrin homology domain containing, family O member 2
PRPH2	5961	Peripherin 2 (retinal degeneration, slow)
PSCDBP	9595	Pleckstrin homology, Sec7 and coiled-coil domains, binding protein
PTPN6	5777	Protein tyrosine phosphatase, nonreceptor type 6
QDPR	5860	Quinoid dihydropteridine reductase
RABGEF1	27342	RAB guanine nucleotide exchange factor (GEF) 1
RCSD1	92241	RCSD domain containing 1
RHOF	54509	Ras homolog gene family, member F (in filopodia)
RNASET2	8635	Ribonuclease T2
SELPLG	6404	Selectin P ligand
SEMA4D	10507	Sema domain, Ig domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D
4-Sep	5414	Septin 4
SHISA4	149345	Shisa homolog 4 (Xenopus laevis)
SLA	6503	Src-like-adaptor
SLA2	84174	Src-like-adaptor 2
SLC17A5	26503	Solute carrier family 17 (anion/sugar transporter), member 5
SLC2A5	6518	Solute carrier family 2 (facilitated glucose/fructose transporter), member 5
SLC31A2	1318	Solute carrier family 31 (copper transporters), member 2
SNCA	6622	Synuclein, alpha (non A4 component of amyloid precursor)
STAT4	6775	Signal transducer and activator of transcription 4
SUCNR1	56670	Succinate receptor 1
SUSD3	203328	Sushi domain containing 3
TAGAP	117289	T-cell activation RhoGTPase activating protein
TAX1BP1	8887	Tax1 (human T cell leukemia virus type I) binding protein 1
TFEC	22797	Transcription factor EC
TLR2	7097	Toll-like receptor 2
TLR7	51284	Toll-like receptor 7
TLR8	51311	Toll-like receptor 8
TNFRSF10C	8794	TNF receptor superfamily, member 10c, decoy without an intracellular domain
TNFRSF9	3604	TNF receptor superfamily, member 9
UNC84B	25777	Unc-84 homolog B (C. elegans)
WNT2	7472	Wingless-type MMTV integration site family member 2
XCL1	6375	Chemokine (C motif) ligand 1
