gene_assignment	Gene Symbol	RefSeq	p-value(Dose)	p-value(Scan Date)	alt-splicing(Dose)	step-up(altsplice-dose)	Mean(0)	LSMean(0)	Mean(10)	LSMean(10)	p-value(0 vs. 10)	Ratio(0 vs. 10)	Fold-Change(0 vs. 10)	Fold-Change(0 vs. 10) (Description)
NM_004539 // NARS // asparaginyl-tRNA synthetase // 18q21.2-q21.3 // 4677 /// EN	NARS	NM_004539	0.044667	0.903684	9.36767E-11	8.98947E-08	11.926	11.9483	11.6795	11.6526	0.0270569	1.22751	1.22751	0 up vs 10
NM_012308 // FBXL11 // F-box and leucine-rich repeat protein 11 // 11q13.1 // 22	FBXL11	NM_012308	0.205579	0.283266	1.0057E-10	9.17984E-08	10.0374	10.0533	9.8986	9.9237	0.260227	1.094	1.094	0 up vs 10
NM_003972 // BTAF1 // BTAF1 RNA polymerase II, B-TFIID transcription factor-asso	BTAF1	NM_003972	0.0572409	0.463773	1.26537E-10	1.09658E-07	9.41382	9.44086	9.15185	9.15733	0.0532423	1.21716	1.21716	0 up vs 10
NM_014982 // PCNX // pecanex homolog (Drosophila) // 14q24.2 // 22990 /// ENST00	PCNX	NM_014982	0.110982	0.564712	1.37523E-10	1.13482E-07	10.3538	10.3555	10.0902	10.12	0.170736	1.17735	1.17735	0 up vs 10
NM_004969 // IDE // insulin-degrading enzyme // 10q23-q25 // 3416 /// ENST000002	IDE	NM_004969	0.0305974	0.576846	2.79204E-10	2.19002E-07	10.3046	10.3194	10.0562	10.0612	0.0332281	1.196	1.196	0 up vs 10
NM_000138 // FBN1 // fibrillin 1 // 15q21.1 // 2200 /// ENST00000316623 // FBN1	FBN1	NM_000138	0.361017	0.425801	3.15853E-10	2.37261E-07	12.9567	12.9759	12.8403	12.8567	0.376975	1.08617	1.08617	0 up vs 10
NM_005603 // ATP8B1 // ATPase, class I, type 8B, member 1 // 18q21-q22|18q21.31	ATP8B1	NM_005603	0.0770678	0.74254	3.37092E-10	2.42486E-07	11.2956	11.3173	11.0058	11.0014	0.0704634	1.24484	1.24484	0 up vs 10
NM_002480 // PPP1R12A // protein phosphatase 1, regulatory (inhibitor) subunit 1	PPP1R12A	NM_002480	0.0300677	0.0035894	5.81151E-10	4.01332E-07	10.0777	9.96996	9.65439	9.53493	0.0342988	1.35193	1.35193	0 up vs 10
NM_017944 // USP47 // ubiquitin specific peptidase 47 // 11p15.3 // 55031 /// EN	USP47	NM_017944	0.0972298	0.771823	1.68581E-09	1.12249E-06	9.14669	9.14905	8.86801	8.84974	0.093685	1.23055	1.23055	0 up vs 10
NM_000937 // POLR2A // polymerase (RNA) II (DNA directed) polypeptide A, 220kDa	POLR2A	NM_000937	0.565194	0.0318803	1.80818E-09	1.15766E-06	9.97028	9.92844	10.0055	9.99445	0.318544	0.955277	-1.04682	0 down vs 10
NM_015338 // ASXL1 // additional sex combs like 1 (Drosophila) // 20q11.1 // 171	ASXL1	NM_015338	0.0645991	0.457256	2.11304E-09	1.28624E-06	9.39768	9.3979	9.24154	9.26169	0.117459	1.09901	1.09901	0 up vs 10
NM_014454 // SESN1 // sestrin 1 // 6q21 // 27244 /// ENST00000302071 // SESN1 //	SESN1	NM_014454	0.00022684	0.450206	2.16277E-09	1.28624E-06	7.87993	7.92788	8.94223	8.94446	0.000474496	0.494286	-2.02312	0 down vs 10
NM_001042492 // NF1 // neurofibromin 1 // 17q11.2 // 4763 /// NM_000267 // NF1 /	NF1	NM_001042492	0.0585027	0.161863	5.21303E-09	2.99905E-06	10.0385	10.0523	9.82494	9.86428	0.105767	1.13919	1.13919	0 up vs 10
NM_017553 // INO80 // INO80 homolog (S. cerevisiae) // 15q15.1 // 54617 /// ENST	INO80	NM_017553	0.0280249	0.925186	5.56888E-09	3.10285E-06	8.60584	8.60362	8.42675	8.42664	0.0375731	1.13051	1.13051	0 up vs 10
NM_014941 // MORC2 // MORC family CW-type zinc finger 2 // 22q12.2 // 22880 ///	MORC2	NM_014941	0.0119573	0.900198	6.60685E-09	3.56713E-06	8.98535	8.97414	8.7773	8.78549	0.0250748	1.1397	1.1397	0 up vs 10
NM_002504 // NFX1 // nuclear transcription factor, X-box binding 1 // 9p13.3 //	NFX1	NM_002504	0.108315	0.593796	7.95058E-09	4.07853E-06	9.87771	9.87179	9.75526	9.74775	0.122857	1.08978	1.08978	0 up vs 10
NM_024662 // NAT10 // N-acetyltransferase 10 // 11p13 // 55226 /// ENST000002578	NAT10	NM_024662	0.332694	0.683653	8.02541E-09	4.07853E-06	9.65036	9.64353	9.55198	9.54451	0.356749	1.07105	1.07105	0 up vs 10
NM_003496 // TRRAP // transformation/transcription domain-associated protein //	TRRAP	NM_003496	0.639305	0.627237	1.09681E-08	5.32461E-06	9.06683	9.0571	9.01445	9.00498	0.659896	1.03679	1.03679	0 up vs 10
NM_006763 // BTG2 // BTG family, member 2 // 1q32 // 7832 /// ENST00000290551 //	BTG2	NM_006763	2.21418E-05	0.0238353	1.10546E-08	5.32461E-06	7.41934	7.53042	8.68025	8.72042	5.55635E-05	0.438303	-2.28152	0 down vs 10
NM_001114091 // CDC27 // cell division cycle 27 homolog (S. cerevisiae) // 17q12	CDC27	NM_001114091	0.00211668	0.0394622	1.23749E-08	5.78745E-06	11.08	11.0305	10.5814	10.5313	0.00302008	1.41345	1.41345	0 up vs 10
NM_033632 // FBXW7 // F-box and WD repeat domain containing 7 // 4q31.3 // 55294	FBXW7	NM_033632	0.0373206	0.153423	1.47064E-08	6.68038E-06	8.07562	8.01671	8.75016	8.65674	0.0568604	0.641702	-1.55836	0 down vs 10
NM_078467 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.	CDKN1A	NM_078467	1.08279E-05	0.0138476	1.57216E-08	6.95188E-06	11.0694	11.1851	12.1734	12.1938	3.57742E-05	0.49698	-2.01215	0 down vs 10
NM_021873 // CDC25B // cell division cycle 25 homolog B (S. pombe) // 20p13 // 9	CDC25B	NM_021873	0.184903	0.82971	2.7129E-08	1.16998E-05	9.6942	9.66554	9.3891	9.40112	0.270851	1.20115	1.20115	0 up vs 10
NM_002973 // ATXN2 // ataxin 2 // 12q24.1 // 6311 /// ENST00000377617 // ATXN2 /	ATXN2	NM_002973	0.0295372	0.996571	3.49213E-08	1.46997E-05	9.75183	9.76168	9.47728	9.4676	0.0283237	1.2261	1.2261	0 up vs 10
NM_197960 // DPP8 // dipeptidyl-peptidase 8 // 15q22 // 54878 /// NM_130434 // D	DPP8	NM_197960	0.0446004	0.779253	5.11261E-08	2.10106E-05	9.86485	9.87559	9.62092	9.62085	0.0473062	1.19312	1.19312	0 up vs 10
NM_014669 // NUP93 // nucleoporin 93kDa // 16q13 // 9688 /// ENST00000308159 //	NUP93	NM_014669	0.557041	0.0205993	5.45038E-08	2.18875E-05	10.7062	10.646	10.6223	10.5461	0.510697	1.0717	1.0717	0 up vs 10
NM_004941 // DHX8 // DEAH (Asp-Glu-Ala-His) box polypeptide 8 // 17q21.31 // 165	DHX8	NM_004941	0.074407	0.0845161	7.0701E-08	2.77481E-05	9.97999	9.96984	9.89105	9.87099	0.0636479	1.07092	1.07092	0 up vs 10
NM_031490 // LONP2 // lon peptidase 2, peroxisomal // 16q12.1 // 83752 /// ENST0	LONP2	NM_031490	0.176935	0.20911	7.37102E-08	2.82828E-05	10.6754	10.7032	10.5334	10.5519	0.175182	1.11056	1.11056	0 up vs 10
NM_001042750 // STAG2 // stromal antigen 2 // Xq25 // 10735 /// NM_001042749 //	STAG2	NM_001042750	0.124244	0.191081	8.16171E-08	3.06337E-05	9.23052	9.20266	8.92333	8.86062	0.108825	1.26755	1.26755	0 up vs 10
NM_012426 // SF3B3 // splicing factor 3b, subunit 3, 130kDa // 16q22.1 // 23450	SF3B3	NM_012426	0.452843	0.104138	1.00354E-07	3.67426E-05	11.4297	11.3854	11.3172	11.2698	0.466441	1.08344	1.08344	0 up vs 10
NM_004713 // SDCCAG1 // serologically defined colon cancer antigen 1 // 14q22 //	SDCCAG1	NM_004713	0.255203	0.719792	1.10572E-07	3.91196E-05	9.30643	9.32039	9.06361	9.02349	0.194768	1.22851	1.22851	0 up vs 10
NM_001081550 // THOC2 // THO complex 2 // Xq25-q26.3 // 57187 /// NM_020449 // T	THOC2	NM_001081550	0.0364834	0.0663033	1.10916E-07	3.91196E-05	9.19356	9.15597	8.94014	8.90148	0.0451909	1.19291	1.19291	0 up vs 10
NM_032818 // C9orf100 // chromosome 9 open reading frame 100 // 9p13.3 // 84904	C9orf100	NM_032818	0.393996	0.121766	1.19188E-07	4.11002E-05	7.37361	7.28919	7.21154	7.18661	0.606135	1.07369	1.07369	0 up vs 10
NM_001418 // EIF4G2 // eukaryotic translation initiation factor 4 gamma, 2 // 11	EIF4G2	NM_001418	0.113061	0.0129428	1.67069E-07	5.50653E-05	12.9452	12.9319	12.8516	12.8067	0.053947	1.09072	1.09072	0 up vs 10
NM_031407 // HUWE1 // HECT, UBA and WWE domain containing 1 // Xp11.22 // 10075	HUWE1	NM_031407	0.191681	0.424891	1.68299E-07	5.50653E-05	10.1374	10.1397	10.0402	10.0582	0.293413	1.0581	1.0581	0 up vs 10
NM_001005333 // MAGED1 // melanoma antigen family D, 1 // Xp11.23 // 9500 /// NM	MAGED1	NM_001005333	0.669021	0.905214	1.69373E-07	5.50653E-05	11.3919	11.3985	11.3258	11.3257	0.657486	1.05171	1.05171	0 up vs 10
NM_198839 // ACACA // acetyl-Coenzyme A carboxylase alpha // 17q21 // 31 /// NM_	ACACA	NM_198839	0.369208	0.0154809	1.89916E-07	6.07613E-05	8.80763	8.8688	8.68716	8.76021	0.44252	1.07817	1.07817	0 up vs 10
NM_030674 // SLC38A1 // solute carrier family 38, member 1 // 12q13.11 // 81539	SLC38A1	NM_030674	0.211716	0.34736	2.14274E-07	6.71921E-05	10.5248	10.5663	10.1219	10.1854	0.261429	1.30209	1.30209	0 up vs 10
NM_014706 // SART3 // squamous cell carcinoma antigen recognized by T cells 3 //	SART3	NM_014706	0.671449	0.520195	2.33669E-07	7.21598E-05	9.10433	9.09474	9.14739	9.13374	0.716839	0.973329	-1.0274	0 down vs 10
NM_001128611 // USP8 // ubiquitin specific peptidase 8 // 15q21.2 // 9101 /// NM	USP8	NM_001128611	0.0898127	0.889799	2.42115E-07	7.33175E-05	9.55138	9.5844	9.19842	9.17476	0.0673052	1.32836	1.32836	0 up vs 10
NM_022474 // MPP5 // membrane protein, palmitoylated 5 (MAGUK p55 subfamily memb	MPP5	NM_022474	0.153456	0.57568	2.62488E-07	7.78569E-05	9.43754	9.41657	9.10754	9.08504	0.173916	1.25835	1.25835	0 up vs 10
NM_031459 // SESN2 // sestrin 2 // 1p35.3 // 83667 /// ENST00000253063 // SESN2	SESN2	NM_031459	0.000272771	0.269627	2.66447E-07	7.78569E-05	8.48535	8.51733	9.11808	9.13178	0.000511234	0.653181	-1.53097	0 down vs 10
NM_001039590 // USP9X // ubiquitin specific peptidase 9, X-linked // Xp11.4 // 8	USP9X	NM_001039590	0.116317	0.540222	3.0727E-07	8.83597E-05	11.0511	11.0695	10.7847	10.8009	0.132925	1.20465	1.20465	0 up vs 10
NM_001008938 // CKAP5 // cytoskeleton associated protein 5 // 11p11.2 // 9793 //	CKAP5	NM_001008938	0.0459255	0.00966008	3.74588E-07	0.000106162	10.6638	10.5732	10.3586	10.2968	0.0796072	1.21115	1.21115	0 up vs 10
NM_002205 // ITGA5 // integrin, alpha 5 (fibronectin receptor, alpha polypeptide	ITGA5	NM_002205	0.215725	0.0279132	4.5392E-07	0.000124721	12.1213	12.0854	12.0085	11.9661	0.216884	1.0862	1.0862	0 up vs 10
NM_002956 // CLIP1 // CAP-GLY domain containing linker protein 1 // 12q24.3 // 6	CLIP1	NM_002956	0.0907844	0.632024	4.5545E-07	0.000124721	9.66716	9.69699	9.35672	9.35562	0.0812075	1.26696	1.26696	0 up vs 10
NM_006238 // PPARD // peroxisome proliferator-activated receptor delta // 6p21.2	PPARD	NM_006238	0.108277	0.601176	4.98555E-07	0.000134644	8.91272	8.89915	9.04925	9.04815	0.0997618	0.901873	-1.1088	0 down vs 10
AK127578 // C2orf46 // chromosome 2 open reading frame 46 // 2p25.1 // 339789 //	C2orf46	AK127578	0.107408	0.992712	5.17618E-07	0.000137621	5.38016	5.3738	5.69518	5.70096	0.113917	0.797104	-1.25454	0 down vs 10
NM_001429 // EP300 // E1A binding protein p300 // 22q13.2 // 2033 /// ENST000002	EP300	NM_001429	0.137441	0.75851	5.3643E-07	0.000140245	9.29659	9.27795	9.13087	9.13812	0.226847	1.10178	1.10178	0 up vs 10
NM_005180 // BMI1 // BMI1 polycomb ring finger oncogene // 10p11.23 // 648 /// E	BMI1	NM_005180	0.00931396	0.506898	5.77593E-07	0.000148977	10.0747	10.0758	9.59516	9.55852	0.00852078	1.43125	1.43125	0 up vs 10
NM_015335 // MED13L // mediator complex subunit 13-like // 12q24.21 // 23389 ///	MED13L	NM_015335	0.0330556	0.024368	7.21208E-07	0.000183102	10.5976	10.5572	10.417	10.3888	0.0542459	1.12388	1.12388	0 up vs 10
NM_005406 // ROCK1 // Rho-associated, coiled-coil containing protein kinase 1 //	ROCK1	NM_005406	0.0211428	0.433342	8.01051E-07	0.000200471	10.2886	10.2853	9.83679	9.79311	0.0186945	1.40658	1.40658	0 up vs 10
NM_016281 // TAOK3 // TAO kinase 3 // 12q // 51347 /// ENST00000392533 // TAOK3	TAOK3	NM_016281	0.0665236	0.273903	9.27275E-07	0.000228691	9.26081	9.3093	8.94992	8.96279	0.0559855	1.27148	1.27148	0 up vs 10
NM_007192 // SUPT16H // suppressor of Ty 16 homolog (S. cerevisiae) // 14q11.2 /	SUPT16H	NM_007192	0.243252	0.00308991	9.70424E-07	0.00023481	10.9399	10.8762	10.8088	10.724	0.204733	1.11123	1.11123	0 up vs 10
NM_004685 // MTMR6 // myotubularin related protein 6 // 13q12 // 9107 /// ENST00	MTMR6	NM_004685	0.0176218	0.113147	9.79332E-07	0.00023481	9.92741	9.87401	9.48798	9.44733	0.0263051	1.34413	1.34413	0 up vs 10
NM_014915 // ANKRD26 // ankyrin repeat domain 26 // 10pter-q22.1 // 22852 /// EN	ANKRD26	NM_014915	0.26302	0.814591	1.08298E-06	0.000255487	6.65139	6.64148	6.41898	6.41227	0.295731	1.17219	1.17219	0 up vs 10
NM_015261 // NCAPD3 // non-SMC condensin II complex, subunit D3 // 11q25 // 2331	NCAPD3	NM_015261	0.311001	0.00184663	1.17212E-06	0.000273037	9.34501	9.1893	9.11287	8.93588	0.297887	1.19203	1.19203	0 up vs 10
NM_017612 // ZCCHC8 // zinc finger, CCHC domain containing 8 // 12q24.31 // 5559	ZCCHC8	NM_017612	0.00704147	0.00989448	1.20346E-06	0.000276304	8.44407	8.37386	8.01044	7.9368	0.00925918	1.35384	1.35384	0 up vs 10
NM_018145 // FAM82A2 // family with sequence similarity 82, member A2 // 15q15.1	FAM82A2	NM_018145	0.185833	0.0639682	1.22185E-06	0.000277213	9.43713	9.47032	9.31141	9.34372	0.206909	1.09172	1.09172	0 up vs 10
NM_020841 // OSBPL8 // oxysterol binding protein-like 8 // 12q14 // 114882 /// N	OSBPL8	NM_020841	0.246527	0.637252	1.35452E-06	0.000302768	10.8589	10.9045	10.5379	10.5371	0.213812	1.29005	1.29005	0 up vs 10
NM_020198 // CCDC47 // coiled-coil domain containing 47 // 17q23.3 // 57003 ///	CCDC47	NM_020198	0.0548829	0.800848	1.7168E-06	0.000380804	10.4348	10.4397	10.0971	10.0782	0.0530658	1.28479	1.28479	0 up vs 10
NM_005072 // SLC12A4 // solute carrier family 12 (potassium/chloride transporter	SLC12A4	NM_005072	0.141936	0.0489389	1.84272E-06	0.000401504	9.93699	9.97488	10.1125	10.1623	0.139518	0.878158	-1.13875	0 down vs 10
NM_001031835 // PHKB // phosphorylase kinase, beta // 16q12-q13 // 5257 /// NM_0	PHKB	NM_001031835	0.1478	0.128678	1.85643E-06	0.000401504	10.0917	10.126	9.92849	9.95512	0.152449	1.12573	1.12573	0 up vs 10
NM_013417 // IARS // isoleucyl-tRNA synthetase // 9q21 // 3376 /// NM_002161 //	IARS	NM_013417	0.146204	0.814045	2.46957E-06	0.000526598	12.1505	12.1552	11.986	11.9901	0.166581	1.12128	1.12128	0 up vs 10
NM_004774 // MED1 // mediator complex subunit 1 // 17q12-q21.1 // 5469 /// ENST0	MED1	NM_004774	0.0573235	0.342037	2.75546E-06	0.000581249	9.85783	9.84737	9.70213	9.68724	0.0638362	1.11738	1.11738	0 up vs 10
NM_001008895 // CUL4A // cullin 4A // 13q34 // 8451 /// NM_003589 // CUL4A // cu	CUL4A	NM_001008895	0.0568293	0.74382	2.82308E-06	0.00058673	9.97275	9.98515	9.76554	9.76445	0.0559788	1.1653	1.1653	0 up vs 10
NM_001423 // EMP1 // epithelial membrane protein 1 // 12p12.3 // 2012 /// ENST00	EMP1	NM_001423	0.201168	0.214042	2.8894E-06	0.000594136	11.3384	11.3834	11.1049	11.14	0.208484	1.18374	1.18374	0 up vs 10
NM_032582 // USP32 // ubiquitin specific peptidase 32 // 17q23.2 // 84669 /// NM	USP32	NM_032582	0.0231286	0.0282434	2.97478E-06	0.000598391	9.33516	9.37993	9.0901	9.12811	0.0265913	1.19071	1.19071	0 up vs 10
NM_133375 // DIS3L // DIS3 mitotic control homolog (S. cerevisiae)-like // 15q22	DIS3L	NM_133375	0.103143	0.0569033	2.97793E-06	0.000598391	9.02701	9.08427	8.74095	8.80541	0.129886	1.21324	1.21324	0 up vs 10
NM_003291 // TPP2 // tripeptidyl peptidase II // 13q32-q33 // 7174 /// ENST00000	TPP2	NM_003291	0.0922369	0.199093	3.17177E-06	0.000629227	10.3322	10.3048	10.0868	10.0504	0.0987766	1.19284	1.19284	0 up vs 10
NM_006717 // SPIN1 // spindlin 1 // 9q22.1-q22.3 // 10927 /// ENST00000404529 //	SPIN1	NM_006717	0.0368154	0.633972	3.27963E-06	0.000640872	10.9549	10.9649	10.7197	10.7265	0.0439762	1.17971	1.17971	0 up vs 10
NM_005744 // ARIH1 // ariadne homolog, ubiquitin-conjugating enzyme E2 binding p	ARIH1	NM_005744	0.0137289	0.0405211	3.31484E-06	0.000640872	10.5121	10.5526	10.2569	10.2871	0.0150824	1.20212	1.20212	0 up vs 10
NM_016143 // NSFL1C // NSFL1 (p97) cofactor (p47) // 20p13 // 55968 /// NM_01883	NSFL1C	NM_016143	0.0614329	0.0886678	3.33758E-06	0.000640872	9.8774	9.86213	9.7204	9.68607	0.0503192	1.1298	1.1298	0 up vs 10
NM_002094 // GSPT1 // G1 to S phase transition 1 // 16p13.1 // 2935 /// ENST0000	GSPT1	NM_002094	0.019384	0.0222214	3.51178E-06	0.00066609	11.6724	11.6256	11.3554	11.2935	0.0205072	1.25885	1.25885	0 up vs 10
NM_002827 // PTPN1 // protein tyrosine phosphatase, non-receptor type 1 // 20q13	PTPN1	NM_002827	0.718955	0.4478	3.57173E-06	0.000670112	9.35973	9.38373	9.32396	9.32699	0.592186	1.04011	1.04011	0 up vs 10
NM_018027 // FRMD4A // FERM domain containing 4A // 10p13 // 55691 /// ENST00000	FRMD4A	NM_018027	0.96329	0.227469	3.63276E-06	0.000670552	8.4024	8.45986	8.39081	8.44551	0.957158	1.01	1.01	0 up vs 10
NM_207354 // ANKRD13D // ankyrin repeat domain 13 family, member D // 11q13.1 //	ANKRD13D	NM_207354	0.731307	0.127781	3.64955E-06	0.000670552	7.96851	7.9998	7.93764	7.95802	0.661949	1.02938	1.02938	0 up vs 10
NM_000123 // ERCC5 // excision repair cross-complementing rodent repair deficien	ERCC5	NM_000123	0.178676	0.739637	3.85823E-06	0.000701667	9.36847	9.38481	9.04022	9.05116	0.195668	1.2602	1.2602	0 up vs 10
NM_018200 // HMG20A // high-mobility group 20A // 15q24 // 10363 /// ENST0000038	HMG20A	NM_018200	0.0435755	0.0451482	3.91382E-06	0.000703352	8.6367	8.69461	8.42922	8.44399	0.0255427	1.18972	1.18972	0 up vs 10
NM_018259 // TTC17 // tetratricopeptide repeat domain 17 // 11p12-p11.2 // 55761	TTC17	NM_018259	0.311919	0.647433	3.97991E-06	0.000708563	9.28579	9.30606	9.11832	9.12419	0.301161	1.13436	1.13436	0 up vs 10
NM_130839 // UBE3A // ubiquitin protein ligase E3A // 15q11-q13 // 7337 /// NM_0	UBE3A	NM_130839	0.0162038	0.223586	4.15215E-06	0.000726666	9.84152	9.81911	9.52914	9.50262	0.0200931	1.2453	1.2453	0 up vs 10
NM_015157 // PHLDB1 // pleckstrin homology-like domain, family B, member 1 // 11	PHLDB1	NM_015157	0.634784	0.228335	4.16736E-06	0.000726666	9.64844	9.67629	9.58006	9.61579	0.691417	1.04282	1.04282	0 up vs 10
NM_000021 // PSEN1 // presenilin 1 // 14q24.3 // 5663 /// ENST00000324501 // PSE	PSEN1	NM_000021	0.870788	0.38607	4.21252E-06	0.000726666	10.3338	10.35	10.3225	10.3281	0.766191	1.01529	1.01529	0 up vs 10
NM_020336 // KIAA1219 // KIAA1219 // 20q11.23 // 57148 /// ENST00000262879 // KI	KIAA1219	NM_020336	0.678752	0.270311	4.2531E-06	0.000726666	10.3285	10.3552	10.2802	10.3004	0.658223	1.03871	1.03871	0 up vs 10
NM_004521 // KIF5B // kinesin family member 5B // 10pter-q22.1 // 3799 /// ENST0	KIF5B	NM_004521	0.216936	0.129565	4.38981E-06	0.000743244	10.8346	10.8026	10.6451	10.5929	0.199291	1.15646	1.15646	0 up vs 10
NM_001079673 // FNDC3A // fibronectin type III domain containing 3A // 13q14.2 /	FNDC3A	NM_001079673	0.117118	0.201952	4.46945E-06	0.000749441	9.97071	9.91639	9.56463	9.50492	0.132177	1.33003	1.33003	0 up vs 10
NM_021931 // DHX35 // DEAH (Asp-Glu-Ala-His) box polypeptide 35 // 20q11.22-q12	DHX35	NM_021931	0.103393	0.401928	4.66902E-06	0.000775445	8.80339	8.82551	8.62344	8.6322	0.0996583	1.14338	1.14338	0 up vs 10
NM_001166 // BIRC2 // baculoviral IAP repeat-containing 2 // 11q22 // 329 /// EN	BIRC2	NM_001166	0.0853963	0.0600826	4.73745E-06	0.000779572	10.7896	10.6958	10.3713	10.3006	0.119344	1.31518	1.31518	0 up vs 10
NM_006591 // POLD3 // polymerase (DNA-directed), delta 3, accessory subunit // 1	POLD3	NM_006591	0.0960233	0.00529596	4.84238E-06	0.000788509	8.62074	8.50558	8.17884	7.98696	0.0698701	1.43259	1.43259	0 up vs 10
NM_007190 // SEC23IP // SEC23 interacting protein // 10q25-q26 // 11196 /// ENST	SEC23IP	NM_007190	0.044602	0.303962	4.89846E-06	0.000790823	10.7583	10.779	10.5672	10.5782	0.0462486	1.14934	1.14934	0 up vs 10
NM_022118 // RBM26 // RNA binding motif protein 26 // 13q31.1 // 64062 /// ENST0	RBM26	NM_022118	0.0495048	0.0506204	5.04314E-06	0.000805887	8.9436	8.90033	8.67206	8.6199	0.0545805	1.21456	1.21456	0 up vs 10
