Agilent Probe ID	Accession Number	Gene Symbol	Correlation to Stationary Signature Proband ( R )	# of Down Regulated Cell lines	% of Down regulated Cell lines	CellLine Log2(Rim/Core) G112MS	CellLine Log2(Rim/Core) G120	CellLine Log2(Rim/Core) GH3	CellLine Log2(Rim/Core) GH4	CellLine Log2(Rim/Core) GH6	CellLine Log2(Rim/Core) SF763	CellLine Log2(Rim/Core) SF767	CellLine Log2(Rim/Core) T98G	CellLine Log2(Rim/Core) U87EGFR	CellLine Log2(Rim/Core) U87
A_23_P170839	NM_004404	NEDD5	0.827	6	60%	-0.173	0.123	-0.526	0.131	-0.252	-0.202	-0.151	-0.041	0.197	0.013
A_23_P110961	NM_016098	BRP44L	0.827	7	70%	-0.5	-0.191	-0.542	-0.034	0.157	0.009	-0.477	-0.15	-0.135	0.104
A_23_P121527	AK001698	AK001698	0.826	8	80%	-0.751	-0.165	-1.524	0.203	-0.201	-0.051	0.112	-0.089	-0.033	-0.309
A_23_P45059	NM_001380	DOCK1	0.825	7	70%	-0.596	-0.049	-0.321	-0.125	0.061	0.02	-0.069	-0.396	-0.423	0.007
A_24_P417281	NM_019022	NM_019022	0.824	7	70%	-0.31	0.386	-0.413	0.539	-0.295	-0.245	-0.276	-0.206	0.082	-0.04
A_32_P186865	THC1510047	THC1510047	0.824	8	80%	-0.715	-1.217	-0.601	0.283	-0.05	0.108	-0.211	-0.605	-0.03	-0.19
A_32_P131342	THC1562600	THC1562600	0.823	7	70%	-1.319	0.219	-1.042	0.071	-0.191	0.252	-0.698	-0.229	-0.226	-0.254
A_24_P64362	AK000161	AK000161	0.823	8	80%	-0.22	-0.062	-0.476	0.392	-0.341	-0.473	-0.2	-0.458	0.316	-0.336
A_24_P620456	AK024921	AK024921	0.823	7	70%	-0.26	0.063	-1.214	-0.161	-0.565	-0.218	-0.122	0.124	-0.464	0.022
A_23_P154306	NM_004180	TANK	0.822	5	50%	0.101	-0.032	-0.5	0.178	0.234	0.152	-0.132	-0.226	-0.018	0.092
A_23_P150281	AK096176	AK096176	0.822	6	60%	-0.199	-0.049	0.073	0.095	-0.174	0.095	-0.299	-0.246	0.108	-0.045
A_24_P921103	AK057576	AK057576	0.821	4	40%	0.445	0.297	0.121	0.401	-0.25	0.038	-0.574	0.113	-0.815	-0.189
A_24_P273972	NM_000186	HF1	0.821	6	60%	0.047	-0.27	-0.749	0.046	-0.724	-0.151	0.2	-0.088	-0.391	0.229
A_23_P44466	NM_024781	NM_024781	0.82	9	90%	-0.207	-0.546	-0.439	-0.636	-0.47	-0.08	0.707	-0.506	-0.556	-0.504
A_24_P141804	I_944110	I_944110	0.82	8	80%	-0.626	-0.122	-0.01	-0.044	-0.187	0.007	-0.384	-0.233	-0.113	0.035
A_24_P213284	ENST00000332161	ENST00000332161	0.82	9	90%	-0.099	0.13	-0.271	-0.139	-0.008	-0.033	-0.275	-0.392	-0.238	-0.139
A_23_P16834	NM_022823	NM_022823	0.82	5	50%	0.196	-0.268	-0.617	0.09	0.116	-0.001	0.312	-0.239	-0.466	0.041
A_24_P310946	NM_007357	COG2	0.82	7	70%	-0.943	-0.452	-1.383	0.424	-0.571	0.003	-0.048	-0.894	-0.159	0.011
A_23_P368145	NM_152281	NM_152281	0.819	6	60%	-1.007	-0.002	-0.348	0.053	-0.156	0.053	0.25	-0.496	-0.739	0.014
A_23_P18931	U31520	U31520	0.819	7	70%	-0.758	0.321	0.056	-0.268	0.406	-0.237	-0.328	-0.003	-0.112	-0.033
A_23_P71440	NM_016099	NM_016099	0.817	5	50%	-0.432	0.044	-0.606	0.062	0.091	-0.099	-0.737	0.014	0.234	-0.054
A_23_P29036	NM_005534	IFNGR2	0.817	6	60%	0.607	0.051	-1.03	0.794	-0.35	-0.223	-0.158	-0.518	-0.246	0.099
A_23_P79231	NM_134442	CREB1	0.817	8	80%	-0.129	-0.039	-0.57	-0.131	0.016	0.29	-0.377	-0.4	-0.061	-0.058
A_23_P107412	NM_000918	P4HB	0.817	5	50%	0.408	0.055	-0.075	0.807	-0.102	0.112	-0.85	-0.425	0.265	-0.28
A_23_P217958	NM_033497	HK1	0.816	4	40%	0.27	0.267	0.07	0.269	-0.124	0.112	-1.146	-0.254	0.046	-0.507
A_23_P332960	NM_174940	NM_174940	0.816	10	100%	-0.474	-0.131	-0.805	-0.43	-0.299	-0.122	-0.238	-0.706	-0.11	-0.041
A_23_P206310	NM_014732	NM_014732	0.816	8	80%	-0.628	-0.552	-0.12	-0.174	-0.231	0.204	-0.543	-0.869	0.119	-0.206
A_23_P135437	AF380839	AF380839	0.816	9	90%	-0.025	-0.279	-0.79	0.028	-0.025	-0.186	-0.22	-0.508	-0.04	-0.719
A_24_P72064	NM_000163	GHR	0.815	5	50%	0.15	-0.187	-0.765	0.624	-0.074	0.214	-0.211	0.088	-0.408	0.119
A_24_P18146	NM_015310	NM_015310	0.814	7	70%	-0.026	0.002	-0.87	-0.257	-0.017	0.438	0.081	-0.845	-0.219	-0.087
A_23_P46149	NM_003272	TM7SF1	0.814	7	70%	-0.456	-0.487	-0.27	0	0.023	-0.312	0.224	-0.424	-0.145	0.182
A_32_P96807	BX537597	BX537597	0.814	7	70%	-0.16	0.005	-0.631	0.277	0.075	-0.24	-0.141	-0.671	-0.179	-0.274
A_23_P118	NM_001439	EXTL2	0.813	5	50%	-0.292	-0.009	-0.392	0.41	0.206	-0.017	0.137	-0.14	0.18	0.244
A_24_P780052	I_1998698	I_1998698	0.813	4	40%	0.152	0.17	-0.14	0.682	-0.193	0.039	-0.289	0.209	0.299	-0.085
A_23_P84350	NM_024596	NM_024596	0.813	5	50%	-0.176	0.072	-0.364	0.159	-0.092	0.001	-0.255	-0.12	0.044	0.217
A_32_P472968	AL117598	AL117598	0.813	8	80%	-0.24	-0.075	-0.03	-0.016	-0.005	-0.16	0.088	0.031	-0.098	-0.063
A_23_P371966	AB075826	AB075826	0.812	9	90%	-1.224	-1.037	-1.022	-0.203	-0.3	-1.018	0.063	-0.354	-0.083	-0.011
A_23_P201628	NM_002293	LAMC1	0.812	9	90%	-0.128	-0.355	-0.915	0.009	-0.073	-0.188	-0.141	-0.146	-0.894	-0.14
A_24_P243347	NM_013283	MAT2B	0.812	9	90%	-0.825	-0.334	-0.574	-0.313	-0.205	-0.375	-0.738	-0.243	0.152	-0.221
A_23_P255257	NM_015397	KIAA1892	0.81	5	50%	-0.34	-0.073	0.135	0.016	-0.05	0.22	0.07	-0.027	-0.164	0.015
A_23_P71752	NM_006007	ZNF216	0.81	9	90%	-0.063	-1.07	-0.322	0.177	-0.296	-0.043	-0.698	-1.004	-0.155	-0.16
A_23_P423864	NM_004427	PHC2	0.809	9	90%	-0.206	-0.191	-0.375	-0.215	-0.253	-0.019	0.003	-0.272	-0.397	-0.43
A_32_P165477	BC041925	BC041925	0.809	5	50%	0.499	-0.501	-0.812	0.223	-0.238	0.036	-1.068	0.222	0.128	-0.274
A_23_P420361	NM_018462	NM_018462	0.809	6	60%	0.064	-0.146	-0.036	0.141	-0.012	0.044	-0.009	-0.241	0.082	-0.027
A_23_P90357	I_966337	I_966337	0.808	2	20%	0.006	0.009	-0.008	0.114	0.047	0.059	0.089	0.093	-0.119	0.131
A_23_P202939	NM_001642	APLP2	0.808	9	90%	0.438	-0.501	-0.317	-0.047	-0.641	-0.548	-0.142	-0.381	-0.056	-0.001
A_24_P721898	AK091287	AK091287	0.808	8	80%	-0.277	-0.164	-0.699	0.027	0.209	-0.162	-0.51	-0.28	-0.133	-0.234
A_24_P362100	I_928521	I_928521	0.808	9	90%	-0.204	-0.219	-0.422	-0.308	0.092	-0.29	-0.042	-0.256	-0.633	-0.006
A_24_P354900	AK098194	AK098194	0.808	5	50%	0.02	0.257	-0.419	0.395	0.067	0.166	-0.335	-0.075	-0.158	-0.205
A_23_P205549	NM_145113	MAX	0.807	7	70%	0.156	-0.027	-0.276	-0.037	-0.227	0.22	-0.248	-0.031	-0.124	0.162
A_23_P202219	NM_015916	NM_015916	0.807	8	80%	-0.08	-0.342	-1.348	0.302	-0.565	-0.188	0.162	-0.341	-0.352	-0.291
A_24_P402495	NM_015017	USP33	0.806	7	70%	-0.036	-0.226	-0.487	0.144	0.058	-0.035	-0.017	-0.361	-0.001	0.183
A_24_P820037	AK054687	AK054687	0.806	7	70%	0.037	0.061	-0.005	0.27	-0.128	-0.013	-0.058	-0.045	-0.093	-0.005
A_23_P501547	NM_015270	ADCY6	0.806	5	50%	0.277	-0.016	-0.178	0.162	-0.204	0.197	0.054	-0.059	-0.337	0.281
A_23_P211244	NM_001535	HRMT1L1	0.805	8	80%	-0.327	-0.027	-0.847	0.205	0.158	-0.307	-0.441	-0.226	-0.019	-0.113
A_23_P204016	U07139	U07139	0.805	8	80%	-0.428	-0.709	-0.423	-0.005	0.036	-0.121	-0.64	-0.575	-0.228	0.029
A_23_P8281	I_966769	I_966769	0.804	7	70%	0.241	-0.155	-0.769	-0.629	-0.487	0.143	-0.694	-0.45	-0.073	0.368
A_23_P434268	NM_015018	KIAA1117	0.804	9	90%	-0.17	-0.131	-0.21	-0.193	-0.139	-0.261	-0.243	-0.13	-0.187	0.005
A_32_P219460	THC1564329	THC1564329	0.804	7	70%	0.122	-0.455	-1.23	-0.145	-1.085	-0.195	0.481	-1.097	-0.061	0.021
A_24_P260440	AK055669	AK055669	0.803	3	30%	0.229	0.477	-0.48	0.503	0.141	-0.107	0.123	0.067	0.854	-0.2
A_23_P65651	NM_004184	WARS	0.803	7	70%	0.411	-0.497	-0.478	0.484	-0.241	0.11	-0.35	-0.09	-0.142	-0.368
A_32_P74477	THC1518444	THC1518444	0.803	2	20%	0.15	0.297	-0.83	0.158	0.415	0.033	0.005	-0.029	0.172	0.463
A_24_P282108	AB007859	AB007859	0.803	7	70%	0.025	-0.236	-0.483	-0.081	-0.074	0.131	-0.277	-0.325	-0.073	0.19
A_23_P255663	I_1100466	I_1100466	0.803	4	40%	-0.531	0.049	-0.616	0.162	0.03	0.019	-0.058	-0.227	0.222	0.149
A_23_P209183	NM_024656	NM_024656	0.803	4	40%	-0.252	-0.021	0.109	0.049	-0.108	0.085	-0.011	0.086	0.03	0.076
A_24_P156501	NM_024007	EBF	0.803	6	60%	-0.555	-0.141	-1.455	0.501	-0.099	0.203	0.659	-0.109	-0.742	0.009
A_23_P170273	NM_014933	NM_014933	0.802	7	70%	-0.036	-0.177	0.012	0.067	-0.334	-0.267	0.042	-0.358	-0.27	-0.222
A_23_P148959	NM_032027	NM_032027	0.802	9	90%	-0.282	-0.247	-0.294	-0.103	-0.113	-0.218	-0.005	-0.333	0.168	-0.123
A_24_P240137	NM_004487	GOLGB1	0.801	6	60%	0.065	-0.548	-0.406	0.325	-0.604	0.026	-0.16	-0.806	0.221	-0.258
A_32_P330000	AK023424	AK023424	0.801	5	50%	0.133	0.456	-1.707	0.163	-0.139	0.216	-0.438	-0.433	-0.357	0.329
A_23_P258190	NM_001628	AKR1B1	0.801	10	100%	-0.01	-0.324	-0.405	-0.06	-0.417	-0.028	-0.711	-0.825	-0.139	-0.564
A_24_P41021	BC030611	BC030611	0.801	6	60%	-0.675	-0.232	-0.583	0.126	-0.266	0.039	-0.489	-0.514	0.026	0.371
A_23_P136693	AL832747	AL832747	0.801	8	80%	-0.245	-0.36	-0.72	0.1	-0.16	-0.108	-0.591	-0.123	0.214	-0.105
A_23_P334021	NM_000876	IGF2R	0.801	7	70%	-0.496	-0.447	-1.183	0.334	-0.186	-0.28	-0.207	-1.287	0.27	0.331
A_23_P131417	NM_005336	HDLBP	0.8	5	50%	0.269	0.045	-0.48	0.719	-0.069	0.044	-0.479	-0.761	0.173	-0.511
