ID	Symbol	EntrezGeneName	Location
209581_at	PLA2G16	phospholipaseA2,groupXVI	Nucleus
204835_at	POLA1	polymerase(DNAdirected),alpha1,catalyticsubunit	Nucleus
209632_at	PPP2R3A	proteinphosphatase2(formerly2A),regulatorysubunitB,alpha	Nucleus
203529_at	PPP6C	proteinphosphatase6,catalyticsubunit	Nucleus
207401_at	PROX1	prosperohomeobox1	Nucleus
209162_s_at	PRPF4	PRP4pre-mRNAprocessingfactor4homolog(yeast)	Nucleus
209161_at	PRPF4	PRP4pre-mRNAprocessingfactor4homolog(yeast)	Nucleus
210832_x_at	PTGER3	prostaglandinEreceptor3(subtypeEP3)	PlasmaMembrane
208131_s_at	PTGIS	prostaglandinI2(prostacyclin)synthase	Cytoplasm
204201_s_at	PTPN13	proteintyrosinephosphatase,non-receptortype13(APO-1/CD95(Fas)-associatedphosphatase)	Cytoplasm
203329_at	PTPRM	proteintyrosinephosphatase,receptortype,M	PlasmaMembrane
200677_at	PTTG1IP	pituitarytumor-transforming1interactingprotein	Nucleus
206499_s_at	RCC1(includesEG:1104)	regulatorofchromosomecondensation1	Nucleus
208492_at	RFXAP	regulatoryfactorX-associatedprotein	Nucleus
200012_x_at	RPL21(includesEG:6144)	ribosomalproteinL21	Cytoplasm
200933_x_at	RPS4X	ribosomalproteinS4,X-linked	Cytoplasm
201585_s_at	SFPQ	splicingfactorproline/glutamine-rich(polypyrimidinetractbindingproteinassociated)	Nucleus
204688_at	SGCE	sarcoglycan,epsilon	PlasmaMembrane
209402_s_at	SLC12A4	solutecarrierfamily12(potassium/chloridetransporters),member4	PlasmaMembrane
204394_at	SLC43A1	solutecarrierfamily43,member1	PlasmaMembrane
205398_s_at	SMAD3	SMADfamilymember3	Nucleus
204240_s_at	SMC2	structuralmaintenanceofchromosomes2	Nucleus
205443_at	SNAPC1	smallnuclearRNAactivatingcomplex,polypeptide1,43kDa	Nucleus
202200_s_at	SRPK1	SFRSproteinkinase1	Nucleus
214882_s_at	SRFS2	splicingfactor,arginine/serine-rich2	Nucleus
205016_at	TGFA	transforminggrowthfactor,alpha	ExtracellularSpace
201042_at	TGM2	transglutaminase2(Cpolypeptide,protein-glutamine-gamma-glutamyltransferase)	Cytoplasm
203092_at	TIMM44	translocaseofinnermitochondrialmembrane44homolog(yeast)	Cytoplasm
203167_at	TIMP2	TIMPmetallopeptidaseinhibitor2	ExtracellularSpace
210987_x_at	TPM1	tropomyosin1(alpha)	Cytoplasm
210986_s_at	TPM1	tropomyosin1(alpha)	Cytoplasm
203148_s_at	TRIM14	tripartitemotif-containing14	Cytoplasm
203868_s_at	VCAM1	vascularcelladhesionmolecule1	PlasmaMembrane
209822_s_at	VLDLR	verylowdensitylipoproteinreceptor	PlasmaMembrane
203112_s_at	WHSC2	Wolf-Hirschhornsyndromecandidate2	Nucleus
216022_at	Hs.669937	Clone DKFZp564I153
